Merge ID	Masuda_et_al_Supple_rev2009(5)F	OurStudy	# Identified
	1570	1729	Novel: 341
P0AAT9	1	1	2	A;0,78
P0AAV0	0	0	0	B
P0AAV4	0	0	0	A
P0AAW1	0	1	1	A
P0AAX6	0	0	0	G
P0AAX8	1	1	2	G;1,78;2,59
P0AAY4	0	0	0	G
P0AAY6	0	1	1	A
P0AAZ0	0	0	0	B
P0AAZ4	0	1	1	A
P0AB03	1	0	1	A;0,26
P0AB06	1	1	2	G;0,36
P0AB10	1	1	2	E;0,93;1,68
P0AB12	1	1	2	B;9
P0AB18	1	0	1	A;0,93
P0AB20	0	0	0	A
P0AB24	0	1	1	G
P0AB26	1	1	2	I;0,58;0,58
P0AB33	0	0	0	A
P0AB38	1	1	2	I;1,68;12,89
P0AB40	0	0	0	G
P0AB43	0	0	0	A
P0AB52	1	0	1	A;9
P0AB55	1	0	1	A;2,16
P0AB58	1	1	2	G;0;2,46
P0AB61	1	0	1	A;5,81
P0AB67	1	1	2	B;2,16;5,81
P0AB71	1	1	2	A;137,95;0,93
P0AB74	0	0	0	A
P0AB77	1	1	2	A;24,12;2,98
P0AB80	1	1	2	A;0,29
P0AB83	0	1	1	A
P0AB85	1	1	2	E;2,55
P0AB89	1	1	2	A;14,32;5
P0AB91	1	1	2	A;1,68;0,25
P0AB96	0	0	0	A
P0AB98	1	1	2	B;9;5,31
P0ABA6	1	1	2	F1;36,93;5,95
P0ABB4	1	1	2	F1;64,29;18,78
P0ABB8	1	1	2	B;0,18;3,39
P0ABE2	1	0	1	A;9
P0ABF1	1	1	2	B;0,39;1
P0ABF6	1	0	1	B;0,72
P0ABF8	0	1	1	B
P0ABG1	0	0	0	B
P0ABH0	1	1	2	F1;1,82;0,58
P0ABH4	0	0	0	B
P0ABH7	1	1	2	A;24,12;4,25
P0ABI4	1	1	2	B;3,92;19,31
P0ABI8	1	1	2	B;3,92;7,38
P0ABJ1	1	1	2	B;9;52,37
P0ABJ3	0	0	0	B
P0ABJ6	0	0	0	B
P0ABJ9	1	1	2	B;3,64;38,81
P0ABK5	1	1	2	A;12,34;5,81
P0ABK7	0	0	0	F4
P0ABK9	0	0	0	G
P0ABL3	0	0	0	G
P0ABL5	0	0	0	B
P0ABM9	1	1	2	B;0,73
P0ABP8	1	1	2	A;50;4,08
P0ABQ2	1	0	1	A;5,16;0,44
P0ABQ4	1	0	1	A;4,62;4,62
P0ABR1	0	0	0	A
P0ABS1	1	1	2	A;9
P0ABS5	1	1	2	B;0,14;0,14
P0ABT2	1	1	2	A;30,62;1,15
P0ABT5	0	0	0	A_trl
P0ABT8	0	0	0	B
P0ABU0	1	1	2	A;7
P0ABU2	1	1	2	A;15,24;4,46
P0ABU5	1	0	1	A;2,59
P0ABU7	1	1	2	B;1,37;22,71
P0ABU9	1	1	2	B;1,85;7,11
P0ABV2	1	0	1	B;5,81;2,16
P0ABV6	1	1	2	B;16,78
P0ABW3	0	0	0	A
P0ABW9	0	0	0	G
P0ABX2	0	0	0	G
P0ABX5	0	0	0	G
P0ABY4	0	0	0	A
P0ABZ4	1	1	2	F1;0,78
P0AC02	1	1	2	I;3,64;15,68
P0AC13	1	1	2	A;2,41;2,98
P0AC19	1	1	2	A;3,33
P0AC23	1	1	2	B;20,54
P0AC26	0	0	0	B
P0AC28	0	0	0	A
P0AC30	1	1	2	B;1;3,08
P0AC33	1	1	2	A;17,05;1
P0AC35	0	0	0	A
P0AC38	1	1	2	A;9;6
P0AC41	1	1	2	F1;13,96;9,59
P0AC44	1	1	2	B;315,23;99
P0AC51	1	0	1	A;1,15
P0AC53	1	1	2	A;4,23;0,91
P0AC55	1	0	1	F1;30,62;2,16
P0AC59	1	1	2	A;2,65;0,78
P0AC69	1	1	2	A;5,31;2,98
P0AC73	0	0	0	A
P0AC75	1	1	2	B;1
P0AC81	1	1	2	A;0,67
P0AC84	1	1	2	A;0,52
P0AC86	1	1	2	A;0,16
P0AC88	0	0	0	A
P0AC98	0	0	0	B
P0ACA3	1	1	2	A;3,92;0,43
P0ACB0	1	1	2	A;0,47;0,36
P0ACB2	1	1	2	A;5,49;2,16
P0ACB4	1	1	2	A;1,28
P0ACB7	1	1	2	B;1,23;11,22
P0ACC1	0	1	1	A
P0ACC3	1	1	2	A;5,31
P0ACC7	1	1	2	A;3,79
P0ACC9	0	0	0	A
P0ACD2	0	0	0	A
P0ACD4	1	1	2	A;11,92
P0ACE0	1	1	2	F2;0,81;0
P0ACE7	1	1	2	A;9;2,16
P0ACF0	1	1	2	A;99;1,51
P0ACF8	1	1	2	A;13,25;1,03
P0ACH1	0	0	0	A
P0ACH5	0	0	0	A
P0ACH8	0	1	1	A
P0ACI0	1	0	1	A;4,41;2,41
P0ACI3	0	0	0	A
P0ACI6	0	0	0	A
P0ACJ0	1	1	2	B;11,92;3,64
P0ACJ5	0	0	0	B
P0ACJ8	1	1	2	A;16,78;7
P0ACK2	0	0	0	A
P0ACK5	1	1	2	A;0,58
P0ACK8	0	1	1	A
P0ACL0	1	1	2	A;2,83;0,47
P0ACL2	1	1	2	A;1,24
P0ACL7	0	1	1	A
P0ACL9	1	1	2	A;0,52
P0ACM2	0	1	1	A
P0ACM5	0	0	0	A
P0ACN2	0	0	0	B
P0ACN7	0	1	1	A
P0ACP5	1	1	2	A;0,67
P0ACQ4	1	1	2	A;3,64;0,85
P0ACQ7	0	0	0	A
P0ACR2	0	0	0	A
P0ACR4	1	1	2	A;1,15
P0ACS2	0	0	0	A
P0ACS5	0	0	0	A
P0ACS9	0	1	1	B
P0ACT2	0	0	0	A
P0ACT6	1	0	1	A;0,47
P0ACU2	0	1	1	A
P0ACV0	1	1	2	B;2,65
P0ACV2	0	0	0	B
P0ACX0	0	0	0	B
P0ACY1	0	1	1	A
P0ACZ8	1	1	2	A;0,52
P0AD03	0	0	0	B
P0AD05	1	0	1	A;1,31
P0AD12	1	1	2	G;2,87;0,97
P0AD14	1	1	2	B;0,41
P0AD17	0	0	0	B
P0AD19	0	0	0	B
P0AD27	1	1	2	B;3,96
P0AD30	0	1	1	B
P0AD37	0	0	0	A
P0AD53	0	0	0	A
P0AD57	1	1	2	A;0,93;0,64
P0AD59	0	0	0	G
P0AD61	1	1	2	A;20,54;1,15
P0AD65	1	1	2	B;5,68
P0AD68	1	1	2	B;0,13;2,16
P0AD70	1	0	1	G;0,39
P0AD96	0	1	1	G
P0AD99	0	1	1	B
P0ADA5	1	1	2	I;6,74;11,92
P0ADB1	1	1	2	I;16,78;16,78
P0ADC6	1	1	2	B;0,44;3,28
P0ADD2	0	0	0	B
P0ADD5	0	0	0	B
P0ADD7	0	0	0	A
P0ADE4	1	1	2	H;1,71
P0ADE6	1	1	2	A;1,15
P0ADE8	1	1	2	A;5,95;0,62
P0ADF6	0	1	1	A
P0ADF8	1	0	1	A;2,73
P0ADI4	0	0	0	F1
P0ADI7	0	1	1	A
P0ADK0	1	1	2	E;12,34;55,23
P0ADL1	0	0	0	B
P0ADL3	1	1	2	B;1,15
P0ADM4	1	1	2	E;2,16
P0ADM8	0	1	1	B
P0ADN0	0	0	0	A
P0ADN2	1	1	2	A;73,99
P0ADP2	1	1	2	B;1,37;0,78
P0ADP7	1	1	2	A;0,78;1,37
P0ADP9	1	0	1	A;9
P0ADR0	0	0	0	B
P0ADR2	0	0	0	B
P0ADR6	1	1	2	A_trl;0,23
P0ADR8	1	1	2	A;1,51;1,09
P0ADS2	1	1	2	A;2,73
P0ADS6	1	1	2	G;34,11;1,31
P0ADS9	0	1	1	G
P0ADT2	1	1	2	A;0,47;4,62
P0ADT5	1	1	2	A;1,46;0,22
P0ADU5	1	0	1	G;2,73
P0ADU7	0	0	0	A
P0ADV1	1	1	2	G;1,15
P0ADV5	1	1	2	A;0,39;0,64
P0ADV7	1	1	2	G;1,25;1
P0ADV9	1	1	2	B;7
P0ADW6	0	0	0	A
P0ADX1	1	1	2	A;0,67
P0ADX9	0	1	1	A_trl
P0ADY1	1	1	2	B;5,38;2,07
P0ADY3	1	1	2	A_trl;50,79;192,07
P0ADY7	1	1	2	A_trl;12,89;6
P0ADZ4	1	1	2	A_trl;18,31;1,68
P0ADZ7	1	1	2	B;30,62;1777,28
P0AE01	1	1	2	A;2,83;3,64
P0AE08	1	1	2	A;141,51;4,88
P0AE12	1	1	2	A;0,58
P0AE14	1	1	2	B;0,31
P0AE18	1	1	2	A;6,63
P0AE28	0	0	0	B
P0AE34	0	1	1	B
P0AE37	0	0	0	A
P0AE39	0	1	1	A
P0AE45	1	1	2	B;0,31;5,66
P0AE48	1	1	2	A;1,51
