EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG13343	mmuM	ECK0263	Q47690	b0261	CG60860	g1786456	JW0253	895	EB2799	aa	OK	310	Clockwise	275939	276871	5.95	yagD	S-methylmethionine utilization	S-methylmethionine:(seleno)homocysteine methyltransferase; CP4-6 putative prophage remnant	Met regulon.	33422.83
EG13344	yagE	ECK0269	P75682	b0268	Null	g1786463	JW0261	921	EB3128	aa	OK	309	Clockwise	281481	282410	6.07	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	33316.31
EG13345	yagF	ECK0270	P77596	b0269	Null	g1786464	JW0262	923	EB3129	aa	OK	655	Clockwise	282425	284392	6.09	Null	Systematic nomenclature	Predicted dehydratase, function unknown, CP4-6 putative prophage remnant	AFMB Structural Genomics target No. 94 (http://afmb.cnrs-mrs.fr/article171.html). yjhG, yagF, ilvD and edd are paralogs.	69399.22
EG13346	yagG	ECK0271	P75683	b0270	Null	g1786466	JW0263	929	EB3130	aa	OK	460	Clockwise	284619	286001	6.13	Null	Systematic nomenclature	Putative sugar symporter, function unknown, CP4-6; putative prophage remnant	yagGH is predicted to be an operon involved in uptake and catabolism of an unknown sugar substrate. Major Facilitator Superfamily (MFS).	50631.83
EG13347	yagH	ECK0272	P77713	b0271	Null	g1786467	JW0264	931	EB3131	aa	OK	536	Clockwise	286013	287623	6.16	Null	Systematic nomenclature	Putative beta-xylosidase, function unknown, CP4-6; putative prophage remnant	yagGH is predicted to be an operon involved in uptake and catabolism of an unknown sugar substrate.	60825.03
EG13349	yagI	ECK0273	P77300	b0272	Null	g1786468	JW0265	933	EB3133	aa	OK	252	Counterclockwise	287628	288386	6.20	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	27837.94
EG13548	ykfB	ECK0252	P77162	b0250	Null	g1786444	JW0239	851	EB3318	aa	OK	155	Counterclockwise	264844	265311	5.71	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	First 23 aa are predicted to be a type I signal peptide.	17025.73
EG13550	yagK	ECK0276	P77657	b0277	Null	g1786473	JW0271	965	EB3320	aa	OK	208	Counterclockwise	291546	292172	6.28	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	24470.88
EG13551	yagL	ECK0277	P77607	b0278	Null	g1786474	JW0272	970	EB3321	aa	OK	232	Counterclockwise	292444	293142	6.30	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	27273.78
EG13552	yagM	ECK0278	P71296	b0279	Null	g2367101	JW0273	972	EB3322	aa	OK	284	Counterclockwise	293169	294023	6.32	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	32678.52
EG13553	yagN	ECK0279	P71297	b0280	Null	g2367102	JW0274	976	EB3323	aa	OK	146	Counterclockwise	294363	294803	6.34	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	15815.03
EG13554	intF	ECK0280	P71298	b0281	Null	g2367104	JW0275	979	EB3324	aa	OK	466	Counterclockwise	294920	296320	6.36	yagO	Integrase	Putative integrase gene, CP4-6 putative prophage remnant	Null	53074.11
EG14283	ykfF	ECK0251	P75677	b0249	Null	g1786443	JW5023	846	EB4031	aa	OK	79	Counterclockwise	264528	264767	5.70	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	9014.04
EG14331	ykfG	ECK0249	Q47685	b0247	Null	g2367100	JW0236	841	EB4077	aa	OK	158	Counterclockwise	263480	263956	5.68	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	18098.78
EG14332	ykfH	ECK0248	Q9XB42	b4504	Null	g87081704	JW5956	Null	EB4077	aa	OK	73	Counterclockwise	263250	263471	5.67	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	8580.91
EG14333	ykfI	ECK0246	P77692	b0245	Null	g1786439	JW0234	836	EB4079	aa	OK	113	Counterclockwise	262552	262893	5.66	Null	Systematic nomenclature	Toxin component of toxin-antitoxin protein pair YkfI-YafW; CP4-6 prophage	ykfI, ypjF and yeeV are paralogs. YkfI overexpression inhibits growth (Brown, 2003).	12905.01
