EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10089	aslA	ECK3794	P25549	b3801	CG33957	g1790233	JW3773	12411	EB0087	aa	OK	551	Counterclockwise	3982375	3984030	85.83	atsA;gppB	Arylsulfatase-like	Predicted periplasmic arylsulphatase, suppresses gpp mutants	A 24 aa type I signal peptide is predicted. aslA, ydeN and yidJ are paralogs.	60717.60		EG10089	aslA	ECK3794	P25549	b3801	CG33957	g1790233	JW3773	12411	EB0087	aa	OK	551	Counterclockwise	3982375	3984030	85.83	atsA;gppB	Arylsulfatase-like	Predicted periplasmic arylsulphatase, suppresses gpp mutants	A 24 aa type I signal peptide is predicted. aslA, ydeN and yidJ are paralogs.	60717.60	
EG10090	aslB	ECK3793	P25550	b3800	CG33960	g48994973	JW5594	12408	EB0088	aa	OK	411	Clockwise	3980981	3982216	85.80	atsB;gppB	Arylsulfatase-like	Predicted sulfatase-maturating enzyme; suppresses gpp mutants; Radical SAM enzyme	Radical SAM superfamily. Rob regulon.	46513.17		EG10090	aslB	ECK3793	P25550	b3800	CG33960	g48994973	JW5594	12408	EB0088	aa	OK	411	Clockwise	3980981	3982216	85.80	atsB;gppB	Arylsulfatase-like	Predicted sulfatase-maturating enzyme; suppresses gpp mutants; Radical SAM enzyme	Radical SAM superfamily. Rob regulon.	46513.17	
EG10091	asnA	ECK3738	P00963	b3744	CG995	g1790183	JW3722	12242	EB0089	aa	OK	330	Clockwise	3925178	3926170	84.60	Null	Asparagine	Asparagine synthase A; aspartate-ammonia ligase	AsnA and AsnB are redundant; an asparagine auxotrophy requires that both genes be mutated. AsnA uses ammonia as the nitrogen source. Residues 199-203 of zwf encode a NNWDN peptide involved in MazF(ChpA) toxicity that is likely converted to NNWNN by AsnA since an asnA deletion prevents NNWNN activity (Kolodkin-Gal, 2007).	36650.55		EG10091	asnA	ECK3738	P00963	b3744	CG995	g1790183	JW3722	12242	EB0089	aa	OK	330	Clockwise	3925178	3926170	84.60	Null	Asparagine	Asparagine synthase A; aspartate-ammonia ligase	AsnA and AsnB are redundant; an asparagine auxotrophy requires that both genes be mutated. AsnA uses ammonia as the nitrogen source. Residues 199-203 of zwf encode a NNWDN peptide involved in MazF(ChpA) toxicity that is likely converted to NNWNN by AsnA since an asnA deletion prevents NNWNN activity (Kolodkin-Gal, 2007).	36650.55	
EG10092	asnB	ECK0662	P22106	b0674	CG994	g1786889	JW0660	2292	EB0090	aa	OK; Verified[1]	554	Counterclockwise	696736	698400	15.02	Null	Asparagine	Asparagine synthase B [glutamine-hydrolyzing]	AsnA and AsnB are redundant; an asparagine auxotrophy requires that both genes be mutated. Although ammonia can be utilized, glutamine is the preferred substrate.	62659.01		EG10092	asnB	ECK0662	P22106	b0674	CG994	g1786889	JW0660	2292	EB0090	aa	OK; Verified[1]	554	Counterclockwise	696736	698400	15.02	Null	Asparagine	Asparagine synthase B [glutamine-hydrolyzing]	AsnA and AsnB are redundant; an asparagine auxotrophy requires that both genes be mutated. Although ammonia can be utilized, glutamine is the preferred substrate.	62659.01	
EG10093	asnC	ECK3737	P0ACI6	b3743	CG18520	g1790182	JW3721	12237	EB0091	aa	OK	152	Counterclockwise	3924568	3925026	84.59	Null	Asparagine	Regulatory gene for asnA, asnC, gidA, Lrp family	Feast/famine regulatory protein.	16887.67		EG10093	asnC	ECK3737	P0ACI6	b3743	CG18520	g1790182	JW3721	12237	EB0091	aa	OK	152	Counterclockwise	3924568	3925026	84.59	Null	Asparagine	Regulatory gene for asnA, asnC, gidA, Lrp family	Feast/famine regulatory protein.	16887.67	
EG10114	bglB	ECK3714	P11988	b3721	CG964	g2367270	JW3699	12169	EB0112	aa	OK	470	Counterclockwise	3900312	3901724	84.06	Null	beta-Glucoside	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated	bglB is part of the cryptic bglGFBH operon. The bgl operon promoter is silenced by H-NS, represssed by Fis and activated by CRP-cAMP. bglA, bglB and ascB are paralogs.	53161.28		EG10114	bglB	ECK3714	P11988	b3721	CG964	g2367270	JW3699	12169	EB0112	aa	OK	470	Counterclockwise	3900312	3901724	84.06	Null	beta-Glucoside	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated	bglB is part of the cryptic bglGFBH operon. The bgl operon promoter is silenced by H-NS, represssed by Fis and activated by CRP-cAMP. bglA, bglB and ascB are paralogs.	53161.28	
EG10115	bglF	ECK3715	P08722	b3722	CG18502	g1790159	JW3700	12171	EB0113	aa	OK	625	Counterclockwise	3901743	3903620	84.10	bglC;bglS	beta-Glucoside	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG	bglF is part of the cryptic bglGFBH operon. The bgl operon promoter is silenced by H-NS,  represssed by Fis and activated by CRP-cAMP.	66482.97		EG10115	bglF	ECK3715	P08722	b3722	CG18502	g1790159	JW3700	12171	EB0113	aa	OK	625	Counterclockwise	3901743	3903620	84.10	bglC;bglS	beta-Glucoside	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG	bglF is part of the cryptic bglGFBH operon. The bgl operon promoter is silenced by H-NS,  represssed by Fis and activated by CRP-cAMP.	66482.97	
EG10116	bglG	ECK3716	P11989	b3723	CG963	g1790160	JW3701	12174	EB0114	aa	OK	278	Counterclockwise	3903754	3904590	84.14	bglC;bglR;bglS	beta-Glucoside	Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase	The non-phosphorylated BglG dimer binds to RNA and allows readthrough of transcription.  BglG has an N-terminal RNA-binding domain followed by two PTS-regulation and dimerization domains, PRD1 and PRD2.  BglG is homologus to LicT of B. subtilis.  	32097.14		EG10116	bglG	ECK3716	P11989	b3723	CG963	g1790160	JW3701	12174	EB0114	aa	OK	278	Counterclockwise	3903754	3904590	84.14	bglC;bglR;bglS	beta-Glucoside	Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase	The non-phosphorylated BglG dimer binds to RNA and allows readthrough of transcription.  BglG has an N-terminal RNA-binding domain followed by two PTS-regulation and dimerization domains, PRD1 and PRD2.  BglG is homologus to LicT of B. subtilis.  	32097.14	
EG10124	bisC	ECK3538	P20099	b3551	CG951	g87082288	JW5940	11597	EB0122	aa	ALT_INIT[+38]	777	Counterclockwise	3712084	3714417	80.01	Null	Biotin sulfoxide	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic	BisC is sufficient for growth on Met-S-SO. BisC is unable to act on protein bound Met-S-SO. The N-terminal 39 amino acids are required for activity and anchor BisC to the cytoplasmic side of the inner membrane.	85850.66		EG10124	bisC	ECK3538	P20099	b3551	CG951	g87082288	JW5940	11597	EB0122	aa	ALT_INIT[+38]	777	Counterclockwise	3712084	3714417	80.01	Null	Biotin sulfoxide	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic	BisC is sufficient for growth on Met-S-SO. BisC is unable to act on protein bound Met-S-SO. The N-terminal 39 amino acids are required for activity and anchor BisC to the cytoplasmic side of the inner membrane.	85850.66	
EG10138	cdh	ECK3910	P06282	b3918	CG931	g1790352	JW3889	12797	EB0136	aa	OK	251	Clockwise	4107953	4108708	88.54	pnuE(S.t.);ushB(S.t.)	CDP diglyceride hydrolase	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities	It is unclear if Cdh(E.c.) has UshB or PnuE activity. E. coli is UshB- and cloned cdh does not confer UshB activity, but protein expression is undetectable due to poor translation of cdh(ushB) mRNA	28450.76		EG10138	cdh	ECK3910	P06282	b3918	CG931	g1790352	JW3889	12797	EB0136	aa	OK	251	Clockwise	4107953	4108708	88.54	pnuE(S.t.);ushB(S.t.)	CDP diglyceride hydrolase	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities	It is unclear if Cdh(E.c.) has UshB or PnuE activity. E. coli is UshB- and cloned cdh does not confer UshB activity, but protein expression is undetectable due to poor translation of cdh(ushB) mRNA	28450.76	
EG10140	chbB	ECK1736	P69795	b1738	CG34873	g1788034	JW1727	5797	EB0138	aa	OK	106	Counterclockwise	1819323	1819643	39.21	celA	Chitobiose	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system. The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007). The chbBC intergenic region contains an RNA decoy (trap-mRNA) which is antisense to the chiX(micM) sRNA; induction of the chb operon leads to chiX(micM) degradation and consequently to chiP induction as chiX(micM) repression is relieved (Overgaard, 2009). In Salmonella, chiX(micM) is also inactivated by the chbBC intergenic region, which in Salmonella (and possibly in E. coli also) is processed by RNase E to a ~3000 bp fragment (Figuera-Bossi (2009).	11426.54		EG10140	chbB	ECK1736	P69795	b1738	CG34873	g1788034	JW1727	5797	EB0138	aa	OK	106	Counterclockwise	1819323	1819643	39.21	celA	Chitobiose	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system. The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007). The chbBC intergenic region contains an RNA decoy (trap-mRNA) which is antisense to the chiX(micM) sRNA; induction of the chb operon leads to chiX(micM) degradation and consequently to chiP induction as chiX(micM) repression is relieved (Overgaard, 2009). In Salmonella, chiX(micM) is also inactivated by the chbBC intergenic region, which in Salmonella (and possibly in E. coli also) is processed by RNase E to a ~3000 bp fragment (Figuera-Bossi (2009).	11426.54	
EG10141	chbC	ECK1735	P17334	b1737	CG18487	g1788032	JW1726	5795	EB0139	aa	OK	452	Counterclockwise	1817880	1819238	39.18	celB	Chitobiose	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization	The chb operon is induced by N,N'-diacetylchitobiose. The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system.  The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007). The chbBC intergenic region contains an RNA decoy (trap-mRNA) which is antisense to the chiX(micM) sRNA; induction of the chb operon leads to chiX(micM) degradation and consequently to chiP induction as chiX(micM) repression is relieved (Overgaard, 2009). In Salmonella, chiX(micM) is also inactivated by the chbBC intergenic region, which in Salmonella (and possibly in E. coli also) is processed by RNase E to a ~3000 bp fragment (Figuera-Bossi (2009).	48332.23		EG10141	chbC	ECK1735	P17334	b1737	CG18487	g1788032	JW1726	5795	EB0139	aa	OK	452	Counterclockwise	1817880	1819238	39.18	celB	Chitobiose	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization	The chb operon is induced by N,N'-diacetylchitobiose. The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system.  The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007). The chbBC intergenic region contains an RNA decoy (trap-mRNA) which is antisense to the chiX(micM) sRNA; induction of the chb operon leads to chiX(micM) degradation and consequently to chiP induction as chiX(micM) repression is relieved (Overgaard, 2009). In Salmonella, chiX(micM) is also inactivated by the chbBC intergenic region, which in Salmonella (and possibly in E. coli also) is processed by RNase E to a ~3000 bp fragment (Figuera-Bossi (2009).	48332.23	
EG10142	chbA	ECK1734	P69791	b1736	CG18484	g1788031	JW1725	5792	EB0140	aa	OK	116	Counterclockwise	1817479	1817829	39.17	celC	Chitobiose	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system.  The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	12747.76		EG10142	chbA	ECK1734	P69791	b1736	CG18484	g1788031	JW1725	5792	EB0140	aa	OK	116	Counterclockwise	1817479	1817829	39.17	celC	Chitobiose	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system.  The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	12747.76	
EG10143	chbR	ECK1733	P17410	b1735	CG18481	g1788030	JW1724	5790	EB0141	aa	OK	280	Counterclockwise	1816629	1817471	39.15	celD	Chitobiose	Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family 	The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	32967.62		EG10143	chbR	ECK1733	P17410	b1735	CG18481	g1788030	JW1724	5790	EB0141	aa	OK	280	Counterclockwise	1816629	1817471	39.15	celD	Chitobiose	Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family 	The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	32967.62	
EG10144	chbF	ECK1732	P17411	b1734	CG17734	g1788029	JW1723	5785	EB0142	aa	OK; Verified[1]	450	Counterclockwise	1815172	1816524	39.12	celF;ydjD	Chitobiose	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system. The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	50512.50		EG10144	chbF	ECK1732	P17411	b1734	CG17734	g1788029	JW1723	5785	EB0142	aa	OK; Verified[1]	450	Counterclockwise	1815172	1816524	39.12	celF;ydjD	Chitobiose	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides	The chb operon is induced by N,N'-diacetylchitobiose.  The chb operon was previously thought to encode a cryptic cel operon for a cellobiose degradation system. The Cel+ phenotype is due to mutations making expression chitobiose-independent, but a fully induced operon did not support growth on cellobiose, implying a mutation altering the substrate specificity is needed; several candidate mutations were noted in Genbank, but not proven to alter the specificity of the system (Keyhani, 1997). In contrast, a later study claim that mutations making the operon expression high-level constitutive by chbR and nagC mutations are sufficient for the Cel+ phenotype and that no mutations altering substrate specificity are required (Kachroo, 2007).	50512.50	
EG10185	cysC	ECK2745	P0A6J1	b2750	CG896	g1789107	JW2720	9023	EB0182	aa	OK; Verified[1]	201	Counterclockwise	2871409	2872014	61.89	Null	Cysteine	Adenylylsulfate kinase, APS kinase	Null	22321.31		EG10185	cysC	ECK2745	P0A6J1	b2750	CG896	g1789107	JW2720	9023	EB0182	aa	OK; Verified[1]	201	Counterclockwise	2871409	2872014	61.89	Null	Cysteine	Adenylylsulfate kinase, APS kinase	Null	22321.31	
EG10194	cysN	ECK2746	P23845	b2751	CG18436	g1789108	JW2721	9026	EB0191	aa	OK; Verified[0]	475	Counterclockwise	2872014	2873441	61.90	Null	Cysteine	Sulfate adenylyltransferase subunit 1; putative ATP sulfurylase GTPase subunit	ATP sulfurylase is also called ATP:sulfate adenylyltransferase.	52558.47		EG10194	cysN	ECK2746	P23845	b2751	CG18436	g1789108	JW2721	9026	EB0191	aa	OK; Verified[0]	475	Counterclockwise	2872014	2873441	61.90	Null	Cysteine	Sulfate adenylyltransferase subunit 1; putative ATP sulfurylase GTPase subunit	ATP sulfurylase is also called ATP:sulfate adenylyltransferase.	52558.47	
EG10232	dmsA	ECK0885	P18775	b0894	CG17710	g87081797	JW5118	3044	EB0228	aa	ALT_INIT[+29]; Verified[45]	814	Clockwise	940182	942626	20.26	Null	DMSO reductase	DMSO reductase subunit A, anaerobic, periplasmic	Verified Tat substrate: DmsA has a Tat/Sec (Class II) 45 aa signal peptide (Tullman-Ercek, 2007). Bound DmsB is co-exported.	90398.61		EG10232	dmsA	ECK0885	P18775	b0894	CG17710	g87081797	JW5118	3044	EB0228	aa	ALT_INIT[+29]; Verified[45]	814	Clockwise	940182	942626	20.26	Null	DMSO reductase	DMSO reductase subunit A, anaerobic, periplasmic	Verified Tat substrate: DmsA has a Tat/Sec (Class II) 45 aa signal peptide (Tullman-Ercek, 2007). Bound DmsB is co-exported.	90398.61	
EG10233	dmsB	ECK0886	P18776	b0895	CG31724	g1787122	JW0878	3046	EB0229	aa	OK; Verified[1]	205	Clockwise	942637	943254	20.32	Null	DMSO reductase	DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic	DmsB is co-exported bound to Tat substrate DmsA. 	22868.94		EG10233	dmsB	ECK0886	P18776	b0895	CG31724	g1787122	JW0878	3046	EB0229	aa	OK; Verified[1]	205	Clockwise	942637	943254	20.32	Null	DMSO reductase	DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic	DmsB is co-exported bound to Tat substrate DmsA. 	22868.94	
