Deletion	Gene	Locus_Tag	Gene_Type	Left End	Right End	Strand
del-MD1	yagR	b0284	CDS	297960	300158	-
del-MD1	yagS	b0285	CDS	300155	301111	-
del-MD1	yagT	b0286	CDS	301108	301797	-
del-MD1	yagU	b0287	CDS	302215	302829	+
del-MD1	ykgJ	b0288	CDS	303077	303406	-
del-MD1	yagV	b0289	CDS	303719	304429	-
del-MD1	yagW	b0290	CDS	304398	306041	-
del-MD1	yagX	b0291	CDS	306031	308556	-
del-MD1	yagY	b0292	CDS	308582	309250	-
del-MD1	yagZ	b0293	CDS	309308	309895	-
del-MD1	ykgK	b0294	CDS	309970	310560	-
del-MD1	ykgL	b0295	CDS	311336	311563	+
del-MD1	ykgO	b4506	CDS	311598	311738	-
del-MD1	ykgM	b0296	CDS	311738	312001	-
del-MD1	eaeH	b0297	CDS	313581	314468	+
del-MD1	insE-1	b0298	CDS	314506	314814	+
del-MD1	insF-1	b0299	CDS	314811	315677	+
del-MD1	ykgA	b0300	CDS	315674	316360	-
del-MD1	ykgB	b0301	CDS	316950	317543	-
del-MD1	ykgI	b0303	CDS	317555	317791	-
del-MD1	ykgC	b0304	CDS	317900	319225	-
del-MD1	ykgD	b0305	CDS	319451	320305	+
del-MD1	ykgE	b0306	CDS	320832	321551	+
del-MD1	ykgF	b0307	CDS	321562	322989	+
del-MD1	ykgG	b0308	CDS	322982	323677	+
del-MD1	ykgH	b0310	CDS	323920	324588	-
del-MD43	yahA	b0315	CDS	331595	332683	+
del-MD43	yahB	b0316	CDS	332725	333657	-
del-MD43	yahC	b0317	CDS	333749	334246	-
del-MD43	yahD	b0318	CDS	334504	335109	+
del-MD43	yahE	b0319	CDS	335149	336012	+
del-MD43	yahF	b0320	CDS	336002	337549	+
del-MD43	yahG	b0321	CDS	337549	338967	+
del-MD43	yahH	b0322	CDS	339017	339313	+
del-MD43	yahI	b0323	CDS	339389	340339	+
del-MD43	yahJ	b0324	CDS	340349	341731	+
del-MD43	yahK	b0325	CDS	342108	343157	+
del-MD43	yahL	b0326	CDS	343400	344215	+
del-MD43	yahM	b0327	CDS	344628	344873	+
del-MD43	yahN	b0328	CDS	344890	345561	-
del-MD43	yahO	b0329	CDS	345708	345983	+
del-MD43	prpR	b0330	CDS	346081	347667	-
del-MD43	prpB	b0331	CDS	347906	348796	+
del-MD43	prpC	b0333	CDS	349236	350405	+
del-MD43	prpD	b0334	CDS	350439	351890	+
del-MD43	prpE	b0335	CDS	351930	353816	+
del-MD43	codB	b0336	CDS	354146	355405	+
del-MD43	codA	b0337	CDS	355395	356678	+
del-MD43	cynR	b0338	CDS	357015	357914	-
del-MD43	cynT	b0339	CDS	358023	358682	+
del-MD43	cynS	b0340	CDS	358713	359183	+
del-MD43	cynX	b0341	CDS	359216	360370	+
del-MD43	lacA	b0342	CDS	360473	361084	-
del-MD43	lacY	b0343	CDS	361150	362403	-
del-MD43	lacZ	b0344	CDS	362455	365529	-
del-MD43	lacI	b0345	CDS	365652	366734	-
del-MD43	mhpR	b0346	CDS	366811	367758	-
del-MD43	mhpA	b0347	CDS	367835	369499	+
del-MD43	mhpB	b0348	CDS	369501	370445	+
del-MD43	mhpC	b0349	CDS	370448	371329	+
del-MD43	mhpD	b0350	CDS	371339	372148	+
del-MD43	mhpF	b0351	CDS	372145	373095	+
del-MD43	mhpE	b0352	CDS	373092	374105	+
del-MD43	mhpT	b0353	CDS	374683	375894	+
del-MD43	yaiL	b0354	CDS	375996	376535	+
del-MD16	yaiO	b0358	CDS	379293	380066	-
del-MD16	yaiX	b4579	pseudogene	380068	382096	-
del-MD16	insC-1	b0360	CDS	380530	380940	+
del-MD16	insD-1	b0361	CDS	380898	381803	+
del-MD16	yaiP	b0363	CDS	381963	383159	-
del-MD16	yaiS	b0364	CDS	383283	383840	-
del-MD16	tauA	b0365	CDS	384456	385418	+
del-MD16	tauB	b0366	CDS	385431	386198	+
del-MD16	tauC	b0367	CDS	386195	387022	+
del-MD16	tauD	b0368	CDS	387019	387870	+
del-MD17	ykiB	b0370	CDS	389121	389339	-
del-MD17	yaiT	b4580	pseudogene	389475	393642	
del-MD17	insF-2	b0372	CDS	390963	391829	-
del-MD17	insE-2	b0373	CDS	391826	392134	-
del-MD17	yaiV	b0375	CDS	393685	394353	+
del-MD17	ampH	b0376	CDS	394354	395511	-
del-MD17	sbmA	b0377	CDS	395863	397083	+
del-MD17	yaiW	b0378	CDS	397096	398190	+
del-MD17	yaiY	b0379	CDS	398249	398557	-
del-MD17	yaiZ	b0380	CDS	398817	399029	+
del-MD30	rhsD	b0497	CDS	522485	526765	+
del-MD30	ybbC	b0498	CDS	526805	527173	+
del-MD30	ylbH	b0499	CDS	527173	527883	+
del-MD30	ybbD	b0500	CDS	527864	528124	+
del-MD30	ylbG	b0502	CDS	528869	529240	-
del-MD12	intD	b0537	CDS	564038	565201	-
del-MD12	ybcC	b0539	CDS	565321	565584	-
del-MD12	ybcD	b4508	pseudogene	565674	565910	+
del-MD12	insE-3	b0540	CDS	566056	566364	+
del-MD12	insF-3	b0541	CDS	566361	567227	+
del-MD12	renD	b0542	CDS	567285	567470	+
del-MD12	emrE	b0543	CDS	567538	567870	+
del-MD12	ybcK	b0544	CDS	568125	569651	+
del-MD12	ybcL	b0545	CDS	570116	570667	+
del-MD12	ybcM	b0546	CDS	570677	571474	+
del-MD12	ybcN	b0547	CDS	571689	572144	+
del-MD12	ninE	b0548	CDS	572144	572314	+
del-MD12	ybcO	b0549	CDS	572307	572597	+
del-MD12	rusA	b0550	CDS	572594	572956	+
del-MD12	ylcG	b4509	CDS	572953	573093	+
del-MD12	ybcQ	b0551	CDS	573179	573562	+
del-MD12	insH-2	b0552	CDS	573960	574976	-
del-MD12	nmpC	b0553	pseudogene	574981	576108	-
del-MD12	essD	b0554	CDS	576621	576836	+
del-MD12	ybcS	b0555	CDS	576836	577333	+
del-MD12	rzpD	b0556	CDS	577330	577791	+
del-MD12	rzoD	b4510	CDS	577550	577732	+
del-MD12	borD	b0557	CDS	577823	578116	-
del-MD12	ybcV	b0558	CDS	578407	578817	-
del-MD12	ybcW	b0559	CDS	579103	579309	+
del-MD12	nohB	b0560	CDS	580057	580602	+
del-MD12	tfaD	b0561	pseudogene	580757	581320	+
del-MD12	ybcY	b0562	CDS	581375	581959	-
del-MD12	ylcE	b0563	CDS	582098	582283	+
del-MD12	appY	b0564	CDS	582904	583653	+
del-MD12	ompT	b0565	CDS	583903	584856	-
del-MD14	ybdG	b0577	CDS	602639	603886	-
del-MD14	nfnB	b0578	CDS	603994	604647	-
del-MD14	ybdF	b0579	CDS	604741	605109	-
del-MD14	ybdJ	b0580	CDS	605174	605422	-
del-MD14	ybdK	b0581	CDS	605488	606606	-
del-MD14	hokE	b4415	CDS	607059	607211	+
del-MD14	insL-2	b0582	CDS	607288	608400	+
del-MD20	insH-3	b0656	CDS	687220	688236	-
del-MD31	rhsC	b0700	CDS	728806	732999	+
del-MD31	ybfB	b0702	CDS	732999	733325	+
del-MD31	ybfO	b0703	CDS	733443	734876	+
del-MD31	ybfC	b0704	CDS	734873	735442	+
del-MD31	ybfQ	b4514	CDS	735668	735922	+
del-MD31	ybfL	b0705	pseudogene	736123	737184	+
del-MD31	ybfD	b0706	CDS	737315	738076	+
del-MD35	yccC	b0981	CDS	1041253	1043433	-
del-MD35	etp	b0982	CDS	1043453	1043899	-
del-MD35	yccZ	b0983	CDS	1043887	1045026	-
del-MD35	ymcA	b0984	CDS	1045072	1047168	-
del-MD35	ymcB	b0985	CDS	1047168	1047914	-
del-MD35	ymcC	b0986	CDS	1047911	1048555	-
del-MD35	ymcD	b0987	CDS	1048662	1048967	-
del-MD35	insA-4	b4516	CDS	1049056	1049331	+
del-MD35	insB-4	b0988	CDS	1049250	1049753	+
del-MD36	ycdP	b1021	CDS	1085329	1085742	-
del-MD36	ycdQ	b1022	CDS	1085744	1087069	-
del-MD36	ycdR	b1023	CDS	1087062	1089080	-
del-MD36	ycdS	b1024	CDS	1089089	1091512	-
del-MD36	ycdT	b1025	CDS	1092099	1093457	+
del-MD36	insF-4	b1026	CDS	1093498	1094364	-
del-MD36	insE-4	b1027	CDS	1094361	1094669	-
del-MD36	ymdE	b1028	pseudogene	1094767	1095069	+
del-MD36	ycdU	b1029	CDS	1095066	1096052	+
del-MD26	flgN	b1070	CDS	1128637	1129053	-
del-MD26	flgM	b1071	CDS	1129058	1129351	-
del-MD26	flgA	b1072	CDS	1129427	1130086	-
del-MD26	flgB	b1073	CDS	1130241	1130657	+
del-MD26	flgC	b1074	CDS	1130661	1131065	+
del-MD26	flgD	b1075	CDS	1131077	1131772	+
del-MD26	flgE	b1076	CDS	1131797	1133005	+
del-MD26	flgF	b1077	CDS	1133025	1133780	+
del-MD26	flgG	b1078	CDS	1133952	1134734	+
del-MD26	flgH	b1079	CDS	1134787	1135485	+
del-MD26	flgI	b1080	CDS	1135497	1136594	+
del-MD26	flgJ	b1081	CDS	1136594	1137535	+
del-MD26	flgK	b1082	CDS	1137601	1139244	+
del-MD26	flgL	b1083	CDS	1139256	1140209	+
del-MD11	ymfD	b1137	CDS	1196090	1196755	-
del-MD11	ymfE	b1138	CDS	1196756	1197460	-
del-MD11	lit	b1139	CDS	1197918	1198811	+
del-MD11	intE	b1140	CDS	1198902	1200029	-
del-MD11	ymfG	b1141	CDS	1200010	1200255	-
del-MD11	ymfH	b1142	CDS	1200292	1200603	-
del-MD11	ymfI	b1143	CDS	1200720	1201061	+
del-MD11	ymfJ	b1144	CDS	1200999	1201307	-
del-MD11	ymfK	b1145	CDS	1201482	1202156	-
del-MD11	ymfT	b1146	CDS	1202247	1202447	+
del-MD11	ymfL	b1147	CDS	1202479	1203048	+
del-MD11	ymfM	b1148	CDS	1203045	1203383	+
del-MD11	ymfN	b1149	CDS	1203393	1204760	+
del-MD11	ymfR	b1150	CDS	1204772	1204954	+
del-MD11	ymfO	b1151	CDS	1204954	1205427	+
del-MD11	ymfP	b1152	CDS	1205483	1206145	+
del-MD11	ymfQ	b1153	CDS	1206136	1206720	+
del-MD11	ycfK	b1154	CDS	1206724	1207353	+
del-MD11	ymfS	b1155	CDS	1207355	1207768	+
del-MD11	tfaE	b1156	CDS	1207740	1208342	-
del-MD11	stfE	b1157	pseudogene	1208342	1208878	-
del-MD11	pin	b1158	CDS	1208908	1209462	+
del-MD11	mcrA	b1159	CDS	1209569	1210402	+
del-MD11	icdC	b1136	pseudogene	1210648	1210800	+
del-MD11	elbA	b1160	CDS	1210903	1211226	-
del-MD11	ycgX	b1161	CDS	1211926	1212330	-
del-MD11	ycgE	b1162	CDS	1212551	1213282	-
del-MD11	ycgF	b1163	CDS	1213487	1214698	-
del-MD11	ycgZ	b1164	CDS	1215012	1215248	+
del-MD11	ymgA	b1165	CDS	1215291	1215563	+
del-MD11	ymgB	b1166	CDS	1215592	1215858	+
del-MD11	ymgC	b1167	CDS	1215971	1216219	+
del-MD11	ycgG	b1168	CDS	1216551	1218074	+
del-MD11	ymgF	b4520	CDS	1218206	1218424	+
del-MD11	ycgH	b4491	pseudogene	1218824	1221445	+
del-MD11	ymgD	b1171	CDS	1221528	1221857	-
del-MD11	ymgG	b1172	CDS	1221867	1222142	-
del-MD21	ycjG	b1325	CDS	1386954	1387919	+
del-MD21	mpaA	b1326	CDS	1387894	1388682	-
del-MD21	ymjC	b4525	CDS	1388704	1388886	-
del-MD21	ycjY	b1327	CDS	1388957	1389889	-
del-MD21	ycjZ	b1328	CDS	1390015	1390914	+
del-MD21	mppA	b1329	CDS	1391251	1392864	+
del-MD21	ynaI	b1330	CDS	1392915	1393946	-
del-MD21	insH-4	b1331	CDS	1394100	1395116	+
del-MD21	ynaJ	b1332	CDS	1395389	1395646	+
del-MD21	uspE	b1333	CDS	1395696	1396646	-
del-MD2	abgT	b1336	CDS	1398271	1399797	-
del-MD2	abgB	b1337	CDS	1399834	1401279	-
del-MD2	abgA	b1338	CDS	1401279	1402589	-
del-MD2	abgR	b1339	CDS	1402765	1403673	+
del-MD2	isrA	b4426	misc_RNA	1403676	1403833	-
del-MD2	ydaL	b1340	CDS	1404003	1404566	+
del-MD2	ydaM	b1341	CDS	1404587	1405819	-
del-MD2	ydaN	b1342	CDS	1406074	1407057	+
del-MD2	dbpA	b1343	CDS	1407535	1408908	+
del-MD2	ydaO	b1344	CDS	1409037	1409972	-
del-MD2	intR	b1345	CDS	1410024	1411259	-
del-MD2	ydaQ	b1346	CDS	1411261	1411476	-
del-MD2	ydaC	b1347	CDS	1411555	1411764	-
del-MD2	lar	b1348	CDS	1411757	1411951	-
del-MD2	recT	b1349	CDS	1412008	1412817	-
del-MD2	recE	b1350	CDS	1412810	1415410	-
del-MD2	racC	b1351	CDS	1415512	1415787	-
del-MD2	ydaE	b4526	CDS	1415862	1416032	-
del-MD2	kil	b1352	CDS	1416032	1416253	-
del-MD2	sieB	b1353	CDS	1416695	1417183	+
del-MD2	ydaF	b4527	CDS	1417180	1417335	-
del-MD2	ydaG	b1355	CDS	1417346	1417480	-
del-MD2	racR	b1356	CDS	1417789	1418265	-
del-MD2	ydaS	b1357	CDS	1418389	1418685	+
del-MD2	ydaT	b1358	CDS	1418708	1419130	+
del-MD2	ydaU	b1359	CDS	1419143	1420000	+
del-MD2	ydaV	b1360	CDS	1420007	1420753	+
del-MD2	ydaW	b1361	CDS	1420776	1421336	+
del-MD2	rzpR	b1362	CDS	1421369	1421668	+
del-MD2	rzoR	b4528	CDS	1421424	1421609	+
del-MD2	trkG	b1363	CDS	1421806	1423263	+
del-MD2	ynaK	b1365	CDS	1423401	1423664	+
del-MD2	ydaY	b1366	CDS	1423645	1424004	+
del-MD2	ynaA	b1368	CDS	1424478	1425506	+
del-MD2	lomR	b4570	pseudogene	1425419	1427008	+
del-MD2	insH-5	b1370	CDS	1425770	1426750	-
del-MD2	stfR	b1372	CDS	1427073	1430435	+
del-MD2	tfaR	b1373	CDS	1430435	1431010	+
del-MD2	pinR	b1374	CDS	1431108	1431698	-
del-MD2	ynaE	b1375	CDS	1432015	1432281	-
del-MD2	uspF	b1376	CDS	1433209	1433643	-
del-MD2	ompN	b1377	CDS	1433784	1434917	-
del-MD2	micC	b4427	misc_RNA	1435145	1435253	+
del-MD2	ydbK	b1378	CDS	1435284	1438808	-
del-MD2	ydbJ	b4529	CDS	1439082	1439348	+
del-MD2	hslJ	b1379	CDS	1439345	1439767	-
del-MD2	ldhA	b1380	CDS	1439878	1440867	-
del-MD2	ydbH	b1381	CDS	1441075	1443714	+
del-MD2	ynbE	b1382	CDS	1443711	1443896	+
del-MD2	ydbL	b1383	CDS	1443904	1444230	+
del-MD2	feaR	b1384	CDS	1444402	1445307	-
del-MD2	feaB	b1385	CDS	1445543	1447042	+
del-MD2	tynA	b1386	CDS	1447100	1449373	-
del-MD2	maoC	b1387	CDS	1449621	1451666	-
del-MD2	paaA	b1388	CDS	1451951	1452880	+
del-MD2	paaB	b1389	CDS	1452892	1453179	+
del-MD2	paaC	b1390	CDS	1453188	1453934	+
del-MD2	paaD	b1391	CDS	1453949	1454446	+
del-MD2	paaE	b1392	CDS	1454454	1455524	+
del-MD2	paaF	b1393	CDS	1455521	1456288	+
del-MD2	paaG	b1394	CDS	1456288	1457076	+
del-MD2	paaH	b1395	CDS	1457078	1458505	+
del-MD2	paaI	b1396	CDS	1458495	1458917	+
del-MD2	paaJ	b1397	CDS	1458917	1460122	+
del-MD2	paaK	b1398	CDS	1460149	1461462	+
del-MD2	paaX	b1399	CDS	1461563	1462513	+
del-MD2	paaY	b1400	CDS	1462495	1463085	+
del-MD2	ydbA	b4492	pseudogene	1463416	1472037	+
del-MD2	insD-2	b1402	CDS	1465945	1466850	-
del-MD2	insC-2	b1403	CDS	1466808	1467218	-
del-MD2	insI-2	b1404	CDS	1467382	1468533	+
del-MD2	ydbC	b1406	CDS	1472245	1473105	+
del-MD2	ydbD	b1407	CDS	1473168	1475474	+
del-MD2	ynbA	b1408	CDS	1475645	1476250	+
del-MD2	ynbB	b1409	CDS	1476250	1477146	+
del-MD2	ynbC	b1410	CDS	1477162	1478919	+
del-MD2	ynbD	b1411	CDS	1478933	1480225	+
del-MD32	rhsE	b1456	CDS	1525914	1527962	+
del-MD32	ydcD	b1457	CDS	1527946	1528428	+
del-MD32	yncI	b1458	CDS	1528610	1529356	+
del-MD32	yncM	b1459	CDS	1529400	1529600	+
del-MD32	ydcC	b1460	CDS	1529840	1530976	+
del-MD32	ydcE	b1461	CDS	1531076	1531309	+
del-MD32	yddH	b1462	CDS	1531306	1531875	-
del-MD8	ydfG	b1539	CDS	1625541	1626287	+
del-MD8	ydfH	b1540	CDS	1626376	1627062	+
del-MD8	ydfZ	b1541	CDS	1627239	1627442	+
del-MD8	ydfI	b1542	CDS	1627477	1628937	-
del-MD8	ydfJ	b1543	CDS	1629026	1630309	-
del-MD8	ydfK	b1544	CDS	1631063	1631329	+
del-MD8	pinQ	b1545	CDS	1631646	1632236	+
del-MD8	tfaQ	b1546	CDS	1632334	1632909	-
del-MD8	stfQ	b1547	CDS	1632909	1633871	-
del-MD8	nohA	b1548	CDS	1633822	1634391	-
del-MD8	ynfO	b4533	CDS	1634780	1635013	+
del-MD8	ydfO	b1549	CDS	1635071	1635481	+
del-MD8	gnsB	b1550	CDS	1635633	1635806	-
del-MD8	ynfN	b1551	CDS	1635978	1636133	-
del-MD8	cspI	b1552	CDS	1636479	1636691	-
del-MD8	ydfP	b1553	CDS	1637054	1637551	-
del-MD8	ydfQ	b1554	CDS	1637548	1638081	-
del-MD8	ydfR	b1555	CDS	1638078	1638389	-
del-MD8	essQ	b1556	CDS	1638394	1638609	-
del-MD8	cspB	b1557	CDS	1639363	1639578	-
del-MD8	cspF	b1558	CDS	1639879	1640091	+
del-MD8	ydfT	b1559	CDS	1640513	1641265	-
del-MD8	ydfU	b1560	CDS	1641279	1642328	-
del-MD8	rem	b1561	CDS	1642675	1642926	-
del-MD8	hokD	b1562	CDS	1643143	1643298	-
del-MD8	relE	b1563	CDS	1643370	1643657	-
del-MD8	relB	b1564	CDS	1643657	1643896	-
del-MD8	ydfV	b1565	CDS	1643921	1644226	+
del-MD8	flxA	b1566	CDS	1644429	1644761	+
del-MD8	ydfW	b1567	CDS	1645198	1645347	-
del-MD8	ydfX	b1568	CDS	1645370	1645660	-
del-MD8	dicC	b1569	CDS	1645644	1645874	-
del-MD8	dicA	b1570	CDS	1645958	1646365	+
del-MD8	ydfA	b1571	CDS	1646532	1646687	+
del-MD8	ydfB	b1572	CDS	1646689	1646817	+
del-MD8	ydfC	b1573	CDS	1646847	1647065	+
del-MD8	dicF	b1574	misc_RNA	1647406	1647458	+
del-MD8	dicB	b1575	CDS	1647633	1647821	+
del-MD8	ydfD	b1576	CDS	1647818	1648009	+
del-MD8	ydfE	b1577	CDS	1648102	1649022	+
del-MD8	insD-7	b1578	CDS	1648905	1649561	+
del-MD8	intQ	b1579	CDS	1649536	1650732	+
del-MD8	ynfP	b4534	pseudogene	1650752	1650862	-
del-MD40	yeaJ	b1786	CDS	1870065	1871555	+
del-MD27	flhE	b1878	CDS	1960604	1960996	-
del-MD27	flhA	b1879	CDS	1960996	1963074	-
del-MD27	flhB	b1880	CDS	1963067	1964215	-
del-MD27	cheZ	b1881	CDS	1964417	1965061	-
del-MD27	cheY	b1882	CDS	1965072	1965461	-
del-MD27	cheB	b1883	CDS	1965476	1966525	-
del-MD27	cheR	b1884	CDS	1966528	1967388	-
del-MD27	tap	b1885	CDS	1967407	1969008	-
del-MD27	tar	b1886	CDS	1969054	1970715	-
del-MD27	cheW	b1887	CDS	1970860	1971363	-
del-MD27	cheA	b1888	CDS	1971384	1973348	-
del-MD27	motB	b1889	CDS	1973353	1974279	-
del-MD27	motA	b1890	CDS	1974276	1975163	-
del-MD27	flhC	b1891	CDS	1975290	1975868	-
del-MD27	flhD	b1892	CDS	1975871	1976230	-
del-MD27	insB-5	b1893	CDS	1976542	1977045	-
del-MD27	insA-5	b1894	CDS	1976964	1977239	-
del-MD28	yecC	b1917	CDS	1995086	1995838	-
del-MD28	yecS	b1918	CDS	1995835	1996503	-
del-MD28	yedO	b1919	CDS	1996518	1997504	-
del-MD28	fliY	b1920	CDS	1997609	1998409	-
del-MD28	fliZ	b1921	CDS	1998497	1999048	-
del-MD28	fliA	b1922	CDS	1999094	1999813	-
del-MD28	fliC	b1923	CDS	2000134	2001630	-
del-MD28	fliD	b1924	CDS	2001896	2003302	+
del-MD28	fliS	b1925	CDS	2003327	2003737	+
del-MD28	fliT	b1926	CDS	2003737	2004102	+
del-MD28	amyA	b1927	CDS	2004180	2005667	+
del-MD28	yedD	b1928	CDS	2005701	2006114	-
del-MD28	yedE	b1929	CDS	2006301	2007506	+
del-MD28	yedF	b1930	CDS	2007503	2007736	+
del-MD28	yedK	b1931	CDS	2007845	2008513	+
del-MD28	yedL	b1932	CDS	2008624	2009103	+
del-MD28	yedN	b4495	pseudogene	2009372	2009893	-
del-MD28	yedM	b1935	CDS	2010025	2010375	-
del-MD28	intG	b1936	pseudogene	2010526	2010804	+
del-MD28	fliE	b1937	CDS	2010724	2011038	-
del-MD28	fliF	b1938	CDS	2011253	2012911	+
del-MD28	fliG	b1939	CDS	2012904	2013899	+
del-MD28	fliH	b1940	CDS	2013892	2014578	+
del-MD28	fliI	b1941	CDS	2014578	2015951	+
del-MD28	fliJ	b1942	CDS	2015970	2016413	+
del-MD28	fliK	b1943	CDS	2016410	2017537	+
del-MD28	fliL	b1944	CDS	2017642	2018106	+
del-MD28	fliM	b1945	CDS	2018111	2019115	+
del-MD28	fliN	b1946	CDS	2019112	2019525	+
del-MD28	fliO	b1947	CDS	2019528	2019893	+
del-MD28	fliP	b1948	CDS	2019893	2020630	+
del-MD28	fliQ	b1949	CDS	2020640	2020909	+
del-MD28	fliR	b1950	CDS	2020917	2021702	+
del-MD5	insH-6	b1994	CDS	2064329	2065345	-
del-MD5	yoeA	b4582	pseudogene	2066659	2068498	+
del-MD5	insD-3	b1996	CDS	2066976	2067881	-
del-MD5	insC-3	b1997	CDS	2067839	2068249	-
del-MD5	yeeP	b1999	pseudogene	2068810	2069235	+
del-MD5	isrC	b4435	misc_RNA	2069339	2069542	+
del-MD5	flu	b2000	CDS	2069563	2072682	+
del-MD5	yeeR	b2001	CDS	2072803	2074335	+
del-MD5	yeeS	b2002	CDS	2074332	2074778	+
del-MD5	yeeT	b2003	CDS	2074841	2075062	+
del-MD5	yeeU	b2004	CDS	2075136	2075504	+
del-MD5	yeeV	b2005	CDS	2075593	2075967	+
del-MD5	yeeW	b2006	CDS	2075964	2076158	+
del-MD5	yoeF	b4538	CDS	2076599	2076955	+
del-MD5	yeeX	b2007	CDS	2077056	2077451	-
del-MD5	yeeA	b2008	CDS	2077557	2078615	-
del-MD22	wbbL	b4571	pseudogene	2099420	2101413	-
del-MD22	insH-7	b2030	CDS	2099919	2100935	-
del-MD22	wbbK	b2032	CDS	2101415	2102533	-
del-MD22	wbbJ	b2033	CDS	2102518	2103108	-
del-MD22	wbbI	b2034	CDS	2103089	2104081	-
del-MD22	wbbH	b2035	CDS	2104084	2105250	-
del-MD22	glf	b2036	CDS	2105250	2106353	-
del-MD22	rfbX	b2037	CDS	2106361	2107608	-
del-MD22	rfbC	b2038	CDS	2107605	2108162	-
del-MD22	rfbA	b2039	CDS	2108162	2109043	-
del-MD22	rfbD	b2040	CDS	2109101	2110000	-
del-MD22	rfbB	b2041	CDS	2110000	2111085	-
del-MD22	galF	b2042	CDS	2111458	2112351	-
del-MD22	wcaM	b2043	CDS	2112526	2113920	-
del-MD22	wcaL	b2044	CDS	2113931	2115151	-
del-MD22	wcaK	b2045	CDS	2115148	2116428	-
del-MD22	wzxC	b2046	CDS	2116704	2118182	-
del-MD22	wcaJ	b2047	CDS	2118184	2119578	-
del-MD22	cpsG	b2048	CDS	2119633	2121003	-
del-MD22	cpsB	b2049	CDS	2121108	2122544	-
del-MD22	wcaI	b2050	CDS	2122547	2123770	-
del-MD22	nudD	b2051	CDS	2123767	2124246	-
del-MD22	fcl	b2052	CDS	2124249	2125214	-
del-MD22	gmd	b2053	CDS	2125217	2126338	-
del-MD22	wcaF	b2054	CDS	2126364	2126912	-
del-MD22	wcaE	b2055	CDS	2126928	2127674	-
del-MD22	wcaD	b2056	CDS	2127685	2128902	-
del-MD22	wcaC	b2057	CDS	2128877	2130094	-
del-MD22	wcaB	b2058	CDS	2130091	2130579	-
del-MD22	wcaA	b2059	CDS	2130582	2131421	-
del-MD22	wzc	b2060	CDS	2131514	2133676	-
del-MD22	wzb	b2061	CDS	2133679	2134122	-
del-MD22	wza	b2062	CDS	2134128	2135267	-
del-MD37	yegP	b2080	CDS	2163213	2163545	+
del-MD37	yegQ	b2081	CDS	2163692	2165053	+
del-MD37	ryeE	b4438	misc_RNA	2165136	2165221	+
del-MD37	ogrK	b2082	CDS	2165326	2165544	-
