Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
INSB2_ECOLI	P0CF26	insB-2	b0264	A	MD1	2	2	"Insertion Element ;Transposase"		del-MD1	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P0CF26	167	CDS	278402	278905	-	new id	Insertion element IS1 2 protein insB (IS1b)
INSA2_ECOLI	P0CF08	insA-2	b0265	A	MD1	2	2	Insertion Element 		del-MD1	Cytoplasm. 	Cytoplasmic			P0CF08	91	CDS	278824	279099	-	new id	Insertion element IS1 2 protein insA (IS1b)
YKGN_ECOLI	Q79E92	ykgN	b4505	A		2	0	"pseudogene (Uniprot);Transposase"		del-MD1	"Cell outer membrane; Multi-pass membrane protein. "	-			Q79E92	112	CDS	279248	279586	-		Putative transposase ykgN
YAGB_ECOLI	P37008	yagB	b0266	A		2	0	pseudogene (Ohman 2006)		del-MD1		Cytoplasmic			P37008	116	CDS	279609	279959	-		Putative uncharacterized protein yagB
YAGA_ECOLI	P37007	yagA	b0267	A	MD1	2	2	"Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD1		Cytoplasmic			P37007	384	CDS	280053	281207	-		Uncharacterized protein yagA
YAGE_ECOLI	P75682	yagE	b0268	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	"Cell inner membrane; Multi-pass membrane protein. Secreted. "	-			P75682	309	CDS	281481	282410	+		Uncharacterized protein yagE
YAGF_ECOLI	P77596	yagF	b0269	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P77596	655	CDS	282425	284392	+		Uncharacterized protein yagF (EC 4.-.-.-)
YAGG_ECOLI	P75683	yagG	b0270	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	Cytoplasm. 	-	SEC		P75683	460	CDS	284619	286001	+		Uncharacterized symporter yagG
YAGH_ECOLI	P77713	yagH	b0271	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P77713	536	CDS	286013	287623	+		Putative beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Xylan 1,4-beta-xylosidase)
YAGI_ECOLI	P77300	yagI	b0272	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P77300	252	CDS	287628	288386	-		Uncharacterized HTH-type transcriptional regulator yagI
OTC2_ECOLI	P06960	argF	b0273	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		-			P06960	334	CDS	288525	289529	-		Ornithine carbamoyltransferase chain F (EC 2.1.3.3) (OTCase-2)
INSB3_ECOLI	P0CF27	insB-3	b0274	A	MD1	2	2	"Insertion Element ;Transposase"		del-MD1		Integral Membrane Protein			P0CF27	167	CDS	289873	290376	-	new id	Insertion element IS1 3 protein insB (IS1c)
INSA3_ECOLI	P0CF09	insA-3	b0275	A	MD1	2	2	Insertion Element 		del-MD1	"Cell membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<			P0CF09	91	CDS	290295	290570	-	new id	Insertion element IS1 3 protein insA (IS1c)
YAGJ_ECOLI	P77169	yagJ	b0276	A		2	0	pseudogene (Uniprot)		del-MD1	"Cell membrane; Lipid-anchor. "	Inner membrane lipoprotein			P77169	243	CDS	290724	291455	+		Putative uncharacterized protein yagJ
YAGK_ECOLI	P77657	yagK	b0277	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1	"Cell outer membrane; Lipid-anchor. "	Outer membrane Lipoprotein			P77657	208	CDS	291546	292172	-		Uncharacterized protein yagK
YAGL_ECOLI	P77607	yagL	b0278	B	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Periplasmic	SEC		P77607	232	CDS	292444	293142	-		Uncharacterized protein yagL
YAGM_ECOLI	P71296	yagM	b0279	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Periplasmic			P71296	284	CDS	293169	294023	-		Uncharacterized protein yagM
YAGN_ECOLI	P71297	yagN	b0280	A	MD1	2	2	Prophage Integrase (EcoGene)		del-MD1		Cytoplasmic			P71297	146	CDS	294363	294803	-		Uncharacterized protein yagN
INTF_ECOLI	P71298	intF	b0281	A	MD1	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD1		-			P71298	466	CDS	294920	296320	-		Putative prophage CP4-6 integrase
YAGP_ECOLI	P75684	yagP	b0282	B		2	0	pseudogene (Uniprot) 		del-MD1		-	SEC		P75684	136	CDS	296605	297015	-		Uncharacterized protein yagP
YAGQ_ECOLI	P77183	yagQ	b0283	A	MD1	0	2			del-MD1		Periplasmic			P77183	318	CDS	296994	297950	-	"notes: helps yagRST assemple in to an active periplasmic complex but it is not part of the complex itself ; propably remains in the cytoplasm; The YagT protein contains a 49 amino acid Tat leader peptide that allows the export of the active heterotrimer t"	Uncharacterized protein yagQ
YAGR_ECOLI	P77489	yagR	b0284	G	MD1	0	2			del-MD1		Membrane anchored	TAT piggyback		P77489	732	CDS	297960	300158	-	Notes: TAT piggyback The YagT protein contains a 49 amino acid Tat leader peptide that allows the export of the active heterotrimer to the periplasm (data not shown). Tat substrates are matured in the cytoplasm prior to their translocation. Here, we wante	Putative xanthine dehydrogenase yagR molybdenum-binding subunit (EC 1.17.1.4)
YAGS_ECOLI	P77324	yagS	b0285	G	MD1	0	2			del-MD1	"Cell membrane; Peripheral membrane protein; Cytoplasmic side. "	Periplasmic	TAT piggyback		P77324	318	CDS	300155	301111	-	Notes: TAT piggyback The YagT protein contains a 49 amino acid Tat leader peptide that allows the export of the active heterotrimer to the periplasm (data not shown). Tat substrates are matured in the cytoplasm prior to their translocation. Here, we wante	Putative xanthine dehydrogenase yagS FAD-binding subunit (EC 1.17.1.4)
YAGT_ECOLI	P77165	yagT	b0286	G	MD1	0	2			del-MD1		Cytoplasmic	TAT		P77165	229	CDS	301108	301797	-	Notes: The YagT protein contains a 49 amino acid Tat leader peptide that allows the export of the active heterotrimer to the periplasm (data not shown). Tat substrates are matured in the cytoplasm prior to their translocation. Here, we wanted to distingui	Putative xanthine dehydrogenase yagT iron-sulfur-binding subunit
YAGU_ECOLI	P0AAA1	yagU	b0287	B	MD1	0	2			del-MD1	Periplasm. 	Periplasmic >EXP<	SEC		P0AAA1	204	CDS	302215	302829	+		Inner membrane protein yagU
YKGJ_ECOLI	P0AAL9	ykgJ	b0288	G	MD1	0	2			del-MD1	Cytoplasm. 	Cytoplasmic	SEC		P0AAL9	109	CDS	303077	303406	-	Localization: <Predicted> Periplasmic	Uncharacterized protein ykgJ
YAGV_ECOLI	P77263	yagV	b0289	G	MD1	0	2			del-MD1	"Cell outer membrane; Peripheral membrane protein. "	Outer Membrane &#223-barrel protein	SEC		P77263	236	CDS	303719	304429	-		Uncharacterized protein yagV
YAGW_ECOLI	P77694	yagW	b0290	H	MD1	0	2			del-MD1		Cytoplasmic	SEC	BAM	P77694	547	CDS	304398	306041	-	Putative Outer membrane protein (BOMB  prediction + SignalP 98% prediction)	Uncharacterized protein yagW
YAGX_ECOLI	P77802	yagX	b0291	G	MD1	0	2			del-MD1		Cytoplasmic	SEC		P77802	841	CDS	306031	308556	-		Uncharacterized protein yagX
MATC_ECOLI	P77188	yagY	b0292	G	MD1	0	2			del-MD1		Integral Membrane Protein	SEC		P77188	222	CDS	308582	309250	-		Uncharacterized protein matC
MATB_ECOLI	P0AAA3	yagZ	b0293	G	MD1	0	2			del-MD1	"Cell inner membrane; Single-pass type II membrane protein. "	Periplasmic with N-terminal membrane anchor >EXP<	SEC		P0AAA3	195	CDS	309308	309895	-		Fimbrillin matB homolog
MATA_ECOLI	P71301	ykgK	b0294	A	MD1	0	2			del-MD1	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P71301	196	CDS	309970	310560	-		Probable HTH-type transcriptional regulator matA homolog
YKGL_ECOLI	P56257	ykgL	b0295	A	MD1	0	2			del-MD1	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P56257	75	CDS	311336	311563	+		Uncharacterized protein ykgL
RL362_ECOLI	Q2EEQ2	ykgO	b4506	A	MD1	0	2			del-MD1	Periplasm. 	Outer Membrane &#223-barrel protein			Q2EEQ2	46	CDS	311598	311738	-	translation ribosomal	50S ribosomal protein L36 2
RL31B_ECOLI	P0A7N1	ykgM	b0296	A	MD1	0	2			del-MD1	Cytoplasm. 	Cytoplasmic			P0A7N1	87	CDS	311738	312001	-	Notes: ribosomal	50S ribosomal protein L31 type B
EAEH_ECOLI	P36943	eaeH	b0297	H		2	0	pseudogene (Uniprot) 		del-MD1	"Cell outer membrane; Multi-pass membrane protein. "	-	 	 	P36943	295	CDS	313581	314468	+		Putative attaching and effacing protein homolog
INSE1_ECOLI	P0CF66	insE-1	b0298	A	MD1	2	2	"Insertion Sequence;Transposase"		del-MD1	"Cytoplasm. Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Cytoplasmic			P0CF66	99	CDS	314506	314814	+	new id	Transposase insE for insertion sequence IS3A
INSF1_ECOLI	P0CF79	insF-1	b0299	A	MD1	2	2	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD1	Periplasm. 	Integral Membrane Protein			P0CF79	288	CDS	314811	315677	+	note: Predicted inner membrane in Bensel	Transposase insF for insertion sequence IS3A
YKGA_ECOLI	P77601	ykgA	b0300	A		2	0	pseudogene (Uniprot)		del-MD1		Cytoplasmic			P77601	239	CDS	315674	316360	-		Putative HTH-type transcriptional regulator ykgA
YKGB_ECOLI	P75685	ykgB	b0301	B	MD1	0	2			del-MD1		Cytoplasmic	SEC		P75685	197	CDS	316950	317543	-		Inner membrane protein ykgB
YKGI_ECOLI	P75687	ykgI	b0303	G	MD1	0	2			del-MD1		Cytoplasmic	SEC		P75687	78	CDS	317555	317791	-		Uncharacterized protein ykgI
YKGC_ECOLI	P77212	ykgC	b0304	A	MD1	0	2			del-MD1	"Membrane; Single-pass membrane protein. "	-			P77212	441	CDS	317900	319225	-		Probable pyridine nucleotide-disulfide oxidoreductase ykgC
YKGD_ECOLI	P77379	ykgD	b0305	B	MD1	0	2			del-MD1	"Membrane; Single-pass membrane protein. "	Membrane anchored	SEC		P77379	284	CDS	319451	320305	+		Uncharacterized HTH-type transcriptional regulator ykgD
YKGE_ECOLI	P77252	ykgE	b0306	A	MD1	0	2			del-MD1		Cytoplasmic			P77252	239	CDS	320832	321551	+		Uncharacterized protein ykgE
YKGF_ECOLI	P77536	ykgF	b0307	A	MD1	0	2			del-MD1	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P77536	475	CDS	321562	322989	+		Uncharacterized electron transport protein ykgF
YKGG_ECOLI	P77433	ykgG	b0308	A	MD1	0	2			del-MD1		Membrane anchored			P77433	231	CDS	322982	323677	+		Uncharacterized protein ykgG
YKGH_ECOLI	P77180	ykgH	b0310	B	MD1	0	2			del-MD1		Cytoplasmic	SEC		P77180	222	CDS	323920	324588	-		Uncharacterized protein ykgH
YAHA_ECOLI	P21514	yahA	b0315	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P21514	362	CDS	331595	332683	+		Cyclic di-GMP phosphodiesterase yahA (EC 3.1.4.-)
YAHB_ECOLI	P77700	yahB	b0316	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P77700	310	CDS	332725	333657	-	CYTO	Uncharacterized HTH-type transcriptional regulator yahB
YAHC_ECOLI	P77219	yahC	b0317	B	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P77219	165	CDS	333749	334246	-		Uncharacterized protein yahC
YAHD_ECOLI	P77736	yahD	b0318	A	MD43	0	2			del-MD43	Cytoplasm. 	Cytoplasmic			P77736	201	CDS	334504	335109	+		Putative ankyrin repeat protein yahD
YAHE_ECOLI	P77297	yahE	b0319	A	MD43	0	2			del-MD43	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77297	287	CDS	335149	336012	+		Uncharacterized protein yahE
YAHF_ECOLI	P77187	yahF	b0320	A	MD43	0	2			del-MD43	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77187	515	CDS	336002	337549	+		Uncharacterized protein yahF
YAHG_ECOLI	P77221	yahG	b0321	A	MD43	0	2			del-MD43	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77221	472	CDS	337549	338967	+		Uncharacterized protein yahG
YAHH_ECOLI	Q2EEQ3	yahH	b0322	B		2	0	pseudogene (Ecogene/Uniprot)		del-MD43		Cytoplasmic			Q2EEQ3	106	CDS	339017	339313	+		Putative uncharacterized protein yahH
ARCM_ECOLI	P77624	yahI	b0323	A	MD43	0	2			del-MD43	"Membrane; Single-pass membrane protein. "	Membrane anchored			P77624	316	CDS	339389	340339	+		Carbamate kinase-like protein yahI
YAHJ_ECOLI	P77554	yahJ	b0324	G	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	TAT / SEC		P77554	460	CDS	340349	341731	+	TAT secretion system	Uncharacterized protein yahJ
YAHK_ECOLI	P75691	yahK	b0325	B	MD43	0	2			del-MD43		Periplasmic	SEC		P75691	349	CDS	342108	343157	+		Uncharacterized zinc-type alcohol dehydrogenase-like protein yahK (EC 1.-.-.-)
YAHL_ECOLI	P77393	yahL	b0326	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77393	271	CDS	343400	344215	+		Uncharacterized protein yahL
YAHM_ECOLI	P75692	yahM	b0327	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Membrane anchored			P75692	81	CDS	344628	344873	+		Uncharacterized protein yahM
YAHN_ECOLI	P75693	yahN	b0328	B	MD43	0	2			del-MD43		Integral Membrane Protein	SEC		P75693	223	CDS	344890	345561	-		Uncharacterized membrane protein yahN
YAHO_ECOLI	P75694	yahO	b0329	G	MD43	0	2			del-MD43		Cytoplasmic	SEC		P75694	91	CDS	345708	345983	+		Uncharacterized protein yahO
PRPR_ECOLI	P77743	prpR	b0330	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P77743	528	CDS	346081	347667	-		Propionate catabolism operon regulatory protein
PRPB_ECOLI	P77541	prpB	b0331	B	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P77541	296	CDS	347906	348796	+		Methylisocitrate lyase (EC 4.1.3.30) (2-methylisocitrate lyase)
PRPC_ECOLI	P31660	prpC	b0333	A	MD43	0	2			del-MD43		Cytoplasmic			P31660	389	CDS	349236	350405	+		2-methylcitrate synthase (EC 2.3.3.5) (Citrate synthase 2) (Methylcitrate synthase)
PRPD_ECOLI	P77243	prpD	b0334	A	MD43	0	2			del-MD43		Cytoplasmic			P77243	483	CDS	350439	351890	+		2-methylcitrate dehydratase (EC 4.2.1.79)
PRPE_ECOLI	P77495	prpE	b0335	A	MD43	0	2			del-MD43		Periplasmic >EXP<			P77495	628	CDS	351930	353816	+		Propionate--CoA ligase (EC 6.2.1.17) (Propionyl-CoA synthetase)
CODB_ECOLI	P0AA82	codB	b0336	B	MD43	0	2			del-MD43	Cytoplasm. 	Cytoplasmic	SEC		P0AA82	419	CDS	354146	355405	+		Cytosine permease
CODA_ECOLI	P25524	codA	b0337	A	MD43	0	2			del-MD43		Cytoplasmic			P25524	427	CDS	355395	356678	+		Cytosine deaminase (EC 3.5.4.1) (Cytosine aminohydrolase)
CYNR_ECOLI	P27111	cynR	b0338	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P27111	299	CDS	357015	357914	-		HTH-type transcriptional regulator cynR (Cyn operon transcriptional activator)
CYNT_ECOLI	P0ABE9	cynT	b0339	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ABE9	219	CDS	358023	358682	+		Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)
CYNS_ECOLI	P00816	cynS	b0340	A	MD43	0	2			del-MD43		Cytoplasmic >EXP<			P00816	156	CDS	358713	359183	+		Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)
CYNX_ECOLI	P17583	cynX	b0341	B	MD43	0	2			del-MD43		Outer membrane Lipoprotein >EXP<	SEC		P17583	384	CDS	359216	360370	+		Cyanate transport protein cynX
THGA_ECOLI	P07464	lacA	b0342	A	MD43	0	2			del-MD43	Periplasm. 	-			P07464	203	CDS	360473	361084	-		Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Thiogalactoside acetyltransferase)
LACY_ECOLI	P02920	lacY	b0343	B	MD43	0	2		Common Core	del-MD43		Cytoplasmic	SEC		P02920	417	CDS	361150	362403	-		Lactose permease (Lactose-proton symport)
BGAL_ECOLI	P00722	lacZ	b0344	A	MD43	0	2			del-MD43		Cytoplasmic			P00722	1024	CDS	362455	365529	-		Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)
LACI_ECOLI	P03023	lacI	b0345	A	MD43	0	2			del-MD43		Cytoplasmic			P03023	360	CDS	365652	366734	-		Lactose operon repressor
MHPR_ECOLI	P77569	mhpR	b0346	A	MD43	0	2			del-MD43		Cytoplasmic			P77569	277	CDS	366811	367758	-		Mhp operon transcriptional activator
MHPA_ECOLI	P77397	mhpA	b0347	B	MD43	0	2			del-MD43	Periplasm. 	Periplasmic	SEC		P77397	554	CDS	367835	369499	+		3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.n3)
MHPB_ECOLI	P0ABR9	mhpB	b0348	A	MD43	0	2			del-MD43	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ABR9	314	CDS	369501	370445	+		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16)
MHPC_ECOLI	P77044	mhpC	b0349	A	MD43	0	2			del-MD43		Cytoplasmic			P77044	293	CDS	370448	371329	+		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.n1) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic a
MHPD_ECOLI	P77608	mhpD	b0350	A	MD43	0	2			del-MD43		Cytoplasmic			P77608	269	CDS	371339	372148	+		2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)
ACDH_ECOLI	P77580	mhpF	b0351	A	MD43	0	2			del-MD43		Cytoplasmic			P77580	316	CDS	372145	373095	+		Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])
HOA_ECOLI	P51020	mhpE	b0352	A	MD43	0	2			del-MD43		Membrane anchored			P51020	337	CDS	373092	374105	+		4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)
MHPT_ECOLI	P77589	mhpT	b0353	B	MD43	0	2			del-MD43		Cytoplasmic	SEC		P77589	403	CDS	374683	375894	+		Putative 3-hydroxyphenylpropionic acid transporter
YAIL_ECOLI	P51024	yaiL	b0354	A	MD43	0	2		Common Core	del-MD43	Periplasm. 	Periplasmic >EXP<			P51024	179	CDS	375996	376535	+		Uncharacterized protein yaiL
