Accession	ECK	Gene	Protein name	emPAI	mRNA	Copy number	Sequence	Number of	Mascot	Number of	GRAVY	GO cellular component
JW4103	ECK4137	groL	Cpn60 chaperonin GroEL, large subunit of GroESL	92,26	5,37	3.796	86,13	40	2380	0	-0,009	GO:0005737 cytoplasm
JW5689	ECK3404	malP	maltodextrin phosphorylase	8,26	2,73	365,77	60,73	44	2325	0	-0,348	0
JW1692	ECK1700	pps	phosphoenolpyruvate synthase	8,52	2,42	376,93	52,02	38	2296	0	-0,243	0
JW0111	ECK0114	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	17,84	5,35	2785,78	66,19	42	2279	0	0,004	0
JW1709	ECK1717	thrS	threonyl-tRNA synthetase	11,07	18,32	485,85	74,61	45	2209	0	-0,494	GO:0005737 cytoplasm
JW2011	ECK2024	gnd	gluconate-6-phosphate dehydrogenase, decarboxylating	78,43	3,24	1366,35	86,54	39	2198	0	0.000	0
JW3712	ECK3727	atpA	F1 sector of membrane-bound ATP synthase, alpha subunit	28,29	006	1206,59	68,23	34	2198	0	-0,045	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0462	ECK0467	htpG	molecular chaperone HSP90 family	20,13	9,48	867,51	72,92	42	2182	0	-0,524	0
JW0190	ECK0194	proS	prolyl-tRNA synthetase	17,96	2,59	776,69	76,92	38	2164	0	-0,243	GO:0005737 cytoplasm
JW3897	ECK3918	glpK	glycerol kinase	46,71	0,17	1961,97	076	36	2162	0	-0,292	0
JW3686	ECK3701	tnaA	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	43,17	-	1817,64	80,25	36	2150	0	-0,216	0
JW3138	ECK3158	nusA	transcription termination/antitermination L factor	29,39	1,54	1252,04	75,76	35	2140	0	-0,278	GO:0005737 cytoplasm
JW3710	ECK3725	atpD	F1 sector of membrane-bound ATP synthase, beta subunit	64,29	003	2674,21	91,74	32	2120	0	-0,118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1228	ECK1235	adhE	fused acetaldehyde-CoA dehydrogenase -!- iron-dependent alcohol dehydrogenase -!- pyruvate-formate lyase deactivase	11,16	14,52	47,83	67,45	42	2103	0	-0,066	0
JW2491	ECK2503	guaA	GMP synthetase (glutamine aminotransferase)	31,82	2,25	1352,28	082	39	2094	0	-0,096	GO:0005737 cytoplasm
JW5851	ECK3152	pnp	polynucleotide phosphorylase/polyadenylase	10,84	001	476,06	57,22	35	2026	0	-0,169	GO:0005737 cytoplasm
JW5625	ECK3691	gyrB	DNA gyrase, subunit B	12,34	5,12	540	065	41	2002	0	-0,454	GO:0005737 cytoplasm
JW2294	ECK2291	pta	phosphate acetyltransferase	11,92	0,71	225,17	57,56	34	1979	0	0.000	0
JW1604	ECK1607	fumA	aerobic Class I fumarate hydratase (fumarase A)	17,05	5,89	354,66	76,46	35	1979	0	-0,368	0
JW0713	ECK0712	sdhA	succinate dehydrogenase, flavoprotein subunit	13,96	6,87	334,59	74,49	33	1970	0	-0,324	GO:0005737 cytoplasm
JW0112	ECK0115	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	49,55	22,38	2077,52	66,24	32	1970	0	-0,011	GO:0005737 cytoplasm
JW4215	ECK4251	valS	valyl-tRNA synthetase	006	001	263,96	47,84	44	1966	0	0.000	GO:0005737 cytoplasm
JW1768	ECK1777	gapA	glyceraldehyde-3-phosphate dehydrogenase A	109,07	8,91	20789,62	90,33	34	1959	0	-0,133	GO:0005737 cytoplasm
JW0007	ECK0008	talB	transaldolase B	53,84	002	1636,47	086	30	1935	0	0.000	GO:0005737 cytoplasm
JW3865	ECK3887	fdoG	formate dehydrogenase-O, large subunit	4,57	3,84	206,06	47,64	35	1916	0	-0,346	GO:0005737 cytoplasm
JW3366	ECK3390	pck	phosphoenolpyruvate carboxykinase	49,12	5,75	2060,04	72,22	34	1908	0	-0,315	0
JW2101	ECK2107	metG	methionyl-tRNA synthetase	009	1,12	398	64,84	36	1899	0	-0,303	GO:0005737 cytoplasm
JW2409	ECK2411	ptsI	PEP-protein phosphotransferase of PTS system (enzyme I)	16,48	24,33	627,12	071	32	1889	0	0.000	0
JW4354	ECK4383	yjjK	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	11,74	2,24	514,33	74,23	34	1889	0	-0,478	GO:0005737 cytoplasm
JW3389	ECK3412	glpD	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding	12,77	-	558,02	79,44	33	1856	0	-0,384	GO:0005737 cytoplasm
JW3914	ECK3934	katG	catalase/hydroperoxidase HPI(I)	010	2,74	444,52	62,95	37	1839	0	-0,372	0
JW3756	ECK3775	rho	transcription termination factor	33,33	0,78	1414,45	77,33	33	1828	0	-0,298	GO:0005737 cytoplasm
JW5375	ECK2280	nuoC	NADH:ubiquinone oxidoreductase, chain C,D	13,53	6,62	590,19	71,67	35	1826	0	-0,307	GO:0005737 cytoplasm
JW3841	ECK3863	glnA	glutamine synthetase	90,52	4,78	3726,18	83,58	33	1820	0	-0,292	GO:0005737 cytoplasm
JW0096	ECK0099	secA	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon	5,17	1,48	232,24	53,83	39	1820	0	-0,467	GO:0005737 cytoplasm
JW2750	ECK2773	eno	enolase	45,42	4,91	5949,64	81,02	29	1814	0	-0,158	GO:0005737 cytoplasm
JW0172	ECK0176	yaeT	conserved protein	4,36	2,46	196,87	47,41	33	1804	0	-0,483	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2871	ECK2898	gcvP	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex	4,96	2,26	223,08	53,81	33	1797	0	-0,066	0
JW4135	ECK4173	purA	adenylosuccinate synthetase	17,59	012	761,18	74,77	27	1783	0	0.000	GO:0005737 cytoplasm
JW2225	ECK2223	gyrA	DNA gyrase (type II topoisomerase), subunit A	5,63	2,14	252,24	51,89	40	1776	0	0.000	GO:0005737 cytoplasm
JW3707	ECK3722	glmS	L-glutamine:D-fructose-6-phosphate aminotransferase	17,74	2,14	767,47	067	32	1772	0	-0,101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2858	ECK2885	lysS	lysine tRNA synthetase, constitutive	21,64	0,81	930,53	70,89	32	1759	0	-0,396	GO:0005737 cytoplasm
JW3301	ECK3326	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	118	11,71	4802,42	090	30	1741	0	-0,196	GO:0005737 cytoplasm
JW2893	ECK2922	pgk	phosphoglycerate kinase	64,79	3,56	1285,46	82,95	28	1738	0	0,072	GO:0005737 cytoplasm
JW2395	ECK2394	gltX	glutamyl-tRNA synthetase	15,82	2,12	687	072	32	1708	0	-0,528	GO:0005737 cytoplasm
JW3205	ECK3225	mdh	malate dehydrogenase, NAD(P)-binding	86,99	7,98	582,65	79,49	23	1705	0	0,194	0
JW1071	ECK1069	rne	fused ribonucleaseE endoribonuclease -!- scaffold for formation of degradosome	5,71	1,03	255,72	44,58	35	1697	0	-0,645	GO:0005737 cytoplasm
JW2751	ECK2774	pyrG	CTP synthetase	13,03	1,31	569,03	61,65	33	1696	1	-0,139	0
JW5238	ECK1473	sfcA	malate dehydrogenase, NAD-requiring (malic enzyme)	14,62	4,63	636,23	73,81	31	1675	0	0.000	0
JW0429	ECK0433	lon	DNA-binding ATP-dependent protease La	9,96	2,17	438,54	61,86	40	1673	0	-0,312	GO:0005737 cytoplasm
JW5478	ECK2930	tktA	transketolase 1, thiamin-binding	020	1,65	656,74	70,29	36	1671	0	-0,228	0
JW3970	ECK3998	purH	fused IMP cyclohydrolase -!- phosphoribosylaminoimidazolecarboxamide formyltransferase	007	3,07	289,95	64,84	26	1655	0	-0,126	GO:0005737 cytoplasm
JW1235	ECK1237	oppA	oligopeptide transporter subunit -!- periplasmic-binding component of ABC superfamily	11,12	13,15	487,98	80,29	31	1650	1	-0,436	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
JW0717	ECK0716	sucC	succinyl-CoA synthetase, beta subunit	10,72	9,48	2324,65	67,27	24	1647	0	0,024	0
JW4090	ECK4123	lysU	lysine tRNA synthetase, inducible	17,12	2,41	741,45	62,57	32	1638	0	-0,399	GO:0005737 cytoplasm
JW1666	ECK1672	pykF	pyruvate kinase I	20,54	2,07	1113,95	69,15	31	1631	0	-0,082	0
JW5401	ECK2504	guaB	IMP dehydrogenase	13,87	2,37	604,57	72,54	24	1616	0	-0,098	GO:0005737 cytoplasm
JW2203	ECK2207	ompC	outer membrane porin protein C	77,48	24,26	3204,57	086	25	1583	0	-0,533	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2514	ECK2527	iscS	cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent	18,57	012	802,26	65,84	25	1575	0	-0,273	0
JW1215	ECK1218	narG	nitrate reductase 1, alpha subunit	2,11	6,07	97,41	37,05	31	1564	0	-0,512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0165	ECK0169	tsf	protein chain elongation factor EF-Ts	69,79	5,18	2895,73	82,69	29	1562	0	-0,118	GO:0005737 cytoplasm
JW1122	ECK1122	icd	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"	77,14	11,81	3190,93	71,15	34	1553	0	-0,154	0
JW1855	ECK1867	aspS	aspartyl-tRNA synthetase	009	3,07	398	66,95	34	1538	0	-0,265	GO:0005737 cytoplasm
JW0666	ECK0668	glnS	glutamyl-tRNA synthetase	7,41	1,41	329,22	63,18	32	1534	0	-0,518	GO:0005737 cytoplasm
JW2228	ECK2226	nrdA	ribonucleoside diphosphate reductase 1, alpha subunit	6,15	0,67	275	048	36	1525	0	-0,337	0
JW0431	ECK0435	ppiD	peptidyl-prolyl cis-trans isomerase (rotamase D)	5,38	1,01	241,38	60,51	29	1516	1	-0,405	0
JW3902	ECK3923	hslU	molecular chaperone and ATPase component of HslUV protease	10,72	4,37	470,95	56,43	29	1509	0	-0,363	GO:0005737 cytoplasm
JW0913	ECK0921	asnS	asparaginyl tRNA synthetase	8,26	3,57	365,77	56,65	25	1509	0	-0,257	GO:0005737 cytoplasm
JW0053	ECK0055	imp	exported protein required for envelope biosynthesis and integrity	2,86	1,71	130,81	41,96	26	1495	0	-0,657	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5531	ECK3150	deaD	ATP-dependent RNA helicase	007	0,21	307,23	61,69	30	1481	0	-0,586	GO:0005737 cytoplasm
JW3580	ECK3595	lldD	L-lactate dehydrogenase, FMN-linked	13,68	002	596,53	71,97	23	1479	0	0,037	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0710	ECK0709	gltA	citrate synthase	24,12	11,49	1577,84	77,52	26	1453	0	-0,231	0
JW3257	ECK3282	rpoA	RNA polymerase, alpha subunit	70,97	10,58	2943,18	79,64	27	1437	0	-0,228	GO:0005737 cytoplasm
JW4198	ECK4234	treC	trehalose-6-P hydrolase	16,43	003	712,46	52,81	28	1434	0	-0.001	GO:0005737 cytoplasm
JW1865	ECK1877	argS	arginyl-tRNA synthetase	005	0,97	216	59,27	27	1427	0	-0,258	GO:0005737 cytoplasm
JW0428	ECK0432	clpX	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	13,25	2,71	578,35	73,82	24	1411	0	-0,238	GO:0005737 cytoplasm
JW5571	ECK3864	bipA	GTP-binding protein	012	0,74	504,13	046	25	1406	0	-0,298	0
JW0911	ECK0919	aspC	aspartate aminotransferase, PLP-dependent	25,49	2,64	1090,63	075	28	1397	0	-0,202	GO:0005737 cytoplasm
JW3224	ECK3243	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	12,46	1,96	544,88	67,71	29	1387	0	-0,173	GO:0005737 cytoplasm
JW2507	ECK2520	pepB	aminopeptidase B	18,05	2,26	780,47	75,41	25	1384	0	-0,214	0
JW3985	ECK4017	pgi	glucosephosphate isomerase	012	7,97	506,43	66,67	28	1373	0	-0,268	GO:0005737 cytoplasm
JW1412	ECK1408	aldA	aldehyde dehydrogenase A, NAD-linked	5,21	5,19	233,98	055	20	1373	0	-0,056	0
JW1279	ECK1281	rnb	ribonuclease II	5,38	0,42	241,38	57,14	30	1368	0	-0,277	0
JW2892	ECK2921	fbaA	fructose-bisphosphate aldolase, class II	137,95	2,84	3043,33	58,77	19	1363	0	-0,224	0
JW4204	ECK4240	pyrB	aspartate carbamoyltransferase, catalytic subunit	057	5,13	2.372	89,07	27	1358	0	-0,105	GO:0005737 cytoplasm
JW2447	ECK2458	maeB	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	8,47	10,06	374,79	58,37	30	1348	0	0,054	0
JW3975	ECK4007	aceA	isocitrate lyase	19,15	2,55	1522,03	72,81	23	1336	0	-0,224	GO:0005737 cytoplasm
JW3145	ECK3167	ftsH	protease, ATP-dependent zinc-metallo	7,89	2,12	349,88	56,83	31	1325	2	-0,263	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4115	ECK4150	frdA	fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit	5,47	4,29	245,29	53,99	26	1324	0	-0,365	GO:0005737 cytoplasm
JW0716	ECK0715	sucB	dihydrolipoyltranssuccinase	30,62	8,52	2411,74	056	24	1318	0	-0,217	0
JW2535	ECK2548	glyA	serine hydroxymethyltransferase	19,81	4,49	854,14	60,43	24	1306	0	-0,233	GO:0005737 cytoplasm
JW5551	ECK3954	sthA	pyridine nucleotide transhydrogenase, soluble	13,25	4,25	578,35	76,61	22	1306	0	-0,227	GO:0005737 cytoplasm
JW3928	ECK3947	ppc	phosphoenolpyruvate carboxylase	2,29	1,02	57,65	38,28	27	1303	0	-0,277	GO:0005737 cytoplasm
JW5503	ECK3026	tolC	transport channel	12,04	3,03	527,07	63,08	22	1303	0	-0,427	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0164	ECK0168	rpsB	30S ribosomal subunit protein S2	340,45	12,55	13.459	083	22	1280	0	-0,268	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2553	ECK2567	lepA	GTP binding membrane protein	8,28	1,56	366,63	48,91	25	1275	0	0.000	0
JW2082	ECK2088	gatZ	D-tagatose 1,6-bisphosphate aldolase 2, subunit	43,67	18,75	1838,05	74,29	22	1271	0	-0,121	0
JW0658	ECK0653	miaB	isopentenyl-adenosine A37 tRNA methylthiolase	9,83	1,89	432,99	64,98	25	1260	0	-0,378	GO:0005737 cytoplasm
JW1198	ECK1195	prsA	phosphoribosylpyrophosphate synthase	26,38	2,52	1127,52	60,32	17	1259	0	0,096	0
JW4099	ECK4133	aspA	aspartate ammonia-lyase	009	009	398	055	23	1259	0	-0,066	GO:0005737 cytoplasm
JW1843	ECK1855	pykA	pyruvate kinase II	13,07	1,76	404,41	65,63	25	1241	0	-0,025	0
JW0675	ECK0676	pgm	phosphoglucomutase	9,86	1,34	253,16	54,03	24	1229	0	-0,168	GO:0005737 cytoplasm
JW0627	ECK0625	dacA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	8,12	1,19	359,76	59,31	21	1229	0	-0,137	GO:0019866 inner membrane
JW0866	ECK0873	clpA	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity	3,06	1,83	139,67	42,88	25	1224	0	-0,298	GO:0005737 cytoplasm
JW0599	ECK0600	ahpF	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	010	-	431,71	61,04	26	1220	0	-0,123	0
JW3714	ECK3729	atpF	F0 sector of membrane-bound ATP synthase, subunit b	198,53	9,77	7978,89	75,64	18	1219	1	-0,213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3711	ECK3726	atpG	F1 sector of membrane-bound ATP synthase, gamma subunit	36,93	4,66	1562,34	89,55	26	1213	0	-0,227	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3039	ECK3057	rpoD	RNA polymerase, sigma 70 (sigma D) factor	5,49	3,95	246,16	47,96	21	1213	0	-0,589	GO:0005737 cytoplasm
JW4194	ECK4230	pmbA	predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17	6,74	001	300,32	58,44	20	1188	0	0.000	GO:0005737 cytoplasm
JW1117	ECK1117	purB	adenylosuccinate lyase	14,32	3,51	623,57	61,84	26	1187	0	-0,243	GO:0005737 cytoplasm
JW0598	ECK0599	ahpC	alkyl hydroperoxide reductase, C22 subunit	141,51	15,63	5.746	95,19	18	1179	0	-0,278	0
JW0058	ECK0060	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1,92	0,47	88,89	39,57	26	1177	0	-0,355	0
JW0101	ECK0104	guaC	GMP reductase	28,76	1,73	1226,02	72,05	22	1173	0	-0,068	GO:0005737 cytoplasm
JW5277	ECK1712	pheS	phenylalanine tRNA synthetase, alpha subunit	010	2,02	444,52	69,42	21	1172	0	-0,324	GO:0005737 cytoplasm
JW3465	ECK3483	prlC	oligopeptidase A	3,56	1,36	161,74	44,71	23	1166	0	-0,416	0
JW3143	ECK3165	glmM	phosphoglucosamine mutase	009	-	398	61,35	24	1166	0	0,013	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0915	ECK0923	pepN	aminopeptidase N	3,12	1,52	142,33	35,86	25	1164	0	-0,325	0
JW3270	ECK3295	rplE	50S ribosomal subunit protein L5	411,46	7,76	16.173	82,68	20	1162	0	-0,282	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5873	ECK4366	prfC	peptide chain release factor RF-3	009	000	398	47,83	22	1149	0	-0,326	GO:0005737 cytoplasm
JW0912	ECK0920	ompF	"outer membrane porin 1a (Ia;b;F)"	37,75	10,57	1595,96	78,45	21	1144	0	-0,398	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3592	ECK3607	kbl	glycine C-acetyltransferase	24,12	-	1033,75	59,05	20	1143	0	-0,049	0
JW0907	ECK0915	mukB	fused chromosome partitioning proteins	0,82	001	38,96	022	25	1140	0	-0,599	0
JW2293	ECK2290	ackA	acetate kinase A and propionate kinase 2	14,51	8,31	5090,85	73,75	19	1134	0	-0,047	GO:0005737 cytoplasm
JW2026	ECK2035	rfbB	dTDP-glucose 4,6 dehydratase, NAD(P)-binding	11,33	1,14	496,91	57,34	21	1131	0	-0,449	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3276	ECK3301	rpsC	30S ribosomal subunit protein S3	30,62	9,43	1302,81	79,83	21	1129	0	-0,422	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3835	ECK3855	polA	fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease	2,59	1,73	118,82	32,87	22	1128	0	-0,264	GO:0005737 cytoplasm
JW0940	ECK0948	ompA	"outer membrane protein A (3a;II*;G;d)"	17,33	47,67	750,27	61,56	19	1102	0	-0,339	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW4347	ECK4376	deoD	purine-nucleoside phosphorylase	050	003	2087,68	89,12	18	1090	0	0.000	0
JW2905	ECK2933	speA	biosynthetic arginine decarboxylase, PLP-binding	6,94	0,36	308,96	45,44	23	1088	0	-0,296	GO:0042597 periplasmic space
JW0714	ECK0713	sdhB	succinate dehydrogenase, FeS subunit	18,95	7,62	9524,82	75,63	19	1087	0	-0,299	GO:0005737 cytoplasm
JW5414	ECK2607	ffh	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	7,48	0,84	332,24	56,73	22	1083	0	-0,243	0
JW0227	ECK0238	pepD	aminoacyl-histidine dipeptidase (peptidase D)	21,91	3,93	941,79	55,46	26	1081	0	-0,146	GO:0005737 cytoplasm
JW3947	ECK3975	rplA	50S ribosomal subunit protein L1	53,12	006	2222,48	84,62	19	1077	0	-0,109	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1194	ECK1191	ychF	predicted GTP-binding protein	15,24	1,41	662,37	65,56	19	1069	0	-0,163	0
JW3303	ECK3328	rpsG	30S ribosomal subunit protein S7	162,79	13,54	6582,23	78,21	19	1068	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0876	ECK0884	serS	seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine	12,04	0,43	527,07	59,53	23	1068	0	-0,447	GO:0005737 cytoplasm
JW0030	ECK0033	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	048	0,66	2002,27	80,37	19	1067	0	-0,199	0
JW0180	ECK0184	accA	acetylCoA carboxylase, carboxytransferase, alpha subunit	14,85	-	645,93	74,29	21	1067	0	-0,233	GO:0005737 cytoplasm
JW2137	ECK2143	mglB	methyl-galactoside transporter subunit -!- periplasmic-binding component of ABC superfamily	5,42	6,57	243,12	57,53	19	1066	1	-0,273	GO:0042597 periplasmic space
JW0515	ECK0519	cysS	cysteinyl-tRNA synthetase	007	1,45	289,95	45,12	20	1058	0	-0,415	GO:0005737 cytoplasm
JW1206	ECK1203	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	11,33	2,87	496,91	72,89	19	1057	0	-0,028	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3429	ECK3448	ftsY	fused Signal Recognition Particle (SRP) receptor	6,02	1,41	269,17	42,86	18	1054	0	-0,335	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0093	ECK0096	ftsZ	GTP-binding tubulin-like cell division protein	17,23	3,49	746,07	74,15	20	1053	0	-0,005	GO:0005737 cytoplasm
JW3370	ECK3394	yhgF	predicted transcriptional accessory protein	1,73	1,35	80,35	35,96	23	1044	0	-0,334	0
JW3994	ECK4026	malE	maltose transporter subunit -!- periplasmic-binding component of ABC superfamily	12,18	3,63	533,01	73,74	24	1031	0	-0,251	GO:0042597 periplasmic space
JW0738	ECK0744	gpmA	phosphoglyceromutase 1	70,97	013	2570,12	078	18	1025	0	-0,568	0
JW1806	ECK1815	manX	fused mannose-specific PTS enzyme IIAB components	12,69	13,08	554,63	65,02	20	1023	0	-0,058	GO:0005737 cytoplasm
JW3974	ECK4006	aceB	malate synthase A	2,38	1,71	228	44,28	17	1021	0	-0,316	GO:0005737 cytoplasm
JW3594	ECK3609	rfaD	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	17,96	1,91	776,69	73,87	20	1020	0	-0,284	0
JW0161	ECK0164	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	45,42	2,68	1909,42	59,49	19	1017	0	-0,054	GO:0005737 cytoplasm
JW2483	ECK2494	upp	uracil phosphoribosyltransferase	176,83	4,32	7.132	088	15	1016	0	0,073	0
JW1841	ECK1853	zwf	glucose-6-phosphate dehydrogenase	4,23	-	119,92	52,34	22	1010	0	-0,374	GO:0005737 cytoplasm
JW1281	ECK1283	fabI	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	099	1,54	4064,14	63,74	18	1009	0	0,163	GO:0005737 cytoplasm
JW2909	ECK2937	metK	methionine adenosyltransferase 1	12,69	0,36	554,63	60,68	20	1009	0	-0,189	GO:0005737 cytoplasm
JW3220	ECK3239	mreB	cell wall structural complex MreBCD, actin-like component MreB	28,55	2,31	1217,34	61,96	18	1003	0	0,057	0
JW1629	ECK1633	tyrS	tyrosyl-tRNA synthetase	11,74	3,62	514,33	56,37	18	1000	0	-0,334	GO:0005737 cytoplasm
JW2320	ECK2317	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	033	17,01	1384,41	70,44	18	992	0	0,008	GO:0005737 cytoplasm
JW0150	ECK0153	hemL	glutamate-1-semialdehyde aminotransferase (aminomutase)	14,85	5,84	645,93	54,46	17	988	0	0,202	0
