Accession	Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq	Mean_RNA FISH
P11880	murF	b0086	essential	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	0.491018338	
P17443	murG	b0090	essential	N-acetylglucosaminyl transferase		
P0ABH0	ftsA	b0094	essential	ATP-binding cell division protein involved in recruitment of FtsK to Z ring		
P10408	secA	b0098	essential	"preprotein translocase subunit; ATPase"	2.693961519	
P08337	mutT	b0099	noessential	"nucleoside triphosphate pyrophosphohydrolase; marked preference for dGTP"	0.619209702	
P0A8H8	yacG	b0101	noessential	conserved protein		
P60560	guaC	b0104	noessential	GMP reductase	2.423187711	
P36645	hofB	b0107	noessential	conserved protein with nucleoside triphosphate hydrolase domain	0.150059911	
P30011	nadC	b0109	noessential	quinolinate phosphoribosyltransferase	1.908469448	
P0AFG8	aceE	b0114	noessential	"pyruvate dehydrogenase; decarboxylase component E1; thiamin-binding"	15.84047156	0.77826
P06959	aceF	b0115	noessential	"pyruvate dehydrogenase; dihydrolipoyltransacetylase component E2"	8.067519042	0.2289
P0A9P0	lpd	b0116	noessential	"lipoamide dehydrogenase; E3 component is part of three enzyme complexes"		0.28425
P36683	acnB	b0118	noessential	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	6.824782201	0.05933
P0A8E5	yacL	b0119	noessential	conserved protein	3.783989757	
P0A7F6	speD	b0120	noessential	S-adenosylmethionine decarboxylase	0.767077843	
P36649	yacK	b0123	noessential	multicopper oxidase (laccase)		
P36879	yadG	b0127	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily	1.102228501	
P31666	yadE	b0130	noessential	predicted polysaccharide deacetylase lipoprotein	0.189512	
P31663	panC	b0133	noessential	pantothenate synthetase	5.392025434	
P33129	htrE	b0139	noessential	predicted outer membrane usher protein		
P0ABF1	pcnB	b0143	noessential	poly(A) polymerase I	11.3995023	
P27305	yadB	b0144	noessential	glutamyl-Q tRNA(Asp) synthetase		
P37025	yadP	b0147	noessential	2'-5' RNA ligase		
P02919	mrcB	b0149	noessential	fused glycosyl transferase -!- transpeptidase	1.125502901	
P06971	fhuA	b0150	noessential	ferrichrome outer membrane transporter	2.931584937	
P07821	fhuC	b0151	noessential	iron-hydroxamate transporter subunit -!- ATP-binding component of ABC superfamily	1.056571402	
P0ACC3	yadR	b0156	essential	conserved protein	7.255359847	0.24023
P37047	yaeG	b0162	noessential	DNA-binding transcriptional activator		
P62768	yaeH	b0163	noessential	conserved protein		0.30051
P27249	glnD	b0167	noessential	uridylyltransferase	1.227604983	
P0AE18	map	b0168	essential	methionine aminopeptidase	7.772093475	1.6372
P0A6P1	tsf	b0170	essential	protein chain elongation factor EF-Ts		
P0A7E9	pyrH	b0171	essential	uridylate kinase	3.660532514	0.21494
P0A805	frr	b0172	essential	ribosome recycling factor		
P60472	b0174	b0174	essential	undecaprenyl pyrophosphate synthase		
P0AEU7	hlpA	b0178	noessential	periplasmic chaperone		
P21645	lpxD	b0179	essential	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase		0.14095
P0A6Q6	fabZ	b0180	essential	(3R)-hydroxymyristol acyl carrier protein dehydratase	2.19319885	0.59154
P10441	lpxB	b0182	essential	tetraacyldisaccharide-1-P synthase	0.497364635	
P10443	dnaE	b0184	essential	DNA polymerase III alpha subunit		
P52095	ldcC	b0186	noessential	"lysine decarboxylase 2; constitutive"	1.057986034	
P52096	yaeR	b0187	noessential	predicted lyase	0.533696702	
P0AA97	yaeQ	b0190	noessential	conserved protein		
P40711	yaeJ	b0191	noessential	conserved protein	2.069249634	
P28635	yaeC	b0197	noessential	DL-methionine transporter subunit -!- periplasmic-binding component of ABC superfamily		
P30864	yafC	b0208	noessential	predicted DNA-binding transcriptional regulator	0.748602568	
P0A8U2	yafD	b0209	noessential	conserved protein	5.074990309	
P0AEZ7	dniR	b0211	noessential	predicted membrane-bound lytic murein transglycosylase D		
P0AC84	gloB	b0212	noessential	predicted hydroxyacylglutathione hydrolase	0.545163602	
Q47679	yafV	b0219	noessential	"predicted C-N hydrolase family amidase; NAD(P)-binding"		
Q47146	fadE	b0221	noessential	acyl coenzyme A dehydrogenase	0.131839439	
Q47150	dinJ	b0226	noessential	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	6.046147958	
Q47152	yafM	b0228	noessential	conserved protein		
Q47157	yafO	b0233	noessential	predicted toxin of the YafO-YafN toxin-antitoxin system		
P15288	pepD	b0237	noessential	aminoacyl-histidine dipeptidase (peptidase D)	4.234656008	0.02413
P04335	yafA	b0239	noessential	"hydrolase; binds to enzyme IIA(Glc)"		
P07004	proA	b0243	noessential	gamma-glutamylphosphate reductase	5.328201575	
P77580	mhpF	b0351	noessential	"acetaldehyde-CoA dehydrogenase II; NAD-binding"	0.771075335	
P51020	mhpE	b0352	noessential	"4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase; class I"	0.468085125	
P25437	adhC	b0356	noessential	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase		
P0AAP3	yaiN	b0357	noessential	regulator protein that represses frmRAB operon		0.5194
P0A6J8	ddlA	b0381	noessential	D-alanine-D-alanine ligase A	3.664020937	
P0A8D3	yaiI	b0387	noessential	conserved protein		
P0AAN5	yaiA	b0389	noessential	predicted protein	8.747684113	
P0C037	yaiE	b0391	noessential	conserved protein	6.200218922	0.19674
P13458	sbcC	b0397	noessential	"exonuclease; dsDNA; ATP-dependent"	0.485821032	
P08400	phoR	b0400	noessential	sensory histidine kinase in two-component regulatory system with PhoB	6.941192413	
P0ADZ7	yajC	b0407	noessential	SecYEG protein translocase auxillary subunit	10.54951373	0.20563
P77488	b0420	b0420	essential	"1-deoxyxylulose-5-phosphate synthase; thiamine-requiring; FAD-requiring"		
P22939	ispA	b0421	essential	geranyltranstransferase	3.275983335	
P0A8E7	yajQ	b0426	noessential	predicted nucleotide binding protein		0.27908
P0AEA5	cyoE	b0428	noessential	protoheme IX farnesyltransferase	8.189593179	
P0ABJ6	cyoD	b0429	noessential	cytochrome o ubiquinol oxidase subunit IV	17.55084328	0.25973
P0ABJ3	cyoC	b0430	noessential	cytochrome o ubiquinol oxidase subunit III	6.27362552	
P0ADA5	yajG	b0434	noessential	predicted lipoprotein	5.668191026	
P0ABE2	bolA	b0435	noessential	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)		0.23293
P0A850	tig	b0436	noessential	peptidyl-prolyl cis/trans isomerase (trigger factor)	23.806795	0.38386
P0A6G7	clpP	b0437	noessential	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	9.37696503	0.58741
P0A9M0	lon	b0439	noessential	DNA-binding ATP-dependent protease La	5.020753975	0.11108
P0ACF4	hupB	b0440	noessential	"HU; DNA-binding transcriptional regulator; beta subunit"		0.43714
P77756	ybaX	b0444	noessential	predicted aluminum resistance protein		
P46890	ybaE	b0445	noessential	predicted transporter subunit: periplasmic-binding component of ABC superfamily	0.080152991	
P77265	mdlA	b0448	noessential	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	0.689395982	
P0AAG5	mdlB	b0449	noessential	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	0.339288965	
P0AFP2	ybaZ	b0454	noessential	predicted methyltransferase	1.441636678	
P0AAQ6	ybaA	b0456	noessential	conserved protein		
P77791	ylaD	b0459	noessential	maltose O-acetyltransferase		
P0AAR0	ybaJ	b0461	noessential	predicted protein	9.049861547	
P06710	dnaX	b0470	essential	"DNA polymerase III/DNA elongation factor III; tau and gamma subunits"	3.094109854	
P0A8B5	ybaB	b0471	noessential	conserved protein	10.2444105	
P69441	adk	b0474	essential	adenylate kinase	18.1087013	0.08654
P23871	hemH	b0475	essential	ferrochelatase	1.159404483	
P0AAR3	ybaK	b0481	noessential	conserved protein	1.411507579	
P77301	ybaP	b0482	noessential	conserved protein	3.387140609	
P77454	ybaS	b0485	noessential	predicted glutaminase	12.30671012	
P77395	ybbN	b0492	noessential	predicted thioredoxin domain-containing protein	1.626461995	0.09453
P0AFP4	ybbO	b0493	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1.463157289	
P77688	b0502	b0502	noessential	predicted DNA-binding transcriptional regulator		
P33667	ybbB	b0503	noessential	"tRNA 2-selenouridine synthase; selenophosphate-dependent"		
P0AEP7	gcl	b0507	noessential	glyoxylate carboligase	0.08974933	
P77364	glxK	b0514	noessential	glycerate kinase II		
P77425	allC	b0516	noessential	allantoate amidohydrolase	0.098142853	
P43341	ybbF	b0524	essential	"UDP-2;3-diacylglucosamine pyrophosphatase"		
P23869	ppiB	b0525	noessential	peptidyl-prolyl cis-trans isomerase B (rotamase B)	17.01048929	0.2868
P21888	cysS	b0526	essential	cysteinyl-tRNA synthetase	3.692953994	
P24218	intD	b0537	noessential	"DLP12 prophage; predicted integrase"	3.161706088	
P75718	b0542	b0542	noessential	"DLP12 prophage; predicted protein"		
P31600	nfrA	b0568	noessential	"bacteriophage N4 receptor; outer membrane subunit"	0.263177143	
P0AFA5	nfrB	b0569	noessential	"bacteriophage N4 receptor; inner membrane subunit"	0.305246696	
P77485	cusS	b0570	noessential	"sensory histidine kinase in two-component regulatory system with CusR; senses copper ions"	1.454295457	
P0AAT4	ybdG	b0577	noessential	predicted mechanosensitive channel	1.392845266	
P0AAT2	ybdF	b0579	noessential	conserved protein		
P77213	ybdK	b0581	noessential	gamma-glutamyl:cysteine ligase		
P11454	entF	b0586	noessential	"enterobactin synthase multienzyme complex component;  ATP-dependent"	0.272301515	
P0AEL6	fepB	b0592	noessential	iron-enterobactin transporter subunit -!- periplasmic-binding component of ABC superfamily	2.62587317	
P10378	entE	b0594	noessential	"2;3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex"	0.5180744	
P0A8Y8	ybdB	b0597	noessential	conserved protein		0.16483
P77216	ybdN	b0602	noessential	conserved protein		
P77202	dsbG	b0604	noessential	periplasmic disulfide isomerase/thiol-disulphide oxidase	0.727282664	
P39177	ybdQ	b0607	noessential	universal stress protein UP12		
P0AFW4	rnk	b0610	noessential	regulator of nucleoside diphosphate kinase	1.09977726	
P21338	rna	b0611	noessential	ribonuclease I		
P77231	citG	b0613	noessential	triphosphoribosyl-dephospho-CoA transferase		
P0AEF4	citB	b0620	noessential	DNA-binding response regulator in two-component regulatory system with citA		
P0A972	cspE	b0623	noessential	DNA-binding transcriptional repressor	234.1790318	1.8759
P0A843	ybeC	b0627	noessential	TatABCE protein translocation system subunit		
P60716	lipA	b0628	noessential	lipoate synthase	10.34114035	
P0A8J4	ybeD	b0631	noessential	conserved protein	2.700640359	0.11086
P0AEB2	dacA	b0632	noessential	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	3.460926782	
P0A8I8	ybeA	b0636	noessential	conserved protein	3.023594808	
P0AAT6	ybeB	b0637	noessential	predicted protein	6.705190672	
P52086	phpB	b0638	noessential	predicted alpha-ribazole-5'-P phosphatase		
P07813	leuS	b0642	essential	leucyl-tRNA synthetase	7.298803708	
P0AAT9	ybeL	b0643	noessential	conserved protein	8.360040779	
P77319	ybeW	b0650	noessential	"Hsp70 family chaperone Hsc62; binds to RpoD and inhibits transcription"		
P37902	gltI	b0655	noessential	glutamate and aspartate transporter subunit -!- periplasmic-binding component of ABC superfamily	3.714863441	
P0AE78	ybeX	b0658	noessential	predicteed ion transport	5.007031667	0.07336
P0A898	ybeY	b0659	noessential	conserved protein	5.274574786	
P0A9K3	ybeZ	b0660	noessential	predicted protein with nucleoside triphosphate hydrolase domain	2.738730187	
P75728	yleB	b0662	noessential	"2-octaprenyl-3-methyl-6-methoxy-1;4-benzoquinol oxygenase"		
P0AF20	nagC	b0676	noessential	"DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine"	3.604132867	
P00962	glnS	b0680	essential	glutamyl-tRNA synthetase	5.214036044	
P0A9A9	fur	b0683	noessential	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport	30.37953086	0.13367
P61949	fldA	b0684	essential	flavodoxin 1	13.72023572	0.13304
P75736	ybfF	b0686	noessential	conserved protein	1.253565045	
P0AFY8	seqA	b0687	noessential	regulatory protein for replication initiation	7.185055896	
P36938	pgm	b0688	noessential	phosphoglucomutase	3.589682267	
P21866	kdpE	b0694	noessential	DNA-binding response regulator in two-component regulatory system with KdpD	0.14309529	
P21865	kdpD	b0695	noessential	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein -!- sensory histidine kinase	0.483934069	
P77779	b0703	b0703	noessential	"conserved protein; rhs-like"		
P00914	phrB	b0708	noessential	"deoxyribodipyrimidine photolyase; FAD-binding"		
P50465	nei	b0714	noessential	endonuclease VIII -!- 5-formyluracil/5-hydroxymethyluracil DNA glycosylase	0.330309827	
P0ABH7	gltA	b0720	noessential	citrate synthase	9.091215961	
P0AFG3	sucA	b0726	noessential	"2-oxoglutarate decarboxylase; thiamin-requiring"		
P0ABJ9	cydA	b0733	noessential	"cytochrome d terminal oxidase; subunit I"	2.249553446	0.50311
P0A8Z3	ybgC	b0736	noessential	predicted acyl-CoA thioesterase	6.66723991	
P0A855	tolB	b0740	noessential	periplasmic protein	3.191147538	
P45955	ybgF	b0742	noessential	predicted protein	3.069854747	
P62707	gpmA	b0755	noessential	phosphoglyceromutase 1		
P0A9C3	galM	b0756	noessential	galactose-1-epimerase (mutarotase)	2.913563757	
P12998	bioF	b0776	noessential	8-amino-7-oxononanoate synthase		
P0A8F8	uvrB	b0779	noessential	"excinulease of nucleotide excision repair; DNA damage recognition component"	1.893860448	
P0A738	moaC	b0783	noessential	"molybdopterin biosynthesis; protein C"	0.869844536	
P30748	moaD	b0784	noessential	"molybdopterin synthase; small subunit"		
P30749	moaE	b0785	noessential	"molybdopterin synthase; large subunit"	1.238649535	
P0A9U1	ybhF	b0794	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	0.87566713	
P30177	ybiB	b0800	noessential	predicted transferase/phosphorylase	0.537569255	
P30178	ybiC	b0801	noessential	predicted dehydrogenase	2.212975925	
P0AAX6	ybiM	b0806	noessential	predicted protein		
P75782	ybiN	b0807	noessential	predicted SAM-dependent methyltransferase	1.706124859	
P0ABT2	dps	b0812	noessential	Fe-binding and storage protein		
P0AAX8	ybiS	b0819	noessential	conserved protein	4.882519782	
P0A9U3	ybiT	b0820	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	3.250520173	
P75792	b0822	b0822	noessential	predicted hydrolase		
P12282	moeB	b0826	noessential	molybdopterin synthase sulfurylase	1.473429807	
P12281	moeA	b0827	noessential	molybdopterin biosynthesis protein	0.699283168	
P75797	yliB	b0830	noessential	predicted peptide transporter subunit: periplasmic-binding component of ABC superfamily		
P0AAY1	b0836	b0836	noessential	conserved protein		
P0ACA7	yliJ	b0838	noessential	predicted glutathione S-transferase		0.76436
P75809	b0844	b0844	noessential	conserved protein		
P0AAF6	artP	b0864	noessential	arginine transporter subunit -!- ATP-binding component of ABC superfamily	4.038829609	
P75818	ybjP	b0865	noessential	predicted lipoprotein	2.59390804	
P0A8C1	b0866	b0866	noessential	conserved protein		
P75829	ybjX	b0877	noessential	conserved protein	10.3232139	
P75830	b0878	b0878	noessential	"macrolide transporter subunit; membrane fusion protein (MFP) component"		
P0A968	cspD	b0880	noessential	cold shock protein homolog	25.55289283	
P0ABH9	clpA	b0882	noessential	"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease; chaperone activity"	4.263595097	0.11955
P69222	infA	b0884	essential	translation initiation factor IF-1	50.26351192	0.05238
P23886	cydC	b0886	noessential	fused cysteine transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	0.864652722	
P29018	cydD	b0887	noessential	fused cysteine transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	1.25607674	
P46889	ftsK	b0890	essential	DNA-binding membrane protein required for chromosome resolution and partitioning	1.085027304	
P61316	lolA	b0891	essential	chaperone for lipoproteins	2.227620763	
P0AAZ4	ycaJ	b0892	noessential	recombination protein		
P0A8L1	serS	b0893	essential	"seryl-tRNA synthetase; also charges selenocysteinyl-tRNA with serine"	12.33000625	0.19581
P43340	ycaK	b0901	noessential	conserved protein	0.024043001	
P09373	pflB	b0903	noessential	pyruvate formate lyase I		1.962
P75838	ycaO	b0905	noessential	conserved protein	1.216599419	
P23721	serC	b0907	noessential	3-phosphoserine/phosphohydroxythreonine aminotransferase	16.21233988	0.24066
P60752	msbA	b0914	essential	fused lipid transporter subunits of ABC superfamily: membrane component -!- ATP-binding component	2.035516463	
P04951	kdsB	b0918	essential	3-deoxy-manno-octulosonate cytidylyltransferase	3.304110334	
P0AB03	b0919	b0919	noessential	conserved protein		
P60293	mukF	b0922	essential	"Involved in chromosome partioning; Ca2+ binding protein"	1.883174422	
P22523	mukB	b0924	essential	fused chromosome partitioning protein: predicted nucleotide hydrolase -!- conserved protein -!- conserved protein		
P22525	ycbB	b0925	noessential	predicted carboxypeptidase	2.24092838	
P75849	ycbL	b0927	noessential	predicted metal-binding enzyme	14.02512821	
P00509	aspC	b0928	noessential	"aspartate aminotransferase; PLP-dependent"		0.25942
P18133	pncB	b0931	noessential	nicotinate phosphoribosyltransferase	7.476548915	
P04825	pepN	b0932	noessential	aminopeptidase N	4.392754723	0.46555
P0AAI1	ycbE	b0933	noessential	alkanesulfonate transporter subunit -!- ATP-binding component of ABC superfamily		
P75864	ycbY	b0948	noessential	predicted methyltransferase	1.722690684	
P43672	uup	b0949	noessential	fused predicted transporter subunits of ABC superfamily: ATP-binding components	2.063967028	
P43671	pqiB	b0951	noessential	paraquat-inducible protein B		
P0AB10	ymbA	b0952	noessential	conserved protein		
P0A6Q3	fabA	b0954	essential	beta-hydroxydecanoyl thioester dehydrase	18.03385231	
P0AFZ5	sulA	b0958	noessential	SOS cell division inhibitor	1.264505404	
P75869	b0959	b0959	noessential	conserved protein		
P0A8X4	b0964	b0964	noessential	conserved protein		
P75874	b0965	b0965	noessential	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain		
P0AB65	b0968	b0968	noessential	predicted acylphosphatase		
P26459	appC	b0978	noessential	"cytochrome bd-II oxidase; subunit I"	0.09547673	
P0A978	cspG	b0990	noessential	DNA-binding transcriptional regulator		
P39453	torS	b0993	noessential	hybrid sensory histidine kinase in two-component regulatory system with TorR	0.259865181	
P33225	torA	b0997	noessential	"trimethylamine N-oxide (TMAO) reductase I; catalytic subunit"	0.084602098	
P63264	yccD	b0999	noessential	modulator of CbpA co-chaperone		
P0AB14	yccJ	b1003	noessential	predicted protein		0.1307
P0A8G6	wrbA	b1004	noessential	predicted flavoprotein in Trp regulation		0.27235
P0AFQ5	b1010	b1010	noessential	conserved protein		
P75898	b1012	b1012	noessential	predicted monooxygenase		
P09546	putA	b1014	noessential	fused DNA-binding transcriptional regulator -!- proline dehydrogenase -!- pyrroline-5-carboxylate dehydrogenase	0.233506434	
P07117	putP	b1015	noessential	proline:sodium symporter	1.121790944	
P0AB24	ycdO	b1018	noessential	conserved protein	2.239378212	
P0A9K1	phoH	b1020	noessential	conserved protein with nucleoside triphosphate hydrolase domain	8.798747258	
P69434	pgaA	b1024	noessential	predicted outer membrane protein		
P75913	ycdW	b1033	noessential	2-ketoacid reductase	2.997172631	
P0AEA2	csgG	b1037	noessential	outer membrane lipoprotein	1.555210437	
P52106	csgD	b1040	noessential	DNA-binding transcriptional activator in two-component regulatory system	4.398743816	
P75919	ymdC	b1046	noessential	predicted hydrolase	1.024863954	
P62517	mdoH	b1049	noessential	glucan biosynthesis: glycosyl transferase	1.40341877	
P24188	yceA	b1055	noessential	conserved protein	6.833381649	
P75931	mviM	b1068	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1.100101611	
P0AA39	yceC	b1086	noessential	23S rRNA pseudouridylate synthase		
P0A729	yceF	b1087	noessential	predicted protein	3.827759507	
P0AB28	yceD	b1088	noessential	conserved protein	38.94068027	
P27247	plsX	b1090	noessential	fatty acid/phospholipid synthesis protein	10.55543684	
P0A6R0	fabH	b1091	noessential	3-oxoacyl-[acyl-carrier-protein] synthase III	6.166668401	
P0AAI9	fabD	b1092	essential	malonyl-CoA-[acyl-carrier-protein] transacylase	3.344972164	
P0AAI5	fabF	b1095	noessential	3-oxoacyl-[acyl-carrier-protein] synthase II	8.130580654	
P0A720	tmk	b1098	essential	thymidylate kinase	0.885059373	
P28631	holB	b1099	essential	"DNA polymerase III; delta prime subunit"	1.482548619	
P0AFQ7	ycfH	b1100	noessential	predicted metallodependent hydrolase	3.728225127	
P0ACE7	ycfF	b1103	noessential	purine nucleoside phosphoramidase		
P75949	nagZ	b1107	noessential	beta N-acetyl-glucosaminidase	2.277305018	
P0A8E1	ycfP	b1108	noessential	conserved protein		
P00393	ndh	b1109	noessential	respiratory NADH dehydrogenase 2/cupric reductase	8.383183143	
P0AB40	ycfR	b1112	noessential	predicted protein		
P30958	mfd	b1114	noessential	transcription-repair coupling factor	1.490628666	
P75957	b1117	b1117	essential	outer membrane-specific lipoprotein transporter subunit -!- ATP-binding component of ABC superfamily		
P75959	ycfX	b1119	noessential	N-acetyl-D-glucosamine kinase	1.429377939	
P75960	cobB	b1120	noessential	"deacetylase of acetyl-CoA synthetase; NAD-dependent"	1.423443922	
P29745	pepT	b1127	noessential	peptidase T	5.098082993	
P27431	ycfD	b1128	noessential	conserved protein	2.793817775	
P23837	phoQ	b1129	noessential	sensory histidine kinase in two-compoent regulatory system with PhoP	1.415194646	
P0AB89	purB	b1131	noessential	adenylosuccinate lyase	1.206811678	0.16819
P25745	ycfB	b1133	essential	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase		
P75989	ycgE	b1162	noessential	predicted DNA-binding transcriptional regulator	7.976036793	
P75990	b1163	b1163	noessential	predicted FAD-binding phosphodiesterase		
P0A8V6	fadR	b1187	noessential	DNA-binding transcriptional dual regulator of fatty acid metabolism	3.787482413	
P29012	dadX	b1190	noessential	"alanine racemase 2; PLP-binding"	3.884814981	
P13482	treA	b1197	noessential	periplasmic trehalase		
P37349	ycgC	b1198	noessential	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component -!- EI component		
P76015	b1200	b1200	noessential	"dihydroxyacetone kinase; N-terminal domain"		
P76017	ycgV	b1202	noessential	predicted adhesin	0.076572078	
P0A7D1	pth	b1204	essential	peptidyl-tRNA hydrolase	2.43612216	
P0A717	prsA	b1207	essential	phosphoribosylpyrophosphate synthase		0.15682
P62615	ychB	b1208	essential	4-diphosphocytidyl-2-C-methylerythritol kinase		
P0A7I0	prfA	b1211	essential	peptide chain release factor RF-1	3.052339137	
P0A715	kdsA	b1215	essential	3-deoxy-D-manno-octulosonate 8-phosphate synthase	3.918900451	
P09152	narG	b1224	noessential	"nitrate reductase 1; alpha subunit"		
P11349	narH	b1225	noessential	"nitrate reductase 1; beta (Fe-S) subunit"	0.023431729	
P0AF26	narJ	b1226	noessential	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1		
P76023	b1228	b1228	noessential	predicted protein		
P37052	ychJ	b1233	noessential	conserved protein	5.246527809	
P0AFR0	ychK	b1234	noessential	conserved protein		
P0A8L7	b1248	b1248	noessential	predicted protein		
P31069	kch	b1250	noessential	voltage-gated potassium channel	1.995479308	
P0AB55	yciI	b1251	noessential	predicted enzyme	5.667029666	
P21363	yciE	b1257	noessential	conserved protein		
P21362	yciF	b1258	noessential	conserved protein		
P37765	yciL	b1269	noessential	23S rRNA pseudouridylate synthase		
P0AG14	sohB	b1272	noessential	predicted inner membrane peptidase	4.169782582	
P0AB61	yciN	b1273	noessential	predicted protein	3.580623265	
P06612	topA	b1274	essential	"DNA topoisomerase I; omega subunit"	5.895671855	
P0A9F3	cysB	b1275	noessential	"DNA-binding transcriptional dual regulator; O-acetyl-L-serine-binding"	4.904980447	
P0AB58	yciM	b1280	noessential	conserved protein	3.182649139	
P0AEK4	fabI	b1288	essential	"enoyl-[acyl-carrier-protein] reductase; NADH-dependent"		0.14852
P0AAH8	sapF	b1290	noessential	predicted antimicrobial peptide transporter subunit -!- ATP-binding component of ABC superfamily	0.552000348	
Q47622	sapA	b1294	noessential	predicted antimicrobial peptide transporter subunit -!- periplasmic-binding component of ABC superfamily	0.861984195	
P0ACV8	ymjA	b1295	noessential	predicted protein		
P76046	ycjX	b1321	noessential	conserved protein with nucleoside triphosphate hydrolase domain		
P07604	tyrR	b1323	noessential	"DNA-binding transcriptional dual regulator; tyrosine-binding"	3.302857875	
P76049	b1327	b1327	noessential	predicted hydrolase		
P0AAC0	ydaA	b1333	noessential	stress-induced protein		
P0AFH0	ogt	b1335	noessential	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	0.977181047	
P76052	b1337	b1337	noessential	"predicted peptidase; aminobenzoyl-glutamate utilization protein"		
P77302	b1341	b1341	noessential	"predicted diguanylate cyclase; GGDEF domain signalling protein"		
P15032	recE	b1350	noessential	"Rac prophage; exonuclease VIII; 5' -> 3' specific dsDNA exonuclease"		
P76061	b1355	b1355	noessential	"Rac prophage; predicted protein"		
P76066	ydaW	b1361	noessential	"Rac prophage; predicted DNA-binding protein"		
P0ADI0	b1374	b1374	noessential	"Rac prophage; predicted site-specific recombinase"		
P37903	ynaF	b1376	noessential	"stress-induced protein; ATP-binding protein"		0.39359
P52647	ydbK	b1378	noessential	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein -!- conserved protein -!- FeS binding protein	1.026808698	
P52644	hslJ	b1379	noessential	heat-inducible protein	5.522329556	
P76077	ydbO	b1388	noessential	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation		
