Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0A7V8	JW3258	ECK3283	rpsD	30S ribosomal subunit protein S4	83.83	3458.88	7.54	2	68.45	18	861	0	-0.664	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AA10	JW3200	ECK3220	rplM	50S ribosomal subunit protein L13	1332.52	50532.55	7.51	2	80.28	18	880	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG44	JW3256	ECK3281	rplQ	50S ribosomal subunit protein L17	15.68	680.91	7.49	2	53.54	8	384	0	-0.565	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A9S3	JW2075	ECK2084	gatD	galactitol-1-phosphate dehydrogenase. Zn-dependent and NAD(P)-binding	2.41	110.81	7.48	2	23.99	8	486	0	0.139	0
P0A7X6	JW5413	ECK2605	rimM	16S rRNA processing protein	5.58	250.07	7.37	2	56.59	8	433	0	0.000	0
P0ADA3	JW2712	ECK2737	nlpD	predicted outer membrane lipoprotein	1.45	67.71	7.37	2	21.37	7	405	0	-0.403	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A858	JW3890	ECK3911	tpiA	triosephosphate isomerase	45.42	1906.06	7.29	2	63.14	16	854	0	0.000	0
P0ABK5	JW2407	ECK2409	cysK	cysteine synthase A. O-acetylserine sulfhydrolase A subunit	12.34	540	7.28	2	68.73	15	879	0	-0.078	GO:0005737 cytoplasm
P0A7R5	JW3283	ECK3308	rpsJ	30S ribosomal subunit protein S10	58.95	2458.58	7.22	2	81.55	12	621	0	-0.352	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P69428	JW3813	ECK3830	tatA	TatABCE protein translocation system subunit	9	398	7.19	2	56.18	4	172	1	0.000	0
P0AC55	JW0440	ECK0444	glnK	nitrogen assimilation regulatory protein for GlnL. GlnE. and AmtB	30.62	1302.81	7.18	2	82.14	10	388	0	0.067	0
P31979	JW2279	ECK2278	nuoF	NADH:ubiquinone oxidoreductase. chain F	4.38	197.75	7.13	2	52.13	17	761	0	-0.318	GO:0005737 cytoplasm
P30859	JW0847	ECK0854	artI	arginine transporter subunit -!- periplasmic-binding component of ABC superfamily	0.33	16.12	7.04	2	15.23	2	90	0	-0.329	GO:0042597 periplasmic space
P0A850	JW0426	ECK0430	tig	peptidyl-prolyl cis/trans isomerase (trigger factor)	67.13	2788.66	7.03	2	77.08	42	2385	0	-0.428	GO:0005737 cytoplasm
P0A7M2	JW3612	ECK3627	rpmB	50S ribosomal subunit protein L28	25.83	1104.73	7.03	2	66.67	9	369	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AEB7	JW5295	ECK1807	yoaB	conserved protein	3.64	165.27	6.99	2	40.35	3	160	0	0.024	0
P0AG48	JW3153	ECK3175	rplU	50S ribosomal subunit protein L21	18.31	791.36	6.88	2	70	7	311	0	-0.369	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AC41	JW0713	ECK0712	sdhA	succinate dehydrogenase. flavoprotein subunit	13.96	334.59	6.87	2	74.49	33	1970	0	-0.324	GO:0005737 cytoplasm
P0A7J7	JW3946	ECK3974	rplK	50S ribosomal subunit protein L11	11.59	507.96	6.82	2	43.66	7	199	0	-0.061	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AB14	JW0988	ECK0994	yccJ	predicted protein	9	398	6.79	2	69.33	4	215	0	-0.649	0
P60438	JW3282	ECK3307	rplC	50S ribosomal subunit protein L3	24.81	1062.41	6.68	2	74.64	19	878	0	-0.235	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG27	JW3586	ECK3601	yibN	predicted rhodanese-related sulfurtransferase	18.31	791.36	6.68	2	60.14	7	498	1	0.064	0
P33599	JW5375	ECK2280	nuoC	NADH:ubiquinone oxidoreductase. chain C.D	13.53	590.19	6.62	2	71.67	35	1826	0	-0.307	GO:0005737 cytoplasm
P0AFC3	JW2283	ECK2282	nuoA	NADH:ubiquinone oxidoreductase. membrane subunit A	3.64	165.27	6.62	2	17.69	2	159	3	0.565	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A862	JW1317	ECK1320	tpx	lipid hydroperoxide peroxidase	36.28	1535.67	6.61	2	75	8	617	0	0.256	GO:0042597 periplasmic space
P00805	JW2924	ECK2952	ansB	periplasmic L-asparaginase II	1.24	58.18	6.61	2	27.87	7	284	1	-0.114	GO:0042597 periplasmic space
P0AEE5	JW2137	ECK2143	mglB	methyl-galactoside transporter subunit -!- periplasmic-binding component of ABC superfamily	5.42	243.12	6.57	2	57.53	19	1066	1	-0.273	GO:0042597 periplasmic space
P69441	JW0463	ECK0468	adk	adenylate kinase	17.96	402.59	6.43	2	74.77	17	863	0	-0.383	GO:0005737 cytoplasm
P0A7T7	JW4160	ECK4198	rpsR	30S ribosomal subunit protein S18	55.23	2308.02	6.38	2	50.67	5	236	0	-0.775	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7M6	JW3274	ECK3299	rpmC	50S ribosomal subunit protein L29	16.78	727.17	6.28	2	49.21	3	320	0	-0.657	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AFD4	JW2277	ECK2276	nuoH	NADH:ubiquinone oxidoreductase. membrane subunit H	1.31	61.36	6.26	2	12.62	4	169	8	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P23869	JW0514	ECK0518	ppiB	peptidyl-prolyl cis-trans isomerase B (rotamase B)	45.42	1909.42	6.14	2	63	9	418	0	-0.312	GO:0005737 cytoplasm
P09152	JW1215	ECK1218	narG	nitrate reductase 1. alpha subunit	2.11	97.41	6.07	2	37.05	31	1564	0	-0.512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AC33	JW1604	ECK1607	fumA	aerobic Class I fumarate hydratase (fumarase A)	17.05	354.66	5.89	2	76.46	35	1979	0	-0.368	0
P23893	JW0150	ECK0153	hemL	glutamate-1-semialdehyde aminotransferase (aminomutase)	14.85	645.93	5.84	2	54.46	17	988	0	0.202	0
P63224	JW0212	ECK0223	lpcA	D-sedoheptulose 7-phosphate isomerase	11.12	487.98	5.84	2	60.94	11	658	0	-0.062	GO:0005737 cytoplasm
P21367	JW0880	ECK0888	ycaC	predicted hydrolase	1.51	70.42	5.76	2	27.88	3	69	0	-0.127	0
P22259	JW3366	ECK3390	pck	phosphoenolpyruvate carboxykinase	49.12	2060.04	5.75	2	72.22	34	1908	0	-0.315	0
P0A7D7	JW2461	ECK2472	purC	phosphoribosylaminoimidazole-succinocarboxamide synthetase	5.31	238.33	5.75	2	63.71	15	787	0	0.000	GO:0005737 cytoplasm
P0AC62	JW3585	ECK3600	grxC	glutaredoxin 3	9	398	5.67	2	85.54	6	264	0	-0.314	0
P0A7N9	JW3611	ECK3626	rpmG	50S ribosomal subunit protein L33	176.83	7.132	5.67	2	61.82	6	244	0	-0.804	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG16	JW2309	ECK2306	purF	amidophosphoribosyltransferase	0.86	41	5.63	2	18.42	6	311	0	-0.243	GO:0005737 cytoplasm
P69786	JW1087	ECK1087	ptsG	fused glucose-specific PTS enzyme IIBC components	7.58	336.54	5.57	2	30	12	561	10	0.618	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P02943	JW3996	ECK4028	lamB	maltose outer membrane porin (maltoporin)	2.31	106.35	5.53	2	33.86	11	569	0	-0.516	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A9L8	JW0377	ECK0381	proC	pyrroline-5-carboxylate reductase. NAD(P)-binding	1.51	70.42	5.53	2	17.84	4	212	0	0.318	GO:0005737 cytoplasm
P0A9C3	JW0739	ECK0745	galM	galactose-1-epimerase (mutarotase)	2.38	109.47	5.47	2	32	7	376	0	-0.466	GO:0042597 periplasmic space
P0AAD6	JW2767	ECK2791	sdaC	predicted serine transporter	1.78	83	5.46	2	9.09	4	186	11	0.807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AD68	JW0082	ECK0085	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	0.13	6.53	5.46	2	3.74	2	29	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADY7	JW3275	ECK3300	rplP	50S ribosomal subunit protein L16	12.89	563.11	5.43	2	44.85	5	355	0	-0.384	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A725	JW0094	ECK0097	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	0.54	25.99	5.42	2	15.74	3	166	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6F5	JW4103	ECK4137	groL	Cpn60 chaperonin GroEL. large subunit of GroESL	92.26	3.796	5.37	2	86.13	40	2380	0	-0.009	GO:0005737 cytoplasm
P06959	JW0111	ECK0114	aceF	pyruvate dehydrogenase. dihydrolipoyltransacetylase component E2	17.84	2785.78	5.35	2	66.19	42	2279	0	0.004	0
P0AEG4	JW3832	ECK3852	dsbA	periplasmic protein disulfide isomerase I	0.39	18.96	5.24	2	9.62	2	86	0	-0.131	GO:0042597 periplasmic space
P0A972	JW0618	ECK0616	cspE	DNA-binding transcriptional repressor	62	2585.84	5.23	2	78.26	7	334	0	-0.213	GO:0005737 cytoplasm
P25553	JW1412	ECK1408	aldA	aldehyde dehydrogenase A. NAD-linked	5.21	233.98	5.19	2	55	20	1373	0	-0.056	0
P0A7N4	JW1075	ECK1075	rpmF	50S ribosomal subunit protein L32	463.16	18139.54	5.19	2	54.39	5	378	0	-0.974	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6P1	JW0165	ECK0169	tsf	protein chain elongation factor EF-Ts	69.79	2895.73	5.18	2	82.69	29	1562	0	-0.118	GO:0005737 cytoplasm
P0AEU7	JW0173	ECK0177	hlpA	periplasmic chaperone	7.38	327.93	5.15	2	53.42	8	477	0	-0.473	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
P0A786	JW4204	ECK4240	pyrB	aspartate carbamoyltransferase. catalytic subunit	57	2.372	5.13	2	89.07	27	1358	0	-0.105	GO:0005737 cytoplasm
P37747	JW2021	ECK2030	glf	UDP-galactopyranose mutase. FAD/NAD(P)-binding	2.43	112	5.13	2	47.41	15	672	0	-0.545	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria)
P0AES6	JW5625	ECK3691	gyrB	DNA gyrase. subunit B	12.34	540	5.12	2	65	41	2002	0	-0.454	GO:0005737 cytoplasm
P0ABI8	JW0421	ECK0425	cyoB	cytochrome o ubiquinol oxidase subunit I	3.92	177.58	5.12	2	12.22	7	246	14	0.658	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AB28	JW1074	ECK1074	yceD	conserved protein	20.54	884.64	5.11	2	36.42	7	279	0	-0.192	0
P0A6L2	JW2463	ECK2474	dapA	dihydrodipicolinate synthase	5.49	246.16	5.04	2	53.08	11	567	0	0.067	GO:0005737 cytoplasm
P0ABA4	JW3713	ECK3728	atpH	F1 sector of membrane-bound ATP synthase. delta subunit	34.94	1480.65	5.03	2	64.97	10	602	0	0.063	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P39831	JW1532	ECK1532	ydfG	L-allo-threonine dehydrogenase. NAD(P)-binding	7.25	322.33	5.01	2	44.35	9	490	0	-0.175	0
P0A910	JW0940	ECK0948	ompA	"outer membrane protein A (3a;II*;G;d)"	17.33	750.27	47.67	2	61.56	19	1102	0	-0.339	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P04982	JW5857	ECK3742	rbsD	predicted cytoplasmic sugar-binding protein	2.16	99.64	4.96	2	30.22	3	166	0	-0.101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P19926	JW0987	ECK0993	agp	glucose-1-phosphatase/inositol phosphatase	1.02	48.14	4.94	2	28.57	7	265	0	-0.325	GO:0042597 periplasmic space
P07395	JW1703	ECK1711	pheT	phenylalanine tRNA synthetase. beta subunit	21.68	932	4.93	2	70.69	51	2751	0	-0.097	GO:0005737 cytoplasm
P0A6P9	JW2750	ECK2773	eno	enolase	45.42	5949.64	4.91	2	81.02	29	1814	0	-0.158	GO:0005737 cytoplasm
P0A8W2	JW5267	ECK1638	slyA	DNA-binding transcriptional activator	1.37	64.08	4.87	2	24.31	2	71	0	-0.277	GO:0005737 cytoplasm
P0A905	JW1633	ECK1637	slyB	outer membrane lipoprotein	3.64	165.27	4.84	2	38.71	4	358	0	0.114	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9C5	JW3841	ECK3863	glnA	glutamine synthetase	90.52	3726.18	4.78	2	83.58	33	1820	0	-0.292	GO:0005737 cytoplasm
P0A9R4	JW2509	ECK2522	fdx	[2Fe-2S] ferredoxin	2.16	99.64	4.72	2	48.65	3	184	0	-0.357	0
P0ABA6	JW3711	ECK3726	atpG	F1 sector of membrane-bound ATP synthase. gamma subunit	36.93	1562.34	4.66	2	89.55	26	1213	0	-0.227	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P26616	JW5238	ECK1473	sfcA	malate dehydrogenase. NAD-requiring (malic enzyme)	14.62	636.23	4.63	2	73.81	31	1675	0	0.000	0
P0ABD8	JW3223	ECK3242	accB	acetyl CoA carboxylase. BCCP subunit	5.81	260.06	4.62	2	38.46	4	163	0	0.000	0
P0A7L8	JW3152	ECK3174	rpmA	50S ribosomal subunit protein L27	214.44	8598.07	4.59	2	48.24	6	281	0	-0.638	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P38521	JW2926	ECK2954	yggL	predicted protein	4.18	188.99	4.52	2	42.59	4	232	0	-0.678	0
P0A825	JW2535	ECK2548	glyA	serine hydroxymethyltransferase	19.81	854.14	4.49	2	60.43	24	1306	0	-0.233	GO:0005737 cytoplasm
P0ABH0	JW0092	ECK0095	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1.82	84	4.44	2	35	8	524	0	-0.025	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0C0L9	JW2508	ECK2521	yfhJ	conserved protein	3.64	165.27	4.43	2	60.61	2	141	0	-0.001	0
P63284	JW2573	ECK2590	clpB	protein disaggregation chaperone	12.53	547.85	4.39	2	69.31	56	3047	0	-0.358	GO:0005737 cytoplasm
P37903	JW1370	ECK1371	uspF	stress-induced protein. ATP-binding protein	12.34	540	4.39	2	65.97	8	365	0	0.022	0
P02925	JW3730	ECK3745	rbsB	D-ribose transporter subunit -!- periplasmic-binding compoent of ABC superfamily	8	346.01	4.38	2	54.73	13	870	0	-0.031	GO:0042597 periplasmic space
P0A6H5	JW3902	ECK3923	hslU	molecular chaperone and ATPase component of HslUV protease	10.72	470.95	4.37	2	56.43	29	1509	0	-0.363	GO:0005737 cytoplasm
P76170	JW1575	ECK1578	ynfB	predicted protein	1.15	54.08	4.35	2	27.43	2	105	0	-0.746	0
P0A6Q6	JW0175	ECK0179	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	50.79	2.128	4.34	2	62.91	9	416	0	0.054	GO:0005737 cytoplasm
P0A8F0	JW2483	ECK2494	upp	uracil phosphoribosyltransferase	176.83	7.132	4.32	2	88	15	1016	0	0.073	0
P0ADQ7	JW2647	ECK2666	ygaM	predicted protein	1.37	64.08	4.32	2	32.74	2	179	1	-0.501	0
P00363	JW4115	ECK4150	frdA	fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit	5.47	245.29	4.29	2	53.99	26	1324	0	-0.365	GO:0005737 cytoplasm
P27306	JW5551	ECK3954	sthA	pyridine nucleotide transhydrogenase. soluble	13.25	578.35	4.25	2	76.61	22	1306	0	-0.227	GO:0005737 cytoplasm
P0AFM6	JW1297	ECK1299	pspA	regulatory protein for phage-shock-protein operon	1.68	78	4.17	2	40.09	8	336	0	-0.722	GO:0005737 cytoplasm
P0A7P5	JW3680	ECK3695	rpmH	50S ribosomal subunit protein L34	99	4064.14	4.12	2	21.74	3	72	0	-1.111	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P09546	JW0999	ECK1005	putA	fused DNA-binding transcriptional regulator -!- proline dehydrogenase -!- pyrroline-5-carboxylate dehydrogenase	5.74	257.02	4.08	2	47.95	48	2389	0	-0.131	GO:0005737 cytoplasm
P00448	JW3879	ECK3901	sodA	superoxide dismutase. Mn	22	950	4.03	2	68.45	13	768	0	-0.429	GO:0005737 cytoplasm
P0ACE7	JW1089	ECK1089	hinT	purine nucleoside phosphoramidase	9	398	4.03	2	66.39	5	243	0	-0.062	0
P37188	JW2077	ECK2086	gatB	galactitol-specific enzyme IIB component of PTS	99	4064.14	36.48	2	71.28	4	228	0	0.306	GO:0005737 cytoplasm
P0A8B5	JW0460	ECK0465	ybaB	conserved protein	9	398	34.76	2	83.49	7	453	0	-0.473	0
P0AEQ1	JW2944	ECK2971	glcG	conserved protein	1.51	70.42	32.51	2	26.87	2	123	0	0.158	0
P0A8T7	JW3951	ECK3979	rpoC	RNA polymerase. beta prime subunit	28.29	1206.59	3.95	2	74.13	97	4850	0	0.000	GO:0005737 cytoplasm
P00579	JW3039	ECK3057	rpoD	RNA polymerase. sigma 70 (sigma D) factor	5.49	246.16	3.95	2	47.96	21	1213	0	-0.589	GO:0005737 cytoplasm
P23847	JW3513	ECK3531	dppA	dipeptide transporter -!- periplasmic-binding component of ABC superfamily	0.58	27.85	3.94	2	16	5	161	0	-0.463	GO:0042597 periplasmic space
P15288	JW0227	ECK0238	pepD	aminoacyl-histidine dipeptidase (peptidase D)	21.91	941.79	3.93	2	55.46	26	1081	0	-0.146	GO:0005737 cytoplasm
P0A8V2	JW3950	ECK3978	rpoB	RNA polymerase. beta subunit	27.41	1170.18	3.87	2	75.86	88	4999	0	-0.394	GO:0005737 cytoplasm
P0AC44	JW0712	ECK0711	sdhD	succinate dehydrogenase. membrane subunit. binds cytochrome b556	315.23	12491.64	3.87	2	17.39	3	137	3	1.369	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AG18	JW0512	ECK0516	purE	N5-carboxyaminoimidazole ribonucleotide mutase	0.67	32.03	3.85	2	31.36	2	91	0	0.086	GO:0005737 cytoplasm
P32176	JW3865	ECK3887	fdoG	formate dehydrogenase-O. large subunit	4.57	206.06	3.84	2	47.64	35	1916	0	-0.346	GO:0005737 cytoplasm
P64581	JW3069	ECK3089	yqjD	conserved protein	12.89	563.11	3.84	2	69.31	7	321	1	-0.545	0
P77395	JW5067	ECK0486	ybbN	predicted thioredoxin domain-containing protein	9	398	3.83	2	37.68	8	325	0	-0.242	0
P0A7E9	JW0166	ECK0170	pyrH	uridylate kinase	7.58	336.54	3.77	2	64.32	11	560	0	0.133	GO:0005737 cytoplasm
