SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P0AE06	ACRA_ECOLI	Acriflavine resistance protein A precursor	13	592	19	0.68	3.83E+00	6.32E+02	0.006256901	42198	8.35	-0.26	20	0.42	N			67.11.63.40.08	"63;11.05.01.03;08.16;11.05.01;40.30;11.05;67.50.05.01;11.05.01.01;67.28;67.50.05;63.01;11;40;08;67;"	"TRANSPORT FACILITATION; CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "					0	CytoplasmicMembrane	IM	low	acrAB	343	no	2.800717078
P31224	ACRB_ECOLI	Acriflavine resistance protein B	16	636	37	0.43	1.71E+00	3.95E+02	0.005980861	113575	5.32	0.27	32	0.45	N			67.11.63.40.08	"63;11.05.01.03;08.16;11.05.01;40.30;11.05;67.50.05.01;11.05.01.01;67.28;67.50.05;63.01;11;40;08;67;"	"TRANSPORT FACILITATION; CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "					11	CytoplasmicMembrane		low	acrAB	272	no	2.596597096
P24181	ACRF_ECOLI	Acriflavine resistance protein F (Protein envD)	2	51	25	0.08	2.02E-01	1.14E+02	0.004784689	111456	5.21	0.32	36	0.31	N			67.11.63.40.08	"63;11.05.01.03;08.16;11.05.01;40.30;11.05;67.50.05.01;11.05.01.01;67.28;67.50.05;63.01;11;40;08;67;"	"TRANSPORT FACILITATION; CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "					12	CytoplasmicMembrane		low	acrEF	1085	no	2.056904851
P27550	ACSA_ECOLI	Acetyl-coenzyme A synthetase (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	2	80	26	0.08	1.94E-01	1.12E+02	0.004784689	72095	5.64	-0.29	21					1.63	"01;63.17;63;01.05;63.17.07;63.21;01.05.01;01.05.01.01;01.05.01.01.01;63.21.99;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	e.23	"e.23.1;"	Multi-domain proteins (alpha and beta)	Firefly luciferase-like	0	Cytoplasmic		low	acs-yjcHG	978	no	2.049218023
P22333	ADD_ECOLI	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	3	157	10	0.3	9.95E-01	2.89E+02	0.004784689	36399	5.44	-0.02	9					1	"01.03.01.01;01;01.03;01.03.01;"	"METABOLISM; "	c.67.c.1	"c.1.9;c.67.1;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel.PLP-dependent transferases	0	Cytoplasmic	C	low		792	no	2.460897843
P25437	ADH3_ECOLI	Alcohol dehydrogenase class III (EC 1.1.1.1) (Glutathione-dependent formaldehyde dehydroge	5	240	10	0.5	2.16E+00	4.53E+02	0.00861244	39360	6.24	-0.01	13	0.49	N			67.01.63	"01;63.17;63;01.05.01.01.03;63.17.09;01.05;67.15;01.05.01;01.05.01.01;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	b.35.c.2	"b.35.1;c.2.1;"	Alpha and beta proteins (a/b).All beta proteins	NAD(P)-binding Rossmann-fold domains.GroES-like	0	Cytoplasmic		low		638	no	2.656098202
P0A9Q7	ADHE_ECOLI	"Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (EC 1.1.1.1) (ADH); Acetal"	90	4856	41	2.2	1.56E+02	5.43E+03	0.040776183	95997	6.76	-0.07	23	0.65	N		2.45	01.63.02	"01;63;63.17;63.21.07;02;63.17.09;01.05;02.16;01.05.01;63.21.99;02.16.01.01;63.21;02.16.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.82.e.22	"c.82.1;e.22.1;"	Alpha and beta proteins (a/b).Multi-domain proteins (alpha and beta)	Dehydroquinate synthase-like.ALDH-like	0	Cytoplasmic	C	high	adhE	10	no	3.73479983
Q93K97	ADPP_ECOLI	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (Adenosine diphosphori	5	205	11	0.45	1.85E+00	4.14E+02	0.004784689	23668	4.84	-0.22	5		N			1.63	"01;63.17;01.04;63.13.01;63;63.13;63.17.09;01.05;63.17.07;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	d.113	"d.113.1;"	Alpha and beta proteins (a+b)	Nudix	0	Cytoplasmic		low		663	no	2.617000341
P0AB74	AGAY_ECOLI	Tagatose-1.6-bisphosphate aldolase agaY (EC 4.1.2.-) (TBPA)	2	44	10	0.2	5.85E-01	2.12E+02	0.004784689	31295	5.43	-0.01	7	0.35	N			1.4	"01;40.03;01.05.01.01.04;01.05;40;01.05.01;01.05.01.01;01.05.01.01.01;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		low		1101	no	2.326335861
P0AE08	AHPC_ECOLI	Alkyl hydroperoxide reductase subunit C (EC 1.6.4.-) (Alkyl hydroperoxide reductase protei	39	2211	8	4.88	7.50E+04	1.97E+05	0.074101337	20631	4.9	-0.29	9				2	11.67.01.02	"01.06;01.06.04;11.01.01;11.01;01;02;11;67.15;02.11;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; METABOLISM; ENERGY; "	c.47	"c.47.1;"	Alpha and beta proteins (a/b)	Thioredoxin fold	0	Cytoplasmic	C	high	ahpCF	69	no	5.294466226
P35340	AHPF_ECOLI	Alkyl hydroperoxide reductase subunit F (EC 1.6.4.-) (Alkyl hydroperoxide reductase F52A p	27	1160	24	1.13	1.23E+01	1.25E+03	0.01772107	56178	5.48	-0.12	16				1.17	11.67.01.63	"11.01.01;01.06.04;01;01.03;63;63.21.07;67.15;01.06;11.07.07;11.01;11;63.21;01.03.04;11.07;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.3.c.47	"c.47.1;c.3.1;"	Alpha and beta proteins (a/b)	FAD/NAD(P)-binding domain.Thioredoxin fold	0	Cytoplasmic	C	low	ahpCF	130	no	3.096910013
P00561	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase I (AKI-HDI) [Includes: Aspartokinase I	33	1696	37	0.89	6.80E+00	8.81E+02	0.011019284	89121	5.47	0.04	23	0.32	N			67.01.63.40	"01.01.01;01.01;01;63;63.21.07;01.01.01.07.03;40.03;01.01.01.07;67.15;40;63.21;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	d.81.c.2	"c.2.1;d.81.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Glyceraldehyde-3-phosphate dehydrogenase-like. C-terminal domain.NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic	IM	low	thrLABC	83	no	2.944975908
P00562	AK2H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase II (AKII-HDII) [Includes: Aspartokinas	2	58	39	0.05	1.25E-01	8.66E+01	0.004784689	88758	5.34	-0.1	30	0.4	N			67.01.63.40	"01.01.01;01.01;01;63;63.21.07;01.01.01.07.03;40.03;01.01.01.07;67.15;40;63.21;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	d.81.c.2	"c.2.1;d.81.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Glyceraldehyde-3-phosphate dehydrogenase-like. C-terminal domain.NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic		low	metBL	780	no	1.937517892
P08660	AK3_ECOLI	Lysine-sensitive aspartokinase III (EC 2.7.2.4) (Aspartate kinase III)	2	117	20	0.1	2.59E-01	1.32E+02	0.004784689	48533	4.86	0.21	9	0.38	N			1	"01.01.01;01.01;01;01.04;01.01.01.07.03;01.01.01.07;01.01.01.07.06.01;01.01.01.07.04;01.01.01.07.06;"	"METABOLISM; "					0	Unknown		low		927	no	2.120573931
P25553	ALDA_ECOLI	Aldehyde dehydrogenase A (EC 1.2.1.22) (Lactaldehyde dehydrogenase)	14	638	20	0.7	4.01E+00	6.49E+02	0.022556391	52143	4.91	-0.06	12	0.33	N			1.63	"01;63;63.21.07;01.05;63.21;01.05.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.82	"c.82.1;"	Alpha and beta proteins (a/b)	ALDH-like	0	Cytoplasmic	C	low	aldA	288	no	2.812244697
P0AB71	ALF_ECOLI	Fructose-bisphosphate aldolase class II (EC 4.1.2.13) (FBP aldolase)	42	2393	11	3.82	6.58E+03	4.78E+04	0.050922761	39017	5.75	-0.23	12				2.38	01.63.06.02	"01;63.17;63;01.04;02;63.17.09;01.05;01.05.01;06;01.05.01.01;02.01;06.10;63.01;01.05.01.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); ENERGY; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	high		58	no	4.679427897
P0A991	ALF1_ECOLI	Fructose-bisphosphate aldolase class I (EC 4.1.2.13) (FBP aldolase)	3	89	15	0.2	5.85E-01	2.12E+02	0.004784689	37979	6.71	-0.15	2					1.02	"01;02.01;02;01.05;01.05.01;01.05.01.01;01.05.01.01.01;"	"METABOLISM; ENERGY; "					0	Unknown		low		895	no	2.326335861
P0A955	ALKH_ECOLI	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hyd	19	875	8	2.38	2.36E+02	6.92E+03	0.027700831	22285	5.47	0.32	2	0.59	N		1.57	01.40.02	"01;40.03;02.05;02;01.05;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic	C	high	edd-eda	193	no	3.840106094
P0ACN4	ALLR_ECOLI	Negative regulator of allantoin and glyoxylate utilization operons (Transcriptional regula	7	310	11	0.64	3.33E+00	5.82E+02	0.006151743	29271	6.06	0.07	6		N			01.63.04.02	"63.03.01;01;01.03;63;01.02.01;04.05;01.02.01.09;63.03;04.05.01.04;02;02.22;01.02;01.05;01.05.04;01.03.13;04;04.05.01.04.03;04.05.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; ENERGY; "	d.110	"d.110.2;"	Alpha and beta proteins (a+b)	Profilin-like	0	Cytoplasmic		low		529	no	2.764922985
P32721	ALSA_ECOLI	D-allose transport ATP-binding protein alsA	2	60	25	0.08	2.02E-01	1.14E+02	0.004784689	56746	7.37	-0.09	15		N			67.01.40	"67.50;01;01.05.07;67.50.25;01.05;40;40.02;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	CytoplasmicMembrane		low	alsRBACE	1046	no	2.056904851
P0AE12	AMN_ECOLI	AMP nucleosidase (EC 3.2.2.4)	2	65	17	0.12	3.11E-01	1.47E+02	0.004784689	53996	6.31	-0.29	14	0.28	N			1.4	"01;01.03;40.03;01.03.01;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "					0	Unknown		low		1016	no	2.167317335
P68767	AMPA_ECOLI	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (Leucyl aminopeptidase	12	561	19	0.63	3.28E+00	5.77E+02	0.010366826	54881	7.2	-0.22	16					63.03.06	"63.03.01;03.01.05.03;03;63;06.13;63.03;03.01.05;03.01;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; PROTEIN FATE (folding. modification. destination); "	c.50.c.56	"c.56.5;c.50.1;"	Alpha and beta proteins (a/b)	Phosphorylase/hydrolase-like.Leucine aminopeptidase (Aminopeptidase A). N-terminal domain	0	Cytoplasmic		low		363	no	2.761175813
P00811	AMPC_ECOLI	Beta-lactamase precursor (EC 3.5.2.6) (Cephalosporinase)	2	111	17	0.12	3.11E-01	1.47E+02	0.004784689	41557	9.4	-0.18	10	0.26	N			11	"11.05.01.01;11.05.01;11.07.03;11;11.07;11.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; "	e.3	"e.3.1;"	Multi-domain proteins (alpha and beta)	beta-Lactamase/D-ala carboxypeptidase	0	Periplasmic		low	ampC	934	no	2.167317335
P0AE18	AMPM_ECOLI	Methionine aminopeptidase (EC 3.4.11.18) (MAP) (Peptidase M)	10	420	16	0.63	3.22E+00	5.71E+02	0.022966507	29332	5.86	-0.16	6					63.06	"63.17;63;06.13;63.17.09;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); "	d.127	"d.127.1;"	Alpha and beta proteins (a+b)	Creatinase/aminopeptidase	0	Cytoplasmic	C	low		409	no	2.756636108
P04825	AMPN_ECOLI	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	31	1323	36	0.86	6.26E+00	8.40E+02	0.017286618	98789	5.04	-0.33	28	0.43	N			11.63.40.06	"11.01;06.13.01;63.17;63;11.01.11;06.13;63.17.09;11;40;40.30;06;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.92	"d.92.1;"	Alpha and beta proteins (a+b)	Zincin-like	0	CytoplasmicMembrane		low		105	no	2.924279286
P15034	AMPP_ECOLI	Xaa-Pro aminopeptidase (EC 3.4.11.9) (X-Pro aminopeptidase) (Aminopeptidase P II) (APP-II)	7	273	17	0.41	1.58E+00	3.78E+02	0.004784689	49685	5.18	-0.31	13	0.42	N			63.40.06	"63.17;63.02;06.10;63;40.03;63.01;63.17.09;40;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.127.c.55	"d.127.1;c.55.2;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Ribonuclease H-like motif.Creatinase/aminopeptidase	0	Cytoplasmic		low		545	no	2.5774918
P69503	APT_ECOLI	Adenine phosphoribosyltransferase (EC 2.4.2.7) (APRT)	15	851	8	1.88	7.40E+01	3.53E+03	0.018819777	19860	5.14	0.02	5					1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	c.61	"c.61.1;"	Alpha and beta proteins (a/b)	PRTase-like	0	Cytoplasmic	C	high		259	no	3.547774705
P08202	ARAA_ECOLI	L-arabinose isomerase (EC 5.3.1.4)	32	1279	17	1.88	7.53E+01	3.56E+03	0.040669856	56104	6.39	-0.21	12					1	"01;01.05;01.05.01;01.05.01.01;01.05.01.01.01;"	"METABOLISM; "					0	Unknown		high	araBAD	100	no	3.551449998
P08204	ARAB_ECOLI	Ribulokinase (EC 2.7.1.16)	16	794	18	0.89	6.74E+00	8.77E+02	0.031997608	60959	5.18	-0.02	14					63.01	"01;63.19;63;01.05;01.05.01;63.19.03;01.05.01.01;01.05.01.01.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; "	c.55	"c.55.1;"	Alpha and beta proteins (a/b)	Ribonuclease H-like motif	0	CytoplasmicMembrane		low	araBAD	263	no	2.942999593
P0A9E0	ARAC_ECOLI	Arabinose operon regulatory protein	2	56	9	0.22	6.68E-01	2.29E+02	0.007177033	33385	6.94	-0.32	7	0.25	N			01.63.04	"63.03.01;01.05.04;01;63;04;04.05;04.05.01.04.03;04.05.01.04.01;04.05.01;63.03;04.05.01.04;01.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	b.82	"b.82.4;"	All beta proteins	Double-stranded beta-helix	0	Cytoplasmic		low	araC	1063	no	2.359835482
P08203	ARAD_ECOLI	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4) (Phosphoribulose isomerase)	2	82	8	0.25	7.78E-01	2.50E+02	0.031100478	25520	6.12	-0.25	6					1	"01;01.05;01.05.01;01.05.01.01;"	"METABOLISM; "	c.74	"c.74.1;"	Alpha and beta proteins (a/b)	Class II aldolase	0	Unknown		low	araBAD	971	no	2.397940009
P0AE24	ARAE_ECOLI	Arabinose-proton symporter (Arabinose transporter)	5	225	6	0.83	5.81E+00	8.05E+02	0.010526316	51686	10.13	0.63	8	0.34	N			67.01.63.40.08	"01;63;63.13;67.50.03.01;01.05.07;67.50.03;01.05;40.30;67.07;67.50;63.13.01;40;08;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "					12	CytoplasmicMembrane		low	araE	646	no	2.90579588
P02924	ARAF_ECOLI	L-arabinose-binding periplasmic protein precursor (ABP)	2	92	19	0.11	2.74E-01	1.37E+02	0.007177033	35542	6.55	-0.19	9	0.47	E			67.01.63.40	"01;63.13.01;63;40.28;63.13;01.05.07;01.05;40;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.93	"c.93.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like I	0	Periplasmic	P	low	araFGH_1H_2	955	no	2.136720567
P0A9Q1	ARCA_ECOLI	Aerobic respiration control protein arcA (Dye resistance protein)	15	622	9	1.67	4.54E+01	2.66E+03	0.011802233	27293	5.08	-0.49	10	0.5	X			63.40.10.04.02	"63.03.01;63;04.05;40.03;63.03;04.05.01.04;02;10.05.01;10.05;10;04;04.05.01;10.05.01.10;40;02.13;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; TRANSCRIPTION; ENERGY; "	c.23.a.4	"c.23.1;a.4.6;c.23.1;"	Alpha and beta proteins (a/b).All alpha proteins	DNA/RNA-binding 3-helical bundle.Flavodoxin-like	0	Cytoplasmic		high	arcA	291	no	3.424881637
P0AEC3	ARCB_ECOLI	Aerobic respiration control sensor protein arcB (EC 2.7.3.-)	2	51	31	0.06	1.60E-01	9.99E+01	0.023923445	87984	4.83	-0.25	27					40.02.10.13.06	"02.13.05;10.01.05.01;13.11;02;10.05;10.05.01;06;40.02;10;13.11.03;06.07;10.01;10.01.05;13;06.07.03;40;02.13;13.11.03.99;"	"SUBCELLULAR LOCALISATION; ENERGY; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; PROTEIN FATE (folding. modification. destination); "	d.122.c.23.a.30.a.24	"a.30.2;c.23.1;d.122.1;c.23.1;a.24.10;d.122.1;d.122.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All alpha proteins	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase.ROP-like.Four-helical up-and-down bundle.Flavodoxin-like	2	CytoplasmicMembrane		low	arcB	1086	no	1.999565488
P77624	ARCM_ECOLI	Carbamate kinase-like protein yahI	2	55	17	0.12	3.11E-01	1.47E+02	0.007177033	33932	6.06	-0.07	5		N			99	"99;"	"UNCLASSIFIED PROTEINS; "	c.73	"c.73.1;"	Alpha and beta proteins (a/b)	Carbamate kinase-like	0	Cytoplasmic		low		1068	no	2.167317335
