Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0C0L7	JW4072	ECK4104	proP	proline/glycine betaine transporter	4.34	0	1	0	0	12	7	449	12	0.558	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADC6	JW5760	ECK4255	yjgQ	conserved inner membrane protein	3.28	0	1.33	0	0	31.11	9	443	6	0.000	GO:0009274 cell wall (sensu Bacteria)
P0AAH0	JW3703	ECK3718	pstB	phosphate transporter subunit -!- ATP-binding component of ABC superfamily	1.78	0	22.71	0	0	40.86	8	355	0	0.000	GO:0005737 cytoplasm
P08194	JW2234	ECK2232	glpT	sn-glycerol-3-phosphate transporter	4.88	0	2.43	0	0	12.83	7	339	12	0.493	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADC3	JW5161	ECK1102	lolC	outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily	1.96	0	1.52	0	0	29.57	7	289	4	0.319	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P41036	JW3193	ECK3213	nanT	sialic acid transporter	1.78	0	1.73	0	0	10.08	4	234	12	0.689	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AAG5	JW5061	ECK0443	mdlB	fused predicted multidrug transporter subunits -!- ATP binding components of ABC superfamily	0.35	0	1.05	0	0	11.64	4	227	4	0.252	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P26647	JW2986	ECK3009	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	1.03	0	1.69	0	0	12.24	3	153	1	0.073	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFA7	JW1175	ECK1174	nhaB	sodium:proton antiporter	1.03	0	1.34	0	0	8	4	152	12	0.806	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P75831	JW0863	ECK0870	macB	fused macrolide transporter subunits -!- ATP-binding component and membrane component of ABC superfamily	0.23	0	0.93	0	0	6.79	3	132	4	0.129	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77808	JW2243	ECK2242	yfaY	conserved protein	0.23	0	25.05	0	0	10.75	2	123	0	-0.055	0
P23305	JW3783	ECK3805	yigA	conserved protein	0.31	0	15.17	0	0	13.19	2	72	0	-0.149	0
P0ADP0	JW3785	ECK3807	yigB	predicted hydrolase	0.52	0	61.36	0	0	15.97	2	72	0	-0.329	0
P0AA67	JW0798	ECK0802	rhtA	threonine and homoserine efflux system	3.64	0	1.69	0	0	4.75	2	54	10	0.948	GO:0009274 cell wall (sensu Bacteria)
P00936	JW3778	ECK3800	cyaA	adenylate cyclase	0.11	0		0	0	1.89	2	35	0	-0.292	GO:0005737 cytoplasm
P46122	JW5056	ECK0406	yajI	predicted lipoprotein	0.78	0		0	0	15.64	2	34	0	-0.129	0
P0AEP1	JW2910	ECK2938	galP	D-galactose transporter	0.67	1	1.22	0,04	0.04	4.53	2	67	12	0.599	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76272	JW1823	ECK1833	yebT	conserved protein	1.19	1	1.38	0,05	0.05	22.81	14	871	1	-0.098	GO:0009274 cell wall (sensu Bacteria)
Q46939	JW5453	ECK2842	yqeF	predicted acyltransferase	0.25	1	12.32	0,06	0.06	8.65	2	91	0	0.109	0
Q46939	JW5453	ECK2842	yqeF	predicted acyltransferase	1.15	1	12.32	0,06	0.06	27.99	7	313	0	0.109	0
P0AGK1	JW4000	ECK4032	ubiA	p-hydroxybenzoate octaprenyltransferase	0.93	1	1.31	0,07	0.07	5.52	2	70	7	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P26648	JW2985	ECK3008	sufI	repressor protein for FtsI	0.25	1		0,07	0.07	6.38	2	41	0	-0.175	0
P08395	JW1755	ECK1764	sppA	protease IV (signal peptide peptidase)	0.42	1	20.37	0,08	0.08	9.22	4	261	1	-0.111	0
P33231	JW3578	ECK3593	lldP	L-lactate permease	1	1	47.23	0,08	0.08	9.44	3	220	12	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P08395	JW1755	ECK1764	sppA	protease IV (signal peptide peptidase)	4.72	1	1.31	0,08	0.08	37.54	21	1177	1	-0.111	0
P76503	JW2339	ECK2336	yfcY	beta-ketoacyl-CoA thiolase. anaerobic. subunit	1.15	1		0,08	0.08	20.87	8	344	0	0.039	0
P33231	JW3578	ECK3593	lldP	L-lactate permease	0.58	1	1.67	0,08	0.08	5.99	2	161	12	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P46482	JW3210	ECK3230	aaeA	p-hydroxybenzoic acid efflux system component	0.36	1	1.06	0,08	0.08	9.35	2	51	1	-0.275	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AES0	JW2956	ECK2982	gss	fused glutathionylspermidine amidase -!- glutathionylspermidine synthetase	0.58	1	27.85	0,09	0.09	17.12	7	396	1	-0.342	0
P13009	JW3979	ECK4011	metH	homocysteine-N5-methyltetrahydrofolate transmethylase. B12-dependent	0.09	1	4.57	0,09	0.09	2.93	2	108	0	-0.249	0
P77467	JW1389	ECK1391	paaG	acyl-CoA hydratase	0.33	1	16.12	0,09	0.09	13	2	22	0	-0.094	0
P31119	JW2804	ECK2832	aas	fused 2-acylglycerophospho-ethanolamine acyl transferase -!- acyl-acyl carrier protein synthetase	1.74	1		0,09	0.09	34.91	20	860	0	-0.042	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AES0	JW2956	ECK2982	gss	fused glutathionylspermidine amidase -!- glutathionylspermidine synthetase	0.48	1	1.44	0,09	0.09	12.76	5	299	1	-0.342	0
P30844	JW4073	ECK4105	basS	sensory histidine kinase in two-component regulatory system with BasR	0.73	1	1.25	0,09	0.09	16.25	4	224	2	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P63183	JW5609	ECK3741	trkD	potassium transporter	0.47	1	1.13	0,09	0.09	6.75	4	199	12	0.582	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9J8	JW2580	ECK2596	pheA	fused chorismate mutase P -!- prephenate dehydratase	0.96	1	45	0,11	0.11	18.13	6	252	0	-0.168	GO:0005737 cytoplasm
P64554	JW2748	ECK2771	ygcF	conserved protein	2.16	1	99.64	0,11	0.11	22.42	5	232	0	0.000	0
P0ABB8	JW4201	ECK4237	mgtA	magnesium transporter	0.18	1	8.96	0,11	0.11	5.68	3	150	7	0.159	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P24188	JW1042	ECK1040	yceA	conserved protein	0.23	1	11.36	0,11	0.11	7.71	2	108	0	-0.427	0
P09099	JW3536	ECK3553	xylB	xylulokinase	0.22	1	10.88	0,11	0.11	7.64	2	21	0	-0.092	0
P0ABB8	JW4201	ECK4237	mgtA	magnesium transporter	3.39	1	0.95	0,11	0.11	35	23	1434	7	0.159	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AE82	JW3882	ECK3904	cpxA	sensory histidine kinase in two-component regulatory system with CpxR	4.88	1	1.77	0,11	0.11	43.76	19	949	2	-0.264	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9J8	JW2580	ECK2596	pheA	fused chorismate mutase P -!- prephenate dehydratase	0.21	1	45	0,11	0.11	5.18	2	102	0	-0.168	GO:0005737 cytoplasm
P0ADB4	JW5737	ECK4142	ecnA	entericidin A membrane lipoprotein. antidote entericidin B	3.64	1		0,11	0.11	36.59	2	96	0	0.473	0
P0AAD8	JW3087	ECK3105	tdcC	L-threonine/L-serine transporter	0.58	1	1.19	0,11	0.11	4.29	2	92	11	0.737	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P16869	JW1088	ECK1088	fhuE	ferric-rhodotorulic acid outer membrane transporter	0.18	1		0,11	0.11	4.53	2	57	0	-0.522	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P40874	JW1046	ECK1044	solA	N-methyltryptophan oxidase. FAD-binding	0.52	1	25.05	0,12	0.12	13.98	3	166	0	-0.234	0
P05041	JW1801	ECK1810	pabB	aminodeoxychorismate synthase. subunit I	0.23	1	11.36	0,12	0.12	6.84	2	115	0	-0.289	0
P0A7A2	JW4358	ECK4387	ytjC	phosphoglyceromutase 2. co-factor independent	0.47	1	22.71	0,12	0.12	10.23	2	63	1	-0.371	GO:0005737 cytoplasm
P24228	JW3149	ECK3171	dacB	D-alanyl-D-alanine carboxypeptidase	0	1	9.92	0,12	0.12	7.76	2	58	0	-0.051	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
P45537	JW5701	ECK3346	yhfK	conserved inner membrane protein	0.68	1	1.23	0,12	0.12	10.29	6	267	9	0.047	GO:0005737 cytoplasm
P37637	JW3482	ECK3498	mdtF	multidrug transporter. RpoS-dependent	0.29	1	1	0,12	0.12	5.01	4	262	11	0.318	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A7A2	JW4358	ECK4387	ytjC	phosphoglyceromutase 2. co-factor independent	0.47	1	1.36	0,12	0.12	12.09	2	85	1	-0.371	GO:0005737 cytoplasm
P37908	JW5415	ECK2609	yfjD	predicted inner membrane protein	1.25	1	1.39	0,13	0.13	21.61	6	347	3	0.025	0
Q9S4X2	JW5391	ECK2389	yfeA	predicted diguanylate cyclase	0	1	1.01	0,13	0.13	8.64	4	241	8	0.306	0
P0AB01	JW0903	ECK0911	ycbC	conserved inner membrane protein	1.51	1	1.45	0,13	0.13	26.64	5	197	2	0.044	0
Q2MB16	JW5298	ECK1825	yobH	predicted protein	9	1	1.93	0,13	0.13	41.77	3	157	1	0.601	0
P0ABG7	JW0629	ECK0627	mrdB	cell wall shape-determining protein	0.78	1	1.27	0,13	0.13	10.81	3	102	9	0.908	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AER0	JW3898	ECK3919	glpF	glycerol facilitator	4.62	1	1.75	0,13	0.13	9.96	3	88	6	0.735	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AGC5	JW2542	ECK2556	yfhD	predicted transglycosylase	0.19	1		0,13	0.13	8.05	2	65	0	-0.431	GO:0042597 periplasmic space
P0ABU7	JW2974	ECK2999	exbB	membrane spanning protein in TonB-ExbB-ExbD complex	1.37	1	64.08	0,14	0.14	16.39	3	232	3	0.265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P23930	JW0654	ECK0649	lnt	apolipoprotein N-acyltransferase	0.26	1	12.79	0,14	0.14	6.64	2	86	6	0.273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P31600	JW0557	ECK0560	nfrA	bacteriophage N4 receptor. outer membrane subunit	0.89	1		0,14	0.14	25.96	18	794	0	-0.454	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P23930	JW0654	ECK0649	lnt	apolipoprotein N-acyltransferase	2.98	1	1.11	0,14	0.14	31.45	11	764	6	0.273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABU7	JW2974	ECK2999	exbB	membrane spanning protein in TonB-ExbB-ExbD complex	22.71	1	1.81	0,14	0.14	38	7	471	3	0.265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76399	JW2061	ECK2072	mdtC	multidrug efflux system. subunit C	0.38	1	1.07	0,14	0.14	8	5	249	10	0.283	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0C066	JW5481	ECK2958	mltC	membrane-bound lytic murein transglycosylase C	0.62	1		0,14	0.14	16.43	4	245	0	-0.351	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76237	JW5291	ECK1784	yeaJ	predicted diguanylate cyclase	0.93	1	1.31	0,14	0.14	23.99	6	244	2	-0.207	0
P23003	JW3937	ECK3957	trmA	tRNA (uracil-5-)-methyltransferase	1.23	1	57.72	0,15	0.15	31.97	8	356	0	-0.322	GO:0005737 cytoplasm
P00811	JW4111	ECK4146	ampC	beta-lactamase/D-alanine carboxypeptidase	0.21	1	10	0,15	0.15	5.04	2	23	0	-0.184	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
P23003	JW3937	ECK3957	trmA	tRNA (uracil-5-)-methyltransferase	1.72	1	57.72	0,15	0.15	38.52	10	488	0	-0.322	GO:0005737 cytoplasm
P15993	JW0108	ECK0111	aroP	aromatic amino acid transporter	1.68	1	1.48	0,15	0.15	5.47	3	153	12	0.812	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P09155	JW1793	ECK1802	rnd	ribonuclease D	0.27	1		0,15	0.15	5.87	2	105	0	0.000	GO:0005737 cytoplasm
P65870	JW2735	ECK2760	ygcM	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	3.64	1	165.27	0,16	0.16	66.12	5	178	0	-0.174	0
P0AB67	JW1594	ECK1597	pntB	pyridine nucleotide transhydrogenase. beta subunit	2.16	1	99.64	0,16	0.16	10.82	5	162	9	0.602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P30749	JW0768	ECK0774	moaE	molybdopterin synthase. large subunit	0.78	1	37.12	0,16	0.16	29.33	3	94	0	-0.497	0
P0AB67	JW1594	ECK1597	pntB	pyridine nucleotide transhydrogenase. beta subunit	5.81	1	2	0,16	0.16	23.81	9	550	9	0.602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P19642	JW1613	ECK1616	malX	fused maltose and glucose-specific PTS enzyme IIBC components	1.03	1	1.34	0,16	0.16	10.38	4	208	8	0.001	0
P0A6F3	JW3897	ECK3918	glpK	glycerol kinase	46.71	1	1961.97	0,17	0.17	76	36	2162	0	-0.292	0
P42632	JW5522	ECK3103	tdcE	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	0	1	19.43	0,17	0.17	14.01	7	287	0	-0.294	GO:0005737 cytoplasm
P05706	JW2673	ECK2699	srlB	glucitol/sorbitol-specific enzyme IIA component of PTS	4.62	1	208.24	0,17	0.17	65.85	5	215	0	0.002	0
P63389	JW3315	ECK3340	yheS	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	0.55	1	26.45	0,17	0.17	12.87	7	203	0	-0.463	GO:0005737 cytoplasm
P14407	JW4083	ECK4115	fumB	anaerobic class I fumarate hydratase (fumarase B)	0.13	1	6.53	0,17	0.17	6.39	2	31	0	-0.316	0
P0A6F3	JW3897	ECK3918	glpK	glycerol kinase	2.43	1	1961.97	0,17	0.17	37.65	15	740	0	-0.292	0
P0AD44	JW2539	ECK2552	yfhG	conserved protein	1.51	1		0,17	0.17	28.69	6	394	0	-0.745	0
P0AF43	JW3980	ECK4012	yjbB	predicted transporter	1	1	1.33	0,17	0.17	15	5	348	8	0.432	0
P63389	JW3315	ECK3340	yheS	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	0.28	1	26.45	0,17	0.17	5.97	3	180	0	-0.463	GO:0005737 cytoplasm
P0A8S1	JW2883	ECK2912	argP	DNA-binding transcriptional activator. replication initiation inhibitor	0.58	1		0,17	0.17	13.47	3	165	0	-0.173	GO:0005737 cytoplasm
P31697	JW4279	ECK4307	fimC	chaperone. periplasmic	0.78	1	1.27	0,17	0.17	25.31	4	101	1	-0.208	GO:0009289 fimbria -!- GO:0042597 periplasmic space
P24224	JW2547	ECK2561	acpS	holo-[acyl-carrier-protein] synthase 1	0.78	1		0,17	0.17	16.67	2	99	0	0.013	GO:0005737 cytoplasm
P42632	JW5522	ECK3103	tdcE	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	0	1	19.43	0,17	0.17	4	2	76	0	-0.294	GO:0005737 cytoplasm
P0AF98	JW4218	ECK4254	yjgP	conserved inner membrane protein	1.31	1	61.36	0,18	0.18	11.48	3	170	6	0.465	GO:0009274 cell wall (sensu Bacteria)
P0A8G3	JW3063	ECK3083	uxaC	uronate isomerase	0.38	1	18.48	0,18	0.18	9.79	4	160	0	-0.429	0
P0AEY3	JW2752	ECK2775	mazG	nucleoside triphosphate pyrophosphohydrolase	1	1	24.12	0,18	0.18	17.87	3	120	0	-0.515	0
P69922	JW2773	ECK2797	fucI	L-fucose isomerase	0.19	1	9.44	0,18	0.18	5.08	2	97	0	0.000	0
P0A9H3	JW4092	ECK4125	cadA	lysine decarboxylase 1	0.18	1	8.96	0,18	0.18	4.06	3	59	0	0.000	GO:0005737 cytoplasm
P39334	JW4208	ECK4244	yjgJ	predicted transcriptional regulator	0.52	1	25.05	0,18	0.18	15.23	2	53	0	-0.167	0
P37636	JW3481	ECK3497	mdtE	multidrug resistance efflux transporter	2.59	1		0,18	0.18	55.32	13	788	0	-0.207	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P75830	JW0862	ECK0869	macA	macrolide transporter subunit. membrane fusion protein (MFP) component	3.33	1	1.66	0,18	0.18	37.74	13	593	1	-0.184	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AF98	JW4218	ECK4254	yjgP	conserved inner membrane protein	7.11	1	1.79	0,18	0.18	26.78	8	505	6	0.465	GO:0009274 cell wall (sensu Bacteria)
P69922	JW2773	ECK2797	fucI	L-fucose isomerase	0.56	1	9.44	0,18	0.18	10.83	5	187	0	0.000	0
P0AAE0	JW4166	ECK4204	cycA	D-alanine/D-serine/glycine transporter	1.15	1	1.37	0,18	0.18	5.96	3	165	12	0.831	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9H3	JW4092	ECK4125	cadA	lysine decarboxylase 1	0.18	1	8.96	0,18	0.18	6.29	3	95	0	0.000	GO:0005737 cytoplasm
P21345	JW4038	ECK4070	gltP	glutamate/aspartate:proton symporter	0.52	1	1.16	0,18	0.18	2.75	2	85	10	0.878	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P08244	JW1273	ECK1276	pyrF	orotidine-5'-phosphate decarboxylase	6.36	1	283.89	0,19	0.19	58.37	12	551	0	0.057	0
P08245	JW1274	ECK1277	yciH	conserved protein	0.58	1	27.85	0,19	0.19	24.07	2	146	0	-0.419	0
P0ADR6	JW2777	ECK2801	ygdE	predicted methyltransferase	0.23	1	11.36	0,19	0.19	5.19	2	75	0	-0.292	0
P08660	JW3984	ECK4016	lysC	aspartokinase III	0.35	1	17.07	0,19	0.19	6.24	2	40	0	0.000	GO:0005737 cytoplasm
P06961	JW3028	ECK3046	cca	fused tRNA nucleotidyl transferase -!- 2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase	0.19	1	9.44	0,19	0.19	6.55	2	35	0	-0.313	GO:0005737 cytoplasm
P30847	JW2063	ECK2074	baeS	sensory histidine kinase in two-component regulatory system with BaeR	1	1	1.33	0,19	0.19	24	9	410	2	-0.208	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P08244	JW1273	ECK1276	pyrF	orotidine-5'-phosphate decarboxylase	1.93	1	283.89	0,19	0.19	39.18	7	407	0	0.057	0
P77285	JW1623	ECK1627	rsxG	predicted oxidoreductase	2.59	1		0,19	0.19	40.29	5	198	0	-0.129	0
P0AB12	JW0944	ECK0952	yccF	conserved inner membrane protein	9	1	1.93	0,19	0.19	22	3	195	3	0.777	0
P0A6W3	JW0085	ECK0088	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase	0.67	1	1.22	0,19	0.19	5	2	53	10	0.824	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P46022	JW3175	ECK3197	mtgA	biosynthetic peptidoglycan transglycosylase	0.43	1	1	0,19	0.19	10.74	2	48	1	0.000	GO:0009274 cell wall (sensu Bacteria)
P0A9P6	JW5531	ECK3150	deaD	ATP-dependent RNA helicase	7	1	307.23	0,21	0.21	61.69	30	1481	0	-0.586	GO:0005737 cytoplasm
P09831	JW3179	ECK3202	gltB	glutamate synthase. large subunit	0.31	1	15.17	0,21	0.21	10.28	11	435	0	-0.224	0
P0A9F1	JW0801	ECK0807	mntR	transcriptional regulator of mntH	0.78	1	37.12	0,21	0.21	22.58	3	100	0	-0.377	0
P0AGI8	JW3251	ECK3276	trkA	NAD-binding component of TrK potassium transporter	0.32	1	15.65	0,21	0.21	5.68	2	26	0	-0.015	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9P6	JW5531	ECK3150	deaD	ATP-dependent RNA helicase	2.67	1	307.23	0,21	0.21	38.63	20	1087	0	-0.586	GO:0005737 cytoplasm
P31680	JW0054	ECK0056	djlA	DnaJ-like protein. membrane anchored	2.38	1	1.57	0,21	0.21	32.84	8	397	1	-0.341	0
P09831	JW3179	ECK3202	gltB	glutamate synthase. large subunit	0.13	1	15.17	0,21	0.21	4.48	5	272	0	-0.224	0
P77718	JW0413	ECK0417	thiI	sulfurtransferase required for thiamine and 4-thiouridine biosynthesis	2.65	1	121.49	0,22	0.22	48.34	17	673	0	-0.222	0
P42641	JW3150	ECK3172	obgE	GTPase involved in cell partioning and DNA repair	1.85	1	85.75	0,22	0.22	34.62	9	445	0	-0.452	0
P17993	JW2226	ECK2224	ubiG	bifunctional 3-demethylubiquinone-9 3-methyltransferase -!- 2-octaprenyl-6-hydroxy phenol methylase	2.16	1	99.64	0,22	0.22	37.08	6	289	0	-0.226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P21893	JW2860	ECK2887	recJ	ssDNA exonuclease. 5' --> 3'-specific	0.23	1	11.36	0,22	0.22	9.53	3	68	0	-0.069	0
P36999	JW1811	ECK1820	rrmA	23S rRNA m1G745 methyltransferase	0.33	1	16.12	0,22	0.22	10.41	2	39	0	-0.284	GO:0005737 cytoplasm
P77718	JW0413	ECK0417	thiI	sulfurtransferase required for thiamine and 4-thiouridine biosynthesis	1.05	1	121.49	0,22	0.22	24.69	10	490	0	-0.222	0
P15031	JW4247	ECK4277	fecE	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- ATP-binding component of ABC superfamily"	1.51	1		0,22	0.22	24.31	6	288	0	-0.065	GO:0005737 cytoplasm
P42641	JW3150	ECK3172	obgE	GTPase involved in cell partioning and DNA repair	0.23	1	85.75	0,22	0.22	9.74	2	140	0	-0.452	0
P21893	JW2860	ECK2887	recJ	ssDNA exonuclease. 5' --> 3'-specific	0.23	1	11.36	0,22	0.22	9.19	3	111	0	-0.069	0
