Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	WT Unique Peptides	WT Unique Spectra	WT Total #spectra	Qwt
P45577	PROQ_ECOLI	C6EBZ8_ECOBD	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	2	2	3	0.75
P0ADT2	YGIB_ECOLI	C6EHV7_ECOBD	A	UPF0441 protein ygiB	223	2	2	3	0.75
P00957	SYA_ECOLI	C6EJT4_ECOBD	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	5	5	6	0.24
P24182	ACCC_ECOLI	C6EGK4_ECOBD	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase. biotin carboxylase)	449	2	2	2	0.5
P0A9B6	E4PD_ECOLI	C6EII2_ECOBD	A	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	339	1	1	1	1
P00968	CARB_ECOLI	C6EB19_ECOBD	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	7	7	8	0.163265306
P0A8F0	UPP_ECOLI	C6EKL3_ECOBD	A	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	208	1	1	1	1
P0AEI1	MIAB_ECOLI	C6EK34_ECOBD	A	Isopentenyl-adenosine A37 tRNA methylthiolase (tRNA-i(6)A37 thiotransferase enzyme MiaB)	474	2	2	2	0.5
P0A9H7	CFA_ECOLI	C6ECU2_ECOBD	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	382	2	2	2	0.5
P0A6N4	EFP_ECOLI	C6ECX8_ECOBD	A	Elongation factor P	188	1	1	1	1
P0ABD5	ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	3	3	3	0.333333333
P0A7J3	RL10_ECOLI	C6EE34_ECOBD	A	50S ribosomal protein L10	165	5	5	12	0.48
P0AES6	GYRB_ECOLI	C6ECI0_ECOBD	A	DNA gyrase subunit B (EC 5.99.1.3)	804	6	6	6	0.166666667
P05791	ILVD_ECOLI	C6EG40_ECOBD	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	3	3	3	0.333333333
P0A9Q5	ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase. carboxyl transferase. beta subunit)	304	3	3	4	0.444444444
P32132	TYPA_ECOLI	C6EF30_ECOBD	A	GTP-binding protein (GTP-binding protein TypA)	607	2	2	2	0.5
P0A7T7	RS18_ECOLI	C6ECE7_ECOBD	A	30S ribosomal protein S18	75	2	2	8	2
P21170	SPEA_ECOLI	C6EIH1_ECOBD	A	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	658	1	1	2	2
P61175	RL22_ECOLI	C6EGF1_ECOBD	A	50S ribosomal protein L22	110	5	5	5	0.2
P23893	GSA_ECOLI	C6EAD0_ECOBD	A	Glutamate-1-semialdehyde 2.1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)	426	8	9	10	0.138888889
P0ABU2	ENGD_ECOLI	C6EGR3_ECOBD	A	GTP-binding protein YchF (Translation-associated GTPase)	363	1	1	1	1
P27836	WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase. WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246	9	10	10	0.111111111
P27247	PLSX_ECOLI	C6EHC4_ECOBD	A	Fatty acid/phospholipid synthesis protein PlsX	346	3	3	3	0.333333333
P0A9F3	CYSB_ECOLI	C6EFW2_ECOBD	A	DNA-binding transcriptional dual regulator. O-acetyl-L-serine-binding (Transcriptional regulator. LysR family)	324	1	1	1	1
P37765	RLUB_ECOLI	C6EFW8_ECOBD	A	Pseudouridine synthase (EC 5.4.99.-)	291	1	1	1	1
P24554	RADA_ECOLI	C6EBI2_ECOBD	A	DNA repair protein radA	460	1	1	1	1
P23538	PPSA_ECOLI	C6ECQ5_ECOBD	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	5	5	6	0.24
P0A8R9	HDFR_ECOLI	C6EG46_ECOBD	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	279	1	1	1	1
P27306	STHA_ECOLI	C6EE47_ECOBD	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	2	2	2	0.5
P0A7W7	RS8_ECOLI	C6EGG0_ECOBD	A	30S ribosomal protein S8	130	3	3	4	0.444444444
P0A717	KPRS_ECOLI	C6EGQ9_ECOBD	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	5	5	5	0.2
P76503	FADI_ECOLI	C6ELB2_ECOBD	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	1	1	1	1
P0A850	TIG_ECOLI	C6EL29_ECOBD	A	Trigger factor (TF)	432	2	2	3	0.75
P07604	TYRR_ECOLI	C6EFQ9_ECOBD	A	DNA-binding transcriptional dual regulator. tyrosine-binding (Transcriptional regulator. TyrR)	513	1	1	1	1
P0ADY7	RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	136	1	1	5	5
P00562	AK2H_ECOLI	C6EE68_ECOBD	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	810	3	3	3	0.333333333
P21507	SRMB_ECOLI	C6EK10_ECOBD	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444	3	3	5	0.555555556
P0A6F5	CH60_ECOLI	C6ECY2_ECOBD	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	2	2	2	0.5
P0AEK2	FABG_ECOLI	C6EHC1_ECOBD	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	244	4	4	5	0.3125
P75838	YCAO_ECOLI	C6EI77_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein ycaO)	586	2	2	2	0.5
P0A6M8	EFG_ECOLI	C6EGC4_ECOBD	A	Elongation factor G (EF-G)	704	3	3	3	0.333333333
									
P0A6R0	FABH_ECOLI	C6EHC3_ECOBD	A	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	317	2	2	2	0.5
P62620	ISPG_ECOLI	C6EKJ4_ECOBD	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	5	5	5	0.2
P0A6K6	DEOB_ECOLI	C6EBI8_ECOBD	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	1	1	1	1
Q46855	YQHC_ECOLI	C6EHY4_ECOBD	A	Predicted DNA-binding transcriptional regulator (Transcriptional regulator. AraC family)	318	1	1	1	1
P25741	RFAP_ECOLI	C6EDG1_ECOBD	A	Lipopolysaccharide kinase	265	2	2	2	0.5
P0C018	RL18_ECOLI	C6EGG2_ECOBD	A	50S ribosomal protein L18	117	3	3	3	0.333333333
P0A6H1	CLPX_ECOLI	C6EL27_ECOBD	A	ATP-dependent Clp protease ATP-binding subunit ClpX	424	3	3	3	0.333333333
P09373	PFLB_ECOLI	C6EI79_ECOBD	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	2	2	2	0.5
P08957	T1MK_ECOLI	C6EBN1_ECOBD	A	DNA methylase M (EC 2.1.1.72) (Site-specific DNA-methyltransferase (Adenine-specific)) (EC 2.1.1.72)	529	2	2	2	0.5
P60624	RL24_ECOLI	C6EGF7_ECOBD	A	50S ribosomal protein L24	104	2	2	2	0.5
P0A7R1	RL9_ECOLI	C6ECE6_ECOBD	A	50S ribosomal protein L9	149	2	2	2	0.5
									
P17952	MURC_ECOLI	C6EAW4_ECOBD	A	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	491	1	1	1	1
P02359	RS7_ECOLI	C6EGC3_ECOBD	A	30S ribosomal protein S7	156	2	2	2	0.5
P0A7Z4	RPOA_ECOLI	C6EGH1_ECOBD	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase. alpha subunit)	329	2	2	2	0.5
P30850	RNB_ECOLI	C6EFU6_ECOBD	A	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	644	2	2	2	0.5
P24173	RFAC_ECOLI	C6EDG9_ECOBD	A	ADP-heptose:LPS heptosyl transferase I (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase I)	326	4	4	4	0.25
P76658	HLDE_ECOLI	C6EHU3_ECOBD	A	Bifunctional protein hldE	477	2	2	2	0.5
P0AFK0	PMBA_ECOLI	C6ECB4_ECOBD	A	Peptidase U62 modulator of DNA gyrase (Predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17)	450	1	1	1	1
P23871	HEMH_ECOLI	C6EKY9_ECOBD	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320	1	1	1	1
P0A6P9	ENO_ECOLI	C6EJ93_ECOBD	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	3	3	3	0.333333333
P0A7K6	RL19_ECOLI	C6EJY6_ECOBD	A	50S ribosomal protein L19	115	2	3	3	0.5
P0ADZ0	RL23_ECOLI	C6EGE8_ECOBD	A	50S ribosomal protein L23	100	2	2	2	0.5
P0AGJ9	SYY_ECOLI	C6EDK8_ECOBD	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	2	2	2	0.5
P0AC33	FUMA_ECOLI	C6EDN6_ECOBD	A	Fumarate hydratase (Fumarase A). aerobic Class I (EC 4.2.1.2) (Hydro-lyase. Fe-S type. tartrate/fumarate subfamily. beta subunit)	548	1	1	1	1
P08390	USG_ECOLI	C6ELD4_ECOBD	A	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) (Putative uncharacterized protein usg)	337	1	1	1	1
P0A7L8	RL27_ECOLI	C6EH42_ECOBD	A	50S ribosomal protein L27	85	1	1	1	1
P0AGJ5	YFIF_ECOLI	C6EK05_ECOBD	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	1	2	2	1
P75867	LONH_ECOLI	C6EI27_ECOBD	A	Predicted peptidase (Putative ATP-dependent protease)	586	2	2	3	0.75
P07639	AROB_ECOLI	C6EFI7_ECOBD	A	3-dehydroquinate synthase (EC 4.2.3.4)	362	1	1	1	1
P37019	CLCA_ECOLI	C6EAC9_ECOBD	B	Chloride channel core (Chloride channel protein)	473	7	9	9	0.142857143
P02919	PBPB_ECOLI	C6EAD5_ECOBD	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841	34	38	78	0.060371517
P0AD42	YFHB_ECOLI	C6EK28_ECOBD	B	HAD superfamily (Subfamily IF) hydrolase. YfhB	211	2	2	2	0.5
P0AFY2	SANA_ECOLI	C6EAG8_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	239	2	2	4	1
P0AD68	FTSI_ECOLI	C6EAX1_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588	21	23	36	0.074534161
P0ACB7	HEMY_ECOLI	C6EG13_ECOBD	B	HemY protein (Predicted protoheme IX synthesis protein)	398	22	23	71	0.140316206
P37617	ATZN_ECOLI	C6EFA5_ECOBD	B	Heavy metal translocating P-type ATPase	732	17	20	71	0.208823529
P77173	ZIPA_ECOLI	C6EL66_ECOBD	B	Cell division protein zipA	328	5	5	8	0.32
P45537	YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein. YccS/YhfK family	696	5	6	10	0.333333333
P13518	CSRD_ECOLI	C6EGK8_ECOBD	B	Conserved inner membrane protein (Diguanylate cyclase/phosphodiesterase)	646	1	1	1	1
									
P62517	OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	837	26	31	84	0.104218362
P76272	YEBT_ECOLI	C6EBZ5_ECOBD	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877	21	21	31	0.070294785
P77304	DTPA_ECOLI	C6EDL1_ECOBD	B	Amino acid/peptide transporter (Putative tripeptide transporter permease)	500	3	5	7	0.466666667
P0AAD6	SDAC_ECOLI	C6EJ75_ECOBD	B	Predicted serine transporter (Serine transporter)	429	5	9	37	0.822222222
P0AGA2	SECY_ECOLI	C6EGG6_ECOBD	B	Preprotein translocase subunit secY	443	15	16	62	0.258333333
P27303	EMRA_ECOLI	C6EJU1_ECOBD	B	Efflux pump membrane protein (Multidrug efflux system)	390	20	22	29	0.065909091
P76389	YEGH_ECOLI	C6EAP4_ECOBD	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527	4	4	8	0.5
P09127	HEMX_ECOLI	C6EG12_ECOBD	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	32	37	61	0.05152027
P0AAI3	FTSH_ECOLI	C6EH49_ECOBD	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	32	42	232	0.172619048
P0AAE2	PROY_ECOLI	C6ELI2_ECOBD	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457	1	1	1	1
P0AC75	KDTA_ECOLI	C6EDF8_ECOBD	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425	10	10	14	0.14
P39835	GNTT_ECOLI	C6EFF9_ECOBD	B	Gluconate transporter (Gluconate transporter. high-affinity GNT I system)	438	5	8	19	0.475
P0AFK4	POTB_ECOLI	C6EGW6_ECOBD	B	Binding-protein-dependent transport systems inner membrane component	285	1	1	2	2
P0ABF1	PCNB_ECOLI	C6EAE1_ECOBD	B	Poly(A) polymerase (EC 2.7.7.19)	472	12	12	26	0.180555556
P0CB39	CPTA_ECOLI	C6EE54_ECOBD	B	Conserved inner membrane protein (Sulfatase)	577	28	34	213	0.223739496
P0AER3	GLTJ_ECOLI	C6EK41_ECOBD	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter. inner membrane subunit)	246	3	3	4	0.444444444
P0ADW3	YHCB_ECOLI	C6EGZ9_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	9	10	44	0.488888889
P0ABC9	BETT_ECOLI	C6ELR7_ECOBD	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677	7	7	7	0.142857143
P0A924	PGPB_ECOLI	C6EFV6_ECOBD	B	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	254	1	1	1	1
P45522	KEFB_ECOLI	C6EGB3_ECOBD	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	601	2	2	2	0.5
P0AFG8	ODP1_ECOLI	C6EAU3_ECOBD	B	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	10	10	21	0.21
P20966	PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system. fructose subfamily. IIC subunit)	563	21	25	44	0.083809524
Q47146	FADE_ECOLI	C6EA67_ECOBD	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	16	19	35	0.115131579
P0AG99	SECG_ECOLI	C6EH52_ECOBD	B	Preprotein translocase. SecG subunit (Protein-export membrane protein)	110	4	4	8	0.5
P31801	CHAA_ECOLI	C6EGP8_ECOBD	B	Calcium/proton exchanger (Calcium/sodium:proton antiporter)	366	3	3	6	0.666666667
P03961	ATKC_ECOLI	C6EJN8_ECOBD	B	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	190	1	1	1	1
P11557	DAMX_ECOLI	C6EFI8_ECOBD	B	Putative uncharacterized protein damX (Sporulation domain protein)	428	25	27	124	0.183703704
P0ABB8	ATMA_ECOLI	C6ECA6_ECOBD	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	27	30	69	0.085185185
P0AG27	YIBN_ECOLI	C6EDH8_ECOBD	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	6	7	33	0.785714286
P30845	EPTA_ECOLI	C6ED10_ECOBD	B	Predicted metal dependent hydrolase (Sulfatase)	547	19	21	63	0.157894737
P09323	PTW3C_ECOLI	C6EJQ6_ECOBD	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC. IIB. and IIA components (EC 2.7.1.69) (PTS system. N-acetylglucosamine-specific IIBC subunit)	648	21	24	57	0.113095238
P0ABA0	ATPF_ECOLI	C6EG67_ECOBD	B	ATP synthase subunit b	156	21	26	119	0.217948718
P0ADT8	YGIM_ECOLI	C6EHU0_ECOBD	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	9	11	24	0.242424242
P0AE82	CPXA_ECOLI	C6EEY6_ECOBD	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	16	17	32	0.117647059
P0AG14	SOHB_ECOLI	C6EFW5_ECOBD	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349	6	8	27	0.5625
P03960	ATKB_ECOLI	C6EJN7_ECOBD	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682	9	10	11	0.122222222
P0ABC7	HFLK_ECOLI	C6ECH5_ECOBD	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	27	28	97	0.128306878
P21345	GLTP_ECOLI	C6ED48_ECOBD	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	437	6	6	11	0.305555556
P37652	BCSB_ECOLI	C6EEF1_ECOBD	B	Cellulose synthase subunit B	767	13	13	14	0.082840237
P08200	IDH_ECOLI	C6EGV5_ECOBD	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	1	1	1	1
P0AC44	DHSD_ECOLI	C6EJL5_ECOBD	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase. hydrophobic membrane anchor protein)	115	2	2	7	1.75
P31680	DJLA_ECOLI	C6EAZ8_ECOBD	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271	6	6	7	0.194444444
P19934	TOLA_ECOLI	C6EJJ8_ECOBD	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421	18	20	26	0.072222222
P24205	MSBB_ECOLI	C6EBX2_ECOBD	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323	3	3	3	0.333333333
P02918	PBPA_ECOLI	C6EFI0_ECOBD	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein. 1A family) (EC 2.4.1.129)	850	38	43	79	0.048347613
Q59385	COPA_ECOLI	C6EKY0_ECOBD	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834	17	17	24	0.083044983
P33232	LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase. FMN-linked) (EC 1.1.2.3)	396	20	21	38	0.09047619
P69805	PTND_ECOLI	C6EC11_ECOBD	B	PTS system. mannose/fructose/sorbose family. IID subunit	283	7	7	9	0.183673469
P77726	YAJR_ECOLI	C6EL42_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454	3	3	6	0.666666667
P0AD27	YEJM_ECOLI	C6EA09_ECOBD	B	Predicted hydrolase. inner membrane (Sulfatase)	586	9	12	17	0.157407407
