Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	secY Unique Peptides	secY Unique Spectra	secY Total #spectra	QsecY
P62620	ISPG_ECOLI	C6EKJ4_ECOBD	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	4	4	4	0.25
P0AA16	OMPR_ECOLI	C6EFG9_ECOBD	A	Two component transcriptional regulator. winged helix family	239	6	7	9	0.214285714
P0A6P9	ENO_ECOLI	C6EJ93_ECOBD	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	8	9	11	0.152777778
P0A6F3	GLPK_ECOLI	C6EEX2_ECOBD	A	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase)	502	1	1	1	1
P02413	RL15_ECOLI	C6EGG5_ECOBD	A	50S ribosomal protein L15	144	7	7	15	0.306122449
P00448	SODM_ECOLI	C6EEY9_ECOBD	A	Superoxide dismutase (EC 1.15.1.1)	206	2	2	2	0.5
P76503	FADI_ECOLI	C6ELB2_ECOBD	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	2	2	5	1.25
P0ADE6	YGAU_ECOLI	C6EJW0_ECOBD	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	149	9	10	13	0.144444444
P37692	RFAF_ECOLI	C6EDH0_ECOBD	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	4	4	5	0.3125
P0A6L0	DEOC_ECOLI	C6EBJ0_ECOBD	A	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	259	16	16	23	0.08984375
P0AB77	KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	5	6	10	0.333333333
P02359	RS7_ECOLI	C6EGC3_ECOBD	A	30S ribosomal protein S7	156	5	7	10	0.285714286
P60422	RL2_ECOLI	C6EGE9_ECOBD	A	50S ribosomal protein L2	273	12	17	45	0.220588235
P62399	RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	179	16	20	33	0.103125
P77398	ARNA_ECOLI	C6E9U5_ECOBD	A	Bifunctional polymyxin resistance protein ArnA	660	2	2	2	0.5
P0A6K6	DEOB_ECOLI	C6EBI8_ECOBD	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	3	3	5	0.555555556
P0ADY7	RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	136	6	6	6	0.166666667
P0A7L0	RL1_ECOLI	C6EE35_ECOBD	A	50S ribosomal protein L1	234	7	7	21	0.428571429
P75672	YAFS_ECOLI	C6EA77_ECOBD	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	240	2	2	2	0.5
P0A887	UBIE_ECOLI	C6EF63_ECOBD	A	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	251	3	4	4	0.333333333
P0A955	ALKH_ECOLI	C6EBX8_ECOBD	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	213	1	1	1	1
P0AD61	KPYK1_ECOLI	C6ECS9_ECOBD	A	Pyruvate kinase (EC 2.7.1.40)	470	1	1	1	1
P43329	HRPA_ECOLI	C6EEV0_ECOBD	A	ATP-dependent helicase HrpA	1300	1	1	1	1
P0A894	YHBJ_ECOLI	C6EH22_ECOBD	A	UPF0042 nucleotide-binding protein yhbJ	284	1	1	1	1
P0AGE9	SUCD_ECOLI	C6EJK9_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	1	1	1	1
P27298	OPDA_ECOLI	C6EEI7_ECOBD	A	Oligopeptidase A (EC 3.4.24.70)	680	1	1	1	1
P0ACB4	HEMG_ECOLI	C6EF48_ECOBD	A	Protoporphyrin oxidase. flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	7	7	9	0.183673469
P0A6P1	EFTS_ECOLI	C6EAB5_ECOBD	A	Elongation factor Ts (EF-Ts)	283	5	5	5	0.2
P0AFZ3	SSPB_ECOLI	C6EH04_ECOBD	A	ClpXP protease specificity-enhancing factor (Stringent starvation protein B)	165	4	4	4	0.25
P76472	ARND_ECOLI	C6E9U4_ECOBD	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	7	8	9	0.160714286
P24554	RADA_ECOLI	C6EBI2_ECOBD	A	DNA repair protein radA	460	4	4	6	0.375
P0ACJ8	CRP_ECOLI	C6EGA6_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator. Crp/Fnr family)	210	3	3	3	0.333333333
P00968	CARB_ECOLI	C6EB19_ECOBD	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	4	5	5	0.25
P0ADY3	RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	123	5	6	10	0.333333333
P31663	PANC_ECOLI	C6EAS4_ECOBD	A	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	283	2	2	2	0.5
P0ABD5	ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	4	4	4	0.25
P08622	DNAJ_ECOLI	C6EB39_ECOBD	A	Chaperone protein dnaJ	376	2	2	2	0.5
P0A9L3	FKBB_ECOLI	C6ECD7_ECOBD	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	206	2	2	2	0.5
P13009	METH_ECOLI	C6EE05_ECOBD	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	4	4	4	0.25
P0A862	TPX_ECOLI	C6EFQ8_ECOBD	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	2	2	2	0.5
P0C018	RL18_ECOLI	C6EGG2_ECOBD	A	50S ribosomal protein L18	117	5	5	5	0.2
P06986	HIS8_ECOLI	C6EB64_ECOBD	A	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	356	1	1	1	1
P0A9F3	CYSB_ECOLI	C6EFW2_ECOBD	A	DNA-binding transcriptional dual regulator. O-acetyl-L-serine-binding (Transcriptional regulator. LysR family)	324	1	1	1	1
P0AFP4	YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	256	7	9	15	0.238095238
P02358	RS6_ECOLI	C6ECE9_ECOBD	A	30S ribosomal protein S6	131	4	4	4	0.25
P0AG48	RL21_ECOLI	C6EH41_ECOBD	A	50S ribosomal protein L21	103	3	3	3	0.333333333
P0A717	KPRS_ECOLI	C6EGQ9_ECOBD	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	3	3	3	0.333333333
P0A7K6	RL19_ECOLI	C6EJY6_ECOBD	A	50S ribosomal protein L19	115	5	6	7	0.233333333
P0A7X3	RS9_ECOLI	C6EH02_ECOBD	A	30S ribosomal protein S9	130	2	2	5	1.25
P0AG51	RL30_ECOLI	C6EGG4_ECOBD	A	50S ribosomal protein L30	59	2	2	2	0.5
P77775	YFCH_ECOLI	C6ELE9_ECOBD	A	Conserved protein with NAD(P)-binding Rossmann-fold domain (Putative uncharacterized protein)	297	4	4	5	0.3125
P00509	AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase. PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	3	3	3	0.333333333
P62707	GPMA_ECOLI	C6EJI9_ECOBD	A	2.3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	6	6	6	0.166666667
P0A7R1	RL9_ECOLI	C6ECE6_ECOBD	A	50S ribosomal protein L9	149	1	1	1	1
P0AA10	RL13_ECOLI	C6EH01_ECOBD	A	50S ribosomal protein L13	142	3	4	4	0.333333333
P0ABH7	CISY_ECOLI	C6EJL8_ECOBD	A	Citrate synthase (EC 2.3.3.1)	427	2	2	2	0.5
P0AB71	ALF_ECOLI	C6EII4_ECOBD	A	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase. class II)	359	3	3	3	0.333333333
P77552	YDHQ_ECOLI	C6ECT9_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein ydhQ)	418	1	1	1	1
P25742	RFAQ_ECOLI	C6EDF9_ECOBD	A	Lipopolysaccharide heptosyltransferase III	340	1	1	2	2
P0AAI5	FABF_ECOLI	C6EHB9_ECOBD	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	413	8	9	12	0.166666667
P0AEK2	FABG_ECOLI	C6EHC1_ECOBD	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	244	2	2	3	0.75
P0A6H5	HSLU_ECOLI	C6EE78_ECOBD	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	3	3	4	0.444444444
P00957	SYA_ECOLI	C6EJT4_ECOBD	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	7	7	11	0.224489796
P0ACF8	HNS_ECOLI	C6EGN0_ECOBD	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	2	2	2	0.5
P0A6T5	GCH1_ECOLI	C6EAG0_ECOBD	A	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	222	1	1	1	1
P0A853	TNAA_ECOLI	C6EG95_ECOBD	A	Tryptophanase (EC 4.1.99.1) (Tryptophanase/L-cysteine desulfhydrase. PLP-dependent) (EC 4.1.99.1)	471	1	1	1	1
P25741	RFAP_ECOLI	C6EDG1_ECOBD	A	Lipopolysaccharide kinase	265	2	2	3	0.75
P0A948	RIMJ_ECOLI	C6EHE7_ECOBD	A	Ribosomal-protein-S5-alanine N-acetyltransferase (EC 2.3.1.128) (Ribosomal-protein-alanine N-acetyltransferase) (EC 2.3.1.128)	194	1	1	1	1
P0A6T1	G6PI_ECOLI	C6EDZ9_ECOBD	A	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (Phosphohexose isomerase)	549	1	1	1	1
P23305	YIGA_ECOLI	C6EG04_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	235	1	1	1	1
P0A9D8	DAPD_ECOLI	C6EAB9_ECOBD	A	2.3.4.5-tetrahydropyridine-2.6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	3	3	5	0.555555556
P0ABP8	DEOD_ECOLI	C6EBI7_ECOBD	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	5	5	5	0.2
P0A705	IF2_ECOLI	C6EH57_ECOBD	A	Translation initiation factor IF-2	890	4	4	5	0.3125
P0AG67	RS1_ECOLI	C6EI71_ECOBD	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	2	2	2	0.5
P0A9Q5	ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase. carboxyl transferase. beta subunit)	304	3	4	8	0.666666667
P45469	YRAR_ECOLI	C6EH73_ECOBD	A	NAD-dependent epimerase/dehydratase (Predicted nucleoside-diphosphate-sugar epimerase)	211	2	2	2	0.5
P0AB80	ILVE_ECOLI	C6EG41_ECOBD	A	Branched-chain amino acid aminotransferase	309	1	1	1	1
P0A8M0	SYN_ECOLI	C6EI52_ECOBD	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	2	2	2	0.5
P15038	HELD_ECOLI	C6EI19_ECOBD	A	DNA helicase IV (EC 3.6.1.-) (UvrD/REP helicase)	684	1	1	1	1
P23871	HEMH_ECOLI	C6EKY9_ECOBD	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320	2	2	2	0.5
P0AG20	RELA_ECOLI	C6EJ88_ECOBD	A	(P)ppGpp synthetase I. SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)	744	2	2	2	0.5
P00934	THRC_ECOLI	C6EBG5_ECOBD	A	Threonine synthase (EC 4.2.3.1)	428	1	1	1	1
P0A7R9	RS11_ECOLI	C6EGG9_ECOBD	A	30S ribosomal protein S11	129	3	3	3	0.333333333
P0AES6	GYRB_ECOLI	C6ECI0_ECOBD	A	DNA gyrase subunit B (EC 5.99.1.3)	804	1	1	1	1
P0A7E9	PYRH_ECOLI	C6EAB4_ECOBD	A	Uridylate kinase (EC 2.7.4.22)	241	3	3	3	0.333333333
P0A7U7	RS20_ECOLI	C6EB30_ECOBD	A	30S ribosomal protein S20	87	2	2	2	0.5
P22523	MUKB_ECOLI	C6EI58_ECOBD	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	3	3	3	0.333333333
P23893	GSA_ECOLI	C6EAD0_ECOBD	A	Glutamate-1-semialdehyde 2.1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)	426	5	6	7	0.233333333
P0A7Z4	RPOA_ECOLI	C6EGH1_ECOBD	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase. alpha subunit)	329	5	5	5	0.2
P00350	6PGD_ECOLI	C6EB56_ECOBD	A	6-phosphogluconate dehydrogenase. decarboxylating (EC 1.1.1.44)	468	1	1	1	1
P0A850	TIG_ECOLI	C6EL29_ECOBD	A	Trigger factor (TF)	432	7	7	10	0.204081633
P0A9K9	SLYD_ECOLI	C6EGB5_ECOBD	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	196	2	2	4	1
P09373	PFLB_ECOLI	C6EI79_ECOBD	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	1	1	2	2
P0A7D4	PURA_ECOLI	C6ECH2_ECOBD	A	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	432	2	2	2	0.5
P0AG59	RS14_ECOLI	C6EGF9_ECOBD	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	3	3	3	0.333333333
P68679	RS21_ECOLI	C6EHT0_ECOBD	A	30S ribosomal protein S21	71	1	1	1	1
P0ABK5	CYSK_ECOLI	C6EL63_ECOBD	A	Cysteine synthase (EC 2.5.1.47)	323	4	4	4	0.25
P27306	STHA_ECOLI	C6EE47_ECOBD	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	1	1	1	1
P60723	RL4_ECOLI	C6EGE7_ECOBD	A	50S ribosomal protein L4	201	2	2	2	0.5
P0A870	TALB_ECOLI	C6EBG1_ECOBD	A	Transaldolase (EC 2.2.1.2)	317	3	3	3	0.333333333
P0AC59	GLRX2_ECOLI	C6EHE9_ECOBD	A	Glutaredoxin 2 (Grx2) (Glutaredoxin. GrxB family)	215	1	1	1	1
P0ACF0	DBHA_ECOLI	C6EE18_ECOBD	A	HU. DNA-binding transcriptional regulator. alpha subunit (Histone family protein DNA-binding protein)	90	1	1	1	1
P0A7W7	RS8_ECOLI	C6EGG0_ECOBD	A	30S ribosomal protein S8	130	2	2	2	0.5
P0A8C1	YBJQ_ECOLI	C6EIB5_ECOBD	A	UPF0145 protein ybjQ	107	1	1	1	1
P0AGJ5	YFIF_ECOLI	C6EK05_ECOBD	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	2	2	2	0.5
P27247	PLSX_ECOLI	C6EHC4_ECOBD	A	Fatty acid/phospholipid synthesis protein PlsX	346	1	1	2	2
P60624	RL24_ECOLI	C6EGF7_ECOBD	A	50S ribosomal protein L24	104	1	1	1	1
P0A836	SUCC_ECOLI	C6EJL0_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	1	1	1	1
P0ADZ0	RL23_ECOLI	C6EGE8_ECOBD	A	50S ribosomal protein L23	100	1	1	1	1
P21507	SRMB_ECOLI	C6EK10_ECOBD	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444	1	1	1	1
P0A7K2	RL7_ECOLI	C6EE33_ECOBD	A	50S ribosomal protein L7/L12	121	1	1	2	2
P0A6B7	ISCS_ECOLI	C6EKH7_ECOBD	A	Cysteine desulfurase (EC 2.8.1.7)	404	1	1	1	1
P24173	RFAC_ECOLI	C6EDG9_ECOBD	A	ADP-heptose:LPS heptosyl transferase I (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase I)	326	5	6	6	0.2
P22333	ADD_ECOLI	C6EDM4_ECOBD	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	2	2	2	0.5
P0A9G6	ACEA_ECOLI	C6EE08_ECOBD	A	Isocitrate lyase	434	1	1	1	1
P0A9P6	DEAD_ECOLI	C6EH63_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	3	3	3	0.333333333
P0A7S9	RS13_ECOLI	C6EGG8_ECOBD	A	30S ribosomal protein S13	118	1	1	1	1
P0A7M2	RL28_ECOLI	C6EDF4_ECOBD	A	50S ribosomal protein L28	78	1	1	1	1
P0A953	FABB_ECOLI	C6ELD0_ECOBD	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	406	1	1	1	1
P0AC30	FTSX_ECOLI	C6EFB2_ECOBD	B	Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter. inner membrane subunit FtsX)	352	15	20	31	0.103333333
P0AB12	YCCF_ECOLI	C6EI20_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	148	3	3	6	0.666666667
P0ADY1	PPID_ECOLI	C6EL22_ECOBD	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	67	84	229	0.04068941
P0A6H8	CLS_ECOLI	C6EFY7_ECOBD	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486	10	11	27	0.245454545
P25714	OXAA_ECOLI	C6EG98_ECOBD	B	Inner membrane protein oxaA	548	23	34	146	0.186700767
P0AA53	QMCA_ECOLI	C6EKX5_ECOBD	B	Band 7 protein (Predicted protease. membrane anchored)	305	5	5	5	0.2
P0AD68	FTSI_ECOLI	C6EAX1_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588	12	13	34	0.217948718
P27434	RODZ_ECOLI	C6EKJ3_ECOBD	B	Putative uncharacterized protein yfgA (Transcriptional regulator. XRE family)	337	21	30	81	0.128571429
P64499	YEBO_ECOLI	C6EC05_ECOBD	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	6	8	8	0.166666667
P69805	PTND_ECOLI	C6EC11_ECOBD	B	PTS system. mannose/fructose/sorbose family. IID subunit	283	14	20	50	0.178571429
P0AGA2	SECY_ECOLI	C6EGG6_ECOBD	B	Preprotein translocase subunit secY	443	24	31	361	0.485215054
P20966	PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system. fructose subfamily. IIC subunit)	563	22	29	54	0.084639498
P62517	OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	837	20	26	77	0.148076923
P77504	YBBP_ECOLI	C6EKW8_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	804	6	7	18	0.428571429
P0AFC3	NUOA_ECOLI	C6E9R4_ECOBD	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	6	6	18	0.5
P33232	LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase. FMN-linked) (EC 1.1.2.3)	396	15	16	35	0.145833333
P0AD65	PBP2_ECOLI	C6EK58_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633	13	14	19	0.104395604
P00550	PTM3C_ECOLI	C6EDJ3_ECOBD	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system. mannitol-specific IIC subunit)	637	26	30	46	0.058974359
P0ABA0	ATPF_ECOLI	C6EG67_ECOBD	B	ATP synthase subunit b	156	37	52	185	0.096153846
P30845	EPTA_ECOLI	C6ED10_ECOBD	B	Predicted metal dependent hydrolase (Sulfatase)	547	20	28	64	0.114285714
P0A6A0	UBIB_ECOLI	C6EF61_ECOBD	B	Probable ubiquinone biosynthesis protein ubiB	546	16	17	36	0.132352941
P0AG14	SOHB_ECOLI	C6EFW5_ECOBD	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349	7	10	24	0.342857143
P09127	HEMX_ECOLI	C6EG12_ECOBD	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	49	66	157	0.048546691
P60752	MSBA_ECOLI	C6EI68_ECOBD	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter. fused ATPase and inner membrane subunits MsbA)	582	27	34	104	0.11328976
Q59385	COPA_ECOLI	C6EKY0_ECOBD	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834	14	16	38	0.169642857
P76372	WZZB_ECOLI	C6EB58_ECOBD	B	Lipopolysaccharide biosynthesis protein	326	16	19	44	0.144736842
P29131	FTSN_ECOLI	C6EE76_ECOBD	B	Cell division protein FtsN (Essential cell division protein)	319	20	21	43	0.102380952
P0ACB7	HEMY_ECOLI	C6EG13_ECOBD	B	HemY protein (Predicted protoheme IX synthesis protein)	398	33	42	98	0.070707071
