predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
unknown	349	232	329	1,09	1,09	0,63	3	4	26	25,6	37,2	3,0
outer membrane	98	306	489	1,67	1,67	2,95	4	4	43	38,7	38,7	6,0
cytoplasmic	313	232	343	0,80	0,80	1,02	9	9	48	28,2	42,7	12,0
cytoplasmic	274	247	361	3,42	6,25	10,91	7	8	60	58,2	60,9	9,0
cytoplasmic	143	427	302	1,39	4,73	1,98	5	6	43	34,1	47,3	6,0
cytoplasmic	240	383	233	2,42	3,65	3,65	4	5	38	35,6	49,4	5,0
cytoplasmic	106	282	408	0,17	0,69	0,52	6	15	33	12,6	30,5	19,0
cytoplasmic	778			1,69	 	 	10			52,7		
cytoplasmic	144	211	407	0,23	0,50	0,63	8	13	23	13,7	18,6	17,0
cytoplasmic membrane	200	324	234	0,25	0,83	0,83	7	10	28	19,1	33,2	10,0
cytoplasmic	300	150	296	1,19	3,79	2,69	3	6	42	28,2	44,7	5,0
cytoplasmic		540	187	 	1,36	1,93		4	39		27,7	5,0
outer membrane	47	344	328	0,39	1,27	1,27	2	6	38	15,6	38,7	5,0
cytoplasmic	216	245	229	1,20	1,20	1,87	7	7	47	37,1	30,0	9,0
cytoplasmic	306	185	183	0,50	0,59	0,41	6	9	16	11,9	15,9	8,0
cytoplasmic	63	369	230	0,03	0,35	0,18	2	15	7	1,6	14,3	9,0
cytoplasmic	241	248	164	2,97	2,97	1,92	11	13	48	60,3	68,7	7,0
cytoplasmic	149	249	240	0,08	0,41	0,41	4	9	17	5,9	14,4	11,0
cytoplasmic	313	150	163	0,43	0,31	0,71	8	5	35	25,1	21,6	10,0
cytoplasmic	263	198	158	1,88	3,41	1,33	6	7	28	37,0	50,4	5,0
periplasmic	164	259	196	1,40	0,69	0,69	3	6	29	18,6	27,3	6,0
cytoplasmic membrane		314	305	 	0,49	0,38		17	24		23,3	16,0
cytoplasmic	91	248	266	0,50	2,35	1,74	3	4	34	20,6	30,5	6,0
cytoplasmic membrane		309	266	 	0,54	0,40		13	15		22,0	9,0
cytoplasmic	132	202	237	0,58	1,49	1,14	4	7	35	27,1	34,8	6,0
cytoplasmic		309	257	 	0,32	0,10		12	9		13,6	7,0
periplasmic	90	218	254	0,12	0,25	0,18	3	8	9	6,3	13,7	6,0
cytoplasmic	169	115	275	1,68	1,68	1,68	3	5	48	37,3	50,7	4,0
cytoplasmic	109	222	228	0,16	0,36	0,31	5	11	14	7,4	14,2	10,0
cytoplasmic	70	269	216	1,16	1,16	0,47	4	4	21	39,4	40,1	3,0
cytoplasmic	77	254	200	0,86	1,54	2,47	2	4	54	26,7	46,7	5,0
cytoplasmic	147	185	198	1,80	2,44	2,44	4	8	44	31,5	50,0	6,0
cytoplasmic	128	153	247	1,53	3,02	4,07	5	6	62	45,2	43,5	8,0
outer membrane		343	180	 	0,46	0,16		6	9		19,9	3,0
cytoplasmic	166	215	141	0,26	0,59	0,41	5	14	15	10,5	25,0	8,0
unknown	152	173	192	0,15	0,23	0,23	5	7	9	5,9	8,3	8,0
cytoplasmic	79	300	129	0,28	1,25	0,38	4	8	19	13,6	28,6	6,0
cytoplasmic		122	386	 	0,23	0,42		8	14		10,0	12,0
cytoplasmic membrane	118	240	149	0,22	0,40	0,31	6	6	17	16,4	15,9	8,0
outer membrane	136	208	159	0,52	1,02	0,32	3	5	22	21,5	34,2	4,0
cytoplasmic		235	266	 	1,62	5,86		7	72		72,0	6,0
cytoplasmic	267	92	138	0,97	1,48	1,48	3	6	41	23,1	41,0	7,0
cytoplasmic	195	179	119	0,52	0,42	0,32	7	9	15	19,7	25,0	6,0
cytoplasmic	48	253	176	0,15	0,64	0,53	3	8	19	7,1	22,7	9,0
cytoplasmic	120		354	0,90	 	2,61	2		54	25,9		5,0
cytoplasmic		274	180	 	0,67	0,38		10	20		22,3	9,0
cytoplasmic membrane	102	212	134	0,07	0,27	0,27	5	10	16	6,6	13,4	13,0
cytoplasmic	56	213	158	0,19	0,43	0,34	4	8	20	7,7	19,8	10,0
cytoplasmic	164	73	183	0,54	0,11	0,24	5	3	17	22,8	12,4	4,0
cytoplasmic	47	241	132		0,42	0,42	2	6	21	4,2	17,8	8,0
cytoplasmic	172	47	196	0,76	0,10	0,76	8	3	27	27,0	14,1	9,0
cytoplasmic	152	119	121	0,30	0,22	0,30	6	4	22	15,7	10,2	9,0
cytoplasmic membrane	62	188	137	0,08	0,56	0,45	5	9	20	11,3	24,6	8,0
cytoplasmic	150		211	0,76	 	0,52	8		27	32,1		7,0
cytoplasmic		151	193	 	1,89	2,77		4	46		22,1	6,0
cytoplasmic		343		 	0,55	 		7			17,8	
cytoplasmic	118	124	97	0,83	0,57	0,83	5	5	23	37,8	26,7	4,0
cytoplasmic	100	89	149	2,95	1,80	4,57	3	4	45	42,3	45,1	6,0
outer membrane		216	121	 	0,30	0,22		4	12		12,1	5,0
cytoplasmic	188	81	67	1,65	0,38	0,38	4	4	30	35,9	38,5	3,0
cytoplasmic membrane	73	153	108	0,15	0,33	0,24	3	5	6	6,5	13,3	2,0
cytoplasmic		250	80	 	0,39	0,10		10	8		10,9	7,0
cytoplasmic	56	155	114	0,44	1,33	1,07	5	6	25	23,7	37,1	5,0
outer membrane	102	201		0,34	1,39	 	1	8		6,2	47,2	
cytoplasmic	67	126	107	3,07	4,40	8,47	4	5	54	23,4	45,7	7,0
outer membrane	42	101	154	0,12	0,40	0,40	1	4	16	3,3	18,4	3,0
cytoplasmic	53	189	53		0,67	0,09	1	6	6	3,5	21,9	3,0
cytoplasmic	50	149	93		0,29		1	3	4	3,5	12,0	1,0
cytoplasmic membrane		82	210	 	0,14	0,56		5	19		12,0	9,0
cytoplasmic	99	57	133	0,43	0,43	1,47	3	4	19	21,2	27,2	3,0
cytoplasmic membrane	72	80	137	0,29	0,29	0,66	1	1	20	11,8	8,2	2,0
cytoplasmic	58	175	49	0,65	2,20	0,94	3	7	33	25,1	47,3	5,0
cytoplasmic		169	112	 	4,28	1,04		7	51		52,1	9,0
cytoplasmic	95	137	46	0,63	2,70	0,92	5	9	23	25,0	50,0	6,0
cytoplasmic	50	123	95	0,07	0,14	0,22	1	4	6	2,4	9,0	3,0
cytoplasmic		148	120	 	0,50	0,42		14	18		25,7	9,0
unknown	159	53	55	0,45	0,10	0,10	4	2	13	15,9	8,0	4,0
outer membrane	53	109	104	0,11	0,30	0,24	3	7	10	5,7	10,8	8,0
cytoplasmic	86	119	51	0,09	0,40	0,18	6	6	19	19,7	21,7	4,0
outer membrane		136	120	 	0,52	0,23		2	10		20,9	1,0
unknown	59	117	77	0,62	0,62	0,18	2	4	14	14,6	23,4	2,0
cytoplasmic membrane		114	134	 	0,18	0,12		4	8		7,7	4,0
cytoplasmic	58	94	91	0,04	0,27	0,18	2	8	9	2,1	12,0	7,0
cytoplasmic		77	162	 	0,92	1,98		4	32		31,5	5,0
cytoplasmic		153	85	 	0,59	0,34		11	16		21,4	8,0
cytoplasmic membrane	56	54	127		0,05	0,10	1	4	5	1,8	6,2	3,0
outer membrane	48	96	93	0,19	0,29	0,41	2	5	13	7,8	17,4	4,0
cytoplasmic		78	148	 	0,56	0,56		4	34		27,6	5,0
cytoplasmic		175	47	 	1,41	0,19		11	9		35,4	3,0
cytoplasmic	128		91	0,68	 	0,68	3		24	29,7		4,0
outer membrane	57	94	65	0,21	0,21	0,10	4	2	4	11,9	4,4	1,0
cytoplasmic		61	155	 	0,12	0,42		2	12		9,1	3,0
cytoplasmic membrane	65	79	66	0,10	0,21	0,21	2	7	10	3,6	9,2	7,0
periplasmic		80	127	 	0,20	0,36		5	13		10,5	7,0
cytoplasmic membrane		102	101	 	0,15	0,15		7	10		9,5	7,0
cytoplasmic		91	112	 	0,13	0,13		6	9		9,1	7,0
cytoplasmic	58	58	86	0,20	0,10	0,58	2	1	23	8,2	3,6	7,0
cytoplasmic	88		107	0,21	 	0,62	5		18	18,9		5,0
cytoplasmic membrane		144	51	 	0,45	0,13		5	7		11,0	3,0
cytoplasmic membrane		102	92	 	0,29	0,14		4	9		9,8	4,0
cytoplasmic	44	75	73	0,34	0,34	0,34	4	5	35	23,6	39,3	6,0
periplasmic		130	62	 	0,21	0,07		3	3		8,4	1,0
cytoplasmic membrane		95	97	 	0,15	0,19		9	12		10,7	11,0
cytoplasmic		105	83	 	0,53	0,53		4	18		23,7	3,0
cytoplasmic	55	69	63	0,13	0,13	0,20	2	4	12	4,2	9,3	6,0
unknown	74	48	64	0,18	0,09	0,28	2	1	11	5,8	3,3	4,0
cytoplasmic		184		 	0,57	 		3			56,4	
cytoplasmic	45	62	74	0,08	0,08	0,16	1	5	6	3,8	11,5	2,0
cytoplasmic	95		84	0,36	 	0,36	2		15	25,3		1,0
outer membrane	55	61	58	0,25	0,25	0,25	3	2	15	10,4	8,0	4,0
cytoplasmic		124	50	 	0,58	0,17		8	14		19,9	5,0
cytoplasmic		85	88	 	1,39	4,71		4	58		71,2	3,0
unknown		90	81	 	0,32	0,75		2	26		16,5	2,0
unknown		71	97	 	0,05	0,05		4	4		4,1	3,0
cytoplasmic membrane		82	85	 	0,08	0,08		2	5		5,0	2,0
unknown	70		93	0,26	 	0,26	1		11	10,6		1,0
cytoplasmic		86	76	 	0,12	0,19		7	13		13,5	6,0
cytoplasmic			162	 	 	0,38			15			11,0
periplasmic	53	46	62	0,10	0,10	0,10	4	3	9	15,8	11,9	2,0
cytoplasmic	70	89		0,70	0,70	 	2	4		20,2	39,4	
cytoplasmic	50		109	0,79	 	1,40	2		21	20,9		3,0
cytoplasmic		107	50	 	0,14	0,07		5	6		5,6	5,0
cytoplasmic		81	76	 	0,15	0,15		1	7		7,1	1,0
outer membrane			156	 	 	0,25			5			1,0
cytoplasmic		91	64	 	0,25	0,18		5	5		9,0	3,0
unknown		85	67	 	0,15	0,15		2	10		6,0	4,0
cytoplasmic		83	67	 	0,22	0,48		2	15		16,8	2,0
cytoplasmic		84	62	 	2,08	1,32		6	33		57,4	3,0
cytoplasmic		79	66	 	0,07	0,14		2	5		4,4	2,0
outer membrane		71	67	 	0,07	0,04		2	4		3,9	3,0
cytoplasmic		137		 	0,11	 		12			9,4	
unknown		91	46	 	0,32	0,15		2	17		11,0	3,0
cytoplasmic	64	68		0,12	0,25	 	1	2		4,9	8,7	
outer membrane	55	77		0,04	0,09	 	1	3		1,9	5,0	
cytoplasmic			127	 	 	0,39			13			6,0
cytoplasmic		45	81	 	0,07	0,07		2	4		2,4	4,0
cytoplasmic		125		 	0,29	 		4			13,0	
cytoplasmic		80	45	 	0,18	0,09		2	5		6,7	2,0
cytoplasmic membrane		49	74	 	0,20	0,45		1	14		7,5	2,0
cytoplasmic			123	 	 	0,25			15			10,0
cytoplasmic membrane		118		 	0,17	 		4			8,2	
cytoplasmic membrane		117		 	0,23	 		1			8,3	
unknown		64	53	 	0,08	0,08		3	3		7,7	1,0
cytoplasmic membrane		114		 	0,17	 		3			10,4	
cytoplasmic membrane		113		 	1,04	 		3			25,0	
cytoplasmic membrane		54	59	 	0,09	0,09		1	3		2,8	1,0
cytoplasmic		49	55	 	0,07	0,07		1	2		1,6	1,0
cytoplasmic membrane		47	57	 	0,03	0,07		2	2		1,5	2,0
cytoplasmic		102		 	0,14	 		2			6,1	
cytoplasmic membrane		53	49	 	0,08	0,08		4	7		9,2	3,0
cytoplasmic		44	58	 	0,11	0,11		1	5		4,5	1,0
cytoplasmic		46	54	 	0,56	1,42		2	18		33,3	1,0
cytoplasmic		98		 	0,10	 		4			5,5	
cytoplasmic		98		 	0,38	 		1			6,2	
cytoplasmic membrane			98	 	 	0,25			9			3,0
cytoplasmic		92		 	0,24	 		4			9,6	
cytoplasmic			92	 	 	0,84			49			5,0
unknown			90	 	 	0,29			14			6,0
cytoplasmic membrane		85		 	0,19	 		2			8,4	
cytoplasmic		83		 	0,18	 		3			11,3	
cytoplasmic			83	 	 	0,16			7			6,0
cytoplasmic	79			0,20	 	 	2			7,7		
cytoplasmic membrane		79		 	0,19	 		4			13,5	
cytoplasmic		76		 	0,16	 		2			9,3	
cytoplasmic membrane		76		 	0,14	 		3			7,5	
cytoplasmic		75		 	0,07	 		1			1,6	
cytoplasmic			72	 	 	0,10			5			1,0
cytoplasmic membrane		70		 	0,22	 		1			9,2	
cytoplasmic			68	 	 	0,07			7			6,0
cytoplasmic membrane			68	 	 	0,12			8			4,0
cytoplasmic membrane			68	 	 	0,17			10			2,0
unknown	67			0,10	 	 	1			3,9		
outer membrane		67		 	0,37	 		3			10,7	
outer membrane		67		 	0,07	 		1			2,4	
cytoplasmic		66		 	0,06	 		1			2,3	
cytoplasmic		65		 	0,13	 		1			6,5	
cytoplasmic membrane			65	 	 	0,12			4			1,0
cytoplasmic membrane		64		 	0,04	 		1			1,6	
cytoplasmic		62		 	0,30	 		7			14,8	
unknown		61		 	0,15	 		3			7,7	
cytoplasmic		60		 	0,31	 		3			19,1	
unknown		60		 	0,07	 		2			4,9	
cytoplasmic membrane			60	 	 	0,05			2			1,0
unknown			59	 	 	0,25			4			1,0
cytoplasmic membrane		56		 	0,05	 		1			2,0	
cytoplasmic membrane		56		 	0,09	 		2			5,3	
cytoplasmic			56	 	 	0,11			6			1,0
cytoplasmic membrane			56	 	 	0,04			3			2,0
cytoplasmic		55		 	0,09	 		1			3,4	
cytoplasmic			55	 	 	0,09			4			3,0
cytoplasmic			54	 	 	0,08			3			1,0
extracellular			53	 	 	0,04			5			3,0
outer membrane			53	 	 	0,28			18			1,0
unknown			53	 	 	0,15			7			3,0
cytoplasmic		52		 	0,08	 		1			2,8	
cytoplasmic		52		 	0,05	 		2			3,3	
cytoplasmic			52	 	 	0,06			5			3,0
cytoplasmic	51			0,06	 	 	1			2,2		
cytoplasmic		51		 	0,03	 		1			1,2	
cytoplasmic membrane		51		 	0,06	 		2			2,3	
cytoplasmic	50			0,03	 	 	1			1,2		
cytoplasmic		50		 	0,13	 		1			3,7	
cytoplasmic membrane			50	 	 	0,08			3			1,0
cytoplasmic			49	 	 	0,20			11			2,0
cytoplasmic			48	 	 	0,06			2			1,0
unknown			48	 	 	0,12			3			1,0
unknown			48	 	 	0,07			2			1,0
cytoplasmic	47			0,26	 	 	1			14,4		
cytoplasmic		47		 	0,31	 		4			35,0	
cytoplasmic		47		 		 		1			6,3	
outer membrane		47		 	0,07	 		1			2,4	
cytoplasmic		46		 	0,09	 		2			5,3	
cytoplasmic		46		 	0,05	 		2			3,8	
cytoplasmic		46		 	0,09	 		2			3,9	
cytoplasmic			46	 	 	0,06			4			2,0
cytoplasmic			46	 	 	0,22			13			2,0
cytoplasmic	45			0,03	 	 	1			1,4		
unknown		45		 	0,16	 		1			6,6	
cytoplasmic			45	 	 	0,08			3			1,0
cytoplasmic	44			0,09	 	 	1			3,0		
cytoplasmic		44		 	0,05	 		2			2,8	
cytoplasmic		44		 	0,01	 		1			0,2	
cytoplasmic			44	 	 	0,09			4			1,0
cytoplasmic		43		 	0,03	 		3			2,8	
253773221	LPP repeat-containing protein 	outer membrane	14304	3887	2770	7,26	67,19	10,74	4	8	6	48,7	65,4	62,8
253773594	porin Gram-negative type 	outer membrane	8503	2115	4205	2,36	2,1	1,86	14	12	17	33,1	28,2	33,4
253774378	OmpA domain protein transmembrane region-containing protein 	outer membrane	9615	1667	3359	4,48	2,29	4,97	17	16	21	47,4	43,6	59,8
253773211	porin LamB type 	outer membrane	2735	2693	2209	1,78	2,16	3,35	13	14	17	33,4	32,5	43
253773004	type I secretion outer membrane protein, TolC family 	outer membrane	959	1121	1507	1,17	1,04	1,75	13	15	21	28,4	27,2	46
253773461	Organic solvent tolerance protein 	outer membrane	823	1056	1497	0,65	0,98	1,36	16	21	28	20,8	27,2	33,8
253772109	outer membrane protein assembly complex, YaeT protein 	outer membrane	586	999	1343	0,64	1,19	1,7	16	26	31	19,8	29,1	41,2
253774934	peptidoglycan-associated lipoprotein 	outer membrane	1364	804	565	2,16	3,39	1,68	6	10	6	32,9	49,1	32,9
253775228	cytochrome bd ubiquinol oxidase subunit I 	cytoplasmic membrane	107	1033	1327	0,25	0,64	0,83	6	12	13	11,3	16,7	19,5
253771639	virulence-related outer membrane protein 	outer membrane	1595	435	288	0,65	0,94	1,3	5	7	4	31	31,6	22,8
253774455	TonB-dependent siderophore receptor 	outer membrane	415	576	873	0,48	0,73	1,45	12	16	22	17,1	19,9	33,3
253771546	protein-export membrane protein SecD 	cytoplasmic membrane	404	527	747	0,4	0,96	1,5	10	19	23	18	28,6	34
253771502	ATP synthase F0, B subunit 	cytoplasmic membrane	245	1034	247	1,04	11,14	2,48	6	12	5	33,3	55,8	34
253774640	ribosomal protein S3 	cytoplasmic		677	672		1,97	1,07		14	9		61,8	45,1
253773241	TonB-dependent siderophore receptor 	outer membrane	335	349	557	0,12	0,54	0,66	4	11	18	6	17,3	24,3
253773307	17 kDa surface antigen 	outer membrane	187	556	423	1,67	4,85	4,85	4	7	6	38,7	42,6	38,7
253774289	ATP-dependent metalloprotease FtsH 	cytoplasmic membrane	121	359	671	0,2	0,65	0,8	7	13	14	9,9	20,5	23,9
253771921	PTS system, trehalose-specific IIBC subunit 	cytoplasmic membrane	161	643	296	0,2	0,55	0,64	5	5	6	10,1	11	12,7
253772669	OmpA/MotB domain protein 	outer membrane	123	631	302	0,15	3,08	0,76	2	6	3	17,8	34,2	25,6
253774915	HflK protein 	unknown	235	395	363	0,52	0,75	0,75	7	9	11	15,5	22	29,4
253775385	ribosomal protein L16 	cytoplasmic	114	462	404	0,49	0,82	0,82	2	6	3	22,1	41,2	33,1
253774020	ribosomal protein S20 	cytoplasmic	99	638	236	1,52	7,61	2,42	3	6	3	29,9	43,7	29,9
253771699	ribosomal protein L15 	cytoplasmic	201	371	341	1,78	3,18	1,78	7	11	6	51,4	59,7	38,9
253774280	membrane protein involved in aromatic hydrocarbon degradation 	outer membrane	270	317	310	0,39	0,48	0,48	7	8	8	18,2	17,9	20,2
253774780	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase 	cytoplasmic	167	319	378	0,21	0,4	0,47	4	8	8	8,3	13	14,4
253773897	outer membrane assembly lipoprotein YfgL 	outer membrane	112	297	408	0,08	0,35	0,58	3	6	7	7,7	17,1	21,7
253774795	Uncharacterized lipoprotein 	unknown	183	384	222	0,16	0,56	0,35	1	5	2	5,7	21,4	13
253771785	ribosomal protein L22 	cytoplasmic	153	440	174	1,69	6,25	2,45	6	7	6	39,1	60,9	39,1
253772294	transport-associated 	periplasmic	167	351	246	0,86	1,53	0,86	5	6	5	29,8	34	30,4
253772919	efflux transporter, RND family, MFP subunit 	cytoplasmic membrane	96	358	295	0,16	0,83	0,7	6	11	7	14,9	31	19,9
253774450	ribosomal protein S11 	cytoplasmic	126	324	290	0,55	1,98	1,39	4	6	5	33,3	42,6	34,1
253775553	translation elongation factor Tu 	cytoplasmic	186	292	254	0,34	1,08	0,93	5	13	10	13,2	32,5	23,6
253772907	60 kDa inner membrane insertion protein 	cytoplasmic membrane	142	201	389	0,23	0,37	0,52	5	6	6	10,2	11,5	12
253773872	lipoprotein, YaeC family 	cytoplasmic membrane		407	262		0,53	0,38		5	3		25,1	16,6
253774307	PpiC-type peptidyl-prolyl cis-trans isomerase 	cytoplasmic membrane	101	244	314	0,21	0,53	0,84	6	14	19	9,3	19,9	26,8
253772730	LppC family lipoprotein 	cytoplasmic membrane	94	294	254	0,14	0,36	0,42	6	13	11	9,1	18,1	17,1
253772126	outer membrane assembly lipoprotein YfiO 	outer membrane	58	386	167	0,25	1,21	0,4	3	10	6	10,6	39,2	21,2
253774305	outer membrane lipoprotein 	outer membrane	235	233	137	0,23	0,88	0,52	1	5	2	10,4	41,8	20,9
253773136	sulfatase 	cytoplasmic membrane	66	191	318	0,1	0,47	0,87	4	11	14	6,2	14,9	23,6
253774105	ribosomal protein S10 	cytoplasmic		481	92		3,66	0,67		10	2		61,2	23,3
253772532	glycosyl transferase family 2 	cytoplasmic membrane	138	168	254	0,09	0,09	0,3	1	3	4	3,7	10,9	12,4
253774913	Uroporphyrinogen-III C-methyltransferase 	cytoplasmic membrane	72	242	234	0,08	0,68	0,35	2	7	4	6,1	17,3	12
253773413	protein of unknown function DUF1043 	cytoplasmic membrane		267	280		1,78	1,78		4	4		39,4	39,4
253772330	Rare lipoprotein B 	outer membrane	70	319	143	0,55	1,39	0,79	6	6	4	34,2	39,9	22,8
253774359	ribosomal protein S13 	cytoplasmic	89	235	202	0,59	7,07	2,19	2	10	8	18,6	69,5	66,9
253774379	Peptidase M23 	outer membrane	181	129	196	0,37	0,27	0,37	5	6	6	15	15,6	17,4
253774875	ribosomal protein S7 	cytoplasmic	124	201	165	0,42	1,41	1,88	3	7	6	16,7	39,1	27,6
253774188	outer membrane lipoprotein LolB 	periplasmic	165	181	135	1,21	0,94	0,7	7	8	5	33,8	35,3	25,1
253772819	FAD-dependent pyridine nucleotide-disulphide oxidoreductase 	cytoplasmic membrane	67	242	172	0,07	0,22	0,5	1	7	11	2,5	14,5	24,4
253772145	preprotein translocase, YajC subunit 	cytoplasmic membrane	184	190	88	0,29	0,66	0,66	1	2	2	8,2	20	20
253775428	TonB-dependent receptor plug 	outer membrane	65	132	253	0,04	0,2	0,33	2	5	12	2,8	8,4	19
253775449	MltA-interacting MipA family protein 	outer membrane	218	135	91	0,25	0,25	0,12	1	1	1	5,2	5,2	5,2
253774382	signal peptide peptidase SppA, 67K type 	cytoplasmic membrane	59	154	231	0,05	0,21	0,27	2	3	5	4	6	9,7
253772899	NADH-ubiquinone/plastoquinone oxidoreductase chain 3 	cytoplasmic membrane	96	167	172	0,45	1,11	0,45	1	4	3	7,5	25,9	24,5
253772979	TonB-dependent receptor 	outer membrane	121	102	211	0,09	0,23	0,23	4	7	10	6,1	8,6	13,6
253775091	ribosomal protein L5 	cytoplasmic		270	164		2,97	1,15		9	7		56,4	50,3
253774545	ribosomal protein S5 	cytoplasmic		152	265		1,02	1,02		6	4		30,5	24,6
253773442	ribosomal protein L28 	cytoplasmic		107	308		0,91	0,91		4	2		41	23,1
253775259	ribosomal protein L2 	cytoplasmic	88	160	163	0,69	0,52	1,58	11	10	11	38,5	34,8	45,4
253774381	membrane lipoprotein lipid attachment site 	unknown		246	141		0,74	0,32		4	2		29,6	13,6
253771956	cellulose synthase operon C domain protein 	unknown		177	210		0,26	0,19		13	11		10,5	12
253771756	sulfatase 	cytoplasmic membrane		146	236		0,29	0,43		7	9		10,4	13,7
253775132	NAD(P) transhydrogenase, alpha subunit 	cytoplasmic membrane		195	176		0,26	0,34		5	6		9,6	11,8
253774604	ribosomal protein L10 	cytoplasmic	78	285		0,42	1,39		2	6		14,5	40,6	
253771881	TonB-dependent siderophore receptor 	outer membrane		79	276		0,3	0,57		13	17		12,7	20,4
253772599	transcriptional regulator, XRE family 	unknown	71	74	191	0,09	0,55	0,84	2	5	8	7,1	16	24
253771774	ribosomal protein S9 	cytoplasmic	89	105	127	1,28	1,28	1,28	3	7	4	21,5	50,8	31,5
253775370	NlpBDapX family lipoprotein 	outer membrane	114	67	136	0,29	0,29	0,54	6	6	5	12,2	20,3	18,6
253774026	peptidase M48 Ste24p 	unknown	49	184	79	0,12	0,59	0,12	2	6	1	8,3	28,2	5,2
253774355	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family 	cytoplasmic membrane	91	77	142	0,03	0,09	0,25	2	8	10	2,8	7,4	9,2
253772699	Sporulation domain protein 	unknown		143	161		0,41	0,41		7	7		18,2	19,9
253774880	ribosomal protein S18 	cytoplasmic	80	142	81	0,39	1,68	0,93	2	3	3	29,3	32	32
253774084	protein-export membrane protein SecF 	cytoplasmic membrane	106	99	94	0,2	0,09	0,09	2	1	1	4,3	4	4
253773876	carbon starvation protein CstA 	cytoplasmic membrane	66	118	115	0,04	0,13	0,13	2	4	5	2,7	4,9	5,7
253773216	PTS system, mannitol-specific IIC subunit 	cytoplasmic membrane		155	141		0,15	0,27		5	6		7,5	12,1
253772099	ribosomal protein L20 	cytoplasmic	77	66	136	0,57	0,25	0,57	3	6	3	21,2	33,9	20,3
253771865	succinate dehydrogenase or fumarate reductase, flavoprotein subunit 	cytoplasmic membrane		76	201		0,1	0,28		3	7		5,3	12,9
253774159	protein of unknown function DUF21 	cytoplasmic membrane	73	113	90	0,07	0,21	0,14	1	4	3	2,7	9,2	6,7
253771641	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family 	cytoplasmic membrane		92	177		0,2	0,25		6	10		7,2	13,6
253774775	transcription termination factor Rho 	cytoplasmic	49	85	134	0,15	0,23	0,4	3	9	7	7,4	16,9	18,1
253773763	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit 	cytoplasmic	48	50	169	0,07	0,14	0,5	1	5	6	2,6	10,5	12,9
