EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10013	yebA	ECK1857	P0AFS9	b1856	Null	g87081989	JW5304	6189	EB0013	aa	ALT_INIT[+21]	440	Counterclockwise	1938337	1939659	41.78	Null	Systematic nomenclature	Predicted metalloprotease, function unknown; M37 family	NlpD, YgeR, YebA and EnvC have C-terminal LytM domains; mutating all four LytM domain genes produces a strain with a severe filamentous phenotype, similar to an amiABC triple mutant, of over 20 times the normal cell length and more than 70 times the normal amount of septa/cell, from 0.5 to 36 septa/cell; also similar to the amiABC mutant, the nlpD-envC-yebA-ygeR mutant has altered morphology and delayed onset of lysis after beta-lactam antipbiotic treatment (Uehara, 2009). UniProtKB prediction of 26 aa signal peptide is a probable false positive. There may be a 34 aa type I signal peptide that cannot be confirmed using SignalP.	49057.75
EG10014	acrD	ECK2465	P24177	b2470	CG35697	g1788814	JW2454	8136	EB0014	aa	OK	1037	Clockwise	2585617	2588730	55.73	yffA	Acridine	Aminoglycoside efflux pump; RND-type transporter	acrD mutation confers increased sensitivity to aminoglycosides.  acrD is paralogous to acrB. EvgAS regulon.	113047.34
EG10015	rodZ	ECK2512	P27434	b2516	Null	g1788864	JW2500	8283	EB0015	aa	OK	337	Counterclockwise	2639853	2640866	56.90	yfgA	Rod-shaped	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein	Null	36191.67
EG10016	garL	ECK3114	P23522	b3126	Null	g1789514	JW3095	10276	EB0016	aa	OK; Verified[0]	256	Counterclockwise	3270809	3271579	70.50	yhaF	Galactarate	2-dehydro-3-deoxygalactarate aldolase; homohexameric	Null	27384.16
EG10017	ispB	ECK3176	P0AD57	b3187	CG35712	g1789578	JW3154	10474	EB0017	aa	OK	323	Clockwise	3331732	3332703	71.81	cel;yhbD	Isoprenoid	Octaprenyl diphosphate synthase, isoprenoid biosynthesis	Null	35216.97
EG10018	csrD	ECK3240	P13518	b3252	Null	g1789650	JW3221	10663	EB0018	aa	OK	646	Counterclockwise	3399414	3401354	73.27	yhdA	Carbon storage regulator 	Targets csrBC sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function	In its c-di-GMP domains CsrD has HRSDF instead of GGDEF and ELM instead of EAL and does not appear to have either diguanylate cyclase or cyclic-di-GMP phosphodiesterase activities and the role of CsrD in csrB/C destabilization does not involve cyclic-di-GMP metabolism (Suzuki, 2006). There is a very low level of CsrD expression and CsrD may work at substoichiometric concentrations (Suzuki, 2006). False positive lipoprotein prediction, Cys not conserved.	73339.24
EG10020	cpxR	ECK3905	P0AE88	b3912	CG34166	g2367329	JW3883	12774	EB0019	aa	OK	232	Counterclockwise	4102995	4103693	88.43	yiiA	Conjugative plasmid expression	Response regulator, periplasmic stress response; CpxA is cognate sensor protein	Null	26312.11
EG10021	yjiA	ECK4342	P24203	b4352	Null	g87082430	JW5790	14273	EB0020	aa	ALT_INIT[+34]	318	Counterclockwise	4585932	4586888	98.84	Null	Systematic nomenclature	Predicted GTPase, binds GTP, function unknown	Binds TrxA (Kumar, 2004).	35659.69
EG10022	aceA	ECK4007	P0A9G6	b4015	CG1052	g1790445	JW3975	13128	EB0021	aa	OK; Verified[0]	434	Clockwise	4215132	4216436	90.85	icl	Acetate	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric	Null	47521.57
EG10023	aceB	ECK4006	P08997	b4014	CG1051	g1790444	JW3974	13125	EB0022	aa	OK	533	Clockwise	4213501	4215102	90.81	mas	Acetate	Malate synthase A; glyoxylate shunt enzyme	Null	60273.57
EG10024	aceE	ECK0113	P0AFG8	b0114	CG1050	g1786304	JW0110	397	EB0023	aa	OK; Verified[1]	887	Clockwise	123017	125680	2.65	Null	Acetate	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement	Holoenzyme is AceE(24)+AceF(24)+Lpd(12).	99668.49
EG10025	aceF	ECK0114	P06959	b0115	CG26530	g1786305	JW0111	400	EB0024	aa	OK; Verified[1]	630	Clockwise	125695	127587	2.71	Null	Acetate	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement	Holoenzyme is AceE(24)+AceF(24)+Lpd(12). HT_Cmplx3_Cyt: AceF+Lpd.	66096.07
EG10026	aceK	ECK4008	P11071	b4016	CG17770	g1790446	JW3976	13131	EB0025	aa	OK; Verified[1]	578	Clockwise	4216619	4218355	90.88	Null	Acetate	Isocitrate dehydrogenase kinase/phosphatase	Null	67698.58
EG10027	ackA	ECK2290	P0A6A3	b2296	CG1048	g1788633	JW2293	7579	EB0026	aa	OK	400	Clockwise	2411492	2412694	51.98	Null	Acetate kinase	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)	N-terminus is blocked (Fox, 86).	43290.45
EG10028	pflA	ECK0893	P0A9N4	b0902	CG35839	g1787130	JW0885	3068	EB0027	aa	OK; Verified[1]	246	Counterclockwise	949563	950303	20.47	act	Pyruvate formate lyase	Pyruvate formate lyase I activase	Radical SAM superfamily.	28204.29
EG10029	ada	ECK2205	P06134	b2213	CG1043	g1788542	JW2201	7311	EB0028	aa	OK; Verified[0]	354	Counterclockwise	2307363	2308427	49.73	Null	Adaptive (response)	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)	The Ada N-terminal domain acts as a transcriptional activator of ada, alkA, alkB and aidB. Ogt, Ada-C and YbaZ are homologous.	39323.87
EG10030	add	ECK1618	P22333	b1623	CG1042	g1787910	JW1615	5435	EB0029	aa	OK	333	Clockwise	1700257	1701258	36.65	Null	Adenosine deaminase	Adenosine deaminase	Binds TrxA (Kumar, 2004). An add mutation affects growth on deoxyadenosine as carbon source in purA purB mutant background. 17/286 Add peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	36397.46
EG10031	adhE	ECK1235	P0A9Q7	b1241	CG1041	g1787493	JW1228	4164	EB0030	aa	OK; Verified[1]	891	Counterclockwise	1294669	1297344	27.90	adhC;ana	Alcohol/acetaldehyde dehydrogenase	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance	The reported PFL deactivase activity of AdhE (Kessler, 1991, 1992) could not be reproduced (Nnyepi, 2007).	96127.24
EG10032	adk	ECK0468	P69441	b0474	CG1040	g1786680	JW0463	1645	EB0031	aa	OK; Verified[0]	214	Clockwise	496399	497043	10.70	dnaW;plsA	Adenylate kinase	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric	Null	23586.02
EG10033	agp	ECK0993	P19926	b1002	CG31830	g1787237	JW0987	3388	EB0032	aa	OK; Verified[22]	413	Clockwise	1064808	1066049	22.95	Null	Acid glucose-1-phosphatase	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity	Requires DsbA for activity.	45682.91
EG10034	alaS	ECK2692	P00957	b2697	CG1039	g1789048	JW2667	8869	EB0033	aa	OK; Verified[1]	876	Counterclockwise	2817403	2820033	60.72	act;ala-act;lovB	Alanine	Alanine--tRNA ligase	Null	96032.40
EG10035	aldA	ECK1408	P25553	b1415	CG17767	g1787684	JW1412	4725	EB0034	aa	OK; Verified[1]	479	Clockwise	1486256	1487695	32.03	ald	Aldehyde dehydrogenase	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes	Null	52272.79
EG10036	puuC	ECK1295	P23883	b1300	CG35320	g1787558	JW1293	4376	EB0035	aa	OK	495	Clockwise	1360767	1362254	29.33	aldH	PUtrescine Utilization	gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway	Null	53418.63
EG10037	alkB	ECK2204	P05050	b2212	CG18544	g1788541	JW2200	7308	EB0036	aa	OK; Verified[0]	216	Counterclockwise	2306713	2307363	49.72	aidD	Alkylation	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA	AlkB mutants are extremely sensitive to MMS. Also repairs alkylated mRNA and tRNA in vivo and in vitro, the first example of direct RNA repair. Repairs epsilonA and epsilonC. Ada regulon.	24075.53
EG10039	amn	ECK1977	P0AE12	b1982	CG17764	g1788293	JW1963	6579	EB0037	aa	OK; Verified[0]	484	Clockwise	2053085	2054539	44.25	Null	AMP nucleosidase	AMP nucleosidase	PhoB regulon (Baek, 2006).	53994.91
EG10040	ampC	ECK4146	P00811	b4150	CG1033	g1790593	JW4111	13592	EB0038	aa	OK; Verified[19]	377	Counterclockwise	4375834	4376967	94.31	ampA	Ampicillin	Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein	False positive lipoprotein prediction.  Verified SPI substrate.	41555.59
EG10041	ampD	ECK0109	P13016	b0110	CG30478	g1786300	JW0106	380	EB0039	aa	OK	183	Clockwise	118733	119284	2.56	Null	Ampicillin	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	2/87 AmpD peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	20536.17
EG10042	ampE	ECK0110	P0AE14	b0111	CG30481	g1786301	JW0107	382	EB0040	aa	OK	284	Clockwise	119281	120135	2.57	Null	Ampicillin	Ampicillin resistance; membrane protein	Null	32121.99
EG10043	cysQ	ECK4210	P22255	b4214	CG34409	g1790659	JW4172	13786	EB0041	aa	OK	246	Clockwise	4434778	4435518	95.58	amt;amtA	Cysteine	3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to	CysQ is a main target of lithium toxicity in vivo. CysQ (AmtA) was originally thought to be involved in ammonium transport. CysQ may be part of a futile sulfur cycle with APS kinase CysC. 6/78 CysQ peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	27175.86
EG10044	osmE	ECK1737	P0ADB1	b1739	CG36628	g1788035	JW1728	5799	EB0042	aa	OK	112	Counterclockwise	1819942	1820280	39.23	anr	Osmotically inducible	Osmotically inducible lipoprotein, function unknown	osmE is also regulated by growth phase. Promoter overlaps divergent nadE promoter. First 20 aa are a type II signal peptide. HT_Cmplx43_Mem: DcrB+MoaB+OsmE+Slp+YajG+YraP.	12020.67
EG10045	ansA	ECK1765	P0A962	b1767	CG1030	g1788065	JW1756	5886	EB0043	aa	OK	338	Clockwise	1848884	1849900	39.85	Null	Asparaginase	L-Asparaginase I	Null	37127.24
EG10046	ansB	ECK2952	P00805	b2957	CG30045	g1789327	JW2924	9700	EB0044	aa	OK; Verified[22]	348	Counterclockwise	3097704	3098750	66.77	Null	Asparaginase	L-Asparaginase II	Null	36850.69
EG10047	apaG	ECK0051	P62672	b0050	CG30310	g1786235	JW0049	169	EB0045	aa	OK	125	Counterclockwise	51229	51606	1.10	corD(S.t.);temP	Adenine-tetraPhosphate-adenine	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH	Null	13866.76
EG10048	apaH	ECK0050	P05637	b0049	CG17761	g1786234	JW0048	167	EB0046	aa	OK; Verified[1]	280	Counterclockwise	50380	51222	1.09	cfcB	Adenine-tetraPhosphate-adenine	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical	Required for invasion of cultured mammalian cells by S. typhimurium. Stress response. Complex operon.	31296.72
EG10049	appA	ECK0971	P07102	b0980	CG17758	g1787215	JW0963	3305	EB0047	aa	OK; Verified[22]	432	Clockwise	1039840	1041138	22.41	Null	Acid (poly)phosphatase	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase	EvgAS regulon.  AppA requires DsbA for activity.	47056.83
EG10050	appY	ECK0556	P05052	b0564	CG31146	g1786776	JW0553	1929	EB0048	aa	OK	249	Clockwise	582904	583653	12.56	Null	Acid (poly)phosphatase	Global transcription regulator, AraC family, DLP12 prophage	appY expression is induced by PO4 starvation and stationary phase. AppY activates appABC as growth slows and either activates or repressses other genes during exponential or stationary phase.	28763.50
EG10051	apt	ECK0463	P69503	b0469	CG1029	g1786675	JW0458	1628	EB0049	aa	OK; Verified[0]	183	Clockwise	490636	491187	10.57	Null	Adenosine phosphoribosyl transferase	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade	Null	19858.88
EG10052	araA	ECK0063	P08202	b0062	CG1028	g1786248	JW0061	221	EB0050	aa	OK	500	Counterclockwise	66835	68337	1.44	Null	Arabinose	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	Null	56073.99
EG10053	araB	ECK0064	P08204	b0063	CG1027	g1786249	JW0062	223	EB0051	aa	OK; Verified[1]	566	Counterclockwise	68348	70048	1.47	Null	Arabinose	Ribulokinase	Null	61089.42
EG10054	araC	ECK0065	P0A9E0	b0064	CG1026	g1786251	JW0063	236	EB0052	aa	OK; Verified[1]	292	Clockwise	70387	71265	1.52	Null	Arabinose	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator	AraC activates transcrption for araE and the araBAD and araFGH operons; AraC transcriptional activator family prototype.	33383.91
EG10055	araD	ECK0062	P08203	b0061	CG1025	g1786247	JW0060	209	EB0053	aa	OK	231	Counterclockwise	65855	66550	1.42	Null	Arabinose	L-ribulose-5-phosphate 4-epimerase	AraD is a masked class II aldolase.	25518.91
EG10056	araE	ECK2839	P0AE24	b2841	CG1024	g1789207	JW2809	9319	EB0054	aa	OK	472	Counterclockwise	2978786	2980204	64.20	Null	Arabinose	Low-affinity L-arabinose transport; L-arabinose proton symport	Major Facilitator Superfamily (MFS).	51684.43
EG10057	araF	ECK1899	P02924	b1901	CG1023	g1788211	JW1889	6330	EB0055	aa	OK; Verified[23]	329	Counterclockwise	1983163	1984152	42.74	Null	Arabinose	L-Arabinose-binding protein, periplasmic	Null	35540.90
EG10058	araG	ECK1898	P0AAF3	b1900	CG1022	g1788210	JW1888	6328	EB0056	aa	OK	504	Counterclockwise	1981579	1983093	42.71	Null	Arabinose	Arabinose ABC transporter ATP-binding protein	Null	55018.23
EG10059	araH	ECK1897	P0AE26	b4460	CG18535	g48994893	JW1887	174093	EB0057	aa	ALT_INIT[-1]	328	Counterclockwise	1980578	1981564	42.69	Null	Arabinose	High-affinity L-arabinose transport, membrane protein	Null	34210.92
EG10060	araJ	ECK0390	P23910	b0396	CG29861	g1786595	JW0386	1378	EB0058	aa	OK	394	Counterclockwise	410521	411705	8.85	Null	Arabinose	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter	Major Facilitator Superfamily (MFS). Ara regulon.	41926.34
EG10061	arcA	ECK4393	P0A9Q1	b4401	CG831	g1790863	JW4364	14434	EB0059	aa	OK; Verified[0]	238	Counterclockwise	4637613	4638329	99.96	cpxC;dye;fexA;msp;seg;sfrA	Aerobic respiration control	Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor	The phosphorylated aerobic respiration control response regulator ArcA is also a direct repressor of rpoS transcription, binding at the promoter region (Mika, 2005).	27292.02
EG10062	arcB	ECK3200	P0AEC3	b3210	CG29063	g48994928	JW5536	10537	EB0060	aa	OK	778	Counterclockwise	3348711	3351047	72.18	Null	Aerobic respiration control	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB	The ArcAB two-component regulatory system represses aerobic genes and activates some anerobic genes under anaerobic growth conditions. ArcB has has one receiver domain and two transmitter domains facilitating a four-step phosphorelay to ArcA and RssB.	87982.91
EG10063	argA	ECK2814	P0A6C5	b2818	CG1021	g1789181	JW2786	9245	EB0061	aa	OK; Verified[1]	443	Clockwise	2947264	2948595	63.52	Arg1;Arg2;argB	Arginine	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine	Null	49195.19
EG10064	argB	ECK3950	P0A6C8	b3959	CG1020	g87082353	JW5553	12967	EB0062	aa	OK	258	Clockwise	4154036	4154812	89.53	Null	Arginine	N-acetylglutamate kinase	Null	27159.54
EG10065	argC	ECK3949	P11446	b3958	CG1019	g1790396	JW3930	12964	EB0063	aa	OK	334	Clockwise	4153024	4154028	89.51	Arg2;argH	Arginine	N-acetyl-gamma-glutamyl-phosphate reductase	4/125 ArgC peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	35952.13
EG10066	argD	ECK3347	P18335	b3359	CG1018	g1789759	JW3322	10976	EB0064	aa	OK; Verified[1]	406	Counterclockwise	3486982	3488202	75.16	alaB;Arg1;argG;dapC;dtu	Arginine	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent	HT_Cmplx34_Cyt: ArgD+CbpA+PepT.	43766.97
EG10067	argF	ECK0274	P06960	b0273	CG1016	g1786469	JW0266	939	EB0065	aa	OK; Verified[1]	334	Counterclockwise	288525	289529	6.22	Arg5;argD	Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	36827.14
EG10068	argG	ECK3161	P0A6E4	b3172	CG1015	g1789563	JW3140	10428	EB0066	aa	OK; Verified[1]	447	Clockwise	3316659	3318002	71.48	Arg6;argE	Arginine	Argininosuccinate synthase	Null	49898.40
EG10069	argI	ECK4247	P04391	b4254	CG1013	g1790703	JW4211	13927	EB0067	aa	OK; Verified[1]	334	Counterclockwise	4475330	4476334	96.46	Null	Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	36907.11
EG10070	argR	ECK3226	P0A6D0	b3237	CG1011	g1789633	JW3206	10620	EB0068	aa	OK; Verified[0]	156	Clockwise	3382725	3383195	72.91	Rarg;xerA	Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	Null	16994.52
EG10071	argS	ECK1877	P11875	b1876	CG1010	g1788184	JW1865	6264	EB0069	aa	OK; Verified[0]	577	Clockwise	1958086	1959819	42.20	lov	Arginine	Arginine--tRNA ligase	Null	64682.96
EG10072	argT	ECK2304	P09551	b2310	CG18529	g1788649	JW2307	7621	EB0070	aa	OK; Verified[22]	260	Counterclockwise	2425031	2425813	52.27	Null	Arginine	Lys-, Arg-, and Orn-binding protein, periplasmic	After four hours of Zn(II) stress, ArgT protein levels decreased (Easton, 2006).	27991.66
EG10073	aroA	ECK0899	P0A6D3	b0908	CG1008	g1787137	JW0891	3095	EB0071	aa	OK; Verified[0]	427	Clockwise	958035	959318	20.65	Null	Aromatic	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase	The N-terminus of AroA was sequenced in Duncan et al., FEBS Lett. 170:59-63 (1984) but this citation is not in Medline; the sequencing result is noted in pmid 3518706, which is cited in the Verified Set.	46095.78
EG10074	aroB	ECK3376	P07639	b3389	CG1007	g1789791	JW3352	11067	EB0072	aa	OK	362	Counterclockwise	3515420	3516508	75.77	Null	Aromatic	3-Dehydroquinate synthase	aroB is a multi-copy suppressor of a pdxB deletion (Kim, 2010).	38880.99
EG10075	aroC	ECK2323	P12008	b2329	CG1006	g1788669	JW2326	7693	EB0073	aa	OK; Verified[1]	361	Counterclockwise	2444410	2445495	52.68	Null	Aromatic	Chorismate synthase	Null	39137.45
EG10076	aroD	ECK1691	P05194	b1693	CG1005	g1787984	JW1683	5653	EB0074	aa	OK; Verified[0]	252	Clockwise	1772710	1773468	38.21	Null	Aromatic	3-Dehydroquinate dehydratase	Null	27466.65
EG10077	aroE	ECK3268	P15770	b3281	CG1004	g1789675	JW3242	10763	EB0075	aa	OK; Verified[0]	272	Counterclockwise	3428042	3428860	73.89	Null	Aromatic	Shikimate 5-dehydrogenase	Also called dehydroshikimate reductase.  AroE is paralogous to YdiB. 	29413.64
EG10078	aroF	ECK2598	P00888	b2601	CG1003	g1788953	JW2582	8549	EB0076	aa	OK; Verified[0]	356	Counterclockwise	2738102	2739172	59.01	Null	Aromatic	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon	The 40 N-terminal amino acids of AroF were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38803.96
EG10079	aroG	ECK0743	P0AB91	b0754	CG1002	g1786969	JW0737	2560	EB0077	aa	OK; Verified[0]	350	Clockwise	784856	785908	16.92	Null	Aromatic	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon	The 40 N-terminal amino acids of AroG were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38009.52
EG10080	aroH	ECK1702	P00887	b1704	CG1001	g1787996	JW1694	5686	EB0078	aa	OK; Verified[0]	348	Clockwise	1786459	1787505	38.50	Null	Aromatic	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible	The 40 N-terminal amino acids of AroH were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38735.06
EG10081	aroK	ECK3377	P0A6D7	b3390	CG30224	g87082255	JW5947	11069	EB0079	aa	ALT_INIT[-67]; Verified[1]	173	Counterclockwise	3516565	3517086	75.79	Null	Aromatic	Shikimate kinase I; alkali-inducible	Null	19538.05
EG10082	aroL	ECK0383	P0A6E1	b0388	CG999	g1786587	JW0379	1353	EB0080	aa	OK; Verified[1]	174	Clockwise	405629	406153	8.74	Null	Aromatic	Shikimate kinase II	Null	19150.83
EG10083	aroM	ECK0385	P0AE28	b0390	CG18523	g1786589	JW0381	1357	EB0081	aa	OK	225	Clockwise	406652	407329	8.76	Null	Aromatic	Regulated by aroR, function unknown	Null	24916.91
EG10084	aroP	ECK0111	P15993	b0112	CG998	g1786302	JW0108	384	EB0082	aa	OK	457	Counterclockwise	120178	121551	2.59	Null	Aromatic	General aromatic amino acid transport	Tyr regulon.	49690.13
EG10085	ascB	ECK2711	P24240	b2716	CG33236	g1789070	JW2686	8928	EB0083	aa	OK	474	Clockwise	2839012	2840436	61.19	sac	Arbutin, salicin, cellobiose	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated	bglA, bglB and ascB are paralogs.	53934.93
EG10086	ascF	ECK2710	P24241	b2715	CG33233	g48994906	JW5435	8926	EB0084	aa	OK	485	Clockwise	2837546	2839003	61.16	sac	Arbutin, salicin, cellobiose	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	Null	51025.96
EG10087	ascG	ECK2709	P24242	b2714	CG33230	g1789068	JW5434	8922	EB0085	aa	OK	337	Counterclockwise	2836276	2837289	61.13	sac	Arbutin, salicin, cellobiose	Repressor of cryptic asc operon	Null	36944.39
EG10088	asd	ECK3419	P0A9Q9	b3433	CG996	g1789841	JW3396	11211	EB0086	aa	OK; Verified[0]	367	Counterclockwise	3571798	3572901	76.98	dap;hom	Aspartate semialdehyde deHase	Aspartate semialdehyde dehydrogenase	Null	40017.88
