Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
IGAA_ECOLI	C6EFH7_ECOBD	B	Intracellular growth attenuator IgaA	"1,587.85"	707	17	20	62
CYOA_ECOLI	C6EL34_ECOBD	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	900.4899	315	11	20	81
Null	C6ECH4_ECOBD	B	HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	879.5299	334	43	69	185
EFTU2_ECOLI	C6EE39_ECOBD	F1	Elongation factor Tu	"1,962.02"	394	32	47	192
ATPA_ECOLI	C6EG69_ECOBD	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	"1,229.69"	513	44	59	163
CDH_ECOLI	C6EEY0_ECOBD	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	"1,216.66"	251	17	24	38
RSEB_ECOLI	C6EK16_ECOBD	G	Periplasmic negative regulator of sigmaE (Sigma E regulatory protein, MucB/RseB)	"1,672.81"	318	8	9	11
FTSX_ECOLI	C6EFB2_ECOBD	B	Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)	"2,228.10"	352	18	25	37
OMPA_ECOLI	C6EI25_ECOBD	H	"OmpA domain protein transmembrane region-containing protein (Outer membrane protein A (3a;II*;G;d))"	716.4189	346	46	84	559
PLSC_ECOLI	C6EHX6_ECOBD	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	858.5449	245	7	11	19
YCCF_ECOLI	C6EI20_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	"1,286.72"	148	3	3	8
GSIA_ECOLI	C6EIV3_ECOBD	F1	ABC transporter related	"1,924.94"	623	2	2	39
YCCS_ECOLI	C6EI21_ECOBD	B	Putative uncharacterized protein	944.5411	720	5	5	8
YPDA_ECOLI	C6EL88_ECOBD	B	Predicted sensory kinase in two-component system with YpdB (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)	990.5731	565	4	4	6
PSPA_ECOLI	C6EFS8_ECOBD	F1	Phage shock protein A, PspA (Regulatory protein for phage-shock-protein operon)	875.4769	222	27	41	117
MSBA_ECOLI	C6EI68_ECOBD	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	"1,054.53"	582	31	40	126
SRP54_ECOLI	C6EJY2_ECOBD	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	"1,284.66"	453	12	14	22
GYRB_ECOLI	C6ECI0_ECOBD	A	DNA gyrase subunit B (EC 5.99.1.3)	"1,030.51"	804	2	2	3
DNAK_ECOLI	C6EB40_ECOBD	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	"3,329.70"	638	16	18	26
YEBT_ECOLI	C6EBZ5_ECOBD	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	"1,316.65"	877	10	10	19
OXAA_ECOLI	C6EG98_ECOBD	B	Inner membrane protein oxaA	"1,801.04"	548	28	51	211
PTM3C_ECOLI	C6EDJ3_ECOBD	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	"1,999.94"	637	28	34	51
CLS_ECOLI	C6EFY7_ECOBD	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	"1,771.97"	486	11	12	29
GLMU_ECOLI	C6EG73_ECOBD	A	Bifunctional protein glmU	"1,118.62"	456	1	1	1
BASS_ECOLI	C6ED12_ECOBD	B	Histidine kinase	952.4958	366	7	7	10
RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	900.5261	124	6	6	20
DACA_ECOLI	C6EK61_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	634.3594	403	31	38	72
FTSQ_ECOLI	C6EAW2_ECOBD	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	860.4584	276	10	11	12
QMCA_ECOLI	C6EKX5_ECOBD	B	Band 7 protein (Predicted protease, membrane anchored)	"1,698.92"	305	6	6	6
	IPI:CON_IPI00011694.1|SWISS-PROT:P07477_ECOBD			906.5044	0	2	3	39
RL3_ECOLI	C6EGE6_ECOBD	A	50S ribosomal protein L3	845.5279	209	12	14	15
DHSB_ECOLI	C6EJL3_ECOBD	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	"1,230.63"	238	18	28	55
	IPI:CON_00384444.5|SWISS-PROT:P02533_ECOBD			"1,425.70"	0	16	18	109
RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	877.5254	179	19	26	47
OMPX_ECOLI	C6EIW8_ECOBD	H	Outer membrane protein X (Virulence-related outer membrane protein)	"1,101.55"	171	13	17	53
RL10_ECOLI	C6EE34_ECOBD	A	50S ribosomal protein L10	841.3873	165	12	14	25
RL27_ECOLI	C6EH42_ECOBD	A	50S ribosomal protein L27	936.5037	85	1	1	1
RS21_ECOLI	C6EHT0_ECOBD	A	30S ribosomal protein S21	"1,299.62"	71	2	2	3
ATZN_ECOLI	C6EFA5_ECOBD	B	Heavy metal translocating P-type ATPase	815.4733	732	26	38	157
NUOH_ECOLI	C6E9S0_ECOBD	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	960.5626	325	6	8	28
MDLA_ECOLI	C6EL15_ECOBD	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	"1,160.62"	590	8	8	9
RODZ_ECOLI	C6EKJ3_ECOBD	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	"2,947.56"	337	25	38	106
YDGA_ECOLI	C6EDN4_ECOBD	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	"3,602.76"	502	34	42	64
ZIPA_ECOLI	C6EL66_ECOBD	B	Cell division protein zipA	643.2868	328	13	19	36
HFLK_ECOLI	C6ECH5_ECOBD	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	762.4397	419	57	90	269
IDH_ECOLI	C6EGV5_ECOBD	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	772.4675	416	13	15	16
KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	"1,078.55"	398	8	9	13
KPRS_ECOLI	C6EGQ9_ECOBD	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	942.5731	337	5	5	5
ATPF_ECOLI	C6EG67_ECOBD	B	ATP synthase subunit b	"1,169.69"	156	42	75	244
ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	"1,257.54"	304	7	8	14
NUOA_ECOLI	C6E9R4_ECOBD	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	"1,262.58"	147	6	8	31
MIPA_ECOLI	C6EC47_ECOBD	H	MltA-interacting MipA family protein (Scaffolding protein for murein synthesizing machinery)	"2,612.25"	248	4	5	11
RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	"2,219.05"	123	7	9	19
RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	948.5513	136	7	7	11
LPP_ECOLI	C6ECS8_ECOBD	I	LPP repeat-containing protein (Murein lipoprotein)	792.3921	78	10	21	164
YHJG_ECOLI	C6EEF9_ECOBD	B	AsmA family protein (Predicted outer membrane biogenesis protein)	673.3628	691	11	13	21
MURG_ECOLI	C6EAW5_ECOBD	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	"1,350.77"	355	15	20	56
PLSB_ECOLI	C6EDX9_ECOBD	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	801.483	807	32	41	107
RS3_ECOLI	C6EGF2_ECOBD	A	30S ribosomal protein S3	"1,835.04"	233	29	34	148
RL2_ECOLI	C6EGE9_ECOBD	A	50S ribosomal protein L2	935.5309	273	14	21	62
RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	848.4547	419	16	17	32
TYPH_ECOLI	C6EBI9_ECOBD	B	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	"1,053.57"	440	15	18	30
YJCE_ECOLI	C6ED59_ECOBD	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	915.537	549	11	15	26
ARNT_ECOLI	C6E9U3_ECOBD	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	"1,157.60"	550	8	11	12
PTTBC_ECOLI	C6ECA8_ECOBD	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	974.4903	473	9	15	39
CPTA_ECOLI	C6EE54_ECOBD	B	Conserved inner membrane protein (Sulfatase)	"1,002.47"	577	32	46	177
PBPA_ECOLI	C6EFI0_ECOBD	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	"1,929.04"	850	34	42	91
YIFK_ECOLI	C6EG16_ECOBD	B	Amino acid permease-associated region (Predicted transporter)	969.5264	461	4	5	5
FTSN_ECOLI	C6EE76_ECOBD	B	Cell division protein FtsN (Essential cell division protein)	"1,204.59"	319	27	29	57
GLTI_ECOLI	C6EK40_ECOBD	G	Extracellular solute-binding protein family 3 (Glutamate and aspartate transporter subunit)	877.4416	302	11	12	16
SUCD_ECOLI	C6EJK9_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	630.3933	289	3	3	3
PTND_ECOLI	C6EC11_ECOBD	B	PTS system, mannose/fructose/sorbose family, IID subunit	"1,949.08"	283	18	32	85
YTFL_ECOLI	C6ECC7_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	"1,313.68"	447	16	22	49
RL6_ECOLI	C6EGG1_ECOBD	A	50S ribosomal protein L6	"1,540.84"	177	9	10	13
YEBO_ECOLI	C6EC05_ECOBD	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	"1,884.99"	95	6	9	12
RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	828.3998	118	9	12	30
YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein, YccS/YhfK family	898.5433	696	9	10	16
PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	918.562	563	24	33	71
NUOCD_ECOLI	C6E9R6_ECOBD	F1	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	"1,662.94"	600	18	19	30
RPOC_ECOLI	C6EE31_ECOBD	A	DNA-directed RNA polymerase (EC 2.7.7.6)	"1,084.65"	1407	27	29	54
KEFA_ECOLI	C6EKZ9_ECOBD	B	Fused conserved protein (MscS Mechanosensitive ion channel)	"1,115.64"	1120	30	35	41
DLD_ECOLI	C6EAH8_ECOBD	F1	D-lactate dehydrogenase (EC 1.1.1.28) (D-lactate dehydrogenase, FAD-binding, NADH independent) (EC 1.1.1.28)	987.4743	571	2	2	3
RS1_ECOLI	C6EI71_ECOBD	A	30S ribosomal protein S1 (Ribosomal protein S1)	943.543	557	5	5	5
SECD_ECOLI	C6ELH6_ECOBD	B	Protein-export membrane protein SecD	686.4197	604	64	92	310
HSLU_ECOLI	C6EE78_ECOBD	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	729.4617	443	5	5	6
QSEC_ECOLI	C6EHW7_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	"1,058.58"	449	20	22	30
TOLC_ECOLI	C6EHV8_ECOBD	H	Outer membrane channel protein (Type I secretion outer membrane protein, TolC family)	"1,285.65"	493	40	64	163
DHNA_ECOLI	C6EGY3_ECOBD	F1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	640.4253	434	25	32	64
HEMY_ECOLI	C6EG13_ECOBD	B	HemY protein (Predicted protoheme IX synthesis protein)	855.5523	398	39	53	134
	IPI:CON_00021304.1|SWISS-PROT:P35908_ECOBD			831.4936	0	39	45	392
EMRA_ECOLI	C6EJU1_ECOBD	B	Efflux pump membrane protein (Multidrug efflux system)	"1,666.99"	390	17	18	26
	C6EG16-R_ECOBD			"1,286.78"	0	1	1	1
YFIO_ECOLI	C6EJZ5_ECOBD	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	888.4323	245	22	26	42
GLNQ_ECOLI	C6EIX3_ECOBD	F1	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	"1,111.58"	240	20	26	47
YBAY_ECOLI	C6EL10_ECOBD	I	Glycoprotein/polysaccharide metabolism (Predicted outer membrane lipoprotein)	"3,146.77"	190	4	6	11
	IPI:CON_CASK|SWISS-PROT:P02668_ECOBD			"1,266.56"	0	4	5	32
YBBP_ECOLI	C6EKW8_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	"2,303.11"	804	6	8	22
PTW3C_ECOLI	C6EJQ6_ECOBD	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	860.4836	648	24	31	81
YFHM_ECOLI	C6EKI9_ECOBD	E	Alpha-2-macroglobulin domain protein (Putative uncharacterized protein yfhM)	987.4201	1653	21	22	27
PCNB_ECOLI	C6EAE1_ECOBD	B	Poly(A) polymerase (EC 2.7.7.19)	842.5347	472	12	13	31
RPOD_ECOLI	C6EHS8_ECOBD	A	RNA polymerase sigma factor	836.4624	613	4	6	9
OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	"1,661.80"	837	27	35	104
SECA_ECOLI	C6EAV7_ECOBD	F1	Protein translocase subunit secA	914.5167	901	24	27	59
MREC_ECOLI	C6EGL1_ECOBD	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	"1,512.80"	367	10	12	20
ATPG_ECOLI	C6EG70_ECOBD	F1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	914.5671	287	11	14	29
EFTS_ECOLI	C6EAB5_ECOBD	A	Elongation factor Ts (EF-Ts)	"1,014.56"	283	6	7	9
ARTI_ECOLI	C6EIB8_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)	"1,203.55"	243	5	5	7
MSCS_ECOLI	C6EII5_ECOBD	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	760.42	286	15	21	38
RPOE_ECOLI	C6EK14_ECOBD	F1	RNA polymerase sigma factor	731.4409	191	7	7	7
PPB_ECOLI	C6ELK4_ECOBD	G	Alkaline phosphatase (EC 3.1.3.1) (Bacterial alkaline phosphatase) (EC 3.1.3.1)	"1,201.66"	471	22	26	176
YGGE_ECOLI	C6EII7_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yggE)	"1,736.96"	246	15	17	26
LNT_ECOLI	C6EK38_ECOBD	B	Apolipoprotein N-acyltransferase	"1,934.02"	512	20	27	44
RRF_ECOLI	C6EAB3_ECOBD	A	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	"1,204.62"	185	1	1	1
YRAM_ECOLI	C6EH78_ECOBD	I	LppC family lipoprotein (Putative uncharacterized protein yraM)	"1,142.66"	678	17	18	27
RL1_ECOLI	C6EE35_ECOBD	A	50S ribosomal protein L1	"1,065.58"	234	7	7	24
LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	"1,528.81"	396	19	22	45
LPTD_ECOLI	C6EAZ9_ECOBD	H	LPS-assembly protein lptD (Organic solvent tolerance protein)	934.3936	784	19	21	47
ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	942.4601	1049	42	57	116
PTRA_ECOLI	C6EJ48_ECOBD	G	Peptidase M16 domain protein (Protease III)	"1,225.73"	962	2	2	2
PBP2_ECOLI	C6EK58_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	"1,727.80"	633	21	22	28
OPPA_ECOLI	C6EGM4_ECOBD	G	Extracellular solute-binding protein family 5	"2,337.17"	558	9	10	11
CCMF_ECOLI	C6EA04_ECOBD	B	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	"1,126.61"	647	3	3	4
PQIB_ECOLI	C6EI31_ECOBD	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	"1,078.55"	546	25	35	64
ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	"1,454.79"	397	37	55	107
YICH_ECOLI	C6EDD4_ECOBD	B	AsmA family protein (Putative uncharacterized protein yicH)	"1,166.62"	569	21	27	64
GLYA_ECOLI	C6EKF6_ECOBD	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	671.4452	417	4	4	5
YPFJ_ECOLI	C6EKN6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	"1,119.50"	287	6	6	9
	IPI:CON_00300725.7|SWISS-PROT:P02538_ECOBD			"1,016.54"	0	17	19	71
	IPI:CON_00009867.3|SWISS-PROT:P13647_ECOBD			"1,016.54"	0	20	22	146
SLYB_ECOLI	C6EDK4_ECOBD	I	17 kDa surface antigen (Outer membrane lipoprotein)	"1,513.83"	155	7	11	29
CREA_ECOLI	C6EBH4_ECOBD	G	CreA family protein (Putative uncharacterized protein creA)	877.4778	157	7	8	9
YHAH_ECOLI	C6EHN9_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	999.5148	121	1	1	1
ODP2_ECOLI	C6EAU2_ECOBD	F1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12) (Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase) (EC 2.3.1.12)	873.4426	630	10	11	27
DACC_ECOLI	C6EIU4_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	"1,492.75"	400	30	41	66
CYDD_ECOLI	C6EI95_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	804.4726	588	20	25	57
FADI_ECOLI	C6ELB2_ECOBD	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	982.6045	436	3	3	6
PTKC_ECOLI	C6EAL8_ECOBD	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	951.4531	451	8	12	34
YIBN_ECOLI	C6EDH8_ECOBD	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	"1,002.57"	143	14	19	63
KEFB_ECOLI	C6EGB3_ECOBD	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	"1,063.54"	601	5	5	5
PNTB_ECOLI	C6EDP6_ECOBD	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	"1,000.60"	462	17	23	54
LACI_ECOLI	C6EJI7_ECOBD	A	Transcriptional regulator, LacI family	"1,003.52"	363	24	32	104
DEGP_ECOLI	C6EAC3_ECOBD	G	Protease Do (EC 3.4.21.108) (Serine endoprotease (Protease Do), membrane-associated) (EC 3.4.21.-)	774.4105	474	40	62	188
YCDO_ECOLI	C6EHI9_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein ycdO)	831.4572	375	2	2	2
HDFR_ECOLI	C6EG46_ECOBD	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	"1,890.91"	279	2	2	2
TATB_ECOLI	C6EF59_ECOBD	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	821.3822	171	15	17	31
WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	"1,995.05"	246	12	18	38
	IPI:CON_IPI00290078.5|SWISS-PROT:P19013_ECOBD			"1,286.58"	0	3	3	3
YHES_ECOLI	C6EGB1_ECOBD	F1	ABC transporter related (Fused predicted transporter subunits of ABC superfamily: ATP-binding components)	773.4264	637	1	1	1
RL23_ECOLI	C6EGE8_ECOBD	A	50S ribosomal protein L23	"1,235.55"	100	1	1	2
RNE_ECOLI	C6EHC9_ECOBD	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	"1,766.86"	1061	50	60	163
FADE_ECOLI	C6EA67_ECOBD	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	817.4679	814	34	39	109
UBIB_ECOLI	C6EF61_ECOBD	B	Probable ubiquinone biosynthesis protein ubiB	"1,262.82"	546	21	23	47
CYDC_ECOLI	C6EI96_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	543.3613	573	20	24	40
YHJJ_ECOLI	C6EEF6_ECOBD	G	Peptidase M16 domain protein (Predicted zinc-dependent peptidase)	"1,577.85"	498	10	10	13
YBHS_ECOLI	C6EIY9_ECOBD	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	"1,718.88"	377	1	2	4
MDTG_ECOLI	C6EHG0_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted drug efflux system)	813.4577	408	2	2	2
YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	"1,306.69"	256	9	11	23
GLMS_ECOLI	C6EG74_ECOBD	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	"1,227.69"	609	1	1	4
MTGA_ECOLI	C6EH19_ECOBD	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	"1,534.90"	242	4	4	6
TATA_ECOLI	C6EF60_ECOBD	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	"1,455.72"	89	11	17	32
CH60_ECOLI	C6ECY2_ECOBD	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	"1,760.90"	548	16	16	35
YDIJ_ECOLI	C6ECR9_ECOBD	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	964.5211	1018	26	29	61
AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	729.4188	719	24	27	36
DLDH_ECOLI	C6EAU1_ECOBD	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	"1,565.74"	474	15	17	22
OPGG_ECOLI	C6EHG4_ECOBD	G	Glucan biosynthesis protein, periplasmic (Periplasmic glucan biosynthesis protein MdoG)	"1,201.69"	511	7	7	15
	C6EI52-R_ECOBD			775.3767	0	1	1	1
YBDG_ECOLI	C6EKC4_ECOBD	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	897.417	415	17	19	28
