Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6E9Y9_ECOBD Probable malate:quinone oxidoreductase OS=Escherichia coli (strain B / BL21-DE3) GN=mqo PE=3 SV=1	C6E9Y9_ECOBD	60,227.1	100.0%	6	6	6	0.196%	13.0%
C6E9Z0_ECOBD Ecotin OS=Escherichia coli (strain B / BL21-DE3) GN=eco PE=4 SV=1	C6E9Z0_ECOBD	18,174.2	100.0%	2	2	3	0.197%	19.1%
C6EA01_ECOBD Cytochrome c assembly protein OS=Escherichia coli (strain B / BL21-DE3) GN=ccmC PE=4 SV=1	C6EA01_ECOBD	27,868.3	63.6%	1	1	1	0.0606%	4.08%
C6EA04_ECOBD Cytochrome c assembly protein OS=Escherichia coli (strain B / BL21-DE3) GN=ccmF PE=4 SV=1	C6EA04_ECOBD	71,374.0	100.0%	3	3	3	0.0980%	5.26%
C6EA05_ECOBD Periplasmic thioredoxin of cytochrome c-type biogenesis OS=Escherichia coli (strain B / BL21-DE3) GN=ccmG PE=4 SV=1	C6EA05_ECOBD	20,792.0	99.0%	1	1	1	0.0724%	8.11%
C6EA06_ECOBD Cytochrome C biogenesis protein OS=Escherichia coli (strain B / BL21-DE3) GN=ccmH PE=4 SV=1	C6EA06_ECOBD	39,132.7	100.0%	6	6	7	0.360%	27.7%
C6EA09_ECOBD Predicted hydrolase, inner membrane OS=Escherichia coli (strain B / BL21-DE3) GN=yejM PE=4 SV=1	C6EA09_ECOBD	67,280.6	100.0%	13	15	20	0.654%	36.3%
C6EA15_ECOBD Bicyclomycin/multidrug efflux system OS=Escherichia coli (strain B / BL21-DE3) GN=bcr PE=4 SV=1	C6EA15_ECOBD	43,336.9	50.0%	1	1	1	0.0493%	2.78%
C6EA18_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=yejE PE=3 SV=1	C6EA18_ECOBD	38,076.7	100.0%	2	2	2	0.0702%	5.87%
C6EA20_ECOBD Extracellular solute-binding protein family 5 OS=Escherichia coli (strain B / BL21-DE3) GN=yejA PE=4 SV=1	C6EA20_ECOBD	69,680.9	99.8%	2	2	2	0.123%	4.97%
C6EA21_ECOBD Diguanylate phosphodiesterase OS=Escherichia coli (strain B / BL21-DE3) GN=rtn PE=4 SV=1	C6EA21_ECOBD	58,594.1	56.2%	1	1	1	0.0669%	1.74%
C6EA22_ECOBD NLP/P60 protein OS=Escherichia coli (strain B / BL21-DE3) GN=spr PE=4 SV=1	C6EA22_ECOBD	21,022.0	76.5%	1	1	1	0.0724%	11.2%
C6EA23_ECOBD Phosphoesterase PA-phosphatase related OS=Escherichia coli (strain B / BL21-DE3) GN=yeiU PE=4 SV=1	C6EA23_ECOBD	26,730.8	100.0%	5	5	5	0.303%	11.0%
C6EA31_ECOBD Fused fructose-specific PTS enzymes: IIBcomponent/IIC components OS=Escherichia coli (strain B / BL21-DE3) GN=fruA PE=4 SV=1	C6EA31_ECOBD	57,503.4	100.0%	20	28	35	1.14%	41.9%
C6EA36_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yagU PE=4 SV=1	C6EA36_ECOBD	22,949.4	100.0%	5	6	7	0.311%	26.5%
C6EA67_ECOBD Acyl-CoA dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=fadE PE=4 SV=1	C6EA67_ECOBD	89,208.8	100.0%	28	30	43	1.59%	41.6%
C6EA77_ECOBD Methyltransferase type 11 OS=Escherichia coli (strain B / BL21-DE3) GN=yafS PE=4 SV=1	C6EA77_ECOBD	27,276.5	100.0%	2	2	2	0.0985%	9.58%
C6EA85_ECOBD D-methionine ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) GN=metN PE=3 SV=1	C6EA85_ECOBD	37,784.9	100.0%	6	6	6	0.238%	38.8%
C6EA86_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=metI PE=3 SV=1	C6EA86_ECOBD	23,238.7	100.0%	2	3	9	0.399%	13.4%
C6EA87_ECOBD DL-methionine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=metQ PE=4 SV=1	C6EA87_ECOBD	29,399.9	100.0%	35	55	224	7.86%	87.5%
C6EA88_ECOBD Outer membrane lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=rcsF PE=4 SV=1	C6EA88_ECOBD	14,145.5	100.0%	8	8	9	0.590%	79.1%
C6EA90_ECOBD Prolyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=proS PE=3 SV=1	C6EA90_ECOBD	63,605.4	50.0%	1	1	1	0.0353%	2.62%
C6EA92_ECOBD Copper resistance lipoprotein NlpE OS=Escherichia coli (strain B / BL21-DE3) GN=cutF PE=4 SV=1	C6EA92_ECOBD	25,822.9	100.0%	3	4	5	0.188%	19.5%
C6EA93_ECOBD Class I peptide chain release factor OS=Escherichia coli (strain B / BL21-DE3) GN=yaeJ PE=4 SV=1	C6EA93_ECOBD	15,541.3	75.1%	1	1	1	0.0407%	8.57%
C6EAA0_ECOBD Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=accA PE=3 SV=1	C6EAA0_ECOBD	35,271.5	100.0%	5	5	5	0.246%	20.7%
C6EAA3_ECOBD Lipid-A-disaccharide synthase OS=Escherichia coli (strain B / BL21-DE3) GN=lpxB PE=3 SV=1	C6EAA3_ECOBD	42,381.4	100.0%	4	4	4	0.159%	17.3%
C6EAA7_ECOBD Outer membrane chaperone Skp (OmpH) OS=Escherichia coli (strain B / BL21-DE3) GN=hlpA PE=4 SV=1	C6EAA7_ECOBD	17,670.4	100.0%	14	20	27	1.39%	68.9%
C6EAA8_ECOBD Outer membrane protein assembly complex, YaeT protein OS=Escherichia coli (strain B / BL21-DE3) GN=yaeT PE=4 SV=1	C6EAA8_ECOBD	90,536.4	100.0%	21	22	24	1.04%	32.8%
C6EAA9_ECOBD Membrane-associated zinc metalloprotease OS=Escherichia coli (strain B / BL21-DE3) GN=yaeL PE=3 SV=1	C6EAA9_ECOBD	49,054.7	100.0%	9	11	11	0.405%	24.9%
C6EAB3_ECOBD Ribosome-recycling factor OS=Escherichia coli (strain B / BL21-DE3) GN=frr PE=3 SV=1	C6EAB3_ECOBD	20,621.3	85.1%	1	1	1	0.0615%	5.95%
C6EAB4_ECOBD Uridylate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=pyrH PE=3 SV=1	C6EAB4_ECOBD	25,952.9	99.9%	2	2	2	0.0702%	9.96%
C6EAB5_ECOBD Elongation factor Ts OS=Escherichia coli (strain B / BL21-DE3) GN=tsf PE=3 SV=1	C6EAB5_ECOBD	30,404.8	100.0%	4	4	5	0.222%	13.8%
C6EAB6_ECOBD 30S ribosomal protein S2 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsB PE=3 SV=1	C6EAB6_ECOBD	26,726.3	100.0%	19	21	28	1.38%	73.9%
C6EAB9_ECOBD 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=dapD PE=3 SV=1	C6EAB9_ECOBD	29,873.6	100.0%	3	4	5	0.246%	13.9%
C6EAC3_ECOBD Protease Do OS=Escherichia coli (strain B / BL21-DE3) GN=degP PE=4 SV=1	C6EAC3_ECOBD	49,336.9	100.0%	33	39	57	2.10%	63.1%
C6EAC5_ECOBD 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain B / BL21-DE3) GN=pfs PE=3 SV=1	C6EAC5_ECOBD	24,336.1	50.4%	1	1	1	0.0376%	4.74%
C6EAC6_ECOBD Periplasmic binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=yadT PE=4 SV=1	C6EAC6_ECOBD	29,379.3	50.4%	1	1	1	0.0376%	6.02%
C6EAC8_ECOBD Iron-sulfur cluster assembly accessory protein OS=Escherichia coli (strain B / BL21-DE3) GN=yadR PE=4 SV=1	C6EAC8_ECOBD	12,082.6	50.0%	1	1	1	0.0311%	16.7%
C6EAC9_ECOBD Chloride channel core OS=Escherichia coli (strain B / BL21-DE3) GN=yadQ PE=4 SV=1	C6EAC9_ECOBD	50,333.4	100.0%	4	5	5	0.199%	8.46%
C6EAD0_ECOBD Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain B / BL21-DE3) GN=hemL PE=3 SV=1	C6EAD0_ECOBD	45,338.2	100.0%	4	4	4	0.159%	10.8%
C6EAD2_ECOBD Iron-hydroxamate transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=fhuD PE=4 SV=1	C6EAD2_ECOBD	32,997.7	61.0%	1	1	1	0.0351%	6.08%
C6EAD3_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=fhuC PE=4 SV=1	C6EAD3_ECOBD	28,853.1	99.8%	1	1	1	0.0493%	5.28%
C6EAD5_ECOBD Penicillin-binding protein 1B OS=Escherichia coli (strain B / BL21-DE3) GN=mrcB PE=4 SV=1	C6EAD5_ECOBD	93,852.2	100.0%	35	39	55	2.38%	54.3%
C6EAE1_ECOBD Poly(A) polymerase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3476 PE=3 SV=1	C6EAE1_ECOBD	54,653.8	100.0%	8	8	8	0.294%	15.9%
C6EAF4_ECOBD Probable endonuclease 4 OS=Escherichia coli (strain B / BL21-DE3) GN=nfo PE=3 SV=1	C6EAF4_ECOBD	31,375.3	81.5%	1	1	1	0.0369%	4.91%
C6EAF7_ECOBD Amino acid permease-associated region OS=Escherichia coli (strain B / BL21-DE3) GN=lysP PE=4 SV=1	C6EAF7_ECOBD	53,560.7	100.0%	2	3	4	0.301%	5.73%
C6EAG0_ECOBD GTP cyclohydrolase 1 OS=Escherichia coli (strain B / BL21-DE3) GN=folE PE=3 SV=1	C6EAG0_ECOBD	24,813.0	99.8%	1	1	1	0.0666%	5.41%
C6EAG4_ECOBD Beta-methylgalactoside transporter inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=mglC PE=4 SV=1	C6EAG4_ECOBD	35,533.9	50.4%	1	1	1	0.0376%	3.87%
C6EAG8_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=sanA PE=4 SV=1	C6EAG8_ECOBD	27,270.2	100.0%	5	5	5	0.188%	31.4%
C6EAH8_ECOBD D-lactate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=dld PE=4 SV=1	C6EAH8_ECOBD	64,596.1	100.0%	2	2	2	0.0706%	3.68%
C6EAH9_ECOBD Beta-D-glucoside glucohydrolase, periplasmic OS=Escherichia coli (strain B / BL21-DE3) GN=bglX PE=4 SV=1	C6EAH9_ECOBD	83,501.4	100.0%	8	8	11	0.476%	17.5%
C6EAI6_ECOBD Predicted sensory kinase in two-component system with YehT OS=Escherichia coli (strain B / BL21-DE3) GN=yehU PE=4 SV=1	C6EAI6_ECOBD	62,076.3	56.2%	1	1	1	0.0669%	3.21%
C6EAL5_ECOBD D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit OS=Escherichia coli (strain B / BL21-DE3) GN=gatZ PE=4 SV=1	C6EAL5_ECOBD	46,996.0	55.5%	1	1	1	0.0508%	2.62%
C6EAL8_ECOBD Galactitol-specific enzyme IIC component of PTS OS=Escherichia coli (strain B / BL21-DE3) GN=gatC PE=4 SV=1	C6EAL8_ECOBD	48,348.9	100.0%	8	10	15	0.772%	10.4%
C6EAM7_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=baeS PE=3 SV=1	C6EAM7_ECOBD	51,974.9	100.0%	8	8	8	0.294%	22.9%
C6EAM9_ECOBD Acriflavin resistance protein OS=Escherichia coli (strain B / BL21-DE3) GN=yegO PE=4 SV=1	C6EAM9_ECOBD	111,015.0	100.0%	3	3	3	0.103%	5.17%
C6EAN0_ECOBD Multidrug resistance protein mdtB OS=Escherichia coli (strain B / BL21-DE3) GN=yegN PE=2 SV=1	C6EAN0_ECOBD	112,111.2	99.8%	1	1	2	0.0997%	3.08%
C6EAN1_ECOBD Multidrug resistance protein mdtA OS=Escherichia coli (strain B / BL21-DE3) GN=yegM PE=2 SV=1	C6EAN1_ECOBD	44,477.5	100.0%	11	11	11	0.405%	36.4%
C6EAP3_ECOBD AsmA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=asmA PE=4 SV=1	C6EAP3_ECOBD	68,920.1	100.0%	18	19	21	0.741%	33.9%
C6EAP4_ECOBD Fused predicted membrane protein/predicted membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yegH PE=4 SV=1	C6EAP4_ECOBD	59,382.9	100.0%	4	4	4	0.131%	8.16%
C6EAQ9_ECOBD Phosphomannomutase OS=Escherichia coli (strain B / BL21-DE3) GN=cpsG PE=3 SV=1	C6EAQ9_ECOBD	50,476.0	50.0%	1	1	1	0.0311%	1.54%
C6EAS4_ECOBD Pantothenate synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=panC PE=3 SV=1	C6EAS4_ECOBD	31,608.6	99.8%	2	2	3	0.148%	7.77%
C6EAT0_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=yadG PE=4 SV=1	C6EAT0_ECOBD	34,630.4	100.0%	8	8	8	0.394%	22.1%
C6EAT3_ECOBD Glucose dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=gcd PE=4 SV=1	C6EAT3_ECOBD	86,761.2	100.0%	8	8	11	0.476%	10.8%
C6EAT4_ECOBD Multicopper oxidase (Laccase) OS=Escherichia coli (strain B / BL21-DE3) GN=cueO PE=4 SV=1	C6EAT4_ECOBD	56,565.5	56.2%	1	1	1	0.0669%	2.91%
C6EAT9_ECOBD Aconitate hydratase 2 OS=Escherichia coli (strain B / BL21-DE3) GN=acnB PE=3 SV=1	C6EAT9_ECOBD	93,483.0	100.0%	7	7	7	0.303%	12.0%
C6EAU1_ECOBD Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=lpdA PE=3 SV=1	C6EAU1_ECOBD	50,670.9	100.0%	10	10	14	0.458%	36.3%
C6EAU2_ECOBD Dihydrolipoamide acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=aceF PE=3 SV=1	C6EAU2_ECOBD	66,077.9	100.0%	6	6	6	0.260%	11.0%
C6EAU5_ECOBD Amino acid permease-associated region OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3507 PE=4 SV=1	C6EAU5_ECOBD	49,542.1	100.0%	2	2	3	0.141%	4.61%
C6EAU6_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ampE PE=4 SV=1	C6EAU6_ECOBD	32,104.6	100.0%	2	2	2	0.0752%	6.69%
C6EAV7_ECOBD Protein translocase subunit secA OS=Escherichia coli (strain B / BL21-DE3) GN=secA PE=2 SV=1	C6EAV7_ECOBD	102,007.3	100.0%	16	18	21	0.777%	25.0%
C6EAW0_ECOBD Cell division protein ftsZ OS=Escherichia coli (strain B / BL21-DE3) GN=ftsZ PE=3 SV=1	C6EAW0_ECOBD	40,306.0	100.0%	3	3	3	0.119%	10.7%
C6EAW1_ECOBD Cell division protein OS=Escherichia coli (strain B / BL21-DE3) GN=ftsA PE=4 SV=1	C6EAW1_ECOBD	45,310.7	100.0%	4	4	4	0.147%	15.0%
C6EAW2_ECOBD Cell division protein FtsQ OS=Escherichia coli (strain B / BL21-DE3) GN=ftsQ PE=4 SV=1	C6EAW2_ECOBD	31,401.8	100.0%	10	10	11	0.566%	39.9%
C6EAW5_ECOBD UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain B / BL21-DE3) GN=murG PE=3 SV=1	C6EAW5_ECOBD	37,796.3	100.0%	13	16	21	1.08%	40.8%
C6EAW6_ECOBD Cell division protein FtsW OS=Escherichia coli (strain B / BL21-DE3) GN=ftsW PE=4 SV=1	C6EAW6_ECOBD	45,972.2	99.4%	1	1	1	0.0515%	3.38%
C6EAW8_ECOBD Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain B / BL21-DE3) GN=mraY PE=3 SV=1	C6EAW8_ECOBD	39,857.6	100.0%	6	6	8	0.281%	10.8%
C6EAX1_ECOBD Peptidoglycan glycosyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=ftsI PE=4 SV=1	C6EAX1_ECOBD	63,860.4	100.0%	15	17	19	0.671%	40.0%
C6EAX2_ECOBD Cell division protein FtsL OS=Escherichia coli (strain B / BL21-DE3) GN=ftsL PE=4 SV=1	C6EAX2_ECOBD	13,608.9	100.0%	5	6	7	0.361%	50.4%
C6EAY9_ECOBD ABC transporter, ATPase subunit, ThiQ subfamily OS=Escherichia coli (strain B / BL21-DE3) GN=yabJ PE=4 SV=1	C6EAY9_ECOBD	24,983.8	74.6%	1	1	1	0.0666%	6.47%
C6EAZ8_ECOBD Dna-J like membrane chaperone protein OS=Escherichia coli (strain B / BL21-DE3) GN=djlA PE=4 SV=1	C6EAZ8_ECOBD	30,547.0	100.0%	14	17	27	1.02%	53.5%
C6EAZ9_ECOBD LPS-assembly protein lptD OS=Escherichia coli (strain B / BL21-DE3) GN=imp PE=3 SV=1	C6EAZ9_ECOBD	89,654.8	100.0%	18	19	21	0.909%	28.7%
C6EB00_ECOBD Peptidyl-prolyl cis-trans isomerase (PPIase) OS=Escherichia coli (strain B / BL21-DE3) GN=surA PE=3 SV=1	C6EB00_ECOBD	47,266.7	100.0%	4	5	5	0.184%	11.7%
C6EB06_ECOBD Glutathione-regulated potassium-efflux system protein OS=Escherichia coli (strain B / BL21-DE3) GN=kefC PE=4 SV=1	C6EB06_ECOBD	67,734.6	99.8%	2	2	2	0.0654%	3.39%
C6EB19_ECOBD Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain B / BL21-DE3) GN=carB PE=3 SV=1	C6EB19_ECOBD	117,853.3	100.0%	3	3	3	0.103%	2.98%
C6EB22_ECOBD Dihydrodipicolinate reductase OS=Escherichia coli (strain B / BL21-DE3) GN=dapB PE=3 SV=1	C6EB22_ECOBD	28,726.2	76.8%	1	1	1	0.0674%	3.30%
C6EB30_ECOBD 30S ribosomal protein S20 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsT PE=3 SV=1	C6EB30_ECOBD	9,666.9	99.8%	2	2	2	0.181%	29.9%
C6EB35_ECOBD Na+/H+ antiporter NhaA OS=Escherichia coli (strain B / BL21-DE3) GN=nhaA PE=3 SV=1	C6EB35_ECOBD	41,340.2	100.0%	4	4	6	0.210%	6.70%
C6EB39_ECOBD Chaperone protein dnaJ OS=Escherichia coli (strain B / BL21-DE3) GN=dnaJ PE=3 SV=1	C6EB39_ECOBD	41,006.9	99.9%	2	2	2	0.0939%	7.18%
C6EB40_ECOBD Chaperone protein DnaK OS=Escherichia coli (strain B / BL21-DE3) GN=dnaK PE=3 SV=1	C6EB40_ECOBD	69,098.1	100.0%	13	15	16	0.565%	27.3%
C6EB48_ECOBD Putative glycosyltransferase WbbA OS=Escherichia coli (strain B / BL21-DE3) GN=wbbA PE=4 SV=1	C6EB48_ECOBD	29,531.4	100.0%	4	4	4	0.150%	16.5%
C6EB49_ECOBD Putative glycosyltransferase WbbB OS=Escherichia coli (strain B / BL21-DE3) GN=wbbB PE=4 SV=1	C6EB49_ECOBD	31,686.0	100.0%	7	7	7	0.246%	34.4%
C6EB50_ECOBD O antigen polymerase (Wzy) OS=Escherichia coli (strain B / BL21-DE3) GN=wzy PE=4 SV=1	C6EB50_ECOBD	44,846.0	50.0%	1	1	1	0.0515%	4.09%
C6EB51_ECOBD Glycosyl transferase group 1 OS=Escherichia coli (strain B / BL21-DE3) GN=wbbC PE=4 SV=1	C6EB51_ECOBD	42,390.1	99.8%	2	2	2	0.0795%	10.00%
C6EB56_ECOBD 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain B / BL21-DE3) GN=gnd PE=3 SV=1	C6EB56_ECOBD	51,480.2	100.0%	2	2	2	0.0736%	7.26%
C6EB58_ECOBD Lipopolysaccharide biosynthesis protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1632 PE=4 SV=1	C6EB58_ECOBD	36,349.4	100.0%	16	19	23	1.08%	54.6%
C6EB61_ECOBD 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=hisA PE=3 SV=1	C6EB61_ECOBD	25,996.0	50.4%	1	1	2	0.0752%	6.12%
C6EB64_ECOBD Histidinol-phosphate aminotransferase OS=Escherichia coli (strain B / BL21-DE3) GN=hisC PE=3 SV=1	C6EB64_ECOBD	39,400.7	99.8%	1	1	1	0.0469%	2.81%
C6EB66_ECOBD ATP phosphoribosyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=hisG PE=3 SV=1	C6EB66_ECOBD	33,335.3	50.0%	1	1	1	0.0493%	4.68%
C6EB70_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yeeE PE=4 SV=1	C6EB70_ECOBD	38,009.4	76.8%	1	1	1	0.0674%	2.56%
C6EB76_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1650 PE=3 SV=1	C6EB76_ECOBD	12,760.6	50.0%	1	1	2	0.113%	14.7%
C6EB80_ECOBD Cobalamin synthase OS=Escherichia coli (strain B / BL21-DE3) GN=cobS PE=3 SV=1	C6EB80_ECOBD	26,399.0	63.6%	1	1	1	0.0606%	3.64%
C6EB88_ECOBD Metabolite/H+ symporter, major facilitator superfamily (MFS) OS=Escherichia coli (strain B / BL21-DE3) GN=shiA PE=4 SV=1	C6EB88_ECOBD	47,801.4	50.0%	1	1	1	0.0397%	4.34%
C6EB94_ECOBD Cytochrome B561 OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1673 PE=4 SV=1	C6EB94_ECOBD	19,398.3	76.5%	1	1	2	0.145%	5.33%
C6EBA0_ECOBD Heavy metal sensor signal transduction histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1679 PE=3 SV=1	C6EBA0_ECOBD	50,834.5	100.0%	3	3	3	0.134%	10.4%
C6EBF0_ECOBD CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=pgsA PE=3 SV=1	C6EBF0_ECOBD	20,683.1	100.0%	2	2	2	0.145%	6.59%
C6EBF4_ECOBD Ferritin iron storage protein (Cytoplasmic) OS=Escherichia coli (strain B / BL21-DE3) GN=ftn PE=4 SV=1	C6EBF4_ECOBD	19,406.6	54.3%	1	1	1	0.0515%	11.5%
