EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG10043	cysQ	P22255	g1790659	JW4172	13786	EB0041	246	"3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to"	27175,86
EG10044	osmE	P0ADB1	g1788035	JW1728	5799	EB0042	112	Osmotically inducible lipoprotein, function unknown	12020,67
EG10045	ansA	P0A962	g1788065	JW1756	5886	EB0043	338	L-Asparaginase I	37127,24
EG10046	ansB	P00805	g1789327	JW2924	9700	EB0044	348	L-Asparaginase II	36850,69
EG10047	apaG	P62672	g1786235	JW0049	169	EB0045	125	"Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH"	13866,76
EG10048	apaH	P05637	g1786234	JW0048	167	EB0046	280	"Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical"	31296,72
EG10049	appA	P07102	g1787215	JW0963	3305	EB0047	432	"Acid phosphatase, pH 2.5, exopolyphosphatase; phytase"	47056,83
EG10050	appY	P05052	g1786776	JW0553	1929	EB0048	249	Global transcription regulator, AraC family, DLP12 prophage	28763,5
EG10051	apt	P69503	g1786675	JW0458	1628	EB0049	183	"Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade"	19858,88
EG10052	araA	P08202	g1786248	JW0061	221	EB0050	500	"L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose"	56073,99
EG10053	araB	P08204	g1786249	JW0062	223	EB0051	566	Ribulokinase	61089,42
EG10054	araC	P0A9E0	g1786251	JW0063	236	EB0052	292	"Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator"	33383,91
EG10055	araD	P08203	g1786247	JW0060	209	EB0053	231	L-ribulose-5-phosphate 4-epimerase	25518,91
EG10056	araE	P0AE24	g1789207	JW2809	9319	EB0054	472	"Low-affinity L-arabinose transport; L-arabinose proton symport"	51684,43
EG10057	araF	P02924	g1788211	JW1889	6330	EB0055	329	L-Arabinose-binding protein	35540,9
EG10058	araG	P0AAF3	g1788210	JW1888	6328	EB0056	504	High-affinity L-arabinose transport	55018,23
EG10059	araH	P0AE26	g48994893	JW1887	174093	EB0057	328	High-affinity L-arabinose transport, membrane protein	34210,92
EG10060	araJ	P23910	g1786595	JW0386	1378	EB0058	394	"Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter"	41926,34
EG10061	arcA	P0A9Q1	g1790863	JW4364	14434	EB0059	238	"Response regulator, represses aerobic genes anaerobically; also activates some anaerobic genes; phosphorylated by ArcB"	27292,02
EG10062	arcB	P0AEC3	g48994928	JW5536	10537	EB0060	778	"Tripartite sensor/histidine protein kinase; repression of aerobic genes and activationof some anerobic genes under anaerobic growth conditions; phosphorylates response regulator protein (ArcA); has respones regulator and second transmitter domains"	87982,91
EG10063	argA	P0A6C5	g1789181	JW2786	9245	EB0061	443	"N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; growth on acetylornithine"	49195,19
EG10064	argB	P0A6C8	g87082353	JW5553	12967	EB0062	258	N-acetylglutamate kinase	27159,54
EG10065	argC	P11446	g1790396	JW3930	12964	EB0063	334	N-acetyl-gamma-glutamyl-phosphate reductase	35952,13
EG10066	argD	P18335	g1789759	JW3322	10976	EB0064	406	"Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent"	43766,97
EG10067	argF	P06960	g1786469	JW0266	939	EB0065	334	"Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant"	36827,14
EG10068	argG	P0A6E4	g1789563	JW3140	10428	EB0066	447	Argininosuccinate synthase	49898,4
EG10069	argI	P04391	g1790703	JW4211	13927	EB0067	334	"Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase"	36907,11
EG10070	argR	P0A6D0	g1789633	JW3206	10620	EB0068	156	"Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric"	16994,52
EG10071	argS	P11875	g1788184	JW1865	6264	EB0069	577	Arginine--tRNA ligase	64682,96
EG10072	argT	P09551	g1788649	JW2307	7621	EB0070	260	Periplasmic Lys-, Arg-, and Orn-binding protein	27991,66
EG10073	aroA	P0A6D3	g1787137	JW0891	3095	EB0071	427	"5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase"	46095,78
EG10074	aroB	P07639	g1789791	JW3352	11067	EB0072	362	3-Dehydroquinate synthase	38880,99
EG10075	aroC	P12008	g1788669	JW2326	7693	EB0073	361	Chorismate synthase	39137,45
EG10076	aroD	P05194	g1787984	JW1683	5653	EB0074	252	3-Dehydroquinate dehydratase	27466,65
EG10077	aroE	P15770	g1789675	JW3242	10763	EB0075	272	Shikimate 5-dehydrogenase	29413,64
EG10078	aroF	P00888	g1788953	JW2582	8549	EB0076	356	"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon"	38803,96
EG10079	aroG	P0AB91	g1786969	JW0737	2560	EB0077	350	"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon"	38009,52
EG10080	aroH	P00887	g1787996	JW1694	5686	EB0078	348	"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible"	38735,06
EG10081	aroK	P0A6D7	g87082255	JW5947	11069	EB0079	173	"Shikimate kinase I; alkali-inducible"	19538,05
EG10082	aroL	P0A6E1	g1786587	JW0379	1353	EB0080	174	Shikimate kinase II	19150,83
EG10083	aroM	P0AE28	g1786589	JW0381	1357	EB0081	225	Regulated by aroR, function unknown	24916,91
EG10084	aroP	P15993	g1786302	JW0108	384	EB0082	457	General aromatic amino acid transport	49690,13
EG10085	ascB	P24240	g1789070	JW2686	8928	EB0083	474	"Cryptic phospho-beta-glucosidase; expressed when AscG is mutated"	53934,93
EG10086	ascF	P24241	g48994906	JW5435	8926	EB0084	485	"PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated"	51025,96
EG10087	ascG	P24242	g1789068	JW5434	8922	EB0085	337	Repressor of cryptic asc operon	36944,39
EG10088	asd	P0A9Q9	g1789841	JW3396	11211	EB0086	367	Aspartate semialdehyde dehydrogenase	40017,88
EG10089	aslA	P25549	g1790233	JW3773	12411	EB0087	551	"Suppresses gpp mutants; putative arylsulfatase"	60717,6
EG10090	aslB	P25550	g48994973	JW5594	12408	EB0088	411	Suppresses gpp mutants, putative arylsulfatase	46513,17
EG10091	asnA	P00963	g1790183	JW3722	12242	EB0089	330	"Asparagine synthase A; aspartate-ammonia ligase"	36650,55
EG10092	asnB	P22106	g1786889	JW0660	2292	EB0090	554	Asparagine synthase B [glutamine-hydrolyzing]	62659,01
EG10093	asnC	P0ACI6	g1790182	JW3721	12237	EB0091	152	Regulatory gene for asnA, asnC, gidA, Lrp family	16887,67
EG10094	asnS	P0A8M0	g1787161	JW0913	3162	EB0092	466	Asparagine--tRNA ligase	52570,44
EG10095	aspA	P0AC38	g87082375	JW4099	13551	EB0093	478	"L-Aspartate ammonia-lyase; L-aspartase"	52356,13
EG10096	aspC	P00509	g1787159	JW0911	3150	EB0094	396	"Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K"	43573,36
EG10097	aspS	P21889	g1788173	JW1855	6226	EB0095	590	Aspartate--tRNA ligase	65913,45
EG10098	atpA	P0ABB0	g1790172	JW3712	12213	EB0096	513	ATP synthase subunit alpha, membrane-bound, F1 sector	55222,08
EG10099	atpB	P0AB98	g1790176	JW3716	12222	EB0097	271	ATP synthase subunit a, membrane-bound, F0 sector	30303,26
EG10100	atpC	P0A6E6	g1790169	JW3709	12206	EB0098	139	ATP synthase subunit epsilon, membrane-bound, F1 sector	15068,27
EG10101	atpD	P0ABB4	g1790170	JW3710	12208	EB0099	460	ATP synthase subunit beta, membrane-bound, F1 sector	50325,42
EG10102	atpE	P68699	g1790175	JW3715	12220	EB0100	79	"ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding"	8256,11
EG10103	atpF	P0ABA0	g1790174	JW3714	12217	EB0101	156	ATP synthase subunit b, membrane-bound, F0 sector	17263,96
EG10104	atpG	P0ABA6	g1790171	JW3711	12211	EB0102	287	ATP synthase subunit gamma, membrane-bound, F1 sector	31577,42
EG10105	atpH	P0ABA4	g1790173	JW3713	12215	EB0103	177	ATP synthase subunit delta, membrane-bound, F1 sector	19332,22
EG10106	atpI	P0ABC0	g87082325	JW5611	12224	EB0104	126	ATP synthase subunit, F1-F0-type proton-ATPase, membrane-bound	13631,73
EG10107	avtA	P09053	g48994949	JW5652	11671	EB0105	417	Alanine-alpha-ketoisovalerate transaminase, transaminase C	46711,23
EG10108	bcp	P0AE52	g1788825	JW2465	8171	EB0106	156	"Thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity"	17633,94
EG10109	betA	P17444	g1786503	JW0303	1070	EB0107	556	"Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	61877,59
EG10110	betB	P17445	g1786504	JW0304	1072	EB0108	490	"Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric"	52911,13
EG10111	betI	P17446	g1786505	JW0305	1076	EB0109	195	"Repressor for the betIBA betT divergon, choline-sensing; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	21815,01
EG10112	betT	P0ABC9	g1786506	JW0306	1080	EB0110	677	"High-affinity choline transporter; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	75842,19
EG10113	bfr	P0ABD3	g1789733	JW3298	10903	EB0111	158	"Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer"	18495,03
EG10114	bglB	P11988	g2367270	JW3699	12169	EB0112	470	"Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated"	53161,28
EG10115	bglF	P08722	g1790159	JW3700	12171	EB0113	625	"PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG"	66482,97
EG10116	bglG	P11989	g1790160	JW3701	12174	EB0114	278	"Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase"	32097,14
EG10117	bioA	P12995	g1786991	JW0757	2635	EB0115	429	7,8-diaminopelargonic acid aminotransferase	47335,59
EG10118	bioB	P12996	g1786992	JW0758	2644	EB0116	346	"Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme"	38648,09
EG10119	bioC	P12999	g1786994	JW0760	2648	EB0117	251	"Biotin synthesis blocked prior to pimeloyl CoA formation; putative SAM-dependent methyltransferase"	28276,2
EG10120	bioD	P13000	g1786995	JW0761	2650	EB0118	225	Dethiobiotin synthase	24139,59
EG10121	bioF	P12998	g1786993	JW0759	2646	EB0119	384	7-keto-8-amino pelargonic acid synthase	41594,26
EG10122	bioH	P13001	g1789817	JW3375	11136	EB0120	256	"Short acyl chain carboxylesterase, biotin synthesis; binds CoA; blocked prior to pimeloyl CoA formation"	28505,01
EG10123	birA	P06709	g1790408	JW3941	13001	EB0121	321	"Bifunctional biotin protein ligase, biotin operon repressor; biotin-[acetyl-CoA carboxylase] holoenzyme synthase; monomeric"	35312
EG10124	bisC	P20099	g87082288	JW5940	11597	EB0122	777	"Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic"	85850,66
EG10125	bolA	P0ABE2	g87081740	JW5060	1508	EB0123	105	"Transcriptional repressor for mreB, morphogene; shape determinant; overexpression produces osmotically stable spherical cells; FtsZ dependent; induced by AI-2 pheromone"	11993,68
EG10126	btuB	P06129	g1790405	JW3938	12987	EB0124	614	"B12 uptake, outer membrane receptor; receptor for E colicins, phages BF23 and C1"	68407,15
EG10127	btuC	P06609	g1788004	JW1701	5712	EB0125	326	B12 uptake, ABC transporter permease	34949,29
EG10128	btuD	P06611	g1788002	JW1699	5707	EB0126	249	B12 uptake, ABC transporter ATPase	27081,18
EG10129	btuE	P06610	g1788003	JW1700	5709	EB0127	183	Non-essential for vitamin B12 transport	20469,56
EG10130	btuR	P0A9H5	g1787525	JW1262	4261	EB0128	196	Regulatory gene affecting btuB	21998,89
EG10131	cadA	P0A9H3	g1790573	JW4092	13526	EB0129	715	"Lysine decarboxylase, acid-inducible; decameric"	81260,12
EG10132	cadB	P0AAE8	g1790575	JW4093	13530	EB0130	444	Lysine-cadaverine antiporter	46665,03
EG10133	cadC	P23890	g1790576	JW4094	13532	EB0131	512	"Transcriptional activator for cadBA, low external pH-, low oxygen-, excess lysine-responsive; homodimeric"	57812,95
EG10134	carA	P0A6F1	g1786215	JW0030	118	EB0132	382	"Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers"	41431,01
EG10135	carB	P00968	g1786216	JW0031	121	EB0133	1073	"Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers"	117841,72
EG10136	cca	P06961	g1789436	JW3028	10031	EB0134	412	tRNA nucleotidyltransferase, repairs terminal CCA of tRNAs	46467,17
EG10137	cdd	P0ABF6	g1788465	JW2131	7086	EB0135	294	"Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)"	31539,87
EG10138	cdh	P06282	g1790352	JW3889	12797	EB0136	251	"CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities"	28450,76
EG10139	cdsA	P0ABG1	g87081696	JW5810	600	EB0137	285	"CDP-diglyceride synthase, integral membrane protein with eight transmembrane helices; also known as phosphatidate cytidylyltransferase"	31453,78
EG10140	chbB	P69795	g1788034	JW1727	5797	EB0138	106	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system	11426,54
EG10141	chbC	P17334	g1788032	JW1726	5795	EB0139	452	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization	48332,23
EG10142	chbA	P69791	g1788031	JW1725	5792	EB0140	116	"PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric"	12747,76
EG10143	chbR	P17410	g1788030	JW1724	5790	EB0141	280	"Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family "	32967,62
EG10144	chbF	P17411	g1788029	JW1723	5785	EB0142	450	"N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides"	50512,5
EG10145	creD	P08369	g1790862	JW4363	14432	EB0143	450	Colicin E2 tolerance	49829,82
EG10146	cheA	P07363	g1788197	JW1877	6294	EB0144	654	"Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating; CheAS is a short form produced by an internal start at codon 98"	71382,39
EG10147	cheB	P07330	g1788192	JW1872	6284	EB0145	349	"Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates"	37467,72
EG10148	cheR	P07364	g1788193	JW1873	6286	EB0146	286	"Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters"	32849,44
EG10149	cheW	P0A964	g1788196	JW1876	6292	EB0147	167	"Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB"	18083,8
EG10150	cheY	P0AE67	g1788191	JW1871	6280	EB0148	129	"Response regulator for chemotactic signal transduction; CheA is the cognate sensor protein"	14097,37
EG10151	cheZ	P0A9H9	g1788190	JW1870	6278	EB0149	214	CheY-P phosphatase	23976,03
EG10152	modC	P09833	g1786981	JW0748	2605	EB0150	352	"Molybdate uptake; chlorate resistance"	39102,43
EG10153	moeA	P12281	g1787049	JW0811	2823	EB0151	411	"Molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance"	44067,27
EG10154	moeB	P12282	g1787048	JW0810	2820	EB0152	249	"Molybdopterin-synthase sulfurylase; probable adenylation/thiocarboxylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme"	26718,83
EG10155	cirA	P17315	g1788478	JW2142	7126	EB0153	663	Colicin I receptor	73895,73
EG10156	clpA	P0ABH9	g1787109	JW0866	3001	EB0154	758	"ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone"	84206,93
EG10157	clpB	P63284	g1788943	JW2573	8527	EB0155	857	"ATP-dependent protease and chaperone; protein disaggregation chaperone; role in de novo protein folding under mild stress conditions"	95585,02
EG10158	clpP	P0A6G7	g1786641	JW0427	1515	EB0156	207	"Proteolytic subunit of ClpXP and ClpAP ATP-dependent proteases; protease Ti"	23186,65
EG10159	clpX	P0A6H1	g1786642	JW0428	1517	EB0157	424	"ATPase subunit of ClpXP protease; ClpXP degrades ssrA-tagged proteins; molecular chaperone"	46356,01
EG10160	cpdB	P08331	g1790658	JW4171	13782	EB0158	647	2',3'-cyclic nucleotide 2'-phosphodiesterase, periplasmic	70832,19
EG10161	cpsB	P24174	g1788362	JW2034	6791	EB0159	478	"Colanic acid (CPS) biosynthesis; mannose 1-P guanyltransferase synthesis"	53016,29
EG10162	cpsG	P24175	g1788361	JW2033	6788	EB0160	456	"Phosphomannomutase isozyme; colanic acid biosynthesis synthesis"	50462,58
EG10163	cpxA	P0AE82	g1790346	JW3882	12772	EB0161	457	"Histidine protein kinase, periplasmic stress sensor; inner membrane protein; CpxR is the two-component cognate response regulator; Kan-R, phage Q resistant; L-serine growth"	51624,25
EG10164	crp	P0ACJ8	g1789756	JW5702	10970	EB0162	210	cAMP receptor protein	23640,43
EG10165	crr	P69783	g1788757	JW2410	7971	EB0163	169	"PTS Enzyme IIAGlc, phosphocarrier for glucose transport; negative control of rpoS"	18251,07
EG10166	cspA	P0A9X9	g1789979	JW3525	11616	EB0164	70	"Cold-inducible RNA chaperone and anti-terminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA"	7403,28
EG10167	cstA	P15078	g1786814	JW0590	2061	EB0165	701	Starvation-induced protein involved in peptide utilization during carbon starvation	75105,24
EG10168	lnt	P23930	g1786878	JW0654	2250	EB0166	512	"Apolipoprotein N-acetyltransferase; copper sensitivity"	57065,82
EG10169	cvpA	P08550	g1788652	JW2310	7633	EB0167	162	"Affects Col V production; member of purF operon"	17907,01
EG10170	cyaA	P00936	g1790238	JW3778	12432	EB0168	848	Adenylate cyclase	97586,01
EG10172	cybB	P0ABE5	g87081903	JW5224	4733	EB0169	176	Cytochrome b561	20286,42
EG10173	cydA	P0ABJ9	g87081779	JW0722	2499	EB0170	522	"Cytochrome d (bd-I) terminal oxidase subunit I; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr"	58205,08
EG10174	cydB	P0ABK2	g1786954	JW0723	2501	EB0171	379	"Cytochrome d (bd-I) terminal oxidase subunit II; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr"	42453,12
EG10175	cynS	P00816	g1786535	JW0331	1173	EB0172	156	Cyanate aminohydrolase	17048,84
EG10176	cynT	P0ABE9	g1786534	JW0330	1171	EB0173	219	Carbonic anhydrase, beta class	23764,26
EG10177	cynX	P17583	g1786536	JW0332	1175	EB0174	384	Putative transporter, function unknown, cyn operon	41360,7
EG10178	cyoA	P0ABJ1	g1786635	JW0422	1495	EB0175	315	"Cytochrome o oxidase subunit II, lipoprotein; also called cytochrome bo(3) ubiquinol oxidase subunit II"	34911,3
EG10179	cyoB	P0ABI8	g1786634	JW0421	1493	EB0176	663	"Cytochrome o oxidase subunit I; cytochrome bo(3) ubiquinol oxidase subunit I"	74367,91
EG10180	cyoC	P0ABJ3	g1786633	JW0420	1491	EB0177	204	"Cytochrome o oxidase subunit III; cytochrome bo(3) ubiquinol oxidase subunit III"	22622,62
EG10181	cyoD	P0ABJ6	g1786632	JW0419	1487	EB0178	109	"Cytochrome o oxidase subunit IV; cytochrome bo(3) ubiquinol oxidase subunit IV"	12029,45
EG10182	cyoE	P0AEA5	g1786631	JW0418	1484	EB0179	296	Cytochrome o oxidase subunit, protoheme IX farnesyltransferase	32248,5
EG10183	cysA	P16676	g1788761	JW2415	7986	EB0180	365	Sulfate permease, chromate resistance	41058,92
EG10184	cysB	P0A9F3	g1787530	JW1267	4279	EB0181	324	"Positive regulator for Cys regulon, acetylserine inducer; downregulates ssuEADCB; cysteine desulfhydrase"	36150,47
EG10185	cysC	P0A6J1	g1789107	JW2720	9023	EB0182	201	Adenylylsulfate kinase, APS kinase	22321,31
EG10186	cysD	P21156	g1789109	JW2722	9029	EB0183	302	Sulfate adenylyltransferase	35188,31
EG10187	cysE	P0A9D4	g1790035	JW3582	11793	EB0184	273	"Cysteine synthase, serine acetyltransferase (SAT); first step in cysteine synthesis; feedback inhibited by cysteine.hexameric"	29316,64
EG10188	cysG	P0AEA8	g1789768	JW3331	11010	EB0185	457	"Siroheme synthase, multifunctional enzyme; has three activities: uroporphyrinogen III methyltransferase, SAM-dependent; precorrin-2 dehydrogenase; sirohydrochlorin ferrochelatase"	49951,4
EG10189	cysH	P17854	g1789121	JW2732	9057	EB0186	244	Phosphoadenylyl sulfate (PAPS) reductase	27975,83
EG10190	cysI	P17846	g1789122	JW2733	9061	EB0187	570	"Sulfite reductase [NADPH] hemoprotein beta-component; has 4Fe-4S iron-sulfur center"	63998,12
