Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
C4ZRS7	accA BWG_0177	accA		BWG_0177	ACCA_ECOBW	Cytoplasm. 	Inferred from homology	AccA family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	"GO:0005524; GO:0003989; GO:0009317; GO:0006633"	"ATP-binding; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding"	319
B1XD54	accA ECDH10B_0165	accA		ECDH10B_0165	ACCA_ECODH	Cytoplasm. 	Inferred from homology	AccA family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	"GO:0005524; GO:0003989; GO:0009317; GO:0006633"	"ATP-binding; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding"	319
P0ABD5	accA b0185 JW0180	accA		b0185 JW0180	ACCA_ECOLI	Cytoplasm. 	Evidence at protein level	AccA family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	"GO:0005524; GO:0009329; GO:0003989; GO:0006633; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; Direct protein sequencing; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding"	319
P24182	accC fabG b3256 JW3224	accC	fabG	b3256 JW3224	ACCC_ECOLI		Evidence at protein level		Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	"GO:0005524; GO:0003989; GO:0009374; GO:0004075; GO:0006633; GO:0045717"	"3D-structure; ATP-binding; Biotin; Complete proteome; Direct protein sequencing; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding"	449
B1X927	accD ECDH10B_2478	accD		ECDH10B_2478	ACCD_ECODH	Cytoplasm. 	Inferred from homology	AccD/PCCB family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	"GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:0046872"	"ATP-binding; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Ligase; Lipid synthesis; Metal-binding; Nucleotide-binding; Zinc; Zinc-finger"	304
P0A9Q5	accD dedB usg b2316 JW2313	accD	dedB usg	b2316 JW2313	ACCD_ECOLI	Cytoplasm. 	Evidence at protein level	AccD/PCCB family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	"GO:0005524; GO:0003677; GO:0009329; GO:0003989; GO:0005829; GO:0006633; GO:0003729; GO:0017148; GO:0005515; GO:0008270"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Ligase; Lipid synthesis; Metal-binding; Nucleotide-binding; RNA-binding; Translation regulation; Zinc; Zinc-finger"	304
C4ZTB5	mhpF BWG_0240	mhpF		BWG_0240	ACDH_ECOBW		Inferred from homology	Acetaldehyde dehydrogenase family	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	"GO:0051287; GO:0008774; GO:0019439; GO:0006520; GO:0005737; GO:0055114"	"Aromatic hydrocarbons catabolism; Complete proteome; NAD; Oxidoreductase"	316
P77580	mhpF mhpE b0351 JW0342	mhpF	mhpE	b0351 JW0342	ACDH_ECOLI		Evidence at protein level	Acetaldehyde dehydrogenase family	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	"GO:0051287; GO:0008774; GO:0019439; GO:0006520; GO:0005737; GO:0055114; GO:0005515"	"Aromatic hydrocarbons catabolism; Complete proteome; NAD; Oxidoreductase"	316
P0A9G6	aceA icl b4015 JW3975	aceA	icl	b4015 JW3975	ACEA_ECOLI	Cytoplasm. 	Evidence at protein level	Isocitrate lyase/PEP mutase superfamily, Isocitrate lyase family	Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1)	"GO:0005737; GO:0006097; GO:0004451; GO:0006099"	"3D-structure; Complete proteome; Cytoplasm; Glyoxylate bypass; Lyase; Phosphoprotein; Tricarboxylic acid cycle"	434
C5A0V3	aceK BWG_3672	aceK		BWG_3672	ACEK_ECOBW	Cytoplasm. 	Inferred from homology	AceK family	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	"GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0004721; GO:0006099"	"ATP-binding; Complete proteome; Cytoplasm; Glyoxylate bypass; Hydrolase; Kinase; Nucleotide-binding; Protein phosphatase; Transferase; Tricarboxylic acid cycle"	578
B1XC15	aceK ECDH10B_4205	aceK		ECDH10B_4205	ACEK_ECODH	Cytoplasm. 	Inferred from homology	AceK family	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	"GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0004721; GO:0006099"	"ATP-binding; Complete proteome; Cytoplasm; Glyoxylate bypass; Hydrolase; Kinase; NADP; Nucleotide-binding; Protein phosphatase; Transferase; Tricarboxylic acid cycle"	578
P11071	aceK b4016 JW3976	aceK		b4016 JW3976	ACEK_ECOLI	Cytoplasm. 	Evidence at protein level	AceK family	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	"GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0018105; GO:0004674; GO:0004722; GO:0050790; GO:0006099"	"ATP-binding; Complete proteome; Cytoplasm; Direct protein sequencing; Glyoxylate bypass; Hydrolase; Kinase; NADP; Nucleotide-binding; Protein phosphatase; Transferase; Tricarboxylic acid cycle"	578
Q46837	yghJ b4466 JW5925 ECK2968	yghJ		b4466 JW5925	ACFD_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Putative lipoprotein AcfD homolog	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	1520
P0A6A3	ackA ack b2296 JW2293	ackA	ack	b2296 JW2293	ACKA_ECOLI	Cytoplasm. 	Evidence at protein level	Acetokinase family	Acetate kinase (EC 2.7.2.1) (Acetokinase)	"GO:0005524; GO:0008776; GO:0005829; GO:0016020; GO:0006082; GO:0008270"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; Direct protein sequencing; Kinase; Nucleotide-binding; Transferase"	400
P25516	acnA acn b1276 JW1268	acnA	acn	b1276 JW1268	ACON1_ECOLI		Evidence at protein level	Aconitase/IPM isomerase family	Aconitate hydratase 1 (Aconitase 1) (EC 4.2.1.3) (Citrate hydro-lyase 1)	"GO:0051539; GO:0003994; GO:0009061; GO:0005737; GO:0005506; GO:0003730; GO:0005515; GO:0043556; GO:0006099"	"4Fe-4S; Complete proteome; Direct protein sequencing; Iron; Iron-sulfur; Lyase; Metal-binding; Tricarboxylic acid cycle"	891
P36683	acnB yacI yacJ b0118 JW0114	acnB	yacI yacJ	b0118 JW0114	ACON2_ECOLI		Evidence at protein level	Aconitase/IPM isomerase family	Aconitate hydratase 2 (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	"GO:0047456; GO:0051539; GO:0003994; GO:0003730; GO:0046872; GO:0019629; GO:0005515; GO:0006417; GO:0006099"	"3D-structure; 4Fe-4S; Complete proteome; Direct protein sequencing; Iron; Iron-sulfur; Lyase; Metal-binding; Tricarboxylic acid cycle"	865
C4ZTG1	acpH BWG_0286	acpH		BWG_0286	ACPH_ECOBW		Inferred from homology	AcpH family	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	"GO:0008770; GO:0006633"	"Complete proteome; Fatty acid biosynthesis; Hydrolase; Lipid synthesis"	193
B1XEZ2	acpH ECDH10B_0360	acpH		ECDH10B_0360	ACPH_ECODH		Inferred from homology	AcpH family	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	"GO:0008770; GO:0006633"	"Complete proteome; Fatty acid biosynthesis; Hydrolase; Lipid synthesis"	193
P21515	acpH yajB b0404 JW0394	acpH	yajB	b0404 JW0394	ACPH_ECOLI		Inferred from homology	AcpH family	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	"GO:0008770; GO:0006633"	"Complete proteome; Fatty acid biosynthesis; Hydrolase; Lipid synthesis"	193
C4ZYI6	acpS BWG_2327	acpS		BWG_2327	ACPS_ECOBW	Cytoplasm. 	Inferred from homology	P-Pant transferase superfamily, AcpS family	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	"GO:0005737; GO:0006633; GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Magnesium; Metal-binding; Transferase"	126
P24224	acpS dpj b2563 JW2547	acpS	dpj	b2563 JW2547	ACPS_ECOLI	Cytoplasm. 	Evidence at protein level	P-Pant transferase superfamily, AcpS family	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	"GO:0005737; GO:0006633; GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Cytoplasm; Direct protein sequencing; Fatty acid biosynthesis; Lipid synthesis; Magnesium; Metal-binding; Transferase"	126
