Accession	Biological Process (Uniprot)
B1XDM4	cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation
C4ZRR4	translation
C4ZQJ1	DNA repair|SOS response|response to DNA damage stimulus
P0AEJ0	response to antibiotic|transport
B1XF05	phosphorylation
B1X9U8	xylan catabolic process
P76350	transport
B1XBA6	phosphorylation
P22106	cellular amino acid biosynthetic process|glutamine metabolic process|asparagine biosynthetic process
P0A8I8	methylation|rRNA methylation|rRNA processing
B1XDR8	phosphorylation
P0AFF2	transport
C4ZYR9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P45759	transport
C4ZU35	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P22707	regulation of transcription, DNA-dependent|conjugation|transcription, DNA-dependent
B1XDD4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQN9	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C5A191	transport
P08368	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P69222	translational initiation|translation
P06961	tRNA processing|RNA repair|metabolic process
P09831	oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process
P39176	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P75913	oxidation-reduction process
P0AE39	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZUN9	translation
P23871	heme biosynthetic process|porphyrin biosynthetic process
C4ZSL9	oxidation-reduction process
B1XBB2	fructose metabolic process
P45428	transport
P38683	transport
C4ZQ93	methylation|rRNA processing
B1XGG0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZXC7	oxidation-reduction process|oxygen transport|transport
P00370	oxidation-reduction process
P39356	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37666	oxidation-reduction process|D-gluconate metabolic process
C4ZPY4	DNA replication
P06149	oxidation-reduction process
P77228	transport
C4ZUX4	translation
B1X927	lipid biosynthetic process|fatty acid biosynthetic process
B1XCR2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P60995	cellular amino acid biosynthetic process|histidine biosynthetic process
C4ZZ69	porphyrin biosynthetic process
C4ZRM4	pantothenate biosynthetic process
P0ADL1	transport
C4ZXT6	transport
C5A1F8	phosphorylation
B1X840	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76552	transport
B1XAM1	barrier septum formation
P0A8H3	transport|zinc ion transport|ion transport
B1XEC7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZ15	transport|proton transport|ion transport|ATP biosynthetic process
P56256	transport|electron transport chain
P33643	rRNA processing
C4ZYI8	DNA repair|response to DNA damage stimulus|DNA recombination
B1XCL4	transport
C4ZX89	translation
B1X854	transport|lipid transport
P32714	response to antibiotic
P0AED9	methylation|DNA restriction-modification system
P75925	transport|electron transport chain
C4ZWR8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P06626	regulation of transcription, DNA-dependent|conjugation|transcription, DNA-dependent
P39360	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZSU7	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XGJ3	oxidation-reduction process|hydrogen peroxide catabolic process
C5A0K7	spermidine biosynthetic process|polyamine biosynthetic process|putrescine biosynthetic process
P57998	transposition|DNA recombination
B1XFX1	methylation
P32156	carbohydrate metabolic process|rhamnose metabolic process
P0A8F4	phosphorylation
P69434	transport
P69346	negative regulation of transcription, DNA-dependent|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P76472	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
P52696	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77377	lipopolysaccharide biosynthetic process
B1XDL7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVU7	phosphorylation
P22333	nucleotide metabolic process
B1XEP3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XC59	methylation|rRNA processing
B1X798	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P39452	oxidation-reduction process|DNA replication|metabolic process
P00888	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
C4ZS35	lipid biosynthetic process|fatty acid biosynthetic process
P0A6P1	translational elongation|translation
B1X622	transport|protein secretion|protein transport|transmembrane transport
P36554	transport
B1XA82	DNA repair|response to DNA damage stimulus|DNA replication
B1XBC2	cellular amino acid biosynthetic process|arginine biosynthetic process
C4ZWW0	oxidation-reduction process
P0ABR5	oxidation-reduction process|aromatic compound catabolic process
B1XBW9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ADI4	enterobactin biosynthetic process
P0CF49	transposition|DNA recombination
P16678	transport|phosphonate transport
P77432	phosphorylation
P11880	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P30014	tRNA processing
P37127	oxidation-reduction process
P75794	oxidation-reduction process
B1XBQ8	methylation
P69425	transport|protein transport|transmembrane transport
C4ZYT4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P09130	conjugation
B1XF67	oxidation-reduction process
P04993	DNA repair|response to DNA damage stimulus
P0CF82	transposition|DNA recombination
P25437	oxidation-reduction process
B1XEZ7	transport|protein transport|transmembrane transport
B1X7H3	transport
P0A6J3	cellular amino acid biosynthetic process|transport|cysteine biosynthetic process
B1X833	translation
P0A7E5	glutamine metabolic process|pyrimidine nucleotide biosynthetic process
C4ZZW1	methylation|rRNA processing
B1XAH7	chromosome segregation|DNA integration|cell cycle|cell division|DNA recombination
P60584	oxidation-reduction process
B1XGV3	carbohydrate metabolic process
P0ABF1	plasmid maintenance|mRNA processing|transcription, DNA-dependent
P76440	oxidation-reduction process
P45543	phosphorylation
C5A0T8	porphyrin biosynthetic process
P0AFS3	oxidation-reduction process|one-carbon metabolic process
B1XAE8	purine nucleotide biosynthetic process
B1XEX1	response to stress
B1X8W9	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
C4ZQS7	transport|protein transport
C4ZRU5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A7X6	ribosome biogenesis
B1XDU2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBT0	ribosome biogenesis
P0AAL0	transport|electron transport chain
P0AF90	regulation of endoribonuclease activity
P76658	lipopolysaccharide biosynthetic process|carbohydrate metabolic process|metabolic process|phosphorylation
P0A964	chemotaxis
P15993	amino acid transport|transport
P0A7B8	metabolic process|response to stress
B1X648	transport
B1XG03	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTU1	phospholipid biosynthetic process
P75936	flagellum organization
P77601	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZA4	arginine metabolic process
P0AGC0	carbohydrate transport|transport
B1XEU0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AGB0	cellular amino acid biosynthetic process|L-serine biosynthetic process
P27837	amino acid transport|transport
C4ZT04	transport
C4ZUP6	transport
P0AA25	transport|electron transport chain|interspecies interaction between organisms
P0ACQ0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46820	oxidation-reduction process
P0AFS9	cellular cell wall organization
C4ZRL1	tricarboxylic acid cycle
P15770	oxidation-reduction process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P0ACH5	response to antibiotic|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XD72	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P36995	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
P76182	transport|electron transport chain
B1XDP4	lysine biosynthetic process
P0A722	lipid A biosynthetic process|lipid biosynthetic process
C4ZYG5	phosphorylation
B1X7R5	transport
B1XB32	glutamine metabolic process|purine nucleotide biosynthetic process
P31825	tRNA processing|methylation
B1X7A8	biotin biosynthetic process
B1X6E0	methylation|translation
P0CF79	transposition|DNA recombination
P0A953	lipid biosynthetic process|fatty acid biosynthetic process
C4ZZL4	transport
P0ABL1	transport|electron transport chain
B1XC79	coenzyme A biosynthetic process|phosphorylation
C4ZXQ4	transport
C4ZZ05	transport
B1XEW0	porphyrin biosynthetic process
C4ZQD8	oxidation-reduction process
P31463	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAX6	polyphosphate biosynthetic process|phosphorylation
B1X701	nucleotide metabolic process
P09557	cell cycle|cell division
P75817	methylation|rRNA processing
Q47274	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination
B1XCV6	oxidation-reduction process|transport|electron transport chain
B1XD91	DNA repair|response to DNA damage stimulus|DNA replication|DNA-dependent DNA replication
B1X7J5	thiamine biosynthetic process|phosphorylation
B1XAR8	oxidation-reduction process
P11349	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
C4ZT81	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZRJ0	barrier septum formation|cell cycle|cell division
C4ZYF7	oxidation-reduction process
P0CE49	transposition|DNA recombination
P75970	DNA recombination
C4ZQ24	transport
C5A040	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X652	lipoprotein biosynthetic process
P0A9G2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZRI3	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P0A7F9	queuosine biosynthetic process
P0A8D0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGY9	methylation|rRNA processing
P0AAH8	transport|protein transport|peptide transport
P30745	Mo-molybdopterin cofactor biosynthetic process
B1XE77	transport
B1XBX8	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XGN8	oxidation-reduction process
P69791	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
B1X8E4	phosphorylation
P37672	oxidation-reduction process
C4ZX71	DNA replication
Q06067	two-component signal transduction system (phosphorelay)|phosphorylation
B1XFL8	oxidation-reduction process
P00894	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
P04395	DNA repair|response to DNA damage stimulus
P0ACA3	response to stress
C4ZU17	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
C4ZXG0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY93	transport|electron transport chain
P03024	galactose metabolic process|regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
B1XC95	spermidine biosynthetic process|polyamine biosynthetic process
P77579	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
C5A0V6	methylation
P46133	amino acid transport|transport
B1XBE5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P02920	carbohydrate transport|transport
P69776	lipid modification
B1X919	transport
B1X764	regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
B1XFC3	metabolic process|cellular cell wall organization
B1XG61	tRNA processing|RNA repair|metabolic process
P0ABC9	transport|response to stress
D0VEZ0	lipid biosynthetic process|fatty acid biosynthetic process
P0A9P4	oxidation-reduction process
P0ACR9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A6Q6	lipid A biosynthetic process|lipid biosynthetic process
C5A159	transport
Q9JMT8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAQ3	methylation
P36672	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XEG3	phosphorylation
C5A093	glycerol metabolic process|phosphorylation
C4ZUY7	transport
P05719	DNA restriction-modification system
C4ZSM0	oxidation-reduction process|tRNA processing
C4ZPX9	protein folding
C4ZT71	DNA repair|response to DNA damage stimulus
B1XF11	thiamine biosynthetic process
B1XFV2	carbohydrate metabolic process|phosphorylation
P37685	oxidation-reduction process
C4ZVX7	oxidation-reduction process
C5A1B7	two-component signal transduction system (phosphorelay)|phosphorylation
P06974	chemotaxis|ciliary or flagellar motility
B1X829	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZRA5	carbohydrate transport|transport
P45769	amino acid transport|transport
P63177	methylation|rRNA processing
B1XB17	oxidation-reduction process|aromatic compound catabolic process
C4ZVC3	oxidation-reduction process
P77733	transport
B1X6H8	transport
B1XB93	transport
B1X9V5	transport
C4ZXC1	carbohydrate transport|transport
P25747	transport
C4ZQY5	DNA repair|metabolic process|response to DNA damage stimulus
P08244	pyrimidine nucleotide biosynthetic process
B1XD28	cobalamin transport
P06999	glycolysis|phosphorylation
B1X7R9	transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XG64	phospholipid biosynthetic process
P0AFA9	transport|nickel ion transport
P07648	DNA repair|response to DNA damage stimulus
B1XHD4	translation
P11875	translation
B1XGD0	transport
B1X6W2	cellular amino acid biosynthetic process|histidine biosynthetic process
P77589	transport
B1XA36	transport
P77790	cellular cell wall organization
C4ZSQ7	tRNA processing|tRNA pseudouridine synthesis
P31545	oxidation-reduction process
B1XCS1	tRNA processing
C4ZSW3	carbohydrate metabolic process
C4ZZM6	oxidation-reduction process
B1X8Y9	oxidation-reduction process
P0AB87	fucose metabolic process|carbohydrate metabolic process
P64594	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AGF6	metabolic process
P18776	transport|electron transport chain
C5A075	carbohydrate transport|transport
P77182	oxidation-reduction process|tRNA processing|methylation|metabolic process
P0ADS2	barrier septum formation|cell cycle|cell division
C4ZQ84	DNA repair|barrier septum formation|SOS response|cell cycle|cell division|response to DNA damage stimulus
C4ZXH9	oxidation-reduction process
P19767	transposition|DNA recombination
P09126	porphyrin biosynthetic process
P0ABX8	chemotaxis|ciliary or flagellar motility
P0A7G6	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus|response to stress
D0VEX6	oxidation-reduction process|glycerol-3-phosphate biosynthetic process|phospholipid biosynthetic process
C4ZRF5	transcription, DNA-dependent|regulation of transcription, DNA-dependent
P0A769	transport
B1XFQ6	purine ribonucleoside salvage
B1X8P4	transport
B1X6Z6	phosphorylation
P0CF69	transposition|DNA recombination
Q6BEX0	transport
B1X8F6	transport
P07330	chemotaxis
P0AGH8	transport|phosphate transport
P30136	thiamine biosynthetic process
B1X824	translational initiation
B1XG72	transcription, DNA-dependent|regulation of transcription, DNA-dependent
C4ZY62	transport
B1XEM5	pyrimidine nucleotide biosynthetic process
C4ZXG6	oxidation-reduction process
C4ZRA4	carbohydrate transport|transport
C4ZZQ4	phosphorylation
C4ZT12	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P25524	cytosine metabolic process
P0A6X7	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
P0A8V0	tRNA processing
P0A9F3	cellular amino acid biosynthetic process|cysteine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P25748	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XCS6	phosphorylation
P25740	lipopolysaccharide biosynthetic process
P46853	oxidation-reduction process
B1X7B1	Mo-molybdopterin cofactor biosynthetic process
P24202	DNA restriction-modification system
C4ZU10	phosphorylation
B1XD23	transport
C4ZU52	negative regulation of peptidase activity
P77716	transport
C4ZR71	transport
C4ZUD2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZX9	nucleotide biosynthetic process|methylation
P38051	menaquinone biosynthetic process
P0AFB5	nitrogen fixation|two-component signal transduction system (phosphorelay)|phosphorylation
P0CF61	transposition|DNA recombination
P31452	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P77269	transport
B1XEL0	oxidation-reduction process|pyridoxine biosynthetic process
C4ZPS8	cellular amino acid biosynthetic process|threonine biosynthetic process
P36673	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A9D8	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P09029	purine nucleotide biosynthetic process
P37661	lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
P0AFH0	DNA repair|methylation|response to DNA damage stimulus
C5A0B9	transport
C4ZTR5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ACK2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZW05	transport
P76343	transport|electron transport chain
C4ZTZ6	oxidation-reduction process
P32675	oxidation-reduction process|carbohydrate metabolic process|glucose metabolic process
P0A9K7	transport|phosphate transport
P15069	conjugation
P76114	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7E2	oxidation-reduction process|cellular iron ion homeostasis|chromosome condensation
C4ZSV5	transport
P42596	methylation|rRNA processing
B1XDY5	cellular amino acid biosynthetic process|proline biosynthetic process|phosphorylation
B1X8N3	transport|ion transport
B1XEJ6	barrier septum formation|cell cycle|cell division
C5A0U4	phosphorylation
P38489	oxidation-reduction process
P0A8S1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CF57	transposition|DNA recombination
P36678	transport
B1X864	phosphorylation
P0AAE2	amino acid transport|transport
C4ZSJ8	translation
C4ZZA3	arginine metabolic process
B1X732	carbohydrate metabolic process
C5A0N2	metabolic process|cellular cell wall organization
P0A6B7	tRNA processing
B1XGY0	translational initiation|translation
B1X676	transport
B1X6C1	transport|electron transport chain
C4ZYW0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76268	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0I2	barrier septum formation|cell cycle|cell division
C4ZUL1	phosphorylation
B1XEX0	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XAL0	translational elongation
C4ZZ33	transport
P75680	transposition
B1XGI4	phosphorylation
P76503	fatty acid metabolic process|lipid catabolic process|lipid metabolic process
B1XEZ4	tRNA processing|queuosine biosynthetic process
P08506	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P0ACL7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X6V9	cellular amino acid biosynthetic process|histidine biosynthetic process|metabolic process
C4ZQQ6	phosphorylation
B1X9D5	oxidation-reduction process
P75942	flagellum organization|cellular cell wall organization|metabolic process
B1XF09	isoprenoid biosynthetic process
P0AFA2	nitrate assimilation|two-component signal transduction system (phosphorelay)|phosphorylation
P76082	fatty acid metabolic process|lipid metabolic process
P37765	rRNA processing
C4ZPW8	transport|electron transport chain
B1XGV6	transport
P0A7S3	response to antibiotic
P32719	cellular carbohydrate metabolic process|carbohydrate metabolic process
P0AE37	arginine metabolic process|response to stress
C4ZQC3	two-component signal transduction system (phosphorelay)
P0AEX5	phosphorylation
B1XF76	tricarboxylic acid cycle
C4ZU76	oxidation-reduction process|DNA replication
P77682	transport
B1X6K0	transport|potassium ion transport|ion transport
B1X6L3	translation
P69054	transport|electron transport chain|tricarboxylic acid cycle
P0AB18	tRNA processing
P25666	lipopolysaccharide biosynthetic process
P00956	response to antibiotic|translation
C4ZQF5	methylation
D0VEY8	phospholipid biosynthetic process
P69937	transport
P0A6D3	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P07913	oxidation-reduction process
P0AB85	thiamine biosynthetic process
B1XCF7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XB39	DNA repair|response to DNA damage stimulus|DNA recombination
P0A873	tRNA processing|methylation
C4ZVV7	oxidation-reduction process
P0A9T6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZ04	transport
B1XFA4	one-carbon metabolic process
B1X9C8	oxidation-reduction process
P38101	amino acid transport|transport
P23256	cellular amino acid biosynthetic process|methionine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYK3	DNA repair|metabolic process|response to DNA damage stimulus
P0C054	response to stress
P37349	glycerol metabolic process|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0A9E2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZR43	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A812	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
P37013	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76055	tRNA processing
B1XEB7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q47155	DNA repair|response to DNA damage stimulus|DNA replication
P17952	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P0A6K1	cellular amino acid biosynthetic process|lysine biosynthetic process
B1X8D8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P16683	transport|phosphonate transport
C4ZZ81	phosphorylation
P18200	phospholipid catabolic process
Q9S4X2	methylation
P19319	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
C4ZXS1	pyridine nucleotide biosynthetic process
P0A884	nucleotide biosynthetic process|methylation|regulation of translation
P16429	oxidation-reduction process
P58042	cytolysis|cell wall macromolecule catabolic process
P76251	oxidation-reduction process|malate metabolic process
C4ZUC9	oxidation-reduction process|photosynthesis, light reaction|transport|metabolic process
B1XA83	barrier septum formation|cell cycle|cell division
P77179	transport|electron transport chain
C4ZU24	transport
C4ZX53	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P30139	thiamine biosynthetic process
B1X604	oxidation-reduction process
C5A196	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X771	oxidation-reduction process
P33221	purine nucleotide biosynthetic process
B1XEH6	isoprenoid biosynthetic process
B1XDI9	glycolysis
P0A7A5	methylation
P0C077	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
B1XAT9	phospholipid biosynthetic process
P37338	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P41066	conjugation
P37197	oxidation-reduction process|transport|electron transport chain
P0ABS5	DNA replication, synthesis of RNA primer|transcription, DNA-dependent|DNA replication
P0CF26	transposition|DNA recombination
B1X6R8	transport|protein transport
B1XCM5	translation
P0AF20	regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
B1XET9	transport
P16687	phosphonate transport
C4ZQE5	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
C4ZTP9	isoprenoid biosynthetic process|phosphorylation
C5A1A8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P00864	carbon fixation|metabolic process
P39838	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZXJ1	oxidation-reduction process
P62558	plasmid partitioning
P39451	oxidation-reduction process
P0A6F3	glycerol metabolic process|phosphorylation
B1XFN8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A6L4	carbohydrate metabolic process
C4ZXB6	oxidation-reduction process|aromatic compound catabolic process
B1X748	response to stress
C4ZT26	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A170	transport
P23847	chemotaxis|transport|protein transport|peptide transport
B1X9Y0	transport
P00562	oxidation-reduction process|cellular amino acid biosynthetic process|methionine biosynthetic process|metabolic process|phosphorylation
B1XCQ0	oxidation-reduction process
C4ZXK0	oxidation-reduction process|phospholipid biosynthetic process
B1XAY6	ribosome biogenesis
P0A6H5	response to stress
P76421	metabolic process
Q47690	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation
C5A130	carbohydrate transport|transport|ion transport
B1X943	transport|protein transport|transmembrane transport
B1XCP3	metabolic process
P10441	lipid A biosynthetic process|lipid biosynthetic process
B1XG01	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
C4ZRB3	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P25396	transport|response to antibiotic|response to tellurium ion|ion transport
B1XE46	oxidation-reduction process
P0A746	oxidation-reduction process
P33225	oxidation-reduction process
P06282	phospholipid biosynthetic process
B1XCN6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X947	cell division
P0CF62	transposition|DNA recombination
P33607	oxidation-reduction process
P0A7H3	DNA repair|response to DNA damage stimulus|DNA recombination
P09323	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0CE62	transposition|DNA recombination
B1XA70	DNA repair|SOS response|response to DNA damage stimulus
B1XED3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ACB2	heme biosynthetic process|porphyrin biosynthetic process|metabolic process
P32136	transport
C4ZZB1	transport
P0ACY1	oxidation-reduction process
B1XAM2	ribosome biogenesis
P0ABY4	transport|electron transport chain
B1XA11	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XFK5	glycolysis
P0AFU0	transport
P0AGE4	amino acid transport|transport
P11454	enterobactin biosynthetic process|metabolic process
P04152	DNA repair|SOS response|response to DNA damage stimulus
C4ZXR0	phosphorylation
P09184	DNA repair|response to DNA damage stimulus
B1X9P0	transport
B1XBZ7	thiamine biosynthetic process
C5A0R4	tRNA processing|methylation
B1XDC5	oxidation-reduction process
P0CG19	tRNA processing
B1X7L4	phosphorylation
B1XEL8	oxidation-reduction process
C4ZUE5	transport|ion transport
P06966	regulation of transcription, DNA-dependent|transcription, DNA-dependent|cell cycle|cell division
P0ABD8	lipid biosynthetic process|fatty acid biosynthetic process
C4ZSZ7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77245	regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
C4ZPY7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZPX8	oxidation-reduction process|pyridoxine biosynthetic process
P08194	transport|glycerol metabolic process
P69210	transport
C4ZXB2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XF82	metabolic process
C5A0G3	translation
