Accession	Molecular Function (Uniprot)
P0AC86	glycogen phosphorylase activity
P31466	solute:hydrogen symporter activity|adenine transmembrane transporter activity
P45577	enzyme activator activity
Q46856	aldehyde dehydrogenase (NADP+) activity|alcohol dehydrogenase (NADP+) activity|zinc ion binding|alcohol dehydrogenase activity, zinc-dependent
P75817	rRNA (uridine) methyltransferase activity
P0A9J4	2-dehydropantoate 2-reductase activity|NADP binding
P0AEX9	maltooligosaccharide-importing ATPase activity|maltose-transporting ATPase activity
P11349	4 iron, 4 sulfur cluster binding|electron carrier activity|3 iron, 4 sulfur cluster binding
Q9JMT6	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity
P0AEI4	4 iron, 4 sulfur cluster binding|aspartic acid methylthiotransferase activity
P23003	tRNA (guanine-N1-)-methyltransferase activity
P37623	holo-[acyl-carrier-protein] synthase activity
Q46866	DNA binding|sequence-specific DNA binding transcription factor activity
P0ABA4	ATP phosphoribosyltransferase activity
P0A9R7	ATP binding
Q47013	ubiquitin thiolesterase activity
P0AFC7	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P77528	threonine aldolase activity|amino acid binding|pyridoxal phosphate binding|L-threonine ammonia-lyase activity|L-serine ammonia-lyase activity
P75898	uracil oxygenase activity
P0ACS5	sequence-specific DNA binding transcription factor activity
P76459	acetate CoA-transferase activity
P0A8D0	double-stranded DNA binding
P0A8Y5	sugar-phosphatase activity|magnesium ion binding
P76407	lipid kinase activity
P0AGG2	acyl-CoA thioesterase activity
P0A8M0	asparaginase activity|amino acid binding|asparagine synthase (glutamine-hydrolyzing) activity|ATP binding
P60624	structural constituent of ribosome
P77324	aldehyde ferredoxin oxidoreductase activity
P0ABQ2	2-hydroxy-3-oxopropionate reductase activity
P39375	anti-sigma factor antagonist activity
P37672	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
Q47005	sequence-specific DNA binding transcription factor activity
P23721	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
P04968	cadmium ion binding|manganese ion binding|zinc ion binding|L-threonine 3-dehydrogenase activity
P04395	alkylbase DNA N-glycosylase activity
P11458	4 iron, 4 sulfur cluster binding|quinolinate synthetase A activity
P46022	peptidoglycan glycosyltransferase activity
P61320	lipoprotein particle receptor activity
P13656	sugar-phosphatase activity|pyridoxal phosphatase activity|magnesium ion binding|phosphotransferase activity, alcohol group as acceptor
P0AAC8	ferrous iron binding|iron chaperone activity
Q57261	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
P0AC81	nickel ion binding|lactoylglutathione lyase activity
P60844	water channel activity
P31120	phosphoglucosamine mutase activity
P46133	p-aminobenzoyl-glutamate uptake transmembrane transporter activity|secondary active transmembrane transporter activity
P0A9I8	nitrite reductase [NAD(P)H] activity
P0AA41	pseudouridine synthase activity
P11446	glutamate N-acetyltransferase activity
P76119	catalytic activity
P0ABR7	2 iron, 2 sulfur cluster binding
P0AGC3	lytic transglycosylase activity
P67910	ADP-glyceromanno-heptose 6-epimerase activity|NADP+ binding
P0A6S7	glyceraldehyde-3-phosphate dehydrogenase activity
P0A853	tryptophanase activity|pyridoxal phosphate binding|L-cysteine desulfhydrase activity
P0ABZ6	peptidyl-prolyl cis-trans isomerase activity|peptide binding
P45748	double-stranded RNA binding|tRNA binding|ATP binding
P0A9P4	thioredoxin-disulfide reductase activity|flavin adenine dinucleotide binding
P0AA10	zinc ion binding
P0AFE0	oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P76249	L-leucine transmembrane transporter activity
P0AFL6	exopolyphosphatase activity
P25741	kinase activity
P0AEE3	serine-type endopeptidase activity
P0A910	porin activity
P37685	aldehyde dehydrogenase (NAD) activity
P0AB71	fructose-bisphosphate aldolase activity|zinc ion binding
P0AD79	ATPase activity|ATP binding
P0AC47	4 iron, 4 sulfur cluster binding|electron carrier activity|3 iron, 4 sulfur cluster binding|2 iron, 2 sulfur cluster binding
P0AFI2	DNA binding
P60422	zinc ion binding
P63177	rRNA (guanosine-2'-O-)-methyltransferase activity
P08622	unfolded protein binding|protein disulfide isomerase activity|protein homodimerization activity|zinc ion binding
P37595	asparaginase activity|aminopeptidase activity
P0A776	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
P25552	guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity|protein homodimerization activity
P14081	GDP binding|selenocysteine insertion sequence binding|GTP binding|tRNA binding|GTPase activity
P08400	zinc ion binding
P21645	N-acyltransferase activity
P37908	quinoprotein glucose dehydrogenase activity|pyrroloquinoline quinone binding|ubiquinone binding|magnesium ion binding
P75825	peroxidase activity
P0ADE8	folic acid binding
P31677	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
P0ACC7	N-acetylglucosamine-6-phosphate deacetylase activity|zinc ion binding
P60785	GTPase activity|translation elongation factor activity
P06999	phosphogluconate dehydrogenase (decarboxylating) activity
P32131	4 iron, 4 sulfur cluster binding|coproporphyrinogen dehydrogenase activity
P08202	L-arabinose isomerase activity
Q9S4W2	glutaminase activity
P0A7X3	structural constituent of ribosome
P37051	formyltetrahydrofolate deformylase activity
P0AE16	solute:hydrogen symporter activity
P60061	solute:solute antiporter activity
P0ABJ1	hydrogen ion transmembrane transporter activity|electron carrier activity|ubiquinone binding|oxidoreduction-driven active transmembrane transporter activity
Q9S4W7	ferric iron binding|protein homodimerization activity
P76545	NAD binding|magnesium ion binding|4-hydroxythreonine-4-phosphate dehydrogenase activity|zinc ion binding
Q47377	substrate-specific transmembrane transporter activity
P0AFE8	oxidoreduction-driven active transmembrane transporter activity|ubiquinone binding
P24244	ornithine carbamoyltransferase activity
P31545	oxidoreductase activity, acting on a heme group of donors
P77744	sequence-specific DNA binding transcription factor activity
P39280	4 iron, 4 sulfur cluster binding
P0ABF6	pyrimidine nucleoside binding|cytidine deaminase activity|zinc ion binding
P45563	purine-nucleoside phosphorylase activity
P0AB87	aldehyde-lyase activity|L-fuculose-phosphate aldolase activity
P64594	ribonuclease activity|endoribonuclease activity|sequence-specific DNA binding transcription factor activity
Q6BF16	2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity
P18776	4 iron, 4 sulfur cluster binding|iron ion binding
P76641	ammeline aminohydrolase activity|guanine deaminase activity|zinc ion binding
P00811	beta-lactamase activity
P0ACF0	DNA binding
P0A7G6	single-stranded DNA binding
P61517	carbonate dehydratase activity
P60651	manganese ion binding|agmatinase activity
P0A769	manganese ion transmembrane transporter activity|hydrogen ion transmembrane transporter activity|cadmium ion transmembrane transporter activity|symporter activity|uniporter activity
P0AE52	thioredoxin peroxidase activity|hydroperoxide reductase activity
P0A8Q3	electron carrier activity
P11071	protein serine/threonine kinase activity|protein serine/threonine phosphatase activity|[isocitrate dehydrogenase (NADP+)] kinase activity|AMP binding|ATP binding
P13669	sequence-specific DNA binding transcription factor activity
P0AEJ4	two-component sensor activity|protein homodimerization activity|phosphoprotein phosphatase activity
P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
P75966	pseudouridine synthase activity
P27848	sugar-phosphatase activity|pyridoxal phosphatase activity|metal ion binding
P06709	biotin-[acetyl-CoA-carboxylase] ligase activity|DNA binding
P0ACV6	amidase activity
P25524	pyrimidine nucleoside binding|cytidine deaminase activity|zinc ion binding
P52045	methylmalonyl-CoA decarboxylase activity
P0A8V0	exoribonuclease activity|nuclease activity
P0ACE3	sequence-specific DNA binding
P0AC75	transferase activity
P69380	cadmium ion transmembrane transporter activity|ferrous iron transmembrane transporter activity|zinc efflux active transmembrane transporter activity
P61889	malate dehydrogenase activity
P0A879	pyridoxal phosphate binding|protein homodimerization activity|tryptophan synthase activity
P0ABK5	cysteine synthase activity|L-cysteine desulfhydrase activity
P37339	L-2-hydroxyglutarate oxidase activity|flavin adenine dinucleotide binding
P28638	site-specific DNA-methyltransferase (adenine-specific) activity
P31675	sugar efflux transmembrane transporter activity
P0AFE4	oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P38051	magnesium ion binding|isochorismate synthase activity
P75894	3-hydroxypropionate dehydrogenase (NADP+) activity
P0AFB5	two-component sensor activity|protein homodimerization activity|phosphoprotein phosphatase activity
P36673	sequence-specific DNA binding transcription factor activity
P31459	2-dehydro-3-deoxygalactonokinase activity
P36938	phosphoglucomutase activity
P12999	carboxyl-O-methyltransferase activity
P18355	protein kinase binding
P0ABM1	coenzyme binding
P75742	dipeptide transporter activity
P23865	endopeptidase activity
P34210	sequence-specific DNA binding transcription factor activity
P76114	sequence-specific DNA binding transcription factor activity
P0AFD1	oxidoreduction-driven active transmembrane transporter activity
P42596	rRNA (guanine-N2-)-methyltransferase activity
P15043	ATP-dependent DNA helicase activity|single-stranded DNA-dependent ATP-dependent DNA helicase activity|transition metal ion binding|DNA binding|zinc ion binding|ATP binding
P36999	rRNA (guanine-N1-)-methyltransferase activity
P25888	ATP-dependent RNA helicase activity
P39206	carnitine dehydratase activity
P0A8S1	bent DNA binding|sequence-specific DNA binding|sequence-specific DNA binding transcription factor activity
P0ACD4	pyridoxal phosphate binding|selenocysteine lyase activity|cysteine desulfurase activity
P0ADF6	phosphoglycerate dehydrogenase activity|2-hydroxyglutarate dehydrogenase activity
P0A7E3	magnesium ion binding
P0A720	thymidylate kinase activity
P77667	2 iron, 2 sulfur cluster binding|protein homodimerization activity
P0ABQ0	phosphopantothenoylcysteine decarboxylase activity|phosphopantothenate--cysteine ligase activity|FMN binding
P50465	damaged DNA binding|DNA-(apurinic or apyrimidinic site) lyase activity|zinc ion binding
P36979	rRNA (adenine-C2-)-methyltransferase activity|4 iron, 4 sulfur cluster binding
P0A6B7	selenocysteine lyase activity|cysteine desulfurase activity
P11350	electron carrier activity|iron ion binding
P0A8H8	DNA topoisomerase (ATP-hydrolyzing) inhibitor activity|zinc ion binding
P76268	sequence-specific DNA binding transcription factor activity
P37355	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
Q9JMT2	structural constituent of ribosome|translation repressor activity|rRNA binding
P31122	uniporter activity
P0AC28	5-formyltetrahydrofolate cyclo-ligase activity
P0A935	lytic transglycosylase activity|hydrolase activity, hydrolyzing O-glycosyl compounds
P39304	3-dehydro-L-gulonate-6-phosphate decarboxylase activity|magnesium ion binding
P36767	double-stranded DNA binding|single-stranded DNA binding
P75971	drug binding|sequence-specific DNA binding|sequence-specific DNA binding transcription factor activity
P24555	endopeptidase activity
P37765	pseudouridine synthase activity
P42641	GDP binding|guanyl ribonucleotide binding|GTP binding|GTPase activity
P78061	glutamate-putrescine ligase activity
P31551	carnitine racemase activity
P32719	allulose 6-phosphate 3-epimerase activity
P08373	UDP-N-acetylmuramate dehydrogenase activity|flavin adenine dinucleotide binding
P0A7S3	structural constituent of ribosome
P0AEA5	protoheme IX farnesyltransferase activity
P77368	enzyme inhibitor activity
P30744	L-serine ammonia-lyase activity
P69054	electron carrier activity|ubiquinone binding|succinate dehydrogenase (ubiquinone) activity|heme binding
P11519	adenylate cyclase activity
P76037	putrescine transmembrane transporter activity
P39305	L-ribulose-5-phosphate 3-epimerase activity
P31129	diguanylate cyclase activity
P46859	gluconokinase activity
P0ADV9	glycolipid transporter activity
P69937	manganese ion binding|superoxide dismutase activity|DNA binding|antioxidant activity|metal ion binding
P0A9J8	prephenate dehydratase activity|protein homodimerization activity|chorismate mutase activity
P0A9A6	protein binding|GTP binding|GTPase activity
P0AGB6	sigma factor activity
P0A873	tRNA (guanine-N1-)-methyltransferase activity
P37388	D-ribose-importing ATPase activity|D-xylose-importing ATPase activity
P36683	2-methylisocitrate dehydratase activity|aconitate hydratase activity|4 iron, 4 sulfur cluster binding|mRNA 3'-UTR binding|mRNA binding
P0AGG4	protein disulfide oxidoreductase activity|zinc ion binding
P52129	endoribonuclease activity
P0A6T5	GTP cyclohydrolase I activity|GTP binding|zinc ion binding
P23256	L-cysteine desulfhydrase activity
P43667	efflux transmembrane transporter activity|L-valine transmembrane transporter activity
P0A8A4	enzyme regulator activity
P42604	ferrous iron binding
P36929	rRNA (cytosine-C5-)-methyltransferase activity
P31552	carnitine-CoA ligase activity|crotonobetaine-CoA ligase activity
P39277	betaine-aldehyde dehydrogenase activity
P31663	pantoate-beta-alanine ligase activity
P0ADG4	glycerol-2-phosphatase activity|magnesium ion binding|lithium ion binding|inositol-1(or 4)-monophosphatase activity
P76464	GTP cyclohydrolase II activity
P17952	protein binding|UDP-N-acetylmuramate-L-alanine ligase activity|magnesium ion binding|ATP binding
P0AAJ3	formate dehydrogenase (NAD+) activity
P0C0V0	serine-type endopeptidase activity
P02931	porin activity
P16683	alkylphosphonate transmembrane transporter activity|sequence-specific DNA binding|sequence-specific DNA binding transcription factor activity
P75906	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
P0AFD4	oxidoreduction-driven active transmembrane transporter activity
P0ACA7	glutathione transferase activity
P17445	betaine-aldehyde dehydrogenase activity
P62707	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity|protein homodimerization activity
P18200	phosphatidylglycerophosphatase activity
P0AFA7	cation:cation antiporter activity|sodium:hydrogen antiporter activity
P19319	4 iron, 4 sulfur cluster binding|electron carrier activity|molybdenum ion binding|iron ion binding
P80645	alkanesulfonate monooxygenase activity
P0A884	thymidylate synthase activity
P25553	glycolaldehyde dehydrogenase activity|lactaldehyde dehydrogenase activity
P37758	inorganic anion exchanger activity|nitrite efflux transmembrane transporter activity|nitrate transmembrane transporter activity
P76251	D-malate dehydrogenase (decarboxylating) activity
P45548	zinc ion binding
P0AEW9	1-phosphofructokinase activity
P00452	ATP binding
P0AGI4	D-ribose transmembrane transporter activity|D-xylose transmembrane transporter activity
P10902	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
P31441	manganese ion binding|adenine deaminase activity
P0C093	DNA binding
Q46791	oxidoreduction-driven active transmembrane transporter activity
P0AE01	tRNA (uracil) methyltransferase activity|tRNA (cytosine) methyltransferase activity
P39325	galactose binding
P41066	ornithine decarboxylase activity|pyridoxal phosphate binding
P77489	aldehyde ferredoxin oxidoreductase activity
P16659	proline-tRNA ligase activity
P0ABS5	DNA primase activity|zinc ion binding
P77581	succinylornithine transaminase activity
P45395	arabinose-5-phosphate isomerase activity
P10121	GTP binding|GTPase activity
P77172	cyclic-guanylate-specific phosphodiesterase activity
P23538	magnesium ion binding|pyruvate, water dikinase activity
P76445	undecaprenyl-diphosphatase activity|phosphotransferase activity, phosphate group as acceptor
P60752	drug binding|lipid binding|lipid-transporting ATPase activity|lipopolysaccharide-transporting ATPase activity|lipid transporter activity|ATP binding
P0A8M3	drug binding|protein binding|RNA binding|zinc ion binding|threonine-tRNA ligase activity|ATP binding|translation repressor activity, nucleic acid binding
P39838	histidine phosphotransfer kinase activity
P21437	manganese ion binding|fructose 1,6-bisphosphate 1-phosphatase activity
P0AB89	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
P77698	enzyme inhibitor activity
P22525	peptidoglycan L,D-transpeptidase activity|transferase activity, transferring amino-acyl groups|cysteine-type carboxypeptidase activity
Q9JMR9	DNA-directed DNA polymerase activity
P24183	electron carrier activity|molybdenum ion binding|formate dehydrogenase (NAD+) activity
P23873	sequence-specific DNA binding
P12996	4 iron, 4 sulfur cluster binding|2 iron, 2 sulfur cluster binding|biotin synthase activity
P60390	rRNA (cytosine-N4-)-methyltransferase activity
P23847	dipeptide transporter activity|heme transporter activity
P06971	virion binding|toxin binding|iron ion binding|cofactor binding
P24174	mannose-1-phosphate guanylyltransferase activity
P19318	4 iron, 4 sulfur cluster binding|electron carrier activity|3 iron, 4 sulfur cluster binding
P41052	lytic transglycosylase activity
P32684	pseudouridine synthase activity
P0A8R0	ribonuclease inhibitor activity
P0AEG6	protein disulfide isomerase activity
P24242	sequence-specific DNA binding|sequence-specific DNA binding transcription factor activity
P17993	2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase activity
P0AFC3	oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P0AF40	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
P10441	lipid-A-disaccharide synthase activity|phospholipid binding
P0A7R9	structural constituent of ribosome|SSU rRNA binding
P25714	membrane insertase activity
P0AGJ7	tRNA (uracil-2'-O-)-methyltransferase activity|tRNA (cytosine-2'-O-)-methyltransferase activity
P0A9N8	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding
P0A746	iron ion binding|peptide-methionine (R)-S-oxide reductase activity|zinc ion binding
P33225	electron carrier activity|molybdenum ion binding|trimethylamine-N-oxide reductase (cytochrome c) activity
P0A9H7	cyclopropane-fatty-acyl-phospholipid synthase activity
P0CF62	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
P0A998	ferric iron binding|ferroxidase activity
P77366	beta-phosphoglucomutase activity
P0AGE6	oxidoreductase activity|FMN binding
P0ABE9	carbonate dehydratase activity
P0AB74	tagatose-bisphosphate aldolase activity
P23895	antiporter activity
P0ACL9	sequence-specific DNA binding transcription factor activity
P77256	aldo-keto reductase (NADP) activity
P39901	autoinducer-2 kinase activity
P77165	aldehyde ferredoxin oxidoreductase activity
P69820	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
P0ACB2	polyamine-transporting ATPase activity
P69902	formyl-CoA transferase activity
P0A7U7	structural constituent of ribosome
P0ADR6	mannose-6-phosphate isomerase activity|rRNA (cytosine-2'-O-)-methyltransferase activity
P26648	2 iron, 2 sulfur cluster binding|protein homodimerization activity
P0ACY1	FMN binding
P0A9J0	ribonuclease G activity
P60932	undecaprenyl-diphosphatase activity
