Accession	Molecular Function (EcoliWiki)
P08506	carboxypeptidase activity|penicillin binding
P0A6L7	NAD binding
P0A742	mechanically-gated ion channel activity
P0A6N4	ribosome binding
P0A7D1	aminoacyl-tRNA hydrolase activity
P0A759	glucose-1-phosphatase activity|3-phytase activity|protein homodimerization activity
P07023	prephenate dehydrogenase activity|protein homodimerization activity|chorismate mutase activity
P0A7B3	NAD+ kinase activity|identical protein binding
P02919	peptidoglycan glycosyltransferase activity|drug binding|serine-type D-Ala-D-Ala carboxypeptidase activity|penicillin binding
P09148	ferrous iron binding|UDP-glucose:hexose-1-phosphate uridylyltransferase activity|zinc ion binding
P0A7J0	3,4-dihydroxy-2-butanone-4-phosphate synthase activity
P08337	manganese ion binding|magnesium ion binding|8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity
P0A7Q1	structural constituent of ribosome
P09184	T/G mismatch-specific endonuclease activity|DNA binding
P0A6Z1	ADP binding|ATPase activity|ATP binding
P0A6A6	intramolecular transferase activity
P06610	thioredoxin peroxidase activity|glutathione peroxidase activity
P05050	ferrous iron binding|dioxygenase activity
P08373	UDP-N-acetylmuramate dehydrogenase activity
P0A7S3	rRNA binding|misfolded RNA binding
P00547	homoserine kinase activity
P0A6C5	glutamate N-acetyltransferase activity
P06721	cystathionine beta-lyase activity|pyridoxal phosphate binding|L-cysteine desulfhydrase activity
P0A6A0	2-octaprenylphenol hydroxylase activity
P04693	aromatic-amino-acid:2-oxoglutarate aminotransferase activity|L-leucine:2-oxoglutarate aminotransferase activity|protein homodimerization activity|L-tyrosine:2-oxoglutarate aminotransferase activity
P05052	sequence-specific DNA binding transcription factor activity
P00722	beta-galactosidase activity
P0A7B5	magnesium ion binding|glutamate 5-kinase activity
P0A763	nucleoside diphosphate kinase activity|identical protein binding
P06960	ornithine carbamoyltransferase activity
P0A7L3	structural constituent of ribosome|translation repressor activity, nucleic acid binding
P07004	NADP binding|glutamate-5-semialdehyde dehydrogenase activity
P00909	indole-3-glycerol-phosphate synthase activity|phosphoribosylanthranilate isomerase activity
P00944	xylose isomerase activity
P00393	NADH dehydrogenase (ubiquinone) activity|flavin adenine dinucleotide binding
P0A6B4	alanine racemase activity
P0A6U5	rRNA (guanine-N7-)-methyltransferase activity
P04993	single-stranded DNA-dependent ATPase activity|helicase activity|endonuclease activity|exodeoxyribonuclease V activity
P0A6V1	glucose-1-phosphate adenylyltransferase activity
P06968	dUTP diphosphatase activity
P0A776	RNA pyrophosphohydrolase activity
P03819	glutathione-regulated potassium exporter activity|protein homodimerization activity|toxin binding|enzyme binding
P0A830	succinate transmembrane transporter activity|fumarate transmembrane transporter activity|L-aspartate transmembrane transporter activity|malate:hydrogen symporter activity
P08400	phosphate acetyltransferase activity
P0A7E5	CTP synthase activity
P05804	beta-glucuronidase activity
P08142	acetolactate synthase activity|transketolase activity
