Accession	Biological Process (EcoliWiki)
P39176	peptidoglycan-protein cross-linking|Gram-negative-bacterium-type cell wall biogenesis
P0A877	tryptophan biosynthetic process
P0ABU5	positive regulation of isoprenoid metabolic process|isoprenoid biosynthetic process
P27835	enterobacterial common antigen biosynthetic process
P23871	protoporphyrinogen IX metabolic process|heme biosynthetic process|response to light stimulus
P0AFS5	quorum sensing|transport
P0AA37	tRNA pseudouridine synthesis|enzyme-directed rRNA pseudouridine synthesis
P42915	pilus organization
P0AF45	biofilm formation|extracellular polysaccharide biosynthetic process
P11551	galactose transport|fructose transport|fucose transport|arabinose transport
P76349	biotin biosynthetic process
P31134	putrescine transport
P33026	glucose transport|lactose transport|chromosome segregation
P31069	potassium ion transport
P33937	anaerobic respiration
P15640	methylglyoxal catabolic process to D-lactate
P52073	glycolate catabolic process
P36649	response to copper ion
P0AFU8	riboflavin biosynthetic process
P62670	biofilm formation
P0A8Q0	flagellum assembly|ciliary or flagellar motility|fermentation|anaerobic respiration
P0CF64	sulfathiazole transport
Q46864	regulation of transcription, DNA-dependent
P39286	ribosomal small subunit biogenesis
P0A8H3	manganese ion transport|cobalt ion transport|copper ion import
P76216	arginine catabolic process
P0ADU5	cellular response to hydrogen peroxide|cellular response to cadmium ion|single-species biofilm formation on inanimate substrate
P24215	D-glucuronate catabolic process
P23908	arginine biosynthetic process
P33643	ribosomal large subunit assembly|enzyme-directed rRNA pseudouridine synthesis
P75851	alkanesulfonate transport|sulfur compound metabolic process
P0AES2	D-glucarate catabolic process
P75925	cellular response to stress|biofilm formation
P0A887	ubiquinone biosynthetic process|menaquinone biosynthetic process
P0AG30	transcriptional attenuation
P64530	negative regulation of transcription, DNA-dependent
P69681	ammonium transport
P39411	thiamine metabolic process
P0A9P6	ribosomal large subunit assembly|cellular response to cold
P32156	rhamnose catabolic process
P0AB38	peptidoglycan biosynthetic process
P69434	biofilm formation|transport
P76472	response to iron(III) ion
P23367	mismatch repair
P25516	response to oxidative stress|tricarboxylic acid cycle|regulation of translation in response to oxidative stress|anaerobic respiration
Q46871	cellular response to nickel ion
P17444	glycine betaine biosynthetic process from choline|response to osmotic stress
P39328	galactose transport
P0AG16	glutamine metabolic process|purine nucleotide biosynthetic process
P0AAC6	regulation of proteolysis
P22333	purine ribonucleoside monophosphate biosynthetic process|purine nucleotide salvage|hypoxanthine salvage|adenosine catabolic process|purine nucleotide interconversion
P0ABM5	cytochrome complex assembly|heme transport
P77544	response to hydrogen peroxide
P0A9M5	XMP salvage|GMP salvage|IMP salvage
P64602	response to antibiotic|response to DNA damage stimulus
P64578	negative regulation of translation|regulation of mRNA stability
P17169	UDP-N-acetylglucosamine biosynthetic process
P55135	rRNA base methylation|rRNA methylation
P75958	lipoprotein transport
P0AG20	nucleobase, nucleoside and nucleotide interconversion|guanosine tetraphosphate metabolic process
P0ADF3	transcriptional attenuation
P43329	mRNA processing
P0A9Q1	regulation of transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P36560	response to zinc ion|response to acid
P69425	intracellular protein transmembrane transport
P22256	gamma-aminobutyric acid catabolic process
P13738	cellular sodium ion homeostasis|proton transport|sodium ion transport
P25437	formaldehyde catabolic process
P0ADS6	cellular response to stress|response to reactive oxygen species
P0AGK1	ubiquinone biosynthetic process
P0C0T5	peptidoglycan metabolic process
P77334	posttranscriptional regulation of gene expression
P02358	translation
P0ABF1	plasmid maintenance|mRNA processing|mRNA polyadenylation|RNA modification
P22939	farnesyl diphosphate biosynthetic process|geranyl diphosphate biosynthetic process
P0AFK9	polyamine transport
P0AFS3	10-formyltetrahydrofolate biosynthetic process|folic acid biosynthetic process
P68644	carnitine metabolic process
P67444	xanthine transport
P0A7X6	maturation of SSU-rRNA
P30131	protein carbamoylation|protein maturation
P68767	plasmid recombination|peptide catabolic process
P0AG59	translation
P0AF90	mRNA catabolic process|regulation of catalytic activity
P0A964	chemotaxis|signal transduction
P28629	response to acid|intracellular pH elevation
P0A7B8	response to heat
P21165	peptide catabolic process
P0A894	positive regulation of biological process|RNA processing
P39346	L-idonate catabolic process
P30176	cellular component movement
P76502	protein modification process
P0CF50	protein folding|response to heat|phage assembly
P46889	response to salt stress|chromosome segregation|cellular response to antibiotic|cytokinetic cell separation|SOS response|cell division
P77243	propionate metabolic process, methylcitrate cycle|carbohydrate catabolic process
P0AGC0	glucose-6-phosphate transport
P21889	aspartyl-tRNA aminoacylation
P0AGB0	L-serine biosynthetic process
P06612	DNA topological change
P0AA25	cell redox homeostasis
P0A972	negative regulation of transcription termination, DNA-dependent
P19925	enterobactin biosynthetic process
P69423	intracellular protein transmembrane transport
P0AFS9	autolysis|cytokinetic cell separation
P40120	regulation of beta-glucan biosynthetic process
P0AD65	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization
P0ADX9	rRNA base methylation
P33340	cell adhesion involved in single-species biofilm formation
P75823	glycine biosynthetic process
P76344	response to cadmium ion|cellular response to zinc ion starvation
P52643	cobalamin biosynthetic process
P0AGM9	xanthine transport
P0AGE0	mismatch repair|recombinational repair|SOS response
P31825	tRNA methylation
P0A953	fatty acid biosynthetic process
P52097	wobble base lysidine biosynthesis|tRNA modification
P23845	sulfur compound metabolic process
P25522	xenobiotic metabolic process|response to pH|tRNA methylation
P76000	oligosaccharide transport
P0A9H1	base-excision repair, AP site formation
P24082	nucleobase, nucleoside and nucleotide interconversion
P0A794	pyridoxine biosynthetic process
P37677	L-lyxose metabolic process
P37690	autolysis|barrier septum formation|cytokinetic cell separation|response to drug
P0ADA1	fatty acid catabolic process
P77199	Gram-negative-bacterium-type cell wall biogenesis|cellular cell wall macromolecule metabolic process
P0AC86	glycogen catabolic process
P09557	regulation of cell division
P31466	adenine transport
P45577	positive regulation of transport
Q46856	response to reactive oxygen species
P75817	rRNA base methylation
P0A9J4	pantothenate biosynthetic process from valine
P0ABZ1	flagellum assembly|flagellar cell motility
P0AEX9	maltodextrin transport|maltose transport
P45562	nucleobase, nucleoside and nucleotide metabolic process
P0AG99	intracellular protein transmembrane transport|protein transport by the Sec complex
P17583	cyanate catabolic process|transmembrane transport
P39297	response to hydrogen peroxide|response to acid|single-species biofilm formation
P11349	cytochrome complex assembly|anaerobic respiration
P76111	cellular component movement
P0AEI4	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
P23003	tRNA methylation
Q9JMR2	protein folding
P0AC02	protein insertion into membrane|Gram-negative-bacterium-type cell outer membrane assembly
P77615	response to DNA damage stimulus
P0ABA4	histidine biosynthetic process
P0A9R7	response to antibiotic|cell division|cytokinesis
Q47013	protein deubiquitination
P0AFC7	electron transport coupled proton transport|anaerobic respiration|aerobic respiration
P77528	threonine catabolic process|L-serine catabolic process
P75898	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
P0A7H6	response to UV|DNA synthesis involved in DNA repair
P0AGG2	fatty acid catabolic process
P0A8M0	glutamine metabolic process|cellular amino acid catabolic process|asparagine biosynthetic process
P0ABQ2	D-galactarate catabolic process|D-glucarate catabolic process
P39375	response to DNA damage stimulus|negative regulation of protein catabolic process
P19934	bacteriocin transport|protein import
P23721	L-serine biosynthetic process|pyridoxal phosphate biosynthetic process
P04968	L-serine catabolic process
P0A9Y6	negative regulation of transcription termination, DNA-dependent
P04395	DNA repair|base-excision repair|response to DNA damage stimulus|DNA dealkylation involved in DNA repair
P11458	de novo NAD biosynthetic process from aspartate
P58036	negative regulation of protein transport
P46022	Gram-negative-bacterium-type cell wall biogenesis|peptidoglycan biosynthetic process
P0AAC8	iron-sulfur cluster assembly
Q57261	ubiquinone biosynthetic process
P0AC81	methylglyoxal catabolic process to D-lactate
P60844	cellular water homeostasis|water transport|response to osmotic stress
P31120	protein autophosphorylation|UDP-N-acetylglucosamine biosynthetic process
P46133	p-aminobenzoyl-glutamate transport
P0A9I8	anaerobic respiration
P08395	signal peptide processing
P0AA41	tRNA pseudouridine synthesis
P11446	arginine biosynthetic process
P77499	iron-sulfur cluster assembly
P0AAW9	cellular response to stress
P67910	lipopolysaccharide core region biosynthetic process
P0A6S7	glycerophospholipid biosynthetic process
P77467	phenylacetate catabolic process
P0ABZ6	protein folding|biofilm formation|protein stabilization|Gram-negative-bacterium-type cell outer membrane assembly|maintenance of stationary phase|chaperone mediated protein folding requiring cofactor
P45748	threonylcarbamoyladenosine biosynthetic process
P75857	pilus organization
P10906	glycerol-3-phosphate transport|glycerol-2-phosphate transport
P05050	oxidative demethylation
P0ABW5	cell adhesion
P76249	leucine transport
P0AFE0	anaerobic respiration
P0AFL6	polyphosphate catabolic process
P69432	biofilm formation
P07363	chemotaxis|protein autophosphorylation|positive regulation of protein dephosphorylation|establishment of localization in cell|two-component signal transduction system (phosphorelay)|phosphorylation
P37095	peptide catabolic process
P0AEE3	cellular response to misfolded protein
P0AE60	response to DNA damage stimulus
P0ABG4	regulation of cell shape|cell division|cytokinesis
P0A910	entry of virus into host cell|transport|ion transport|conjugation|detection of virus
P64564	cellular hyperosmotic response
P76364	negative regulation of cell killing
P37685	response to ethanol
P77348	tripeptide transport
P75715	cell adhesion
P0AD79	mismatch repair
P0AC47	flagellum assembly|ciliary or flagellar motility|fermentation|anaerobic respiration
P25907	response to methylglyoxal
P0ABB0	ATP synthesis coupled proton transport
P0AFI2	DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication
P63177	enzyme-directed rRNA 2'-O-methylation
P0A9F6	regulation of transcription, DNA-dependent
P08622	protein refolding|response to heat|DNA replication
P37595	asparagine catabolic process
P77804	cellular component movement
P75993	biofilm formation
P0AG00	enterobacterial common antigen biosynthetic process
P18777	anaerobic respiration
P0A776	RNA destabilization
P25552	nucleobase, nucleoside and nucleotide interconversion|response to starvation|phosphorus metabolic process
P14081	selenocysteine metabolic process|selenocysteine incorporation
P21645	lipid A biosynthetic process
P37908	carbohydrate catabolic process|non-phosphorylated glucose catabolic process
P75825	oxidation-reduction process|response to hydrogen peroxide
P31677	trehalose biosynthetic process|response to osmotic stress|trehalose metabolism in response to cold stress|response to stress
P0ACC7	N-acetylglucosamine catabolic process
P08244	nucleobase, nucleoside and nucleotide interconversion
P60785	translational elongation
P37746	response to antibiotic|response to DNA damage stimulus
P32131	protoporphyrinogen IX biosynthetic process from glutamate
P08202	arabinose catabolic process
P0A7H0	response to UV|DNA synthesis involved in DNA repair
P0A6E6	ATP synthesis coupled proton transport
P37617	response to cadmium ion|detoxification of zinc ion
Q9S4W2	glutamine catabolic process
P0A7X3	translation
P37051	purine ribonucleotide biosynthetic process|one-carbon metabolic process|10-formyltetrahydrofolate biosynthetic process
Q46897	RNA processing
P0AE16	peptidoglycan metabolic process|peptidoglycan transport
P60061	response to acid|intracellular pH elevation
P0ABJ1	aerobic electron transport chain
Q9S4W7	protein maturation
P76545	pyridoxine biosynthetic process|pyridoxal phosphate biosynthetic process
Q47377	response to iron(III) ion|transport
P0AFE8	electron transport coupled proton transport|anaerobic respiration|aerobic respiration
P31545	iron assimilation|ferrous iron transport
P39280	post-translational protein modification
P52599	response to antibiotic|response to DNA damage stimulus
P0ABF6	nucleobase, nucleoside and nucleotide interconversion
P45563	nucleobase, nucleoside and nucleotide interconversion
P0AB87	D-arabinose catabolic process|L-fucose catabolic process
P64594	negative regulation of cell growth
Q6BF16	D-galactonate catabolic process
P18776	anaerobic respiration
P00811	response to drug
P0AET5	response to pH
P0A7G6	cell motility|response to DNA damage stimulus
P60651	putrescine biosynthetic process
P0A769	manganese ion transport|cadmium ion transport|cobalt ion transport|ferrous iron transport|iron ion transport|metal ion transport
P0AE52	response to oxidative stress
P0A8Q3	fermentation|anaerobic respiration
P06609	cobalamin transport
P32689	extracellular polysaccharide biosynthetic process
Q6BEX0	galactose transport
P11071	peptidyl-serine phosphorylation|regulation of catalytic activity
P36561	cobalamin biosynthetic process
P0AEJ4	detection of temperature stimulus|protein autophosphorylation|cellular response to acid|protein dephosphorylation|two-component signal transduction system (phosphorelay)|phosphorylation|regulation of response to osmotic stress
P26281	folic acid biosynthetic process
P75966	enzyme-directed rRNA pseudouridine synthesis
P06709	biotin biosynthetic process
P0ACV6	peptidoglycan catabolic process
P25524	nucleobase, nucleoside and nucleotide interconversion
P0A8V0	tRNA processing|RNA catabolic process
P0AC75	lipid A biosynthetic process
P0A993	fatty acid biosynthetic process
P67701	regulation of transcription, DNA-dependent
P69380	cadmium ion transport|cellular iron ion homeostasis|cellular zinc ion homeostasis|cellular cadmium ion homeostasis|zinc ion transport|ferrous iron transport
P61889	glycolysis|malate metabolic process|tricarboxylic acid cycle|fermentation|anaerobic respiration
P0AF96	single-species biofilm formation
P0A879	tryptophan biosynthetic process
P0ABK5	cysteine biosynthetic process from serine
P31675	cellular response to stress|glucose transport|lactose transport
P0A6F9	response to heat|phage assembly
P0AFE4	anaerobic respiration
P38051	menaquinone biosynthetic process
P75860	cell adhesion involved in single-species biofilm formation
P0AFB8	nitrogen compound metabolic process
P75894	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
P0AFB5	protein autophosphorylation|regulation of nitrogen compound metabolic process|two-component signal transduction system (phosphorelay)
P31459	D-galactonate catabolic process
P36938	carbohydrate catabolic process
P38052	cell adhesion
P12999	biotin biosynthetic process
P18355	regulation of protein kinase activity
P0ABM1	cytochrome complex assembly
P75742	dipeptide transport
P23865	proteolysis|protein catabolic process
P77689	iron-sulfur cluster assembly
P0ABC7	response to heat
P45807	cellular response to stress
P0AFD1	anaerobic respiration
P42596	rRNA base methylation
P15043	DNA repair|DNA recombination
P36999	rRNA base methylation
P28307	cell adhesion
P39206	carnitine metabolic process
P0A8S1	negative regulation of DNA-dependent DNA replication initiation|DNA-dependent DNA replication
P0ACD4	oxazole or thiazole biosynthetic process|iron-sulfur cluster assembly|tRNA pseudouridine synthesis
P0ADF6	L-serine biosynthetic process
P0A7E3	pyrimidine nucleotide biosynthetic process
P0A720	nucleobase, nucleoside and nucleotide interconversion|dTDP biosynthetic process|dTTP biosynthetic process
P77667	response to oxidative stress|iron-sulfur cluster assembly
P0ABQ0	coenzyme A biosynthetic process
P50465	base-excision repair
P37772	galactose transport
P36979	rRNA base methylation
P0A6B7	tRNA pseudouridine synthesis
P11350	cytochrome complex assembly|anaerobic respiration
Q46798	autolysis|cytokinetic cell separation
P37355	menaquinone biosynthetic process
P0A6F1	glutamine metabolic process|arginine biosynthetic process|'de novo' pyrimidine base biosynthetic process
Q9JMT2	translation
P37195	response to acid
P0AC28	dormancy process
P0A935	peptidoglycan biosynthetic process|cytokinesis
P39304	L-ascorbic acid catabolic process
P36767	regulation of DNA recombination
P75971	response to drug
P76082	phenylacetate catabolic process
P37765	enzyme-directed rRNA pseudouridine synthesis
P42641	ribosome assembly|chromosome segregation
P78061	putrescine catabolic process
P0A6A6	leucine biosynthetic process
P39370	carboxylic acid metabolic process
P31551	carnitine catabolic process
P32719	D-allose catabolic process
P08373	regulation of cell shape|peptidoglycan biosynthetic process
P0A7S3	translation
P0AE58	carnitine metabolic process
P0AEA5	heme O biosynthetic process
P0ABE2	response to osmotic stress
P77288	cell adhesion
P75862	toxin catabolic process
P30744	L-serine catabolic process
P69054	cytochrome complex assembly|aerobic respiration
P11519	cAMP biosynthetic process
P76037	putrescine transport|putrescine catabolic process
P39305	L-ascorbic acid metabolic process
P31129	negative regulation of flagellum assembly|negative regulation of cellular component movement|cell adhesion involved in single-species biofilm formation
P0ADV9	lipopolysaccharide transport
P69937	oxidation-reduction process|response to oxidative stress|superoxide metabolic process|response to heat|removal of superoxide radicals|response to acidity|cellular response to selenium ion
P77735	thiamine metabolic process
P0ADK6	response to antibiotic|response to DNA damage stimulus
P0A9J8	tyrosine biosynthetic process|L-phenylalanine biosynthetic process
P0A9A6	protein polymerization|cell division
P75779	cellular iron ion homeostasis
P0A873	tRNA methylation
P76083	phenylacetate catabolic process
P37388	D-ribose transport|D-xylose transport
P36683	propionate catabolic process, 2-methylcitrate cycle|regulation of translation
P52129	mRNA catabolic process
P0A6T5	folic acid biosynthetic process
P24077	response to antibiotic|response to DNA damage stimulus|enterobactin transport
P75859	cell adhesion involved in single-species biofilm formation
P0A8I3	autolysis|cytokinetic cell separation
P0C054	response to heat
P43667	valine transport
P0A8A4	regulation of transferase activity
P42604	D-galacturonate catabolic process
P36929	rRNA base methylation
P76055	tRNA modification
P39400	L-galactonate catabolic process
P69506	protein repair|response to stress
P39277	glycine betaine biosynthetic process from choline|response to osmotic stress
P31663	pantothenate biosynthetic process from valine
P75838	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
P0ADG4	inositol phosphate dephosphorylation
P76213	response to DNA damage stimulus
P0AAJ3	cellular respiration|anaerobic respiration
P0C0V0	protein folding|response to oxidative stress|proteolysis|response to temperature stimulus|misfolded or incompletely synthesized protein catabolic process
P16683	alkylphosphonate transport
P75906	biofilm formation
P0AFD4	anaerobic respiration|aerobic respiration
P77634	response to antibiotic|response to DNA damage stimulus
P17445	glycine betaine biosynthetic process from choline|response to osmotic stress
P64567	cellular response to stress
P18200	glycerophospholipid biosynthetic process
P0AFA7	cellular sodium ion homeostasis|proton transport|response to lithium ion|sodium ion transport|intracellular pH reduction
P19319	anaerobic respiration
P25397	response to tellurium ion
P31058	response to antibiotic|response to DNA damage stimulus|cell adhesion involved in single-species biofilm formation
P80645	alkanesulfonate catabolic process
P25553	rhamnose catabolic process|D-arabinose catabolic process|L-fucose catabolic process
P37758	nitrate transport|nitrite transport
P76251	malate metabolic process
P21513	RNA catabolic process
P0AEW9	fructose catabolic process
P42913	cell adhesion
P00452	nucleobase, nucleoside and nucleotide interconversion|deoxyribonucleotide biosynthetic process
P76298	flagellum assembly
P0AGI4	D-ribose transport|D-xylose transport
P10902	UDP-N-acetylglucosamine biosynthetic process
P09372	response to heat
P06136	barrier septum formation
Q46791	anaerobic respiration
P0AE01	tRNA methylation
P0AFQ5	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
P39325	galactose transport
P41066	spermidine biosynthetic process
P37197	response to hydrogen peroxide
P16659	prolyl-tRNA aminoacylation
P0ABS5	DNA replication, synthesis of RNA primer
P77581	ornithine catabolic process|arginine catabolic process
P45395	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
P10121	SRP-dependent cotranslational protein targeting to membrane
P77172	cellular response to hydrogen peroxide|cellular response to anoxia
P23538	gluconeogenesis
P76445	Gram-negative-bacterium-type cell outer membrane assembly
P60752	lipid transport
P0A8M3	threonyl-tRNA aminoacylation|negative regulation of translational initiation
P39838	peptidyl-histidine phosphorylation|two-component signal transduction system (phosphorelay)
P22525	Gram-negative-bacterium-type cell wall biogenesis|cellular cell wall macromolecule metabolic process
P24183	cellular respiration|anaerobic respiration
P12996	biotin biosynthetic process
P60390	rRNA base methylation
P23847	dipeptide transport
P77211	response to silver ion|copper ion export|response to copper ion
P24174	colanic acid biosynthetic process|hyperosmotic response
P0AA78	D-galacturonate catabolic process
P19318	anaerobic respiration
P0AG11	response to DNA damage stimulus
P41052	peptidoglycan biosynthetic process|cytokinesis
P32684	enzyme-directed rRNA pseudouridine synthesis
P0A6H5	response to heat
P0A8R0	negative regulation of endoribonuclease activity|RNA catabolic process
P0AEG6	protein folding
P17993	ubiquinone biosynthetic process
P0AFC3	anaerobic respiration
P36675	rescue of stalled ribosome
P0AF40	ubiquinone biosynthetic process
P10441	lipid A biosynthetic process
Q46948	protein refolding|cellular response to oxidative stress
P0A7R9	translation
P25714	protein insertion into membrane
P0ADA3	autolysis|barrier septum formation|cytokinetic cell separation|response to drug
P0AGJ7	wobble position uridine ribose methylation|wobble position cytosine ribose methylation
P0A9N8	nucleobase, nucleoside and nucleotide interconversion
P33225	anaerobic respiration|aerobic respiration
P0A9H7	lipid modification
P0A998	intracellular sequestering of iron ion
P77366	response to antibiotic|response to DNA damage stimulus
P0AGE6	xenobiotic metabolic process
P0ABE9	cyanate catabolic process
P0AAN1	protein maturation
P76208	SOS response|response to DNA damage stimulus
P33235	flagellum assembly
P23895	xenobiotic metabolic process|transport|response to drug
P39901	quorum sensing|single-species biofilm formation
P69820	phosphoenolpyruvate-dependent sugar phosphotransferase system
P0ACB2	polyamine transport
P0ABA6	ATP synthesis coupled proton transport
P07109	histidine transport|histidine biosynthetic process
P0A7U7	translation
P0A8H6	negative regulation of ribosome biogenesis|positive regulation of GTPase activity
P0ADR6	mannose catabolic process|colanic acid biosynthetic process|enzyme-directed rRNA 2'-O-methylation|GDP-mannose biosynthetic process|fatty acid biosynthetic process
P26648	response to oxidative stress|iron-sulfur cluster assembly
P0A9J0	rRNA processing
P60932	response to drug
P77434	L-alanine biosynthetic process from pyruvate
P0AFU0	microcin transport
P0AGE4	amino acid transport|serine transport
P76316	D-amino acid metabolic process|sulfur compound metabolic process|response to stress
P04152	response to DNA damage stimulus
P29131	barrier septum formation|cell cycle cytokinesis
P60472	polyprenol biosynthetic process
P0A8K8	L-serine catabolic process
P64512	cellular response to stress|cellular response to magnesium ion
P76499	cell adhesion
P0A9K9	protein refolding|protein stabilization|response to heat|protein maturation|protein maturation by protein folding
P76474	response to iron(III) ion|transport
P0AD42	tRNA wobble adenosine to inosine editing
P0A836	tricarboxylic acid cycle
P52095	leucine biosynthetic process
P0AEY3	cellular response to starvation
P33931	heme transport
P0A937	protein insertion into membrane|Gram-negative-bacterium-type cell outer membrane assembly
P39300	L-ascorbic acid catabolic process
P13000	biotin biosynthetic process
P45539	fructoselysine metabolic process
P0AC30	cytokinesis
P32687	extracellular polysaccharide biosynthetic process
P40191	pyridoxine biosynthetic process
P23522	D-galactarate catabolic process|glucarate catabolic process|D-glucarate catabolic process
P76547	lipopolysaccharide core region biosynthetic process
P69210	spermidine transport
P03819	potassium ion transport
P0AF73	enzyme-directed rRNA 2'-O-methylation
P37634	carbon utilization
P00926	D-serine metabolic process
P77214	response to silver ion|response to zinc ion|response to copper ion
P76551	positive regulation of lyase activity|protein repair
P16095	L-serine catabolic process
P06129	cobalamin transport
P0ADC6	lipopolysaccharide transport
P77150	pyridoxal metabolic process|pyridoxal 5'-phosphate salvage
P23909	mismatch repair
Q59385	response to acidity
P0AAJ5	cellular respiration|anaerobic respiration
P0AC13	response to drug|folic acid biosynthetic process
Q47149	response to antibiotic
P0A7D4	nucleobase, nucleoside and nucleotide interconversion|purine nucleotide biosynthetic process|adenosine biosynthetic process
P0ADD7	response to methylglyoxal
P0A8G6	response to oxidative stress
P09151	leucine biosynthetic process
P0AAN3	cofactor biosynthetic process|protein maturation
Q46893	ubiquinone biosynthetic process
P45394	galactose transport
P0A9P9	L-idonate catabolic process
P33226	anaerobic respiration|aerobic respiration
P75777	cellular iron ion homeostasis
P08200	tricarboxylic acid cycle|electron transport chain
P32157	response to toxin
P60595	nitrogen utilization|ammonia assimilation cycle
P52074	glycolate catabolic process
P24228	peptidoglycan catabolic process|response to drug|peptidoglycan metabolic process|cellular cell wall macromolecule metabolic process|cellular cell wall organization|cell wall macromolecule catabolic process|peptidoglycan turnover
P0A9B6	pyridoxine biosynthetic process|pyridoxal phosphate biosynthetic process|glucose metabolic process
P10907	glycerol-3-phosphate transport|glycerol-2-phosphate transport
P32171	rhamnose catabolic process
P33343	cell adhesion
P0ADR0	cellular component movement
P0ADV1	lipopolysaccharide transport
P77522	iron-sulfur cluster assembly
P45568	ubiquinone biosynthetic process
P37016	cell adhesion involved in single-species biofilm formation
P77239	cellular copper ion homeostasis|response to silver ion|detoxification of copper ion|response to copper ion
P75897	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
P0AEC3	two-component signal transduction system (phosphorelay)
P76630	valine transport
P27243	lipopolysaccharide core region biosynthetic process
P11553	D-arabinose catabolic process|L-fucose catabolic process
Q46925	sulfur amino acid metabolic process
P0A6P9	glycolysis
P0A7V3	translation
P0AAB4	ubiquinone biosynthetic process
P96329	glutamine catabolic process
P0AFG8	acetyl-CoA biosynthetic process from pyruvate
P76575	cellular component movement
P63235	intracellular pH elevation
P32662	DNA repair|dephosphorylation
P77712	fatty acid beta-oxidation
Q47269	mismatch repair
P38393	negative regulation of cell division
P27303	response to drug
P37313	dipeptide transport
P17443	peptidoglycan biosynthetic process
P75892	uracil catabolic process
Q46810	Mo-molybdopterin cofactor biosynthetic process
P32137	cadmium ion transport|cellular iron ion homeostasis|cellular zinc ion homeostasis|cellular cadmium ion homeostasis|zinc ion transport|ferrous iron transport
P19926	glucose metabolic process
P0AAI3	proteolysis
P52130	negative regulation of endoribonuclease activity
P52101	protein autophosphorylation|two-component signal transduction system (phosphorelay)
P0AFH2	tripeptide transport
P22564	ribonucleoside catabolic process
P69411	colanic acid biosynthetic process|intracellular signal transduction
P0ADZ4	translation
P26459	aerobic electron transport chain
P0AGA2	intracellular protein transmembrane transport|protein transport by the Sec complex
P21888	cysteinyl-tRNA aminoacylation
P76562	tRNA acetylation|tRNA wobble cytosine modification
P77671	allantoin assimilation pathway
P0A8N7	protein-lysine lysylation|post-translational protein modification
P0ACG8	response to heat|cellular response to heat
P69822	phosphoenolpyruvate-dependent sugar phosphotransferase system
P0AG80	glycerol-3-phosphate transport|glycerol-2-phosphate transport
P69783	CTP biosynthetic process
P37353	menaquinone biosynthetic process
P39406	rRNA base methylation|rRNA methylation
P80644	cellular response to sulfate starvation|alkanesulfonate catabolic process
P21693	ribosomal large subunit assembly
