EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW
EG10016	garL	ECK3114	P23522	b3126	Null	g1789514	JW3095	10276	EB0016	aa	"OK; Verified[0]"	256	Counterclockwise	3270809	3271579	70.50	yhaF	Galactarate	"2-dehydro-3-deoxygalactarate aldolase; homohexameric"	Null	27384.16
EG10017	ispB	ECK3176	P0AD57	b3187	CG35712	g1789578	JW3154	10474	EB0017	aa	OK	323	Clockwise	3331732	3332703	71.81	"cel;yhbD"	Isoprenoid	Octaprenyl diphosphate synthase, isoprenoid biosynthesis	Null	35216.97
EG10018	csrD	ECK3240	P13518	b3252	Null	g1789650	JW3221	10663	EB0018	aa	OK	646	Counterclockwise	3399414	3401354	73.27	yhdA	Carbon storage regulator 	"Targets csrBC sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function"	In its c-di-GMP domains CsrD has HRSDF instead of GGDEF and ELM instead of EAL and does not appear to have either diguanylate cyclase or cyclic-di-GMP phosphodiesterase activities and the role of CsrD in csrB/C destabilization does not involve cyclic-di-GMP metabolism (Suzuki, 2006). There is a very low level of CsrD expression and CsrD may work at substoichiometric concentrations (Suzuki, 2006). False positive lipoprotein prediction, Cys not conserved.	73339.24
EG10020	cpxR	ECK3905	P0AE88	b3912	CG34166	g2367329	JW3883	12774	EB0019	aa	OK	232	Counterclockwise	4102995	4103693	88.43	yiiA	Conjugative plasmid expression	"Response regulator, periplasmic stress response; CpxA is cognate sensor protein"	Null	26312.11
EG10021	yjiA	ECK4342	P24203	b4352	Null	g87082430	JW5790	14273	EB0020	aa	ALT_INIT[+34]	318	Counterclockwise	4585932	4586888	98.84	Null	Systematic nomenclature	Predicted GTPase, binds GTP, function unknown	Binds TrxA (Kumar, 2004).	35659.69
EG10022	aceA	ECK4007	P0A9G6	b4015	CG1052	g1790445	JW3975	13128	EB0021	aa	"OK; Verified[0]"	434	Clockwise	4215132	4216436	90.85	icl	Acetate	"Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric"	Null	47521.57
EG10023	aceB	ECK4006	P08997	b4014	CG1051	g1790444	JW3974	13125	EB0022	aa	OK	533	Clockwise	4213501	4215102	90.81	mas	Acetate	"Malate synthase A; glyoxylate shunt enzyme"	Null	60273.57
EG10024	aceE	ECK0113	P0AFG8	b0114	CG1050	g1786304	JW0110	397	EB0023	aa	"OK; Verified[1]"	887	Clockwise	123017	125680	2.65	Null	Acetate	"Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement"	Holoenzyme is AceE(24)+AceF(24)+Lpd(12).	99668.49
EG10025	aceF	ECK0114	P06959	b0115	CG26530	g1786305	JW0111	400	EB0024	aa	"OK; Verified[1]"	630	Clockwise	125695	127587	2.71	Null	Acetate	"Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement"	Holoenzyme is AceE(24)+AceF(24)+Lpd(12). HT_Cmplx3_Cyt: AceF+Lpd.	66096.07
EG10027	ackA	ECK2290	P0A6A3	b2296	CG1048	g1788633	JW2293	7579	EB0026	aa	OK	400	Clockwise	2411492	2412694	51.98	Null	Acetate kinase	"Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)"	N-terminus is blocked (Fox, 86).	43290.45
EG10028	pflA	ECK0893	P0A9N4	b0902	CG35839	g1787130	JW0885	3068	EB0027	aa	"OK; Verified[1]"	246	Counterclockwise	949563	950303	20.47	act	Pyruvate formate lyase	Pyruvate formate lyase I activase	Radical SAM superfamily.	28204.29
EG10029	ada	ECK2205	P06134	b2213	CG1043	g1788542	JW2201	7311	EB0028	aa	"OK; Verified[0]"	354	Counterclockwise	2307363	2308427	49.73	Null	Adaptive (response)	"O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)"	The Ada N-terminal domain acts as a transcriptional activator of ada, alkA, alkB and aidB. Ogt, Ada-C and YbaZ are homologous.	39323.87
EG10030	add	ECK1618	P22333	b1623	CG1042	g1787910	JW1615	5435	EB0029	aa	OK	333	Clockwise	1700257	1701258	36.65	Null	Adenosine deaminase	Adenosine deaminase	Binds TrxA (Kumar, 2004). An add mutation affects growth on deoxyadenosine as carbon source in purA purB mutant background. 17/286 Add peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	36397.46
EG10031	adhE	ECK1235	P0A9Q7	b1241	CG1041	g1787493	JW1228	4164	EB0030	aa	"OK; Verified[1]"	891	Counterclockwise	1294669	1297344	27.90	"adhC;ana"	Alcohol/acetaldehyde dehydrogenase	"Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance"	The reported PFL deactivase activity of AdhE (Kessler, 1991, 1992) could not be reproduced (Nnyepi, 2007).	96127.24
EG10032	adk	ECK0468	P69441	b0474	CG1040	g1786680	JW0463	1645	EB0031	aa	"OK; Verified[0]"	214	Clockwise	496399	497043	10.70	"dnaW;plsA"	Adenylate kinase	"Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric"	Null	23586.02
EG10034	alaS	ECK2692	P00957	b2697	CG1039	g1789048	JW2667	8869	EB0033	aa	"OK; Verified[1]"	876	Counterclockwise	2817403	2820033	60.72	"act;ala-act;lovB"	Alanine	Alanine--tRNA ligase	Null	96032.40
EG10035	aldA	ECK1408	P25553	b1415	CG17767	g1787684	JW1412	4725	EB0034	aa	"OK; Verified[1]"	479	Clockwise	1486256	1487695	32.03	ald	Aldehyde dehydrogenase	"Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes"	Null	52272.79
EG10036	puuC	ECK1295	P23883	b1300	CG35320	g1787558	JW1293	4376	EB0035	aa	OK	495	Clockwise	1360767	1362254	29.33	aldH	PUtrescine Utilization	"gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway"	Null	53418.63
EG10037	alkB	ECK2204	P05050	b2212	CG18544	g1788541	JW2200	7308	EB0036	aa	"OK; Verified[0]"	216	Counterclockwise	2306713	2307363	49.72	aidD	Alkylation	"Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA"	AlkB mutants are extremely sensitive to MMS. Also repairs alkylated mRNA and tRNA in vivo and in vitro, the first example of direct RNA repair. Repairs epsilonA and epsilonC. Ada regulon.	24075.53
EG10040	ampC	ECK4146	P00811	b4150	CG1033	g1790593	JW4111	13592	EB0038	aa	"OK; Verified[19]"	377	Counterclockwise	4375834	4376967	94.31	ampA	Ampicillin	"Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein"	False positive lipoprotein prediction.  Verified SPI substrate.	41555.59
EG10041	ampD	ECK0109	P13016	b0110	CG30478	g1786300	JW0106	380	EB0039	aa	OK	183	Clockwise	118733	119284	2.56	Null	Ampicillin	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	2/87 AmpD peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	20536.17
EG10043	cysQ	ECK4210	P22255	b4214	CG34409	g1790659	JW4172	13786	EB0041	aa	OK	246	Clockwise	4434778	4435518	95.58	"amt;amtA"	Cysteine	"3'-phosphoadenosine 5'-phosphate (pAp) phosphatase; converts pAp to AMP; inhibited by lithium and calcium, leading to pAP accumulation; probable PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase: probably converts PAPS to"	CysQ is a main target of lithium toxicity in vivo. CysQ (AmtA) was originally thought to be involved in ammonium transport. CysQ may be part of a futile sulfur cycle with APS kinase CysC. 6/78 CysQ peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	27175.86
EG10045	ansA	ECK1765	P0A962	b1767	CG1030	g1788065	JW1756	5886	EB0043	aa	OK	338	Clockwise	1848884	1849900	39.85	Null	Asparaginase	L-Asparaginase I	Null	37127.24
EG10046	ansB	ECK2952	P00805	b2957	CG30045	g1789327	JW2924	9700	EB0044	aa	"OK; Verified[22]"	348	Counterclockwise	3097704	3098750	66.77	Null	Asparaginase	L-Asparaginase II	Null	36850.69
EG10047	apaG	ECK0051	P62672	b0050	CG30310	g1786235	JW0049	169	EB0045	aa	OK	125	Counterclockwise	51229	51606	1.10	"corD(S.t.);temP"	Adenine-tetraPhosphate-adenine	"Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH"	Null	13866.76
EG10048	apaH	ECK0050	P05637	b0049	CG17761	g1786234	JW0048	167	EB0046	aa	"OK; Verified[1]"	280	Counterclockwise	50380	51222	1.09	cfcB	Adenine-tetraPhosphate-adenine	"Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical"	Required for invasion of cultured mammalian cells by S. typhimurium. Stress response. Complex operon.	31296.72
EG10051	apt	ECK0463	P69503	b0469	CG1029	g1786675	JW0458	1628	EB0049	aa	"OK; Verified[0]"	183	Clockwise	490636	491187	10.57	Null	Adenosine phosphoribosyl transferase	"Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade"	Null	19858.88
EG10054	araC	ECK0065	P0A9E0	b0064	CG1026	g1786251	JW0063	236	EB0052	aa	"OK; Verified[1]"	292	Clockwise	70387	71265	1.52	Null	Arabinose	"Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator"	"AraC activates transcrption for araE and the araBAD and araFGH operons; AraC transcriptional activator family prototype."	33383.91
EG10057	araF	ECK1899	P02924	b1901	CG1023	g1788211	JW1889	6330	EB0055	aa	"OK; Verified[23]"	329	Counterclockwise	1983163	1984152	42.74	Null	Arabinose	L-Arabinose-binding protein, periplasmic	Null	35540.90
EG10058	araG	ECK1898	P0AAF3	b1900	CG1022	g1788210	JW1888	6328	EB0056	aa	OK	504	Counterclockwise	1981579	1983093	42.71	Null	Arabinose	Arabinose ABC transporter ATP-binding protein	Null	55018.23
EG10059	araH	ECK1897	P0AE26	b4460	CG18535	g48994893	JW1887	174093	EB0057	aa	ALT_INIT[-1]	328	Counterclockwise	1980578	1981564	42.69	Null	Arabinose	High-affinity L-arabinose transport, membrane protein	Null	34210.92
EG10061	arcA	ECK4393	P0A9Q1	b4401	CG831	g1790863	JW4364	14434	EB0059	aa	"OK; Verified[0]"	238	Counterclockwise	4637613	4638329	99.96	"cpxC;dye;fexA;msp;seg;sfrA"	Aerobic respiration control	"Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor"	The phosphorylated aerobic respiration control response regulator ArcA is also a direct repressor of rpoS transcription, binding at the promoter region (Mika, 2005).	27292.02
EG10062	arcB	ECK3200	P0AEC3	b3210	CG29063	g48994928	JW5536	10537	EB0060	aa	OK	778	Counterclockwise	3348711	3351047	72.18	Null	Aerobic respiration control	"Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB"	The ArcAB two-component regulatory system represses aerobic genes and activates some anerobic genes under anaerobic growth conditions. ArcB has has one receiver domain and two transmitter domains facilitating a four-step phosphorelay to ArcA and RssB.	87982.91
EG10063	argA	ECK2814	P0A6C5	b2818	CG1021	g1789181	JW2786	9245	EB0061	aa	"OK; Verified[1]"	443	Clockwise	2947264	2948595	63.52	"Arg1;Arg2;argB"	Arginine	"N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine"	Null	49195.19
EG10064	argB	ECK3950	P0A6C8	b3959	CG1020	g87082353	JW5553	12967	EB0062	aa	OK	258	Clockwise	4154036	4154812	89.53	Null	Arginine	N-acetylglutamate kinase	Null	27159.54
EG10065	argC	ECK3949	P11446	b3958	CG1019	g1790396	JW3930	12964	EB0063	aa	OK	334	Clockwise	4153024	4154028	89.51	"Arg2;argH"	Arginine	N-acetyl-gamma-glutamyl-phosphate reductase	4/125 ArgC peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	35952.13
EG10066	argD	ECK3347	P18335	b3359	CG1018	g1789759	JW3322	10976	EB0064	aa	"OK; Verified[1]"	406	Counterclockwise	3486982	3488202	75.16	"alaB;Arg1;argG;dapC;dtu"	Arginine	"Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent"	HT_Cmplx34_Cyt: ArgD+CbpA+PepT.	43766.97
EG10068	argG	ECK3161	P0A6E4	b3172	CG1015	g1789563	JW3140	10428	EB0066	aa	"OK; Verified[1]"	447	Clockwise	3316659	3318002	71.48	"Arg6;argE"	Arginine	Argininosuccinate synthase	Null	49898.40
EG10069	argI	ECK4247	P04391	b4254	CG1013	g1790703	JW4211	13927	EB0067	aa	"OK; Verified[1]"	334	Counterclockwise	4475330	4476334	96.46	Null	Arginine	"Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase"	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	36907.11
EG10071	argS	ECK1877	P11875	b1876	CG1010	g1788184	JW1865	6264	EB0069	aa	"OK; Verified[0]"	577	Clockwise	1958086	1959819	42.20	lov	Arginine	Arginine--tRNA ligase	Null	64682.96
EG10072	argT	ECK2304	P09551	b2310	CG18529	g1788649	JW2307	7621	EB0070	aa	"OK; Verified[22]"	260	Counterclockwise	2425031	2425813	52.27	Null	Arginine	Lys-, Arg-, and Orn-binding protein, periplasmic	After four hours of Zn(II) stress, ArgT protein levels decreased (Easton, 2006).	27991.66
EG10073	aroA	ECK0899	P0A6D3	b0908	CG1008	g1787137	JW0891	3095	EB0071	aa	"OK; Verified[0]"	427	Clockwise	958035	959318	20.65	Null	Aromatic	"5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase"	"The N-terminus of AroA was sequenced in Duncan et al., FEBS Lett. 170:59-63 (1984) but this citation is not in Medline; the sequencing result is noted in pmid 3518706, which is cited in the Verified Set."	46095.78
EG10074	aroB	ECK3376	P07639	b3389	CG1007	g1789791	JW3352	11067	EB0072	aa	OK	362	Counterclockwise	3515420	3516508	75.77	Null	Aromatic	3-Dehydroquinate synthase	Null	38880.99
EG10075	aroC	ECK2323	P12008	b2329	CG1006	g1788669	JW2326	7693	EB0073	aa	"OK; Verified[1]"	361	Counterclockwise	2444410	2445495	52.68	Null	Aromatic	Chorismate synthase	Null	39137.45
EG10077	aroE	ECK3268	P15770	b3281	CG1004	g1789675	JW3242	10763	EB0075	aa	"OK; Verified[0]"	272	Counterclockwise	3428042	3428860	73.89	Null	Aromatic	Shikimate 5-dehydrogenase	Also called dehydroshikimate reductase.  AroE is paralogous to YdiB. 	29413.64
EG10078	aroF	ECK2598	P00888	b2601	CG1003	g1788953	JW2582	8549	EB0076	aa	"OK; Verified[0]"	356	Counterclockwise	2738102	2739172	59.01	Null	Aromatic	"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon"	The 40 N-terminal amino acids of AroF were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38803.96
EG10079	aroG	ECK0743	P0AB91	b0754	CG1002	g1786969	JW0737	2560	EB0077	aa	"OK; Verified[0]"	350	Clockwise	784856	785908	16.92	Null	Aromatic	"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon"	The 40 N-terminal amino acids of AroG were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38009.52
EG10080	aroH	ECK1702	P00887	b1704	CG1001	g1787996	JW1694	5686	EB0078	aa	"OK; Verified[0]"	348	Clockwise	1786459	1787505	38.50	Null	Aromatic	"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible"	The 40 N-terminal amino acids of AroH were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	38735.06
EG10081	aroK	ECK3377	P0A6D7	b3390	CG30224	g87082255	JW5947	11069	EB0079	aa	"ALT_INIT[-67]; Verified[1]"	173	Counterclockwise	3516565	3517086	75.79	Null	Aromatic	"Shikimate kinase I; alkali-inducible"	Null	19538.05
EG10084	aroP	ECK0111	P15993	b0112	CG998	g1786302	JW0108	384	EB0082	aa	OK	457	Counterclockwise	120178	121551	2.59	Null	Aromatic	General aromatic amino acid transport	Tyr regulon.	49690.13
EG10087	ascG	ECK2709	P24242	b2714	CG33230	g1789068	JW5434	8922	EB0085	aa	OK	337	Counterclockwise	2836276	2837289	61.13	sac	Arbutin, salicin, cellobiose	Repressor of cryptic asc operon	Null	36944.39
EG10088	asd	ECK3419	P0A9Q9	b3433	CG996	g1789841	JW3396	11211	EB0086	aa	"OK; Verified[0]"	367	Counterclockwise	3571798	3572901	76.98	"dap;hom"	Aspartate semialdehyde deHase	Aspartate semialdehyde dehydrogenase	Null	40017.88
EG10094	asnS	ECK0921	P0A8M0	b0930	CG993	g1787161	JW0913	3162	EB0092	aa	"OK; Verified[1]"	466	Counterclockwise	986808	988208	21.27	"lcs;tss"	Asparagine	Asparagine--tRNA ligase	Null	52570.44
EG10095	aspA	ECK4133	P0AC38	b4139	CG991	g87082375	JW4099	13551	EB0093	aa	"ALT_INIT[-15]; Verified[1]"	478	Counterclockwise	4364914	4366350	94.08	Null	Aspartate	"L-Aspartate ammonia-lyase; L-aspartase"	Tetrameric enzyme.  Repressed by nitrate via NarXL mediated repression.	52356.13
EG10096	aspC	ECK0919	P00509	b0928	CG990	g1787159	JW0911	3150	EB0094	aa	"OK; Verified[0]"	396	Counterclockwise	983742	984932	21.20	Null	Aspartate	"Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K"	Null	43573.36
EG10097	aspS	ECK1867	P21889	b1866	CG32508	g1788173	JW1855	6226	EB0095	aa	"OK; Verified[0]"	590	Counterclockwise	1946774	1948546	41.96	tls	Aspartate	Aspartate--tRNA ligase	Null	65913.45
EG10098	atpA	ECK3727	P0ABB0	b3734	CG33	g1790172	JW3712	12213	EB0096	aa	"OK; Verified[0]"	513	Counterclockwise	3916339	3917880	84.41	"papA;uncA"	ATP	ATP synthase subunit alpha, membrane-bound, F1 sector	Binds TrxA (Kumar, 2004). HT_Cmplx10_Mem: AtpA+AtpD+AtpG. HT_Cmplx1_Cyt: AtpA+AtpD.	55222.08
EG10099	atpB	ECK3731	P0AB98	b3738	CG32	g1790176	JW3716	12222	EB0097	aa	OK	271	Counterclockwise	3919259	3920074	84.47	"papD;uncB"	ATP	ATP synthase subunit a, membrane-bound, F0 sector	Null	30303.26
EG10100	atpC	ECK3724	P0A6E6	b3731	CG31	g1790169	JW3709	12206	EB0098	aa	"OK; Verified[1]"	139	Counterclockwise	3913576	3913995	84.35	"papG;uncC"	ATP	ATP synthase subunit epsilon, membrane-bound, F1 sector	Null	15068.27
EG10101	atpD	ECK3725	P0ABB4	b3732	CG30	g1790170	JW3710	12208	EB0099	aa	"OK; Verified[1]"	460	Counterclockwise	3914016	3915398	84.36	"papB;uncD"	ATP	ATP synthase subunit beta, membrane-bound, F1 sector	Binds TrxA (Kumar, 2004). HT_Cmplx10_Mem: AtpA+AtpD+AtpG. HT_Cmplx1_Cyt: AtpA+AtpD.	50325.42
EG10102	atpE	ECK3730	P68699	b3737	CG29	g1790175	JW3715	12220	EB0100	aa	"OK; Verified[0]"	79	Counterclockwise	3918973	3919212	84.47	"papH;uncE"	ATP	"ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding"	Null	8256.11
EG10103	atpF	ECK3729	P0ABA0	b3736	CG28	g1790174	JW3714	12217	EB0101	aa	"OK; Verified[0]"	156	Counterclockwise	3918441	3918911	84.46	"papF;uncF"	ATP	ATP synthase subunit b, membrane-bound, F0 sector	Null	17263.96
EG10104	atpG	ECK3726	P0ABA6	b3733	CG27	g1790171	JW3711	12211	EB0102	aa	"OK; Verified[1]"	287	Counterclockwise	3915425	3916288	84.39	"papC;uncG"	ATP	ATP synthase subunit gamma, membrane-bound, F1 sector	HT_Cmplx10_Mem: AtpA+AtpD+AtpG.	31577.42
EG10105	atpH	ECK3728	P0ABA4	b3735	CG26	g1790173	JW3713	12215	EB0103	aa	"OK; Verified[1]"	177	Counterclockwise	3917893	3918426	84.44	"papE;uncH"	ATP	ATP synthase subunit delta, membrane-bound, F1 sector	Null	19332.22
EG10107	avtA	ECK3561	P09053	b3572	CG971	g48994949	JW5652	11671	EB0105	aa	OK	417	Clockwise	3737728	3738981	80.56	Null	Alanine-valine transaminase	"Valine--pyruvate aminotransferase 1; transaminase C; glutamic-pyruvic transaminase (GPT)"	3/30 AvtA peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	46711.23
EG10108	bcp	ECK2476	P0AE52	b2480	CG33035	g1788825	JW2465	8171	EB0106	aa	"OK; Verified[0]"	156	Clockwise	2598500	2598970	56.01	Null	Bacterioferritin comigratory protein	"Thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity"	Downregulated twofold by GSNO in defined medium (anaerobic).	17633.94
EG10110	betB	ECK0310	P17445	b0312	CG17737	g1786504	JW0304	1072	EB0108	aa	"OK; Verified[1]"	490	Counterclockwise	326485	327957	7.04	Null	Betaine	"Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric"	The bet genes are induced by choline, oxygen, and osmotic stress. ArcA regulon.	52911.13
EG10112	betT	ECK0312	P0ABC9	b0314	CG18505	g1786506	JW0306	1080	EB0110	aa	OK	677	Clockwise	328687	330720	7.08	Null	Betaine	"High-affinity choline transporter; BCCT family; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	The bet genes are induced by choline, oxygen, and osmotic stress. ArcA regulon.	75842.19
EG10113	bfr	ECK3323	P0ABD3	b3336	CG32528	g1789733	JW3298	10903	EB0111	aa	"OK; Verified[0]"	158	Counterclockwise	3464271	3464747	74.67	Null	Bacterioferritin	"Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer"	Null	18495.03
EG10117	bioA	ECK0763	P12995	b0774	CG959	g1786991	JW0757	2635	EB0115	aa	OK	429	Counterclockwise	807191	808480	17.40	Null	Biotin	7,8-diaminopelargonic acid aminotransferase	7/66 BioA peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	47335.59
EG10118	bioB	ECK0764	P12996	b0775	CG958	g1786992	JW0758	2644	EB0116	aa	OK	346	Clockwise	808567	809607	17.43	Null	Biotin	"Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme"	Radical SAM superfamily.  BioB contains two distinct Fe-S cluster binding sites, one site accommodates a [2Fe-2S](2+) cluster with partial noncysteinyl ligation, the other site accommodates a [4Fe-4S](2+,+) cluster that binds S-adenosylmethionine (SAM) at a unique Fe site of the [4Fe-4S](2+) cluster and undergoes O(2)-induced degradation via a distinct type of [2Fe-2S](2+) cluster intermediate.	38648.09
