Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P37749	yefG		b2034	JW2019	YEFG_ECOLI	Cytoplasm. 	Predicted		Uncharacterized protein yefG (GalF transferase)	"GO:0005737; GO:0009103; GO:0008921"	"Complete proteome; Cytoplasm; Lipopolysaccharide biosynthesis; Transferase"	330	
A5A621	ypfM		b4606	JW2454.1	YPFM_ECOLI	Cytoplasm. 	Evidence at protein level		Uncharacterized protein ypfM	GO:0005737	"Complete proteome; Cytoplasm"	19	
P64567	yqgB		b2939	JW2906	YQGB_ECOLI	Cytoplasm. 	Evidence at protein level	YqgB family	Uncharacterized protein yqgB	"GO:0033554; GO:0005737"	"Complete proteome; Cytoplasm"	43	
P27242	waaU	rfaK waaK	b3623	JW3598	WAAU_ECOLI	"Membrane; Peripheral membrane protein. "	Predicted		Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)	"GO:0008917; GO:0009103; GO:0016020"	"Complete proteome; Glycosyltransferase; Lipopolysaccharide biosynthesis; Membrane; Transferase"	357	
C1P611	shoB	ryfB yphI	b4687	JW2546.1	SHOB_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at transcript level		Small toxic protein shoB	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	26	
P39308	yjfZ		b4204	JW4162	YJFZ_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized protein yjfZ	"GO:0016021; GO:0005515"	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	264	
C1P603	yoaJ		b4675	JW5292.2	YOAJ_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized protein yoaJ	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	24	
P52697	pgl	ybhE	b0767	JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P23325	arpA	arp yjaC	b4017	JW3977	ARPA_ECOLI		Predicted		Ankyrin repeat protein A (Ankyrin-like regulatory protein)		"ANK repeat; Complete proteome; Repeat"	728	
P33647	chpB	chpBK yjfE	b4225	JW4184	CHPB_ECOLI		Inferred from homology	PemK family	PemK-like protein 2	"GO:0003677; GO:0016891; GO:0030308"	"Complete proteome; DNA-binding"	116	
P08365	chpS	chpBI yjfB	b4224	JW5750	CHPS_ECOLI		Evidence at protein level	PemI family	PemI-like protein 2	"GO:0003677; GO:0030307; GO:0005515"	"Complete proteome; DNA-binding"	83	
P0ACF4	hupB	hopD	b0440	JW0430	DBHB_ECOLI		Evidence at protein level	Bacterial histone-like protein family	DNA-binding protein HU-beta (HU-1) (NS1)	"GO:0003677; GO:0030261; GO:0005515; GO:0006350; GO:0016563; GO:0016564"	"3D-structure; Complete proteome; DNA condensation; DNA-binding; Direct protein sequencing"	90	
P10805	envY		b0566	JW0555	ENVY_ECOLI		Predicted		Porin thermoregulatory protein envY	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	253	
P0AB87	fucA	fucC prd	b2800	JW2771	FUCA_ECOLI		Evidence at protein level	Aldolase class II family, AraD/fucA subfamily	L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)	"GO:0019571; GO:0042355; GO:0008738; GO:0005515; GO:0008270"	"3D-structure; Carbohydrate metabolism; Complete proteome; Fucose metabolism; Lyase; Metal-binding; Zinc"	215	
P09148	galT	galB	b0758	JW0741	GAL7_ECOLI		Evidence at protein level	Galactose-1-phosphate uridylyltransferase type 1 family	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	"GO:0008108; GO:0008198; GO:0033499; GO:0005515; GO:0008270"	"3D-structure; Carbohydrate metabolism; Complete proteome; Galactose metabolism; Iron; Metal-binding; Nucleotidyltransferase; Transferase; Zinc"	348	
P09147	galE	galD	b0759	JW0742	GALE_ECOLI		Evidence at protein level	Sugar epimerase family	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	"GO:0070403; GO:0003978; GO:0009242; GO:0005829; GO:0033499"	"3D-structure; Carbohydrate metabolism; Complete proteome; Galactose metabolism; Isomerase; NAD"	338	
P68066	grcA	yfiD	b2579	JW2563	GRCA_ECOLI		Evidence at protein level		Autonomous glycyl radical cofactor	"GO:0003824; GO:0005737; GO:0006950"	"Acetylation; Complete proteome; Direct protein sequencing; Organic radical; Stress response"	127	
P25666	htrL	yibB	b3618	JW5644	HTRL_ECOLI		Predicted		Protein htrL	GO:0009103	"Complete proteome; Lipopolysaccharide biosynthesis"	285	
C1P607	ibsA		b4667	JW2058.1	IBSA_ECOLI		Evidence at transcript level	Toxic protein ibs family	Small toxic protein ibsA		Complete proteome	19	
C1P608	ibsB		b4668	JW2058.2	IBSB_ECOLI		Evidence at transcript level	Toxic protein ibs family	Small toxic protein ibsB		Complete proteome	18	
C1P615	ibsC		b4665	JW2879.1	IBSC_ECOLI		Evidence at transcript level	Toxic protein ibs family	Small toxic protein ibsC		Complete proteome	19	
C1P617	ibsE		b4666	JW3023.2	IBSE_ECOLI		Evidence at transcript level	Toxic protein ibs family	Small toxic protein ibsE		Complete proteome	19	
C1P619	ilvX		b4669	JW3740.1	ILVX_ECOLI		Evidence at protein level		Uncharacterized protein ilvX		Complete proteome	16	
P0AD72	pheL	pheAE	b2598	JW2579	LPF_ECOLI		Predicted		Phe operon leader peptide (Phe operon attenuator peptide)		"Complete proteome; Leader peptide"	15	
P0AD74	pheM	phtL	b1715	JW1705	LPF2_ECOLI		Predicted		Phenylalanyl--tRNA ligase operon leader peptide (PheST attenuator peptide)		"Complete proteome; Leader peptide"	14	
A8DYP9	uof		b4637		LPFUR_ECOLI		Evidence at protein level		Fur leader peptide		"Complete proteome; Leader peptide"	28	
P60995	hisL		b2018	JW2000	LPHI_ECOLI		Inferred from homology	HisL family	His operon leader peptide (His operon attenuator peptide)	GO:0000105	"Amino-acid biosynthesis; Complete proteome; Histidine biosynthesis; Leader peptide"	16	
P62522	ilvL		b3766	JW3739	LPID_ECOLI		Predicted		IlvGMEDA operon leader peptide (IlvGMEDA operon attenuator peptide)	GO:0009082	"Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Leader peptide"	32	
P03061	ivbL		b3672	JW3647	LPIV_ECOLI		Predicted		IlvBN operon leader peptide (IlvBN operon attenuator peptide)	GO:0009082	"Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Leader peptide"	32	
P0AD83	pyrL		b4246	JW4205	LPPY_ECOLI		Predicted		PyrBI operon leader peptide (PyrBI operon attenuator)	"GO:0019856; GO:0006221; GO:0031555"	"Complete proteome; Leader peptide; Pyrimidine biosynthesis"	44	
P0AD86	thrL		b0001	JW4367	LPT_ECOLI		Inferred from homology	Thr operon leader peptide family	Thr operon leader peptide (Thr operon attenuator)	"GO:0009088; GO:0031556"	"Amino-acid biosynthesis; Complete proteome; Leader peptide; Threonine biosynthesis"	21	
P0AD92	trpL	trpEE	b1265	JW1257	LPW_ECOLI		Evidence at protein level		Trp operon leader peptide	GO:0000162	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Leader peptide; Tryptophan biosynthesis"	14	
P06993	malT	malA	b3418	JW3381	MALT_ECOLI		Evidence at protein level		HTH-type transcriptional regulator malT (ATP-dependent transcriptional activator malT)	"GO:0005524; GO:0005975; GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"3D-structure; ATP-binding; Activator; Carbohydrate metabolism; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	901	
P75959	nagK	ycfX	b1119	JW1105	NAGK_ECOLI		Evidence at protein level	ROK (nagC/xylR) family, NagK subfamily	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	"GO:0005524; GO:0045127; GO:0046872; GO:0005515"	"ATP-binding; Carbohydrate metabolism; Complete proteome; Direct protein sequencing; Kinase; Metal-binding; Nucleotide-binding; Transferase; Zinc"	303	
P76077	paaA	ydbO	b1388	JW1383	PAAA_ECOLI		Evidence at transcript level		Phenylacetic acid degradation protein paaA	"GO:0055114; GO:0016491; GO:0046914"	Complete proteome	309	
P76078	paaB	ynbF	b1389	JW1384	PAAB_ECOLI		Evidence at transcript level		Phenylacetic acid degradation protein paaB		Complete proteome	95	
P76079	paaC	ydbP	b1390	JW1385	PAAC_ECOLI		Evidence at protein level		Phenylacetic acid degradation protein paaC	"GO:0055114; GO:0016491; GO:0046914"	"3D-structure; Complete proteome"	248	
P76080	paaD	ydbQ	b1391	JW5217	PAAD_ECOLI		Evidence at transcript level		Phenylacetic acid degradation protein paaD		Complete proteome	165	
P76081	paaE	ydbR	b1392	JW1387	PAAE_ECOLI		Evidence at transcript level	FAD-binding oxidoreductase type 6 family	Probable phenylacetic acid degradation NADH oxidoreductase paaE (EC 1.-.-.-)	"GO:0051537; GO:0009055; GO:0022900; GO:0046872; GO:0016491; GO:0006810"	"2Fe-2S; Complete proteome; Electron transport; FAD; Flavoprotein; Iron; Iron-sulfur; Metal-binding; NAD; Oxidoreductase; Transport"	356	
P77467	paaG	ydbT	b1394	JW1389	PAAG_ECOLI		Evidence at protein level	Enoyl-CoA hydratase/isomerase family	Probable enoyl-CoA hydratase paaG (EC 4.2.1.17)	"GO:0004300; GO:0006631; GO:0005515"	"Complete proteome; Fatty acid metabolism; Lipid metabolism; Lyase"	262	
P76084	paaI	ydbV	b1396	JW1391	PAAI_ECOLI		Evidence at protein level	Thioesterase paaI family	Acyl-coenzyme A thioesterase paaI (EC 3.1.2.-) (Phenylacetic acid degradation protein paaI)	GO:0016787	"3D-structure; Complete proteome; Hydrolase"	140	
P0C7L2	paaJ	paaE ydbW	b1397	JW1392	PAAJ_ECOLI		Evidence at protein level	Thiolase family	Beta-ketoadipyl-CoA thiolase (EC 2.3.1.174) (3-oxoadipyl-CoA thiolase)	"GO:0033812; GO:0008415; GO:0010124; GO:0019619"	"Acyltransferase; Complete proteome; Transferase"	401	
P76085	paaK		b1398	JW5218	PAAK_ECOLI		Evidence at protein level		Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)	"GO:0005524; GO:0047475"	"ATP-binding; Complete proteome; Direct protein sequencing; Ligase; Nucleotide-binding"	437	
P76086	paaX	ydbY	b1399	JW1394	PAAX_ECOLI		Evidence at protein level		Phenylacetic acid degradation operon negative regulatory protein paaX	"GO:0003677; GO:0006350; GO:0016564"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	316	
P77181	paaY	ydbZ	b1400	JW1395	PAAY_ECOLI		Inferred from homology	Transferase hexapeptide repeat family	Phenylacetic acid degradation protein paaY	GO:0016740	"Complete proteome; Repeat; Transferase"	196	
P02338	tpr		b1229	JW1219	PRTL_ECOLI		Predicted		Protamine-like protein		Complete proteome	29	
P69407	rcsB		b2217	JW2205	RCSB_ECOLI		Evidence at protein level		Capsular synthesis regulator component B	"GO:0005622; GO:0005515; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0016563; GO:0016564; GO:0000156; GO:0000160"	"Activator; Capsule biogenesis/degradation; Complete proteome; DNA-binding; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	216	
P27127	rfaB	waaB	b3628	JW3603	RFAB_ECOLI		Evidence at protein level	Glycosyltransferase 1 family	Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-) (UDP-D-galactose--(Glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase)	"GO:0009103; GO:0005515; GO:0016757"	"Complete proteome; Glycosyltransferase; Lipopolysaccharide biosynthesis; Transferase"	359	
P27126	rfaS		b3629	JW3604	RFAS_ECOLI		Evidence at protein level		Lipopolysaccharide core biosynthesis protein rfaS	"GO:0009103; GO:0005515"	"Complete proteome; Lipopolysaccharide biosynthesis"	311	
P27241	rfaZ		b3624	JW3599	RFAZ_ECOLI		Predicted		Lipopolysaccharide core biosynthesis protein rfaZ	GO:0009103	"Complete proteome; Lipopolysaccharide biosynthesis"	283	
P05719	hsdS	hss	b4348	JW4311	T1SK_ECOLI		Evidence at protein level	Type-I restriction system S methylase family	Type-1 restriction enzyme EcoKI specificity protein (S.EcoKI) (Type I restriction enzyme EcoKI specificity protein) (S protein)	"GO:0003677; GO:0009307; GO:0005515"	"Complete proteome; DNA-binding; Direct protein sequencing; Restriction system"	464	
P36667	wbbL		b4571	JW2016	WBBL_ECOLI		Evidence at protein level	Glycosyltransferase 2 family	dTDP-Rha:alpha-D-GlcNAc-pyrophosphate polyprenol, alpha-3-L-rhamnosyltransferase (EC 2.4.-.-) (Rhamnosyltransferase)	"GO:0009103; GO:0016757"	"Complete proteome; Glycosyltransferase; Lipopolysaccharide biosynthesis; Transferase"	264	
P45563	xapA	pndA	b2407	JW2398	XAPA_ECOLI		Evidence at protein level	PNP/MTAP phosphorylase family	Xanthosine phosphorylase (EC 2.4.2.-)	"GO:0005737; GO:0015949; GO:0009116; GO:0004731"	"3D-structure; Complete proteome; Glycosyltransferase; Transferase"	277	
P23841	xapR	pndR yfeB	b2405	JW2396	XAPR_ECOLI		Evidence at protein level		HTH-type transcriptional regulator xapR (Xanthosine operon regulatory protein)	"GO:0003677; GO:0043193; GO:0005515; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	294	
P75688			b0309		Y309_ECOLI		Uncertain		Putative uncharacterized protein b0309		Complete proteome	70	
P08339			b4223	JW4182	Y4223_ECOLI		Predicted		Putative uncharacterized protein b4223		Complete proteome	89	
Q47152	yafM		b0228	JW0218	YAFM_ECOLI		Evidence at protein level		Uncharacterized protein yafM	GO:0005515	Complete proteome	165	
P71311	yaiS		b0364	JW0356	YAIS_ECOLI		Inferred from homology	PIGL family	Uncharacterized deacetylase yaiS (EC 3.-.-.-)	GO:0016787	"Complete proteome; Hydrolase"	185	
P0AAS9	ybdD		b4512	JW0591	YBDD_ECOLI		Predicted		Uncharacterized protein ybdD		Complete proteome	65	
P77216	ybdN		b0602	JW0595	YBDN_ECOLI		Predicted		Uncharacterized protein ybdN	GO:0016740	Complete proteome	406	
P77746	ybdO		b0603	JW0596	YBDO_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator ybdO	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	300	
P77427	ybeU		b0648	JW0643	YBEU_ECOLI		Predicted		Uncharacterized protein ybeU		Complete proteome	235	
P21829	ybhA		b0766	JW0749	YBHA_ECOLI		Inferred from homology	HAD-like hydrolase superfamily, Cof family	Phosphatase ybhA (EC 3.1.3.-)	"GO:0005524; GO:0006754; GO:0015662; GO:0000287; GO:0016020; GO:0016773; GO:0033883; GO:0050308"	"Complete proteome; Hydrolase; Magnesium; Metal-binding"	272	
P52696	ybhD		b0768	JW5896	YBHD_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator ybhD	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	317	
P0AAV8	ybhH		b0769	JW0752	YBHH_ECOLI		Predicted		Uncharacterized protein ybhH		Complete proteome	350	
P75764	ybhJ		b0771	JW5103	YBHJ_ECOLI		Inferred from homology	Aconitase/IPM isomerase family	Uncharacterized protein ybhJ	"GO:0051536; GO:0008152; GO:0046872"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	753	
P62066	yceQ		b1085	JW5154	YCEQ_ECOLI		Predicted		Uncharacterized protein yceQ		Complete proteome	106	
P37052	ychJ		b1233	JW1221	YCHJ_ECOLI		Evidence at protein level	UPF0225 family	UPF0225 protein ychJ	GO:0005515	Complete proteome	152	
P76023	ychS		b1228	JW5881	YCHS_ECOLI		Uncertain		Putative uncharacterized protein ychS		Complete proteome	91	
A5A613	yciY		b4595		YCIY_ECOLI		Inferred from homology	YciY family	Uncharacterized protein yciY		Complete proteome	57	
P25906	ydbC		b1406	JW1403	YDBC_ECOLI		Evidence at protein level	Aldo/keto reductase 2 family	Putative oxidoreductase ydbC (EC 1.-.-.-)	"GO:0055114; GO:0016491; GO:0005515"	"Complete proteome; NADP; Oxidoreductase"	286	
P37757	yddE		b1464	JW1459	YDDE_ECOLI		Evidence at protein level	PhzF family	Uncharacterized isomerase yddE (EC 5.1.-.-) (ORFB)	"GO:0009058; GO:0016853"	"3D-structure; Complete proteome; Isomerase"	297	
P76122	yddJ		b1470	JW1466	YDDJ_ECOLI		Evidence at protein level		Uncharacterized protein yddJ	GO:0005515	Complete proteome	111	
P76123	yddK		b1471	JW1467	YDDK_ECOLI		Uncertain		Putative uncharacterized protein yddK	GO:0005515	"Complete proteome; Leucine-rich repeat; Repeat"	318	
P76204	ydiV		b1707	JW1697	YDIV_ECOLI		Evidence at transcript level	CdgR / YdiV family	Regulatory protein YdiV		Complete proteome	237	
P0ACY3	yeaG		b1783	JW1772	YEAG_ECOLI		Inferred from homology	PrkA family	Uncharacterized protein yeaG	GO:0004672	Complete proteome	644	
P76322	yedM		b1935	JW1920	YEDM_ECOLI		Evidence at protein level		Uncharacterized protein yedM	GO:0005515	Complete proteome	116	
P69346	yefM		b2017	JW5835	YEFM_ECOLI		Evidence at protein level	YefM family	Antitoxin yefM		"3D-structure; Complete proteome"	83	
P76484	yfbN		b2273	JW2268	YFBN_ECOLI		Evidence at protein level		Uncharacterized protein yfbN		Complete proteome	238	
P76485	yfbO		b2274	JW2269	YFBO_ECOLI		Predicted		Uncharacterized protein yfbO		Complete proteome	140	
P76486	yfbP		b2275	JW2270	YFBP_ECOLI		Predicted		Uncharacterized protein yfbP	GO:0005488	Complete proteome	283	
P76505	yfdF		b2345	JW2342	YFDF_ECOLI		Predicted		Uncharacterized protein yfdF		Complete proteome	352	
P45956	ygbF		b2754	JW5438	YGBF_ECOLI		Predicted		Uncharacterized protein ygbF		Complete proteome	94	
Q46896	ygbT		b2755	JW2725	YGBT_ECOLI		Evidence at protein level		Uncharacterized protein ygbT		"3D-structure; Complete proteome"	305	
P38036	ygcB		b2761	JW2731	YGCB_ECOLI		Inferred from homology	GSP E family	Uncharacterized protein ygcB	"GO:0005524; GO:0008026; GO:0051607; GO:0003676; GO:0006810"	"ATP-binding; Complete proteome; Nucleotide-binding; Transport"	888	
Q46897	ygcH		b2756	JW2726	YGCH_ECOLI		Predicted		Uncharacterized protein ygcH	GO:0006396	Complete proteome	199	
Q46898	ygcI		b2757	JW5844	YGCI_ECOLI		Predicted		Uncharacterized protein ygcI		"Complete proteome; Signal"	224	
Q46899	ygcJ		b2758	JW2728	YGCJ_ECOLI		Evidence at protein level		Uncharacterized protein ygcJ	GO:0005515	Complete proteome	363	
P76632	ygcK		b2759	JW2729	YGCK_ECOLI		Predicted		Uncharacterized protein ygcK		Complete proteome	160	
Q46787	ygeG		b2851	JW2819	YGEG_ECOLI		Inferred from homology	LcrH/sycD chaperone family	Uncharacterized protein ygeG	"GO:0005488; GO:0006950"	"Chaperone; Complete proteome"	163	
Q46789	ygeI		b2853	JW5456	YGEI_ECOLI		Predicted		Uncharacterized protein ygeI		Complete proteome	72	
Q46796	ygeP		b2862	JW2831	YGEP_ECOLI		Evidence at protein level		Uncharacterized protein ygeP	GO:0005515	Complete proteome	99	
P64594	yhaV		b3130	JW3099	YHAV_ECOLI		Predicted		Uncharacterized protein yhaV	"GO:0004521; GO:0030308; GO:0016481; GO:0003700"	Complete proteome	154	
P31453	yidP		b3684	JW3661	YIDP_ECOLI		Evidence at protein level		Uncharacterized HTH-type transcriptional regulator yidP	"GO:0003677; GO:0005622; GO:0005515; GO:0006355; GO:0003700; GO:0006350; GO:0030528"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	238	
P09162	yjaA		b4011	JW3971	YJAA_ECOLI		Predicted		Uncharacterized protein yjaA	"GO:0071468; GO:0070301; GO:0044011"	Complete proteome	127	
P32704	yjcF		b4066	JW4027	YJCF_ECOLI		Predicted		Uncharacterized protein yjcF		Complete proteome	430	
P39283	yjeN		b4157	JW4118	YJEN_ECOLI		Predicted		Uncharacterized protein yjeN		Complete proteome	104	
C1P621	yjeV		b4670	JW5740.1	YJEV_ECOLI		Evidence at protein level		Uncharacterized protein yjeV		Complete proteome	17	
P0AF78	yjfJ		b4182	JW4140	YJFJ_ECOLI		Inferred from homology	PspA/IM30 family	Uncharacterized protein YjfJ		"Complete proteome; Signal"	232	
P39351	yjgZ		b4277	JW4236	YJGZ_ECOLI		Evidence at protein level		Uncharacterized protein yjgZ	GO:0005515	Complete proteome	109	
P39358	yjhG		b4297	JW4259	YJHG_ECOLI		Evidence at protein level	IlvD/edd family	Uncharacterized protein yjhG (EC 4.-.-.-)	"GO:0016829; GO:0005515"	"Complete proteome; Lyase"	655	
P39359	yjhH		b4298	JW5775	YJHH_ECOLI		Inferred from homology	DHDPS family	Uncharacterized protein yjhH	GO:0016829	"Complete proteome; Lyase"	301	
P39360	yjhI		b4299	JW4261	YJHI_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator yjhI	"GO:0003677; GO:0006355; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	262	
P39356	yjhU		b4295	JW5952	YJHU_ECOLI		Inferred from homology	SorC transcriptional regulatory family	Uncharacterized transcriptional regulator yjhU	"GO:0003677; GO:0030246; GO:0006350; GO:0030528"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	328	
P39389	yjiR		b4340	JW4303	YJIR_ECOLI		Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Uncharacterized HTH-type transcriptional regulator yjiR	"GO:0003677; GO:0005622; GO:0005515; GO:0030170; GO:0006355; GO:0003700; GO:0008483; GO:0006350"	"Aminotransferase; Complete proteome; DNA-binding; Pyridoxal phosphate; Transcription; Transcription regulation; Transferase"	470	
P39390	yjiS		b4341	JW4304	YJIS_ECOLI		Predicted		Uncharacterized protein yjiS		Complete proteome	54	
P39410	yjjJ		b4385	JW4348	YJJJ_ECOLI		Predicted		Uncharacterized protein yjjJ		Complete proteome	443	
P39399	yjjM		b4357	JW5792	YJJM_ECOLI		Evidence at transcript level		Probable HTH-type transcriptional regulator YjjM	"GO:0019584; GO:0005622; GO:0006355; GO:0003700"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	304	
P56614	ymdF		b4518	JW5136	YMDF_ECOLI		Evidence at protein level	Con-10 family	Uncharacterized protein ymdF	GO:0005515	Complete proteome	57	
A5A611	ymgI		b4593		YMGI_ECOLI		Predicted		Uncharacterized protein ymgI		Complete proteome	57	
P77658	ynaA		b1368	JW1361	YNAA_ECOLI		Uncertain		Putative uncharacterized protein ynaA		Complete proteome	342	
C1P600	ynbG		b4674	JW1395.1	YNBG_ECOLI		Evidence at protein level		Uncharacterized protein ynbG		Complete proteome	21	
C1P604	yobI		b4677	JW1850.1	YOBI_ECOLI		Evidence at protein level		Uncharacterized protein yobI		Complete proteome	21	
