Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
b0590	fepD	ferric enterobactin (enterochelin) transport	 	621412	620408	Chromosome Escherichia coli K12-MG1655	
b0591	ybdA	putative transport	 	621523	622773	Chromosome Escherichia coli K12-MG1655	
b0596	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase, enterochelin biosynthesis	1.3.1.28	627774	628520	Chromosome Escherichia coli K12-MG1655	
b0617	citD	citrate lyase acyl carrier protein (gamma chain)	 	650006	649710	Chromosome Escherichia coli K12-MG1655	
b0621	dcuC	transport of dicarboxylates	 	655191	653806	Chromosome Escherichia coli K12-MG1655	
b0625	ybeH	orf, hypothetical protein	 	657254	657481	Chromosome Escherichia coli K12-MG1655	
b0627	ybeC	orf, hypothetical protein	 	658170	658373	Chromosome Escherichia coli K12-MG1655	
b0633	rlpA	a minor lipoprotein	 	664413	663325	Chromosome Escherichia coli K12-MG1655	
b0634	mrdB	rod shape-determining membrane protein; sensitivity to radiation and drugs	 	665536	664424	Chromosome Escherichia coli K12-MG1655	
b0641	rlpB	a minor lipoprotein	 	671409	670828	Chromosome Escherichia coli K12-MG1655	
b0659	ybeY	orf, hypothetical protein	 	691564	691097	Chromosome Escherichia coli K12-MG1655	
b0679	nagE	PTS system, N-acetylglucosamine-specific enzyme IIABC	 	703167	705113	Chromosome Escherichia coli K12-MG1655	
b0685	ybfE	orf, hypothetical protein	 	711190	710828	Chromosome Escherichia coli K12-MG1655	
b0729	sucD	succinyl-CoA synthetase, alpha subunit	6.2.1.5	763403	764272	Chromosome Escherichia coli K12-MG1655	
b0731	hrsA	protein modification enzyme, induction of ompC	2.7.1.69	765207	767183	Chromosome Escherichia coli K12-MG1655	
b0739	tolA	membrane spanning protein, required for outer membrane integrity	 	775565	776830	Chromosome Escherichia coli K12-MG1655	
b0753	 	putative homeobox protein	 	784540	784160	Chromosome Escherichia coli K12-MG1655	
b0762	 	orf, hypothetical protein	 	793996	794145	Chromosome Escherichia coli K12-MG1655	
b0764	modB	molybdate transport permease protein	 	795085	795774	Chromosome Escherichia coli K12-MG1655	
b0776	bioF	8-amino-7-oxononanoate synthase	2.3.1.47	809604	810758	Chromosome Escherichia coli K12-MG1655	
b0787	ybhM	orf, hypothetical protein	 	820016	820729	Chromosome Escherichia coli K12-MG1655	
b0788	ybhN	orf, hypothetical protein	 	821721	820765	Chromosome Escherichia coli K12-MG1655	
b0791	ybhQ	orf, hypothetical protein	 	823853	824263	Chromosome Escherichia coli K12-MG1655	
b0795	 	putative membrane protein	 	829195	828197	Chromosome Escherichia coli K12-MG1655	
b0796	ybiH	putative transcriptional regulator	 	829878	829195	Chromosome Escherichia coli K12-MG1655	
b0802	ybiJ	orf, hypothetical protein	 	837148	836888	Chromosome Escherichia coli K12-MG1655	
b0810	glnP	glutamine high-affinity transport system; membrane component	 	846342	845683	Chromosome Escherichia coli K12-MG1655	
b0818	ybiR	orf, hypothetical protein	 	852870	853988	Chromosome Escherichia coli K12-MG1655	
b0831	 	putative transport system permease protein	 	870190	871110	Chromosome Escherichia coli K12-MG1655	
b0836	 	putative receptor	 	877471	877854	Chromosome Escherichia coli K12-MG1655	
b0845	 	putative DEOR-type transcriptional regulator	 	886562	885354	Chromosome Escherichia coli K12-MG1655	
b0850	ybjC	orf, hypothetical protein	 	890136	890423	Chromosome Escherichia coli K12-MG1655	
b0857	potI	putrescine transport protein; permease	 	896307	897152	Chromosome Escherichia coli K12-MG1655	
b0875	aqpZ	transmembrane water channel; aquaporin Z	 	915270	914575	Chromosome Escherichia coli K12-MG1655	
b0910	cmk	cytidylate kinase	2.7.4.14	960424	961107	Chromosome Escherichia coli K12-MG1655	
b0911	rpsA	30S ribosomal subunit protein S1	 	961218	962891	Chromosome Escherichia coli K12-MG1655	
b0920	ycbC	orf, hypothetical protein	 	972624	971845	Chromosome Escherichia coli K12-MG1655	
b0949	uup	putative ATP-binding component of a transport system	 	1009187	1011094	Chromosome Escherichia coli K12-MG1655	
b0958	sulA	suppressor of lon; inhibits cell division and ftsZ ring formation	 	1020142	1019633	Chromosome Escherichia coli K12-MG1655	
b0975	hyaD	processing of HyaA and HyaB proteins	 	1034993	1035580	Chromosome Escherichia coli K12-MG1655	
b0987	ymcD	orf, hypothetical protein	 	1048985	1048662	Chromosome Escherichia coli K12-MG1655	
b1005	ycdF	orf, hypothetical protein	 	1067141	1067371	Chromosome Escherichia coli K12-MG1655	
b1009	 	putative acetyltransferase	 	1070988	1070188	Chromosome Escherichia coli K12-MG1655	
b1015	putP	major sodium/proline symporter	 	1078528	1080036	Chromosome Escherichia coli K12-MG1655	
b1017	 	putative cytochrome	 	1080677	1081408	Chromosome Escherichia coli K12-MG1655	
b1021	ycdP	orf, hypothetical protein	 	1085742	1085329	Chromosome Escherichia coli K12-MG1655	
b1038	csgF	curli production assembly/transport component, 2nd curli operon	 	1101350	1100934	Chromosome Escherichia coli K12-MG1655	
b1040	csgD	putative 2-component transcriptional regulator for 2nd curli operon	 	1102419	1101769	Chromosome Escherichia coli K12-MG1655	
b1042	csgA	curlin major subunit, coiled surface structures; cryptic	 	1103670	1104125	Chromosome Escherichia coli K12-MG1655	
b1057	 	putative cytochrome	 	1118269	1117703	Chromosome Escherichia coli K12-MG1655	
b1065	yceL	orf, hypothetical protein	 	1124579	1123341	Chromosome Escherichia coli K12-MG1655	
b1069	mviN	putative virulence factor	 	1127062	1128597	Chromosome Escherichia coli K12-MG1655	
b1071	flgM	anti-FliA (anti-sigma) factor; also known as RflB protein	 	1129351	1129058	Chromosome Escherichia coli K12-MG1655	
b1075	flgD	flagellar biosynthesis, initiation of hook assembly	 	1131077	1131772	Chromosome Escherichia coli K12-MG1655	
b1084	rne	RNase E, membrane attachment, mRNA turnover, maturation 5S RNA	3.1.4.-	1143590	1140405	Chromosome Escherichia coli K12-MG1655	
b1090	plsX	glycerolphosphate auxotrophy in plsB background	 	1146874	1147914	Chromosome Escherichia coli K12-MG1655	
b1094	acpP	acyl carrier protein	 	1150838	1151074	Chromosome Escherichia coli K12-MG1655	
b1099	holB	DNA polymerase III, delta prime subunit	2.7.7.7	1154985	1155989	Chromosome Escherichia coli K12-MG1655	
b1110	ycfJ	orf, hypothetical protein	 	1166822	1167361	Chromosome Escherichia coli K12-MG1655	
b1122	ymfA	orf, hypothetical protein	 	1180957	1180487	Chromosome Escherichia coli K12-MG1655	
b1138	ymfE	orf, hypothetical protein	 	1197460	1196756	Chromosome Escherichia coli K12-MG1655	
b1172	 	orf, hypothetical protein	 	1222151	1221867	Chromosome Escherichia coli K12-MG1655	
b1178	ycgK	orf, hypothetical protein	 	1226695	1226294	Chromosome Escherichia coli K12-MG1655	
b1183	umuD	SOS mutagenesis; error-prone repair; processed to UmuD; forms complex with UmuC	3.4.21.-	1229990	1230409	Chromosome Escherichia coli K12-MG1655	
b1185	dsbB	reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella.	 	1232253	1231723	Chromosome Escherichia coli K12-MG1655	
b1186	nhaB	Na+/H+ antiporter, pH independent	 	1233940	1232399	Chromosome Escherichia coli K12-MG1655	
b1191	 	orf, hypothetical protein	 	1241168	1239558	Chromosome Escherichia coli K12-MG1655	
b1195	ymgE	orf, hypothetical protein	 	1243951	1244205	Chromosome Escherichia coli K12-MG1655	
b1205	ychH	orf, hypothetical protein	 	1258014	1258292	Chromosome Escherichia coli K12-MG1655	
b1206	ychM	orf, hypothetical protein	 	1259999	1258347	Chromosome Escherichia coli K12-MG1655	
b1216	chaA	sodium-calcium/proton antiporter	 	1271072	1269972	Chromosome Escherichia coli K12-MG1655	
b1223	narK	nitrite extrusion protein	 	1277180	1278571	Chromosome Escherichia coli K12-MG1655	
b1229	tpr	a protaminelike protein	 	1286411	1286310	Chromosome Escherichia coli K12-MG1655	
b1245	oppC	homolog of Salmonella oligopeptide transport permease protein	 	1301858	1302766	Chromosome Escherichia coli K12-MG1655	
b1252	tonB	energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins	 	1309113	1309832	Chromosome Escherichia coli K12-MG1655	
b1254	yciB	orf, hypothetical protein	 	1310914	1310375	Chromosome Escherichia coli K12-MG1655	
b1255	yciC	orf, hypothetical protein	 	1311687	1310944	Chromosome Escherichia coli K12-MG1655	
b1258	yciF	putative structural proteins	 	1313794	1313294	Chromosome Escherichia coli K12-MG1655	
b1265	trpL	trp operon leader peptide	 	1321106	1321062	Chromosome Escherichia coli K12-MG1655	
b1270	btuR	cob(I)alamin adenolsyltransferase	2.5.1.17	1326381	1325791	Chromosome Escherichia coli K12-MG1655	
b1272	sohB	putative protease	3.4.-.-	1327356	1328405	Chromosome Escherichia coli K12-MG1655	
b1279	yciS	orf, hypothetical protein	 	1338267	1338575	Chromosome Escherichia coli K12-MG1655	
b1282	yciH	orf, hypothetical protein	 	1340679	1341008	Chromosome Escherichia coli K12-MG1655	
b1283	osmB	osmotically inducible lipoprotein	 	1341352	1341134	Chromosome Escherichia coli K12-MG1655	
b1289	ycjD	orf, hypothetical protein	 	1349784	1349431	Chromosome Escherichia coli K12-MG1655	
b1311	ycjO	putative binding-protein dependent transport protein	 	1371246	1372127	Chromosome Escherichia coli K12-MG1655	
b1338	ydaJ	putative aminohydrolase (EC 3.5.1.14)	 	1402604	1401279	Chromosome Escherichia coli K12-MG1655	
b1358	ydaT	orf, hypothetical protein	 	1418708	1419130	Chromosome Escherichia coli K12-MG1655	
b1363	trkG	trk system potassium uptake; part of Rac prophage	 	1421806	1423263	Chromosome Escherichia coli K12-MG1655	
b1379	hslJ	heat shock protein hslJ	 	1439767	1439345	Chromosome Escherichia coli K12-MG1655	
b1393	ydbS	putative enzyme	 	1455521	1456288	Chromosome Escherichia coli K12-MG1655	
b1394	 	putative enzyme	 	1456288	1457076	Chromosome Escherichia coli K12-MG1655	
b1399	 	orf, hypothetical protein	 	1461563	1462513	Chromosome Escherichia coli K12-MG1655	
b1408	 	probable enzyme	 	1475639	1476250	Chromosome Escherichia coli K12-MG1655	
b1409	 	putative phosphatidate cytidiltransferase	 	1476250	1477146	Chromosome Escherichia coli K12-MG1655	
b1418	cybB	cytochrome b(561)	 	1488890	1489456	Chromosome Escherichia coli K12-MG1655	
b1421	trg	methyl-accepting chemotaxis protein III, ribose sensor receptor	 	1490494	1492134	Chromosome Escherichia coli K12-MG1655	
b1443	 	putative transport system permease protein	 	1512786	1513580	Chromosome Escherichia coli K12-MG1655	
b1450	 	orf, hypothetical protein	 	1518229	1518951	Chromosome Escherichia coli K12-MG1655	
b1466	narW	cryptic nitrate reductase 2, delta subunit, assembly function	1.7.99.4	1535333	1534638	Chromosome Escherichia coli K12-MG1655	
b1474	fdnG	formate dehydrogenase-N, nitrate-inducible, alpha subunit	1.2.1.2	1545425	1548472	Chromosome Escherichia coli K12-MG1655	
b1486	 	putative transport system permease protein	 	1558953	1557931	Chromosome Escherichia coli K12-MG1655	
b1492	xasA	acid sensitivity protein, putative transporter	 	1568513	1566978	Chromosome Escherichia coli K12-MG1655	
b1500	 	orf, hypothetical protein	 	1581983	1581786	Chromosome Escherichia coli K12-MG1655	
b1514	ydeY	putative transport system permease protein	 	1601043	1602071	Chromosome Escherichia coli K12-MG1655	
b1515	ydeZ	putative transport system permease protein	 	1602071	1603063	Chromosome Escherichia coli K12-MG1655	
b1523	 	orf, hypothetical protein	 	1610349	1609990	Chromosome Escherichia coli K12-MG1655	
b1528	ydeA	putative resistance / regulatory protein	 	1615052	1616242	Chromosome Escherichia coli K12-MG1655	
b1532	marB	multiple antibiotic resistance protein	 	1618013	1618231	Chromosome Escherichia coli K12-MG1655	
b1537	ydeJ	orf, hypothetical protein	 	1622797	1623315	Chromosome Escherichia coli K12-MG1655	
b1550	 	orf, hypothetical protein	 	1635809	1635633	Chromosome Escherichia coli K12-MG1655	
b1565	 	orf, hypothetical protein	 	1643921	1644226	Chromosome Escherichia coli K12-MG1655	
b1566	flxA	orf, hypothetical protein	 	1644429	1644761	Chromosome Escherichia coli K12-MG1655	
b1572	ydfB	orf, hypothetical protein	 	1646647	1646817	Chromosome Escherichia coli K12-MG1655	
b1583	 	orf, hypothetical protein	 	1653832	1654173	Chromosome Escherichia coli K12-MG1655	
b1586	 	orf, hypothetical protein	 	1655547	1655894	Chromosome Escherichia coli K12-MG1655	
b1592	 	putative chloride channel	 	1663279	1664595	Chromosome Escherichia coli K12-MG1655	
b1597	asr	acid shock protein	 	1669373	1669708	Chromosome Escherichia coli K12-MG1655	
b1599	 	possible chaperone	 	1671173	1670844	Chromosome Escherichia coli K12-MG1655	
b1601	 	putative transport protein	 	1671937	1672971	Chromosome Escherichia coli K12-MG1655	
b1604	 	orf, hypothetical protein	 	1676451	1677395	Chromosome Escherichia coli K12-MG1655	
b1626	 	orf, hypothetical protein	 	1703250	1703714	Chromosome Escherichia coli K12-MG1655	
b1629	 	putative membrane protein	 	1704943	1707165	Chromosome Escherichia coli K12-MG1655	
b1632	ydgQ	orf, hypothetical protein	 	1708852	1709547	Chromosome Escherichia coli K12-MG1655	
b1641	slyB	putative outer membrane protein	 	1717900	1718367	Chromosome Escherichia coli K12-MG1655	
b1643	 	orf, hypothetical protein	 	1719049	1719285	Chromosome Escherichia coli K12-MG1655	
b1645	 	orf, hypothetical protein	 	1720145	1722157	Chromosome Escherichia coli K12-MG1655	
b1655	ydhO	putative lipoprotein	 	1732459	1733274	Chromosome Escherichia coli K12-MG1655	
b1657	 	putative transport protein	 	1735314	1734145	Chromosome Escherichia coli K12-MG1655	
b1660	ydhC	putative transport protein	 	1737935	1739146	Chromosome Escherichia coli K12-MG1655	
b1670	ydhU	orf, hypothetical protein	 	1748372	1747587	Chromosome Escherichia coli K12-MG1655	
b1672	 	orf, hypothetical protein	 	1749748	1749101	Chromosome Escherichia coli K12-MG1655	
b1688	 	orf, hypothetical protein	 	1767098	1768210	Chromosome Escherichia coli K12-MG1655	
b1711	btuC	vitamin B12 transport permease protein	 	1793176	1792196	Chromosome Escherichia coli K12-MG1655	
b1715	pheM	phenylalanyl-tRNA synthetase (pheST) operon leader peptide	 	1797294	1797250	Chromosome Escherichia coli K12-MG1655	
b1716	rplT	50S ribosomal subunit protein L20, and regulator	 	1797773	1797417	Chromosome Escherichia coli K12-MG1655	
b1717	rpmI	50S ribosomal subunit protein A	 	1798023	1797826	Chromosome Escherichia coli K12-MG1655	
b1718	infC	protein chain initiation factor IF-3	 	1798662	1798120	Chromosome Escherichia coli K12-MG1655	
b1729	 	part of a kinase	 	1808958	1810349	Chromosome Escherichia coli K12-MG1655	
b1738	celA	PEP-dependent phosphotransferase enzyme IV for cellobiose, arbutin, and salicin	2.7.1.69	1819643	1819323	Chromosome Escherichia coli K12-MG1655	
b1743	spy	periplasmic protein related to spheroblast formation	 	1823649	1823164	Chromosome Escherichia coli K12-MG1655	
b1750	ydjX	orf, hypothetical protein	 	1831377	1832135	Chromosome Escherichia coli K12-MG1655	
b1755	 	putative transport system permease protein	 	1835281	1836771	Chromosome Escherichia coli K12-MG1655	
b1758	 	putative cytochrome oxidase	 	1839433	1838807	Chromosome Escherichia coli K12-MG1655	
b1775	 	putative transport protein	 	1858253	1856874	Chromosome Escherichia coli K12-MG1655	
b1787	yeaK	orf, hypothetical protein	 	1871598	1872101	Chromosome Escherichia coli K12-MG1655	
b1788	 	orf, hypothetical protein	 	1872254	1872102	Chromosome Escherichia coli K12-MG1655	
b1789	yeaL	orf, hypothetical protein	 	1872376	1872822	Chromosome Escherichia coli K12-MG1655	
b1791	yeaN	putative amino acid/amine transport protein	 	1873697	1874878	Chromosome Escherichia coli K12-MG1655	
b1795	yeaQ	orf, hypothetical protein	 	1877279	1877031	Chromosome Escherichia coli K12-MG1655	
b1796	yoaG	orf, hypothetical protein	 	1877609	1877427	Chromosome Escherichia coli K12-MG1655	
b1825	 	orf, hypothetical protein	 	1906572	1906285	Chromosome Escherichia coli K12-MG1655	
b1826	 	orf, hypothetical protein	 	1906790	1906647	Chromosome Escherichia coli K12-MG1655	
b1839	 	orf, hypothetical protein	 	1921730	1921389	Chromosome Escherichia coli K12-MG1655	
b1841	 	orf, hypothetical protein	 	1922993	1922619	Chromosome Escherichia coli K12-MG1655	
b1846	yebE	orf, hypothetical protein	 	1927731	1927072	Chromosome Escherichia coli K12-MG1655	
b1848	yebG	orf, hypothetical protein	 	1928771	1928481	Chromosome Escherichia coli K12-MG1655	
b1857	yebL	putative adhesin	 	1940661	1939675	Chromosome Escherichia coli K12-MG1655	
b1859	yebI	orf, hypothetical protein	 	1941438	1942223	Chromosome Escherichia coli K12-MG1655	
b1879	flhA	flagellar biosynthesis; possible export of flagellar proteins	 	1963074	1960996	Chromosome Escherichia coli K12-MG1655	
b1880	flhB	putative part of export apparatus for flagellar proteins	 	1964215	1963067	Chromosome Escherichia coli K12-MG1655	
b1882	cheY	chemotaxis regulator transmits chemoreceptor signals to flagelllar motor components	 	1965461	1965072	Chromosome Escherichia coli K12-MG1655	
b1886	tar	methyl-accepting chemotaxis protein II, aspartate sensor receptor	 	1970715	1969054	Chromosome Escherichia coli K12-MG1655	
b1907	tyrP	tyrosine-specific transport system	 	1987704	1988915	Chromosome Escherichia coli K12-MG1655	
b1918	yecS	putative transport system permease protein (former yecC)	 	1996502	1995834	Chromosome Escherichia coli K12-MG1655	
b1923	fliC	flagellar biosynthesis; flagellin, filament structural protein	 	2001629	2000133	Chromosome Escherichia coli K12-MG1655	
b1924	fliD	flagellar biosynthesis; filament capping protein; enables filament assembly	 	2001895	2003301	Chromosome Escherichia coli K12-MG1655	
b1928	yedD	orf, hypothetical protein	 	2006113	2005700	Chromosome Escherichia coli K12-MG1655	
b1929	yedE	putative transport system permease protein	 	2006300	2007505	Chromosome Escherichia coli K12-MG1655	
b1947	fliO	flagellar biosynthesis	 	2019586	2019891	Chromosome Escherichia coli K12-MG1655	
b1949	fliQ	flagellar biosynthesis	 	2020638	2020907	Chromosome Escherichia coli K12-MG1655	
b1958	yedI	orf, hypothetical protein	 	2027388	2026471	Chromosome Escherichia coli K12-MG1655	
b1959	yedA	putative transmembrane subunit	 	2027561	2028481	Chromosome Escherichia coli K12-MG1655	
b1964	 	putative outer membrane protein	 	2032043	2032558	Chromosome Escherichia coli K12-MG1655	
b1965	 	orf, hypothetical protein	 	2032568	2032777	Chromosome Escherichia coli K12-MG1655	
b1992	cobS	cobalamin 5-phosphate synthase	 	2063244	2062501	Chromosome Escherichia coli K12-MG1655	
b2018	hisL	his operon leader peptide	 	2088018	2088068	Chromosome Escherichia coli K12-MG1655	
b2024	hisA	N-(5-phospho-L-ribosyl-formimino)-5-amino-1-(5- phosphoribosyl)-4-imidazolecarboxamide isomerase	5.3.1.16	2093144	2093884	Chromosome Escherichia coli K12-MG1655	
b2077	yegB	putative transport protein	 	2159486	2160901	Chromosome Escherichia coli K12-MG1655	
b2086	 	orf, hypothetical protein	 	2166734	2167633	Chromosome Escherichia coli K12-MG1655	
b2092	gatC	PTS system galactitol-specific enzyme IIC	 	2172298	2170943	Chromosome Escherichia coli K12-MG1655	
b2104	thiM	hydoxyethylthiazole kinase	 	2183321	2182533	Chromosome Escherichia coli K12-MG1655	
b2106	yohM	orf, hypothetical protein	 	2183937	2184761	Chromosome Escherichia coli K12-MG1655	
b2111	yehD	putative fimbrial-like protein	 	2190242	2189700	Chromosome Escherichia coli K12-MG1655	
b2130	yehY	putative transport system permease protein	 	2216577	2215420	Chromosome Escherichia coli K12-MG1655	
b2136	yohD	orf, hypothetical protein	 	2223785	2224399	Chromosome Escherichia coli K12-MG1655	
b2141	yohJ	orf, hypothetical protein	 	2228644	2229042	Chromosome Escherichia coli K12-MG1655	
b2145	 	orf, hypothetical protein	 	2231620	2231859	Chromosome Escherichia coli K12-MG1655	
b2148	mglC	methyl-galactoside transport and galactose taxis	 	2235773	2234763	Chromosome Escherichia coli K12-MG1655	
b2152	yeiB	orf, hypothetical protein	 	2240987	2239830	Chromosome Escherichia coli K12-MG1655	
b2153	folE	GTP cyclohydrolase I	3.5.4.16	2241672	2241004	Chromosome Escherichia coli K12-MG1655	
b2158	yeiH	orf, hypothetical protein	 	2247737	2248786	Chromosome Escherichia coli K12-MG1655	
b2167	fruA	PTS system, fructose-specific transport protein	2.7.1.69	2259430	2257739	Chromosome Escherichia coli K12-MG1655	
b2169	fruB	PTS system, fructose-specific IIA/fpr component	2.7.1.69	2261515	2260385	Chromosome Escherichia coli K12-MG1655	
b2182	bcr	bicyclomycin resistance protein; transmembrane protein	 	2277780	2276590	Chromosome Escherichia coli K12-MG1655	
b2195	dsbE	disulfide oxidoreductase (in biogenesis of cytochrome c?	 	2290984	2290427	Chromosome Escherichia coli K12-MG1655	
b2198	ccmD	heme exporter protein C	 	2293606	2293397	Chromosome Escherichia coli K12-MG1655	
b2200	ccmB	heme exporter protein B, cytochrome c-type biogenesis protein	 	2295044	2294382	Chromosome Escherichia coli K12-MG1655	
b2201	ccmA	ATP binding protein of heme exporter A	 	2295658	2295041	Chromosome Escherichia coli K12-MG1655	
b2240	glpT	sn-glycerol-3-phosphate permease	 	2350394	2349036	Chromosome Escherichia coli K12-MG1655	
b2245	 	orf, hypothetical protein	 	2356865	2356062	Chromosome Escherichia coli K12-MG1655	
b2250	 	orf, hypothetical protein	 	2362316	2361753	Chromosome Escherichia coli K12-MG1655	
b2251	yfaO	orf, hypothetical protein	 	2362574	2362999	Chromosome Escherichia coli K12-MG1655	
b2258	 	putative transport/receptor protein	 	2370630	2371298	Chromosome Escherichia coli K12-MG1655	
