Genea	GI	Product
mltD	1786405	predicted membrane-bound lytic murein transglycosylase D
gloB	1786406	predicted hydroxyacylglutathione hydrolase
yafS	87081700	predicted S-adenosyl-L-methionine-dependent methyltransferase
rnhA	1786408	ribonuclease HI, degrades RNA of DNA-RNA hybrids
dnaQ	1786409	DNA polymerase III epsilon subunit
yafV	1786412	predicted C-N hydrolase family amidase, NAD(P)-binding
ivy	1786413	inhibitor of vertebrate C-lysozyme
lpcA	1786416	D-sedoheptulose 7-phosphate isomerase
yafJ	1786417	predicted amidotransfease
yafK	1786418	conserved protein
pepD	1786432	aminoacyl-histidine dipeptidase (peptidase D)
gpt	1786433	guanine-hypoxanthine phosphoribosyltransferase
frsA	1786434	hydrolase, binds to enzyme IIA(Glc)
crl	1786435	DNA-binding transcriptional regulator
phoE	1786436	outer membrane phosphoporin protein E
proB	1786437	gamma-glutamate kinase
proA	1786438	gamma-glutamylphosphate reductase
argF	1786469	"CP4-6 prophage; ornithine carbamoyltransferase 2, chain F"
tauA	87081727	taurine transporter subunit
tauB	1786563	taurine transporter subunit
tauC	1786564	taurine transporter subunit
tauD	1786565	taurine dioxygenase, 2-oxoglutarate-dependent
hemB	87081728	porphobilinogen synthase
ampH	1786574	beta-lactamase/D-alanine carboxypeptidase
sbmA	1786575	predicted transporter
yaiW	1786576	predicted DNA-binding transcriptional regulator
yaiY	1786577	predicted inner membrane protein
yaiZ	87081730	predicted inner membrane protein
ddlA	1786579	D-alanine-D-alanine ligase A
iraP	1786581	predicted protein
psiF	87081731	conserved protein
proC	1786585	pyrroline-5-carboxylate reductase, NAD(P)-binding
yaiI	87081732	conserved protein
aroL	1786587	shikimate kinase II
yaiA	1786588	predicted protein
aroM	1786589	conserved protein
yaiE	1786590	conserved protein
rdgC	1786592	DNA-binding protein, non-specific
mak	87081733	manno(fructo)kinase
sbcC	1786597	exonuclease, dsDNA, ATP-dependent
phoB	1786599	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)
phoR	1786600	sensory histidine kinase in two-component regulatory system with PhoB
brnQ	1786601	predicted branched chain amino acid transporter (LIV-II)
proY	1786602	predicted cryptic proline transporter
acpH	1786605	conserved protein
queA	1786606	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
tgt	1786607	tRNA-guanine transglycosylase
yajC	1786608	SecYEG protein translocase auxillary subunit
secD	1786609	SecYEG protein translocase auxillary subunit
secF	1786610	SecYEG protein translocase auxillary subunit
yajD	1786611	conserved protein
tsx	1786612	nucleoside channel, receptor of phage T6 and colicin K
nrdR	1786615	conserved protein
ribD	1786616	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase
ribE	1786617	riboflavin synthase beta chain
nusB	1786618	transcription antitermination protein
thiL	1786619	thiamin-monophosphate kinase
pgpA	1786620	phosphatidylglycerophosphatase A
yajO	87081735	2-carboxybenzaldehyde reductase, function unknown
dxs	1786622	1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring
ispA	1786623	geranyltranstransferase
xseB	1786624	exonuclease VII small subunit
thiI	1786625	sulfurtransferase required for thiamine and 4-thiouridine biosynthesis
yajL	87081736	conserved protein
panE	1786627	2-dehydropantoate reductase, NADPH-specific
yajQ	87081737	predicted nucleotide binding protein
lon	1786643	DNA-binding ATP-dependent protease La
hupB	1786644	HU, DNA-binding transcriptional regulator, beta subunit
ppiD	1786645	peptidyl-prolyl cis-trans isomerase (rotamase D)
tesC	1786647	thioesterase III
queC	1786648	predicted aluminum resistance protein
ybaE	1786650	predicted transporter subunit: periplasmic-binding component of ABC superfamily
ybaO	87081742	predicted DNA-binding transcriptional regulator
mdlA	1786653	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components
mdlB	1786654	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components
glnK	1786655	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB
amtB	1786656	ammonium transporter
tesB	1786657	acyl-CoA thioesterase II
ybaY	1786658	predicted outer membrane lipoprotein
ybaZ	1786659	predicted methyltransferase
ybaA	1786661	conserved protein
maa	1786664	maltose O-acetyltransferase
hha	1786665	modulator of gene expression, with H-NS
tomB	1786666	predicted protein
acrB	1786667	multidrug efflux system protein
acrA	1786668	multidrug efflux system
acrR	1786669	DNA-binding transcriptional repressor
kefA	1786670	fused conserved protein
ybaM	1786672	predicted protein
priC	1786673	primosomal replication protein N''
ybaN	1786674	conserved inner membrane protein
apt	1786675	adenine phosphoribosyltransferase
ybaB	1786677	conserved protein
recR	1786678	gap repair protein
htpG	1786679	molecular chaperone HSP90 family
adk	1786680	adenylate kinase
hemH	1786681	ferrochelatase
aes	1786682	acetyl esterase
gsk	1786684	inosine/guanosine kinase
cueR	1786695	DNA-binding transcriptional activator of copper-responsive regulon genes
ybbJ	145693099	conserved inner membrane protein
qmcA	1786697	predicted protease, membrane anchored
ybbL	1786698	predicted transporter subunit: ATP-binding component of ABC superfamily
purK	1786733	N5-carboxyaminoimidazole ribonucleotide synthase
purE	1786734	N5-carboxyaminoimidazole ribonucleotide mutase
lpxH	1786735	UDP-2,3-diacylglucosamine pyrophosphatase
ppiB	1786736	peptidyl-prolyl cis-trans isomerase B (rotamase B)
cysS	1786737	cysteinyl-tRNA synthetase
ybcJ	87081752	predicted RNA-binding protein
folD	1786741	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
essD	1786767	"DLP12 prophage; predicted phage lysis protein"
pheP	1786789	phenylalanine transporter
ybdG	1786791	predicted mechanosensitive channel
nfsB	1786792	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive
ybdF	1786793	conserved protein
ybdJ	1786794	predicted inner membrane protein
ybdK	1786795	gamma-glutamyl:cysteine ligase
hokE	48994879	toxic polypeptide, small
entD	1786797	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex
fepA	1786798	iron-enterobactin outer membrane transporter
fes	1786799	enterobactin/ferric enterobactin esterase
ybdZ	87081760	conserved protein
entF	1786801	enterobactin synthase multienzyme complex component,  ATP-dependent
fepE	1786802	regulator of length of O-antigen component of lipopolysaccharide chains
fepC	1786803	iron-enterobactin transporter subunit
fepG	1786804	iron-enterobactin transporter subunit
fepD	1786805	iron-enterobactin transporter subunit
entS	1786806	predicted transporter
fepB	1786807	iron-enterobactin transporter subunit
entC	1786809	isochorismate synthase 1
entE	1786810	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex
entB	1786811	isochorismatase
entA	1786812	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entH	1786813	conserved protein
cstA	1786814	carbon starvation protein
ybdD	87081761	conserved protein
ybdH	1786815	predicted oxidoreductase
ahpC	1786822	alkyl hydroperoxide reductase, C22 subunit
ahpF	87081763	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding
uspG	1786824	universal stress protein UP12
pagP	1786840	palmitoyl transferase for Lipid A
cspE	1786841	DNA-binding transcriptional repressor
crcB	1786842	predicted inner membrane protein associated with chromosome condensation
tatE	1786845	TatABCE protein translocation system subunit
lipA	1786846	lipoate synthase
lipB	87081767	lipoyl-protein ligase
ybeD	1786850	conserved protein
dacA	1786851	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)
ybeB	87081768	predicted protein
holA	1786859	DNA polymerase III, delta subunit
lptE	1786860	minor lipoprotein
leuS	1786861	leucyl-tRNA synthetase
ybeL	1786863	conserved protein
gltK	1786873	glutamate and aspartate transporter subunit
gltJ	1786874	glutamate and aspartate transporter subunit
gltI	1786876	glutamate and aspartate transporter subunit
lnt	1786878	apolipoprotein N-acyltransferase
ybeX	1786879	predicteed ion transport
ybeY	1786880	conserved protein
ybeZ	145693103	predicted protein with nucleoside triphosphate hydrolase domain
miaB	1786882	isopentenyl-adenosine A37 tRNA methylthiolase
asnB	1786889	asparagine synthetase B
nagD	1786890	UMP phosphatase
nagC	1786891	DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine
nagA	1786892	N-acetylglucosamine-6-phosphate deacetylase
nagB	1786893	glucosamine-6-phosphate deaminase
nagE	1786894	fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB , and IIA components
ybfN	1786898	predicted lipoprotein
fur	1786899	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport
pgm	1786904	phosphoglucomutase
speF	1786909	ornithine decarboxylase isozyme, inducible
kdpE	1786911	DNA-binding response regulator in two-component regulatory system with KdpD
kdpD	1786912	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein
kdpC	1786913	potassium translocating ATPase, subunit C
kdpB	1786914	potassium translocating ATPase, subunit B
kdpA	1786915	potassium translocating ATPase, subunit A
kdpF	87081773	potassium ion accessory transporter subunit
ybfA	1786916	predicted protein
ybgA	1786925	conserved protein
phr	1786926	deoxyribodipyrimidine photolyase, FAD-binding
ybgH	1786927	predicted transporter
ybgI	1786928	conserved metal-binding protein
ybgJ	1786929	predicted enzyme subunit
ybgK	1786930	predicted enzyme subunit
ybgL	1786931	predicted lactam utilization protein
nei	1786932	endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase
abrB	87081776	predicted regulator
gltA	1786939	citrate synthase
sdhC	1786940	succinate dehydrogenase, membrane subunit, binds cytochrome b556
sdhD	1786941	succinate dehydrogenase, membrane subunit, binds cytochrome b556
sdhA	1786942	succinate dehydrogenase, flavoprotein subunit
sdhB	1786943	succinate dehydrogenase, FeS subunit
sucA	1786945	2-oxoglutarate decarboxylase, thiamin-requiring
sucB	1786946	dihydrolipoyltranssuccinase
sucC	1786948	succinyl-CoA synthetase, beta subunit
sucD	1786949	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit
cydA	87081779	cytochrome d terminal oxidase, subunit I
ybgE	1786956	conserved inner membrane protein
ybgC	1786957	predicted acyl-CoA thioesterase
nadA	1786964	quinolinate synthase, subunit A
pnuC	1786965	predicted nicotinamide mononucleotide transporter
ybgS	1786968	conserved protein
aroG	1786969	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible
gpmA	1786970	phosphoglyceromutase 1
galM	1786971	galactose-1-epimerase (mutarotase)
galK	1786972	galactokinase
galT	1786973	galactose-1-phosphate uridylyltransferase
galE	1786974	UDP-galactose-4-epimerase
modF	1786975	fused molybdate transporter subunits of ABC superfamily: ATP-binding components
modE	1786976	DNA-binding transcriptional dual regulator
ybhT	1786977	predicted protein
modA	1786979	molybdate transporter subunit
modB	1786980	molybdate transporter subunit
modC	1786981	molybdate transporter subunit
pgl	1786983	6-phosphogluconolactonase
ybhB	1786990	predicted kinase inhibitor
bioA	1786991	7,8-diaminopelargonic acid synthase, PLP-dependent
bioB	1786992	biotin synthase
bioF	1786993	8-amino-7-oxononanoate synthase
bioC	1786994	predicted methltransferase, enzyme of biotin synthesis
bioD	1786995	dethiobiotin synthetase
uvrB	1786996	excinulease of nucleotide excision repair, DNA damage recognition component
ybhK	1786997	predicted transferase with NAD(P)-binding Rossmann-fold domain
moaA	1786999	molybdopterin biosynthesis protein A
moaB	1787000	molybdopterin biosynthesis protein B
moaC	1787001	molybdopterin biosynthesis, protein C
moaD	1787002	molybdopterin synthase, small subunit
moaE	1787003	molybdopterin synthase, large subunit
ybhO	1787007	cardiolipin synthase 2
ybhP	1787008	predicted DNase
ybhQ	1787009	predicted inner membrane protein
ybhR	1787010	predicted transporter subunit: membrane component of ABC superfamily
ybhS	1787011	predicted transporter subunit: membrane component of ABC superfamily
ybhG	1787013	predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor
ybiH	87081783	predicted DNA-binding transcriptional regulator
rhlE	1787016	RNA helicase
dinG	1787018	ATP-dependent DNA helicase
ybiB	1787019	predicted transferase/phosphorylase
ybiC	1787020	predicted dehydrogenase
ybiJ	1787021	predicted protein
ybiI	1787022	conserved protein
ybiX	87081784	conserved protein
fiu	1787024	predicted iron outer membrane transporter
mcbA	87081785	predicted protein
rlmF	87081786	23S rRNA mA1618 methyltransferase, SAM-dependent
glnQ	1787029	glutamine transporter subunit
glnP	1787030	glutamine transporter subunit
glnH	1787031	glutamine transporter subunit
dps	1787032	Fe-binding and storage protein
ompX	1787034	outer membrane protein
ybiP	1787035	predicted hydrolase, inner membrane
yliL	1787037	predicted protein
mntR	1787038	DNA-binding transcriptional regulator of mntH
ybiR	1787039	predicted transporter
ybiS	1787040	L,D-transpeptidase linking Lpp to murein
ybiT	1787041	fused predicted transporter subunits of ABC superfamily: ATP-binding components
ybiV	1787043	predicted hydrolase
ybiW	1787044	predicted pyruvate formate lyase
ybiY	1787045	predicted pyruvate formate lyase activating enzyme
fsaA	87081788	fructose-6-phosphate aldolase 1
moeB	1787048	molybdopterin synthase sulfurylase
moeA	1787049	molybdopterin biosynthesis protein
iaaA	1787050	L-asparaginase
gsiA	145693107	fused predicted peptide transport subunits of ABC superfamily: ATP-binding components
gsiB	1787052	predicted peptide transporter subunit: periplasmic-binding component of ABC superfamily
gsiC	1787053	predicted peptide transporter subunit: membrane component of ABC superfamily
gsiD	1787054	predicted peptide transporter subunit: membrane component of ABC superfamily
yliJ	87081789	predicted glutathione S-transferase
dacC	1787062	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)
deoR	1787063	DNA-binding transcriptional repressor
ybjG	1787064	undecaprenyl pyrophosphate phosphatase
cmr	1787065	multidrug efflux system protein
ybjJ	1787068	predicted transporter
ybjK	1787069	predicted DNA-binding transcriptional regulator
ybjL	1787071	predicted transporter
ybjM	1787072	predicted inner membrane protein
grxA	1787073	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)
ybjC	1787074	predicted inner membrane protein
nfsA	1787075	nitroreductase A, NADPH-dependent, FMN-dependent
rimK	1787076	ribosomal protein S6 modification protein
ybjN	1787077	predicted oxidoreductase
potF	1787078	putrescine transporter subunit: periplasmic-binding component of ABC superfamily
potG	87081791	putrescine transporter subunit: ATP-binding component of ABC superfamily
potH	1787080	putrescine transporter subunit: membrane component of ABC superfamily
potI	1787081	putrescine transporter subunit: membrane component of ABC superfamily
ybjO	1787082	predicted inner membrane protein
rumB	1787083	23S rRNA m(5)U747 methyltransferase
artJ	1787085	arginine transporter subunit
artM	1787086	arginine transporter subunit
artQ	1787087	arginine transporter subunit
artI	1787088	arginine transporter subunit
artP	1787089	arginine transporter subunit
ybjP	1787090	predicted lipoprotein
ybjQ	1787091	conserved protein
amiD	1787092	predicted amidase and lipoprotein
ybjS	87081792	predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain
ybjT	87081793	conserved protein with NAD(P)-binding Rossmann-fold domain
ltaE	1787095	L-allo-threonine aldolase, PLP-dependent
poxB	1787096	pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent, FAD-binding
hcr	1787098	HCP oxidoreductase, NADH-dependent
hcp	87081794	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases
ybjE	87081795	predicted transporter
ybjD	1787102	conserved protein with nucleoside triphosphate hydrolase domain
ybjX	1787103	conserved protein
macA	87081796	macrolide transporter subunit, membrane fusion protein (MFP) component
macB	1787105	fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component
cspD	1787107	cold shock protein homolog
clpS	1787108	regulatory protein for ClpA substrate specificity
clpA	1787109	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity
aat	1787111	leucyl/phenylalanyl-tRNA-protein transferase
cydC	1787112	fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component
cydD	1787113	fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component
trxB	1787114	thioredoxin reductase, FAD/NAD(P)-binding
lolA	145693108	chaperone for lipoproteins
rarA	1787119	recombination protein
serS	1787120	seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine
dmsA	87081797	dimethyl sulfoxide reductase, anaerobic, subunit A
dmsB	1787122	dimethyl sulfoxide reductase, anaerobic, subunit B
ycaC	1787124	predicted hydrolase
ycaD	1787126	predicted transporter
pflA	1787130	pyruvate formate lyase activating enzyme 1
pflB	1787131	pyruvate formate lyase I
focA	1787132	formate transporter
ycaO	87081799	conserved protein
ycaP	1787135	conserved inner membrane protein
serC	1787136	3-phosphoserine/phosphohydroxythreonine aminotransferase
aroA	1787137	5-enolpyruvylshikimate-3-phosphate synthetase
ycaL	87081800	predicted peptidase with chaperone function
cmk	1787139	cytidylate kinase
rpsA	1787140	30S ribosomal subunit protein S1
ihfB	1787141	integration host factor (IHF), DNA-binding protein, beta subunit
ycaI	87081801	conserved inner membrane protein
msbA	1787143	fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component
lpxK	1787144	lipid A 4'kinase
ycaQ	1787145	conserved protein
ycaR	1787146	conserved protein
kdsB	1787147	3-deoxy-manno-octulosonate cytidylyltransferase
ycbJ	1787149	conserved protein
ycbC	1787150	conserved inner membrane protein
smtA	1787151	predicted S-adenosyl-L-methionine-dependent methyltransferase
mukF	1787152	Involved in chromosome partioning, Ca2+ binding protein
mukE	1787153	protein involved in chromosome partitioning
mukB	1787154	fused chromosome partitioning protein: predicted nucleotide hydrolase/conserved protein/conserved protein
ycbB	1787155	murein L,D-transpeptidase
ycbK	1787157	conserved protein
ycbL	1787158	predicted metal-binding enzyme
ompF	1787160	"outer membrane porin 1a (Ia;b;F)"
asnS	1787161	asparaginyl tRNA synthetase
pncB	1787162	nicotinate phosphoribosyltransferase
pepN	1787163	aminopeptidase N
ssuB	1787164	alkanesulfonate transporter subunit
ssuC	87081802	alkanesulfonate transporter subunit
ssuD	1787166	alkanesulfonate monooxygenase, FMNH(2)-dependent
ssuA	87081803	alkanesulfonate transporter subunit
ssuE	1787168	NAD(P)H-dependent FMN reductase
pyrD	1787177	dihydro-orotate oxidase, FMN-linked
ymbA	145693109	conserved protein
yccS	87081808	predicted inner membrane protein
yccF	1787195	conserved inner membrane protein
mgsA	87081809	methylglyoxal synthase
yccT	1787198	conserved protein
yccU	87081810	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain
hspQ	145693110	DNA-binding protein, hemimethylated
rlmI	145693111	23S rRNA m(5)C1962 methyltransferase, SAM-dependent
yccX	1787203	predicted acylphosphatase
yccK	87081811	predicted sulfite reductase subunit
hyaA	1787206	hydrogenase 1, small subunit
hyaC	1787208	hydrogenase 1, b-type cytochrome subunit
hyaD	1787209	protein involved in processing of HyaA and HyaB proteins
hyaE	1787210	protein involved in processing of HyaA and HyaB proteins
hyaF	1787211	protein involved in nickel incorporation into hydrogenase-1 proteins
appC	1787212	cytochrome bd-II oxidase, subunit I
appB	1787213	cytochrome bd-II oxidase, subunit II
yccB	145693112	hypothetical protein
appA	1787215	phosphoanhydride phosphorylase
gfcE	1787218	predicted exopolysaccharide export protein
gfcD	1787219	conserved protein
cspH	2367112	stress protein, member of the CspA-family
cspG	2367114	DNA-binding transcriptional regulator
torT	1787228	periplasmic sensory protein associated with the TorRS two-component regulatory system
torR	1787229	DNA-binding response regulator in two-component regulatory system with TorS
torC	1787230	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit
torA	1787231	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit
cbpM	1787234	modulator of CbpA co-chaperone
cbpA	1787235	curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK
rutR	1787249	predicted DNA-binding transcriptional regulator
ghrA	87081824	2-ketoacid reductase
ycdX	1787271	predicted zinc-binding hydrolase
ycdY	1787272	conserved protein
ycdZ	87081825	predicted inner membrane protein
ymdA	1787281	predicted protein
ymdB	1787283	conserved protein
ymdC	87081826	predicted hydrolase
opgC	1787285	membrane protein required for modification of periplasmic glucan
