Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
IF2_ECOLI	C6EH57_ECOBD	A	Translation initiation factor IF-2	3,060.6038	890	4	4	15
DACB_ECOLI	C6EH45_ECOBD	F2	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) (D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase) (EC 3.4.16.4)	2,141.0987	477	17	19	34
YIBP_ECOLI	C6EDH6_ECOBD	G	Peptidase M23 (Protease with a role in cell division)	2,222.0937	419	19	19	53
KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1,151.5804	398	5	6	12
RFAP_ECOLI	C6EDG1_ECOBD	A	Lipopolysaccharide kinase	1,635.8565	265	3	3	4
RFAQ_ECOLI	C6EDF9_ECOBD	A	Lipopolysaccharide heptosyltransferase III	2,067.0619	340	2	2	2
KDTA_ECOLI	C6EDF8_ECOBD	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	1,368.6642	425	7	8	18
SRP54_ECOLI	C6EJY2_ECOBD	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	1,534.7102	453	12	13	24
ACRD_ECOLI	C6EKP2_ECOBD	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1,132.5668	1037	7	8	14
YHDP_ECOLI	C6EGL5_ECOBD	H	Conserved membrane protein, predicted transporter (Uncharacterized protein YhdP)	1,823.0387	1266	4	4	7
LNT_ECOLI	C6EK38_ECOBD	B	Apolipoprotein N-acyltransferase	1,151.7260	512	20	25	58
RS5_ECOLI	C6EGG3_ECOBD	A	30S ribosomal protein S5	1,419.8318	167	18	24	99
RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	8.825.772	179	17	21	57
MDTB_ECOLI	C6EAN0_ECOBD	B	Multidrug resistance protein mdtB (Multidrug transporter mdtB)	3,298.6916	1040	1	1	2
YJBB_ECOLI	C6EE04_ECOBD	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	1,949.0452	543	7	8	17
PLDB_ECOLI	C6EF86_ECOBD	F1	Lysophospholipase (EC 3.1.1.5) (Lysophospholipase L(2)) (EC 3.1.1.5)	1,438.8165	340	2	2	2
RFAF_ECOLI	C6EDH0_ECOBD	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	1,611.8841	348	4	4	6
RADA_ECOLI	C6EBI2_ECOBD	A	DNA repair protein radA	1,080.5684	460	4	4	9
RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	1,909.8744	123	5	6	23
