Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra
C6EH36_ECOBD	1	1	0	0	2	MLAB_ECOLI	C6EH36_ECOBD	F1	Putative uncharacterized protein (Putative uncharacterized protein yrbB)	97	1,270.72	1	1	2	1	1	2						
C6ECY3_ECOBD	1	1	1	0	3	CH10_ECOLI	C6ECY3_ECOBD	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	1,788.97	5	5	9	6	7	11	3	3	4			
C6EKD4_ECOBD	1	1	1	1	4	BORD_ECOLI	C6EKD4_ECOBD	I	Bor family protein (Predicted lipoprotein)	97	1,046.53	3	4	12	4	5	13	4	6	37	2	2	8
C6E9S3_ECOBD	1	1	1	1	4	NUOK_ECOLI	C6E9S3_ECOBD	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	1,478.69	2	2	19	2	2	18	4	5	42	3	3	4
C6EGE8_ECOBD	1	1	1	1	4	RL23_ECOLI	C6EGE8_ECOBD	A	50S ribosomal protein L23	100	8.754.834	2	2	4	2	2	3	3	3	6	1	1	2
C6ECT8_ECOBD	1	1	0	0	2	YDHR_ECOLI	C6ECT8_ECOBD	A	Putative mono-oxygenase ydhR (Putative uncharacterized protein ydhR)	101	1,701.88	1	1	1	1	1	1						
C6E9T3_ECOBD	1	1	1	1	4	ELAB_ECOLI	C6E9T3_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	101	8.354.784	15	19	25	6	8	9	6	7	16	5	6	8
C6EGF9_ECOBD	1	1	1	1	4	RS14_ECOLI	C6EGF9_ECOBD	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	1,125.63	5	5	9	3	3	3	3	4	17	3	4	5
C6EHP5_ECOBD	1	1	1	1	4	YQJD_ECOLI	C6EHP5_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	9.745.155	1	1	2	1	1	2	8	10	21	5	5	9
C6EFV5_ECOBD	1	1	1	1	4	YCIS_ECOLI	C6EFV5_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	102	2,263.16	2	3	11	2	4	12	4	8	19	3	4	12
C6EJB9_ECOBD	1	1	1	1	4	FTSB_ECOLI	C6EJB9_ECOBD	B	Cell diviision protein FtsB (Septum formation initiator)	103	1,444.70	1	1	3	1	1	3	1	1	4	1	1	2
C6EH41_ECOBD	1	1	1	1	4	RL21_ECOLI	C6EH41_ECOBD	A	50S ribosomal protein L21	103	1,200.70	10	12	54	4	4	7	5	5	9	3	3	3
C6EGE5_ECOBD	1	1	1	1	4	RS10_ECOLI	C6EGE5_ECOBD	A	30S ribosomal protein S10	103	8.214.187	5	6	14	3	3	4	3	4	10	3	3	4
C6EHW4_ECOBD	1	1	0	0	2	YGIN_ECOLI	C6EHW4_ECOBD	A	Antibiotic biosynthesis monooxygenase (Quinol monooxygenase)	104	1,061.60	1	1	1	1	1	1						
C6EGF7_ECOBD	1	1	1	1	4	RL24_ECOLI	C6EGF7_ECOBD	A	50S ribosomal protein L24	104	1,083.68	10	12	22	4	4	5	4	4	8	2	2	2
C6EKH9_ECOBD	1	1	1	1	4	ISCA_ECOLI	C6EKH9_ECOBD	A	Iron-binding protein iscA (Iron-sulfur cluster assembly protein)	107	1,091.57	1	1	2	1	1	2	1	1	2	1	1	1
C6EIB5_ECOBD	1	1	1	1	4	YBJQ_ECOLI	C6EIB5_ECOBD	A	UPF0145 protein ybjQ	107	1,052.54	2	2	5	2	2	4	2	2	4	1	1	2
C6ECG0_ECOBD	1	1	1	0	3	BSMA_ECOLI	C6ECG0_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yjfO)	109	9.655.085	1	1	3	1	1	3	2	2	3			
C6EJV3_ECOBD	1	1	1	0	3	YGAM_ECOLI	C6EJV3_ECOBD	B	Putative uncharacterized protein	109	1,029.61	2	2	2	2	2	2	4	4	9			
C6EG32_ECOBD	1	1	1	1	4	THIO_ECOLI	C6EG32_ECOBD	A	Thioredoxin	109	1,874.04	3	3	8	1	1	3	3	3	7	1	1	1
C6EB76_ECOBD	1	1	1	1	4	YEEX_ECOLI	C6EB76_ECOBD	A	Putative uncharacterized protein	109	9.885.311	2	3	3	1	1	1	1	1	2	1	1	2
C6EGF1_ECOBD	1	1	1	1	4	RL22_ECOLI	C6EGF1_ECOBD	A	50S ribosomal protein L22	110	7.995.037	20	31	61	3	3	3	14	15	28	11	12	13
C6EH52_ECOBD	1	1	1	1	4	SECG_ECOLI	C6EH52_ECOBD	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	1,316.65	6	7	218	5	7	171	6	13	88	5	9	58
C6ELH7_ECOBD	1	1	1	1	4	YAJC_ECOLI	C6ELH7_ECOBD	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	9.595.561	4	4	28	6	8	40	13	23	95	11	16	37
C6EG45_ECOBD	1	1	0	1	3	YIFE_ECOLI	C6EG45_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yifE)	112	1,026.49	1	1	1	1	1	1				1	1	1
C6ECL9_ECOBD	1	1	1	1	4	OSME_ECOLI	C6ECL9_ECOBD	I	DNA-binding transcriptional activator (SmpA/OmlA domain protein)	112	1,059.58	5	6	30	5	8	34	5	10	29	5	6	13
C6EDR5_ECOBD	1	1	0	0	2	YNFB_ECOLI	C6EDR5_ECOBD	F3	UPF0482 protein ynfB	113	1,261.64	1	1	3	1	1	1						
C6EBZ0_ECOBD	1	1	1	0	3	YEBY_ECOLI	C6EBZ0_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yebY)	113	1,934.98	1	1	1	1	1	1	1	1	1			
C6EJZ4_ECOBD	1	1	1	1	4	RAIA_ECOLI	C6EJZ4_ECOBD	A	Cold shock protein associated with 30S ribosomal subunit (Sigma 54 modulation protein/ribosomal protein S30EA)	113	1,865.95	5	6	11	5	6	11	1	1	2	1	1	1
C6EJX6_ECOBD	1	1	1	1	4	SMPA_ECOLI	C6EJX6_ECOBD	I	SmpA/OmlA domain protein	113	2,266.15	1	1	1	1	1	1	1	2	7	1	2	3
C6EAC8_ECOBD	1	1	1	1	4	ERPA_ECOLI	C6EAC8_ECOBD	A	Iron-sulfur cluster assembly accessory protein (Putative uncharacterized protein yadR)	114	1,003.56	1	1	1	2	3	8	4	4	8	1	1	1
C6ECU9_ECOBD	1	1	0	0	2	GLRX4_ECOLI	C6ECU9_ECOBD	A	Glutaredoxin-like protein (Putative uncharacterized protein ydhD)	115	1,067.45	2	2	2	2	2	2						
C6EJL5_ECOBD	1	1	1	1	4	DHSD_ECOLI	C6EJL5_ECOBD	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)	115	1,021.51	2	3	50	2	3	33	2	2	35	2	4	12
C6EJY6_ECOBD	1	1	1	1	4	RL19_ECOLI	C6EJY6_ECOBD	A	50S ribosomal protein L19	115	1,088.57	16	20	178	7	9	31	5	5	9	5	6	7
C6EGG2_ECOBD	1	1	1	1	4	RL18_ECOLI	C6EGG2_ECOBD	A	50S ribosomal protein L18	117	9.865.629	5	5	7	5	5	7	9	11	20	5	5	5
C6ECY1_ECOBD	1	1	1	1	4	YJEI_ECOLI	C6ECY1_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yjeI)	117	1,986.98	1	1	4	1	1	4	3	5	11	1	2	5
C6ECP1_ECOBD	1	1	1	1	4	RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	118	1,045.60	7	7	109	6	7	47	15	19	92	9	12	30
C6EGG8_ECOBD	1	1	1	1	4	RS13_ECOLI	C6EGG8_ECOBD	A	30S ribosomal protein S13	118	9.344.993	4	4	12	4	4	11	5	6	8	1	1	1
C6EKL6_ECOBD	1	1	0	0	2	YFGD_ECOLI	C6EKL6_ECOBD	A	Arsenate reductase (Predicted oxidoreductase)	119	1,406.80	1	1	1	1	1	1						
C6EFA7_ECOBD	1	1	1	1	4	YHHM_ECOLI	C6EFA7_ECOBD	B	Putative receptor	119	9.145.781	4	5	22	4	8	20	5	6	13	7	8	15
C6EFS6_ECOBD	1	1	1	1	4	PSPC_ECOLI	C6EFS6_ECOBD	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119	8.334.298	13	17	341	11	18	172	12	18	135	12	16	100
C6EDI9_ECOBD	1	0	0	0	1	YIBL_ECOLI	C6EDI9_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yibL)	120	1,058.60	5	5	6									
C6ELF0_ECOBD	1	1	1	0	3	FOLX_ECOLI	C6ELF0_ECOBD	A	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase (EC 5.-.-.-) (Dihydroneopterin aldolase)	120	1,410.65	1	1	1	1	1	1	1	1	1			
C6EAX2_ECOBD	1	1	1	1	4	FTSL_ECOLI	C6EAX2_ECOBD	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	121	1,965.01	3	3	3	2	2	2	1	1	1	5	6	7
C6EE33_ECOBD	1	1	1	1	4	RL7_ECOLI	C6EE33_ECOBD	A	50S ribosomal protein L7/L12	121	1,042.64	22	29	167	9	11	38	3	4	8	1	1	2
C6EHN9_ECOBD	1	1	1	1	4	YHAH_ECOLI	C6EHN9_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	121	9.995.148	1	1	4	1	1	4	1	1	2	1	1	1
C6EDX8_ECOBD	1	1	1	1	4	KDGL_ECOLI	C6EDX8_ECOBD	B	Diacylglycerol kinase (EC 2.7.1.107)	122	9.814.748	2	2	9	2	3	12	3	4	17	2	2	2
C6EGF6_ECOBD	1	1	1	1	4	RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	123	1,720.96	22	28	116	9	10	15	10	13	42	7	9	19
C6EHG1_ECOBD	1	1	0	0	2	MSYB_ECOLI	C6EHG1_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein msyB)	124	1,062.45	1	1	1	1	1	1						
C6EGC2_ECOBD	1	1	1	1	4	RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	124	1,177.56	7	8	108	5	7	64	4	5	32	6	6	20
C6EB03_ECOBD	1	0	0	0	1	APAG_ECOLI	C6EB03_ECOBD	A	ApaG domain protein (Putative uncharacterized protein apaG)	125	863.535	1	1	1									
C6EK07_ECOBD	1	1	0	0	2	PFLB_ECOLI	C6EK07_ECOBD	A	Autonomous glycyl radical cofactor	127	1,219.61	5	5	5	4	4	4						
C6EGH2_ECOBD	1	1	1	1	4	RL17_ECOLI	C6EGH2_ECOBD	A	50S ribosomal protein L17	127	1,082.68	22	30	330	11	13	46	10	12	36	5	5	23
C6EE38_ECOBD	1	1	1	1	4	SECE_ECOLI	C6EE38_ECOBD	B	Preprotein translocase, SecE subunit (Translocase)	127	1,152.68	8	8	46	9	10	42	8	8	92	9	11	52
C6EAC1_ECOBD	1	1	0	0	2	YAEH_ECOLI	C6EAC1_ECOBD	A	UPF0325 protein yaeH	128	9.414.728	16	19	35	3	3	3						
C6ECB3_ECOBD	1	1	0	0	2	Null	C6ECB3_ECOBD	G	Cytochrome b562	128	1,416.74	1	1	1	1	1	1						
C6ECA5_ECOBD	1	1	1	0	3	YJGF_ECOLI	C6ECA5_ECOBD	A	Endoribonuclease L-PSP (Ketoacid-binding protein)	128	3,780.98	2	2	2	2	3	4	1	1	2			
C6EKH8_ECOBD	1	1	1	1	4	NIFU_ECOLI	C6EKH8_ECOBD	A	FeS cluster assembly scaffold IscU (Scaffold protein)	128	1,142.56	4	4	5	3	3	4	3	3	5	1	1	1
C6EIK4_ECOBD	1	0	0	0	1	GCSH_ECOLI	C6EIK4_ECOBD	A	Glycine cleavage system H protein	129	2,754.31	1	1	1									
C6EGG9_ECOBD	1	1	1	1	4	RS11_ECOLI	C6EGG9_ECOBD	A	30S ribosomal protein S11	129	1,247.64	13	18	49	6	6	17	3	4	10	3	3	5
C6EGG0_ECOBD	1	1	1	1	4	RS8_ECOLI	C6EGG0_ECOBD	A	30S ribosomal protein S8	130	9.924.943	11	12	72	7	8	23	3	3	11	3	3	3
C6EH02_ECOBD	1	1	1	1	4	RS9_ECOLI	C6EH02_ECOBD	A	30S ribosomal protein S9	130	1,456.72	12	17	56	8	9	17	9	9	21	4	4	9
C6ECX1_ECOBD	1	1	1	1	4	FRDC_ECOLI	C6ECX1_ECOBD	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	131	9.004.862	2	2	2	2	2	2	2	2	3	1	1	1
C6ECE9_ECOBD	1	1	1	1	4	RS6_ECOLI	C6ECE9_ECOBD	A	30S ribosomal protein S6	131	1,181.62	13	19	86	4	4	5	4	4	7	4	4	4
C6EGZ9_ECOBD	1	1	1	1	4	YHCB_ECOLI	C6EGZ9_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	1,167.56	18	25	397	17	34	384	17	39	255	15	27	116
C6EFH5_ECOBD	1	0	0	0	1	HSLR_ECOLI	C6EFH5_ECOBD	A	RNA-binding S4 domain protein	133	1,408.74	3	3	6									
C6EA47_ECOBD	1	1	0	0	2	CRL_ECOLI	C6EA47_ECOBD	A	DNA-binding transcriptional regulator (Transcriptional regulator Crl)	133	8.364.626	3	3	3	1	1	1						
C6EH58_ECOBD	1	1	0	0	2	RBFA_ECOLI	C6EH58_ECOBD	A	Ribosome-binding factor A	133	9.555.936	12	15	40	4	4	4						
C6EGT8_ECOBD	1	1	1	0	3	YCGK_ECOLI	C6EGT8_ECOBD	G	Peptidase domain protein (Putative uncharacterized protein ycgK)	133	9.925.412	8	9	16	3	3	4	1	1	1			
C6EJV6_ECOBD	1	0	0	0	1	STPA_ECOLI	C6EJV6_ECOBD	A	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	1,010.48	5	5	8									
C6EA88_ECOBD	1	1	1	1	4	RCSF_ECOLI	C6EA88_ECOBD	I	Outer membrane lipoprotein (Predicted outer membrane protein, signal)	134	1,445.78	10	12	76	8	13	55	7	10	44	8	9	18
C6EHP4_ECOBD	1	1	1	1	4	YQJE_ECOLI	C6EHP4_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	134	1,260.61	3	3	14	3	3	13	5	7	14	3	3	10
C6EDS4_ECOBD	1	0	0	0	1	DICA_ECOLI	C6EDS4_ECOBD	A	Prophage CP-9330 DicA-like protein (Transcriptional regulator, XRE family)	135	9.445.272	2	2	3									
C6ED82_ECOBD	1	1	0	0	2	YIDQ_ECOLI	C6ED82_ECOBD	E	Putative uncharacterized protein	135	1,712.74	1	1	1	1	1	1						
C6EIL2_ECOBD	1	1	1	1	4	YGFX_ECOLI	C6EIL2_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein ygfX)	135	1,163.59	2	2	2	3	3	4	2	2	4	2	2	4
C6EGH6_ECOBD	1	1	1	1	4	MSCL_ECOLI	C6EGH6_ECOBD	B	Large-conductance mechanosensitive channel	136	1,216.63	5	6	8	3	4	6	8	9	15	5	5	6
C6EGF3_ECOBD	1	1	1	1	4	RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	136	1,147.71	14	19	92	9	10	35	5	6	19	7	7	11
C6ED83_ECOBD	1	1	0	0	2	IBPA_ECOLI	C6ED83_ECOBD	A	Heat shock chaperone (Heat shock protein Hsp20)	137	1,213.62	7	10	44	1	1	1						
C6EGN0_ECOBD	1	1	1	1	4	HNS_ECOLI	C6EGN0_ECOBD	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	1,270.75	11	14	37	6	7	8	5	5	10	2	2	2
C6EIG2_ECOBD	1	0	0	0	1	RUVX_ECOLI	C6EIG2_ECOBD	A	Holliday junction resolvase YqgF	138	1,256.65	1	1	1									
C6EG72_ECOBD	1	1	0	0	2	ATPE_ECOLI	C6EG72_ECOBD	F1	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	139	8.305.347	14	21	69	2	2	2						
C6ELG8_ECOBD	1	1	0	0	2	NUSB_ECOLI	C6ELG8_ECOBD	A	N utilization substance protein B homolog (Protein nusB)	139	1,170.67	2	2	2	2	2	2						
C6EK04_ECOBD	1	1	0	0	2	THIO2_ECOLI	C6EK04_ECOBD	A	Thioredoxin (Thioredoxin 2)	139	1,278.60	2	2	2	2	2	2						
C6EJ62_ECOBD	1	1	0	0	2	FUCM_ECOLI	C6EJ62_ECOBD	A	L-fucose mutarotase (RbsD or FucU transport)	140	1,310.79	1	1	1	1	1	1						
C6EH55_ECOBD	1	1	0	0	2	RIMP_ECOLI	C6EH55_ECOBD	A	Putative uncharacterized protein	140	8.585.197	2	2	6	1	1	1						
C6EEW5_ECOBD	1	1	1	1	4	HSLJ_ECOLI	C6EEW5_ECOBD	I	Heat-inducible protein (Putative uncharacterized protein)	140	1,426.72	2	2	4	2	2	4	3	3	4	1	1	1
C6ECH1_ECOBD	1	0	0	0	1	NSRR_ECOLI	C6ECH1_ECOBD	A	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, BadM/Rrf2 family)	141	8.364.624	2	2	2									
C6ED84_ECOBD	1	0	0	0	1	IBPB_ECOLI	C6ED84_ECOBD	A	Small heat shock protein ibpB (16 kDa heat shock protein B)	142	1,170.65	1	1	2									
C6EK87_ECOBD	1	1	0	0	2	USPG_ECOLI	C6EK87_ECOBD	A	Universal stress protein UP12 (UspA domain protein)	142	1,117.68	2	2	10	1	1	1						
C6EEX5_ECOBD	1	1	1	0	3	USPD_ECOLI	C6EEX5_ECOBD	A	Stress-induced protein (UspA domain protein)	142	1,477.80	1	1	3	1	1	1	1	1	1			
C6EE36_ECOBD	1	1	1	1	4	RL11_ECOLI	C6EE36_ECOBD	A	50S ribosomal protein L11	142	1,484.64	15	21	203	5	6	12	7	8	15	4	4	11
C6EH01_ECOBD	1	1	1	1	4	RL13_ECOLI	C6EH01_ECOBD	A	50S ribosomal protein L13	142	1,277.72	32	51	192	7	7	8	7	7	13	3	4	4
C6EJJ9_ECOBD	1	1	1	1	4	TOLR_ECOLI	C6EJJ9_ECOBD	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	142	1,410.76	8	9	32	7	9	17	7	10	18	4	4	7
C6EKJ1_ECOBD	1	1	0	0	2	NDK_ECOLI	C6EKJ1_ECOBD	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	1,003.57	4	4	6	3	4	7						
C6EDH8_ECOBD	1	1	1	1	4	YIBN_ECOLI	C6EDH8_ECOBD	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	1,002.57	19	22	136	16	22	91	10	18	147	14	19	63
C6EEJ0_ECOBD	1	1	0	0	2	USPA_ECOLI	C6EEJ0_ECOBD	F1	Universal stress global response regulator (UspA domain protein)	144	1,223.62	7	13	39	1	1	1						
C6EFL5_ECOBD	1	1	0	0	2	USPF_ECOLI	C6EFL5_ECOBD	A	Stress-induced protein, ATP-binding protein (UspA domain protein)	144	1,217.63	4	4	7	1	1	1						
C6EGG5_ECOBD	1	1	1	1	4	RL15_ECOLI	C6EGG5_ECOBD	A	50S ribosomal protein L15	144	1,419.73	20	26	250	11	11	62	7	7	25	9	9	17
C6EH71_ECOBD	1	0	0	0	1	YHBP_ECOLI	C6EH71_ECOBD	A	UPF0306 protein yhbP	147	1,274.63	1	1	1									
C6EG61_ECOBD	1	1	0	0	2	MIOC_ECOLI	C6EG61_ECOBD	A	Flavodoxin (Flavodoxin/nitric oxide synthase)	147	8.774.891	1	1	1	1	1	1						
C6E9R4_ECOBD	1	1	1	1	4	NUOA_ECOLI	C6E9R4_ECOBD	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	1,534.75	5	7	78	6	10	61	5	11	62	6	8	31
