Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
C6EFP5_ECOBD	0	0	0	0	0	ABGA_ECOLI	C6EFP5_ECOBD	A	Amidohydrolase (Predicted peptidase, aminobenzoyl-glutamate utilization protein) (EC 3.5.1.14)																				
C6EFP6_ECOBD	0	0	0	0	0	ABGB_ECOLI	C6EFP6_ECOBD	A	Amidohydrolase (Predicted peptidase, aminobenzoyl-glutamate utilization protein) (EC 3.5.1.14)																				
C6EFP4_ECOBD	0	0	0	0	0	ABGR_ECOLI	C6EFP4_ECOBD	A	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)																				
C6EFP7_ECOBD	0	0	0	0	0	ABGT_ECOLI	C6EFP7_ECOBD	B	AbgT transporter family (Predicted cryptic aminobenzoyl-glutamate transporter)																				
C6EJM3_ECOBD	0	0	0	0	0	ABRB_ECOLI	C6EJM3_ECOBD	B	Membrane protein AbrB duplication (Predicted regulator)																				
C6EAA0_ECOBD	1	1	1	1	4	ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	1,672.92	30	43	161	8.314.319	319	6	6	12	8.324.887	319	14	15	27	1,964.00	319	5	5	7
C6EGK4_ECOBD	1	0	1	0	2	ACCC_ECOLI	C6EGK4_ECOBD	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	1,042.53	1	1	1						1,577.85	449	1	1	1					
C6ELD7_ECOBD	1	1	1	1	4	ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	8.444.887	36	44	146	8.444.887	304	17	20	47	1,215.67	304	17	18	34	1,257.54	304	7	8	14
C6ELM9_ECOBD	0	0	0	0	0	ACDH_ECOLI	C6ELM9_ECOBD	A	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase (Acetylating)) (EC 1.2.1.10)																				
C6EE08_ECOBD	1	1	1	1	4	ACEA_ECOLI	C6EE08_ECOBD	A	Isocitrate lyase	434	8.433.995	4	4	4	8.433.995	434	3	3	3	1,495.88	434	1	1	2	1,495.88	434	1	1	1
C6EE07_ECOBD	0	0	0	0	0	ACEK_ECOLI	C6EE07_ECOBD	A	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)																				
C6EID7_ECOBD	1	1	1	1	4	ACFD_ECOLI	C6EID7_ECOBD	E	Lipoprotein AcfD-like protein	1520	1,189.61	22	27	87	1,189.61	1520	23	30	74	9.284.887	1520	34	48	129	1,662.80	1520	26	34	54
C6ELF7_ECOBD	1	1	1	0	3	ACKA_ECOLI	C6ELF7_ECOBD	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	2,465.30	2	2	2	2,465.30	400	2	2	2	1,636.78	400	1	1	1					
C6EFV8_ECOBD	1	1	1	0	3	ACON1_ECOLI	C6EFV8_ECOBD	A	Aconitate hydratase (EC 4.2.1.3) (Aconitate hydratase 1)	891	1,861.01	7	8	14	2,065.05	891	5	5	6	1,049.56	891	4	4	6					
C6EAT9_ECOBD	1	1	1	1	4	ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	984.482	41	51	152	8.845.089	865	26	30	73	984.482	865	35	38	68	1,263.65	865	7	7	15
C6EHC0_ECOBD	1	1	1	0	3	ACP_ECOLI	C6EHC0_ECOBD	F1	Acyl carrier protein (ACP)	78	9.615.313	4	4	6	9.565.777	78	2	2	2	9.615.313	78	3	4	4					
C6ELI0_ECOBD	1	0	0	0	1	ACPH_ECOLI	C6ELI0_ECOBD	A	(Acyl-carrier-protein) phosphodiesterase (EC 3.1.4.14) (Putative glycoprotein)	193	1,539.85	1	1	1															
C6EK24_ECOBD	0	0	0	0	0	ACPS_ECOLI	C6EK24_ECOBD	A	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)																				
C6EF99_ECOBD	0	0	0	0	0	ACPT_ECOLI	C6EF99_ECOBD	A	4'-phosphopantetheinyl transferase (Holo-(Acyl carrier protein) synthase 2) (EC 2.7.8.7)																				
C6EL01_ECOBD	1	1	1	1	4	ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	397	3,751.03	49	74	303	3,751.03	397	54	93	294	882.552	397	46	103	413	1,454.79	397	37	55	107
C6EL02_ECOBD	1	1	1	1	4	ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	1,011.50	38	46	185	1,297.72	1049	34	50	161	1,495.69	1049	66	122	635	9.424.601	1049	42	57	116
C6EKP2_ECOBD	1	1	1	1	4	ACRD_ECOLI	C6EKP2_ECOBD	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037	1,652.90	7	9	11	1,652.90	1037	7	9	11	1,003.48	1037	14	17	25	1,003.48	1037	7	8	8
C6EGJ5_ECOBD	0	0	0	0	0	ACRE_ECOLI	C6EGJ5_ECOBD	E	Cytoplasmic membrane lipoprotein (Efflux transporter, RND family, MFP subunit)																				
C6EGJ4_ECOBD	0	0	0	0	0	ACRF_ECOLI	C6EGJ4_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)																				
C6EL00_ECOBD	0	0	0	0	0	ACRR_ECOLI	C6EL00_ECOBD	B	DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)																				
C6ED56_ECOBD	1	1	1	0	3	ACSA_ECOLI	C6ED56_ECOBD	A	Acetate/CoA ligase (Acetyl-coenzyme A synthetase) (EC 6.2.1.1) (EC 6.2.1.17)	652	1,535.84	1	1	1	1,535.84	652	1	1	1	1,535.84	652	1	1	1					
C6ED58_ECOBD	1	1	1	1	4	ACTP_ECOLI	C6ED58_ECOBD	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549	1,373.66	2	2	3	1,373.66	549	2	2	3	6.343.671	549	7	7	11	9.424.679	549	4	4	4
C6EI13_ECOBD	0	0	0	0	0	ACYP_ECOLI	C6EI13_ECOBD	A	Acylphosphatase (EC 3.6.1.7)																				
C6E9Y6_ECOBD	0	0	0	0	0	ADA_ECOLI	C6E9Y6_ECOBD	A	Fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Transcriptional regulator, AraC family) (EC 2.1.1.63)																				
C6EDM4_ECOBD	1	1	1	1	4	ADD_ECOLI	C6EDM4_ECOBD	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	1,194.66	8	9	21	1,390.71	333	5	6	6	3,037.52	333	5	5	12	3,037.52	333	3	4	6
C6EDA4_ECOBD	0	0	0	0	0	ADEC_ECOLI	C6EDA4_ECOBD	B	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)																				
C6EE86_ECOBD	0	0	0	0	0	ADH2_ECOLI	C6EE86_ECOBD	A	Iron-containing alcohol dehydrogenase (Predicted Fe-containing alcohol dehydrogenase)																				
C6EGM8_ECOBD	0	0	0	0	0	ADHE_ECOLI	C6EGM8_ECOBD	A	Fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase (EC 1.1.1.1) (EC 1.2.1.10) (Iron-containing alcohol dehydrogenase)																				
C6EEN9_ECOBD	1	0	0	0	1	ADHP_ECOLI	C6EEN9_ECOBD	B	Alcohol dehydrogenase (EC 1.1.1.1) (Alcohol dehydrogenase zinc-binding domain protein)	336	1,120.57	1	1	1															
C6ED07_ECOBD	0	0	0	0	0	ADIA_ECOLI	C6ED07_ECOBD	A	Arginine decarboxylase (EC 4.1.1.19) (Biodegradative arginine decarboxylase) (EC 4.1.1.19)																				
C6ED09_ECOBD	0	0	0	0	0	ADIC_ECOLI	C6ED09_ECOBD	B	Amino acid permease-associated region (Arginine:agmatin)																				
C6ED08_ECOBD	0	0	0	0	0	ADIY_ECOLI	C6ED08_ECOBD	A	DNA-binding transcriptional activator (Transcriptional regulator, AraC family)																				
C6EHV9_ECOBD	0	0	0	0	0	ADPP_ECOLI	C6EHV9_ECOBD	A	ADP-ribose diphosphatase (EC 3.6.1.13) (ADP-ribose pyrophosphatase) (EC 3.6.1.13)																				
C6ELK2_ECOBD	0	0	0	0	0	ADRA_ECOLI	C6ELK2_ECOBD	B	Diguanylate cyclase (Predicted diguanylate cyclase)																				
C6EC16_ECOBD	0	0	0	0	0	ADRB_ECOLI	C6EC16_ECOBD	B	Diguanylate phosphodiesterase (Predicted phosphodiesterase)																				
C6EFQ7_ECOBD	0	0	0	0	0	AEEP_ECOLI	C6EFQ7_ECOBD	B	L-Ala-D/L-Glu epimerase (Mandelate racemase/muconate lactonizing protein)																				
C6EKP4_ECOBD	0	0	0	0	0	AEGA_ECOLI	C6EKP4_ECOBD	A	Fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit (Glutamate synthase, small subunit)																				
C6EHS4_ECOBD	0	0	0	0	0	AER_ECOLI	C6EHS4_ECOBD	B	Fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component (Methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor)																				
C6EKY8_ECOBD	0	0	0	0	0	AES_ECOLI	C6EKY8_ECOBD	A	Acetyl esterase (EC 3.1.1.-) (Alpha/beta hydrolase fold-3 domain protein)																				
C6EH84_ECOBD	0	0	0	0	0	AGAI_ECOLI	C6EH84_ECOBD	B	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)																				
C6ED05_ECOBD	1	0	0	0	1	AGAL_ECOLI	C6ED05_ECOBD	A	Alpha-galactosidase, NAD(P)-binding (EC 3.2.1.22) (Glycoside hydrolase family 4)	451	1,080.54	1	1	1															
C6EH96_ECOBD	0	0	0	0	0	AGAR_ECOLI	C6EH96_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, DeoR family)																				
C6EH89_ECOBD	0	0	0	0	0	AGAS_ECOLI	C6EH89_ECOBD	A	Sugar isomerase, AgaS family (Tagatose-6-phosphate ketose/aldose isomerase) (EC 5.-.-.-)																				
C6EHK5_ECOBD	1	1	1	1	4	AGP_ECOLI	C6EHK5_ECOBD	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	413	1,291.63	15	18	29	1,291.63	413	18	21	32	1,683.80	413	18	26	40	1,302.67	413	6	6	7
C6EK89_ECOBD	1	1	1	1	4	AHPC_ECOLI	C6EK89_ECOBD	A	Alkyl hydroperoxide reductase, C22 subunit (EC 1.11.1.15) (Peroxiredoxin)	187	1,216.60	10	15	43	9.175.052	187	11	17	26	7.894.102	187	10	12	17	1,612.88	187	1	1	1
C6EK88_ECOBD	1	1	1	0	3	AHPF_ECOLI	C6EK88_ECOBD	A	Alkyl hydroperoxide reductase, F subunit	531	9.305.003	2	2	2	9.305.003	531	2	2	2	9.305.003	531	1	1	1					
C6ECG2_ECOBD	0	0	0	0	0	AIDB_ECOLI	C6ECG2_ECOBD	A	Acyl-CoA dehydrogenase domain protein (Isovaleryl CoA dehydrogenase)																				
C6E9U8_ECOBD	1	1	1	1	4	AIS_ECOLI	C6E9U8_ECOBD	G	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	200	1,192.56	14	18	129	1,192.56	200	11	12	29	9.305.368	200	4	4	9	1,406.83	200	4	5	9
C6EBG7_ECOBD	1	1	0	0	2	AK1H_ECOLI	C6EBG7_ECOBD	F1	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartokinase I/homoserine dehydrogenase I) (EC 1.1.1.3) (EC 2.7.2.4)	820	1,742.99	2	2	2	1,742.99	820	2	2	2										
C6EE68_ECOBD	1	1	0	0	2	AK2H_ECOLI	C6EE68_ECOBD	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	810	1,151.54	10	10	14	8.125.717	810	6	6	6										
C6EE00_ECOBD	0	0	0	0	0	AK3_ECOLI	C6EE00_ECOBD	A	Aspartokinase (EC 2.7.2.4)																				
C6EEU8_ECOBD	1	0	1	0	2	ALDA_ECOLI	C6EEU8_ECOBD	A	Aldehyde Dehydrogenase (Aldehyde dehydrogenase A, NAD-linked) (EC 1.2.1.22)	479	8.734.789	1	1	1						1,011.58	479	2	2	2					
C6EE87_ECOBD	0	0	0	0	0	ALDB_ECOLI	C6EE87_ECOBD	A	Aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3) (Aldehyde dehydrogenase B) (EC 1.2.1.22)																				
C6EII4_ECOBD	1	1	1	1	4	ALF_ECOLI	C6EII4_ECOBD	A	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)	359	1,232.65	6	7	11	1,232.65	359	4	4	5	9.554.367	359	10	13	15	1,083.53	359	4	5	6
C6EAL3_ECOBD	0	0	0	0	0	ALF1_ECOLI	C6EAL3_ECOBD	A	Fructose-bisphosphate aldolase (EC 4.1.2.13)																				
C6E9Y7_ECOBD	0	0	0	0	0	ALKB_ECOLI	C6E9Y7_ECOBD	B	Alkylated DNA repair protein AlkB (Oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions)																				
C6EBX8_ECOBD	1	1	1	1	4	ALKH_ECOLI	C6EBX8_ECOBD	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	213	8.164.462	4	4	7	4,058.17	213	3	3	4	1,910.12	213	2	2	3	1,910.12	213	1	1	1
C6EKW0_ECOBD	0	0	0	0	0	ALLA_ECOLI	C6EKW0_ECOBD	A	Ureidoglycolate hydrolase (EC 3.5.3.19)																				
C6EKV4_ECOBD	0	0	0	0	0	ALLB_ECOLI	C6EKV4_ECOBD	A	Allantoinase																				
C6EKV0_ECOBD	0	0	0	0	0	ALLC_ECOLI	C6EKV0_ECOBD	A	Allantoate amidohydrolase (EC 3.5.1.87) (N-carbamoyl-L-amino acid amidohydrolase) (EC 3.5.3.4)																				
C6EKU9_ECOBD	0	0	0	0	0	ALLD_ECOLI	C6EKU9_ECOBD	A	Ureidoglycolate dehydrogenase																				
C6EKV5_ECOBD	0	0	0	0	0	ALLP_ECOLI	C6EKV5_ECOBD	B	NCS1 nucleoside transporter family (Predicted allantoin transporter)																				
C6EKV9_ECOBD	1	1	0	0	2	ALLR_ECOLI	C6EKV9_ECOBD	A	DNA-binding transcriptional repressor (Transcriptional regulator, IclR family)	271	1,237.66	3	3	7	1,147.67	271	1	1	1										
C6EKW1_ECOBD	0	0	0	0	0	ALLS_ECOLI	C6EKW1_ECOBD	A	DNA-binding transcriptional activator of the allD operon (Transcriptional regulator, LysR family)																				
C6ED72_ECOBD	0	0	0	0	0	ALR1_ECOLI	C6ED72_ECOBD	A	Alanine racemase (EC 5.1.1.1)																				
C6EGS7_ECOBD	0	0	0	0	0	ALR2_ECOLI	C6EGS7_ECOBD	A	Alanine racemase (EC 5.1.1.1)																				
C6ED36_ECOBD	0	0	1	0	1	ALSA_ECOLI	C6ED36_ECOBD	F1	ABC transporter related (Fused D-allose transporter subunits of ABC superfamily: ATP-binding components)											7.574.679	510	1	1	1					
C6ED35_ECOBD	0	0	0	0	0	ALSB_ECOLI	C6ED35_ECOBD	G	D-allose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)																				
C6ED37_ECOBD	0	0	0	0	0	ALSC_ECOLI	C6ED37_ECOBD	B	D-allose transporter subunit (Inner-membrane translocator)																				
C6ED38_ECOBD	0	0	0	0	0	ALSE_ECOLI	C6ED38_ECOBD	A	Allulose-6-phosphate 3-epimerase (EC 5.1.3.-) (Ribulose-phosphate 3-epimerase) (EC 5.1.3.1)																				
C6ED39_ECOBD	0	0	0	0	0	ALSK_ECOLI	C6ED39_ECOBD	A	D-allose kinase (ROK family protein)																				
C6EHQ7_ECOBD	1	1	1	1	4	ALX_ECOLI	C6EHQ7_ECOBD	B	Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)	321	1,953.97	3	4	8	1,953.97	321	3	4	4	1,640.74	321	3	5	9	1,937.98	321	3	7	12
C6EKR9_ECOBD	1	1	1	1	4	AMIA_ECOLI	C6EKR9_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase I) (EC 3.5.1.28)	289	1,251.69	5	5	13	1,163.62	289	1	1	1	1,163.62	289	1	1	1	1,163.62	289	1	1	1
C6ECV9_ECOBD	0	0	0	0	0	AMIB_ECOLI	C6ECV9_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase II) (EC 3.5.1.28)																				
C6EJ52_ECOBD	1	1	1	1	4	AMIC_ECOLI	C6EJ52_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	417	1,164.59	12	12	30	3,567.72	417	10	10	10	1,805.96	417	11	12	20	1,146.59	417	3	3	5
C6EIB4_ECOBD	1	1	1	0	3	AMID_ECOLI	C6EIB4_ECOBD	I	N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD (EC 3.5.1.28) (Predicted amidase and lipoprotein)	276	2,017.12	2	2	2	2,017.12	276	2	2	2	1,473.75	276	1	1	1					
C6EB87_ECOBD	0	0	0	0	0	AMN_ECOLI	C6EB87_ECOBD	A	AMP nucleosidase (EC 3.2.2.4)																				
C6EC91_ECOBD	1	1	1	0	3	AMPA_ECOLI	C6EC91_ECOBD	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	9.114.469	21	24	52	9.114.469	503	11	13	13	1,797.05	503	2	2	2					
C6ECX3_ECOBD	1	1	1	0	3	AMPC_ECOLI	C6ECX3_ECOBD	G	Beta-lactamase (EC 3.5.2.6) (Beta-lactamase/D-alanine carboxypeptidase) (EC 3.5.2.6)	377	1,327.74	1	1	1	1,327.74	377	1	1	1	1,327.74	377	1	1	1					
C6EAU7_ECOBD	1	1	0	0	2	AMPD_ECOLI	C6EAU7_ECOBD	A	N-acetyl-anhydromuranmyl-L-alanine amidase (N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD)	183	1,388.74	1	1	1	1,388.74	183	1	1	1										
C6EAU6_ECOBD	1	1	1	1	4	AMPE_ECOLI	C6EAU6_ECOBD	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284	1,278.67	4	4	10	2,147.95	284	3	3	5	1,278.67	284	3	3	5	2,165.17	284	2	2	2
C6EL33_ECOBD	0	0	0	1	1	AMPG_ECOLI	C6EL33_ECOBD	B	AmpG-related permease (Muropeptide transporter)																1,134.63	491	1	1	1
C6ELL2_ECOBD	0	0	0	0	0	AMPH_ECOLI	C6ELL2_ECOBD	G	Beta-lactamase (Beta-lactamase/D-alanine carboxypeptidase)																				
C6EAB7_ECOBD	0	0	0	0	0	AMPM_ECOLI	C6EAB7_ECOBD	A	Methionine aminopeptidase (EC 3.4.11.18)																				
C6EI50_ECOBD	1	1	1	0	3	AMPN_ECOLI	C6EI50_ECOBD	F1	Aminopeptidase N	870	8.535.507	2	2	2	8.535.507	870	2	2	2	1,130.65	870	1	1	1					
C6EIK0_ECOBD	1	1	0	0	2	AMPP_ECOLI	C6EIK0_ECOBD	A	Peptidase M24 (Proline aminopeptidase P II) (EC 3.4.11.9)	441	1,779.94	2	2	2	1,779.94	441	2	2	2										
C6EL12_ECOBD	0	0	1	0	1	AMTB_ECOLI	C6EL12_ECOBD	B	Ammonium transporter											1,589.68	428	1	1	1					
C6EEA8_ECOBD	0	0	0	0	0	AMY1_ECOLI	C6EEA8_ECOBD	G	Alpha amylase catalytic region (Periplasmic alpha-amylase) (EC 3.2.1.1)																				
C6EBD4_ECOBD	0	0	0	0	0	AMY2_ECOLI	C6EBD4_ECOBD	A	Glucan 1,4-alpha-maltohexaosidase (EC 3.2.1.98)																				
C6EDK5_ECOBD	0	0	0	0	0	ANMK_ECOLI	C6EDK5_ECOBD	A	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.n1) (AnhMurNAc kinase)																				
C6EER0_ECOBD	0	0	1	0	1	ANSP_ECOLI	C6EER0_ECOBD	B	Amino acid permease-associated region (L-asparagine transporter)											3,111.54	499	2	2	2					
C6EB03_ECOBD	1	0	0	0	1	APAG_ECOLI	C6EB03_ECOBD	A	ApaG domain protein (Putative uncharacterized protein apaG)	125	863.535	1	1	1															
C6EB04_ECOBD	0	0	0	0	0	APAH_ECOLI	C6EB04_ECOBD	A	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)																				
C6E9Y5_ECOBD	0	0	1	1	2	APBE_ECOLI	C6E9Y5_ECOBD	E	ApbE family lipoprotein (Predicted thiamine biosynthesis lipoprotein)											1,235.67	351	1	1	1	1,235.67	351	1	1	1
C6ED69_ECOBD	0	0	0	0	0	APHA_ECOLI	C6ED69_ECOBD	G	Acid phosphatase/phosphotransferase, class B, non-specific (EC 3.1.3.2) (HAD superfamily (Subfamily IIIB) phosphatase, TIGR01672) (EC 3.1.3.2)																				
C6EHM9_ECOBD	0	0	0	0	0	APPB_ECOLI	C6EHM9_ECOBD	B	Cytochrome bd-II oxidase, subunit II (EC 1.10.3.-) (Cytochrome d ubiquinol oxidase, subunit II)																				
C6EHN0_ECOBD	1	1	0	0	2	APPC_ECOLI	C6EHN0_ECOBD	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome bd-II oxidase, subunit I) (EC 1.10.3.-)	514	8.584.792	1	1	2	8.584.792	514	1	1	1										
C6EKZ5_ECOBD	1	1	0	0	2	APT_ECOLI	C6EKZ5_ECOBD	A	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	183	1,265.67	2	2	3	1,265.67	183	2	2	3										
C6EIA6_ECOBD	0	0	0	0	0	AQPZ_ECOLI	C6EIA6_ECOBD	B	Aquaporin Z (Major intrinsic protein)																				
C6EAZ3_ECOBD	0	0	0	0	0	ARAA_ECOLI	C6EAZ3_ECOBD	A	L-arabinose isomerase (EC 5.3.1.4)																				
C6EAZ2_ECOBD	0	0	0	0	0	ARAB_ECOLI	C6EAZ2_ECOBD	A	Ribulokinase (EC 2.7.1.16)																				
C6EAZ1_ECOBD	0	0	0	0	0	ARAC_ECOLI	C6EAZ1_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)																				
C6EAZ4_ECOBD	0	0	0	0	0	ARAD_ECOLI	C6EAZ4_ECOBD	A	L-ribulose-5-phosphate 4-epimerase																				
C6EJ27_ECOBD	0	0	0	0	0	ARAE_ECOLI	C6EJ27_ECOBD	B	Arabinose transporter (Sugar transporter)																				
C6EBF9_ECOBD	0	0	0	0	0	ARAF_ECOLI	C6EBF9_ECOBD	G	L-arabinose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)																				
C6EBG0_ECOBD	0	0	0	0	0	ARAG_ECOLI	C6EBG0_ECOBD	F1	ABC transporter related (Fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components)																				
C6EBT1_ECOBD	1	1	1	1	4	ARAH_ECOLI	C6EBT1_ECOBD	B	Inner-membrane translocator	328	1,064.52	1	1	2	1,064.52	328	1	1	2	1,064.52	328	1	1	2	1,064.52	328	1	1	1
C6ELI8_ECOBD	0	0	0	0	0	ARAJ_ECOLI	C6ELI8_ECOBD	B	Major facilitator superfamily MFS_1																				
