A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P02413	RL15_ECOLI 50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1
P02918	PBPA_ECOLI Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1
P02919	PBPB_ECOLI Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2
P02925	RBSB_ECOLI D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1
P02929	TONB_ECOLI Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2
P02930	TOLC_ECOLI Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3
P02931	OMPF_ECOLI Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1
P02943	LAMB_ECOLI Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1
P03004	DNAA_ECOLI Chromosomal replication initiator protein dnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2
P03007	DPO3E_ECOLI DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1
P03018	UVRD_ECOLI DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1
P03023	LACI_ECOLI Lactose operon repressor OS=Escherichia coli (strain K12) GN=lacI PE=1 SV=3
P03024	GALR_ECOLI HTH-type transcriptional regulator galR OS=Escherichia coli (strain K12) GN=galR PE=1 SV=1
P03030	LYSR_ECOLI Transcriptional activator protein lysR OS=Escherichia coli (strain K12) GN=lysR PE=1 SV=1
P03842	RNPH_ECOLI Ribonuclease PH OS=Escherichia coli (strain K12) GN=rph PE=1 SV=2
P04036	DAPB_ECOLI Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1
P04079	GUAA_ECOLI GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1
P04335	FRSA_ECOLI Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2
P04391	OTC1_ECOLI Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3
P04425	GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1
P04693	TYRB_ECOLI Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=tyrB PE=1 SV=1
P04805	SYE_ECOLI Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1
P04825	AMPN_ECOLI Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2
P04846	NLPA_ECOLI Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1
P04951	KDSB_ECOLI 3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli (strain K12) GN=kdsB PE=1 SV=2
P04968	THD1_ECOLI Threonine dehydratase biosynthetic OS=Escherichia coli (strain K12) GN=ilvA PE=1 SV=1
P04993	EX5A_ECOLI Exodeoxyribonuclease V alpha chain OS=Escherichia coli (strain K12) GN=recD PE=1 SV=2
P04994	EX7L_ECOLI Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2
P04995	EX1_ECOLI Exodeoxyribonuclease I OS=Escherichia coli (strain K12) GN=sbcB PE=1 SV=2
P05055	PNP_ECOLI Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3
P05194	AROD_ECOLI 3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2
P05458	PTRA_ECOLI Protease 3 OS=Escherichia coli (strain K12) GN=ptrA PE=1 SV=1
P05523	FPG_ECOLI Formamidopyrimidine-DNA glycosylase OS=Escherichia coli (strain K12) GN=mutM PE=1 SV=3
P05704	MCP3_ECOLI Methyl-accepting chemotaxis protein III OS=Escherichia coli (strain K12) GN=trg PE=1 SV=3
P05791	ILVD_ECOLI Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5
P05793	ILVC_ECOLI Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4
P05825	FEPA_ECOLI Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2
P05827	ILVY_ECOLI HTH-type transcriptional regulator ilvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1
P05852	GCP_ECOLI Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2
P06129	BTUB_ECOLI Vitamin B12 transporter btuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2
P06136	FTSQ_ECOLI Cell division protein ftsQ OS=Escherichia coli (strain K12) GN=ftsQ PE=1 SV=1
P06149	DLD_ECOLI D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3
P06282	CDH_ECOLI CDP-diacylglycerol pyrophosphatase OS=Escherichia coli (strain K12) GN=cdh PE=3 SV=1
P06611	BTUD_ECOLI Vitamin B12 import ATP-binding protein btuD OS=Escherichia coli (strain K12) GN=btuD PE=1 SV=1
P06612	TOP1_ECOLI DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2
P06616	ERA_ECOLI GTP-binding protein era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2
P06709	BIRA_ECOLI Bifunctional protein birA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1
P06710	DPO3X_ECOLI DNA polymerase III subunit tau OS=Escherichia coli (strain K12) GN=dnaX PE=1 SV=1
P06720	AGAL_ECOLI Alpha-galactosidase OS=Escherichia coli (strain K12) GN=melA PE=1 SV=1
P06722	MUTH_ECOLI DNA mismatch repair protein mutH OS=Escherichia coli (strain K12) GN=mutH PE=1 SV=3
P06846	EBGR_ECOLI HTH-type transcriptional regulator ebgR OS=Escherichia coli (strain K12) GN=ebgR PE=4 SV=2
P06959	ODP2_ECOLI Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3
P06971	FHUA_ECOLI Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2
P06983	HEM3_ECOLI Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2
P06986	HIS8_ECOLI Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2
P06987	HIS7_ECOLI Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1
P06988	HISX_ECOLI Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5
P06989	HIS2_ECOLI Histidine biosynthesis bifunctional protein hisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3
P06992	RSMA_ECOLI Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1
P06999	K6PF2_ECOLI 6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2
P07000	PLDB_ECOLI Lysophospholipase L2 OS=Escherichia coli (strain K12) GN=pldB PE=4 SV=4
P07001	PNTA_ECOLI NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2
P07003	POXB_ECOLI Pyruvate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1
P07012	RF2_ECOLI Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3
P07014	DHSB_ECOLI Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1
P07023	TYRA_ECOLI T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1
P07024	USHA_ECOLI Protein ushA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2
P07109	HISP_ECOLI Histidine transport ATP-binding protein hisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2
P07117	PUTP_ECOLI Sodium/proline symporter OS=Escherichia coli (strain K12) GN=putP PE=1 SV=1
P07118	SYV_ECOLI Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2
P07395	SYFB_ECOLI Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2
P07604	TYRR_ECOLI Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2
P07639	AROB_ECOLI 3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1
P07648	EX5C_ECOLI Exodeoxyribonuclease V gamma chain OS=Escherichia coli (strain K12) GN=recC PE=1 SV=1
P07650	TYPH_ECOLI Thymidine phosphorylase OS=Escherichia coli (strain K12) GN=deoA PE=1 SV=3
P07813	SYL_ECOLI Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2
P07821	FHUC_ECOLI Iron(3+)-hydroxamate import ATP-binding protein fhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3
P07822	FHUD_ECOLI Iron(3+)-hydroxamate-binding protein fhuD OS=Escherichia coli (strain K12) GN=fhuD PE=1 SV=3
P07862	DDLB_ECOLI D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3
P07913	TDH_ECOLI L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) GN=tdh PE=1 SV=1
P08142	ILVB_ECOLI Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1
P08178	PUR5_ECOLI Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3
P08192	FOLC_ECOLI Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2
P08200	IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1
P08312	SYFA_ECOLI Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2
P08331	CPDB_ECOLI 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2
P08368	CREB_ECOLI Transcriptional regulatory protein creB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1
P08390	USG_ECOLI USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1
P08395	SPPA_ECOLI Protease 4 OS=Escherichia coli (strain K12) GN=sppA PE=1 SV=2
P08506	DACC_ECOLI D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2
P08622	DNAJ_ECOLI Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3
P08839	PT1_ECOLI Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1
P08956	T1RK_ECOLI Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) GN=hsdR PE=3 SV=3
P08957	T1MK_ECOLI Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1
P09030	EX3_ECOLI Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4
P09053	AVTA_ECOLI Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3
P09126	HEM4_ECOLI Uroporphyrinogen-III synthase OS=Escherichia coli (strain K12) GN=hemD PE=3 SV=1
P09127	HEMX_ECOLI Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1
P09152	NARG_ECOLI Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) GN=narG PE=1 SV=4
P09184	VSR_ECOLI Very short patch repair protein OS=Escherichia coli (strain K12) GN=vsr PE=1 SV=3
P09323	PTW3C_ECOLI PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1
P09323	PTW3C_ECOLI PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1
P09372	GRPE_ECOLI Protein grpE OS=Escherichia coli (strain K12) GN=grpE PE=1 SV=1
P09373	PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2
P09377	RHAS_ECOLI HTH-type transcriptional activator rhaS OS=Escherichia coli (strain K12) GN=rhaS PE=1 SV=1
P09391	GLPG_ECOLI Rhomboid protease glpG OS=Escherichia coli (strain K12) GN=glpG PE=1 SV=5
P09546	PUTA_ECOLI Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3
P09549	DEDD_ECOLI Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2
P09551	ARGT_ECOLI Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3
P09831	GLTB_ECOLI Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=2
P09832	GLTD_ECOLI Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3
P09980	REP_ECOLI ATP-dependent DNA helicase rep OS=Escherichia coli (strain K12) GN=rep PE=1 SV=3
P0A698	UVRA_ECOLI UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1
P0A6A0	UBIB_ECOLI Probable ubiquinone biosynthesis protein ubiB OS=Escherichia coli (strain K12) GN=ubiB PE=1 SV=1
P0A6A8	ACP_ECOLI Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2
P0A6B7	ISCS_ECOLI Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1
P0A6C1	END4_ECOLI Endonuclease 4 OS=Escherichia coli (strain K12) GN=nfo PE=1 SV=1
P0A6C5	ARGA_ECOLI Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1
P0A6C8	ARGB_ECOLI Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1
P0A6D0	ARGR_ECOLI Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1
P0A6D3	AROA_ECOLI 3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1
P0A6D7	AROK_ECOLI Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2
P0A6E1	AROL_ECOLI Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3
P0A6E4	ASSY_ECOLI Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2
P0A6E6	ATPE_ECOLI ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2
P0A6E9	BIOD2_ECOLI Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1
P0A6F1	CARA_ECOLI Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1
P0A6F3	GLPK_ECOLI Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2
P0A6F5	CH60_ECOLI 60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2
P0A6F9	CH10_ECOLI 10 kDa chaperonin OS=Escherichia coli (strain K12) GN=groS PE=1 SV=1
P0A6G7	CLPP_ECOLI ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1
P0A6H1	CLPX_ECOLI ATP-dependent Clp protease ATP-binding subunit clpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2
P0A6H5	HSLU_ECOLI ATP-dependent hsl protease ATP-binding subunit hslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1
P0A6H8	CLS_ECOLI Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1
P0A6I0	KCY_ECOLI Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1
P0A6J1	CYSC_ECOLI Adenylyl-sulfate kinase OS=Escherichia coli (strain K12) GN=cysC PE=1 SV=2
P0A6J3	CYSZ_ECOLI Protein cysZ OS=Escherichia coli (strain K12) GN=cysZ PE=1 SV=1
P0A6J5	DADA_ECOLI D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1
P0A6J8	DDLA_ECOLI D-alanine--D-alanine ligase A OS=Escherichia coli (strain K12) GN=ddlA PE=3 SV=1
P0A6K1	DAPF_ECOLI Diaminopimelate epimerase OS=Escherichia coli (strain K12) GN=dapF PE=3 SV=1
P0A6K3	DEF_ECOLI Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2
P0A6K6	DEOB_ECOLI Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1
P0A6L0	DEOC_ECOLI Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) GN=deoC PE=1 SV=1
P0A6L2	DAPA_ECOLI Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1
P0A6L4	NANA_ECOLI N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2
P0A6L9	HSCB_ECOLI Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1
P0A6M8	EFG_ECOLI Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2
P0CE47	EFTU_ECOLI Elongation factor Tu OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=2
P0A6N4	EFP_ECOLI Elongation factor P OS=Escherichia coli (strain K12) GN=efp PE=1 SV=2
P0A6N8	EFPL_ECOLI Elongation factor P-like protein OS=Escherichia coli (strain K12) GN=yeiP PE=1 SV=1
P0A6P1	EFTS_ECOLI Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2
P0A6P5	ENGA_ECOLI GTP-binding protein engA OS=Escherichia coli (strain K12) GN=engA PE=3 SV=1
P0A6P7	ENGB_ECOLI Probable GTP-binding protein engB OS=Escherichia coli (strain K12) GN=engB PE=1 SV=1
P0A6P9	ENO_ECOLI Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2
P0A6Q3	FABA_ECOLI 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2
P0A6Q6	FABZ_ECOLI (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1
P0A6R0	FABH_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1
P0A6R3	FIS_ECOLI DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1
P0A6S0	FLGH_ECOLI Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1
P0A6S5	FTSB_ECOLI Cell division protein ftsB OS=Escherichia coli (strain K12) GN=ftsB PE=1 SV=1
P0A6S7	GPDA_ECOLI Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) GN=gpsA PE=3 SV=1
P0A6T5	GCH1_ECOLI GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2
P0A6T9	GCSH_ECOLI Glycine cleavage system H protein OS=Escherichia coli (strain K12) GN=gcvH PE=1 SV=2
P0A6U3	MNMG_ECOLI tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1
P0A6U5	RSMG_ECOLI Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rsmG PE=1 SV=1
P0A6U8	GLGA_ECOLI Glycogen synthase OS=Escherichia coli (strain K12) GN=glgA PE=1 SV=1
P0A6W0	GLSA2_ECOLI Glutaminase 2 OS=Escherichia coli (strain K12) GN=glsA2 PE=3 SV=1
P0A6W3	MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1
P0A6W5	GREA_ECOLI Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1
P0A6X1	HEM1_ECOLI Glutamyl-tRNA reductase OS=Escherichia coli (strain K12) GN=hemA PE=1 SV=1
P0A6X7	IHFA_ECOLI Integration host factor subunit alpha OS=Escherichia coli (strain K12) GN=ihfA PE=1 SV=1
P0A6Y1	IHFB_ECOLI Integration host factor subunit beta OS=Escherichia coli (strain K12) GN=ihfB PE=1 SV=1
P0A6Y5	HSLO_ECOLI 33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1
P0A6Y8	DNAK_ECOLI Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2
P0A6Z1	HSCA_ECOLI Chaperone protein hscA OS=Escherichia coli (strain K12) GN=hscA PE=1 SV=1
P0A6Z3	HTPG_ECOLI Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1
P0A6Z6	NIKR_ECOLI Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1
P0A705	IF2_ECOLI Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1
P0A707	IF3_ECOLI Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1
P0A715	KDSA_ECOLI 2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1
P0A717	KPRS_ECOLI Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2
P0A720	KTHY_ECOLI Thymidylate kinase OS=Escherichia coli (strain K12) GN=tmk PE=1 SV=1
P0A722	LPXA_ECOLI Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1
P0A725	LPXC_ECOLI UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1
P0A734	MINE_ECOLI Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1
P0A742	MSCL_ECOLI Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1
P0A744	MSRA_ECOLI Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain K12) GN=msrA PE=1 SV=2
P0A749	MURA_ECOLI UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1
