Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P00904	trpD	trpGD	b1263	JW1255	TRPG_ECOLI		Evidence at protein level	Anthranilate phosphoribosyltransferase family	"Anthranilate synthase component II (EC 4.1.3.27) [Includes: Glutamine amidotransferase; Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]"	"GO:0004048; GO:0004049; GO:0006541; GO:0000162"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Direct protein sequencing; Glutamine amidotransferase; Glycosyltransferase; Lyase; Multifunctional enzyme; Transferase; Tryptophan biosynthesis"	531
P00909	trpC		b1262	JW1254	TRPC_ECOLI		Evidence at protein level	"TrpC family; TrpF family"	"Tryptophan biosynthesis protein trpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]"	"GO:0004425; GO:0004640; GO:0000162"	"3D-structure; Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Decarboxylase; Isomerase; Lyase; Multifunctional enzyme; Tryptophan biosynthesis"	452
P00914	phrB	phr	b0708	JW0698	PHR_ECOLI		Evidence at protein level	DNA photolyase class-1 family	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	"GO:0003677; GO:0006281; GO:0003904; GO:0000166; GO:0005515; GO:0018298"	"3D-structure; Chromophore; Complete proteome; DNA damage; DNA repair; DNA-binding; FAD; Flavoprotein; Lyase; Nucleotide-binding"	472
P00926	dsdA		b2366	JW2363	SDHD_ECOLI		Evidence at protein level	Serine/threonine dehydratase family, DsdA subfamily	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	"GO:0046416; GO:0008721; GO:0070178; GO:0005737; GO:0016836; GO:0030170"	"Complete proteome; Direct protein sequencing; Lyase; Pyridoxal phosphate"	442
P00934	thrC		b0004	JW0003	THRC_ECOLI		Evidence at protein level	Threonine synthase family	Threonine synthase (TS) (EC 4.2.3.1)	"GO:0005515; GO:0030170; GO:0009088; GO:0004795"	"3D-structure; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Lyase; Pyridoxal phosphate; Threonine biosynthesis"	428
P00935	metB		b3939	JW3910	METB_ECOLI	Cytoplasm. 	Evidence at protein level	Trans-sulfuration enzymes family	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	"GO:0003962; GO:0005737; GO:0009086; GO:0005515; GO:0030170"	"3D-structure; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Direct protein sequencing; Methionine biosynthesis; Pyridoxal phosphate; Transferase"	386
P00936	cyaA	cya	b3806	JW3778	CYAA_ECOLI	Cytoplasm. 	Inferred from homology	Adenylyl cyclase class-1 family	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	"GO:0005524; GO:0004016; GO:0005737; GO:0005515"	"ATP-binding; Complete proteome; Cytoplasm; Lyase; Nucleotide-binding; Phosphoprotein; cAMP biosynthesis"	848
P00944	xylA		b3565	JW3537	XYLA_ECOLI	Cytoplasm. 	Inferred from homology	Xylose isomerase family	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	"GO:0042843; GO:0005737; GO:0046872; GO:0006098; GO:0009045"	"Carbohydrate metabolism; Complete proteome; Cytoplasm; Isomerase; Magnesium; Metal-binding; Pentose shunt; Xylose metabolism"	440
P00946	manA	pmi	b1613	JW1605	MANA_ECOLI	Cytoplasm. 	Evidence at protein level	Mannose-6-phosphate isomerase type 1 family	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	"GO:0009298; GO:0009242; GO:0005737; GO:0019309; GO:0004476; GO:0008270"	"Acetylation; Complete proteome; Cytoplasm; Isomerase; Metal-binding; Zinc"	391
P00954	trpS		b3384	JW3347	SYW_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I aminoacyl-tRNA synthetase family	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	"GO:0005524; GO:0005737; GO:0004830; GO:0006436"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis"	334
P00956	ileS	ilvS	b0026	JW0024	SYI_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I aminoacyl-tRNA synthetase family, IleS type 1 subfamily	Isoleucyl-tRNA synthetase (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS)	"GO:0005524; GO:0005737; GO:0004822; GO:0006428; GO:0046677; GO:0008270"	"ATP-binding; Acetylation; Aminoacyl-tRNA synthetase; Antibiotic resistance; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; Zinc"	938
P00957	alaS	lovB	b2697	JW2667	SYA_ECOLI	Cytoplasm. 	Evidence at protein level	Class-II aminoacyl-tRNA synthetase family	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase) (AlaRS)	"GO:0005524; GO:0004813; GO:0006419; GO:0002161; GO:0005737; GO:0016020; GO:0045892; GO:0016566; GO:0000049; GO:0008270"	"3D-structure; ATP-binding; Acetylation; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; RNA-binding; Zinc; tRNA-binding"	876
P00959	metG		b2114	JW2101	SYM_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I aminoacyl-tRNA synthetase family, MetG type 1 subfamily	Methionyl-tRNA synthetase (EC 6.1.1.10) (Methionine--tRNA ligase) (MetRS)	"GO:0005524; GO:0005829; GO:0016020; GO:0046872; GO:0004825; GO:0006431; GO:0005515; GO:0000049"	"3D-structure; ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; RNA-binding; Zinc; tRNA-binding"	677
P00960	glyQ	glyS(A)	b3560	JW3531	SYGA_ECOLI	Cytoplasm. 	Evidence at protein level	Class-II aminoacyl-tRNA synthetase family	Glycyl-tRNA synthetase alpha subunit (EC 6.1.1.14) (Glycine--tRNA ligase alpha subunit) (GlyRS)	"GO:0005524; GO:0005737; GO:0004820; GO:0006426; GO:0005515"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis"	303
P00961	glyS	glyS(B)	b3559	JW3530	SYGB_ECOLI	Cytoplasm. 	Evidence at protein level	Class-II aminoacyl-tRNA synthetase family	Glycyl-tRNA synthetase beta subunit (EC 6.1.1.14) (Glycine--tRNA ligase beta subunit) (GlyRS)	"GO:0005524; GO:0004814; GO:0006420; GO:0005829; GO:0004820; GO:0006426"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Nucleotide-binding; Protein biosynthesis"	689
P00962	glnS		b0680	JW0666	SYQ_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I aminoacyl-tRNA synthetase family	Glutaminyl-tRNA synthetase (EC 6.1.1.18) (Glutamine--tRNA ligase) (GlnRS)	"GO:0005524; GO:0005737; GO:0004819; GO:0006425"	"3D-structure; ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Nucleotide-binding; Protein biosynthesis"	554
