K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Gene Ontology ID (Uniprot)	Category	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score	Uniprot Description	Pseudogenes / Mobile Elements Notes
NAPA_ECOLI	C6E9Z4_ECOBD	Periplasm. 	Common Core 	"GO:0051539; GO:0006777; GO:0009055; GO:0005506; GO:0030151; GO:0042128; GO:0008940; GO:0055114; GO:0042597"	G	TAT		32	1.000	32	0.711	31	SpI 	20.636	0	8.39	8.38	31	0	31	0.724	Periplasmic nitrate reductase (EC 1.7.99.4)	 
NAPG_ECOLI	C6E9Z5_ECOBD		Common Core 	"GO:0009055; GO:0051536"	G	TAT		0	0.717	0	0	41	SpI 	0.193	0	7.44	7.42	41	0	41	0.358	MauM/NapG family ferredoxin-type protein (Quinol dehydrogenase periplasmic component)	 
NAPH_ECOLI	C6E9Z6_ECOBD		Common Core 	"GO:0009055; GO:0005506; GO:0051536"	B	SEC		0	0	33	0		TMH 	7.445	4	100.52	21.82		4	14	0.325	Ferredoxin-type protein, NapH/MauN family (Quinol dehydrogenase membrane component)	 
NAPB_ECOLI	C6E9Z7_ECOBD		Common Core 	"GO:0008940; GO:0055114"	G	SEC		28	1.000	28	0.849	27	SpI 	14.689	0	9.70	9.70	27	0	27	0.196	Nitrate reductase cytochrome c-type subunit (NapB) (Nitrate reductase, small, cytochrome C550 subunit, periplasmic) (EC 1.7.99.4)	 
NAPC_ECOLI	C6E9Z8_ECOBD		Common Core 	"GO:0020037; GO:0016021; GO:0008940; GO:0055114"	B	SEC		0	0	31	0		TMH 	6.019	1	22.23	22.23		1	51	0.316	Nitrate reductase, cytochrome c-type, periplasmic (EC 1.7.99.4) (Periplasmic nitrate (Or nitrite) reductase c-type cytochrome, NapC/NirT family)	 
CCME_ECOLI	C6EA03_ECOBD	"Cell inner membrane; Single-pass type II membrane protein; Periplasmic side. "	Common Core 	"GO:0017004; GO:0005886; GO:0017003"	B	SEC		30	0.998	17	0.505		TMH 	8.603	1	22.25	22.25		1	28	0.166	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	 
CCMF_ECOLI	C6EA04_ECOBD		Common Core 	"GO:0017004; GO:0015232; GO:0016829; GO:0016020; GO:0008535"	B	SEC		0	0	16	0		TMH 	12.993	15	325.20	41.95		15	53	0.213	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	 
CCMH_ECOLI	C6EA06_ECOBD		Common Core 	"GO:0005488; GO:0016829"	B	SEC		19	1.000	19	0.661	18	SpI 	8.872	3	63.85	18.54	18	2	18	0.129	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	 
NARP_ECOLI	C6EA07_ECOBD		Common Core 	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	A			0	0	0	0		CYT 		0	0.00	0.00		0	38	0.036	DNA-binding response regulator in two-component regulatory system with NarQ or NarX (Two component transcriptional regulator, LuxR family)	 
YEJM_ECOLI	C6EA09_ECOBD		Common Core 	GO:0008484	B	SEC		0	0	0	0		TMH 	14.698	5	109.52	26.40		5	23	0.156	Predicted hydrolase, inner membrane (Sulfatase)	 
NDPA_ECOLI	C6EA11_ECOBD	Cytoplasm › nucleoid. 	Common Core 	"GO:0005737; GO:0009295"	A			0	0	0	0		CYT 		0	0.28	0.00		0	9	0.030	Nucleoid-associated protein YejK	 
YEJH_ECOLI	C6EA13_ECOBD		Common Core 	"GO:0005524; GO:0003677; GO:0004386"	A			0	0	0	0		CYT 		0	0.42	0.38		0	42	0.095	Predicted ATP-dependet helicase (Type III restriction protein res subunit)	 
RSUA_ECOLI	C6EA14_ECOBD		Common Core 	"GO:0003723; GO:0016829; GO:0009982; GO:0001522"	A_trl			0	0	19	0		CYT 		0	0.00	0.00		0	18	0.346	Pseudouridine synthase (EC 5.4.99.-)	 
YEJF_ECOLI	C6EA17_ECOBD		Common Core 	"GO:0005524; GO:0016887; GO:0015833"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	51	0.068	ABC transporter related (Fused predicted oligopeptide transporter subunits of ABC superfamilly: ATP-binding components)	 
YEJE_ECOLI	C6EA18_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		43	0.740	33	0		TMH 	6.406	6	132.83	22.61		6	42	0.186	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	 
YEJB_ECOLI	C6EA19_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	19	0.500		TMH 	4.740	6	135.21	22.36		6	63	0.085	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	 
RTN_ECOLI	C6EA21_ECOBD		Common Core 		B	SEC		0	0.614	19	0		TMH 	2.525	2	51.89	22.98		2	5	0.134	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	 
SPR_ECOLI	C6EA22_ECOBD		Common Core 		I	SEC	LOL	0	0.964	17	0	26	SpII 	11.418	0	15.18	14.88	29	0	41	0.100	NLP/P60 protein (Predicted peptidase, outer membrane lipoprotein)	 
YEIU_ECOLI	C6EA23_ECOBD		Common Core 	"GO:0003824; GO:0016020"	B	SEC		0	0	0	0		TMH 	7.407	5	108.19	22.79		5	81	0.030	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	 
PROA_ECOLI	C6EA42_ECOBD	Cytoplasm. 	Common Core 	"GO:0050661; GO:0005737; GO:0004350; GO:0055114; GO:0006561"	A			0	0	0	0		CYT 		0	0.00	0.00		0	8	0.099	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	 
PROB_ECOLI	C6EA43_ECOBD	Cytoplasm. 	Common Core 	"GO:0005524; GO:0003723; GO:0005737; GO:0004349; GO:0006561"	A	SEC		0	0	0	0		CYT 		0	0.06	0.02		0	28	0.148	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase)	 
PHOE_ECOLI	C6EA44_ECOBD	"Cell outer membrane; Multi-pass membrane protein. "	Common Core 	"GO:0009279; GO:0006811; GO:0005886; GO:0046930; GO:0015288"	H	SEC	BAM	22	1.000	22	0.899	21	SpI 	21.354	0	4.73	4.73	21	0	21	0.056	Outer membrane phosphoporin protein E (Porin Gram-negative type)	 
FRSA_ECOLI	C6EA48_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.01	0.00		0	38	0.161	Fermentation/respiration switch protein (Putative uncharacterized protein)	 
XGPT_ECOLI	C6EA49_ECOBD		Common Core 	"GO:0009116; GO:0000310"	F1			0	0	0	0		CYT 		0	0.05	0.04		0	47	0.138	Xanthine phosphoribosyltransferase (EC 2.4.2.22)	 
PEPD_ECOLI	C6EA50_ECOBD		Common Core 	"GO:0016805; GO:0005515; GO:0006508"	A			0	0	0	0		CYT 		0	0.00	0.00		0	17	0.084	Aminoacyl-histidine dipeptidase (EC 3.4.13.3) (Aminoacyl-histidine dipeptidase (Peptidase D)) (EC 3.4.13.3)	 
DPO4_ECOLI	C6EA56_ECOBD	Cytoplasm. 	Common Core 	"GO:0006281; GO:0006260; GO:0003887; GO:0005737; GO:0003684; GO:0046872"	A			0	0	0	0		CYT 		0	0.05	0.02		0	56	0.131	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	 
YAFL_ECOLI	C6EA60_ECOBD		Common Core 		G	SEC		26	1.000	26	0.800	27	SpI 	11.758	1	20.49	20.49	37	0	37	0.179	NLP/P60 protein	 
YAFK_ECOLI	C6EA64_ECOBD		Common Core 		G	SEC		20	1.000	20	0.818	19	SpI 	10.678	1	26.75	18.68	27	0	33	0.140	ErfK/YbiS/YcfS/YnhG family protein (Putative uncharacterized protein yafK)	 
YAFJ_ECOLI	C6EA65_ECOBD		Common Core 	"GO:0006541; GO:0016740"	A			0	0	0	0		CYT 		0	0.01	0.00		0	34	0.161	Glutamine amidotransferase class-II (Predicted amidotransfease)	 
GMHA_ECOLI	C6EA66_ECOBD		Common Core 	"GO:0008968; GO:0005737; GO:0009244; GO:0005529"	A			0	0	0	0		CYT 		0	0.00	0.00		0	45	0.131	Phosphoheptose isomerase	 
FADE_ECOLI	C6EA67_ECOBD		Common Core 	"GO:0050660; GO:0003995; GO:0033539; GO:0055114"	B	SEC		0	0.749	29	0		TMH 	11.756	2	48.72	44.39	17	2	52	0.169	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	 
IVY_ECOLI	C6EA68_ECOBD		Common Core 	"GO:0043086; GO:0042597"	G	SEC		29	1.000	29	0.901	28	SpI 	16.651	0	6.14	6.12	28	0	28	0.313	Inhibitor of vertebrate C-lysozyme (Inhibitor of vertebrate lysozyme)	 
YAFV_ECOLI	C6EA69_ECOBD		Common Core 	"GO:0008415; GO:0016810; GO:0006807"	A			0	0	0	0		CYT 		0	0.00	0.00		0	54	0.054	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase (Predicted C-N hydrolase family amidase, NAD(P)-binding)	 
DPO3E_ECOLI	C6EA75_ECOBD		Common Core 	"GO:0003677; GO:0006260; GO:0003887; GO:0004527; GO:0005622"	A			0	0	0	0		CYT 		0	0.13	0.00		0	35	0.047	DNA polymerase III, epsilon subunit (EC 2.7.7.7)	 
RNH_ECOLI	C6EA76_ECOBD		Common Core 	"GO:0003676; GO:0004523"	A			0	0	0	0		CYT 		0	0.03	0.03		0	24	0.138	Ribonuclease H (EC 3.1.26.4)	 
YAFS_ECOLI	C6EA77_ECOBD		Common Core 	GO:0008168	A			0	0	0	0		CYT 		0	0.19	0.00		0	40	0.038	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	 
GLO2_ECOLI	C6EA78_ECOBD		Common Core 	"GO:0004416; GO:0008270"	A			0	0	0	0		CYT 		0	0.02	0.00		0	40	0.046	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II)	 
MLTD_ECOLI	C6EA79_ECOBD		Common Core 	"GO:0016998; GO:0016798"	I	SEC	LOL	27	0.997	27	0.548	15	SpII 	18.556	0	0.09	0.08	18	0	37	0.217	MLTD_N domain protein (Predicted membrane-bound lytic murein transglycosylase D) (EC 3.2.1.-)	 
YAFE_ECOLI	C6EA80_ECOBD		Common Core 	GO:0008168	A			0	0	23	0		CYT 		0	0.02	0.02		0	22	0.117	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	 
YAFD_ECOLI	C6EA81_ECOBD		Common Core 	"GO:0004519; GO:0004527"	A			0	0	27	0		CYT 		0	0.31	0.00		0	31	0.191	Endonuclease/exonuclease/phosphatase	 
YAFC_ECOLI	C6EA82_ECOBD		Common Core 	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	B	SEC		0	0	24	0		CYT 		0	0.14	0.00	23	0	39	0.146	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	 
DKGB_ECOLI	C6EA83_ECOBD		Common Core 	"GO:0050580; GO:0055114"	A			0	0	0	0		CYT 		0	0.02	0.00		0	50	0.034	2,5-diketo-D-gluconate reductase B (EC 1.1.1.274) (Aldo/keto reductase)	 
GMHB_ECOLI	C6EA84_ECOBD		Common Core 	"GO:0005975; GO:0000105; GO:0004401"	A			0	0	0	0		CYT 		0	0.00	0.00		0	61	0.040	D,D-heptose 1,7-bisphosphate phosphatase (Putative uncharacterized protein gmhB)	 
METN_ECOLI	C6EA85_ECOBD		Common Core 	"GO:0005524; GO:0048474; GO:0009276; GO:0015424; GO:0005886"	F1			0	0	0	0		CYT 		0	2.73	2.72		0	39	0.112	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	 
METQ_ECOLI	C6EA87_ECOBD		Common Core 		E	SEC	LOL	23	0.995	0	0	22	SpII 	19.672	0	1.02	0.96	23	0	9	0.210	DL-methionine transporter subunit (Lipoprotein, YaeC family)	 
YAEB_ECOLI	C6EA89_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.01	0.00		0	21	0.229	Putative uncharacterized protein (Putative uncharacterized protein yaeB)	 
SYP_ECOLI	C6EA90_ECOBD	Cytoplasm. 	Common Core 	"GO:0005524; GO:0005737; GO:0004827; GO:0006433"	A			0	0	19	0		CYT 		0	0.03	0.01		0	36	0.115	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	 
NLPE_ECOLI	C6EA92_ECOBD		Common Core 		I	SEC	LOL	26	0.969	36	0.502	20	SpII 	12.891	0	1.14	1.10	35	0	35	0.183	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	 
YAEJ_ECOLI	C6EA93_ECOBD		Common Core 	GO:0003747	A			0	0	0	0		CYT 		0	0.00	0.00		0	38	0.065	Class I peptide chain release factor (Putative uncharacterized protein yaeJ)	 
YAEQ_ECOLI	C6EA94_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	46	0.038	Putative uncharacterized protein yaeQ (YaeQ family protein)	 
ROF_ECOLI	C6EA96_ECOBD		Common Core 	"GO:0003723; GO:0006379; GO:0006364; GO:0000172; GO:0030677; GO:0004540; GO:0008033"	A			0	0	0	0		CYT 		0	0.00	0.00		0	40	0.020	Transcriptional antiterminator, Rof	 
DCLZ_ECOLI	C6EA99_ECOBD		Common Core 	"GO:0006520; GO:0005737; GO:0008923; GO:0030170"	A			0	0	15	0		CYT 		0	0.02	0.00		0	5	0.035	Lysine decarboxylase (EC 4.1.1.18) (Lysine decarboxylase 2, constitutive) (EC 4.1.1.18)	 
DPO3A_ECOLI	C6EAA1_ECOBD		Common Core 	"GO:0008408; GO:0003677; GO:0006260; GO:0003887; GO:0005737"	A			0	0	0	0		CYT 		0	0.13	0.11		0	40	0.202	DNA polymerase III subunit alpha (EC 2.7.7.7) (DNA polymerase III, alpha subunit)	 
RNH2_ECOLI	C6EAA2_ECOBD		Common Core 	"GO:0003723; GO:0004523"	A			0	0	0	0		CYT 		0	0.17	0.17		0	41	0.061	Ribonuclease (EC 3.1.26.-)	 
