Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EFP5	abgA ECBD_2279 ECD_01315	abgA		ECBD_2279 ECD_01315	C6EFP5_ECOBD		Predicted		Amidohydrolase (Predicted peptidase, aminobenzoyl-glutamate utilization protein) (EC 3.5.1.14)	"GO:0004046; GO:0005515"	"Complete proteome; Hydrolase"	436		ABGA_ECOLI	P77357		>P77357|ABGA_ECOLI Aminobenzoyl-glutamate utilization protein A OS=Escherichia coli (strain K12) GN=abgA PE=1 SV=2		A		Cytoplasmic	436			0	0	0	0		CYT 		0	0.80	0.00		0	12	0.113
C6EFP6	abgB ECBD_2280 ECD_01314	abgB		ECBD_2280 ECD_01314	C6EFP6_ECOBD		Predicted		Amidohydrolase (Predicted peptidase, aminobenzoyl-glutamate utilization protein) (EC 3.5.1.14)	"GO:0004046; GO:0005515"	"Complete proteome; Hydrolase"	481		ABGB_ECOLI	P76052		>P76052|ABGB_ECOLI Aminobenzoyl-glutamate utilization protein B OS=Escherichia coli (strain K12) GN=abgB PE=1 SV=1		A		Cytoplasmic	481			0	0	0	0		CYT 		0	0.04	0.00		0	67	0.030
C6EFP4	abgR ECBD_2278 ECD_01316	abgR		ECBD_2278 ECD_01316	C6EFP4_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	302		ABGR_ECOLI	P77744		>P77744|ABGR_ECOLI HTH-type transcriptional regulator abgR OS=Escherichia coli (strain K12) GN=abgR PE=1 SV=1	yes	A		Cytoplasmic	302			0	0	0	0		CYT 		0	0.10	0.00		0	37	0.207
C6EFP7	abgT ECBD_2281 ECD_01313	abgT		ECBD_2281 ECD_01313	C6EFP7_ECOBD		Predicted		AbgT transporter family (Predicted cryptic aminobenzoyl-glutamate transporter)		Complete proteome	508		ABGT_ECOLI	P46133		>P46133|ABGT_ECOLI Aminobenzoyl-glutamate transport protein OS=Escherichia coli (strain K12) GN=abgT PE=1 SV=3		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	508	SEC		0	0	38	0		TMH 	3.726	13	271.69	22.70		13	21	0.096
C6EJM3	abrB ECBD_2946 ECD_00675	abrB		ECBD_2946 ECD_00675	C6EJM3_ECOBD		Predicted		Membrane protein AbrB duplication (Predicted regulator)		Complete proteome	348		ABRB_ECOLI	P75747		>P75747|ABRB_ECOLI Protein abrB OS=Escherichia coli (strain K12) GN=abrB PE=3 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	348	SEC		0	0.573	17	0.468		TMH 	11.997	7	196.24	34.06		9	55	0.116
C6EAA0	accA ECBD_3434 ECD_00183	accA		ECBD_3434 ECD_00183	C6EAA0_ECOBD	Cytoplasm. 	Inferred from homology	AccA family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	"GO:0003989; GO:0009317; GO:0006633; GO:0016740"	"ATP-binding; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding; Transferase"	319		ACCA_ECOLI	P0ABD5		>P0ABD5|ACCA_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	319			0	0	0	0		CYT 		0	1.99	0.00		0	15	0.029
C6EGK4	accC ECBD_0489 ECD_03114	accC		ECBD_0489 ECD_03114	C6EGK4_ECOBD		Predicted		Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	"GO:0005524; GO:0009374; GO:0004075"	"Complete proteome; Ligase"	449		ACCC_ECOLI	P24182		>P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	yes	A		Cytoplasmic	449			0	0	0	0		CYT 		0	0.51	0.02		0	32	0.051
C6ELD7	accD ECBD_1343 ECD_02241	accD		ECBD_1343 ECD_02241	C6ELD7_ECOBD		Inferred from homology		Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	"GO:0003989; GO:0009317; GO:0006633; GO:0016740"	"Complete proteome; Ligase; Transferase"	304		ACCD_ECOLI	P0A9Q5	 translation	>P0A9Q5|ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	yes	A_trl	Cytoplasm. 	Cytoplasmic	304			0	0	0	0		CYT 		0	14.06	0.00		0	17	0.106
C6ELM9	mhpF ECBD_3306 ECD_00305	mhpF		ECBD_3306 ECD_00305	C6ELM9_ECOBD		Inferred from homology		Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase (Acetylating)) (EC 1.2.1.10)	"GO:0051287; GO:0008774; GO:0019439; GO:0006520; GO:0005737; GO:0055114"	"Aromatic hydrocarbons catabolism; Complete proteome; NAD; Oxidoreductase"	316		ACDH_ECOLI	P77580		>P77580|ACDH_ECOLI Acetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=mhpF PE=1 SV=1		A		Cytoplasmic	316			0	0	0	0		CYT 		0	0.09	0.05		0	7	0.078
C6EE08	aceA ECBD_4022 ECD_03887	aceA		ECBD_4022 ECD_03887	C6EE08_ECOBD		Predicted		Isocitrate lyase	"GO:0019752; GO:0004451"	"Complete proteome; Lyase"	434		ACEA_ECOLI	P0A9G6		>P0A9G6|ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	434			0	0	0	0		CYT 		0	0.49	0.00		0	12	0.152
C6EE07	aceK ECBD_4021 ECD_03888	aceK		ECBD_4021 ECD_03888	C6EE07_ECOBD	Cytoplasm. 	Inferred from homology	AceK family	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	"GO:0005524; GO:0008772; GO:0005737; GO:0006006; GO:0006097; GO:0016791; GO:0006099"	"ATP-binding; Complete proteome; Cytoplasm; Glyoxylate bypass; Hydrolase; Kinase; Nucleotide-binding; Protein phosphatase; Transferase; Tricarboxylic acid cycle"	578		ACEK_ECOLI	P11071		>P11071|ACEK_ECOLI Isocitrate dehydrogenase kinase/phosphatase OS=Escherichia coli (strain K12) GN=aceK PE=1 SV=2		A	Cytoplasm. 	Cytoplasmic	578			0	0	0	0		CYT 		0	0.06	0.00		0	38	0.050
C6EID7	ECBD_0765			ECBD_0765	C6EID7_ECOBD		Predicted		Lipoprotein AcfD-like protein		"Complete proteome; Lipoprotein; Signal"	1520		ACFD_ECOLI	Q46837		>Q46837|ACFD_ECOLI Putative lipoprotein acfD homolog OS=Escherichia coli (strain K12) GN=yghJ PE=4 SV=3		E	"Cell membrane; Lipid-anchor. "	Inner membrane lipoprotein	1520	SEC	LOL	0	1.000	23	0.794	23	SpII 	37.591	0	0.47	0.47	26	0	40	0.288
C6ELF7	ackA ECBD_1363 ECD_02221	ackA		ECBD_1363 ECD_02221	C6ELF7_ECOBD	Cytoplasm. 	Inferred from homology	Acetokinase family	Acetate kinase (EC 2.7.2.1) (Acetokinase)	"GO:0005524; GO:0005737; GO:0016301; GO:0006082; GO:0016774"	"ATP-binding; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Transferase"	400		ACKA_ECOLI	P0A6A3		>P0A6A3|ACKA_ECOLI Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	400			0	0	0	0		CYT 		0	0.06	0.05		0	19	0.039
C6EFV8	acnA ECBD_2343 ECD_01253	acnA		ECBD_2343 ECD_01253	C6EFV8_ECOBD		Predicted		Aconitate hydratase (EC 4.2.1.3) (Aconitate hydratase 1)	"GO:0051539; GO:0003994"	"Complete proteome; Lyase"	891		ACON1_ECOLI	P25516		>P25516|ACON1_ECOLI Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	yes	A		Cytoplasmic >EXP<	891			0	0	0	0		CYT 		0	0.09	0.02		0	7	0.097
C6EAT9	acnB ECBD_3501 ECD_00117	acnB		ECBD_3501 ECD_00117	C6EAT9_ECOBD		Inferred from homology	Aconitase/IPM isomerase family	Aconitate hydratase 2 (EC 4.2.1.3)	"GO:0047456; GO:0051539; GO:0003994; GO:0005515; GO:0006099"	"Complete proteome; Lyase; Tricarboxylic acid cycle"	865		ACON2_ECOLI	P36683		>P36683|ACON2_ECOLI Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	yes	A		Cytoplasmic >EXP<	865			0	0	0	0		CYT 		0	0.29	0.00		0	13	0.083
C6EHC0	acpP ECBD_2507 ECD_01090	acpP		ECBD_2507 ECD_01090	C6EHC0_ECOBD	Cytoplasm. 	Inferred from homology		Acyl carrier protein (ACP)	"GO:0000036; GO:0048037; GO:0005737; GO:0006633; GO:0031177"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Phosphopantetheine"	78		ACP_ECOLI	P0A6A8	location: peripheral inner membrane protein ref: http://www.ncbi.nlm.nih.gov/pubmed/1310877 http://www.ncbi.nlm.nih.gov/pubmed/2676605 http://www.ncbi.nlm.nih.gov/pubmed/2668033	>P0A6A8|ACP_ECOLI Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	yes	F1	Cytoplasm. 	Cytoplasmic >EXP<	78			0	0	0	0		CYT 		0	0.00	0.00		0	7	0.036
C6ELI0	yajB ECBD_3257 ECD_00352	yajB		ECBD_3257 ECD_00352	C6ELI0_ECOBD		Predicted		(Acyl-carrier-protein) phosphodiesterase (EC 3.1.4.14) (Putative glycoprotein)	"GO:0008770; GO:0006633"	"Complete proteome; Hydrolase"	193		ACPH_ECOLI	P21515		>P21515|ACPH_ECOLI Acyl carrier protein phosphodiesterase OS=Escherichia coli (strain K12) GN=acpH PE=3 SV=2		A		Cytoplasmic	193			0	0	0	0		CYT 		0	0.00	0.00	23	0	40	0.054
C6EK24	acpS ECBD_1118 ECD_02457	acpS		ECBD_1118 ECD_02457	C6EK24_ECOBD	Cytoplasm. 	Inferred from homology	P-Pant transferase superfamily, AcpS family	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	"GO:0005737; GO:0006633; GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Magnesium; Metal-binding; Transferase"	126		ACPS_ECOLI	P24224		>P24224|ACPS_ECOLI Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3		A	Cytoplasm. 	Cytoplasmic	126			0	0	0	0		CYT 		0	0.00	0.00		0	55	0.034
C6EF99	acpT ECBD_0266 ECD_03324	acpT		ECBD_0266 ECD_03324	C6EF99_ECOBD		Predicted		4'-phosphopantetheinyl transferase (Holo-(Acyl carrier protein) synthase 2) (EC 2.7.8.7)	"GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Transferase"	195		ACPT_ECOLI	P37623		>P37623|ACPT_ECOLI 4'-phosphopantetheinyl transferase acpT OS=Escherichia coli (strain K12) GN=acpT PE=3 SV=1	yes	A		Cytoplasmic	195			0	0	15	0.481		CYT 		0	0.00	0.00		0	38	0.101
C6EL01	acrA ECBD_3193 ECD_00414	acrA		ECBD_3193 ECD_00414	C6EL01_ECOBD		Predicted		Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	"GO:0016020; GO:0009306; GO:0008565"	"Complete proteome; Signal"	397		ACRA_ECOLI	P0AE06		>P0AE06|ACRA_ECOLI Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	yes	E	"Cell inner membrane; Lipid-anchor. "	Inner membrane lipoprotein >EXP<	397	SEC	LOL	25	0.996	22	0.693	24	SpII 	19.636	0	1.32	1.32	21	0	46	0.094
C6EL02	acrB ECBD_3194 ECD_00413	acrB		ECBD_3194 ECD_00413	C6EL02_ECOBD		Predicted		Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	"GO:0016021; GO:0005215"	Complete proteome	1049		ACRB_ECOLI	P31224		>P31224|ACRB_ECOLI Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	1049	SEC		0	0	21	0		TMH 	4.869	11	242.94	21.35		12	39	0.133
C6EKP2	acrD ECBD_1220 ECD_02361	acrD		ECBD_1220 ECD_02361	C6EKP2_ECOBD		Predicted		Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	"GO:0016021; GO:0005215"	"Complete proteome; Signal"	1037		ACRD_ECOLI	P24177		>P24177|ACRD_ECOLI Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	1037	SEC		35	0.771	21	0	34	SpI 	5.860	11	246.98	22.13	26	11	98	0.062
C6EGJ5	acrE ECBD_0480 ECD_03123	acrE		ECBD_0480 ECD_03123	C6EGJ5_ECOBD		Predicted		Cytoplasmic membrane lipoprotein (Efflux transporter, RND family, MFP subunit)	"GO:0016020; GO:0009306; GO:0008565"	"Complete proteome; Lipoprotein; Signal"	385		ACRE_ECOLI	P24180	confirmed from V.Koronakis i AcreE einai lipoprotein	>P24180|ACRE_ECOLI Acriflavine resistance protein E OS=Escherichia coli (strain K12) GN=acrE PE=3 SV=2	yes	E	"Cell inner membrane; Lipid-anchor. "	Inner membrane lipoprotein	385	SEC	LOL	23	0.912	23	0.562	23	SpII 	10.903	0	7.88	7.88	23	0	21	0.071
C6EGJ4	acrF ECBD_0479 ECD_03124	acrF		ECBD_0479 ECD_03124	C6EGJ4_ECOBD		Predicted		Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	"GO:0016021; GO:0005215"	"Complete proteome; Signal"	1034		ACRF_ECOLI	P24181		>P24181|ACRF_ECOLI Acriflavine resistance protein F OS=Escherichia coli (strain K12) GN=acrF PE=3 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	1034	SEC		27	0.993	27	0.714	26	SpI 	12.212	12	260.55	21.71	26	11	39	0.127
C6EL00	acrR ECBD_3192 ECD_00415	acrR		ECBD_3192 ECD_00415	C6EL00_ECOBD		Predicted		DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	215		ACRR_ECOLI	P0ACS9		>P0ACS9|ACRR_ECOLI HTH-type transcriptional regulator acrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	yes	B		Cytoplasmic	215	SEC		0	0	0	0		CYT 		0	0.77	0.01		0	40	0.206
C6ED56	acs ECBD_3963 ECD_03941	acs		ECBD_3963 ECD_03941	C6ED56_ECOBD		Inferred from homology		Acetate/CoA ligase (Acetyl-coenzyme A synthetase) (EC 6.2.1.1) (EC 6.2.1.17)	"GO:0016208; GO:0003987; GO:0050218"	"Complete proteome; Ligase"	652		ACSA_ECOLI	P27550		>P27550|ACSA_ECOLI Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	yes	A		Cytoplasmic	652			0	0	0	0		CYT 		0	0.90	0.00		0	13	0.039
C6ED58	actP ECBD_3965 ECD_03939	actP		ECBD_3965 ECD_03939	C6ED58_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Sodium:solute symporter (SSF) (TC 2.A.21) family	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	"GO:0015123; GO:0005887; GO:0006814; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Signal; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport"	549		ACTP_ECOLI	P32705		>P32705|ACTP_ECOLI Cation/acetate symporter actP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	549	SEC		19	1.000	19	0.910	18	SpI 	16.298	13	298.37	32.40	18	13	21	0.089
C6EI13	yccX ECBD_2626 ECD_00972	yccX		ECBD_2626 ECD_00972	C6EI13_ECOBD		Inferred from homology	Acylphosphatase family	Acylphosphatase (EC 3.6.1.7)	GO:0003998	"Complete proteome; Hydrolase"	92		ACYP_ECOLI	P0AB65		>P0AB65|ACYP_ECOLI Acylphosphatase OS=Escherichia coli (strain K12) GN=yccX PE=1 SV=1	yes	A		Cytoplasmic	92			0	0	0	0		CYT 		0	0.09	0.09	16	0	48	0.052
C6E9Y6	ada ECBD_1446 ECD_02140	ada		ECBD_1446 ECD_02140	C6E9Y6_ECOBD		Predicted		Fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Transcriptional regulator, AraC family) (EC 2.1.1.63)	"GO:0006281; GO:0005622; GO:0003908; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0008270"	"Complete proteome; DNA-binding; Methyltransferase; Transcription; Transcription regulation; Transferase"	354		ADA_ECOLI	P06134		>P06134|ADA_ECOLI Regulatory protein ada OS=Escherichia coli (strain K12) GN=ada PE=1 SV=2	yes	A		Cytoplasmic	354			0	0	0	0		CYT 		0	0.02	0.00		0	63	0.149
C6EDM4	add ECBD_2022 ECD_01592	add		ECBD_2022 ECD_01592	C6EDM4_ECOBD		Inferred from homology	Adenosine and AMP deaminases family	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	"GO:0004000; GO:0009168"	"Complete proteome; Hydrolase; Metal-binding; Nucleotide metabolism; Zinc"	333		ADD_ECOLI	P22333		>P22333|ADD_ECOLI Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	yes	A		Cytoplasmic	333			0	0	0	0		CYT 		0	0.00	0.00		0	39	0.021
C6EDA4	ade ECBD_0038 ECD_03549	ade		ECBD_0038 ECD_03549	C6EDA4_ECOBD		Inferred from homology	Adenine deaminase family	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	"GO:0006146; GO:0000034"	"Complete proteome; Hydrolase; Manganese"	588		ADEC_ECOLI	P31441		>P31441|ADEC_ECOLI Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2		B		Cytoplasmic	588	SEC		0	0	0	0		CYT 		0	0.05	0.00		0	17	0.041
C6EE86	yiaY ECBD_0141 ECD_03444	yiaY		ECBD_0141 ECD_03444	C6EE86_ECOBD		Predicted		Iron-containing alcohol dehydrogenase (Predicted Fe-containing alcohol dehydrogenase)	"GO:0046872; GO:0055114; GO:0016491"	Complete proteome	383		ADH2_ECOLI	P37686		>P37686|ADH2_ECOLI Probable alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=yiaY PE=3 SV=4	yes	A		Cytoplasmic	383			0	0	0	0		CYT 		0	0.54	0.04		0	54	0.051
