Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b0022	IS1 protein InsA	ECBD_0372	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_0099	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_2223	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3049	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1546	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3103	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3596	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_3740	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_1626	Insertion element protein	100.0	
b0022	IS1 protein InsA	ECBD_2482	Insertion element protein	100.0	
b3218	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b3092	uronate isomerase	ECBD_0648	Glucuronate isomerase	100.0	
b3562	orf, hypothetical protein	ECBD_0172	YiaAB two helix domain protein	100.0	
b1305	phage shock protein	ECBD_2312	phage shock protein B	100.0	
b2564	pyridoxine biosynthesis	ECBD_1117	pyridoxal phosphate biosynthetic protein PdxJ	100.0	
b1719	threonine tRNA synthetase	ECBD_1926	threonyl-tRNA synthetase	100.0	
b0499	orf, hypothetical protein	ECBD_3157	RHS protein	100.0	
b3290	transport of potassium	ECBD_0462	TrkA-N domain protein	100.0	
b1723	6-phosphofructokinase II; suppressor of pfkA	ECBD_1922	1-phosphofructokinase	100.0	
b2412	cell division protein involved in FtsZ ring	ECBD_1270	cell division protein ZipA	100.0	
b2980	transcriptional activator for glc operon	ECBD_0758	GntR domain protein	100.0	
b0605	alkyl hydroperoxide reductase, C22 subunit; detoxification of hydroperoxides	ECBD_3047	peroxiredoxin	100.0	
b0295	orf, hypothetical protein	ECBD_3362	hypothetical protein	100.0	
b1319	outer membrane protein	ECBD_2298	lipoprotein, putative	100.0	
b2904	in glycine cleavage complex, carrier of aminomethyl moiety via covalently bound lipoyl cofactor	ECBD_0833	glycine cleavage system H protein	100.0	
b3334	putative general secretion	ECBD_0417	General secretion pathway M protein	100.0	
b2809	orf, hypothetical protein	ECBD_0913	protein of unknown function DUF903	100.0	
b4124	putative 2-component transcriptional regulator	ECBD_3907	response regulator receiver	100.0	
b1225	nitrate reductase 1, beta subunit	ECBD_2393	nitrate reductase, beta subunit	100.0	
b0348	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	ECBD_3309	Extradiol ring-cleavage dioxygenase class III protein subunit B	100.0	
b1932	orf, hypothetical protein	ECBD_1710	GCN5-related N-acetyltransferase	100.0	
b1248	orf, hypothetical protein	ECBD_2374	protein of unknown function DUF440	100.0	
b3518	putative cytochrome C peroxidase (EC 1.11.1)	ECBD_0221	Cytochrome-c peroxidase	100.0	
b3941	5,10-methylenetetrahydrofolate reductase	ECBD_4082	5,10-methylenetetrahydrofolate reductase	100.0	
b2879	putative proteoglycan	ECBD_0858	selenium metabolism protein SsnA	100.0	
b0939	putative chaperone	ECBD_2656	Pili assembly chaperone, N-terminal	100.0	
b3105	putative transcriptional regulator LYSR-type	ECBD_0633	transcriptional regulator, LysR family	100.0	
b2919	putative enzyme	ECBD_0819	Enoyl-CoA hydratase/isomerase	100.0	
b0684	flavodoxin 1	ECBD_2977	flavodoxin	100.0	
b4155	putative lysyl-tRNA synthetase	ECBD_3874	lysyl-tRNA synthetase-related protein GenX	100.0	
b1760	orf, hypothetical protein	ECBD_1884	protein of unknown function DUF1496	100.0	
b0340	cyanate aminohydrolase, cyanase	ECBD_3317	cyanate lyase	100.0	
b0214	RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication	ECBD_3410	Ribonuclease H	100.0	
b4094	ATP-binding component of phosphonate transport	ECBD_3936	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	100.0	
b0740	periplasmic protein involved in the tonb-independent uptake of group A colicins	ECBD_2920	Tol-Pal system beta propeller repeat protein TolB	100.0	
b0306	putative dehydrogenase subunit	ECBD_3351	protein of unknown function DUF224 cysteine-rich region domain protein	100.0	
b0812	global regulator, starvation conditions	ECBD_2811	Ferritin Dps family protein	100.0	
b0750	quinolinate synthetase, A protein	ECBD_2917	quinolinate synthetase complex, A subunit	100.0	
b0990	homolog of Salmonella cold shock protein	ECBD_2605	cold-shock DNA-binding domain protein	100.0	
b1164	orf, hypothetical protein	ECBD_2458	hypothetical protein	100.0	
b4153	fumarate reductase, anaerobic, iron-sulfur protein subunit	ECBD_3876	succinate dehydrogenase and fumarate reductase iron-sulfur protein	100.0	
b2998	orf, hypothetical protein	ECBD_0739	conserved hypothetical protein	100.0	
b0935	orf, hypothetical protein	ECBD_2660	Alkanesulfonate monooxygenase	100.0	
b1215	2-dehydro-3-deoxyphosphooctulonate aldolase	ECBD_2406	2-dehydro-3-deoxyphosphooctonate aldolase	100.0	
b1277	GTP cyclohydrolase II	ECBD_2342	GTP cyclohydrolase II	100.0	
b0661	orf, hypothetical protein	ECBD_2990	tRNA-i(6)A37 thiotransferase enzyme MiaB	100.0	
b2981	orf, hypothetical protein	ECBD_0757	hypothetical protein	100.0	
b0160	deoxyguanosine triphosphate triphosphohydrolase	ECBD_3458	deoxyguanosinetriphosphate triphosphohydrolase	100.0	
b3113	orf, hypothetical protein	ECBD_0627	endoribonuclease L-PSP	100.0	
b1612	fumarase A = fumarate hydratase Class I; aerobic isozyme	ECBD_2034	hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit	100.0	
b1967	orf, hypothetical protein	ECBD_1680	ThiJ/PfpI domain protein	100.0	
b2717	protease involved in processing C-terminal end of the large subunit of hydrogenase 3	ECBD_1008	hydrogenase maturation protease HycI	100.0	
b1217	cation transport regulator	ECBD_2402	ChaB family protein	100.0	
b3505	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b1948	flagellar biosynthesis	ECBD_1697	flagellar biosynthetic protein FliP	100.0	
b1625	orf, hypothetical protein	ECBD_2019	Hemolysin expression modulating family protein	100.0	
b2518	nucleoside diphosphate kinase	ECBD_1168	Nucleoside-diphosphate kinase	100.0	
b3390	shikimate kinase I	ECBD_0357	Shikimate kinase	100.0	
b3555	orf, hypothetical protein	ECBD_0181	transcriptional regulator, XRE family	100.0	
b3508	putative transport ATPase	ECBD_0233	MgtC/SapB transporter	100.0	
b3367	nitrite reductase activity	ECBD_0381	formate/nitrite transporter	100.0	
b1914	putative 2-component transcriptional regulator	ECBD_1729	two component transcriptional regulator, LuxR family	100.0	
b3374	putative kinase	ECBD_0375	PfkB domain protein	100.0	
b1161	orf, hypothetical protein	ECBD_2461	protein of unknown function DUF1398	100.0	
b3859	orf, hypothetical protein	ECBD_4171	aminoglycoside phosphotransferase	100.0	
b1618	repressor for uid operon	ECBD_2027	transcriptional regulator, TetR family	100.0	
b2992	member of hyb operon	ECBD_0746	hydrogenase-2 operon protein HybE	100.0	
b1160	orf, hypothetical protein	ECBD_2462	conserved hypothetical protein	100.0	
b3494	orf, hypothetical protein	ECBD_0247	universal stress protein UspB	100.0	
b0371	orf, hypothetical protein	ECBD_3291	outer membrane autotransporter barrel domain protein	100.0	
b3887	orf, hypothetical protein	ECBD_4140	D-tyrosyl-tRNA(Tyr) deacylase	100.0	
b0720	citrate synthase	ECBD_2941	citrate synthase I	100.0	
b1925	flagellar biosynthesis; repressor of class 3a and 3b operons (RflA activity)	ECBD_1717	flagellar protein FliS	100.0	
b3118	transcriptional activator of tdc operon	ECBD_0622	transcriptional regulator, LysR family	100.0	
b2808	positive regulator of gcv operon	ECBD_0914	transcriptional regulator, LysR family	100.0	
b0342	thiogalactoside acetyltransferase	ECBD_3315	transferase hexapeptide repeat containing protein	100.0	
b3328	putative general protein secretion protein	ECBD_0423	general secretion pathway protein G	100.0	
b2925	fructose-bisphosphate aldolase, class II	ECBD_0813	fructose-bisphosphate aldolase, class II	100.0	
b0897	orf, hypothetical protein	ECBD_2698	isochorismatase hydrolase	100.0	
b2054	putative transferase	ECBD_1601	transferase hexapeptide repeat containing protein	100.0	
b0339	carbonic anhydrase	ECBD_3318	Carbonate dehydratase	100.0	
b4025	glucosephosphate isomerase	ECBD_4012	Glucose-6-phosphate isomerase	100.0	
b0300	putative ARAC-type regulatory protein	ECBD_3357	transcriptional regulator, AraC family	100.0	
b3569	putative regulator of xyl operon	ECBD_0165	transcriptional regulator, AraC family	100.0	
b3414	orf, hypothetical protein	ECBD_0331	IscR-regulated protein YhgI	100.0	
b2371	putative enzyme	ECBD_1301	L-carnitine dehydratase/bile acid-inducible protein F	100.0	
b1831	orf, hypothetical protein	ECBD_1809	ProQ activator of osmoprotectant transporter ProP	100.0	
b0830	putative transport protein	ECBD_2793	extracellular solute-binding protein family 5	100.0	
b3715	putative phosphatase	ECBD_4317	HAD-superfamily hydrolase, subfamily IA, variant 3	100.0	
b0094	ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes	ECBD_3523	cell division protein FtsA	100.0	
b3180	orf, hypothetical protein	ECBD_0562	protein of unknown function UPF0044	100.0	
b2426	putative oxidoreductase	ECBD_1255	short-chain dehydrogenase/reductase SDR	100.0	
b3126	orf, hypothetical protein	ECBD_0616	2-dehydro-3-deoxyglucarate aldolase	100.0	
b0929	outer membrane protein 1a (Ia;b;F)	ECBD_2666	porin Gram-negative type	100.0	
b4264	L-idonate transcriptional regulator	ECBD_3772	transcriptional regulator, LacI family	100.0	
b3665	probable adenine deaminase (synthesis xanthine)	ECBD_0038	adenine deaminase	100.0	
b1868	orf, hypothetical protein	ECBD_1770	protein of unknown function DUF72	100.0	
b0299	IS3 putative transposase	ECBD_0874	Integrase catalytic region	100.0	
b0299	IS3 putative transposase	ECBD_2088	Integrase catalytic region	100.0	
b0299	IS3 putative transposase	ECBD_2235	Integrase catalytic region	100.0	
b0299	IS3 putative transposase	ECBD_2568	Integrase catalytic region	100.0	
b2618	orf, hypothetical protein	ECBD_1069	protein of unknown function UPF0125	100.0	
b2284	NADH dehydrogenase I chain F	ECBD_1377	NADH-quinone oxidoreductase, F subunit	100.0	
b0964	orf, hypothetical protein	ECBD_2630	conserved hypothetical protein	100.0	
b0973	hydrogenase-1 large subunit	ECBD_2622	nickel-dependent hydrogenase large subunit	100.0	
b1548	homolog of Qin prophage packaging protein NU1	ECBD_3096	DNA packaging Nu1	100.0	
b0819	orf, hypothetical protein	ECBD_2804	ErfK/YbiS/YcfS/YnhG family protein	100.0	
b3817	orf, hypothetical protein	ECBD_4220	conserved hypothetical protein	100.0	
b4112	sensor protein for basR	ECBD_3919	histidine kinase	100.0	
b0399	positive response regulator for pho regulon, sensor is PhoR (or CreC)	ECBD_3262	two component transcriptional regulator PhoB, winged helix family	100.0	
b2811	orf, hypothetical protein	ECBD_0911	cysteine desulfurase, sulfur acceptor subunit CsdE	100.0	
b4180	orf, hypothetical protein	ECBD_3854	RNA methyltransferase, TrmH family, group 3	100.0	
b3919	triosephosphate isomerase	ECBD_4105	triosephosphate isomerase	100.0	
b3686	heat shock protein	ECBD_0017	heat shock protein Hsp20	100.0	
b3005	uptake of enterochelin; tonB-dependent uptake of B colicins	ECBD_0734	TonB system transport protein ExbD	100.0	
b3889	orf, hypothetical protein	ECBD_4137	transcriptional regulator, CopG family	100.0	
b0390	protein of aro operon, regulated by aroR	ECBD_3274	AroM family protein	100.0	
b4311	orf, hypothetical protein	ECBD_3726	Oligogalacturonate-specific porin	100.0	
b2844	putative acyltransferase	ECBD_0878	acetyl-CoA acetyltransferase	100.0	
b0101	orf, hypothetical protein	ECBD_3517	protein of unknown function DUF329	100.0	
b1677	murein lipoprotein	ECBD_1968	LPP repeat-containing protein	100.0	
b2602	orf, hypothetical protein	ECBD_1084	lipoprotein, putative	100.0	
b4100	phosphonate metabolism	ECBD_3930	phosphonate C-P lyase system protein PhnH	100.0	
b4376	hyperosmotically inducible periplasmic protein	ECBD_3645	transport-associated	100.0	
b1011	putative synthetase	ECBD_2583	isochorismatase hydrolase	100.0	
b1842	DNA polymerase III, theta subunit	ECBD_1798	DNA-directed DNA polymerase	100.0	
b2472	N-succinyl-diaminopimelate deacylase	ECBD_1218	succinyl-diaminopimelate desuccinylase	100.0	
b3730	N-acetyl glucosamine-1-phosphate uridyltransferase	ECBD_4302	UDP-N-acetylglucosamine pyrophosphorylase	100.0	
b1683	orf, hypothetical protein	ECBD_1962	SufBD protein	100.0	
b2615	orf, hypothetical protein	ECBD_1072	ATP-NAD/AcoX kinase	100.0	
b2834	orf, hypothetical protein	ECBD_0890	aldo/keto reductase	100.0	
b0413	orf, hypothetical protein	ECBD_3248	ATP-cone domain protein	100.0	
b3513	putative membrane protein	ECBD_0227	efflux transporter, RND family, MFP subunit	100.0	
b3286	orf, fragment 1	ECBD_0466	DNA protecting protein DprA	100.0	
b1593	orf, hypothetical protein	ECBD_2053	dethiobiotin synthase	100.0	
b3503	arsenate reductase	ECBD_0237	arsenate reductase	100.0	
b2674	orf, hypothetical protein	ECBD_1045	NrdI protein	100.0	
b2236	orf, hypothetical protein	ECBD_1424	ferredoxin	100.0	
b1242	putative channel protein	ECBD_2382	multiple antibiotic resistance (MarC)-related protein	100.0	
b3692	2-oxo-3-deoxygalactonate 6-phosphate aldolase and galactonate dehydratase	ECBD_0011	Mandelate racemase/muconate lactonizing protein	100.0	
b3540	putative ATP-binding component of dipeptide transport system	ECBD_0196	oligopeptide/dipeptide ABC transporter, ATPase subunit	100.0	
b0467	primosomal replication protein N	ECBD_3189	Primosomal replication priB and priC	100.0	
b0803	orf, hypothetical protein	ECBD_2820	transcriptional regulator, TraR/DksA family	100.0	
b0618	citrate lyase synthetase (citrate (pro-3S)-lyase ligase	ECBD_3034	citrate lyase ligase	100.0	
b1963	orf, hypothetical protein	ECBD_1683	conserved hypothetical protein	100.0	
b0637	orf, hypothetical protein	ECBD_3014	Iojap-related protein	100.0	
b4366	2-component transcriptional regulator	ECBD_3653	transcriptional regulator, LuxR family	100.0	
b3083	orf, hypothetical protein	ECBD_0659	conserved hypothetical protein	100.0	
b2478	dihydrodipicolinate synthase	ECBD_1211	dihydrodipicolinate synthase	100.0	
b1739	activator of ntrL gene	ECBD_1906	SmpA/OmlA domain protein	100.0	
b2235	ribonucleoside-diphosphate reductase 1, beta subunit, B2	ECBD_1425	ribonucleotide reductase	100.0	
b0430	cytochrome o ubiquinol oxidase subunit III	ECBD_3228	cytochrome o ubiquinol oxidase, subunit III	100.0	
b2731	formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons	ECBD_0994	transcriptional regulator, NifA subfamily, Fis Family	100.0	
b2926	phosphoglycerate kinase	ECBD_0812	Phosphoglycerate kinase	100.0	
b0058	orf, hypothetical protein	ECBD_3559	pseudouridine synthase	100.0	
b3999	orf, hypothetical protein	ECBD_4033	protein of unknown function DUF416	100.0	
b1836	orf, hypothetical protein	ECBD_1804	protein of unknown function DUF1480	100.0	
b0078	acetolactate synthase III, valine sensitive, small subunit	ECBD_3538	acetolactate synthase, small subunit	100.0	
b3607	serine acetyltransferase	ECBD_0118	serine O-acetyltransferase	100.0	
b0168	methionine aminopeptidase	ECBD_3451	methionine aminopeptidase, type I	100.0	
b3637	50S ribosomal subunit protein L28	ECBD_0089	ribosomal protein L28	100.0	
b2255	putative transformylase	ECBD_1404	NAD-dependent epimerase/dehydratase	100.0	
b0327	orf, hypothetical protein	ECBD_3330	conserved hypothetical protein	100.0	
b4313	recombinase involved in phase variation; regulator for fimA	ECBD_3722	integrase family protein	100.0	
b1661	cyclopropane fatty acyl phospholipid synthase	ECBD_1982	Cyclopropane-fatty-acyl-phospholipid synthase	100.0	
b1945	flagellar biosynthesis, component of motor switch and energizing, enabling rotation and determining its direction	ECBD_1700	flagellar motor switch protein FliM	100.0	
b0628	lipoate synthesis, sulfur insertion?	ECBD_3023	lipoic acid synthetase	100.0	
b4245	aspartate carbamoyltransferase, catalytic subunit	ECBD_3788	aspartate carbamoyltransferase	100.0	
b1271	putative oxidoreductase	ECBD_2351	short-chain dehydrogenase/reductase SDR	100.0	
b2466	orf, hypothetical protein	ECBD_1224	protein of unknown function DUF1176	100.0	
b3536	putative protease	ECBD_0203	cellulose biosynthesis protein BcsE	100.0	
b3042	orf, hypothetical protein	ECBD_0697	protein of unknown function DUF526	100.0	
b1037	curli production assembly/transport component, 2nd curli operon	ECBD_2562	Curli production assembly/transport component CsgG	100.0	
b1436	orf, hypothetical protein	ECBD_2203	conserved hypothetical protein	100.0	
b2958	orf, hypothetical protein	ECBD_0782	conserved hypothetical protein	100.0	
b3782	rho operon leader peptide	ECBD_4258	putative Rho operon leader peptide	100.0	
b0966	orf, hypothetical protein	ECBD_2628	hemimethylated DNA binding protein	100.0	
b0545	orf, hypothetical protein	ECBD_3113	PEBP family protein	100.0	
b4102	putative transcriptional regulator	ECBD_3928	phophonate C-P lyase system transcriptional regulator PhnF, GntR family	100.0	
b4046	putative regulator	ECBD_3987	ferric uptake regulator, Fur family	100.0	
b1767	cytoplasmic L-asparaginase I	ECBD_1877	L-asparaginase, type I	100.0	
b4191	putative DEOR-type transcriptional regulator	ECBD_3843	transcriptional regulator, DeoR family	100.0	
b3305	50S ribosomal subunit protein L6	ECBD_0446	ribosomal protein L6	100.0	
b1132	orf, hypothetical protein	ECBD_2467	protein of unknown function DUF489	100.0	
b3740	glucose-inhibited division; chromosome replication?	ECBD_4292	methyltransferase GidB	100.0	
b1192	orf, hypothetical protein	ECBD_2430	Muramoyltetrapeptide carboxypeptidase	100.0	
b1646	superoxide dismutase precursor (Cu-Zn)	ECBD_1997	superoxide dismutase copper/zinc binding	100.0	
b2914	ribosephosphate isomerase, constitutive	ECBD_0824	ribose 5-phosphate isomerase	100.0	
b2487	hydrogenase 4 subunit	ECBD_1201	NADH dehydrogenase (ubiquinone) 30 kDa subunit	100.0	
b3190	orf, hypothetical protein	ECBD_0552	BolA family protein	100.0	
b3501	transcriptional repressor of chromosomal ars operon	ECBD_0239	transcriptional regulator, ArsR family	100.0	
b0683	negative regulator	ECBD_2978	ferric uptake regulator, Fur family	100.0	
b2932	orf, hypothetical protein	ECBD_0807	Alcohol dehydrogenase zinc-binding domain protein	100.0	
b3762	orf, hypothetical protein	ECBD_4274	transcriptional regulator, LysR family	100.0	
b0581	orf, hypothetical protein	ECBD_3081	glutamate--cysteine ligase GCS2	100.0	
b4181	orf, hypothetical protein	ECBD_3853	conserved hypothetical protein	100.0	
b0711	putative carboxylase	ECBD_2950	Allophanate hydrolase subunit 1	100.0	
b2525	[2FE-2S] ferredoxin, electron carrer protein	ECBD_1159	ferredoxin, 2Fe-2S type, ISC system	100.0	
b0956	putative dehydrogenase	ECBD_2639	protein of unknown function DUF1047	100.0	
b3820	orf, hypothetical protein	ECBD_4218	thioesterase superfamily protein	100.0	
b1759	orf, hypothetical protein	ECBD_1885	NUDIX hydrolase	100.0	
b4057	orf, hypothetical protein	ECBD_3975	protein of unknown function DUF419	100.0	
b4318	fimbrial morphology	ECBD_3717	Fimbrial protein	100.0	
b2272	orf, hypothetical protein	ECBD_1388	Domain of unknown function DUF1877	100.0	
b3251	regulator of ftsI, penicillin binding protein 3, septation function	ECBD_0496	cell shape determining protein, MreB/Mrl family	100.0	
b0305	putative ARAC-type regulatory protein	ECBD_3353	transcriptional regulator, AraC family	100.0	
b2819	DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease	ECBD_0906	exodeoxyribonuclease V, alpha subunit	100.0	
b1296	putative amino acid/amine transport protein	ECBD_2321	amino acid permease-associated region	100.0	
b2676	ribonucleoside-diphosphate reductase 2, beta chain, frag	ECBD_1043	Ribonucleoside-diphosphate reductase	100.0	
b1541	orf, hypothetical protein	ECBD_2098	selenium-binding protein YdfZ	100.0	
b2888	putative permease	ECBD_0850	xanthine permease	100.0	
b0544	orf, hypothetical protein	ECBD_3114	Recombinase	100.0	
b0801	putative dehydrogenase	ECBD_2822	Malate/L-lactate dehydrogenase	100.0	
b0614	orf, hypothetical protein	ECBD_3038	holo-ACP synthase CitX	100.0	
b0687	negative modulator of initiation of replication	ECBD_2974	SeqA family protein	100.0	
b0372	IS3 putative transposase	ECBD_0874	Integrase catalytic region	100.0	
b0372	IS3 putative transposase	ECBD_2088	Integrase catalytic region	100.0	
b0372	IS3 putative transposase	ECBD_2235	Integrase catalytic region	100.0	
b0372	IS3 putative transposase	ECBD_2568	Integrase catalytic region	100.0	
b3261	site-specific DNA inversion stimulation factor; DNA-binding protein; a trans activator for transcription	ECBD_0484	transcriptional regulator, Fis family	100.0	
b0190	orf, hypothetical protein	ECBD_3428	YaeQ family protein	100.0	
b4013	homoserine transsuccinylase	ECBD_4024	homoserine O-succinyltransferase	100.0	
b4144	orf, hypothetical protein	ECBD_3887	lipoprotein, putative	100.0	
b4050	orf, hypothetical protein	ECBD_3983	phage shock protein G	100.0	
b1772	putative kinase	ECBD_1872	PfkB domain protein	100.0	
b0458	orf, hypothetical protein	ECBD_3198	conserved hypothetical protein	100.0	
b3771	dihydroxyacid dehydratase	ECBD_4268	dihydroxy-acid dehydratase	100.0	
b3432	1,4-alpha-glucan branching enzyme	ECBD_0310	1,4-alpha-glucan branching enzyme	100.0	
b1097	putative thymidylate kinase (EC 2.7.4.9)	ECBD_2504	aminodeoxychorismate lyase	100.0	
b1735	negative transcriptional regulator of cel operon	ECBD_1910	transcriptional regulator, AraC family	100.0	
b4286	orf, hypothetical protein	ECBD_3752	hypothetical protein	100.0	
b2806	orf, hypothetical protein	ECBD_0916	SAM-dependent methyltransferase-like protein	100.0	
b2619	orf, hypothetical protein	ECBD_1068	cyclase/dehydrase	100.0	
b3292	putative transcriptional regulator	ECBD_0459	transcriptional regulator, MerR family	100.0	
