Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EID0	glcC ECBD_0758 ECD_02849	glcC		ECBD_0758 ECD_02849	C6EID0_ECOBD		Predicted		DNA-binding transcriptional dual regulator, glycolate-binding (GntR domain protein)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	254
C6EE55	yijO ECBD_4070 ECD_03839	yijO		ECBD_4070 ECD_03839	C6EE55_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	283
C6EDX5	yjbJ ECBD_3988 ECD_03917	yjbJ		ECBD_3988 ECD_03917	C6EDX5_ECOBD		Predicted		CsbD family protein (Predicted stress response protein)		Complete proteome	69
C6EF93	nikR ECBD_0260 ECD_03330	nikR		ECBD_0260 ECD_03330	C6EF93_ECOBD		Inferred from homology	Transcriptional regulatory CopG/NikR family	Nickel-responsive regulator	"GO:0003677; GO:0046872; GO:0006355; GO:0006350"	"Complete proteome; DNA-binding; Metal-binding; Nickel; Repressor; Transcription; Transcription regulation"	133
C6EGY4	ycfP ECBD_2493 ECD_01104	ycfP		ECBD_2493 ECD_01104	C6EGY4_ECOBD		Inferred from homology	UPF0227 family	UPF0227 protein ycfP		Complete proteome	180
C6EIP4	ygeQ ECBD_0873 ECD_02697	ygeQ		ECBD_0873 ECD_02697	C6EIP4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ygeQ)	GO:0003824	"Complete proteome; Signal"	183
C6EH20	yrbL ECBD_0535 ECD_03072	yrbL		ECBD_0535 ECD_03072	C6EH20_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yrbL)		Complete proteome	210
C6EI34	ycbY rlmL ECBD_2647 ECD_00952	ycbY	rlmL	ECBD_2647 ECD_00952	C6EI34_ECOBD	Cytoplasm. 	Inferred from homology	Methyltransferase superfamily, RlmL family	Ribosomal RNA large subunit methyltransferase L (EC 2.1.1.52) (23S rRNA m2G2445 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase rlmL)	"GO:0005737; GO:0003676; GO:0008990"	"Complete proteome; Cytoplasm; Methyltransferase; RNA-binding; S-adenosyl-L-methionine; Transferase; rRNA processing"	702
C6EL74	yfeC ECBD_1278 ECD_02304	yfeC		ECBD_1278 ECD_02304	C6EL74_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	"GO:0003677; GO:0000166"	"Complete proteome; DNA-binding"	114
C6EEG5	yhjA ECBD_0221 ECD_03366	yhjA		ECBD_0221 ECD_03366	C6EEG5_ECOBD		Predicted		Cytochrome-c peroxidase (EC 1.11.1.5) (Predicted cytochrome C peroxidase) (EC 1.11.1.-)	"GO:0004130; GO:0009055; GO:0020037; GO:0055114"	"Complete proteome; Oxidoreductase; Peroxidase"	465
C6EAY0	leuA ECBD_3542 ECD_00076	leuA		ECBD_3542 ECD_00076	C6EAY0_ECOBD		Inferred from homology	"Alpha-IPM synthase/homocitrate synthase family, LeuA type 1 subfamily; Alpha-IPM synthetase/homocitrate synthase family"	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	"GO:0003852; GO:0008415; GO:0009098"	"Acyltransferase; Amino-acid biosynthesis; Branched-chain amino acid biosynthesis; Complete proteome; Leucine biosynthesis; Transferase"	523
C6EA67	fadE ECBD_3401 ECD_00216	fadE		ECBD_3401 ECD_00216	C6EA67_ECOBD		Predicted		Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	"GO:0050660; GO:0003995; GO:0033539; GO:0055114"	"Complete proteome; Oxidoreductase; Signal"	814
C6EIQ8	ybjL ECBD_2747 ECD_00852	ybjL		ECBD_2747 ECD_00852	C6EIQ8_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	AAE transporter (TC 2.A.81) family, YbjL subfamily	Putative transport protein ybjL	"GO:0008324; GO:0016021; GO:0005886; GO:0006813"	"Cell membrane; Complete proteome; Membrane; Repeat; Transmembrane; Transmembrane helix; Transport"	561
C6E9Y6	ada ECBD_1446 ECD_02140	ada		ECBD_1446 ECD_02140	C6E9Y6_ECOBD		Predicted		Fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Transcriptional regulator, AraC family) (EC 2.1.1.63)	"GO:0006281; GO:0005622; GO:0003908; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0008270"	"Complete proteome; DNA-binding; Methyltransferase; Transcription; Transcription regulation; Transferase"	354
C6EEB1	xylH ECBD_0166 ECD_03420	xylH		ECBD_0166 ECD_03420	C6EEB1_ECOBD		Predicted		D-xylose transporter subunit (Inner-membrane translocator)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	393
C6EGQ8	ispE ECBD_2413 ECD_01183	ispE		ECBD_2413 ECD_01183	C6EGQ8_ECOBD		Inferred from homology	GHMP kinase family, IspE subfamily	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	"GO:0050515; GO:0005524; GO:0016114"	"ATP-binding; Complete proteome; Isoprene biosynthesis; Kinase; Nucleotide-binding; Transferase"	283
C6EEC5	yiaG ECBD_0181 ECD_03405	yiaG		ECBD_0181 ECD_03405	C6EEC5_ECOBD		Predicted		Predicted transcriptional regulator (Transcriptional regulator, XRE family)	GO:0043565	Complete proteome	96
C6EH03	sspA ECBD_0518 ECD_03089	sspA		ECBD_0518 ECD_03089	C6EH03_ECOBD		Predicted	GST superfamily	Glutathione S-transferase domain protein (Stringent starvation protein A)	GO:0016740	"Complete proteome; Transferase"	212
C6EJQ8	nagA ECBD_2985 ECD_00634	nagA		ECBD_2985 ECD_00634	C6EJQ8_ECOBD		Predicted		N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	"GO:0006044; GO:0008448"	"Complete proteome; Hydrolase"	382
C6ECQ1	ydiE ECBD_1940 ECD_01674	ydiE		ECBD_1940 ECD_01674	C6ECQ1_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ydiE)		Complete proteome	63
C6EFT2	aldH ECBD_2317 ECD_01277	aldH		ECBD_2317 ECD_01277	C6EFT2_ECOBD		Inferred from homology	Aldehyde dehydrogenase family	Aldehyde Dehydrogenase (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent)	"GO:0055114; GO:0016491"	"Complete proteome; Oxidoreductase"	495
C6EB73	dacD ECBD_1647 ECD_01913	dacD		ECBD_1647 ECD_01913	C6EB73_ECOBD		Inferred from homology	Peptidase S11 family	D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6b) (EC 3.4.16.4) (Serine-type D-Ala-D-Ala carboxypeptidase) (EC 3.4.16.4)	"GO:0006508; GO:0009002"	"Carboxypeptidase; Complete proteome; Hydrolase; Protease; Signal"	388
C6EHJ3	putA ECBD_2580 ECD_01017	putA		ECBD_2580 ECD_01017	C6EHJ3_ECOBD		Inferred from homology	Aldehyde dehydrogenase family	Delta-1-pyrroline-5-carboxylate dehydrogenase (Fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase) (EC 1.5.1.12) (EC 1.5.99.8)	"GO:0003842; GO:0003677; GO:0006537; GO:0055114; GO:0006561; GO:0006562; GO:0004657"	"Complete proteome; DNA-binding; Oxidoreductase"	1320
C6EFT0	goaG ECBD_2315 ECD_01279	goaG		ECBD_2315 ECD_01279	C6EFT0_ECOBD		Inferred from homology	Class-III pyridoxal-phosphate-dependent aminotransferase family	4-aminobutyrate aminotransferase (GABA aminotransferase, PLP-dependent)	"GO:0003867; GO:0009448; GO:0030170"	"Aminotransferase; Complete proteome; Pyridoxal phosphate; Transferase"	421
C6EDR7	rspA ECBD_2065 ECD_01550	rspA		ECBD_2065 ECD_01550	C6EDR7_ECOBD		Predicted		Mandelate racemase/muconate lactonizing protein (Predicted dehydratase)	"GO:0003824; GO:0009063"	Complete proteome	404
C6EKX7	cueR ECBD_3169 ECD_00438	cueR		ECBD_3169 ECD_00438	C6EKX7_ECOBD		Predicted		DNA-binding transcriptional activator of copper-responsive regulon genes (Transcriptional regulator, MerR family)	"GO:0003677; GO:0005507; GO:0000166; GO:0006355; GO:0003700; GO:0016563"	"Complete proteome; DNA-binding"	135
C6EFX5	trpB ECBD_2361 ECD_01235	trpB		ECBD_2361 ECD_01235	C6EFX5_ECOBD		Inferred from homology	TrpB family	Tryptophan synthase beta chain (EC 4.2.1.20)	"GO:0030170; GO:0004834"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Lyase; Pyridoxal phosphate; Tryptophan biosynthesis"	397
C6EFJ4	yhfY ECBD_0365 ECD_03234	yhfY		ECBD_0365 ECD_03234	C6EFJ4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yhfY)	GO:0006355	Complete proteome	120
C6EBW1	aspS ECBD_1772 ECD_01837	aspS		ECBD_1772 ECD_01837	C6EBW1_ECOBD	Cytoplasm. 	Inferred from homology	Class-II aminoacyl-tRNA synthetase family	Aspartyl-tRNA synthetase (EC 6.1.1.12) (Aspartate--tRNA ligase)	"GO:0005524; GO:0004815; GO:0006422; GO:0005737; GO:0003676"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis"	590
C6EA06	ccmH ECBD_1466 ECD_02121	ccmH		ECBD_1466 ECD_02121	C6EA06_ECOBD		Predicted		Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	"GO:0005488; GO:0016829"	"Complete proteome; Lyase; Signal"	350
C6EJI9	gpmA ECBD_2912 ECD_00708	gpmA		ECBD_2912 ECD_00708	C6EJI9_ECOBD		Inferred from homology	Phosphoglycerate mutase family, BPG-dependent PGAM subfamily	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	"GO:0046538; GO:0006096"	"Acetylation; Complete proteome; Glycolysis; Isomerase"	250
C6EFX3	trpD ECBD_2359 ECD_01237	trpD		ECBD_2359 ECD_01237	C6EFX3_ECOBD		Inferred from homology		Anthranilate phosphoribosyltransferase (Bifunctional indole-3-glycerol-phosphate synthase/anthranilate phosphoribosyltransferase) (EC 2.4.2.18) (EC 4.1.3.27)	"GO:0004048; GO:0004049; GO:0006541; GO:0000162"	"Complete proteome; Glycosyltransferase; Lyase; Transferase"	531
C6EAT8	yacL ECBD_3500 ECD_00118	yacL		ECBD_3500 ECD_00118	C6EAT8_ECOBD		Inferred from homology	UPF0231 family	UPF0231 protein yacL		Complete proteome	120
C6EKT1	fimZ ECBD_3123 ECD_00485	fimZ		ECBD_3123 ECD_00485	C6EKT1_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Two component transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	210
C6EB33	ECBD_3598 ECD_00020			ECBD_3598 ECD_00020	C6EB33_ECOBD		Predicted		Putative uncharacterized protein	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	319
