Entry Name K12	Entry Name BL21(DE3)			Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED			Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
NUOF_ECOLI	C6E9R8	P31979		F1		curated	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	445	Y	Y			(plasma+membrane)		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			397	3,64E+00	6,13E+02	4,38	197,75	0,0038072	380,72
NUOG_ECOLI	C6E9R9	P33602		F1		curated	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y			(cytoplasm::plasma+membrane)		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			873	4,04E+00	6,52E+02	8,57	379,07	0,015867	1586,7
NUOI_ECOLI	C6E9S1	P0AFD6		F1		curated	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	Y	Y			(plasma+membrane)		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			277			6	276,96		
ATPases																									
YHCM_ECOLI	C6EH00	P64612		A	F1	This study	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y					nucleotide binding|ATP binding, AFG1 ATPase family (includes Sec18 and PAS1)	GO:0005524|GO:0000166									
CYSA_ECOLI	C6EL55	P16676		F1		curated	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	Y	Y			(plasma+membrane)	(transport)	sulfate transport|transport	GO:0006810|GO:0008272									
Small molecule transport and metabolism																									
GATZ_ECOLI	C6EAL5	P0C8J8		A	F1	This study	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	Y	Y					galactitol metabolic process/D-tagatose-1,6-bisphosphate aldolase subunit/Component of the tagatose-1,6-bisphosphate aldolase gatYZ that is required for full activity and stability of the Y subunit. Could have a chaperone-like function for the proper and stable folding of gatY.	GO:0019402			4990	6,50E+00	8,59E+02	43,67	1838,05	0,12273	12273
YGIB_ECOLI	C6EHV7	P0ADT2		A	F1	This study	UPF0441 protein ygiB	223		Y					YgiB and the YgiC ATPase are encoded by genes expressed in the same operon as tolC. YgiBC may have parallel but independent functions from TolC.				23			0,47	22,71		
ATPA_ECOLI	C6EG69	P0ABB0		F1		curated	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	Y	Y			(cytoplasm::plasma+membrane)		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			6385	2,77E+01	1,99E+03	28,29	1206,59	0,15958	15958
ATPB_ECOLI	C6EG71	P0ABB4		F1		curated	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	Y	Y			(cytoplasm::plasma+membrane)		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			11526	5,96E+01	3,11E+03	64,29	2674,21	0,28794	28794
ATPD_ECOLI	C6EG68	P0ABA4		F1		curated	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	Y	Y			(plasma+membrane)		transport|proton transport|ion transport|histidine biosynthetic process|ATP biosynthetic process	GO:0006810|GO:0006754|GO:0000105|GO:0015992|GO:0006811			2581	1,29E+01	1,28E+03	34,94	1480,65	0,04983	4983
ATPG_ECOLI	C6EG70	P0ABA6		F1		curated	p[	287	Y	Y			(plasma+membrane)		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			1689	5,49E+00	7,79E+02	36,93	1562,34	0,027269	2726,9
GLRX3_ECOLI	C6EDH9	P0AC62		A	F1?	This study	Glutaredoxin 3	83	Y						transport|deoxyribonucleotide biosynthetic process|electron transport chain	GO:0006810|GO:0009263|GO:0022900			581	5,31E+00	7,63E+02	9	398		
IDH_ECOLI	C6EGV5	P08200		A	F1?	This study	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y						oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	GO:0006099|GO:0006097|GO:0022900|GO:0055114			5690	3,15E+02	8,19E+03	77,14	3190,93		
DADA_ECOLI	C6EGS8	P0A6J5		F1		curated	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y			(plasma+membrane)		oxidation-reduction process	GO:0055114			179	2,74E-01	1,37E+02	4,88	220		
DHNA_ECOLI	C6EGY3	P00393		F1		curated	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	Y	Y				(transport)	oxidation-reduction process|transport|aerobic electron transport chain|electron transport chain|aerobic respiration	GO:0006810|GO:0019646|GO:0022900|GO:0055114|GO:0009060			1089	3,22E+00	5,71E+02	4,74	213,48	0,024811	2481,1
DHSA_ECOLI	C6EJL4	P0AC41		F1		curated	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase, flavoprotein subunit)	588	Y	Y				(transport)	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0009060|GO:0055114			363	1,68E+00	3,92E+02	13,96	334,59		
DHSB_ECOLI	C6EJL3	P07014		F1		curated	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y			(plasma+membrane)	(transport)	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0055114|GO:0009060			4946	1,51E+00	3,68E+02	18,95	9524,82		
DLDH_ECOLI	C6EAU1	P0A9P0		F1		curated	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y			(cytoplasm::cytosol::plasma+membrane)		oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|glycolysis|tricarboxylic acid cycle|2-oxoglutarate metabolic process	GO:0006099|GO:0019464|GO:0006090|GO:0006103|GO:0006096|GO:0055114			15024	1,78E+03	2,24E+04	49,55	2077,52	0,20595	20595
GLNQ_ECOLI	C6EIX3	P10346		F1		curated	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	Y	Y			(plasma+membrane)	(transport)	amino acid transport|transport	GO:0006810|GO:0006865			246	1,15E+00	3,15E+02	3,92	177,58		
METN_ECOLI	C6EA85	P30750		F1		curated	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y			(plasma+membrane)	(transport)	amino acid transport|transport	GO:0006810|GO:0006865									
																									
Chaperones																									
CH10_ECOLI	C6ECY3	P0A6F9		A	F1?	This study	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y				(cytosol)	(cell+cycle::cell+division::protein+folding)	response to heat|phage assembly|cell cycle|cell division	GO:0051301|GO:0009408|GO:0007049|GO:0042963			76558	2,14E+02	6,54E+03	99	4064,14	2,1907	219070
