Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P27247	PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	 	+ 	+ 	+ 
P0AEK2	FABG_ECOLI	C6EHC1	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	 	+ 	+ 	+ 
P0A9P6	DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
P05055	PNP_ECOLI	C6EH61	A	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	 	+ 	+ 	+ 
P0A705	IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	 	+ 	+ 	+ 
P0AG48	RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	 	+ 	+ 	+ 
P0A717	KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	 	+ 	+ 	+ 
P0A7Z4	RPOA_ECOLI	C6EGH1	A	"DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)"	 	+ 	+ 	+ 
P0AG55	RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	 	+ 	+ 	+ 
P0A7W7	RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	 	+ 	+ 	+ 
P60624	RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	 	+ 	+ 	+ 
P0ADY7	RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	 	+ 	+ 	+ 
P0ADZ0	RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	 	+ 	+ 	+ 
P60723	RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	 	+ 	+ 	+ 
P60438	RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	 	+ 	+ 	+ 
P0A6M8	EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	 	+ 	+ 	+ 
P0A7S3	RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	 	+ 	+ 	+ 
P0ACJ8	CRP_ECOLI	C6EGA6	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)"	 	+ 	+ 	+ 
P0A8R9	HDFR_ECOLI	C6EG46	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	 	+ 	+ 	+ 
P0AG30	RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	 	+ 	+ 	+ 
P27836	WECG_ECOLI	C6EG17	A	"Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)"	 	+ 	+ 	+ 
P0A9F3	CYSB_ECOLI	C6EFW2	A	"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (Transcriptional regulator, LysR family)"	 	+ 	+ 	+ 
P0A6F3	GLPK_ECOLI	C6EEX2	A	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase)	 	+ 	+ 	+ 
P0A6H5	HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	 	+ 	+ 	+ 
P27306	STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	 	+ 	+ 	+ 
P13009	METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	 	+ 	+ 	+ 
P0AB77	KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	 	+ 	+ 	+ 
P24173	RFAC_ECOLI	C6EDG9	A	ADP-heptose:LPS heptosyl transferase I (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase I)	 	+ 	+ 	+ 
P25741	RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	 	+ 	+ 	+ 
P0A7M2	RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	 	+ 	+ 	+ 
P0A6F5	CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	 	+ 	+ 	+ 
P77748	YDIJ_ECOLI	C6ECR9	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	 	+ 	+ 	+ 
P0AES6	GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	 	+ 	+ 	+ 
P0A7R1	RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	 	+ 	+ 	+ 
P45577	PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	 	+ 	+ 	+ 
P0A6K6	DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	 	+ 	+ 	+ 
P00968	CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	 	+ 	+ 	+ 
P36683	ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	 	+ 	+ 	+ 
P23893	GSA_ECOLI	C6EAD0	A	"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)"	 	+ 	+ 	+ 
P0ABD5	ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	 	+ 	+ 	+ 
P77398	ARNA_ECOLI	C6E9U5	A	Bifunctional polymyxin resistance protein ArnA	 	+ 	+ 	+ 
P24554	RADA_ECOLI	C6EBI2	A	DNA repair protein radA	 	+ 	+ 	 
P77775	YFCH_ECOLI	C6ELE9	A	Conserved protein with NAD(P)-binding Rossmann-fold domain (Putative uncharacterized protein)	 	+ 	 	+ 
P0A953	FABB_ECOLI	C6ELD0	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	 	+ 	 	+ 
P0ABK5	CYSK_ECOLI	C6EL63	A	Cysteine synthase (EC 2.5.1.47)	 	+ 	 	+ 
P0A6B7	ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	 	+ 	 	+ 
P0A9K3	PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	 	+ 	 	+ 
P0AGE9	SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	 	+ 	 	+ 
P0AB71	ALF_ECOLI	C6EII4	A	"Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)"	 	+ 	 	+ 
P27302	TKT1_ECOLI	C6EIH4	A	"Transketolase (Transketolase 1, thiamin-binding) (EC 2.2.1.1)"	 	+ 	 	+ 
P0A8C1	YBJQ_ECOLI	C6EIB5	A	UPF0145 protein ybjQ	 	+ 	 	+ 
P0A8M0	SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	 	+ 	 	+ 
P15038	HELD_ECOLI	C6EI19	A	DNA helicase IV (EC 3.6.1.-) (UvrD/REP helicase)	 	+ 	 	+ 
P68679	RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	 	+ 	 	+ 
P0A948	RIMJ_ECOLI	C6EHE7	A	Ribosomal-protein-S5-alanine N-acetyltransferase (EC 2.3.1.128) (Ribosomal-protein-alanine N-acetyltransferase) (EC 2.3.1.128)	 	+ 	 	+ 
P45469	YRAR_ECOLI	C6EH73	A	NAD-dependent epimerase/dehydratase (Predicted nucleoside-diphosphate-sugar epimerase)	 	+ 	 	+ 
P0A894	YHBJ_ECOLI	C6EH22	A	UPF0042 nucleotide-binding protein yhbJ	 	+ 	 	+ 
P0AFZ3	SSPB_ECOLI	C6EH04	A	ClpXP protease specificity-enhancing factor (Stringent starvation protein B)	 	+ 	 	+ 
P0AG51	RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	 	+ 	 	+ 
P0A7R5	RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	 	+ 	 	+ 
P0AB80	ILVE_ECOLI	C6EG41	A	Branched-chain amino acid aminotransferase	 	+ 	 	+ 
P0AA16	OMPR_ECOLI	C6EFG9	A	"Two component transcriptional regulator, winged helix family"	 	+ 	 	+ 
P0A887	UBIE_ECOLI	C6EF63	A	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	 	+ 	 	+ 
P0ACB4	HEMG_ECOLI	C6EF48	A	"Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)"	 	+ 	 	+ 
P43329	HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	 	+ 	 	+ 
P0A7K2	RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	 	+ 	 	+ 
P0A8V2	RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	 	+ 	 	+ 
P37692	RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	 	+ 	 	+ 
P25742	RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	 	+ 	 	+ 
P02358	RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	 	+ 	 	+ 
P0A9B2	G3P1_ECOLI	C6EC50	A	"Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)"	 	+ 	 	+ 
P0A6L0	DEOC_ECOLI	C6EBJ0	A	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	 	+ 	 	+ 
P00934	THRC_ECOLI	C6EBG5	A	Threonine synthase (EC 4.2.3.1)	 	+ 	 	+ 
P0A870	TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	 	+ 	 	+ 
P06986	HIS8_ECOLI	C6EB64	A	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	 	+ 	 	+ 
P08622	DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	 	+ 	 	+ 
P0A7U7	RS20_ECOLI	C6EB30	A	30S ribosomal protein S20	 	+ 	 	+ 
P31663	PANC_ECOLI	C6EAS4	A	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	 	+ 	 	+ 
P0A9D8	DAPD_ECOLI	C6EAB9	A	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)"	 	+ 	 	+ 
P0A6P1	EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	 	+ 	 	+ 
P76472	ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	 	+ 	 	+ 
P0A825	GLYA_ECOLI	C6EKF6	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	 	+ 	 	 
P0ABH7	CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	 	+ 	 	 
P0A836	SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	 	+ 	 	 
P62707	GPMA_ECOLI	C6EJI9	A	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)"	 	+ 	 	 
P0A799	PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	 	+ 	 	 
P00509	AAT_ECOLI	C6EI54	A	"Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)"	 	+ 	 	 
P0AC59	GLRX2_ECOLI	C6EHE9	A	"Glutaredoxin 2 (Grx2) (Glutaredoxin, GrxB family)"	 	+ 	 	 
P0AAI5	FABF_ECOLI	C6EHB9	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	 	+ 	 	 
P0ACF8	HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	 	+ 	 	 
P0A9K9	SLYD_ECOLI	C6EGB5	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
P0A853	TNAA_ECOLI	C6EG95	A	"Tryptophanase (EC 4.1.99.1) (Tryptophanase/L-cysteine desulfhydrase, PLP-dependent) (EC 4.1.99.1)"	 	+ 	 	 
P23305	YIGA_ECOLI	C6EG04	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	 	+ 	 	 
P0A862	TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	 	+ 	 	 
P00448	SODM_ECOLI	C6EEY9	A	Superoxide dismutase (EC 1.15.1.1)	 	+ 	 	 
P0A796	K6PF1_ECOLI	C6EEY2	A	6-phosphofructokinase (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	 	+ 	 	 
P27298	OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	 	+ 	 	 
P0ACF0	DBHA_ECOLI	C6EE18	A	"HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)"	 	+ 	 	 
P0A9G6	ACEA_ECOLI	C6EE08	A	Isocitrate lyase	 	+ 	 	 
P0A6T1	G6PI_ECOLI	C6EDZ9	A	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (Phosphohexose isomerase)	 	+ 	 	 
P0ACB0	DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	 	+ 	 	 
P77552	YDHQ_ECOLI	C6ECT9	A	Putative uncharacterized protein (Putative uncharacterized protein ydhQ)	 	+ 	 	 
P0AD61	KPYK1_ECOLI	C6ECS9	A	Pyruvate kinase (EC 2.7.1.40)	 	+ 	 	 
P0A7D4	PURA_ECOLI	C6ECH2	A	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	 	+ 	 	 
P0A9L3	FKBB_ECOLI	C6ECD7	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
P0A955	ALKH_ECOLI	C6EBX8	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	 	+ 	 	 
P0ABP8	DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	 	+ 	 	 
P00350	6PGD_ECOLI	C6EB56	A	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	 	+ 	 	 
P0A6T5	GCH1_ECOLI	C6EAG0	A	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	 	+ 	 	 
P0A7E9	PYRH_ECOLI	C6EAB4	A	Uridylate kinase (EC 2.7.4.22)	 	+ 	 	 
P75672	YAFS_ECOLI	C6EA77	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	 	+ 	 	 
P00452	RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	 	 	+ 	+ 
P21645	LPXD_ECOLI	C6EAA6	A	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	 	 	+ 	+ 
P17952	MURC_ECOLI	C6EAW4	A	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	 	 	+ 	+ 
P0ACP1	FRUR_ECOLI	C6EAX5	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	+ 	+ 
P08957	T1MK_ECOLI	C6EBN1	A	DNA methylase M (EC 2.1.1.72) (Site-specific DNA-methyltransferase (Adenine-specific)) (EC 2.1.1.72)	 	 	+ 	+ 
P23538	PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	 	 	+ 	+ 
P0A9H7	CFA_ECOLI	C6ECU2	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	 	 	+ 	+ 
P0A6N4	EFP_ECOLI	C6ECX8	A	Elongation factor P	 	 	+ 	+ 
P0AC33	FUMA_ECOLI	C6EDN6	A	"Fumarate hydratase (Fumarase A), aerobic Class I (EC 4.2.1.2) (Hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit)"	 	 	+ 	+ 
P00562	AK2H_ECOLI	C6EE68	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	 	 	+ 	+ 
P32132	TYPA_ECOLI	C6EF30	A	GTP-binding protein (GTP-binding protein TypA)	 	 	+ 	+ 
P07639	AROB_ECOLI	C6EFI7	A	3-dehydroquinate synthase (EC 4.2.3.4)	 	 	+ 	+ 
P07604	TYRR_ECOLI	C6EFQ9	A	"DNA-binding transcriptional dual regulator, tyrosine-binding (Transcriptional regulator, TyrR)"	 	 	+ 	+ 
P30850	RNB_ECOLI	C6EFU6	A	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	 	 	+ 	+ 
P37765	RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	 	 	+ 	+ 
P05791	ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	 	 	+ 	+ 
P24182	ACCC_ECOLI	C6EGK4	A	"Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)"	 	 	+ 	+ 
P0ABU2	ENGD_ECOLI	C6EGR3	A	GTP-binding protein YchF (Translation-associated GTPase)	 	 	+ 	+ 
P0A7L8	RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	 	 	+ 	+ 
P0A6R0	FABH_ECOLI	C6EHC3	A	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	 	 	+ 	+ 
P76658	HLDE_ECOLI	C6EHU3	A	Bifunctional protein hldE	 	 	+ 	+ 
P75867	LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	 	 	+ 	+ 
P75838	YCAO_ECOLI	C6EI77	A	Putative uncharacterized protein (Putative uncharacterized protein ycaO)	 	 	+ 	+ 
P21170	SPEA_ECOLI	C6EIH1	A	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	 	 	+ 	+ 
P0AFG3	ODO1_ECOLI	C6EJL2	A	"2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)"	 	 	+ 	+ 
P0AEI1	MIAB_ECOLI	C6EK34	A	Isopentenyl-adenosine A37 tRNA methylthiolase (tRNA-i(6)A37 thiotransferase enzyme MiaB)	 	 	+ 	+ 
P0A8F0	UPP_ECOLI	C6EKL3	A	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	 	 	+ 	+ 
P0A6H1	CLPX_ECOLI	C6EL27	A	ATP-dependent Clp protease ATP-binding subunit ClpX	 	 	+ 	+ 
P77718	THII_ECOLI	C6EL46	A	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein thiI) (tRNA 4-thiouridine synthase)	 	 	+ 	+ 
P08390	USG_ECOLI	C6ELD4	A	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) (Putative uncharacterized protein usg)	 	 	+ 	+ 
P00722	BGAL_ECOLI	C6ELN6	A	Beta-D-galactosidase (EC 3.2.1.23) (Beta-galactosidase) (EC 3.2.1.23)	 	 	+ 	+ 
P0AFK0	PMBA_ECOLI	C6ECB4	A	Peptidase U62 modulator of DNA gyrase (Predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17)	 	 	+ 	 
P0ACN7	CYTR_ECOLI	C6EDC8	A	"Transcriptional regulator, LacI family"	 	 	+ 	 
