Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P26648	SUFI_ECOLI	C6EHX7	G	Multicopper oxidase type 3 (Repressor protein for FtsI)	 	+ 	 	 
P19926	AGP_ECOLI	C6EHK5	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	 	+ 	 	 
P0AB24	YCDO_ECOLI	C6EHI9	G	Putative uncharacterized protein (Putative uncharacterized protein ycdO)	 	+ 	 	 
P0ADV7	MLAC_ECOLI	C6EH35	G	Predicted ABC-type organic solvent transporter (Toluene tolerance family protein)	 	+ 	 	 
P0AFK9	POTD_ECOLI	C6EGW8	G	Extracellular solute-binding protein family 1 (Spermidine/putrescine ABC transporter periplasmic substrate-binding protein)	 	+ 	 	 
P23843	OPPA_ECOLI	C6EGM4	G	Extracellular solute-binding protein family 5	 	+ 	 	 
P0AG82	PSTS_ECOLI	C6EG75	G	"Phosphate ABC transporter, periplasmic phosphate-binding protein (Phosphate transporter subunit)"	 	+ 	 	 
P02925	RBSB_ECOLI	C6EG51	G	D-ribose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)	 	+ 	 	 
Q47622	SAPA_ECOLI	C6EFT8	G	Extracellular solute-binding protein family 5 (Predicted antimicrobial peptide transporter subunit)	 	+ 	 	 
P0AFL3	PPIA_ECOLI	C6EFL3	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
P0AG80	UGPB_ECOLI	C6EFC1	G	Extracellular solute-binding protein family 1 (Glycerol-3-phosphate transporter subunit)	 	+ 	 	 
P32160	YIIQ_ECOLI	C6EEX8	G	Putative uncharacterized protein (Putative uncharacterized protein yiiQ)	 	+ 	 	 
P40120	OPGD_ECOLI	C6EET8	G	Periplasmic glucan biosynthesis protein MdoG	 	+ 	 	 
P76116	YNCE_ECOLI	C6EER1	G	Putative uncharacterized protein (Putative uncharacterized protein yncE)	 	+ 	 	 
P23847	DPPA_ECOLI	C6EED6	G	Dipeptide transporter (Extracellular solute-binding protein family 5)	 	+ 	 	 
P76223	YNJB_ECOLI	C6ECK3	G	Extracellular solute-binding protein family 1 (Putative uncharacterized protein ynjB)	 	+ 	 	 
P08331	CPDB_ECOLI	C6ECD1	G	"2',3'-cyclic-nucleotide 2'-phosphodiesterase (Bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic protein) (EC 3.1.3.6) (EC 3.1.4.16)"	 	+ 	 	 
P39325	YTFQ_ECOLI	C6ECC1	G	Periplasmic binding protein/LacI transcriptional regulator (Predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily)	 	+ 	 	 
P0AGC3	SLT_ECOLI	C6EBH9	G	"Lytic murein transglycosylase, soluble (EC 3.2.1.-) (Lytic transglycosylase catalytic)"	 	+ 	 	 
P0AE91	CREA_ECOLI	C6EBH4	G	CreA family protein (Putative uncharacterized protein creA)	 	+ 	 	 
P0ABZ6	SURA_ECOLI	C6EB00	G	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Peptidylprolyl isomerase) (EC 5.2.1.8)	 	+ 	 	 
P33363	BGLX_ECOLI	C6EAH9	G	"Beta-D-glucoside glucohydrolase, periplasmic (EC 3.2.1.21) (Glycoside hydrolase family 3 domain protein)"	 	+ 	 	 
P23827	ECOT_ECOLI	C6E9Z0	G	Ecotin (Proteinase inhibitor I11 ecotin)	 	+ 	 	 
P36548	AMIA_ECOLI	C6EKR9	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase I) (EC 3.5.1.28)	 	 	 	+ 
P0AAX8	YBIS_ECOLI	C6EIW3	G	ErfK/YbiS/YcfS/YnhG family protein (Putative uncharacterized protein ybiS)	 	 	 	+ 
P37650	BCSC_ECOLI	C6EEF3	G	Cellulose synthase operon C domain protein (Cellulose synthase subunit)	 	 	 	+ 
P07822	FHUD_ECOLI	C6EAD2	G	Iron-hydroxamate transporter subunit (Periplasmic binding protein)	 	 	 	+ 
P37028	BTUF_ECOLI	C6EAC6	G	Periplasmic binding protein (Vitamin B12-transporter protein BtuF)	 	 	 	+ 
P0A940	YAET_ECOLI	C6EAA8	H	"Outer membrane protein assembly complex, YaeT protein (Putative uncharacterized protein yaeT)"	+ 	+ 	+ 	+ 
P02930	TOLC_ECOLI	C6EHV8	H	"Outer membrane channel protein (Type I secretion outer membrane protein, TolC family)"	+ 	+ 	+ 	+ 
P0A910	OMPA_ECOLI	C6EI25	H	OmpA domain protein transmembrane region-containing protein (Outer membrane protein A (3a;II*;G;d))	+ 	+ 	+ 	+ 
P02931	OMPF_ECOLI	C6EI53	H	Outer membrane porin 1a (Ia;b;F) (Porin Gram-negative type)	+ 	+ 	+ 	+ 
P05825	FEPA_ECOLI	C6EKB2	H	Iron-enterobactin outer membrane transporter (TonB-dependent siderophore receptor)	 	+ 	+ 	+ 
P0A917	OMPX_ECOLI	C6EIW8	H	Outer membrane protein X (Virulence-related outer membrane protein)	 	+ 	+ 	+ 
P76115	YNCD_ECOLI	C6EER2	H	Predicted iron outer membrane transporter (TonB-dependent receptor)	 	+ 	+ 	+ 
P0ADE4	YTFM_ECOLI	C6ECC5	H	Predicted outer membrane protein and surface antigen (Surface antigen (D15))	 	+ 	+ 	+ 
P13036	FECA_ECOLI	C6EC65	H	Ferric citrate outer membrane transporter (TonB-dependent siderophore receptor)	 	+ 	+ 	+ 
P31554	LPTD_ECOLI	C6EAZ9	H	LPS-assembly protein lptD (Organic solvent tolerance protein)	 	+ 	+ 	+ 
P0A927	TSX_ECOLI	C6ELH3	H	"Nucleoside channel, receptor of phage T6 and colicin K (Nucleoside-specific channel-forming protein Tsx)"	 	+ 	 	+ 
P46474	YHDP_ECOLI	C6EGL5	H	"Conserved membrane protein, predicted transporter (Uncharacterized protein YhdP)"	 	+ 	 	+ 
P0A908	MIPA_ECOLI	C6EC47	H	MltA-interacting MipA family protein (Scaffolding protein for murein synthesizing machinery)	 	+ 	 	+ 
P10384	FADL_ECOLI	C6ELB0	H	Membrane protein involved in aromatic hydrocarbon degradation	 	+ 	 	 
P0A921	PA1_ECOLI	C6EF90	H	Outer membrane phospholipase A (EC 3.1.1.32) (Phospholipase A(2)) (EC 3.1.1.4)	 	+ 	 	 
P69776	LPP_ECOLI	C6ECS8	I	LPP repeat-containing protein (Murein lipoprotein)	+ 	+ 	+ 	+ 
P0A905	SLYB_ECOLI	C6EDK4	I	17 kDa surface antigen (Outer membrane lipoprotein)	+ 	+ 	+ 	+ 
P37665	YIAD_ECOLI	C6EEC9	I	OmpA/MotB domain protein (Predicted outer membrane lipoprotein)	+ 	+ 	+ 	+ 
P61320	LOLB_ECOLI	C6EGQ7	I	Outer-membrane lipoprotein lolB	+ 	+ 	+ 	+ 
P0AB38	YCFM_ECOLI	C6EGY7	I	Membrane lipoprotein lipid attachment site (Predicted outer membrane lipoprotein)	+ 	+ 	+ 	+ 
P0AC02	YFIO_ECOLI	C6EJZ5	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	+ 	+ 	+ 	+ 
P0ADC1	LPTE_ECOLI	C6EK52	I	Minor lipoprotein (Rare lipoprotein B)	+ 	+ 	+ 	+ 
P0ADA5	YAJG_ECOLI	C6EL32	I	Predicted lipoprotein (Uncharacterized lipoprotein)	+ 	+ 	+ 	+ 
P64596	YRAP_ECOLI	C6EH75	I	Putative uncharacterized protein yraP (Transport-associated)	+ 	+ 	 	+ 
P0AB26	YCEB_ECOLI	C6EHF0	I	Predicted lipoprotein (Putative uncharacterized protein)	+ 	+ 	 	+ 
P75818	YBJP_ECOLI	C6EIB6	I	Predicted lipoprotein (Putative lipoprotein)	+ 	+ 	 	+ 
P0ADB1	OSME_ECOLI	C6ECL9	I	DNA-binding transcriptional activator (SmpA/OmlA domain protein)	+ 	+ 	 	 
P76506	MLAA_ECOLI	C6ELA7	I	Predicted lipoprotein (VacJ family lipoprotein)	 	+ 	+ 	+ 
P76537	YFEY_ECOLI	C6EKS2	I	Putative uncharacterized protein (Putative uncharacterized protein yfeY)	 	+ 	+ 	+ 
P0A903	NLPB_ECOLI	C6EKN4	I	Lipoprotein (NlpBDapX family lipoprotein)	 	+ 	+ 	+ 
P77774	YFGL_ECOLI	C6EKJ7	I	"Outer membrane assembly lipoprotein YfgL (Protein assembly complex, lipoprotein component)"	 	+ 	+ 	+ 
P77330	BORD_ECOLI	C6EKD4	I	Bor family protein (Predicted lipoprotein)	 	+ 	+ 	+ 
P0A912	PAL_ECOLI	C6EJJ6	I	Peptidoglycan-associated lipoprotein (Peptidoglycan-associated outer membrane lipoprotein)	 	+ 	+ 	+ 
P0ADA3	NLPD_ECOLI	C6EJC5	I	Peptidase M23 (Predicted outer membrane lipoprotein)	 	+ 	+ 	+ 
P25894	YGGG_ECOLI	C6EIH3	I	Peptidase M48 Ste24p	 	+ 	+ 	+ 
P45464	YRAM_ECOLI	C6EH78	I	LppC family lipoprotein (Putative uncharacterized protein yraM)	 	+ 	+ 	+ 
P69411	RCSF_ECOLI	C6EA88	I	"Outer membrane lipoprotein (Predicted outer membrane protein, signal)"	 	+ 	+ 	+ 
P10100	RLPA_ECOLI	C6EK60	I	Minor lipoprotein (Rare lipoprotein A)	 	+ 	+ 	 
P77562	YAIW_ECOLI	C6ELK9	I	Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	 	+ 	 	+ 
P46130	YBHC_ECOLI	C6EJI8	I	Pectinesterase (Predicted pectinesterase)	 	+ 	 	+ 
P77330	BORD_ECOLI	C6EJF8	I	Bor family protein (Bor protein)	 	+ 	 	+ 
P0A935	MLTA_ECOLI	C6EJ53	I	Membrane-bound lytic murein transglycosylase A (EC 3.2.1.-) (MltA domain protein)	 	+ 	 	+ 
P0C960	EMTA_ECOLI	C6EGS4	I	Lytic murein endotransglycosylase E (EC 2.4.99.-) (Lytic transglycosylase catalytic)	 	+ 	 	+ 
P0ADB7	ECNB_ECOLI	C6ECX6	I	Entericidin B membrane lipoprotein (Entericidin EcnAB)	 	+ 	 	+ 
P40710	NLPE_ECOLI	C6EA92	I	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	 	+ 	 	+ 
P77717	YBAY_ECOLI	C6EL10	I	Glycoprotein/polysaccharide metabolism (Predicted outer membrane lipoprotein)	 	+ 	 	 
P0A937	SMPA_ECOLI	C6EJX6	I	SmpA/OmlA domain protein	 	+ 	 	 
P41052	MLTB_ECOLI	C6EJT0	I	Lytic murein transglycosylase B (Membrane-bound lytic murein transglycosylase B) (EC 3.2.1.-)	 	+ 	 	 
Q46798	YGER_ECOLI	C6EIP3	I	Peptidase M23 (Tetratricopeptide repeat transcriptional regulator)	 	+ 	 	 
P0ADN6	YIFL_ECOLI	C6EG06	I	Predicted lipoprotein (Putative uncharacterized protein)	 	+ 	 	 
P0AF70	YJEI_ECOLI	C6ECY1	I	Putative uncharacterized protein (Putative uncharacterized protein yjeI)	 	+ 	 	 
P0A901	BLC_ECOLI	C6ECX4	I	Lipocalin family protein (Outer membrane lipoprotein (Lipocalin))	 	+ 	 	 
P0AA91	YEAY_ECOLI	C6EC25	I	"Outer membrane lipoprotein, Slp family (Predicted lipoprotein)"	 	+ 	 	 
P0AFB1	NLPI_ECOLI	C6EH62	I	Putative uncharacterized protein nlpI (Tetratricopeptide TPR_2 repeat protein)	 	 	+ 	+ 
