GO:0004416	P05100	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED
GO:0019402	P0C8J8	GATZ_ECOLI	C6EAL5	A	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	Y	Y
GO:0004729	P0ACB4	HEMG_ECOLI	C6EF48	A	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	Y	Y
GO:0004616	P00350	6PGD_ECOLI	C6EB56	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468	Y	
GO:0033585	P00509	AAT_ECOLI	C6EI54	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	Y	
GO:0006633	P0ABD5	ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y	
GO:0006633	P24182	ACCC_ECOLI	C6EGK4	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	Y	
GO:0004451	P0A9G6	ACEA_ECOLI	C6EE08	A	Isocitrate lyase	434	Y	
GO:0008270	P0A6A3	ACKA_ECOLI	C6ELF7	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	Y	
GO:0003729	P36683	ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	Y	
GO:0004000	P22333	ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y	
GO:0003677	P68767	AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y	
GO:0008198	P0AE18	AMPM_ECOLI	C6EAB7	A	Methionine aminopeptidase (EC 3.4.11.18)	264	Y	
GO:0000156	P0A9Q1	ARCA_ECOLI	C6EBH0	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	Y	
GO:0006526	P0A6C8	ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	258	Y	
GO:0006526	P23908	ARGE_ECOLI	C6EE52	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	Y	
GO:0004055	P11447	ARLY_ECOLI	C6EE49	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y	
GO:0005829	P0AC38	ASPA_ECOLI	C6ECY6	A	Aspartate ammonia-lyase	478	Y	
GO:0004055	P0A6E4	ASSY_ECOLI	C6EH54	A	Argininosuccinate synthase (EC 6.3.4.5)	447	Y	
GO:0000166	P00968	CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y	
GO:0051082	P0A6F9	CH10_ECOLI	C6ECY3	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y	
GO:0000166	P0A6F5	CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y	
GO:0006099	P0ABH7	CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	427	Y	
GO:0000166	P63284	CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y	
GO:0044459	P0A9D8	DAPD_ECOLI	C6EAB9	A	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	Y	
GO:0003677	P0ACF0	DBHA_ECOLI	C6EE18	A	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	Y	
GO:0003677	P0ACF0	DBHA_ECOLI	C6EL23	A	HU, DNA-binding transcriptional regulator, beta subunit (Histone family protein DNA-binding protein)	90	Y	
GO:0000027	P0A9P6	DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	Y	
GO:0008198	P0A6K3	DEF_ECOLI	C6EGI0	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y	
GO:0005737	P0A6K6	DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	Y	
GO:0004731	P0ABP8	DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	Y	
GO:0000166	P0ACB0	DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	471	Y	
GO:0043335	P08622	DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376	Y	
GO:0003677	P00582	DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	928	Y	
GO:0000166	P0A6M8	EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	704	Y	
GO:0008270	P0A6P1	EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	283	Y	
GO:0000166	P0A6P7	ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	210	Y	
GO:0000287	P0A6P9	ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	Y	
GO:0003824	P21177	FADB_ECOLI	C6EF52	A	Fatty acid oxidation complex subunit alpha	729	Y	
GO:0043565	P0A6R3	FIS_ECOLI	C6EGJ9	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y	
GO:0004365	P0A9B2	G3P1_ECOLI	C6EC50	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y	
GO:0004375	P33195	GCSP_ECOLI	C6EIK5	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y	
GO:0005978	P0A6U8	GLGA_ECOLI	C6EFE5	A	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y	
GO:0004360	P17169	GLMS_ECOLI	C6EG74	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y	
GO:0006810	P0AC62	GLRX3_ECOLI	C6EDH9	A	Glutaredoxin 3	83	Y	
GO:0004355	P09831	GLTB_ECOLI	C6EH15	A	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y	
GO:0042803	P62707	GPMA_ECOLI	C6EJI9	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y	
GO:0043335	P09372	GRPE_ECOLI	C6EJX9	A	Protein grpE (HSP-70 cofactor)	197	Y	
GO:0003921	P04079	GUAA_ECOLI	C6EKK2	A	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y	
GO:0003677	P0AES6	GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	804	Y	
GO:0005525	P25519	HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	426	Y	
GO:0003677	P0ACF8	HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	Y	
GO:0006397	P43329	HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	1300	Y	
GO:0009408	P0A6Y5	HSLO_ECOLI	C6EFH4	A	33 kDa chaperonin (Heat shock protein 33 homolog)	292	Y	
GO:0009408	P0A6H5	HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y	
GO:0003743	P0A705	IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	890	Y	
GO:0003743	P0A707	IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	180	Y	
GO:0003677	P0A6X7	IHFA_ECOLI	C6ECP5	A	Integration host factor subunit alpha (IHF-alpha)	99	Y	
GO:0003677	P0A6Y1	IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	94	Y	
GO:0004160	P05791	ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y	
GO:0009000	P0A6B7	ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	404	Y	
GO:0008299	P62620	ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	Y	
GO:0000287	P69441	KAD_ECOLI	C6EKZ0	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y	
GO:0005737	P0AB77	KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	Y	
GO:0000166	P0A717	KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	Y	
GO:0000166	P21599	KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480	Y	
GO:0008233	P75867	LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	586	Y	
GO:0008168	P13009	METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y	
GO:0004550	P0A763	NDK_ECOLI	C6EKJ1	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	Y	
GO:0031564	P0AFF6	NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495	Y	
GO:0006351	P0AFG0	NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	181	Y	
GO:0004591	P0AFG3	ODO1_ECOLI	C6EJL2	A	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	Y	
GO:0004149	P0AFG6	ODO2_ECOLI	C6EJL1	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y	
GO:0008233	P27298	OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	680	Y	
GO:0004733	P0AFI7	PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218	Y	
GO:0005737	P09373	PFLB_ECOLI	C6EK07	A	Autonomous glycyl radical cofactor	127	Y	
GO:0005737	P09373	PFLB_ECOLI	C6EI79	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	Y	
GO:0000166	P0A799	PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	Y	
GO:0000166	P0A9K3	PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	Y	
GO:0003755	P23869	PPIB_ECOLI	C6EKU1	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y	
GO:0000287	P23538	PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y	
GO:0016757	P37692	RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	Y	
GO:0004004	P25888	RHLE_ECOLI	C6EIY5	A	DEAD/DEAH box helicase domain protein (RNA helicase)	454	Y	
GO:0004748	P00452	RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	761	Y	
GO:0000453	P0C0R7	RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209	Y	
GO:0000455	P37765	RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	291	Y	
GO:0000455	P32684	RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290	Y	
GO:0003723	P21499	RNR_ECOLI	C6ECH0	A	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813	Y	
GO:0008270	P0A7Z4	RPOA_ECOLI	C6EGH1	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329	Y	
GO:0003899	P0A8V2	RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y	
GO:0003899	P0A800	RPOZ_ECOLI	C6EDE1	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y	
GO:0003924	P39286	RSGA_ECOLI	C6ECW4	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y	
GO:0000027	P21507	SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444	Y	
GO:0003957	P27306	STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y	
GO:0003677	P0ACG1	STPA_ECOLI	C6EJV6	A	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	Y	
GO:0006099	P0A836	SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	Y	
GO:0006099	P0AGE9	SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	Y	
GO:0000287	P0ADG4	SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	267	Y	
GO:0004813	P00957	SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	Y	
GO:0000049	P00959	SYM_ECOLI	C6EAJ7	A	Methionyl-tRNA synthetase	677	Y	
GO:0004066	P0A8M0	SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	Y	
GO:0004827	P16659	SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	Y	
GO:0000166	P0AGJ9	SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y	
GO:0004801	P0A870	TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	317	Y	
GO:0003755	P0A850	TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432	Y	
GO:0004807	P0A858	TPIS_ECOLI	C6EEX9	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	Y	
GO:0005737	P0A862	TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	Y	
GO:0005737	P28904	TREC_ECOLI	C6ECA9	A	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551	Y	
GO:0005737	P0AAT6	YBEB_ECOLI	C6EK56	A	Iojap-related protein (Putative uncharacterized protein ybeB)	105	Y	
GO:0008168	P0AGJ5	YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y	
GO:0005737	P0A8X0	YJGA_ECOLI	C6ECB5	A	UPF0307 protein yjgA	183	Y	
GO:0016616	P0A9S3	GATD_ECOLI	C6EAL9	A	Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)	346	Y	
GO:0006099	P08200	IDH_ECOLI	C6EGV5	A	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y	
GO:0006355	P0ACJ0	LRP_ECOLI	C6EI93	A	DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)	164	Y	
GO:0003723	P0ABF1	PCNB_ECOLI	C6EAE1	A	Poly(A) polymerase (EC 2.7.7.19)	472	Y	
GO:0003883	P0A7E5	PYRG_ECOLI	C6EJ92	A	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	Y	
GO:0009032	P07650	TYPH_ECOLI	C6EBI9	A	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	440	Y	
GO:0015986	P0ABB0	ATPA_ECOLI	C6EG69	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	Y	Y
GO:0015986	P0ABB4	ATPB_ECOLI	C6EG71	F1	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	Y	Y
GO:0000105	P0ABA4	ATPD_ECOLI	C6EG68	F1	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	Y	Y
GO:0015986	P0ABA6	ATPG_ECOLI	C6EG70	F1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	287	Y	Y
GO:0000166	P16676	CYSA_ECOLI	C6EL55	F1	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	Y	Y
GO:0005886	P0A6J5	DADA_ECOLI	C6EGS8	F1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y
GO:0008137	P00393	DHNA_ECOLI	C6EGY3	F1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	Y	Y
GO:0009055	P0AC41	DHSA_ECOLI	C6EJL4	F1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase, flavoprotein subunit)	588	Y	Y
GO:0009055	P07014	DHSB_ECOLI	C6EJL3	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y
GO:0019464	P0A9P0	DLDH_ECOLI	C6EAU1	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y
GO:0000166	P0A6Y8	DNAK_ECOLI	C6EB40	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y
GO:0000166	P0CE48	EFTU2_ECOLI	C6EE39	F1	Elongation factor Tu	394	Y	Y
GO:0000910	P0ABH0	FTSA_ECOLI	C6EAW1	F1	Cell division protein (Cell division protein FtsA)	420	Y	Y
GO:0000300	P0A9R7	FTSE_ECOLI	C6EFB1	F1	Type II (General) Secretory Pathway (IISP) Family protein	222	Y	Y
GO:0003924	P0A9A6	FTSZ_ECOLI	C6EAW0	F1	Cell division protein ftsZ	383	Y	Y
GO:0000166	P10346	GLNQ_ECOLI	C6EIX3	F1	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	Y	Y
GO:0004368	P13035	GLPD_ECOLI	C6EFE8	F1	FAD dependent oxidoreductase	501	Y	Y
GO:0001950	P75957	LOLD_ECOLI	C6EGX5	F1	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y
GO:0005524	P30750	METN_ECOLI	C6EA85	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y
GO:0008360	P0A9X4	MREB_ECOLI	C6EGL0	F1	Cell shape determining protein, MreB/Mrl family (Cell wall structural complex MreBCD, actin-like component MreB)	347	Y	Y
GO:0009252	P17443	MURG_ECOLI	C6EAW5	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	Y	Y
GO:0008137	P33599	NUOCD_ECOLI	C6E9R6	F1	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	600	Y	Y
GO:0009060	P31979	NUOF_ECOLI	C6E9R8	F1	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	445	Y	Y
GO:0009060	P33602	NUOG_ECOLI	C6E9R9	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y
GO:0009060	P0AFD6	NUOI_ECOLI	C6E9S1	F1	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	Y	Y
GO:0004366	P0A7A7	PLSB_ECOLI	C6EDX9	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	Y	Y
GO:0003841	P26647	PLSC_ECOLI	C6EHX6	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y
GO:0003882	P23830	PSS_ECOLI	C6EK01	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	Y	Y
GO:0003677	P09546	PUTA_ECOLI	C6EHJ3	F1	Delta-1-pyrroline-5-carboxylate dehydrogenase (Fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase) (EC 1.5.1.12) (EC 1.5.99.8)	1320	Y	Y
GO:0006401	P21513	RNE_ECOLI	C6EHC9	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	Y	Y
GO:0015031	P10408	SECA_ECOLI	C6EAV7	F1	Protein translocase subunit secA	901	Y	Y
GO:0003924	P0AGD7	SRP54_ECOLI	C6EJY2	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	Y	Y
GO:0015794	P10907	UGPC_ECOLI	C6EFC4	F1	ABC transporter related	356	Y	Y
GO:0005886	P37751	YEFI_ECOLI	C6EB51	F1	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	Y	Y
GO:0006261	P03004	DNAA_ECOLI	C6ECH7	F1	Chromosomal replication initiator protein dnaA	467		Y
GO:0000300	P25746	HFLD_ECOLI	C6EGV9	F1	High frequency lysogenization protein hflD	213		Y
GO:0005548	P63386	MLAF_ECOLI	C6EH32	F1	ABC transporter related (Predicted toluene transporter subunit: ATP-binding component of ABC superfamily)	269		Y
GO:0008652	P0A7E1	PYRD_ECOLI	C6EI37	F1	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336		Y
GO:0005737	P77223	RNFB_ECOLI	C6EDL8	F1	Electron transport complex protein rnfB	192		Y
GO:0000166	P36879	YADG_ECOLI	C6EAT0	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308		Y
GO:0005737	P0A6A8	ACP_ECOLI	C6EHC0	F1	Acyl carrier protein (ACP)	78	Y	
GO:0015986	P0A6E6	ATPE_ECOLI	C6EG72	F1	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	139	Y	
GO:0006970	P17444	BETA_ECOLI	C6ELS0	F1	Choline dehydrogenase (EC 1.1.99.1)	556	Y	
GO:0000104	P00363	FRDA_ECOLI	C6ECW9	F1	Fumarate reductase (EC 1.3.99.1) (Fumarate reductase, flavoprotein subunit)	602	Y	
GO:0006457	P0A6Z3	HTPG_ECOLI	C6EKZ1	F1	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y	
GO:0003746	P60785	LEPA_ECOLI	C6EK18	F1	GTP-binding protein lepA	599	Y	
