K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	 	+ 	+ 	+ 
RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	 	+ 	+ 	+ 
SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	 	+ 	+ 	+ 
ODO2_ECOLI	C6EJL1	A	"2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)"	 	+ 	+ 	+ 
Null	C6EJI5	A	DNA-directed RNA polymerase (EC 2.7.7.6) (T7 DNA-directed RNA polymerase)	 	+ 	+ 	+ 
ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	 	+ 	+ 	+ 
RELA_ECOLI	C6EJ88	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)"	 	+ 	+ 	+ 
PFLB_ECOLI	C6EI79	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	 	+ 	+ 	+ 
RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	 	+ 	+ 	+ 
MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	 	+ 	+ 	+ 
YGIB_ECOLI	C6EHV7	A	UPF0441 protein ygiB	 	+ 	+ 	+ 
RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	 	+ 	+ 	+ 
PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	 	+ 	+ 	+ 
FABG_ECOLI	C6EHC1	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	 	+ 	+ 	+ 
DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
PNP_ECOLI	C6EH61	A	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	 	+ 	+ 	+ 
IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	 	+ 	+ 	+ 
RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	 	+ 	+ 	+ 
KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	 	+ 	+ 	+ 
RPOA_ECOLI	C6EGH1	A	"DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)"	 	+ 	+ 	+ 
RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	 	+ 	+ 	+ 
RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	 	+ 	+ 	+ 
RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	 	+ 	+ 	+ 
RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	 	+ 	+ 	+ 
RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	 	+ 	+ 	+ 
RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	 	+ 	+ 	+ 
RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	 	+ 	+ 	+ 
EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	 	+ 	+ 	+ 
RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	 	+ 	+ 	+ 
CRP_ECOLI	C6EGA6	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)"	 	+ 	+ 	+ 
HDFR_ECOLI	C6EG46	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	 	+ 	+ 	+ 
RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	 	+ 	+ 	+ 
WECG_ECOLI	C6EG17	A	"Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)"	 	+ 	+ 	+ 
CYSB_ECOLI	C6EFW2	A	"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (Transcriptional regulator, LysR family)"	 	+ 	+ 	+ 
GLPK_ECOLI	C6EEX2	A	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase)	 	+ 	+ 	+ 
HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	 	+ 	+ 	+ 
STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	 	+ 	+ 	+ 
METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	 	+ 	+ 	+ 
KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	 	+ 	+ 	+ 
RFAC_ECOLI	C6EDG9	A	ADP-heptose:LPS heptosyl transferase I (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase I)	 	+ 	+ 	+ 
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	 	+ 	+ 	+ 
RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	 	+ 	+ 	+ 
CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	 	+ 	+ 	+ 
YDIJ_ECOLI	C6ECR9	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	 	+ 	+ 	+ 
GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	 	+ 	+ 	+ 
RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	 	+ 	+ 	+ 
PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	 	+ 	+ 	+ 
DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	 	+ 	+ 	+ 
Null	C6EB49	A	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	 	+ 	+ 	+ 
Null	C6EB48	A	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	 	+ 	+ 	+ 
CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	 	+ 	+ 	+ 
ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	 	+ 	+ 	+ 
GSA_ECOLI	C6EAD0	A	"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)"	 	+ 	+ 	+ 
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	 	+ 	+ 	+ 
ARNA_ECOLI	C6E9U5	A	Bifunctional polymyxin resistance protein ArnA	 	+ 	+ 	+ 
RADA_ECOLI	C6EBI2	A	DNA repair protein radA	 	+ 	+ 	 
YFCH_ECOLI	C6ELE9	A	Conserved protein with NAD(P)-binding Rossmann-fold domain (Putative uncharacterized protein)	 	+ 	 	+ 
FABB_ECOLI	C6ELD0	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	 	+ 	 	+ 
CYSK_ECOLI	C6EL63	A	Cysteine synthase (EC 2.5.1.47)	 	+ 	 	+ 
ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	 	+ 	 	+ 
PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	 	+ 	 	+ 
SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	 	+ 	 	+ 
ALF_ECOLI	C6EII4	A	"Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)"	 	+ 	 	+ 
TKT1_ECOLI	C6EIH4	A	"Transketolase (Transketolase 1, thiamin-binding) (EC 2.2.1.1)"	 	+ 	 	+ 
YBJQ_ECOLI	C6EIB5	A	UPF0145 protein ybjQ	 	+ 	 	+ 
SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	 	+ 	 	+ 
HELD_ECOLI	C6EI19	A	DNA helicase IV (EC 3.6.1.-) (UvrD/REP helicase)	 	+ 	 	+ 
RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	 	+ 	 	+ 
RIMJ_ECOLI	C6EHE7	A	Ribosomal-protein-S5-alanine N-acetyltransferase (EC 2.3.1.128) (Ribosomal-protein-alanine N-acetyltransferase) (EC 2.3.1.128)	 	+ 	 	+ 
YRAR_ECOLI	C6EH73	A	NAD-dependent epimerase/dehydratase (Predicted nucleoside-diphosphate-sugar epimerase)	 	+ 	 	+ 
YHBJ_ECOLI	C6EH22	A	UPF0042 nucleotide-binding protein yhbJ	 	+ 	 	+ 
SSPB_ECOLI	C6EH04	A	ClpXP protease specificity-enhancing factor (Stringent starvation protein B)	 	+ 	 	+ 
RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	 	+ 	 	+ 
RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	 	+ 	 	+ 
ILVE_ECOLI	C6EG41	A	Branched-chain amino acid aminotransferase	 	+ 	 	+ 
OMPR_ECOLI	C6EFG9	A	"Two component transcriptional regulator, winged helix family"	 	+ 	 	+ 
UBIE_ECOLI	C6EF63	A	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	 	+ 	 	+ 
HEMG_ECOLI	C6EF48	A	"Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)"	 	+ 	 	+ 
HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	 	+ 	 	+ 
RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	 	+ 	 	+ 
RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	 	+ 	 	+ 
RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	 	+ 	 	+ 
RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	 	+ 	 	+ 
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	 	+ 	 	+ 
G3P1_ECOLI	C6EC50	A	"Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)"	 	+ 	 	+ 
DEOC_ECOLI	C6EBJ0	A	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	 	+ 	 	+ 
THRC_ECOLI	C6EBG5	A	Threonine synthase (EC 4.2.3.1)	 	+ 	 	+ 
TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	 	+ 	 	+ 
HIS8_ECOLI	C6EB64	A	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	 	+ 	 	+ 
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	 	+ 	 	+ 
RS20_ECOLI	C6EB30	A	30S ribosomal protein S20	 	+ 	 	+ 
PANC_ECOLI	C6EAS4	A	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	 	+ 	 	+ 
DAPD_ECOLI	C6EAB9	A	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)"	 	+ 	 	+ 
EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	 	+ 	 	+ 
ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	 	+ 	 	+ 
GLYA_ECOLI	C6EKF6	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	 	+ 	 	 
CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	 	+ 	 	 
SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	 	+ 	 	 
GPMA_ECOLI	C6EJI9	A	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)"	 	+ 	 	 
PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	 	+ 	 	 
AAT_ECOLI	C6EI54	A	"Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)"	 	+ 	 	 
GLRX2_ECOLI	C6EHE9	A	"Glutaredoxin 2 (Grx2) (Glutaredoxin, GrxB family)"	 	+ 	 	 
FABF_ECOLI	C6EHB9	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	 	+ 	 	 
HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	 	+ 	 	 
SLYD_ECOLI	C6EGB5	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
TNAA_ECOLI	C6EG95	A	"Tryptophanase (EC 4.1.99.1) (Tryptophanase/L-cysteine desulfhydrase, PLP-dependent) (EC 4.1.99.1)"	 	+ 	 	 
YIGA_ECOLI	C6EG04	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	 	+ 	 	 
TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	 	+ 	 	 
SODM_ECOLI	C6EEY9	A	Superoxide dismutase (EC 1.15.1.1)	 	+ 	 	 
K6PF1_ECOLI	C6EEY2	A	6-phosphofructokinase (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	 	+ 	 	 
OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	 	+ 	 	 
DBHA_ECOLI	C6EE18	A	"HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)"	 	+ 	 	 
ACEA_ECOLI	C6EE08	A	Isocitrate lyase	 	+ 	 	 
G6PI_ECOLI	C6EDZ9	A	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (Phosphohexose isomerase)	 	+ 	 	 
DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	 	+ 	 	 
YDHQ_ECOLI	C6ECT9	A	Putative uncharacterized protein (Putative uncharacterized protein ydhQ)	 	+ 	 	 
KPYK1_ECOLI	C6ECS9	A	Pyruvate kinase (EC 2.7.1.40)	 	+ 	 	 
PURA_ECOLI	C6ECH2	A	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	 	+ 	 	 
FKBB_ECOLI	C6ECD7	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
ALKH_ECOLI	C6EBX8	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	 	+ 	 	 
DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	 	+ 	 	 
6PGD_ECOLI	C6EB56	A	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	 	+ 	 	 
GCH1_ECOLI	C6EAG0	A	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	 	+ 	 	 
PYRH_ECOLI	C6EAB4	A	Uridylate kinase (EC 2.7.4.22)	 	+ 	 	 
YAFS_ECOLI	C6EA77	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	 	+ 	 	 
RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	 	 	+ 	+ 
LPXD_ECOLI	C6EAA6	A	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	 	 	+ 	+ 
MURC_ECOLI	C6EAW4	A	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	 	 	+ 	+ 
FRUR_ECOLI	C6EAX5	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	+ 	+ 
T1MK_ECOLI	C6EBN1	A	DNA methylase M (EC 2.1.1.72) (Site-specific DNA-methyltransferase (Adenine-specific)) (EC 2.1.1.72)	 	 	+ 	+ 
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	 	 	+ 	+ 
CFA_ECOLI	C6ECU2	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	 	 	+ 	+ 
EFP_ECOLI	C6ECX8	A	Elongation factor P	 	 	+ 	+ 
FUMA_ECOLI	C6EDN6	A	"Fumarate hydratase (Fumarase A), aerobic Class I (EC 4.2.1.2) (Hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit)"	 	 	+ 	+ 
AK2H_ECOLI	C6EE68	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	 	 	+ 	+ 
TYPA_ECOLI	C6EF30	A	GTP-binding protein (GTP-binding protein TypA)	 	 	+ 	+ 
AROB_ECOLI	C6EFI7	A	3-dehydroquinate synthase (EC 4.2.3.4)	 	 	+ 	+ 
TYRR_ECOLI	C6EFQ9	A	"DNA-binding transcriptional dual regulator, tyrosine-binding (Transcriptional regulator, TyrR)"	 	 	+ 	+ 
RNB_ECOLI	C6EFU6	A	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	 	 	+ 	+ 
RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	 	 	+ 	+ 
ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	 	 	+ 	+ 
ACCC_ECOLI	C6EGK4	A	"Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)"	 	 	+ 	+ 
ENGD_ECOLI	C6EGR3	A	GTP-binding protein YchF (Translation-associated GTPase)	 	 	+ 	+ 
RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	 	 	+ 	+ 
FABH_ECOLI	C6EHC3	A	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	 	 	+ 	+ 
HLDE_ECOLI	C6EHU3	A	Bifunctional protein hldE	 	 	+ 	+ 
LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	 	 	+ 	+ 
YCAO_ECOLI	C6EI77	A	Putative uncharacterized protein (Putative uncharacterized protein ycaO)	 	 	+ 	+ 
SPEA_ECOLI	C6EIH1	A	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	 	 	+ 	+ 
ODO1_ECOLI	C6EJL2	A	"2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)"	 	 	+ 	+ 
MIAB_ECOLI	C6EK34	A	Isopentenyl-adenosine A37 tRNA methylthiolase (tRNA-i(6)A37 thiotransferase enzyme MiaB)	 	 	+ 	+ 
UPP_ECOLI	C6EKL3	A	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	 	 	+ 	+ 
CLPX_ECOLI	C6EL27	A	ATP-dependent Clp protease ATP-binding subunit ClpX	 	 	+ 	+ 
THII_ECOLI	C6EL46	A	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein thiI) (tRNA 4-thiouridine synthase)	 	 	+ 	+ 
USG_ECOLI	C6ELD4	A	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) (Putative uncharacterized protein usg)	 	 	+ 	+ 
BGAL_ECOLI	C6ELN6	A	Beta-D-galactosidase (EC 3.2.1.23) (Beta-galactosidase) (EC 3.2.1.23)	 	 	+ 	+ 
PMBA_ECOLI	C6ECB4	A	Peptidase U62 modulator of DNA gyrase (Predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17)	 	 	+ 	 
CYTR_ECOLI	C6EDC8	A	"Transcriptional regulator, LacI family"	 	 	+ 	 
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	 	 	+ 	 
YQHC_ECOLI	C6EHY4	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)"	 	 	+ 	 
E4PD_ECOLI	C6EII2	A	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	 	 	+ 	 
GUTQ_ECOLI	C6EJS3	A	KpsF/GutQ family protein (EC 5.3.1.13) (Predicted phosphosugar-binding protein)	 	 	+ 	 
YAHF_ECOLI	C6ELR0	A	FdrA family protein (Predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain)	 	 	 	+ 
FRMA_ECOLI	C6ELM4	A	Alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase (S-(Hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase)	 	 	 	+ 
DXS_ECOLI	C6ELG4	A	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase)	 	 	 	+ 
YFBQ_ECOLI	C6ELG3	A	Aminotransferase class I and II (Aspartate aminotransferase)	 	 	 	+ 
ISPA_ECOLI	C6EL48	A	Geranyltranstransferase (EC 2.5.1.1) (EC 2.5.1.10) (Polyprenyl synthetase)	 	 	 	+ 
CLPP_ECOLI	C6EL28	A	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	 	 	 	+ 
PUR7_ECOLI	C6EKN5	A	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	 	 	 	+ 
