Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category 	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
YBBO_ECOLI	P0AFP4	C6EKX1	A	F1 This study	F1	This study	Short-chain dehydrogenase/reductase SDR	256		Y				short-chain oxiforeductase, oxidation-reduction process, NAD(P) binding	GO:0055114			1221					0,012209	1220,9
YDIJ_ECOLI	P77748	C6ECR9	A	F1 This study	F1	This study	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	Y	Y				Contains 1 4Fe-4S ferredoxin-type domain, Contains 1 FAD-binding PCMH-type domain/oxiforeductase/electron carrier activity?				381					0,0038136	381,36
GLPD_ECOLI	P13035	C6EFE8	F1	 curated		curated	FAD dependent oxidoreductase	501	Y	Y		cytoplasm		oxidation-reduction process|glycerol metabolic process	GO:0006071|GO:0055114			1231	6,38E-01	2,23E+02	12,77	558,02	0,029121	2912,1
6PGD_ECOLI	P00350	C6EB56	A	F1? This study	F1?	This study	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468	Y					oxidation-reduction process|D-gluconate metabolic process|pentose-phosphate shunt	GO:0006098|GO:0019521|GO:0055114			5196	8,18E+02	1,42E+04	78,43	1366,35	0,00021234	21,234
RIR1_ECOLI	P00452	C6E9W7	A	F1? This study	F1?	This study	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)/Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides.	761	Y			cytoplasm		oxidation-reduction process|nucleobase, nucleoside and nucleotide interconversion|deoxyribonucleotide biosynthetic process|DNA replication|metabolic process	GO:0009263|GO:0008152|GO:0006260|GO:0055114|GO:0015949			3749	9,72E+00	1,08E+03	6,15	275	0,098918	9891,8
NUOF_ECOLI	P31979	C6E9R8	F1	 curated		curated	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	445	Y	Y		plasma membrane		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			397	3,64E+00	6,13E+02	4,38	197,75	0,0038072	380,72
NUOG_ECOLI	P33602	C6E9R9	F1	 curated		curated	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y		cytoplasm::plasma membrane		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			873	4,04E+00	6,52E+02	8,57	379,07	0,015867	1586,7
NUOI_ECOLI	P0AFD6	C6E9S1	F1	 curated		curated	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	Y	Y		plasma membrane		oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			277			6	276,96		
NUOCD_ECOLI	P33599	C6E9R6	F1	 curated		curated	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	600	Y	Y		cytoplasm::plasma membrane	transport	oxidation-reduction process|transport|metabolic process|anaerobic respiration	GO:0006810|GO:0008152|GO:0009061|GO:0055114			800	2,92E+00	5,40E+02	13,53	590,19	0,012685	1268,5
DHNA_ECOLI	P00393	C6EGY3	F1	 curated		curated	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	Y	Y			transport	oxidation-reduction process|transport|aerobic electron transport chain|electron transport chain|aerobic respiration	GO:0006810|GO:0019646|GO:0022900|GO:0055114|GO:0009060			1089	3,22E+00	5,71E+02	4,74	213,48	0,024811	2481,1
NUOB_ECOLI	P0AFC7	C6E9R5	F1	 curated		curated	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	220	Y			plasma membrane		oxidation-reduction process|electron transport coupled proton transport|transport|anaerobic respiration|aerobic respiration	GO:0006810|GO:0015990|GO:0009061|GO:0055114|GO:0009060			1072	9,00E+00	1,04E+03	4,41	199,06	0,019762	1976,2
YGAF_ECOLI	P37339	C6EJW5	B	 			FAD dependent oxidoreductase (Predicted enzyme)	422		Y		cytoplasm		oxidation-reduction process	GO:0055114									
NUOH_ECOLI	P0AFD4	C6E9S0	B	 			NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325		Y				oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060			61			1,31	61,36		
NUOJ_ECOLI	P0AFE0	C6E9S2	B	 			NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184		Y				oxidation-reduction process|anaerobic respiration	GO:0009061|GO:0055114									
NUOL_ECOLI	P33607	C6E9S4	B	 			NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613		Y				oxidation-reduction process	GO:0055114									
NUOA_ECOLI	P0AFC3	C6E9R4	B	 			NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	Y	Y				oxidation-reduction process|transport|anaerobic respiration	GO:0006810|GO:0009061|GO:0055114			2757	9,00E+00	1,04E+03	3,64	165,27	0,070659	7065,9
NUOK_ECOLI	P0AFE4	C6E9S3	B	 			NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	Y	Y				oxidation-reduction process|transport|anaerobic respiration	GO:0006810|GO:0009061|GO:0055114									
MQO_ECOLI	P33940	C6E9Y9	F1	 curated		curated	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	548	Y					oxidation-reduction process|tricarboxylic acid cycle	GO:0006099|GO:0055114			72	2,02E-01	1,14E+02	0,64	30,64		
CYDA_ECOLI	P0ABJ9	C6EJK5	B	 			Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)	522	Y	Y		plasma membrane	transport	oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	GO:0006810|GO:0022900|GO:0017004|GO:0055114			6813	2,73E+00	5,18E+02	3,64	165,27	0,19755	19755
CYOA_ECOLI	P0ABJ1	C6EL34	B	 			Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	Y	Y			transport	oxidation-reduction process|transport|aerobic electron transport chain|electron transport chain	GO:0006810|GO:0019646|GO:0022900|GO:0055114			638	6,74E+00	8,77E+02	9	398		
CYDB_ECOLI	P0ABK2	C6EJK4	B	 			Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379		Y		plasma membrane	transport	oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	GO:0006810|GO:0022900|GO:0017004|GO:0055114			389	3,64E+00	6,13E+02	3,64	165,27		
ATPases				 																				
YHCM_ECOLI	P64612	C6EH00	A	F1 This study	F1	This study	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y				nucleotide binding|ATP binding, AFG1 ATPase family (includes Sec18 and PAS1)	GO:0005524|GO:0000166									
CYSA_ECOLI	P16676	C6EL55	F1	 curated		curated	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	Y	Y		plasma membrane	transport	sulfate transport|transport	GO:0006810|GO:0008272									
