	DNA binding proteins																	Mean Abundance (molecules per cell)	emPAI	emPAI-derived copy no/cell	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P0A7K2	RL7_ECOLI	P0A7K2	C6EE33	A	F1	This study	50S ribosomal protein L7/L12	121	Y	Y			translation					3058290	2,51E+07	5,76E+06	9,999	356580,75			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0A7K2&sort=score")
P0AG51	RL30_ECOLI	P0AG51	C6EGG4	A	F1	This study	50S ribosomal protein L30	59	Y			ribosome	translation					868187	3,16E+06	1,73E+06	157,49	6374,36			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AG51&sort=score")
P0A7N4	RL32_ECOLI	P0A7N4	C6EHC5	A	F1	This study	50S ribosomal protein L32	57	Y			ribosome	translation					28570	4,64E+03	3,90E+04	463,16	18139,54			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0A7N4&sort=score")
P68191	SRA_ECOLI	P68191	C6EEN7	A	F1	This study	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45	Y			ribosome	translation					326440	9,90E+01	4,18E+03			6,487	648700	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P68191&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Transport																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P39285	YJEP_ECOLI	P39285	C6ECW6	B			MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107		Y		plasma membrane	transmembrane transport::transport												=HYPERLINK("http://www.uniprot.org/uniprot/?query=P39285&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Protein Translocation																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Unknown																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P16917	RHSB_ECOLI	P16917	C6EF92	A	F1	This study	RhsB element core protein RshB (YD repeat protein)	1411		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P16917&sort=score")
P0AAS0	YLAC_ECOLI	P0AAS0	C6EL06	B			Predicted inner membrane protein (Putative uncharacterized protein)	156		Y								136			2,98	136,13			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AAS0&sort=score")
P64429	YPFJ_ECOLI	P64429	C6EKN6	B			Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P64429&sort=score")
P64585	YQJE_ECOLI	P64585	C6EHP4	B			Conserved inner membrane protein (Putative uncharacterized protein)	134		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P64585&sort=score")
P39270	YJDF_ECOLI	P39270	C6ED03	B			Conserved inner membrane protein (Putative uncharacterized protein)	209		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P39270&sort=score")
P37615	YHHM_ECOLI	P37615	C6EFA7	B			Putative receptor	119		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37615&sort=score")
P0ADQ7	YGAM_ECOLI	P0ADQ7	C6EJV3	B			Putative uncharacterized protein	109	Y	Y								64			1,37	64,08			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADQ7&sort=score")
P75870	YCCS_ECOLI	P75870	C6EI21	B			Putative uncharacterized protein	720		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P75870&sort=score")
P0AEH5	ELAB_ECOLI	P0AEH5	C6E9T3	B			Putative uncharacterized protein (Putative uncharacterized protein elaB)	101	Y	Y								12356	2,16E+00	4,53E+02	0,78	37,12	0,36578	36578	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AEH5&sort=score")
P0AFY2	SANA_ECOLI	P0AFY2	C6EAG8	B			Putative uncharacterized protein (Putative uncharacterized protein sanA)	239		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AFY2&sort=score")
P0AGC7	SMP_ECOLI	P0AGC7	C6EBI4	B			Putative uncharacterized protein (Putative uncharacterized protein smp)	214	Y	Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AGC7&sort=score")
P76576	YFGM_ECOLI	P76576	C6EKJ6	B			Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	Y	Y								239	1,78E+00	4,05E+02	1,58	73,59			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P76576&sort=score")
P0ADL3	YICN_ECOLI	P0ADL3	C6EDA6	B			Putative uncharacterized protein (Putative uncharacterized protein yicN)	150		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADL3&sort=score")
P64581	YQJD_ECOLI	P64581	C6EHP5	B			Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	Y	Y								14223	1,68E+01	1,49E+03	12,89	563,11	0,40617	40617	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P64581&sort=score")
P64499	YEBO_ECOLI	P64499	C6EC05	B			Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	Y	Y								136			2,98	136,13			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P64499&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Various Not yet classified																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P0AC92	GNSA_ECOLI	P0AC92	C6EHL6	A	F1?	This study	GnsAGnsB family protein (Predicted regulator of phosphatidylethanolamine synthesis)	57	Y									1040	9,00E+00	1,04E+03					=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AC92&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P62768	YAEH_ECOLI	P62768	C6EAC1	A	F1?	This study	UPF0325 protein yaeH	128	Y									3919	6,20E+00	8,35E+02	9	398	0,10524	10524	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P62768&sort=score")
P0AAT6	YBEB_ECOLI	P0AAT6	C6EK56	A	F1?	This study	Iojap-related protein (Putative uncharacterized protein ybeB)	105	Y			cytoplasm						2338	9,00E+00	1,04E+03	9	398	0,055747	5574,7	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AAT6&sort=score")
P0ADE6	YGAU_ECOLI	P0ADE6	C6EJW0	A	F1?	This study	Contains Peptidoglycan-binding LysM and phospholipid binding Bon domain/No signal peptide/F2?F1?	149	Y									234	1,85E+00	4,14E+02	1,15	54,08			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADE6&sort=score")
P38521	YGGL_ECOLI	P38521	C6EIF1	A	F1?	This study	Putative uncharacterized protein (Putative uncharacterized protein yggL)	108	Y									401	3,64E+00	6,13E+02	4,18	188,99			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P38521&sort=score")
P0ADN2	YIFE_ECOLI	P0ADN2	C6EG45	A	F1?	This study	Putative uncharacterized protein (Putative uncharacterized protein yifE)	112	Y									7932	6,80E+02	1,28E+04	73,99	3064,53			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADN2&sort=score")
P0A8X0	YJGA_ECOLI	P0A8X0	C6ECB5	A	F1?	This study	UPF0307 protein yjgA	183	Y			cytoplasm						1606	3,06E+01	2,11E+03	2,16	99,64	0,026091	2609,1	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0A8X0&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P75829	YBJX_ECOLI	P75829	C6EIA4	F1		curated	Putative uncharacterized protein (Putative uncharacterized protein ybjX)	330		Y								259			3,33	152	0,003654	365,4	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P75829&sort=score")
																									=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P28306	YCEG_ECOLI	P28306	C6EHB7	B			Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	340		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P28306&sort=score")
P28249	ASMA_ECOLI	P28249	C6EAP3	B			AsmA family protein (Predicted assembly protein)	617		Y								69					0,00069466	69,466	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P28249&sort=score")
P37645	YHJG_ECOLI	P37645	C6EEF9	B			AsmA family protein (Predicted outer membrane biogenesis protein)	691		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37645&sort=score")
P31433	YICH_ECOLI	P31433	C6EDD4	B			AsmA family protein (Putative uncharacterized protein yicH)	569		Y								76					0,00076455	76,455	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P31433&sort=score")
P0AA53	QMCA_ECOLI	P0AA53	C6EKX5	B			Band 7 protein (Predicted protease, membrane anchored)	305		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AA53&sort=score")
P39396	YJIY_ECOLI	P39396	C6EBM6	B			Carbon starvation protein CstA (Predicted inner membrane protein)	716	Y	Y		plasma membrane						2027	8,48E-01	2,63E+02	2,59	118,82	0,056983	5698,3	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P39396&sort=score")
P37659	YHJU_ECOLI	P37659	C6EEE5	B			Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559		Y								15			0,33	16,12	0,00013216	13,216	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37659&sort=score")
P0ABP6	DEDA_ECOLI	P0ABP6	C6ELD6	B			Conserved inner membrane protein	219		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ABP6&sort=score")
P0AB12	YCCF_ECOLI	P0AB12	C6EI20	B			Conserved inner membrane protein (Putative uncharacterized protein)	148		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AB12&sort=score")
P0ACV4	YCIS_ECOLI	P0ACV4	C6EFV5	B			Conserved inner membrane protein (Putative uncharacterized protein)	102		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ACV4&sort=score")
P0AF54	YJCH_ECOLI	P0AF54	C6ED57	B			Conserved inner membrane protein involved in acetate transport (Putative uncharacterized protein)	104		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AF54&sort=score")
P75822	YBJT_ECOLI	P75822	C6EIB2	B			Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P75822&sort=score")
P23842	YFEA_ECOLI	P23842	C6EL75	B			Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	729		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P23842&sort=score")
P37649	YHJK_ECOLI	P37649	C6EEF4	B			Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649		Y		plasma membrane	signal transduction												=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37649&sort=score")
P76446	RTN_ECOLI	P76446	C6EA21	B			Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518		Y								389					0,0038853	388,53	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P76446&sort=score")
P15286	FLK_ECOLI	P15286	C6ELD2	B			Flagella assembly protein (Predicted flagella assembly protein)	331		Y								13			0,26	12,79			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P15286&sort=score")
P0AEC0	YOAE_ECOLI	P0AEC0	C6EC15	B			Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	518		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AEC0&sort=score")
P76389	YEGH_ECOLI	P76389	C6EAP4	B			Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527		Y								275					0,0027537	275,37	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P76389&sort=score")
P37147	FXSA_ECOLI	P37147	C6ECY5	B			FxsA cytoplasmic membrane protein (Inner membrane protein)	158		Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37147&sort=score")
	Null		C6ECH4	B			HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	334	Y	Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P45537	YHFK_ECOLI	P45537	C6EGA5	B			Integral membrane protein, YccS/YhfK family	696		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P45537&sort=score")
P45800	IGAA_ECOLI	P45800	C6EFH7	B			Intracellular growth attenuator IgaA	707	Y	Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P45800&sort=score")
P77549	YFCJ_ECOLI	P77549	C6ELD1	B			Major facilitator superfamily MFS_1 (Predicted transporter)	392		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P77549&sort=score")
P43671	PQIB_ECOLI	P43671	C6EI31	B			Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546		Y		plasma membrane						75	4,45E-01	1,81E+02	0,23	11,36	0,00031571	31,571	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P43671&sort=score")
P76272	YEBT_ECOLI	P76272	C6EBZ5	B			Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877		Y								94	1,45E-01	9,43E+01					=HYPERLINK("http://www.uniprot.org/uniprot/?query=P76272&sort=score")
	Null		C6EB50	B			O antigen polymerase (Wzy) (Putative uncharacterized protein)	391		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Null		C6EFS7	B			Phage shock protein B	74	Y	Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
P37626	YHII_ECOLI	P37626	C6EEJ7	B			Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	355	Y	Y								80	3,34E-01	1,53E+02	1,29	60,45	0,00025724	25,724	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P37626&sort=score")
P0AD27	YEJM_ECOLI	P0AD27	C6EA09	B			Predicted hydrolase, inner membrane (Sulfatase)	586		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AD27&sort=score")
P0AE45	YTFL_ECOLI	P0AE45	C6ECC7	B			Predicted inner membrane protein (Putative uncharacterized protein)	447	Y	Y								389			0,31	15,17	0,0076349	763,49	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AE45&sort=score")
P77307	YBBM_ECOLI	P77307	C6EKX3	B			Predicted inner membrane protein (Putative uncharacterized protein)	259		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P77307&sort=score")
P0AFS7	YDIK_ECOLI	P0AFS7	C6ECR8	B			Predicted inner membrane protein (Putative uncharacterized protein)	370		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AFS7&sort=score")
P0AE14	AMPE_ECOLI	P0AE14	C6EAU6	B			Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AE14&sort=score")
P55734	YGAP_ECOLI	P55734	C6EJV7	B			Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	174		Y								4351					0,043509	4350,9	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P55734&sort=score")
P0AG27	YIBN_ECOLI	P0AG27	C6EDH8	B			Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	Y	Y								902	9,00E+00	1,04E+03	18,31	791,36	0,0087534	875,34	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AG27&sort=score")
P0ADT8	YGIM_ECOLI	P0ADT8	C6EHU0	B			Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	Y	Y								150	7,78E-01	2,50E+02	1,03	49			=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADT8&sort=score")
P0AF43	YJBB_ECOLI	P0AF43	C6EE04	B			Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543	Y	Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0AF43&sort=score")
P0ADZ7	YAJC_ECOLI	P0ADZ7	C6ELH7	B			Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	Y	Y		plasma membrane						46644	2,05E+01	1,68E+03	30,62	1302,81	1,3695	136950	=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0ADZ7&sort=score")
P76185	YDHJ_ECOLI	P76185	C6EDK1	B			Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	285		Y															=HYPERLINK("http://www.uniprot.org/uniprot/?query=P76185&sort=score")
P0A8R7	YCJF_ECOLI	P0A8R7	C6EFR0	B			UPF0283 membrane protein ycjF	353	Y	Y		plasma membrane													=HYPERLINK("http://www.uniprot.org/uniprot/?query=P0A8R7&sort=score")
