Merge ID	Biological Process (Uniprot)	Biological Process (EcoCyc)	Biological Process (EcoliWiki)	Molecular Function (Uniprot)	Molecular Function(EcoCyc)	Molecular Function (EcoliWiki)	Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
P0AES6	response to antibiotic		DNA topological change|response to drug|DNA-dependent DNA replication	DNA-dependent ATPase activity|DNA topoisomerase (ATP-hydrolyzing) activity|DNA binding|ATP binding	isomerase activity|DNA topoisomerase activity|DNA topoisomerase (ATP-hydrolyzing) activity|nucleotide binding|ATP binding		GYRB_ECOLI	P0AES6	C6ECI0	A	F1?	This study	DNA gyrase subunit B (EC 5.99.1.3)	804	Y					response to antibiotic|DNA topological change|response to drug|DNA-dependent DNA replication	GO:0046677|GO:0042493|GO:0006261|GO:0006265			2385	2,57E+00	5,01E+02	12,34	540	0,061127	6112,7
P00957	translation	alanyl-tRNA aminoacylation|negative regulation of transcription, DNA-dependent			alanine-tRNA ligase activity|tRNA binding|aminoacyl-tRNA editing activity|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding	alanine-tRNA ligase activity|zinc ion binding	SYA_ECOLI	P00957	C6EJT4	A	F1?	This study	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	Y			cytoplasm	translation	alanyl-tRNA aminoacylation|translation|negative regulation of transcription, DNA-dependent	GO:0045892|GO:0006412|GO:0006419			1842	2,39E+01	1,83E+03	6,16	275,23	0,034219	3421,9
P00959	translation				methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding		SYM_ECOLI	P00959	C6EAJ7	A	F1?	This study	Methionyl-tRNA synthetase	677	Y					Methionyl-tRNA synthetase/translation	GO:0006412			1642	1,42E+01	1,35E+03	9	398	0,031792	3179,2
P0A8M0	translation		glutamine metabolic process|cellular amino acid catabolic process|asparagine biosynthetic process	asparaginase activity|amino acid binding|asparagine synthase (glutamine-hydrolyzing) activity|ATP binding	asparagine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding		SYN_ECOLI	P0A8M0	C6EI52	A	F1?	This study	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	Y			cytoplasm	translation	glutamine metabolic process|cellular amino acid catabolic process|translation|asparagine biosynthetic process	GO:0006541|GO:0009063|GO:0006529|GO:0006412			1273	3,22E+01	2,18E+03	8,26	365,77		
P16659	translation		prolyl-tRNA aminoacylation	proline-tRNA ligase activity	proline-tRNA ligase activity|Ala-tRNA(Pro) hydrolase activity|aminoacyl-tRNA ligase activity|nucleotide binding|ATP binding|ligase activity		SYP_ECOLI	P16659	C6EA90	A	F1?	This study	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	Y			cytosol	translation	prolyl-tRNA aminoacylation|translation	GO:0006433|GO:0006412			1563	3,68E+01	2,35E+03	17,96	776,69		
P0AGJ9	translation				RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding		SYY_ECOLI	P0AGJ9	C6EDK8	A	F1?	This study	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y			cytosol	translation	Tyrosyl-tRNA synthetase/translation	GO:0006412			1072	1,95E+01	1,63E+03	11,74	514,33		
P0A6B7	tRNA processing	oxazole or thiazole biosynthetic process|iron-sulfur cluster assembly|tRNA pseudouridine synthesis	tRNA pseudouridine synthesis	selenocysteine lyase activity|cysteine desulfurase activity	transferase activity|cysteine desulfurase activity	pyridoxal phosphate binding|selenocysteine lyase activity|cysteine desulfurase activity	ISCS_ECOLI	P0A6B7	C6EKH7	A	F1?	This study	Cysteine desulfurase (EC 2.8.1.7)	404	Y			cytoplasm		tRNA processing|oxazole or thiazole biosynthetic process|iron-sulfur cluster assembly|tRNA pseudouridine synthesis	GO:0031119|GO:0016226|GO:0018131|GO:0008033			12785	7,84E+01	3,65E+03	18,57	802,26	0,33902	33902
P0AGJ5	methylation				methyltransferase activity|transferase activity		YFIF_ECOLI	P0AGJ5	C6EK05	A	F1?	This study	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y					methylation	GO:0032259			385	1,28E+00	3,33E+02	1,87	86,65	0,0073575	735,75
P0AD42			tRNA wobble adenosine to inosine editing	tRNA-specific adenosine deaminase activity			YFHB_ECOLI	P0AD42	C6EK28	B			HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y				tRNA wobble adenosine to inosine editing	GO:0002100									
P0AG30	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent		transcriptional attenuation		hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		RHO_ECOLI	P0AG30	C6EG30	A	F1	This study	Transcription termination factor Rho	419	Y	Y				regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcriptional attenuation|transcription termination, DNA-dependent	GO:0006353|GO:0031555|GO:0006355|GO:0006351			31519	1,11E+02	4,45E+03	33,33	1414,45	0,88692	88692
P0AFF6	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress		transcription antitermination		RNA binding		NUSA_ECOLI	P0AFF6	C6EH56	A	F1?	This study	NusA antitermination factor (Transcription elongation factor NusA)/binds to Rho	495	Y			cytoplasm	response to stress	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress	GO:0006353|GO:0031564|GO:0006355|GO:0006950|GO:0006351			7426	4,12E+01	2,51E+03	29,39	1252,04	0,18517	18517
P0AFG0	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent						NUSG_ECOLI	P0AFG0	C6EE37	A	F1?	This study	Transcription antitermination protein nusG/binds to Rho	181	Y					transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent	GO:0006353|GO:0031564|GO:0006355|GO:0006351			1044	1,90E+01	1,60E+03	11,12	487,98		
P0AG30	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent		transcriptional attenuation		hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		RHO_ECOLI	P0AG30	C6EG30	A	F1?	This study	Transcription termination factor Rho	419	Y	Y				regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcriptional attenuation|transcription termination, DNA-dependent	GO:0006353|GO:0031555|GO:0006355|GO:0006351			31519	1,11E+02	4,45E+03	33,33	1414,45	0,88692	88692
P0A8J8					hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		RHLB_ECOLI	P0A8J8	C6EG33	A	F1	This study	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)/RNA degradasome component	421	Y	Y				hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding	GO:0003723|GO:0016787|GO:0005524|GO:0000166|GO:0004386			660	7,30E-01	2,41E+02	1,21	56,81	0,016836	1683,6
P25888				ATP-dependent RNA helicase activity	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		RHLE_ECOLI	P25888	C6EIY5	A	F1?	This study	DEAD/DEAH box helicase domain protein (RNA helicase)/RNA degradasome component	454	Y					hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding	GO:0003723|GO:0016787|GO:0004004|GO:0005524|GO:0000166|GO:0004386			186	4,68E-01	1,86E+02				
P0A6P9	glycolysis		glycolysis	phosphopyruvate hydratase activity|protein binding|magnesium ion binding	phosphopyruvate hydratase activity|lyase activity|metal ion binding		ENO_ECOLI	P0A6P9	C6EJ93	A	F1?	This study	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)/Component of the RNA degradosome. The covalent binding to the substrate at Lys-342 causes inactivation of the enzyme, and possibly serves as a signal for the export of the protein. Interacts with the endoribonuclease RNase E in the RNA degradosome. Part of the bacterial cytoskeleton.	432	Y			cytoskeleton::cytosol::extracellular region		glycolysis	GO:0006096			28937	8,58E+03	5,58E+04	45,42	5949,64	0,2506	25060
P43329			mRNA processing	helicase activity	hydrolase activity|helicase activity|nucleotide binding|ATP binding		HRPA_ECOLI	P43329	C6EEV0	A	F1?	This study	ATP-dependent helicase HrpA/RNA degradasome component	1300	Y				mRNA processing	mRNA processing	GO:0006397			257	1,71E-01	1,04E+02			0,0041088	410,88
P25888				ATP-dependent RNA helicase activity	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		RHLE_ECOLI	P25888	C6EIY6	A	F1?	This study	DEAD/DEAH box helicase domain protein (RNA helicase)/RNA degradasome component	1574,666667	Y					hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding	GO:0003723|GO:0016787|GO:0004004|GO:0005524|GO:0000166|GO:0004387			18615	2,86E+03	1,86E+04				
P21499	pathogenesis|response to stress				hydrolase activity|RNA binding|exoribonuclease II activity|exonuclease activity|nuclease activity		RNR_ECOLI	P21499	C6ECH0	A	F1?	This study	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813	Y					pathogenesis|response to stress	GO:0006950|GO:0009405			1323	9,62E-01	2,83E+02	1,09	51,34	0,036361	3636,1
P05055	response to stress				polyribonucleotide nucleotidyltransferase activity|RNA binding|transferase activity|nucleotidyltransferase activity		PNP_ECOLI	P05055	C6EH61	F1		curated	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)/RNA degradosome subunit	711	Y					response to stress	GO:0006950			15125	1,69E+02	5,70E+03	10,84	476,06	0,39199	39199
P21513			RNA catabolic process		hydrolase activity|RNA binding|nuclease activity|endonuclease activity		RNE_ECOLI	P21513	C6EHC9	F1		curated	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	Y	Y		cytoplasm		RNA catabolic process	GO:0006401			366	2,36E+00	4,77E+02	5,71	255,72		
P0A9P6	response to stress		ribosomal large subunit assembly|cellular response to cold	RNA helicase activity|ATP-dependent RNA helicase activity	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding		DEAD_ECOLI	P0A9P6	C6EH63	A	F1?	This study	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	Y					ribosomal large subunit assembly|cellular response to cold|response to stress	GO:0006950|GO:0000027|GO:0070417			1761	2,77E+01	1,99E+03	7	307,23	0,029853	2985,3
P75957	transport		lipoprotein transport	lipoprotein transporter activity	hydrolase activity|nucleotide binding|ATP binding		LOLD_ECOLI	P75957	C6EGX5	F1		curated	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y				transport|lipoprotein transport	GO:0006810|GO:0042953			882	7,78E-01	2,50E+02	0,47	22,71	0,023721	2372,1
P09373	glucose metabolic process|carbohydrate metabolic process				formate C-acetyltransferase activity|transferase activity|acyltransferase activity		PFLB_ECOLI	P09373	C6EK07	A	F1?	This study	Autonomous glycyl radical cofactor	127	Y			cytoplasm	carbohydrate metabolic process	glucose metabolic process|carbohydrate metabolic process	GO:0006006|GO:0005975			7459	6,21E+02	1,21E+04	19,59	641,14	0,096355	9635,5
P09373	glucose metabolic process|carbohydrate metabolic process				formate C-acetyltransferase activity|transferase activity|acyltransferase activity		PFLB_ECOLI	P09373	C6EI79	A	F1?	This study	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	Y			cytoplasm	carbohydrate metabolic process					7459	6,21E+02	1,21E+04	19,59	641,14	0,096355	9635,5
P25741	lipopolysaccharide biosynthetic process|phosphorylation			kinase activity	transferase activity|nucleotide binding|kinase activity|ATP binding		RFAP_ECOLI	P25741	C6EDG1	A	F1	This study	Lipopolysaccharide kinase	265		Y				lipopolysaccharide biosynthetic process|phosphorylation	GO:0009103|GO:0016310			11			0,23	11,36		
P76472	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process		response to iron(III) ion		hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides		ARND_ECOLI	P76472	C6E9U4	A	F1	This study	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y			carbohydrate metabolic process	response to antibiotic|response to iron(III) ion|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process	GO:0046677|GO:0009103|GO:0010041|GO:0008610|GO:0009245									
P25742	lipopolysaccharide biosynthetic process				transferase activity, transferring glycosyl groups|transferase activity		RFAQ_ECOLI	P25742	C6EDF9	A	F1	This study	Lipopolysaccharide heptosyltransferase III	340		Y				lipopolysaccharide biosynthetic process	GO:0009103									
P37692	lipopolysaccharide biosynthetic process			transferase activity, transferring glycosyl groups	transferase activity, transferring glycosyl groups|transferase activity		RFAF_ECOLI	P37692	C6EDH0	A	F1?	This study	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	Y					lipopolysaccharide biosynthetic process	GO:0009103			94	3,34E-01	1,53E+02	0,72	34,35		
P27836					transferase activity, transferring glycosyl groups|transferase activity		WECG_ECOLI	P27836	C6EG17	A	F1	This study	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246		Y			biosynthetic process	transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0016740									
P27247	phospholipid biosynthetic process				transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity		PLSX_ECOLI	P27247	C6EHC4	A	F1	This study	Fatty acid/phospholipid synthesis protein PlsX	346		Y		cytoplasm		phospholipid biosynthetic process	GO:0008654			790					0,0079041	790,41
P76503	fatty acid metabolic process|lipid catabolic process|lipid metabolic process				transferase activity|acetyl-CoA C-acyltransferase activity|acyltransferase activity		FADI_ECOLI	P76503	C6ELB2	A	F1	This study	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	Y	Y		cytoplasm	lipid metabolic process::transport	fatty acid metabolic process|lipid catabolic process|lipid metabolic process	GO:0016042|GO:0006631|GO:0006629			128	2,45E-01	1,28E+02				
P0A9Q5	lipid biosynthetic process|fatty acid biosynthetic process|regulation of translation		negative regulation of translation|fatty acid biosynthetic process	mRNA binding|DNA binding|zinc ion binding	acetyl-CoA carboxylase activity|RNA binding|nucleotide binding|metal ion binding|ATP binding|ligase activity		ACCD_ECOLI	P0A9Q5	C6ELD7	A	F1	This study	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y		cytosol		lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation	GO:0017148|GO:0006633|GO:0006417|GO:0008610			680	5,81E+00	8,05E+02	12,69	554,63		
P77399	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process				isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|catalytic activity|3-hydroxyacyl-CoA dehydrogenase activity		FADJ_ECOLI	P77399	C6ELB3	A	F1	This study	Fatty acid oxidation complex subunit alpha	714	Y	Y		cytoplasm	lipid metabolic process	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629			94					0,00093785	93,785
P21177	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process				isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|3-hydroxyacyl-CoA dehydrogenase activity|catalytic activity|dodecenoyl-CoA delta-isomerase activity		FADB_ECOLI	P21177	C6EF52	A	F1?	This study	Fatty acid oxidation complex subunit alpha	729	Y				lipid metabolic process	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629			49			0,19	9,44	0,00088655	88,655
P0ACB4	oxidation-reduction process|porphyrin biosynthetic process		heme biosynthetic process	oxygen-dependent protoporphyrinogen oxidase activity|FMN binding|menaquinone-dependent protoporphyrinogen oxidase activity	oxidoreductase activity		HEMG_ECOLI	P0ACB4	C6EF48	A	F1	This study	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	Y	Y				oxidation-reduction process|heme biosynthetic process|porphyrin biosynthetic process	GO:0055114|GO:0006783|GO:0006779									
P23871	heme biosynthetic process|porphyrin biosynthetic process		protoporphyrinogen IX metabolic process|heme biosynthetic process|response to light stimulus	ferrochelatase activity	lyase activity|ferrochelatase activity|metal ion binding		HEMH_ECOLI	P23871	C6EKY9	A	F1	This study	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y		cytoplasm		protoporphyrinogen IX metabolic process|heme biosynthetic process|response to light stimulus|porphyrin biosynthetic process	GO:0046501|GO:0009416|GO:0006783|GO:0006779			20					0,00020451	20,451
P0AFP4	oxidation-reduction process				oxidoreductase activity		YBBO_ECOLI	P0AFP4	C6EKX1	A	F1	This study	Short-chain dehydrogenase/reductase SDR	256		Y				short-chain oxiforeductase, oxidation-reduction process, NAD(P) binding	GO:0055114			1221					0,012209	1220,9
