Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		BAES_ECOLI	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y			CH60_ECOLI	nucleotide binding|ATP binding
DBHA_ECOLI	C6EE18	A	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	Y			DBHA_ECOLI	DNA binding
RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	613	Y	Y		RPOD_ECOLI	sigma factor activity|DNA binding
ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y			ADD_ECOLI	hydrolase activity|adenosine deaminase activity|metal ion binding
SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444	Y			SRMB_ECOLI	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding
RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	130	Y	Y	ribosome	RS9_ECOLI	structural constituent of ribosome|RNA binding|tRNA binding
ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y		ARND_ECOLI	hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y			YFIF_ECOLI	methyltransferase activity|transferase activity
MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	Y	Y		MUKB_ECOLI	GTP binding|DNA binding|nucleotide binding|ATP binding
RNFB_ECOLI	C6EDL8	F1	Electron transport complex protein rnfB	192		Y		RNFB_ECOLI	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
FTSZ_ECOLI	C6EAW0	F1	Cell division protein ftsZ	383	Y	Y		FTSZ_ECOLI	protein binding|GTP binding|GTPase activity|nucleotide binding
SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	Y		translation	SYP_ECOLI	proline-tRNA ligase activity|Ala-tRNA(Pro) hydrolase activity|aminoacyl-tRNA ligase activity|nucleotide binding|ATP binding|ligase activity
ACCC_ECOLI	C6EGK4	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	Y			ACCC_ECOLI	biotin carboxylase activity|acetyl-CoA carboxylase activity|nucleotide binding|ligase activity|ATP binding
CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y			CARB_ECOLI	nucleotide binding|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|metal ion binding|ATP binding|ligase activity
ACKA_ECOLI	C6ELF7	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	Y			ACKA_ECOLI	transferase activity|acetate kinase activity|nucleotide binding|zinc ion binding|kinase activity|ATP binding
YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	256		Y		YBBO_ECOLI	oxidoreductase activity
YHCM_ECOLI	C6EH00	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y		YHCM_ECOLI	nucleotide binding|ATP binding
ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	404	Y			ISCS_ECOLI	pyridoxal phosphate binding|transferase activity|selenocysteine lyase activity|cysteine desulfurase activity
RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	103	Y		ribosome	RL21_ECOLI	RNA binding|rRNA binding
HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y		HEMH_ECOLI	lyase activity|ferrochelatase activity|metal ion binding
RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	340		Y		RFAQ_ECOLI	transferase activity, transferring glycosyl groups|transferase activity
FADB_ECOLI	C6EF52	A	Fatty acid oxidation complex subunit alpha	729	Y			FADB_ECOLI	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|3-hydroxyacyl-CoA dehydrogenase activity|catalytic activity|dodecenoyl-CoA delta-isomerase activity
PYRD_ECOLI	C6EI37	F1	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336		Y		PYRD_ECOLI	oxidoreductase activity|dihydroorotate dehydrogenase activity
AAT_ECOLI	C6EI54	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	Y			AAT_ECOLI	L-aspartate:2-oxoglutarate aminotransferase activity|pyridoxal phosphate binding|transaminase activity|transferase activity|protein homodimerization activity|kynurenine-oxoglutarate transaminase activity|L-tyrosine:2-oxoglutarate aminotransferase activity
RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	130	Y		regulation of translation	RS8_ECOLI	RNA binding|translation repressor activity|rRNA binding
ODO1_ECOLI	C6EJL2	A	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	Y			ODO1_ECOLI	oxoglutarate dehydrogenase (succinyl-transferring) activity|oxidoreductase activity
IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	94	Y		regulation of translation	IHFB_ECOLI	DNA binding
KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	Y			KBL_ECOLI	pyridoxal phosphate binding|transferase activity|glycine C-acetyltransferase activity|acyltransferase activity|ligase activity|metal ion binding
DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	928	Y			DPO1_ECOLI	hydrolase activity|transferase activity|DNA-directed DNA polymerase activity|DNA binding|exonuclease activity|nuclease activity|nucleotidyltransferase activity
RPOA_ECOLI	C6EGH1	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329	Y			RPOA_ECOLI	DNA-directed RNA polymerase activity|transferase activity|zinc ion binding|nucleotidyltransferase activity
SRP54_ECOLI	C6EJY2	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	Y	Y	"signal recognition particle, endoplasmic reticulum targeting ; ribonucleoprotein complex"	SRP54_ECOLI	RNA binding|GTP binding|GTPase activity|nucleotide binding
BETA_ECOLI	C6ELS0	F1	Choline dehydrogenase (EC 1.1.99.1)	556	Y			BETA_ECOLI	oxidoreductase activity|choline dehydrogenase activity
ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	258	Y			ARGB_ECOLI	transferase activity|nucleotide binding|ATP binding|acetylornithine deacetylase activity|cobalt ion binding|kinase activity|acetylglutamate kinase activity|zinc ion binding
IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	890	Y		translational initiation	IF2_ECOLI	GTP binding|nucleotide binding|translation initiation factor activity
RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	115	Y		ribosome	RL19_ECOLI	RNA binding|rRNA binding
RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	75	Y	Y	ribosome	RS18_ECOLI	RNA binding|rRNA binding
ODP2_ECOLI	C6EAU2	F1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12) (Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase) (EC 2.3.1.12)	630	Y			ODP2_ECOLI	dihydrolipoyllysine-residue acetyltransferase activity|transferase activity|acyltransferase activity
FIS_ECOLI	C6EGJ9	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y			FIS_ECOLI	sequence-specific DNA binding|DNA binding
RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	94	Y		ribosome	RL25_ECOLI	RNA binding|rRNA binding
SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	Y			SUCC_ECOLI	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	Y			HNS_ECOLI	DNA binding
TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	Y			TPX_ECOLI	oxidoreductase activity|peroxidase activity|thioredoxin peroxidase activity|hydroperoxide reductase activity|antioxidant activity
DAPD_ECOLI	C6EAB9	A	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	Y			DAPD_ECOLI	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity|transferase activity|acyltransferase activity
IHFA_ECOLI	C6ECP5	A	Integration host factor subunit alpha (IHF-alpha)	99	Y		regulation of translation	IHFA_ECOLI	DNA binding
ARCA_ECOLI	C6EBH0	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	Y			ARCA_ECOLI	two-component response regulator activity|DNA binding
RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	136	Y	Y	ribosome	RL16_ECOLI	RNA binding|rRNA binding|tRNA binding
RL29_ECOLI	C6EGF4	A	50S ribosomal protein L29	63	Y		ribosome	RL29_ECOLI	RNA binding|rRNA binding
RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	165	Y	Y	regulation of translation	RL10_ECOLI	RNA binding
ARGE_ECOLI	C6EE52	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	Y			ARGE_ECOLI	hydrolase activity|acetylornithine deacetylase activity|cobalt ion binding|zinc ion binding|metal ion binding
RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	179	Y	Y	ribosome	RL5_ECOLI	RNA binding|rRNA binding|tRNA binding
RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	Y	Y		RHLB_ECOLI	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	180	Y		translational initiation	IF3_ECOLI	ribosome binding|RNA binding|translation initiation factor activity
RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	89	Y		ribosome	RS15_ECOLI	structural constituent of ribosome|RNA binding|rRNA binding
