Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13
FADB_ECOLI	C6EF52_ECOBD	A	Fatty acid oxidation complex subunit alpha	729	1	1	1	2	2	3	2	2	3									
DEOD_ECOLI	C6EBI7_ECOBD	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	2	2	4	3	3	5	3	3	4									
YJGA_ECOLI	C6ECB5_ECOBD	A	UPF0307 protein yjgA	183	1	1	1	1	1	1	2	3	3									
ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	6	6	6	8	8	13	6	6	7									
DEOB_ECOLI	C6EBI8_ECOBD	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	3	3	5	4	4	6	5	5	7									
SUCC_ECOLI	C6EJL0_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	3	3	5	3	3	5	4	5	9									
RL3_ECOLI	C6EGE6_ECOBD	A	50S ribosomal protein L3	209	9	12	18	9	11	16	9	11	17									
ASPA_ECOLI	C6ECY6_ECOBD	A	Aspartate ammonia-lyase	478	4	5	5	5	6	13	5	6	10									
RS5_ECOLI	C6EGG3_ECOBD	A	30S ribosomal protein S5	167	8	10	22	7	8	19	7	8	20									
CARB_ECOLI	C6EB19_ECOBD	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	3	3	5	3	3	3	4	4	4									
KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	2	2	2	1	1	1	2	2	2									
RNR_ECOLI	C6ECH0_ECOBD	A	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813	4	4	6	4	4	6	7	8	11									
CH10_ECOLI	C6ECY3_ECOBD	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	3	3	6	2	2	6	3	3	6									
NUSA_ECOLI	C6EH56_ECOBD	A	NusA antitermination factor (Transcription elongation factor NusA)	495	1	1	2	3	3	4	8	8	11									
RS6_ECOLI	C6ECE9_ECOBD	A	30S ribosomal protein S6	131	5	5	7	6	6	8	6	7	9									
HFLX_ECOLI	C6ECH6_ECOBD	A	GTP-binding proten HflX (Predicted GTPase)	426				1	1	1	1	1	1									
ADD_ECOLI	C6EDM4_ECOBD	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	2	2	2	2	2	2	2	2	2									
RL4_ECOLI	C6EGE7_ECOBD	A	50S ribosomal protein L4	201	4	4	11	4	4	10	4	4	9									
DAPD_ECOLI	C6EAB9_ECOBD	A	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	2	2	4	3	3	4	3	4	6									
GLRX3_ECOLI	C6EDH9_ECOBD	A	Glutaredoxin 3	83	1	1	1	1	1	1	2	2	4									
RSMC_ECOLI	C6EBK1_ECOBD	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	1	1	1	2	2	2	2	2	2									
IF3_ECOLI	C6ECN9_ECOBD	A	Translation initiation factor IF-3	180	5	7	13	5	7	15	5	7	15									
HRPA_ECOLI	C6EEV0_ECOBD	A	ATP-dependent helicase HrpA	1300				1	1	2	2	2	3									
SYA_ECOLI	C6EJT4_ECOBD	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	5	5	7	5	5	6	6	6	8									
RS7_ECOLI	C6EGC3_ECOBD	A	30S ribosomal protein S7	156	6	8	11	6	8	15	6	9	19									
RIR1_ECOLI	C6E9W7_ECOBD	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	761	2	2	3	2	2	4	2	2	4									
G3P1_ECOLI	C6EC50_ECOBD	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	1	1	2	1	1	2	3	3	4									
RL27_ECOLI	C6EH42_ECOBD	A	50S ribosomal protein L27	85	1	1	1	1	1	1	1	1	1									
SYN_ECOLI	C6EI52_ECOBD	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	1	1	1	1	1	1	1	1	1									
RL19_ECOLI	C6EJY6_ECOBD	A	50S ribosomal protein L19	115	3	3	4	3	3	4	3	3	4									
DEAD_ECOLI	C6EH63_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	6	6	14	6	6	17	7	7	11									
SYP_ECOLI	C6EA90_ECOBD	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	1	1	1	1	1	1	3	3	5									
RL13_ECOLI	C6EH01_ECOBD	A	50S ribosomal protein L13	142	7	8	11	8	11	17	8	11	37									
GLTB_ECOLI	C6EH15_ECOBD	A	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	1	1	2	2	2	5	2	2	3									
RLUB_ECOLI	C6EFW8_ECOBD	A	Pseudouridine synthase (EC 5.4.99.-)	291	1	1	1	2	2	2	2	2	3									
DNAJ_ECOLI	C6EB39_ECOBD	A	Chaperone protein dnaJ	376	3	3	5	4	4	6	5	5	7									
SUHB_ECOLI	C6EKH4_ECOBD	A	Inositol monophosphatase	267	1	1	1	2	2	4	2	2	2									
ARGB_ECOLI	C6EE50_ECOBD	A	Acetylglutamate kinase	258	2	2	3	2	2	4	2	3	3									
HNS_ECOLI	C6EGN0_ECOBD	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	5	7	13	4	5	10	7	8	12									
TALB_ECOLI	C6EBG1_ECOBD	A	Transaldolase (EC 2.2.1.2)	317	3	3	3	4	4	4	5	5	7									
EFTS_ECOLI	C6EAB5_ECOBD	A	Elongation factor Ts (EF-Ts)	283	1	1	2	3	3	3	3	3	3									
ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	4	4	5	6	6	7	8	10	15									
RL22_ECOLI	C6EGF1_ECOBD	A	50S ribosomal protein L22	110	6	9	20	7	10	22	7	13	26									
ARGE_ECOLI	C6EE52_ECOBD	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383				1	1	1	1	1	1									
PPIB_ECOLI	C6EKU1_ECOBD	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	1	1	1	2	2	2	2	2	2									
YAEH_ECOLI	C6EAC1_ECOBD	A	UPF0325 protein yaeH	128	3	3	7	3	3	4	4	4	6									
STHA_ECOLI	C6EE47_ECOBD	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	3	3	4	3	3	3	4	4	5									
YFIF_ECOLI	C6EK05_ECOBD	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	4	5	6	4	5	8	4	6	10									
RPOZ_ECOLI	C6EDE1_ECOBD	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	2	2	3	3	4	4	2	3	6									
AMPM_ECOLI	C6EAB7_ECOBD	A	Methionine aminopeptidase (EC 3.4.11.18)	264	1	1	1				2	2	2									
RPOD_ECOLI	C6EHS8_ECOBD	A	RNA polymerase sigma factor	613	2	2	2	3	3	3	2	2	2									
RS19_ECOLI	C6EGF0_ECOBD	A	30S ribosomal protein S19	92	3	5	6	4	5	6	3	4	5									
IHFA_ECOLI	C6ECP5_ECOBD	A	Integration host factor subunit alpha (IHF-alpha)	99	3	3	4	3	3	4	2	2	3									
IHFB_ECOLI	C6EI70_ECOBD	A	Integration host factor subunit beta (IHF-beta)	94	1	1	1	1	1	1	2	2	2									
TREC_ECOLI	C6ECA9_ECOBD	A	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551				1	1	1	2	2	2									
DNAB_ECOLI	C6EDW8_ECOBD	A	Replicative DNA helicase	471	2	2	2	4	4	5	2	2	2									
SRA_ECOLI	C6EEN7_ECOBD	A	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45	2	4	4	2	3	3	2	3	3									
RL25_ECOLI	C6EA12_ECOBD	A	50S ribosomal protein L25	94	1	2	4	1	1	2	1	1	3									
RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	136	2	2	9	3	3	18	3	3	11									
RFAF_ECOLI	C6EDH0_ECOBD	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	3	3	4	2	2	2	3	4	6									
YIFE_ECOLI	C6EG45_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yifE)	112	2	2	2	2	2	2	1	1	1									
ACKA_ECOLI	C6ELF7_ECOBD	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	1	1	1	2	2	2	2	2	3									
RL30_ECOLI	C6EGG4_ECOBD	A	50S ribosomal protein L30	59	1	1	2	1	1	2	1	1	2									
RHLE_ECOLI	C6EIY5_ECOBD	A	DEAD/DEAH box helicase domain protein (RNA helicase)	454				1	1	1	1	1	1									
METH_ECOLI	C6EE05_ECOBD	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	2	2	2	2	2	3	6	6	9									
ENGB_ECOLI	C6EF37_ECOBD	A	GTP-binding protein HSR1-related	210	1	1	1	2	2	2	2	2	2									
RS10_ECOLI	C6EGE5_ECOBD	A	30S ribosomal protein S10	103	4	5	11	4	6	14	4	6	14									
ARLY_ECOLI	C6EE49_ECOBD	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	2	2	2	3	3	4	3	3	3									
HSLO_ECOLI	C6EFH4_ECOBD	A	33 kDa chaperonin (Heat shock protein 33 homolog)	292	1	1	1	1	1	1	1	1	1									
ISPG_ECOLI	C6EKJ4_ECOBD	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	1	1	1	1	1	1	1	1	1									
PDXH_ECOLI	C6EDK7_ECOBD	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218	1	1	2	2	2	3	2	2	6									
ENO_ECOLI	C6EJ93_ECOBD	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	4	4	14	5	5	9	5	6	20									
ODO2_ECOLI	C6EJL1_ECOBD	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	9	10	16	10	11	17	9	9	17									
RL31_ECOLI	C6EE73_ECOBD	A	50S ribosomal protein L31	70	4	4	8	4	5	8	3	3	8									
LONH_ECOLI	C6EI27_ECOBD	A	Predicted peptidase (Putative ATP-dependent protease)	586	1	1	2				2	2	4									
KPYK2_ECOLI	C6EBX3_ECOBD	A	Pyruvate kinase (EC 2.7.1.40)	480				1	1	1	1	1	1									
YBEB_ECOLI	C6EK56_ECOBD	A	Iojap-related protein (Putative uncharacterized protein ybeB)	105				1	1	1	2	2	2									
SYM_ECOLI	C6EAJ7_ECOBD	A	Methionyl-tRNA synthetase	677				1	1	1	1	1	3									
GRPE_ECOLI	C6EJX9_ECOBD	A	Protein grpE (HSP-70 cofactor)	197	1	1	1	2	2	5	2	2	5									
RLME_ECOLI	C6EH48_ECOBD	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209				1	1	2	1	1	2									
PROQ_ECOLI	C6EBZ8_ECOBD	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	4	4	4	4	4	5	6	6	7									
ARCA_ECOLI	C6EBH0_ECOBD	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	4	4	6	4	4	7	3	3	7									
YGGL_ECOLI	C6EIF1_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yggL)	108	2	2	2	2	2	2	1	1	1									
PGK_ECOLI	C6EII3_ECOBD	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	2	2	2	3	3	5	3	3	3									
RSGA_ECOLI	C6ECW4_ECOBD	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350				3	3	3	1	1	1									
PHOL_ECOLI	C6EK35_ECOBD	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	1	1	1	2	2	2	2	2	2									
YCDY_ECOLI	C6EHH7_ECOBD	A	Cytoplasmic chaperone TorD family protein (Putative uncharacterized protein ycdY)	184	1	1	1	1	1	1	1	1	2									
SYY_ECOLI	C6EDK8_ECOBD	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	1	1	1	2	2	4	1	1	2									
CLPB_ECOLI	C6EJZ8_ECOBD	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	3	3	4	4	4	10	4	4	6									
GLMS_ECOLI	C6EG74_ECOBD	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	2	2	4	1	1	2	1	1	5									
ILVD_ECOLI	C6EG40_ECOBD	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	1	1	2	2	2	6	2	2	6									
ACEA_ECOLI	C6EE08_ECOBD	A	Isocitrate lyase	434	1	1	1	2	2	2	2	2	2									
OMPR_ECOLI	C6EFG9_ECOBD	A	Two component transcriptional regulator, winged helix family	239	1	1	1	1	1	2	1	1	1									
YGAU_ECOLI	C6EJW0_ECOBD	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	149	2	2	4	2	2	4	2	2	4									
6PGD_ECOLI	C6EB56_ECOBD	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468	3	3	5	3	3	4	2	2	3									
RL32_ECOLI	C6EHC5_ECOBD	A	50S ribosomal protein L32	57	3	5	8	3	4	11	3	5	8									
DPO1_ECOLI	C6EF39_ECOBD	A	DNA polymerase I (EC 2.7.7.7)	928				1	1	2	1	1	2									
GCSP_ECOLI	C6EIK5_ECOBD	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	2	3	3	2	3	4	3	4	7									
FIS_ECOLI	C6EGJ9_ECOBD	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	1	1	1	2	2	2	2	2	2									
