Previous	Updated
P77747	P77747
P0ACA3	P0ACA3
P10957	P0AF28
P0A7I7	P0A7I7
P68206	P68206
P03024	P03024
P0A9H3	P0A9H3
P0AC81	P0AC81
P60844	P60844
P0AAI5	P0AAI5
P31120	P31120
P42908	P0AB74
P32701	P32701
P46133	P46133
P45397	P0ADV9
P0A988	P0A988
P0AEF0	P0AEF0
O85626	O85626
P02920	P02920
P17547	P0A9Q7
P64455	P64455
P67910	P67910
P69776	P69776
P25531	P25531
P07376	P07376
Q03708	Q03708
Q47624	P0AGH5
P27252	P0A7Z0
P45748	P45748
P76189	P67430
P0AAF6	P0AAF6
Q46926	P0AGF2
P02984	P02984
P0AE45	P0AE45
P0AER3	P0AER3
P0A6Q6	P0A6Q6
P30861	P0AE34
P05050	P05050
P05719	P05719
P0A7V8	P0A7V8
P07363	P07363
P00646	P00646
P0AE60	P0AE60
P0AEE3	P0AEE3
P77606	P0ABF4
P11056	P0ABD3
P0A910	P0A910
P37685	P37685
P71229	P71229
P0AEB7	P0AEB7
P06974	P06974
P75694	P75694
P60422	P60422
P0AFI2	P0AFI2
P31456	P31456
P63177	P63177
P0A858	P0A858
P0A6U5	P0A6U5
P77206	P77206
P40710	P40710
P77733	P77733
P37052	P37052
P0A830	P0A830
P0AAF3	P0AAF3
P21645	P21645
P0AAZ0	P0AAZ0
P77645	P0AEI1
P33633	P68066
Q9AJ15	Q9AJ15
P77385	P0A898
P0ADY3	P0ADY3
Q39249	Q39249
P06999	P06999
P76594	P76594
P0AFA9	P0AFA9
P32131	P32131
P08202	P08202
P10904	P0AG80
P0A7H0	P0A7H0
P07648	P07648
P37617	P37617
P11875	P11875
P0A7X3	P0A7X3
P30849	P0A8G6
P0ABJ1	P0ABJ1
P46130	P46130
P77790	P77790
P42588	P42588
P09053	P09053
P77626	P77626
P31054	P60932
P19797	P0A9F9
P36651	Q93K97
P0AB58	P0AB58
P77727	P0A959
P0AGF6	P0AGF6
P10444	P0AC41
P18776	P18776
P64517	P64517
P0ADI0	P0ADI0
P77182	P77182
P31571	P60584
P07604	P07604
P0ABX8	P0ABX8
P0ACF0	P0ACF0
P0AET5	P0AET5
P0A7G6	P0A7G6
P37665	P37665
P0AA53	P0AA53
P33998	P0A7I4
P0A769	P0A769
P43533	P43533
P32689	P32689
Q6BEX0	Q6BEX0
P07330	P07330
P0AEJ4	P0AEJ4
P13669	P13669
P30136	P30136
P0AG51	P0AG51
P60560	P60560
P00453	P69924
P68739	P68739
P77694	P77694
P21338	P21338
P00804	P00804
P37346	P0AFQ7
P45771	P45771
P25524	P25524
Q46839	Q46839
P0A6X7	P0A6X7
P0A9F3	P0A9F3
P26282	P0AC13
P25748	P25748
P17888	P17888
P46853	P46853
P77558	P0ACC9
P36635	P0AAH4
P02435	P0A7N4
P36541	P0A6Z1
P76160	P76160
P24202	P24202
P33594	P33594
P0ABK5	P0ABK5
P37339	P37339
P03016	P0A7H0
P0A6F9	P0A6F9
P55756	P0AAP3
P75860	P75860
P38051	P38051
P76223	P76223
P78083	P0AAB6
P08205	P0A6C5
P33604	P0AFD6
P36673	P36673
P12758	P12758
P0AB14	P0AB14
P0A9D8	P0A9D8
P23887	P0A998
P0AFH0	P0AFH0
P23865	P23865
P75742	P75742
P08859	P0A6F3
P76174	P69853
P16528	P16528
P75786	P75786
P06138	P0A9A6
P0ACK2	P0ACK2
P17335	P69791
P00913	P0A853
P39316	P0ACN2
P77170	P77170
P15069	P15069
P76114	P76114
P08374	P0A800
P0AFD1	P0AFD1
P25887	P0AG84
P02427	P0A7L8
P15977	P15977
P27857	P69423
P04286	P0AD68
P03822	P0A8A4
P0AFJ5	P0AFJ5
P0A7E9	P0A7E9
P75965	P0AEI6
P76065	P76065
P28307	P28307
P00946	P00946
P0A7L8	P0A7L8
P38489	P38489
P25888	P25888
Q46787	Q46787
P0A8S1	P0A8S1
P0ACD4	P0ACD4
P00923	P0AC33
P0A8G9	P0A8G9
P76205	P76205
P0ADF6	P0ADF6
P36564	P0ADK8
P80449	P0AC19
P54711	P0ABR9
P0ABQ0	P0ABQ0
P0AAE2	P0AAE2
P09160	P0AC28
P11721	P0ACQ4
P24224	P24224
P22938	P0A8G9
P0A6B7	P0A6B7
P30146	P0AEP7
P28905	P28905
P76586	P76586
P76268	P76268
P39903	P0A746
P0AGG8	P0AGG8
P32168	P0A6H5
P09373	P09373
P76334	P76334
P38684	P38684
P0AFR0	P0AFR0
P76503	P76503
P07906	P0AE18
P04742	P0ADH5
P0AC28	P0AC28
P0ABS1	P0ABS1
P0ADZ7	P0ADZ7
P36767	P36767
P09120	P09120
P75942	P75942
P0AFA2	P0AFA2
P76082	P76082
P37765	P37765
Q47677	P0AC84
P42641	P42641
P0A6A6	P0A6A6
P0A809	P0A809
P76195	P64476
P08936	P0ACF8
P0A7S3	P0A7S3
P0A7Y8	P0A7Y8
P03813	P03813
P0AF48	P0AF48
P76211	P0AE60
P24191	P0AAM3
P0AB18	P0AB18
P37309	P37309
P00956	P00956
P42631	P0AGL2
P45393	P63386
P31129	P31129
P46859	P46859
P12638	P0A6C1
P0A6D3	P0A6D3
P0ABT5	P0ABT5
P07913	P07913
P16244	P0AE88
P02367	P0A7S3
P00393	P00393
P0A873	P0A873
P03021	P0A9E0
P14375	P14375
P00379	P0ABQ4
P0A7M6	P0A7M6
P23839	P23839
P45426	P0A761
P23256	P23256
P0A8I3	P0A8I3
P0AEY0	P0AEY0
P00932	P0A879
P13457	P0AG76
P0C054	P0C054
P37349	P37349
P32674	P32674
P27187	P27187
P0A8A4	P0A8A4
P28910	P0A6Z6
P46837	P46837
P28692	P0C0R7
P0A812	P0A812
P0AGM5	P0AGM5
P18784	P0ABV2
P36929	P36929
P37013	P37013
P39277	P39277
P08338	P0A8U6
P17952	P17952
P33646	P0AEY3
P0AAJ3	P0AAJ3
P22538	P0ACS2
P0A6K1	P0A6K1
P02420	P0A7K6
P76085	P76085
P37655	P37655
P08398	P0A7E5
P75906	P75906
P0ACA7	P0ACA7
P76028	P0A8L7
P19931	P19931
P77737	P77737
Q8KLS0	Q8KLS0
P19319	P19319
P08756	P0A6Y1
P02413	P02413
P52083	P0ADU5
P31058	P31058
P0A884	P0A884
P16429	P16429
P76251	P76251
P21513	P21513
P76004	P76004
P14926	P0A953
P0AAR3	P0AAR3
P16070	P16070
P76237	P76237
P30139	P30139
P24209	P62615
P33221	P33221
P77327	P0AAE2
P0AAM3	P0AAM3
P23328	P0A821
P00475	P0AEE8
P05707	P05707
P27249	P27249
P0A8J8	P0A8J8
P0A7C6	P0A7C6
P0C077	P0C077
P09980	P09980
P37338	P37338
P41066	P41066
P33927	P33927
P23305	P23305
P0AB10	P0AB10
P0ABS5	P0ABS5
P30850	P30850
P0AF20	P0AF20
O50190	O50190
P60752	P60752
P0AEC5	P0AEC5
P16687	P16687
P76177	P76177
P05826	P0A9Z1
P00864	P00864
P02995	P0A705
P39838	P39838
P24941	P24941
P77698	P77698
P32147	P0A6M4
P22525	P22525
P45465	P45465
P33135	P33135
P37764	P0AEH1
P24183	P24183
P77509	P77509
P0A6F3	P0A6F3
P39293	P39293
P00805	P00805
P76219	P76219
P23847	P23847
P06971	P06971
Q42029	Q42029
P15344	P60560
P41052	P41052
P00562	P00562
P75707	P0AFP2
P02378	P0A7U7
P24192	P24192
P0A6H5	P0A6H5
P15319	P15319
P10411	P0ACH8
P0A9U1	P0A9U1
P0AEG6	P0AEG6
P08957	P08957
P77475	P77475
O69415	P69425
P0AFX0	P0AFX0
P37774	P37774
P17993	P17993
P27238	P27238
P15282	P0A6D0
P0A8M6	P0A8M6
P08186	P69797
P10441	P10441
P0A7R9	P0A7R9
P75698	P75697
P33231	P33231
P04384	P0A817
P40116	P0AG74
P0A746	P0A746
P33225	P33225
P43341	P43341
P0A9H7	P0A9H7
P0A7H3	P0A7H3
P75867	P75867
P33235	P33235
P0AB74	P0AB74
P76208	P76208
P0AAN1	P0AAN1
P0ABE9	P0ABE9
P75791	P75791
P46860	P0ACP5
P75874	P75874
P23842	P23842
P0AG14	P0AG14
P76185	P76185
P76340	P76340
P0ACB2	P0ACB2
P77779	P77779
P0A8H6	P0A8H6
P28225	P0AFI7
P16936	P60651
P26648	P26648
P0ACY1	P0ACY1
P77202	P77202
P64429	P64429
P31804	P0AEM6
P21893	P21893
P69407	P69407
P11454	P11454
P04152	P04152
P36681	P0A8H8
P24167	P0A6D7
P09184	P09184
P29131	P29131
P60472	P60472
P0A828	P0A828
P34086	P0AGB6
P0A6C5	P0A6C5
P26646	P26646
P07622	P68183
P77316	P77316
P39168	P0ABB8
P45475	P45475
P0ABD8	P0ABD8
P52095	P52095
P0AEY3	P0AEY3
P45523	P45523
P76539	P76539
P42501	P42501
Q47536	Q47536
P0AC30	P0AC30
P08866	P62556
P77245	P77245
P31063	P31063
P00968	P00968
P31221	P0AFX0
P04422	P0AC38
P23522	P23522
P03819	P03819
P15027	P0A7H3
P00583	P0A988
P37188	P37188
P0A780	P0A780
P32057	P32057
P11989	P11989
P36662	P36662
Q47112	Q47112
P77214	P77214
P39287	P0A784
P24236	P0AFC0
P37692	P37692
P21177	P21177
P76551	P76551
Q47153	Q47153
P06129	P06129
P08409	P08409
P58034	P58034
P0AE14	P0AE14
P02422	P0AG48
P0A6R3	P0A6R3
P02423	P61175
P0ADY7	P0ADY7
P28634	P28634
P0AC13	P0AC13
Q47149	Q47149
P07006	P0AA04
P0A698	P0A698
P0AAN3	P0AAN3
P21712	P0AFU4
P00960	P00960
Q46893	Q46893
P0A6T1	P0A6T1
P29217	P29217
P0AFQ7	P0AFQ7
P32157	P32157
P32135	P32135
P28694	P0AF03
P11285	P0AD49
P37649	P37649
P31142	P31142
P00490	P00490
P25532	P0A8F0
P05845	P05845
P13445	P13445
P45568	P45568
P32130	P0A8H6
P0A7T3	P0A7T3
P77239	P77239
P76168	P76168
P0A7J7	P0A7J7
P32049	P0A8I5
P24217	P69811
Q47706	Q47706
P22992	P0AC53
P28630	P28630
P0AC69	P0AC69
P07024	P07024
P24216	P24216
P76329	P76329
P23321	P23321
P77732	P77732
P30867	P0ABD5
P37669	P37669
P33025	P33025
P75959	P75959
P32679	P68739
P27243	P27243
P11553	P11553
P11164	P0A8S9
P24210	P69405
P06992	P06992
P52050	P0A8I1
P75883	P75883
P77376	P77376
P05021	P0A7E1
P0A6P9	P0A6P9
P0A9W9	P0A9W9
P0A7V3	P0A7V3
P0AAB4	P0AAB4
P36942	P0A7A2
P10956	P0AFA2
P76245	P76245
P02429	P0A7M6
P06143	P0AE67
P46883	P46883
P42620	P42620
P30845	P30845
P23830	P23830
P0ABP6	P0ABP6
P32662	P32662
P30015	P30015
P06134	P06134
P07016	P0AFG6
P10940	P0AGA6
P27303	P27303
P42589	P42589
P24249	P0A6R0
P50456	P50456
P76339	P76339
P17443	P17443
P30750	P30750
P45463	P45463
P77391	P0ACY3
P18840	P0A962
P03856	P03856
P30871	P30871
P52126	P52126
P09883	P09883
P0ADM0	P0ADM0
Q46834	Q46834
P0AAI3	P0AAI3
P0AEI6	P0AEI6
P52101	P52101
P25537	P0A9J0
P76341	P76341
P06613	P0A9F3
P31460	P31460
P00642	P00642
P05703	P62554
P18400	P0ABJ1
P71241	P71241
P22564	P22564
P23892	P0A9H3
Q47015	Q47015
P76042	P76042
P07464	P07464
P0ADZ4	P0ADZ4
P27298	P27298
P21501	P0AC23
P42902	P0ACK2
P0A9X4	P0A9X4
P02916	P02916
P0AD05	P0AD05
P07008	P0C077
P33341	P33341
P21888	P21888
P76562	P76562
Q47143	P0ABR1
P46930	P0A9G8
P0ACG8	P0ACG8
P75849	P75849
P18471	P18471
P37751	P37751
P05082	P69441
P37353	P37353
P76351	P0A8A2
P39406	P39406
P80644	P80644
P02354	P0A7V8
P21865	P21865
P00861	P00861
P76104	P76104
P77775	P77775
P76419	P76419
P15254	P15254
P08722	P08722
P75683	P75683
P0ABZ4	P0ABZ4
P02386	P60438
P00509	P00509
P31660	P31660
P75974	P75974
P15005	P15005
P26266	P26266
P77254	P0A6P5
P0ABD5	P0ABD5
P0A7D1	P0A7D1
P0ABK7	P0ABK7
P29011	P0A6J5
P0A9G6	P0A9G6
P0A6G3	P0A6G3
P23524	P23524
P61949	P61949
P63284	P63284
Q46930	P0A776
P31474	P31474
P45468	P45468
Q8VPC3	Q8VPC3
P08394	P08394
P77539	P77539
P20605	P20605
P0AFR2	P0AFR2
P0ACB7	P0ACB7
P75728	P75728
P27111	P27111
P0A996	P0A996
P41067	P41067
P11550	P0AB87
P77580	P77580
P03002	P0AG30
P39377	P39377
P02998	P69222
P0AA16	P0AA16
P37640	P37640
P02980	P02980
P09170	P0A7G2
P02932	P02932
P02921	P02921
P77310	P0ACD4
P31554	P31554
P75675	P75675
P62623	P62623
P0A8G0	P0A8G0
P25662	P0ABC7
P0ABH0	P0ABH0
P15048	P0ADI4
P55140	P55140
P69924	P69924
P23862	P23862
P0AAM7	P0AAM7
P0A8Z0	P0A8Z0
P0AD70	P0AD70
P42617	P64581
P21369	P21369
P23872	P23872
P25718	P25718
P77485	P77485
P31068	P31068
P76387	P76387
P07294	P07294
P0ACN4	P0ACN4
P34209	P34209
P33590	P33590
P09997	P0A8Y5
P07001	P07001
P21517	P21517
P76512	P76512
P39169	P0ADE6
P75904	P69432
P0A881	P0A881
P0AGK8	P0AGK8
P0A6Q3	P0A6Q3
P11868	P11868
P32702	P0AF52
P33368	P33368
P30958	P30958
P02416	P0AG44
P0AFK6	P0AFK6
P0AA04	P0AA04
P37689	P37689
P0A8W5	P0A8W5
P33028	P0A6N8
P0AG78	P0AG78
P24186	P24186
P39374	P39374
P23890	P23890
P76396	P76396
P0AF26	P0AF26
P07021	P07021
P03018	P03018
P37671	P37671
P76149	P76149
P17315	P17315
P51024	P51024
P0A7K6	P0A7K6
P04951	P04951
P39301	P39301
P28242	P0AED0
P37350	P0ADR8
P45391	P64604
P0AAS7	P0AAS7
P13036	P13036
P69797	P69797
P05054	P0A9J6
P28304	P28304
Q46872	P64588
P77293	P77293
P77145	P0A769
P76420	P0ACM5
P30128	P30128
P0ACT6	P0ACT6
P11445	P0A6C8
P77215	P77215
P0ADW6	P0ADW6
P17411	P17411
P77806	P77806
P0AC53	P0AC53
P76176	P76176
P42632	P42632
P39831	P39831
P16431	P16431
P08577	P0A812
P75744	P0AAV4
P0AE06	P0AE06
P76187	P76187
P0AC84	P0AC84
P07904	P0A8J2
P77704	P77704
P69908	P69908
P33599	P33599
P00859	P0ABA0
P39359	P39359
P76141	P76141
P08324	P0A6P9
P32064	P0A9F6
P52108	P52108
P77335	P77335
P76113	P76113
P33602	P33602
P60906	P60906
P02364	P0A7R5
P0AFG6	P0AFG6
P37768	P0A7B3
P0AEG4	P0AEG4
P09546	P09546
P0A9U6	P0A9U6
P33650	P33650
P0AE82	P0AE82
P0AC07	P0AC07
P30177	P30177
P45544	P45544
P15002	P0ACB2
P77429	P0AAE5
P31457	P0AA76
P04983	P04983
P0AAE8	P0AAE8
Q46675	Q46675
P39347	P39347
P0AG86	P0AG86
P27430	P0ABT2
P02375	P0A7U3
P38522	P0A9U6
P23911	P0AGG2
P08312	P08312
P00394	P0AEZ1
P39361	P39361
P52061	P52061
P0AAD8	P0AAD8
P08408	P08408
P36637	P0AAH8
P63204	P63204
P09375	P0A759
Q46966	P0AEY8
P0A7Y4	P0A7Y4
P0ADH5	P0ADH5
P0AF82	P0AF82
P33228	P33228
P0C0R7	P0C0R7
P0A9W0	P0A9W0
P0A9Q5	P0A9Q5
P0A8E1	P0A8E1
P30010	P0A9H7
P37747	P37747
P76469	P76469
P00579	P00579
P75937	P75937
P02905	P0ABD8
P09548	P0ABP6
P02369	P0A7S9
Q46814	Q46814
P66948	P66948
P0ADX7	P0ADX7
P37053	P0AFR0
P13482	P13482
P77349	P0A9K3
P25528	P0A9R4
P30130	P30130
P32139	P32139
P0AC38	P0AC38
P75864	P75864
P27831	P61887
P0A742	P0A742
P0ABU0	P0ABU0
P16919	P16919
P09148	P09148
P0A7W1	P0A7W1
P00577	P0A8T7
P0A8B5	P0A8B5
P07012	P07012
P0A9M0	P0A9M0
P39311	P0A9L3
P0A9X9	P0A9X9
P07696	P07696
P0A8Y3	P0A8Y3
P28691	P0AAI3
P0C058	P0C058
P75832	P0A8Q6
P39179	P0ADE8
P02928	P0AEX9
P06982	P0AES6
P0AB20	P0AB20
P75816	P0AAZ0
P0A7L3	P0A7L3
P07655	P0AAH0
P13035	P13035
P45427	P0A8W0
P0AD24	P0AD24
Q8VRM4	Q8VRM4
P05829	P0ABV6
P43671	P43671
P15050	P0A8Y8
P24245	P0A968
P0A7R5	P0A7R5
P09394	P09394
P33570	P33570
P17846	P17846
P0AG03	P0AG03
P75885	P75885
P00561	P00561
P64554	P64554
P32052	P0A832
P76543	P76543
P0AG67	P0AG67
P37678	P37678
P77741	P0AFU2
P0AGJ9	P0AGJ9
P37773	P37773
P0A8L1	P0A8L1
P42593	P42593
P30011	P30011
P31133	P31133
P0C0S1	P0C0S1
P76555	P76555
P31658	P31658
P0A8T7	P0A8T7
P77225	P0ACX3
P00893	P00893
P0A948	P0A948
P13017	P0AE14
P36548	P36548
P08328	P0A9T0
P50466	P50466
P0AEH5	P0AEH5
P33230	P33230
P75919	P75919
P0A715	P0A715
P0AEI1	P0AEI1
P0ACP7	P0ACP7
P0AB61	P0AB61
P69786	P69786
P32053	P32053
P39371	P39371
P08390	P08390
P30749	P30749
P03026	P0A9Q1
P76491	P76491
P22563	P0AEM0
P0A867	P0A867
P76585	P76585
P0A6E4	P0A6E4
Q9EZJ8	Q9EZJ8
P09986	P09986
P45425	P45425
P03812	P0A8N7
P06722	P06722
P33012	P33012
P31119	P31119
P0A978	P0A978
P60953	P60953
P75769	P75769
P00957	P00957
P31550	P31550
P02339	P0AGE0
P31553	P31553
P18811	P18811
P39199	P39199
P0A8F0	P0A8F0
P07912	P0AB77
P00959	P00959
P32176	P32176
P76204	P76204
P37316	P0AEF8
P03842	P0CG19
P03020	P0ACJ8
Q46920	Q46920
P37007	P37007
P23325	P23325
P75780	P75780
P0AG82	P0AG82
P30126	P30126
P25540	P61714
P0A9W3	P0A9W3
P07649	P07649
P42623	P67660
P04079	P04079
P0A7I0	P0A7I0
P0A9X1	P0A9X1
P64476	P64476
P0AGL2	P0AGL2
P09028	P0AG18
P67660	P67660
P09127	P09127
P00350	P00350
P0A986	P0A986
P00582	P00582
P23852	P60240
P64534	P64534
Q46841	Q46841
P02370	P0AG59
P0AF67	P0AF67
P06987	P06987
P0A9M2	P0A9M2
P75869	P75869
P30846	P69228
P0A9V8	P0A9V8
P0AFP4	P0AFP4
P18196	P18196
P76299	P76299
P13039	P13039
P0A7J3	P0A7J3
P52644	P52644
P43528	P43528
P0A8E5	P0A8E5
P30137	P30137
P11876	P0AED9
P77625	P77625
P64612	P64612
P0AAT6	P0AAT6
P0A8P1	P0A8P1
P52600	P52600
P10905	P10905
P0A6Z6	P0A6Z6
P0AFZ3	P0AFZ3
P68191	P68191
P0AA39	P0AA39
P0A8J4	P0A8J4
P0AEE8	P0AEE8
P77395	P77395
P13030	P0A8N3
P39299	P0A9W0
P08365	P08365
P11603	P0A9B6
P39174	P0AEM9
P0ABX2	P0ABX2
P0A759	P0A759
P32144	P32144
P77402	P77402
P0AGK4	P0AGK4
P06996	P06996
P11665	P0A799
P76093	P76093
P02937	P69776
P77759	P77759
P76118	P76118
P37005	P37005
P0C8J8	P0C8J8
P76446	P76446
P33030	P33030
P22539	P0A9E2
P16433	P16433
P19317	P19317
P00837	P0ABA6
P0AB98	P0AB98
P20101	P0AGM5
P03052	P03052
P24203	P24203
P39455	P0AAT4
P0A754	P0A754
P0A850	P0A850
P46852	P46852
P0A9H9	P0A9H9
P0ADK8	P0ADK8
Q9ZN60	P56614
P27129	P27129
P0A847	P0A847
P31544	P0A9K1
P76045	P76045
P0A6V1	P0A6V1
Q47454	Q47454
P06137	P0ABH0
P0A6G7	P0A6G7
P39099	P39099
P18006	P18006
P76010	P76010
P37183	P0AAN1
P0AD99	P0AD99
P39367	P39367
P75745	P75745
P03806	P0A8Q3
P25538	P0A8D0
P24193	P24193
P0ABJ9	P0ABJ9
P29688	P63204
Q47718	Q47718
P0AEZ7	P0AEZ7
P77524	P0AEW1
P17579	P0A715
P05459	P05459
P10408	P10408
P33934	P33934
P0A6U3	P0A6U3
P15028	P15028
P31979	P31979
P15082	P15082
P39315	P39315
P11557	P11557
P0A9V1	P0A9V1
P23932	P0A7D1
P76097	P76097
P0A761	P0A761
P09371	P0A8V6
P04036	P04036
P05055	P05055
P75877	P0AB65
P0AAC0	P0AAC0
P38685	P0ADV1
P21599	P21599
P0AFI5	P0AFI5
P00584	P0A6V1
P0A6I6	P0A6I6
P29210	P0C058
P23331	P23331
P05523	P05523
P77562	P77562
P0AEJ2	P0AEJ2
P09983	P09983
P77783	P77783
P0A8N3	P0A8N3
P13001	P13001
P20083	P20083
P07460	P0A836
P33224	P33224
P31803	P69913
P26647	P26647
P06967	P0AAC6
P29132	P0AEK4
P69741	P69741
P25798	P25798
P33916	P33916
P52096	P52096
P0AC78	P0AC78
P0ACF8	P0ACF8
P77454	P77454
P37903	P37903
P21502	P0AEL8
P0A749	P0A749
P29744	P29744
P27434	P27434
P14178	P0AD61
Q46845	Q46845
Q46821	Q46821
P0A725	P0A725
P02430	P0AG51
P02409	P0A7J7
P11988	P11988
P24285	P0ABQ0
P04994	P04994
P03818	P0ADN0
P60723	P60723
P77700	P77700
P37645	P37645
P64426	P64426
P28909	P0A749
P23523	P0ABQ2
P77247	P77247
P77319	P77319
P64451	P64451
P77802	P77802
P29209	P0C054
P0ABA0	P0ABA0
P0A6P5	P0A6P5
P17109	P17109
