K12 Accession_Subcellular Location(this study)	Subcellular Location(this study)	Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
RS5_A	A	P0A7W1	RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	+ 	+ 	+ 	+ 
RL15_A	A	P02413	RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	+ 	+ 	+ 	+ 
RS13_A	A	P0A7S9	RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	+ 	+ 	+ 	+ 
RS11_A	A	P0A7R9	RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	+ 	+ 	+ 	+ 
RS4_A	A	P0A7V8	RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	+ 	+ 	+ 	+ 
RL17_A	A	P0AG44	RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	+ 	+ 	+ 	+ 
RL13_A	A	P0AA10	RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	+ 	+ 	+ 	+ 
RS9_A	A	P0A7X3	RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	+ 	+ 	+ 	+ 
LACI_A	A	P03023	LACI_ECOLI	C6EJI7	A	"Transcriptional regulator, LacI family"	+ 	+ 	+ 	+ 
YBBO_A	A	P0AFP4	YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	+ 	+ 	+ 	+ 
ADD_A	A	P22333	ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	+ 	+ 	 	 
YGAU_A	A	P0ADE6	YGAU_ECOLI	C6EJW0	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	+ 	+ 	 	 
RS18_A	A	P0A7T7	RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	+ 	 	+ 	+ 
RS17_A	A	P0AG63	RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	+ 	 	 	+ 
ACCD_A	A	P0A9Q5	ACCD_ECOLI	C6ELD7	A	"Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)"	 	+ 	+ 	+ 
FADJ_A	A	P77399	FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	 	+ 	+ 	+ 
FADI_A	A	P76503	FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	 	+ 	+ 	+ 
TIG_A	A	P0A850	TIG_ECOLI	C6EL29	A	Trigger factor (TF)	 	+ 	+ 	+ 
HEMH_A	A	P23871	HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	 	+ 	+ 	+ 
ISPG_A	A	P62620	ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	 	+ 	+ 	+ 
SRMB_A	A	P21507	SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
YFIF_A	A	P0AGJ5	YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	 	+ 	+ 	+ 
RL19_A	A	P0A7K6	RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	 	+ 	+ 	+ 
SYA_A	A	P00957	SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	 	+ 	+ 	+ 
ODO2_A	A	P0AFG6	ODO2_ECOLI	C6EJL1	A	"2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)"	 	+ 	+ 	+ 
ENO_A	A	P0A6P9	ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	 	+ 	+ 	+ 
RELA_A	A	P0AG20	RELA_ECOLI	C6EJ88	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)"	 	+ 	+ 	+ 
PFLB_A	A	P09373	PFLB_ECOLI	C6EI79	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	 	+ 	+ 	+ 
RS1_A	A	P0AG67	RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	 	+ 	+ 	+ 
MUKB_A	A	P22523	MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	 	+ 	+ 	+ 
YGIB_A	A	P0ADT2	YGIB_ECOLI	C6EHV7	A	UPF0441 protein ygiB	 	+ 	+ 	+ 
RPOD_A	A	P00579	RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	 	+ 	+ 	+ 
PLSX_A	A	P27247	PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	 	+ 	+ 	+ 
FABG_A	A	P0AEK2	FABG_ECOLI	C6EHC1	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	 	+ 	+ 	+ 
DEAD_A	A	P0A9P6	DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
PNP_A	A	P05055	PNP_ECOLI	C6EH61	A	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	 	+ 	+ 	+ 
IF2_A	A	P0A705	IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	 	+ 	+ 	+ 
RL21_A	A	P0AG48	RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	 	+ 	+ 	+ 
KPRS_A	A	P0A717	KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	 	+ 	+ 	+ 
RPOA_A	A	P0A7Z4	RPOA_ECOLI	C6EGH1	A	"DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)"	 	+ 	+ 	+ 
RL6_A	A	P0AG55	RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	 	+ 	+ 	+ 
RS8_A	A	P0A7W7	RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	 	+ 	+ 	+ 
RL24_A	A	P60624	RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	 	+ 	+ 	+ 
RL16_A	A	P0ADY7	RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	 	+ 	+ 	+ 
RL23_A	A	P0ADZ0	RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	 	+ 	+ 	+ 
RL4_A	A	P60723	RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	 	+ 	+ 	+ 
RL3_A	A	P60438	RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	 	+ 	+ 	+ 
EFG_A	A	P0A6M8	EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	 	+ 	+ 	+ 
RS12_A	A	P0A7S3	RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	 	+ 	+ 	+ 
CRP_A	A	P0ACJ8	CRP_ECOLI	C6EGA6	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)"	 	+ 	+ 	+ 
HDFR_A	A	P0A8R9	HDFR_ECOLI	C6EG46	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	 	+ 	+ 	+ 
RHO_A	A	P0AG30	RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	 	+ 	+ 	+ 
WECG_A	A	P27836	WECG_ECOLI	C6EG17	A	"Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)"	 	+ 	+ 	+ 
CYSB_A	A	P0A9F3	CYSB_ECOLI	C6EFW2	A	"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (Transcriptional regulator, LysR family)"	 	+ 	+ 	+ 
GLPK_A	A	P0A6F3	GLPK_ECOLI	C6EEX2	A	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase)	 	+ 	+ 	+ 
HSLU_A	A	P0A6H5	HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	 	+ 	+ 	+ 
STHA_A	A	P27306	STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	 	+ 	+ 	+ 
METH_A	A	P13009	METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	 	+ 	+ 	+ 
KBL_A	A	P0AB77	KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	 	+ 	+ 	+ 
RFAC_A	A	P24173	RFAC_ECOLI	C6EDG9	A	ADP-heptose:LPS heptosyl transferase I (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase I)	 	+ 	+ 	+ 
RFAP_A	A	P25741	RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	 	+ 	+ 	+ 
RL28_A	A	P0A7M2	RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	 	+ 	+ 	+ 
CH60_A	A	P0A6F5	CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	 	+ 	+ 	+ 
YDIJ_A	A	P77748	YDIJ_ECOLI	C6ECR9	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	 	+ 	+ 	+ 
GYRB_A	A	P0AES6	GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	 	+ 	+ 	+ 
RL9_A	A	P0A7R1	RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	 	+ 	+ 	+ 
PROQ_A	A	P45577	PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	 	+ 	+ 	+ 
DEOB_A	A	P0A6K6	DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	 	+ 	+ 	+ 
CARB_A	A	P00968	CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	 	+ 	+ 	+ 
ACON2_A	A	P36683	ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	 	+ 	+ 	+ 
GSA_A	A	P23893	GSA_ECOLI	C6EAD0	A	"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)"	 	+ 	+ 	+ 
ACCA_A	A	P0ABD5	ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	 	+ 	+ 	+ 
ARNA_A	A	P77398	ARNA_ECOLI	C6E9U5	A	Bifunctional polymyxin resistance protein ArnA	 	+ 	+ 	+ 
RADA_A	A	P24554	RADA_ECOLI	C6EBI2	A	DNA repair protein radA	 	+ 	+ 	 
YFCH_A	A	P77775	YFCH_ECOLI	C6ELE9	A	Conserved protein with NAD(P)-binding Rossmann-fold domain (Putative uncharacterized protein)	 	+ 	 	+ 
FABB_A	A	P0A953	FABB_ECOLI	C6ELD0	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	 	+ 	 	+ 
CYSK_A	A	P0ABK5	CYSK_ECOLI	C6EL63	A	Cysteine synthase (EC 2.5.1.47)	 	+ 	 	+ 
ISCS_A	A	P0A6B7	ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	 	+ 	 	+ 
PHOL_A	A	P0A9K3	PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	 	+ 	 	+ 
SUCD_A	A	P0AGE9	SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	 	+ 	 	+ 
ALF_A	A	P0AB71	ALF_ECOLI	C6EII4	A	"Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)"	 	+ 	 	+ 
TKT1_A	A	P27302	TKT1_ECOLI	C6EIH4	A	"Transketolase (Transketolase 1, thiamin-binding) (EC 2.2.1.1)"	 	+ 	 	+ 
YBJQ_A	A	P0A8C1	YBJQ_ECOLI	C6EIB5	A	UPF0145 protein ybjQ	 	+ 	 	+ 
SYN_A	A	P0A8M0	SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	 	+ 	 	+ 
HELD_A	A	P15038	HELD_ECOLI	C6EI19	A	DNA helicase IV (EC 3.6.1.-) (UvrD/REP helicase)	 	+ 	 	+ 
RS21_A	A	P68679	RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	 	+ 	 	+ 
RIMJ_A	A	P0A948	RIMJ_ECOLI	C6EHE7	A	Ribosomal-protein-S5-alanine N-acetyltransferase (EC 2.3.1.128) (Ribosomal-protein-alanine N-acetyltransferase) (EC 2.3.1.128)	 	+ 	 	+ 
YRAR_A	A	P45469	YRAR_ECOLI	C6EH73	A	NAD-dependent epimerase/dehydratase (Predicted nucleoside-diphosphate-sugar epimerase)	 	+ 	 	+ 
YHBJ_A	A	P0A894	YHBJ_ECOLI	C6EH22	A	UPF0042 nucleotide-binding protein yhbJ	 	+ 	 	+ 
SSPB_A	A	P0AFZ3	SSPB_ECOLI	C6EH04	A	ClpXP protease specificity-enhancing factor (Stringent starvation protein B)	 	+ 	 	+ 
RL30_A	A	P0AG51	RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	 	+ 	 	+ 
RS10_A	A	P0A7R5	RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	 	+ 	 	+ 
ILVE_A	A	P0AB80	ILVE_ECOLI	C6EG41	A	Branched-chain amino acid aminotransferase	 	+ 	 	+ 
OMPR_A	A	P0AA16	OMPR_ECOLI	C6EFG9	A	"Two component transcriptional regulator, winged helix family"	 	+ 	 	+ 
UBIE_A	A	P0A887	UBIE_ECOLI	C6EF63	A	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	 	+ 	 	+ 
HEMG_A	A	P0ACB4	HEMG_ECOLI	C6EF48	A	"Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)"	 	+ 	 	+ 
HRPA_A	A	P43329	HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	 	+ 	 	+ 
RL7_A	A	P0A7K2	RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	 	+ 	 	+ 
RPOB_A	A	P0A8V2	RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	 	+ 	 	+ 
RFAF_A	A	P37692	RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	 	+ 	 	+ 
RFAQ_A	A	P25742	RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	 	+ 	 	+ 
RS6_A	A	P02358	RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	 	+ 	 	+ 
G3P1_A	A	P0A9B2	G3P1_ECOLI	C6EC50	A	"Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)"	 	+ 	 	+ 
DEOC_A	A	P0A6L0	DEOC_ECOLI	C6EBJ0	A	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	 	+ 	 	+ 
THRC_A	A	P00934	THRC_ECOLI	C6EBG5	A	Threonine synthase (EC 4.2.3.1)	 	+ 	 	+ 
TALB_A	A	P0A870	TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	 	+ 	 	+ 
HIS8_A	A	P06986	HIS8_ECOLI	C6EB64	A	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	 	+ 	 	+ 
DNAJ_A	A	P08622	DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	 	+ 	 	+ 
RS20_A	A	P0A7U7	RS20_ECOLI	C6EB30	A	30S ribosomal protein S20	 	+ 	 	+ 
PANC_A	A	P31663	PANC_ECOLI	C6EAS4	A	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	 	+ 	 	+ 
DAPD_A	A	P0A9D8	DAPD_ECOLI	C6EAB9	A	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)"	 	+ 	 	+ 
EFTS_A	A	P0A6P1	EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	 	+ 	 	+ 
ARND_A	A	P76472	ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	 	+ 	 	+ 
GLYA_A	A	P0A825	GLYA_ECOLI	C6EKF6	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	 	+ 	 	 
CISY_A	A	P0ABH7	CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	 	+ 	 	 
SUCC_A	A	P0A836	SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	 	+ 	 	 
GPMA_A	A	P62707	GPMA_ECOLI	C6EJI9	A	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)"	 	+ 	 	 
PGK_A	A	P0A799	PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	 	+ 	 	 
AAT_A	A	P00509	AAT_ECOLI	C6EI54	A	"Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)"	 	+ 	 	 
GLRX2_A	A	P0AC59	GLRX2_ECOLI	C6EHE9	A	"Glutaredoxin 2 (Grx2) (Glutaredoxin, GrxB family)"	 	+ 	 	 
FABF_A	A	P0AAI5	FABF_ECOLI	C6EHB9	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	 	+ 	 	 
HNS_A	A	P0ACF8	HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	 	+ 	 	 
SLYD_A	A	P0A9K9	SLYD_ECOLI	C6EGB5	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
TNAA_A	A	P0A853	TNAA_ECOLI	C6EG95	A	"Tryptophanase (EC 4.1.99.1) (Tryptophanase/L-cysteine desulfhydrase, PLP-dependent) (EC 4.1.99.1)"	 	+ 	 	 
YIGA_A	A	P23305	YIGA_ECOLI	C6EG04	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	 	+ 	 	 
TPX_A	A	P0A862	TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	 	+ 	 	 
SODM_A	A	P00448	SODM_ECOLI	C6EEY9	A	Superoxide dismutase (EC 1.15.1.1)	 	+ 	 	 
K6PF1_A	A	P0A796	K6PF1_ECOLI	C6EEY2	A	6-phosphofructokinase (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	 	+ 	 	 
OPDA_A	A	P27298	OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	 	+ 	 	 
DBHA_A	A	P0ACF0	DBHA_ECOLI	C6EE18	A	"HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)"	 	+ 	 	 
ACEA_A	A	P0A9G6	ACEA_ECOLI	C6EE08	A	Isocitrate lyase	 	+ 	 	 
G6PI_A	A	P0A6T1	G6PI_ECOLI	C6EDZ9	A	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (Phosphohexose isomerase)	 	+ 	 	 
DNAB_A	A	P0ACB0	DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	 	+ 	 	 
YDHQ_A	A	P77552	YDHQ_ECOLI	C6ECT9	A	Putative uncharacterized protein (Putative uncharacterized protein ydhQ)	 	+ 	 	 
KPYK1_A	A	P0AD61	KPYK1_ECOLI	C6ECS9	A	Pyruvate kinase (EC 2.7.1.40)	 	+ 	 	 
PURA_A	A	P0A7D4	PURA_ECOLI	C6ECH2	A	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	 	+ 	 	 
FKBB_A	A	P0A9L3	FKBB_ECOLI	C6ECD7	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 	+ 	 	 
ALKH_A	A	P0A955	ALKH_ECOLI	C6EBX8	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	 	+ 	 	 
DEOD_A	A	P0ABP8	DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	 	+ 	 	 
6PGD_A	A	P00350	6PGD_ECOLI	C6EB56	A	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	 	+ 	 	 
GCH1_A	A	P0A6T5	GCH1_ECOLI	C6EAG0	A	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	 	+ 	 	 
PYRH_A	A	P0A7E9	PYRH_ECOLI	C6EAB4	A	Uridylate kinase (EC 2.7.4.22)	 	+ 	 	 
YAFS_A	A	P75672	YAFS_ECOLI	C6EA77	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	 	+ 	 	 
RIR1_A	A	P00452	RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	 	 	+ 	+ 
LPXD_A	A	P21645	LPXD_ECOLI	C6EAA6	A	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	 	 	+ 	+ 
MURC_A	A	P17952	MURC_ECOLI	C6EAW4	A	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	 	 	+ 	+ 
FRUR_A	A	P0ACP1	FRUR_ECOLI	C6EAX5	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	+ 	+ 
T1MK_A	A	P08957	T1MK_ECOLI	C6EBN1	A	DNA methylase M (EC 2.1.1.72) (Site-specific DNA-methyltransferase (Adenine-specific)) (EC 2.1.1.72)	 	 	+ 	+ 
PPSA_A	A	P23538	PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	 	 	+ 	+ 
CFA_A	A	P0A9H7	CFA_ECOLI	C6ECU2	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	 	 	+ 	+ 
EFP_A	A	P0A6N4	EFP_ECOLI	C6ECX8	A	Elongation factor P	 	 	+ 	+ 
FUMA_A	A	P0AC33	FUMA_ECOLI	C6EDN6	A	"Fumarate hydratase (Fumarase A), aerobic Class I (EC 4.2.1.2) (Hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit)"	 	 	+ 	+ 
AK2H_A	A	P00562	AK2H_ECOLI	C6EE68	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	 	 	+ 	+ 
TYPA_A	A	P32132	TYPA_ECOLI	C6EF30	A	GTP-binding protein (GTP-binding protein TypA)	 	 	+ 	+ 
AROB_A	A	P07639	AROB_ECOLI	C6EFI7	A	3-dehydroquinate synthase (EC 4.2.3.4)	 	 	+ 	+ 
TYRR_A	A	P07604	TYRR_ECOLI	C6EFQ9	A	"DNA-binding transcriptional dual regulator, tyrosine-binding (Transcriptional regulator, TyrR)"	 	 	+ 	+ 
RNB_A	A	P30850	RNB_ECOLI	C6EFU6	A	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	 	 	+ 	+ 
