Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		GO Annotation			
PLSC_ECOLI	C6EHX6	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y		phospholipid biosynthetic process	C6EHX6	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|1-acylglycerol-3-phosphate O-acyltransferase activity|acyltransferase activity	GO:0008415|GO:0016747|GO:0003841|GO:0016740
RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	117	Y	Y		RNA binding|rRNA binding	C6EGG2	RNA binding|rRNA binding	GO:0003723|GO:0019843
ACRB_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	401		Y		transport|sodium ion transport|ion transport	C6EDD6	symporter activity	GO:0015293
GLPD_ECOLI	C6EFE8	F1	FAD dependent oxidoreductase	501	Y	Y		oxidation-reduction process|glycerol metabolic process	C6EFE8	oxidoreductase activity|glycerol-3-phosphate dehydrogenase activity|sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	GO:0052590|GO:0004368|GO:0052591|GO:0016491
ACRB_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184		Y		oxidation-reduction process|anaerobic respiration	C6E9S2	oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|quinone binding|NADH dehydrogenase (quinone) activity|NADH dehydrogenase (ubiquinone) activity	GO:0050136|GO:0015453|GO:0048038|GO:0008137|GO:0016491
GLTB_ECOLI	C6EH15	A	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y			oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process	C6EH15	oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|metal ion binding|glutamate synthase (NADPH) activity	GO:0046872|GO:0051536|GO:0051538|GO:0004355|GO:0016491
GUAA_ECOLI	C6EKK2	A	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y			GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process	C6EKK2	GMP synthase (glutamine-hydrolyzing) activity|GMP synthase activity|nucleotide binding|ligase activity|ATP binding	GO:0003922|GO:0005524|GO:0000166|GO:0003921|GO:0016874
ACRB_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	Y	Y		protein autophosphorylation|two-component signal transduction system (phosphorelay)|phosphorylation	C6EEY6	two-component sensor activity|transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding	GO:0000155|GO:0005524|GO:0000166|GO:0016301|GO:0016740|GO:0004673
ACRB_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425		Y		lipid A biosynthetic process|lipopolysaccharide biosynthetic process	C6EDF8	transferase activity	GO:0016740
ACRB_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y		protein folding|response to stress	C6EL22	isomerase activity|peptidyl-prolyl cis-trans isomerase activity	GO:0003755|GO:0016853
IDH_ECOLI	C6EGV5	A	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y			oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	C6EGV5	oxidoreductase activity|isocitrate dehydrogenase (NADP+) activity|metal ion binding	GO:0004450|GO:0046872|GO:0016491
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y			lipid biosynthetic process|fatty acid biosynthetic process	C6EAA0	acetyl-CoA carboxylase activity|nucleotide binding|ligase activity|ATP binding	GO:0003989|GO:0005524|GO:0000166|GO:0016874
RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290	Y			rRNA processing|enzyme-directed rRNA pseudouridine synthesis	C6EE02	isomerase activity|pseudouridine synthase activity|RNA binding	GO:0003723|GO:0016853|GO:0009982
RSGA_ECOLI	C6ECW4	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y			ribosomal small subunit biogenesis	C6ECW4	GDP binding|hydrolase activity|GTP binding|GTPase activity|nucleotide binding|metal ion binding	GO:0046872|GO:0016787|GO:0019003|GO:0000166|GO:0005525|GO:0003924
ACRB_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549		Y		transport|sodium ion transport|ion transport	C6ED59	antiporter activity	GO:0015297
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495	Y			regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress	C6EH56	RNA binding	GO:0003723
DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	928	Y			DNA repair|response to DNA damage stimulus|DNA replication	C6EF39	hydrolase activity|transferase activity|DNA-directed DNA polymerase activity|DNA binding|exonuclease activity|nuclease activity|nucleotidyltransferase activity	GO:0003887|GO:0003677|GO:0004527|GO:0016787|GO:0016779|GO:0016740|GO:0004518
ACRB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841		Y		response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process	C6EAD5	hydrolase activity|drug binding|serine-type D-Ala-D-Ala carboxypeptidase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity|peptidoglycan glycosyltransferase activity|penicillin binding	GO:0003824|GO:0008955|GO:0016757|GO:0016787|GO:0009002|GO:0008144|GO:0016740|GO:0008658
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142	Y	Y		stringent response|translational termination	C6EE36	RNA binding|rRNA binding	GO:0003723|GO:0019843
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480	Y			glycolysis|metabolic process|phosphorylation	C6EBX3	pyruvate kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding	GO:0046872|GO:0004743|GO:0005524|GO:0016301|GO:0000166|GO:0003824|GO:0016740
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	Y	Y		response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	C6EGH0	RNA binding|rRNA binding	GO:0003723|GO:0019843
ACRB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306		Y		transport|protein transport|tripeptide transport|peptide transport	C6EGM3	tripeptide transporter activity|oligopeptide-transporting ATPase activity	GO:0042937|GO:0015421
ACRB_ECOLI	C6ED13	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	Y	Y		proline transport|transport|amino acid transport|hyperosmotic salinity response|response to osmotic stress	C6ED13	solute:hydrogen symporter activity|symporter activity|uniporter activity	GO:0015292|GO:0015295|GO:0015293
ACRB_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	Y	Y		hydrolase activity|magnesium-importing ATPase activity|nucleotide binding|metal ion binding|ATP binding	C6ECA6	hydrolase activity|magnesium-importing ATPase activity|nucleotide binding|metal ion binding|ATP binding	GO:0046872|GO:0005524|GO:0016787|GO:0000166|GO:0015444
DNAK_ECOLI	C6EB40	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y		DNA replication|response to stress	C6EB40	nucleotide binding|ATP binding	GO:0005524|GO:0000166
ACRB_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	577	Y	Y		lipid biosynthetic process|lipopolysaccharide biosynthetic process	C6EE54	transferase activity	GO:0016740
YHCM_ECOLI	C6EH00	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y		nucleotide binding|ATP binding	C6EH00	nucleotide binding|ATP binding	GO:0005524|GO:0000166
FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	714	Y	Y		oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	C6ELB3	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|catalytic activity|3-hydroxyacyl-CoA dehydrogenase activity	GO:0016829|GO:0016853|GO:0003824|GO:0003857|GO:0008692|GO:0016491|GO:0004300
ACRB_ECOLI	C6EJQ6	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648		Y		carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6EJQ6	transporter activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|transferase activity|kinase activity	GO:0016301|GO:0016740|GO:0008982|GO:0005215
GLMS_ECOLI	C6EG74	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y			glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	C6EG74	transaminase activity|transferase activity|glutamine-fructose-6-phosphate transaminase (isomerizing) activity	GO:0008483|GO:0016740|GO:0004360
STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y			oxidation-reduction process	C6EE47	NAD(P)+ transhydrogenase (B-specific) activity|oxidoreductase activity	GO:0003957|GO:0016491
RNFB_ECOLI	C6EDL8	F1	Electron transport complex protein rnfB	192		Y		transport|electron transport chain	C6EDL8	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding	GO:0046872|GO:0051537|GO:0051539|GO:0051536
ACRB_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325		Y		oxidation-reduction process|aerobic respiration|anaerobic respiration	C6E9S0	oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|quinone binding|NADH dehydrogenase (quinone) activity	GO:0050136|GO:0015453|GO:0048038|GO:0016491
METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y			cellular amino acid biosynthetic process|methionine biosynthetic process|methylation	C6EE05	methyltransferase activity|cobalamin binding|transferase activity|metal ion binding|methionine synthase activity	GO:0046872|GO:0008705|GO:0031419|GO:0008168|GO:0016740
LPTB_ECOLI	C6EH26	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y			transport|lipopolysaccharide transport	C6EH26	hydrolase activity|lipopolysaccharide-transporting ATPase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166|GO:0015437
YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y			methylation	C6EK05	methyltransferase activity|transferase activity	GO:0008168|GO:0016740
RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	209	Y			RNA binding|rRNA binding	C6EGE6	RNA binding|rRNA binding	GO:0003723|GO:0019843
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			plasmid recombination|peptide catabolic process	C6EC91	hydrolase activity|peptidase activity|aminopeptidase activity|DNA binding|metal ion binding	GO:0046872|GO:0003677|GO:0008233|GO:0004177|GO:0016787
FIS_ECOLI	C6EGJ9	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y			regulation of transcription, DNA-dependent|transcription, DNA-dependent	C6EGJ9	sequence-specific DNA binding|DNA binding	GO:0003677|GO:0043565
ACRB_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	328		Y		lipid biosynthetic process|lipid A biosynthetic process|phosphorylation	C6EI67	transferase activity|tetraacyldisaccharide 4'-kinase activity|nucleotide binding|kinase activity|ATP binding	GO:0005524|GO:0000166|GO:0016301|GO:0016740|GO:0009029
MQO_ECOLI	C6E9Y9	F1	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	548	Y			oxidation-reduction process|tricarboxylic acid cycle	C6E9Y9	malate dehydrogenase (menaquinone) activity|malate dehydrogenase (quinone) activity|oxidoreductase activity	GO:0052589|GO:0008924|GO:0016491
ACRB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513		Y		transport|cellular sodium ion homeostasis|proton transport|sodium ion transport|response to lithium ion|ion transport|intracellular pH reduction	C6EGT1	antiporter activity|cation:cation antiporter activity|sodium:hydrogen antiporter activity	GO:0015385|GO:0015297|GO:0015491
RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	123	Y	Y		RNA binding|rRNA binding	C6EGF6	RNA binding|rRNA binding	GO:0003723|GO:0019843
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y		lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation	C6ELD7	acetyl-CoA carboxylase activity|DNA binding|nucleotide binding|ATP binding|ligase activity|mRNA binding|RNA binding|zinc ion binding|metal ion binding	GO:0003989|GO:0003723|GO:0003729|GO:0003677|GO:0005524|GO:0016874|GO:0046872|GO:0000166|GO:0008270
ACRB_ECOLI	C6EED7	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	339		Y		dipeptide transport|transport|protein transport|peptide transport	C6EED7	dipeptide transporter activity	GO:0042936
TYPH_ECOLI	C6EBI9	A	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	440	Y			thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity	C6EBI9	thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0009032|GO:0016740
ODP1_ECOLI	C6EAU3	F1	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	Y			oxidation-reduction process|glycolysis|acetyl-CoA biosynthetic process from pyruvate	C6EAU3	dihydrolipoyllysine-residue acetyltransferase activity|lipoic acid binding|oxidoreductase activity|pyruvate dehydrogenase (acetyl-transferring) activity|metal ion binding	GO:0046872|GO:0004742|GO:0004739|GO:0031405|GO:0016491
ACRB_ECOLI	C6EK66	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67		Y		transport|protein transport|transmembrane transport	C6EK66	protein transporter activity	GO:0008565
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265		Y		lipopolysaccharide biosynthetic process|phosphorylation	C6EDG1	transferase activity|kinase activity|nucleotide binding|ATP binding	GO:0005524|GO:0016301|GO:0000166|GO:0016740
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y			translation	C6EDK8	RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding	GO:0003723|GO:0005524|GO:0000166|GO:0004831|GO:0004812|GO:0016874
UGPC_ECOLI	C6EFC4	F1	ABC transporter related	356	Y	Y		carbohydrate transport|glycerol-3-phosphate transport|transport|glycerol-2-phosphate transport	C6EFC4	hydrolase activity|glycerol-3-phosphate-transporting ATPase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166|GO:0015430
RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y			transcription, DNA-dependent	C6EE32	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity	GO:0003899|GO:0016779|GO:0016740
ACRB_ECOLI	C6EJK4	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379		Y		oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	C6EJK4	electron carrier activity|oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor|oxidoreductase activity|iron ion binding|heme binding|metal ion binding	GO:0009055|GO:0046872|GO:0020037|GO:0016682|GO:0005506|GO:0016491
RPOZ_ECOLI	C6EDE1	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y			transcription, DNA-dependent	C6EDE1	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity	GO:0003899|GO:0016779|GO:0016740
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		transcription, DNA-dependent	C6EE31	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity	GO:0003899|GO:0016779|GO:0016740
ACRB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	546		Y		ubiquinone biosynthetic process	C6EF61	2-octaprenylphenol hydroxylase activity	GO:0019168
RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	179	Y	Y		RNA binding|rRNA binding|tRNA binding	C6EGF8	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843
RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	291	Y			rRNA processing|enzyme-directed rRNA pseudouridine synthesis	C6EFW8	isomerase activity|pseudouridine synthase activity|RNA binding	GO:0003723|GO:0016853|GO:0009982
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376	Y			protein refolding|response to heat|protein unfolding|DNA replication|response to stress	C6EB39	unfolded protein binding|protein homodimerization activity|protein disulfide isomerase activity|zinc ion binding|metal ion binding	GO:0046872|GO:0051082|GO:0003756|GO:0008270|GO:0042803
ACRB_ECOLI	C6EDP5	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	Y	Y		oxidation-reduction process	C6EDP5	NAD(P)+ transhydrogenase (AB-specific) activity|oxidoreductase activity	GO:0016491|GO:0008750
ACRB_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	620		Y		transport|response to methylglyoxal|potassium ion transport|response to toxin|ion transport	C6EB06	antiporter activity|glutathione-regulated potassium exporter activity|enzyme binding|toxin binding|protein homodimerization activity	GO:0015503|GO:0015643|GO:0015297|GO:0019899|GO:0042803
ACRB_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120		Y		cellular water homeostasis|transport|potassium ion transport|ion transport	C6EKZ9	mechanically-gated ion channel activity	GO:0008381
ACRB_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	565		Y		oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	C6ECY9	oxidoreductase activity|protein-disulfide reductase activity	GO:0047134|GO:0016491
ODO2_ECOLI	C6EJL1	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y			tricarboxylic acid cycle	C6EJL1	lipoic acid binding|dihydrolipoyllysine-residue succinyltransferase activity|binding|transferase activity|acyltransferase activity	GO:0008415|GO:0004149|GO:0016740|GO:0005488|GO:0031405
PSS_ECOLI	C6EK01	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	Y	Y		phospholipid biosynthetic process	C6EK01	CDP-diacylglycerol-serine O-phosphatidyltransferase activity|transferase activity	GO:0003882|GO:0016740
RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	142	Y			zinc ion binding	C6EH01	zinc ion binding	GO:0008270
ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y		response to antibiotic|response to iron(III) ion|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process	C6E9U4	hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	GO:0016787|GO:0016811
ASPA_ECOLI	C6ECY6	A	Aspartate ammonia-lyase	478	Y			lyase activity|aspartate ammonia-lyase activity	C6ECY6	lyase activity|aspartate ammonia-lyase activity	GO:0016829|GO:0008797
ACRB_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251		Y		phospholipid biosynthetic process	C6EEY0	hydrolase activity|CDP-diacylglycerol diphosphatase activity	GO:0016787|GO:0008715
ACRB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	285		Y		transport|polyamine transport	C6EGW6	polyamine-transporting ATPase activity	GO:0015417
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y			gluconeogenesis|phosphorylation	C6ECQ5	magnesium ion binding|transferase activity|kinase activity|pyruvate, water dikinase activity|nucleotide binding|metal ion binding|ATP binding	GO:0008986|GO:0000287|GO:0046872|GO:0005524|GO:0016301|GO:0000166|GO:0016740
OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	Y	Y		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	C6EFG9	two-component response regulator activity|DNA binding	GO:0003677|GO:0000156
ACRB_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	136	Y	Y		cellular water homeostasis|transport|ion transport	C6EGH6	ion channel activity|mechanically-gated ion channel activity	GO:0008381|GO:0005216
FADB_ECOLI	C6EF52	A	Fatty acid oxidation complex subunit alpha	729	Y			oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	C6EF52	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|3-hydroxyacyl-CoA dehydrogenase activity|catalytic activity|dodecenoyl-CoA delta-isomerase activity	GO:0016829|GO:0016853|GO:0003857|GO:0003824|GO:0004165|GO:0008692|GO:0016491|GO:0004300
ACRB_ECOLI	C6EKJ3	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	Y	Y		regulation of cell shape|peptidoglycan biosynthetic process	C6EKJ3	DNA binding	GO:0003677
ACRB_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	337		Y		transport	C6EEG1	transporter activity	GO:0005215
METN_ECOLI	C6EA85	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y		amino acid transport|transport	C6EA85	hydrolase activity|ATPase activity|nucleotide binding|ATP binding|D-methionine transmembrane transporter activity	GO:0016787|GO:0005524|GO:0000166|GO:0048474|GO:0016887
ACRB_ECOLI	C6EFI0	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	C6EFI0	hydrolase activity|peptidoglycan glycosyltransferase activity|serine-type D-Ala-D-Ala carboxypeptidase activity|transferase activity, transferring glycosyl groups|transferase activity|penicillin binding|catalytic activity	GO:0008955|GO:0016787|GO:0016757|GO:0009002|GO:0016740|GO:0003824|GO:0008658
ACRB_ECOLI	C6EK28	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y		tRNA wobble adenosine to inosine editing	C6EK28	tRNA-specific adenosine deaminase activity	GO:0008251
ACRB_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	Y	Y		cellular water homeostasis|transport|ion transport	C6EII5	ion channel activity|mechanically-gated ion channel activity	GO:0008381|GO:0005216
