Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13		Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	
RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	123	1	1	1	1	1	2	3	3	3	2	2	2	2	2	2							1	1	1		3	3	10	3	4	19	3	4	10	
WECG_ECOLI	C6EG17	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246	8	9	9	7	7	9	3	3	3	4	4	4	3	3	3	4	4	4	2	2	2	4	4	5											
RHSB_ECOLI	C6EF92	A	RhsB element core protein RshB (YD repeat protein)	1411				1	1	2													1	1	2	1	1	1											
YGIB_ECOLI	C6EHV7	A	UPF0441 protein ygiB	223	1	1	3	4	4	4	3	3	3	4	4	5	4	4	4	2	2	3	1	1	1	3	3	4											
YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	256	4	4	8	4	4	7	3	3	3	3	3	3	5	5	5	3	3	5	3	3	4	3	3	4											
PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	346	1	1	1	1	1	1							3	3	3	1	1	1	1	1	1	1	1	2											
HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320	3	3	4	1	1	1							2	2	2							1	1	1											
RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2											5	5	6	6	6	6	10	10	14	
RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	419	2	2	2	1	1	1				1	1	1														13	18	30	15	18	31	15	19	35	
RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	121										2	2	2	1	1	1											11	14	39	13	16	44	13	17	44	
RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	103							1	1	1																	4	4	5	3	3	8	4	4	5	
RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	78							1	1	1	1	1	1	2	2	2														1	1	4	2	2	5	
SUCC_ECOLI	C6EJL0	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	1	1	1																							3	3	5	3	3	5	4	5	9	
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	2	2	3	2	2	2																				8	10	22	7	8	19	7	8	20	
RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	201	1	1	1																							4	4	11	4	4	10	4	4	9	
SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876				1	1	2																				5	5	7	5	5	6	6	6	8	
HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137							1	1	2																	5	7	13	4	5	10	7	8	12	
RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	613	1	1	1	2	2	3				1	1	1	1	1	1											2	2	2	3	3	3	2	2	2	
RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	136	1	1	2	1	1	3				2	2	2	2	2	2											2	2	9	3	3	18	3	3	11	
RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	103	1	1	1	1	1	1																				4	5	11	4	6	14	4	6	14	
PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	1	1	1							2	2	2	1	1	1											4	4	4	4	4	5	6	6	7	
OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	1	1	1	2	2	3				1	1	1														1	1	1	1	1	2	1	1	1	
EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	704				1	1	2																				1	1	1	4	4	4	3	3	3	
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129							1	1	1	1	1	1																				1	1	1	
YHCM_ECOLI	C6EH00	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375	1	1	1	1	1	1																										1	1	1	
RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	340	2	3	3	2	2	3																										1	1	1	
CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	427																						1	1	1		4	5	8	5	7	10	4	5	8	
GPMA_ECOLI	C6EJI9	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250																													1	1	1	2	2	2	
ACCC_ECOLI	C6EGK4	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449																										3	3	4	2	2	5	3	3	5	
RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	557																										15	17	39	17	20	42	22	28	69	
TPIS_ECOLI	C6EEX9	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255																										1	1	1	1	1	2	3	4	5	
ODO1_ECOLI	C6EJL2	A	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933																										6	6	9	6	6	9	8	8	10	
SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	444																										4	4	6	4	4	6	4	4	6	
RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290																													1	1	2	1	1	2	
RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	104																										11	15	22	9	11	19	11	16	26	
GNSA_ECOLI	C6EHL6	A	GnsAGnsB family protein (Predicted regulator of phosphatidylethanolamine synthesis)	57																										3	4	6	3	4	6	4	4	6	
IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	890																										9	9	14	13	14	31	12	13	22	
NDK_ECOLI	C6EKJ1	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143																										1	1	2	2	2	2	2	2	3	
RPOA_ECOLI	C6EGH1	A	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329																										4	5	6	5	6	6	7	8	9	
SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289																										2	2	3	2	2	4	2	2	3	
KAD_ECOLI	C6EKZ0	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214																										1	1	1	1	1	1	2	2	2	
RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	149																										9	13	30	10	14	31	10	14	32	
CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548																										26	34	70	27	39	75	29	37	77	
DBHA_ECOLI	C6EE18	A	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90																										8	9	16	7	9	19	9	12	25	
RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342																										10	10	15	10	10	15	13	13	21	
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792																										1	1	2	2	2	5	3	3	4	
GLGA_ECOLI	C6EFE5	A	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477																										3	4	8	3	5	11	4	5	12	
AAT_ECOLI	C6EI54	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396																										3	3	3	5	5	5	5	5	5	
DEF_ECOLI	C6EGI0	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169																										2	2	3	2	2	4	3	3	4	
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432																										21	23	42	20	22	47	24	26	49	
PFLB_ECOLI	C6EK07	A	Autonomous glycyl radical cofactor	127																										2	2	2				1	1	1	
RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	84																										4	6	10	4	6	10	4	6	9	
RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	89																										1	1	1	1	1	1	2	2	2	
PFLB_ECOLI	C6EI79	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760																										4	5	7	3	4	5	3	4	5	
ISCS_ECOLI	C6EKH7	A	Cysteine desulfurase (EC 2.8.1.7)	404																										2	2	2	1	1	1	2	2	2	
HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443																										4	4	7	6	6	9	6	6	9	
RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	177																										6	7	16	7	8	18	7	8	20	
OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	680																													2	2	4	1	1	1	
FADB_ECOLI	C6EF52	A	Fatty acid oxidation complex subunit alpha	729																										1	1	1	2	2	3	2	2	3	
DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239																										2	2	4	3	3	5	3	3	4	
YJGA_ECOLI	C6ECB5	A	UPF0307 protein yjgA	183																										1	1	1	1	1	1	2	3	3	
ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	865																										6	6	6	8	8	13	6	6	7	
DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407																										3	3	5	4	4	6	5	5	7	
RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	209																										9	12	18	9	11	16	9	11	17	
ASPA_ECOLI	C6ECY6	A	Aspartate ammonia-lyase	478																										4	5	5	5	6	13	5	6	10	
CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073																										3	3	5	3	3	3	4	4	4	
KBL_ECOLI	C6EDH2	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398																										2	2	2	1	1	1	2	2	2	
RNR_ECOLI	C6ECH0	A	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813																										4	4	6	4	4	6	7	8	11	
CH10_ECOLI	C6ECY3	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97																										3	3	6	2	2	6	3	3	6	
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495																										1	1	2	3	3	4	8	8	11	
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131																										5	5	7	6	6	8	6	7	9	
HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	426																													1	1	1	1	1	1	
ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333																										2	2	2	2	2	2	2	2	2	
DAPD_ECOLI	C6EAB9	A	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274																										2	2	4	3	3	4	3	4	6	
GLRX3_ECOLI	C6EDH9	A	Glutaredoxin 3	83																										1	1	1	1	1	1	2	2	4	
RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343																										1	1	1	2	2	2	2	2	2	
IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	180																										5	7	13	5	7	15	5	7	15	
HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	1300																													1	1	2	2	2	3	
RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	156																										6	8	11	6	8	15	6	9	19	
RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	761																										2	2	3	2	2	4	2	2	4	
G3P1_ECOLI	C6EC50	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331																										1	1	2	1	1	2	3	3	4	
RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	85																										1	1	1	1	1	1	1	1	1	
SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466																										1	1	1	1	1	1	1	1	1	
RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	115																										3	3	4	3	3	4	3	3	4	
DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629																										6	6	14	6	6	17	7	7	11	
SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572																										1	1	1	1	1	1	3	3	5	
RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	142																										7	8	11	8	11	17	8	11	37	
GLTB_ECOLI	C6EH15	A	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517																										1	1	2	2	2	5	2	2	3	
RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	291																										1	1	1	2	2	2	2	2	3	
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376																										3	3	5	4	4	6	5	5	7	
SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	267																										1	1	1	2	2	4	2	2	2	
ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	258																										2	2	3	2	2	4	2	3	3	
TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	317																										3	3	3	4	4	4	5	5	7	
EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	283																										1	1	2	3	3	3	3	3	3	
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319																										4	4	5	6	6	7	8	10	15	
RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	110																										6	9	20	7	10	22	7	13	26	
ARGE_ECOLI	C6EE52	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383																													1	1	1	1	1	1	
PPIB_ECOLI	C6EKU1	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164																										1	1	1	2	2	2	2	2	2	
YAEH_ECOLI	C6EAC1	A	UPF0325 protein yaeH	128																										3	3	7	3	3	4	4	4	6	
STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466																										3	3	4	3	3	3	4	4	5	
YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345																										4	5	6	4	5	8	4	6	10	
RPOZ_ECOLI	C6EDE1	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91																										2	2	3	3	4	4	2	3	6	
AMPM_ECOLI	C6EAB7	A	Methionine aminopeptidase (EC 3.4.11.18)	264																										1	1	1				2	2	2	
RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	92																										3	5	6	4	5	6	3	4	5	
IHFA_ECOLI	C6ECP5	A	Integration host factor subunit alpha (IHF-alpha)	99																										3	3	4	3	3	4	2	2	3	
IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	94																										1	1	1	1	1	1	2	2	2	
TREC_ECOLI	C6ECA9	A	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551																													1	1	1	2	2	2	
DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	471																										2	2	2	4	4	5	2	2	2	
SRA_ECOLI	C6EEN7	A	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45																										2	4	4	2	3	3	2	3	3	
RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	94																										1	2	4	1	1	2	1	1	3	
RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348																										3	3	4	2	2	2	3	4	6	
YIFE_ECOLI	C6EG45	A	Putative uncharacterized protein (Putative uncharacterized protein yifE)	112																										2	2	2	2	2	2	1	1	1	
ACKA_ECOLI	C6ELF7	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400																										1	1	1	2	2	2	2	2	3	
RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	59																										1	1	2	1	1	2	1	1	2	
RHLE_ECOLI	C6EIY5	A	DEAD/DEAH box helicase domain protein (RNA helicase)	454																													1	1	1	1	1	1	
METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227																										2	2	2	2	2	3	6	6	9	
ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	210																										1	1	1	2	2	2	2	2	2	
ARLY_ECOLI	C6EE49	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457																										2	2	2	3	3	4	3	3	3	
HSLO_ECOLI	C6EFH4	A	33 kDa chaperonin (Heat shock protein 33 homolog)	292																										1	1	1	1	1	1	1	1	1	
ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372																										1	1	1	1	1	1	1	1	1	
PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218																										1	1	2	2	2	3	2	2	6	
ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432																										4	4	14	5	5	9	5	6	20	
ODO2_ECOLI	C6EJL1	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405																										9	10	16	10	11	17	9	9	17	
RL31_ECOLI	C6EE73	A	50S ribosomal protein L31	70																										4	4	8	4	5	8	3	3	8	
LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	586																										1	1	2				2	2	4	
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480																													1	1	1	1	1	1	
YBEB_ECOLI	C6EK56	A	Iojap-related protein (Putative uncharacterized protein ybeB)	105																													1	1	1	2	2	2	
SYM_ECOLI	C6EAJ7	A	Methionyl-tRNA synthetase	677																													1	1	1	1	1	3	
GRPE_ECOLI	C6EJX9	A	Protein grpE (HSP-70 cofactor)	197																										1	1	1	2	2	5	2	2	5	
RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209																													1	1	2	1	1	2	
ARCA_ECOLI	C6EBH0	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238																										4	4	6	4	4	7	3	3	7	
YGGL_ECOLI	C6EIF1	A	Putative uncharacterized protein (Putative uncharacterized protein yggL)	108																										2	2	2	2	2	2	1	1	1	
PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	387																										2	2	2	3	3	5	3	3	3	
RSGA_ECOLI	C6ECW4	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350																													3	3	3	1	1	1	
PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359																										1	1	1	2	2	2	2	2	2	
YCDY_ECOLI	C6EHH7	A	Cytoplasmic chaperone TorD family protein (Putative uncharacterized protein ycdY)	184																										1	1	1	1	1	1	1	1	2	
